listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6361988,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-أحد/شارع-الأمن-حي-أحد-مدينة-الرياض-منطقة-الرياض-6361988,"فيلا للبيع في شارع الأمن, حي أحد, مدينة الرياض, منطقة الرياض",1900000,500,,5,3,10,حي أحد,الرياض,جنوب الرياض,"للبيع فله بناء شخصي
موثثه في حي احد
مخطط الجوهره
درج صاله مع شقتين
مساحه 500م
ر
شارع 15م الوجهه شماليه
عمر العقار 10 سنوات
عليها رهن لبنك العقاري 311 ألف
حد المالك 2,100,000 
شامل قيمة الرهن 
[كم يوجد شهادة إتمام]
الدور الارضي/  مدخل سياره + حوش + مقلط بدورة مياه
+ مجلس نساء مدخل جانبي + مجلس رجال بدورة مياه + صاله طعام + صالتين + غرفه خادمه + غرفه غسيل + مستودع + مطبخ 
( الدور الأول العلوي )
عدد 6 غرف منهم 4 ماستر

الملحق العلوي ( غرفة بدورة مياة + السطح
((الشقق)) عدد 2
كل شقه مكونه من
عداد كهرباء مستقل
مدخلين رجال ونساء
(الشقه الاولي)
ثلاث غرف + صاله + دورتين مياه + مطبخ + مجلس +
سطح
(الشقه الثانيه )
غرفتين نوم + صاله + ثلاث دورات مياه + مطبخ
الفيلا ساكنه يلزم موعد للمعاينه
التواصل موسسة الأعمار الذكية
التواصل عبر الواتسا‎ب ((رقم المعلن يظهر عند التواصل))",24.483554,46.629532,https://images.aqar.fm/webp/750x0/props/031436112_1756745173825.jpg | https://images.aqar.fm/webp/750x0/props/037868744_1756744400268.jpg | https://images.aqar.fm/webp/750x0/props/031436118_1756744935963.jpg | https://images.aqar.fm/webp/750x0/props/031436115_1756744936162.jpg | https://images.aqar.fm/webp/750x0/props/031436110_1756744935938.jpg | https://images.aqar.fm/webp/750x0/props/031436119_1756744936069.jpg | https://images.aqar.fm/webp/750x0/props/031436114_1756744936028.jpg | https://images.aqar.fm/webp/750x0/props/031436112_1756745173546.jpg | https://images.aqar.fm/webp/750x0/props/031436115_1756745173666.jpg | https://images.aqar.fm/webp/750x0/props/031436116_1756745173974.jpg | https://images.aqar.fm/webp/750x0/props/031436114_1756745234537.jpg | https://images.aqar.fm/webp/750x0/props/031436115_1756745234538.jpg | https://images.aqar.fm/webp/750x0/props/049687091_1776196091721.jpg | https://images.aqar.fm/webp/750x0/props/049687099_1776196092081.jpg | https://images.aqar.fm/webp/750x0/props/049687098_1776196092127.jpg | https://images.aqar.fm/webp/750x0/props/049687095_1776196092264.jpg | https://images.aqar.fm/webp/750x0/props/049687097_1776196092584.jpg | https://images.aqar.fm/webp/750x0/props/049687092_1776196092582.jpg | https://images.aqar.fm/webp/750x0/props/049687091_1776196092944.jpg | https://images.aqar.fm/webp/750x0/props/049687092_1776196093361.jpg,20,عبدالله بن حمد بن عبدالله العامر,مؤسسة الإعمار الذكيه للخدمات العقارية,1,2025-09-01,2025-09-01,2026-08-23,3082,2026-08-23,True,"1,900,000",False,فيلا
6684101,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-أحد/شارع-غفران-حي-أحد-الرياض-منطقة-الرياض-6684101,فيلا للبيع في شارع غفران ، حي أحد ، الرياض ، منطقة الرياض,1200000,250,5,5,2,1,حي أحد,الرياض,جنوب الرياض,"للبيع: فيلا زاوية بحي أحد، الرياض

🏠 الموقع: خلف مستشفى الإمام عبدالرحمن ومحطة مترو ديراب، حي أحد، الرياض

📍 المساحة: 250 متر على شارعين

🏠 المواصفات:
فيلا دورين
الدور الأرضي: مشب، مجلس، مقلط، صالة، مطبخ
الدور العلوي: غرفتين ماستر، غرفتين عادية، صالة، 5 دورات مياه

💰 السعر: مليون و200 ألف ريال

📝 الحالة: مستخدمة سنة ومأجرة بـ50 ألف ريال على 3 دفعات

👉  للتواصل والاستفسار، الرجاء التواصل على...الواتس فقط  ",24.490015,46.634853,https://images.aqar.fm/webp/750x0/props/001135224_1778010517478.jpg | https://images.aqar.fm/webp/750x0/props/001135221_1778010517470.jpg | https://images.aqar.fm/webp/750x0/props/001135220_1778010517481.jpg | https://images.aqar.fm/webp/750x0/props/001135226_1778010517482.jpg | https://images.aqar.fm/webp/750x0/props/001135224_1778010517479.jpg | https://images.aqar.fm/webp/750x0/props/001135227_1778010517475.jpg | https://images.aqar.fm/webp/750x0/props/001135226_1778010517529.jpg | https://images.aqar.fm/webp/750x0/props/001135222_1778010517528.jpg,8,احمد وليد احمد مرعشلي,,,2026-05-05,,2026-08-21,76,2026-08-23,False,طلب تسويق,False,فيلا
6746859,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-أحد/شارع-الرهط-حي-أحد-مدينة-الرياض-منطقة-الرياض-6746859,"فيلا للبيع في شارع الرهط, حي أحد, مدينة الرياض, منطقة الرياض",1350000,266,5,,,0,حي أحد,الرياض,جنوب الرياض,السلام عليكم ورحمة الله وبركاته مشروع٤يقدم لكم درج صاله وشقه حي عكاظ شارع زوايه المشروع بالكامل راكب مصعد الشقه مدخل مستقل قريبه من كل الخدمات يوجد حلول بنكيه وسداد بدون فوائد,24.503834,46.637184,https://images.aqar.fm/webp/750x0/props/011167293_1782327777158.jpg,1,جبر لافي عوض العتيبي,مؤسسة أوائل الرياض العقارية,1,2026-06-24,2026-08-22,2026-08-23,193,2026-08-23,True,"1,350,000",False,فيلا
6680373,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-أحد/شارع-الكنار-حي-أحد-مدينة-الرياض-منطقة-الرياض-6680373,"فيلا للبيع في شارع الكنار, حي أحد, مدينة الرياض, منطقة الرياض",1500000,420,7,0,0,7,حي أحد,الرياض,جنوب الرياض,"للبيع دور وثلاث شقق – فرصة استثمارية مميزة

الموقع: حي أحد – طريق ديراب
المساحة: 420 متر مربع

العقار مؤجر بالكامل بدخل مستقر

تفاصيل الدور الأرضي:
مجلس واسع
مقلط
صالة
مطبخ
5 غرف نوم
مشب في الحوش
حوش خاص

مميزات العقار:
مناسب للاستثمار بعائد فوري
موقع حيوي وقريب من الخدمات
تصميم عملي ومساحات جيدة",24.481582,46.632131,,,ساره راجح محمد الشهري,,,2026-05-03,2026-07-30,2026-08-17,706,2026-08-23,True,"1,500,000",False,فيلا
6758036,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-أحد/شارع-الرهط-حي-أحد-مدينة-الرياض-منطقة-الرياض-6758036,"فيلا للبيع في شارع الرهط, حي أحد, مدينة الرياض, منطقة الرياض",1350000,280,5,5,3,0,حي أحد,الرياض,جنوب الرياض,"💫 مشروع( 6 )💫
💦💦💦💦💦💦
 السلام عليكم ورحمة الله وبركاته. اسعد الله اوقاتكم بكل خير عملائنا الكرام ٠ 
فرصه العمر لن تتكرر 🎊🎉
 بتدوور علي الأناقة في التصميم واستغلال المساحات 💯
 بتدور على توفير المال والمصداقية في التعامل
 ابشر باللي يطيب خاطرك 💯
 نقدم لكم درج صالة وشقه فاخره: 
في حي  : سما عكاظ 
 مساحة  : 280 م 
 السعر    : مليون و ٣٥٠ ألف 
 واجهة    : شماليه 
 الشارع  : 20 م 
 تشطيب سوبر سوبر لوكس
 نختصر عليك الوقت ولذلك نتعامل مع جميع البنوك والشركات التمويليه العقاريه مع إمكانية التحويل من بنك الي بنك اخر وتسهيل كل الامور 👍
 من الاخر هات فرشك واحنا نسلمك المفتاح👍
 مش عليك إلا ان تتواصل معنا واتس اب او اتصال. 🤙",24.503834,46.637184,https://images.aqar.fm/webp/750x0/props/011167291_1783080634725.jpg | https://images.aqar.fm/webp/750x0/props/011167297_1783080634403.jpg | https://images.aqar.fm/webp/750x0/props/011167298_1783080634608.jpg | https://images.aqar.fm/webp/750x0/props/011167298_1783080634613.jpg | https://images.aqar.fm/webp/750x0/props/011167291_1783080634725.jpg | https://images.aqar.fm/webp/750x0/props/011167297_1783080634403.jpg | https://images.aqar.fm/webp/750x0/props/011167298_1783080634608.jpg | https://images.aqar.fm/webp/750x0/props/011167298_1783080634613.jpg,8,جبر لافي عوض العتيبي,مؤسسة أوائل الرياض العقارية,1,2026-07-03,2026-08-01,2026-08-23,255,2026-08-23,True,"1,350,000",False,فيلا
6817045,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-أحد/شارع-القادسي-حي-أحد-مدينة-الرياض-منطقة-الرياض-6817045,"فيلا للبيع في شارع القادسي, حي أحد, مدينة الرياض, منطقة الرياض",1200000,250,4,,,1,حي أحد,الرياض,جنوب الرياض,"🏡🔥 فيلا للبيع في الرياض | حي أحد | على شارعين
فرصة مميزة للسكن العائلي في حي أحد بالرياض
فيلا بتوزيع عملي ومساحات مناسبة للعائلة، وتتميز بكونها على شارعين مع تصميم يوفر خصوصية وراحة في الاستخدام.
🏠 تفاصيل الفيلا
الدور الأرضي: ▪️ مشب
▪️ مجلس
▪️ مقلط
▪️ صالة
▪️ مطبخ
الدور العلوي: ▪️ غرفتان نوم ماستر
▪️ غرفتان نوم عادية
▪️ صالة
▪️ 5 دورات مياه
⭐ لماذا هذه الفيلا؟
✅ موقع مميز في حي أحد – الرياض
✅ على شارعين
✅ غرفتا نوم ماستر
✅ مناسبة للعائلة
✅ مجلس ومقلط للضيافة
✅ صالة في كل دور
✅ توزيع عملي ومريح
🔥 إذا كنت تبحث عن فيلا عائلية بمواصفات عملية وموقع مميز، فهذه فرصة تستحق المعاينة.
📞 للتواصل ومعرفة السعر وتحديد موعد المعاينة:
[رقم التواصل]((الرقم يظهر عند الضغط على اتصال))",24.486591,46.638376,https://images.aqar.fm/webp/750x0/props/052192327_1786470622613.jpg | https://images.aqar.fm/webp/750x0/props/052192323_1786470622606.jpg | https://images.aqar.fm/webp/750x0/props/052192328_1786470622627.jpg | https://images.aqar.fm/webp/750x0/props/052192325_1786470622605.jpg | https://images.aqar.fm/webp/750x0/props/052192328_1786470622618.jpg | https://images.aqar.fm/webp/750x0/props/052192325_1786470622614.jpg | https://images.aqar.fm/webp/750x0/props/052192322_1786470622633.jpg | https://images.aqar.fm/webp/750x0/props/052192322_1786470622507.jpg | https://images.aqar.fm/webp/750x0/props/052192326_1786470622510.jpg | https://images.aqar.fm/webp/750x0/props/052192329_1786470622525.jpg | https://images.aqar.fm/webp/750x0/props/052192324_1786470622523.jpg | https://images.aqar.fm/webp/750x0/props/052192321_1786470622524.jpg | https://images.aqar.fm/webp/750x0/props/052192326_1786470622610.jpg | https://images.aqar.fm/webp/750x0/props/052192320_1786470622502.jpg | https://images.aqar.fm/webp/750x0/props/052192321_1786470622502.jpg | https://images.aqar.fm/webp/750x0/props/052192329_1786470622506.jpg,16,هادي احمد,شركة معين القرار,1,2026-08-11,2026-08-11,2026-08-20,55,2026-08-23,True,"1,200,000",False,فيلا
6743231,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-أحد/شارع-رحبان-حي-أحد-مدينة-الرياض-منطقة-الرياض-6743231,"فيلا للبيع في شارع رحبان, حي أحد, مدينة الرياض, منطقة الرياض",2000000,870,,0,0,11,حي أحد,الرياض,جنوب الرياض,"البيت مكون من 
دور ارضي في ملحق رجال خارجي ومجلس نسائي خارجي ومطبخ خارجي و4 غرف نوم ومجلس داخلي ومقلط وصاله وفيه 5 حمامات 
والدور الاول 
شقتين منفصله مكونه من مجلس ومقلط وصاله و2 غرفتين نوم ومطبخ و2 حمامات لكل شقه 
وموسس شقه ثالثه فالصطح 
والموقع قدام مسجد",24.491966,46.639373,https://images.aqar.fm/webp/750x0/props/022440323_1782138086640.jpg | https://images.aqar.fm/webp/750x0/props/022440324_1782138086638.jpg | https://images.aqar.fm/webp/750x0/props/022440320_1782138086634.jpg | https://images.aqar.fm/webp/750x0/props/022440324_1782138086650.jpg | https://images.aqar.fm/webp/750x0/props/022440327_1782138086638.jpg | https://images.aqar.fm/webp/750x0/props/022440325_1782138086652.jpg,6,بدر عواض بن عيضه الحارثي,,0,2026-06-22,2026-06-22,2026-08-16,643,2026-08-23,True,"2,000,000",False,فيلا
6769784,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-أحد/شارع-القادسي-حي-أحد-مدينة-الرياض-منطقة-الرياض-6769784,"فيلا للبيع في شارع القادسي, حي أحد, مدينة الرياض, منطقة الرياض",1200000,250,7,6,3,2,حي أحد,الرياض,جنوب الرياض,"🏢 **شركة الحمد العقارية** تعلن عن:

# 🏡 فيلا زاوية للبيع | حي أحد – الرياض

✨ فرصة مميزة للسكن أو الاستثمار في فيلا زاوية بموقع حيوي، مؤجرة بعائد سنوي، وقريبة من أهم الخدمات.

📍 **الموقع:** حي أحد – الرياض
خلف مستشفى الإمام عبدالرحمن وبالقرب من محطة مترو ديراب.

📐 **المساحة:** 250 م²
🧭 **الواجهة:** جنوب غربي
🛣 **على شارعين**
📏 **عرض الشارع:** 15 متر
🏠 **العمر:** جديد (مستخدمة لمدة سنة)

### تفاصيل الفيلا:

**الدور الأرضي:**

* مدخل سيارة
* حوش
* بيت شعر (مشب)
* مجلس
* مقلط
* صالة
* مطبخ

**الدور العلوي:**

* غرفتا نوم ماستر
* غرفتا نوم
* صالة
* غرفة خادمة
* 5 دورات مياه

### مميزات العقار:

✅ 5 غرف نوم
✅ صالتان
✅ درج صالة
✅ مدخل سيارة
✅ حوش
✅ بيت شعر
✅ غرفة خادمة
✅ جميع الخدمات متوفرة (مياه – كهرباء – صرف صحي)

💼 **الحالة الاستثمارية:**

* مؤجرة بعقد سنوي بقيمة **50,000 ريال**
* السداد على **3 دفعات**

💰 **السعر:** **1,200,000 ريال**

📞 **للتواصل والاستفسار:**
**شركة الحمد العقارية**
**((الرقم يظهر عند الضغط على اتصال))**

إ",24.486591,46.638376,https://images.aqar.fm/webp/750x0/props/046860348_1783841953861.png | https://images.aqar.fm/webp/750x0/props/046860345_1783841970346.jpg | https://images.aqar.fm/webp/750x0/props/046860341_1783841970353.jpg | https://images.aqar.fm/webp/750x0/props/046860342_1783841970369.jpg | https://images.aqar.fm/webp/750x0/props/046860349_1783841970369.jpg | https://images.aqar.fm/webp/750x0/props/046860342_1783841970363.jpg | https://images.aqar.fm/webp/750x0/props/046860340_1783841970372.jpg | https://images.aqar.fm/webp/750x0/props/046860347_1783841970381.jpg | https://images.aqar.fm/webp/750x0/props/046860349_1783841970376.jpg | https://images.aqar.fm/webp/750x0/props/046860340_1783841970373.jpg | https://images.aqar.fm/webp/750x0/props/046860343_1783841970407.jpg | https://images.aqar.fm/webp/750x0/props/046860349_1783841970585.jpg | https://images.aqar.fm/webp/750x0/props/046860347_1783841970410.jpg | https://images.aqar.fm/webp/750x0/props/046860348_1783841970409.jpg | https://images.aqar.fm/webp/750x0/props/046860344_1783841970379.jpg | https://images.aqar.fm/webp/750x0/props/046860346_1783841970378.jpg | https://images.aqar.fm/webp/750x0/props/046860343_1783841970385.jpg,17,عبدالعزيز عبدالله عبدالعزيز الحمد,شركة عبدالعزيز عبدالله الحمد العقارية,1,2026-07-12,2026-08-10,2026-08-23,190,2026-08-23,True,"1,200,000",False,فيلا
6487324,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-أحد/شارع-النظال-حي-أحد-مدينة-الرياض-منطقة-الرياض-6487324,"فيلا للبيع في شارع النظال, حي أحد, مدينة الرياض, منطقة الرياض",900000,250,5,,,2,حي أحد,الرياض,جنوب الرياض,"دبلكس حي احد 📍🏠
250 م شارعين شمالي غربي
شوارع 18//20
صالتين تحت ومقلط ومجلس بخدماته ومطبخ ومستودع ودورة مياه وحوش خلفي والدور العلوي خمس غرف نوم ثنتين ماستر وصاله
السطح مؤسس شقه
🟥 الفيلا حره غير مرهونه
لكن البيع كااش بشيك مصدق او كاش الافراغ فوري او عميل غير مدعوم لعدم استخراج شهادة أشغال",24.48589,46.633135,https://images.aqar.fm/webp/750x0/props/017584657_1764673328611.jpg,1,عبدالله بن حنيش بن عيد العنزي,مكتب أبراج يوسف للتطوير والاستثمار العقاري,1,2025-11-30,2026-06-23,2026-08-10,2039,2026-08-23,True,"900,000",False,فيلا
6766776,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-أحد/شارع-العماد-بن-كثير-حي-عريض-الرياض-منطقة-الرياض-6766776,فيلا للبيع في شارع العماد بن كثير ، حي عريض ، الرياض ، منطقة الرياض,1500000,405,6,5,1,9,حي أحد,الرياض,جنوب الرياض,‏دور وشقة مسروقه وشقتين استثمار,24.490137,46.64325,https://images.aqar.fm/webp/750x0/props/000752273_1783602119536.jpg,1,محمد فرحان مبارك القحطاني,,,2026-07-09,,2026-07-09,27,2026-08-23,False,طلب تسويق,False,فيلا
