listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6736889,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-السرح-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6736889,"فيلا للبيع في شارع السرح, حي إشبيلية, مدينة الرياض, منطقة الرياض",4300000,816,,4,2,11,حي اشبيلية,الرياض,شرق الرياض,"فيلا غير مكتملة البناء للبيع
المدينة الرياض
الحي اشبيليا
شمالا شارع - عرض 15 م بطول 24 م
جنوبا قطعة - رقم 233 بطول 24 م
شرقا قطعة - رقم 230 بطول 34م
غرباً شارع - عرض 10 م بطول 34م",24.782531,46.786178,https://images.aqar.fm/webp/750x0/props/047862663_1781713237710.jpg | https://images.aqar.fm/webp/750x0/props/047862663_1781713244835.jpg | https://images.aqar.fm/webp/750x0/props/047862668_1781713256324.jpg | https://images.aqar.fm/webp/750x0/props/047862664_1781713260337.jpg | https://images.aqar.fm/webp/750x0/props/047862664_1781713266712.jpg | https://images.aqar.fm/webp/750x0/props/047862669_1781713276444.jpg | https://images.aqar.fm/webp/750x0/props/047862666_1781713278933.jpg | https://images.aqar.fm/webp/750x0/props/047862664_1781713283292.jpg | https://images.aqar.fm/webp/750x0/props/047862668_1781713287438.jpg | https://images.aqar.fm/webp/750x0/props/047862660_1781713291357.jpg | https://images.aqar.fm/webp/750x0/props/047862666_1781713296810.jpg | https://images.aqar.fm/webp/750x0/props/047862669_1781713299261.jpg | https://images.aqar.fm/webp/750x0/props/047862666_1781713303591.jpg | https://images.aqar.fm/webp/750x0/props/047862662_1781713316763.jpg | https://images.aqar.fm/webp/750x0/props/047862661_1781713327937.jpg | https://images.aqar.fm/webp/750x0/props/047862667_1781713333096.jpg | https://images.aqar.fm/webp/750x0/props/047862667_1781713336916.jpg | https://images.aqar.fm/webp/750x0/props/047862666_1781713340016.jpg,18,هاني صالح,شركة تلال القمم القابضة,1,2026-06-17,2026-08-14,2026-08-22,1088,2026-08-23,True,"4,300,000",False,فيلا
6802561,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-الفحيحيل-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6802561,"فيلا للبيع في شارع الفحيحيل, حي إشبيلية, مدينة الرياض, منطقة الرياض",2350000,425,,5,3,11,حي اشبيلية,الرياض,شرق الرياض,"( البيع كاش فقط ) 
📞 للتواصل: فيصل محمد – الخيار الصحيح
((الرقم يظهر عند الضغط على اتصال))
🏡 فيلا للبيع – حي إشبيليا 🏡
📍 الموقع: حي إشبيليا – موقع مميز وقريب من الخدمات
📏 المساحة: 425 م²
📏 الشارع : 15 م² جنوبي
⏳ العمر: 15 سنة
⏳ متوفر اتمام البناء 
🏠 المكونات:
دورين مفصولة + شقة مستقلة
الدور الأرضي:
3 غرف نوم - صالة - مجلس نساء - مطبخ - مجلس رجال - مدخل كبير  - 3 دورات مياه - ملحق خارجي مع دورة مياه
مؤجر 50 الف ✅
الدور الأول:
3 غرف نوم - صالة - مجلس رجال - مقلط - مطبخ - 3 دورات مياه
مؤجر 45 الف ✅
الشقة:
غرفتين نوم - صالة - مجلس رجال - مطبخ - دورتين مياه
مؤجر ب 29 الف ✅
💰 السوم: 2,300,000 ريال 
🏦 الفيلا مرهونة للبنك (عليها 700 ألف)
غير شامل الضريبة والسعي وهي على المشتري 
الموقع : 
https://maps.google.com/?q=24.793663,46.778103",24.793753,46.778116,https://images.aqar.fm/webp/750x0/props/016445616_1785700392548.jpg,1,علي عائض,مكتب الخيار الصحيح للخدمات العقارية,1,2026-08-02,2026-08-02,2026-08-21,1418,2026-08-23,True,"2,350,000",False,فيلا
6721389,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-القشاشية-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6721389,"فيلا للبيع في شارع القشاشية, حي إشبيلية, مدينة الرياض, منطقة الرياض",4000000,750,6,7,2,11,حي اشبيلية,الرياض,شرق الرياض,"🏡 فيلا للبيع بحي إشبيليا
🛣️ شارع 20 شمالي
📐 المساحة: 750 م²
📏 الأطوال: 25 × 30
ــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ
مواصفات الفيلا
الدور الأرضي :
▪️ مشب رجال مع دورة مياه
▪️ حوش كبير
▪️ ملحق نساء مع دورة مياه
▪️ مستودعات
▪️ مسبح
▪️ مجلسان رجال مع مغاسل ودورة مياه
▪️ مقلط
▪️ صالة كبيرة
▪️ مجلس نساء
▪️ غرفة كبار سن مع دورة مياه
▪️ مطبخ مع مستودع
ــــــــــــــــــــ
الدور العلوي : 
▪️ 6 غرف نوم
▪️ صالة كبيرة
ـــــــــــــــــــ
الدور الثالث
▪️ غرفة مع دورة مياه
ـــــــــــــــــ
⭐ موقع مميز قريب من طريق الملك عبدالله وشارع الحسن ومحطة المترو
✅ تصلح للسكن
✅ تصلح للاستثمار
✅ مناسبة لإعادة البناء
💰 السعر: 4,000,000 ريال
📄 رخصة الإعلان: 7200993412
ـــــــــــــــــــــ
أضواء الأوائل للعقارات  0555270870",24.784677,46.774814,https://images.aqar.fm/webp/750x0/props/005938293_1780762210866.png | https://images.aqar.fm/webp/750x0/props/005938296_1780762226697.jpg | https://images.aqar.fm/webp/750x0/props/005938291_1780762226698.jpg | https://images.aqar.fm/webp/750x0/props/005938290_1780762237536.jpg | https://images.aqar.fm/webp/750x0/props/005938296_1780762237541.jpg | https://images.aqar.fm/webp/750x0/props/005938295_1780762237543.jpg | https://images.aqar.fm/webp/750x0/props/005938292_1780762237570.jpg | https://images.aqar.fm/webp/750x0/props/005938292_1780762237570.jpg | https://images.aqar.fm/webp/750x0/props/005938295_1780762276314.jpg | https://images.aqar.fm/webp/750x0/props/005938298_1780762276326.jpg | https://images.aqar.fm/webp/750x0/props/005938291_1780762276324.jpg | https://images.aqar.fm/webp/750x0/props/005938292_1780762276324.jpg | https://images.aqar.fm/webp/750x0/props/005938297_1780762276306.jpg | https://images.aqar.fm/webp/750x0/props/005938296_1780762276304.jpg | https://images.aqar.fm/webp/750x0/props/005938296_1780762276325.jpg | https://images.aqar.fm/webp/750x0/props/005938294_1780762276327.jpg,16,وائل المطيري,مكتب اضواء الاوائل للعقارات,1,2026-06-06,2026-08-03,2026-08-23,1776,2026-08-23,True,"4,000,000",False,فيلا
6653662,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-الظهران-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6653662,"فيلا للبيع في شارع الظهران, حي إشبيلية, مدينة الرياض, منطقة الرياض",3000000,500,5,,,11,حي اشبيلية,الرياض,شرق الرياض,"للبيع فيلا بحي اشبيليه 
دور و 4 شقق 

الدور: مجلس مقلط صالة غرفتين نوم مطبخ داخلي ومطبخ خارجي ملحق خارجي وخيمة 

الشقق:
شقة 3 وصالة 

و3 شقق غرفتين وصالة 

المساحة 500 متر شمالي شارع 15 حرف T 

البيع 3 مليون",24.804159,46.805348,https://images.aqar.fm/webp/750x0/props/047021946_1776101582942.jpg,1,مريم محمد,مؤسسة ادارة وانجاز,1,2026-04-13,2026-08-08,2026-08-22,664,2026-08-23,True,"3,000,000",False,فيلا
6773553,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-العروبة-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6773553,"فيلا للبيع في شارع العروبة, حي إشبيلية, مدينة الرياض, منطقة الرياض",1350000,250,6,5,3,10,حي اشبيلية,الرياض,شرق الرياض,"فيلا البيع حي اشبيليا
فيلا دبلكس
عمر العقار 10 سنوات 
مساحة الفيلا 250 م 

الدار الاضي
تتكون من
مجلس رجال دورات مياة
مجلس نساء 
وصاله وسعه
2دورت مياة
مطبخ راكب جديد
مكفيات راكب
وحوش مقلط

الدار الاول
مكون من
3 ثلاث غرف نوم
ومجلس
وصاله وسعه
3 دورات مياة
بدون مكفيات مطبخ
وسطح
لا يوجد شهاده اتمام بناء
تقبل كاش او بنك
البيع كاش او بنك مليون و 350 الف",24.799228,46.803751,https://images.aqar.fm/webp/750x0/props/050999525_1786648895883.jpg | https://images.aqar.fm/webp/750x0/props/050999524_1784039102216.jpg | https://images.aqar.fm/webp/750x0/props/050999523_1784039099307.jpg | https://images.aqar.fm/webp/750x0/props/050999525_1784039099699.jpg | https://images.aqar.fm/webp/750x0/props/050999526_1784039100113.jpg | https://images.aqar.fm/webp/750x0/props/050999521_1784039100336.jpg | https://images.aqar.fm/webp/750x0/props/050999521_1784039100564.jpg | https://images.aqar.fm/webp/750x0/props/050999522_1784039100770.jpg | https://images.aqar.fm/webp/750x0/props/050999524_1784039101069.jpg | https://images.aqar.fm/webp/750x0/props/050999525_1784039101457.jpg | https://images.aqar.fm/webp/750x0/props/050999521_1784039101697.jpg | https://images.aqar.fm/webp/750x0/props/050999525_1784039101954.jpg | https://images.aqar.fm/webp/750x0/props/050999525_1784039102479.jpg | https://images.aqar.fm/webp/750x0/props/050999524_1784039102744.jpg | https://images.aqar.fm/webp/750x0/props/050999528_1784039102988.jpg | https://images.aqar.fm/webp/750x0/props/050999520_1784039103273.jpg | https://images.aqar.fm/webp/750x0/props/050999527_1784039103513.jpg | https://images.aqar.fm/webp/750x0/props/050999525_1784039103798.jpg | https://images.aqar.fm/webp/750x0/props/050999521_1784039104055.jpg | https://images.aqar.fm/webp/750x0/props/050999527_1784039104366.jpg | https://images.aqar.fm/webp/750x0/props/050999524_1784039104610.jpg | https://images.aqar.fm/webp/750x0/props/050999527_1784039104887.jpg | https://images.aqar.fm/webp/750x0/props/050999523_1784039105185.jpg | https://images.aqar.fm/webp/750x0/props/050999529_1784039105522.jpg | https://images.aqar.fm/webp/750x0/props/050999523_1784039105799.jpg | https://images.aqar.fm/webp/750x0/props/050999525_1784039106055.jpg | https://images.aqar.fm/webp/750x0/props/050999524_1784039106326.jpg | https://images.aqar.fm/webp/750x0/props/050999521_1784039106781.jpg | https://images.aqar.fm/webp/750x0/props/050999522_1784039107036.jpg,29,حماد ثامر حامد الظفيري,مؤسسة ثقة النرجس العقارية,1,2026-07-14,2026-08-12,2026-08-23,1656,2026-08-23,True,"1,350,000",False,فيلا
6709833,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-يزيد-المحاربي-حي-اشبيلية-الرياض-منطقة-الرياض-6709833,فيلا للبيع في شارع يزيد المحاربي ، حي اشبيلية ، الرياض ، منطقة الرياض,3800000,550,7,5,3,20,حي اشبيلية,الرياض,شرق الرياض,"فيلا دورين في حي إشبيليا / المخطط الذهبي 
دور ارضي يتكون من أربع غرف نوم + صاله + مجلس + مقلط+ثلاث دورات مياه + مطبخ 
وشقتين علوية كل منهما ثلاث غرف + صاله + مطبخ + دورتين مياه",24.801161,46.799889,https://images.aqar.fm/webp/750x0/props/015682685_1780426187570.jpg,1,محمد الحربي,,,2026-05-24,,2026-08-18,259,2026-08-23,False,طلب تسويق,False,فيلا
6833403,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-الرمال-حي-اشبيلية-الرياض-منطقة-الرياض-6833403,فيلا للبيع في شارع الرمال ، حي اشبيلية ، الرياض ، منطقة الرياض,4500000,500,6,5,2,15,حي اشبيلية,الرياض,شرق الرياض,في حي إشبيليا فيلا مساحة 500 م الواجهة جنوبية تتألف من فيلا درج داخلي وشقتين مسروقة وملحق خارجي ومدخل سيارة وغرفة سائق وغرفتين خدم وغسيل,24.798494,46.794754,https://images.aqar.fm/webp/750x0/props/054851580_1787313657462.jpg | https://images.aqar.fm/webp/750x0/props/054851582_1787313675524.jpg | https://images.aqar.fm/webp/750x0/props/054851585_1787313718583.jpg | https://images.aqar.fm/webp/750x0/props/054851585_1787313748472.jpg | https://images.aqar.fm/webp/750x0/props/054851580_1787313809656.jpg | https://images.aqar.fm/webp/750x0/props/054851588_1787313833625.jpg | https://images.aqar.fm/webp/750x0/props/054851588_1787313868778.jpg | https://images.aqar.fm/webp/750x0/props/054851584_1787313882442.jpg | https://images.aqar.fm/webp/750x0/props/054851583_1787313943148.jpg,9,فيصل فهد العنزي,,,2026-08-20,,2026-08-20,63,2026-08-23,False,طلب تسويق,False,فيلا
6801822,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-عبدالله-بن-المغيرة-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6801822,"فيلا للبيع في شارع عبدالله بن المغيرة, حي إشبيلية, مدينة الرياض, منطقة الرياض",3000000,355,4,4,1,11,حي اشبيلية,الرياض,شرق الرياض,"للبيع فيلا  في اشبيليه  شرق الرياض مساحه ٣٥٥ م
شارع ٢٠  واجهه شرقيه
العمر  ١٥ سنه
الدور الأرضي مجلس   مقلط مطبخ كبير وصاله مع غرفة طعام مجلس حريم ودورتين مياه
الدور العلوي غرفتين ماستر كبار  كل غرفه مع دورة مياه وغرفتين بينهم دورة مياه وصاله 
الدور الثالث غرفة خادمه مع غسيل وحمام وسطح كبير 
الفله حره بدون التزامات
لها شهادة إتمام إذا الشراء عن طريق البنك 
بناء شخصي
السعر قابل للتفاوض",24.799952,46.791547,https://images.aqar.fm/webp/750x0/props/039264860_1785676910425.jpg | https://images.aqar.fm/webp/750x0/props/039264863_1785676910485.jpg | https://images.aqar.fm/webp/750x0/props/039264867_1785676910324.jpg | https://images.aqar.fm/webp/750x0/props/039264861_1785676952884.jpg | https://images.aqar.fm/webp/750x0/props/039264862_1785676952887.jpg,5,عبدالله عبدالمحسن عبدالله العضيب,شركة عبدالله عبدالمحسن عبدالله العضيب العقارية شركة شخص واحد,1,2026-08-02,2026-08-02,2026-08-22,232,2026-08-23,True,"3,000,000",False,فيلا
6821229,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-الدفاع-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6821229,"فيلا للبيع في شارع الدفاع, حي إشبيلية, مدينة الرياض, منطقة الرياض",3400000,500,,5,5,11,حي اشبيلية,الرياض,شرق الرياض,"للبيع فيله في حي اشبيليا 
 عباره عن درج صاله فقط 
المساحه ٥٠٠م 
الاطوال ٢٠*٢٥م
شارع ٢٠م غربي 
العمر٢٥سنه 
قريب من المسجد وقريب من المدارس والخدمات
وقريب من الحديقه. 
الدور الارضي : 
قسم الرجال  مقلط ومجلس - ملحق خارجي  ودورة مياه خارجي- حوش كبير 
قسم النساء : - صالة - مطبخ 
  3 غرف نوم - 2 حمام - 2 مستودع خارجي

( يوجد غرفة سائق مع دوره مياه )
(ويوجد غرفة خادمة مع دوره مياه )
الدور الاول : 
8 غرف نوم وصاله - 3 دورات مياه

الدور الثاني :- 
سطح حر كبير جداً 
البيت عليه بنك من صندوق التنمية العقاري بمبلغ 178الف

البيع ٣مليون و٤٠٠الف 

مباشر من المالك 

https://maps.app.goo.gl/xdmN1xGnT88hzzQo9?g_st=ac",24.786382,46.785767,https://images.aqar.fm/webp/750x0/props/027151260_1786649062525.jpg | https://images.aqar.fm/webp/750x0/props/027151266_1786649062021.jpg | https://images.aqar.fm/webp/750x0/props/027151260_1786649062010.jpg | https://images.aqar.fm/webp/750x0/props/027151266_1786649062025.jpg | https://images.aqar.fm/webp/750x0/props/027151266_1786649062070.jpg | https://images.aqar.fm/webp/750x0/props/027151261_1786649062071.jpg | https://images.aqar.fm/webp/750x0/props/027151266_1786649062206.jpg | https://images.aqar.fm/webp/750x0/props/027151268_1786649062249.jpg | https://images.aqar.fm/webp/750x0/props/027151267_1786649062251.jpg | https://images.aqar.fm/webp/750x0/props/027151263_1786649062263.jpg | https://images.aqar.fm/webp/750x0/props/027151262_1786649062291.jpg | https://images.aqar.fm/webp/750x0/props/027151263_1786649062429.jpg | https://images.aqar.fm/webp/750x0/props/027151263_1786649062432.jpg | https://images.aqar.fm/webp/750x0/props/027151260_1786649062433.jpg | https://images.aqar.fm/webp/750x0/props/027151266_1786649062523.jpg | https://images.aqar.fm/webp/750x0/props/027151260_1786649062525.jpg | https://images.aqar.fm/webp/750x0/props/027151266_1786649062021.jpg | https://images.aqar.fm/webp/750x0/props/027151260_1786649062010.jpg | https://images.aqar.fm/webp/750x0/props/027151266_1786649062025.jpg | https://images.aqar.fm/webp/750x0/props/027151266_1786649062070.jpg | https://images.aqar.fm/webp/750x0/props/027151261_1786649062071.jpg | https://images.aqar.fm/webp/750x0/props/027151266_1786649062206.jpg | https://images.aqar.fm/webp/750x0/props/027151268_1786649062249.jpg | https://images.aqar.fm/webp/750x0/props/027151267_1786649062251.jpg | https://images.aqar.fm/webp/750x0/props/027151263_1786649062263.jpg | https://images.aqar.fm/webp/750x0/props/027151262_1786649062291.jpg | https://images.aqar.fm/webp/750x0/props/027151263_1786649062429.jpg | https://images.aqar.fm/webp/750x0/props/027151263_1786649062432.jpg | https://images.aqar.fm/webp/750x0/props/027151260_1786649062433.jpg | https://images.aqar.fm/webp/750x0/props/027151266_1786649062523.jpg,30,فهد سعود محمد الصويلح,مؤسسة فهد سعود محمد الصويلح للعقارات,1,2026-08-13,2026-08-13,2026-08-22,23,2026-08-23,True,"3,400,000",False,فيلا
6836849,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-الطوال-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6836849,"فيلا للبيع في شارع الطوال, حي إشبيلية, مدينة الرياض, منطقة الرياض",17000000,250,4,0,0,11,حي اشبيلية,الرياض,شرق الرياض,"للبيع بيت سكني بمساحة 250 م²

فرصة مميزة لمن يبحث عن بيت عائلي واسع ومتعدد الاستخدامات، بمساحة إجمالية 250 متر مربع، وعلى شارع بعرض 15 متر، وعمر العقار 15 سنة.

مواصفات البيت:

* 3 غرف نوم، منها غرفة نوم ماستر.
* 3 صالات، صالتان في الدور الأرضي وصالة في الدور العلوي.
* مجلس رجال مستقل.
* مقلط رجال.
* مجلس حريم.
* 6 دورات مياه.
* مطبخ.
* ملحق خارجي.
* حوش خارجي.
* مظلة خارجية.

مميزات العقار:

* توزيع مناسب للعائلة.
* تعدد المجالس والصالات، مما يوفر خصوصية ومرونة في الاستخدام.
* وجود ملحق وحوش خارجي.
* مظلة خارجية للاستفادة من المساحة الخارجية.
* شارع بعرض 15 متر.
* مساحة مناسبة للاستعمال السكني والاستقرار العائلي",24.801186,46.806128,https://images.aqar.fm/webp/750x0/props/011925261_1787484989546.jpg | https://images.aqar.fm/webp/750x0/props/011925262_1787484989539.jpg | https://images.aqar.fm/webp/750x0/props/011925261_1787484989493.jpg | https://images.aqar.fm/webp/750x0/props/011925264_1787484989544.jpg | https://images.aqar.fm/webp/750x0/props/011925264_1787484989539.jpg | https://images.aqar.fm/webp/750x0/props/011925269_1787484989510.jpg | https://images.aqar.fm/webp/750x0/props/011925263_1787484989522.jpg | https://images.aqar.fm/webp/750x0/props/011925260_1787484989541.jpg | https://images.aqar.fm/webp/750x0/props/011925269_1787485015111.jpg | https://images.aqar.fm/webp/750x0/props/011925266_1787485015109.jpg | https://images.aqar.fm/webp/750x0/props/011925268_1787485015121.jpg | https://images.aqar.fm/webp/750x0/props/011925263_1787485015137.jpg | https://images.aqar.fm/webp/750x0/props/011925266_1787485015092.jpg | https://images.aqar.fm/webp/750x0/props/011925262_1787485015107.jpg | https://images.aqar.fm/webp/750x0/props/011925261_1787485015112.jpg | https://images.aqar.fm/webp/750x0/props/011925265_1787485015084.jpg | https://images.aqar.fm/webp/750x0/props/011925269_1787485040251.jpg | https://images.aqar.fm/webp/750x0/props/011925263_1787485040294.jpg | https://images.aqar.fm/webp/750x0/props/011925263_1787485040283.jpg | https://images.aqar.fm/webp/750x0/props/011925268_1787485040295.jpg | https://images.aqar.fm/webp/750x0/props/011925269_1787485040248.jpg | https://images.aqar.fm/webp/750x0/props/011925265_1787485040287.jpg | https://images.aqar.fm/webp/750x0/props/011925260_1787485040278.jpg | https://images.aqar.fm/webp/750x0/props/011925267_1787485040270.jpg | https://images.aqar.fm/webp/750x0/props/011925260_1787485061500.jpg | https://images.aqar.fm/webp/750x0/props/011925268_1787485061489.jpg,26,محمد فيصل سويد العجمي,,,2026-08-23,2026-08-23,2026-08-23,0,2026-08-23,True,"17,000,000",False,فيلا
