listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6667684,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-القمر-حي-الإزدهار-مدينة-الرياض-منطقة-الرياض-6667684,"فيلا للبيع في شارع القمر, حي الإزدهار, مدينة الرياض, منطقة الرياض",4000000,337,5,,,10,حي الازدهار,الرياض,شرق الرياض,"https://maps.app.goo.gl/m4bBMYtpATkaEyDg7?g_st=aw

للبيع فيلا في الازدهار 
المساحة 337 م
دورين وملحق علوي وملحق بالحوش الدور الاول مجلس رجال سفرة صالة غرفة نوم مطبخ دورتين مياه 

الدور الثاني غرفة نوم رئيسية غرفة نوم صغيرة بدورة مياه غرفتين نوم بدورة مياه وصالة الملحق العلوي بالسطح غرفة مع دورة مياه وكذلك ملحق خارجي مثله مدخل سيارة 
الواجهة جنوب 
غرف النوم 5
الصالات 3
دورات مياه 5
 عرض الشارع 30 م
عمار العقار أكثر من 10 سنوات
حال الرغبة المعاينة لابد من تنسيق تصلح للسكان بعد الترميم او إلا ستثمار 
للبيع 4 مليون",24.776325,46.717948,,,صالح بن عبيد بن عايش العنزي,مكتب ابداع الصحافة للخدمات العقارية,1,2026-04-23,2026-08-18,2026-08-18,587,2026-08-23,True,"4,000,000",False,فيلا
6796278,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-عبدالله-الرويشد-حي-الازدهار-الرياض-منطقة-الرياض-6796278,فيلا للبيع في شارع عبدالله الرويشد ، حي الازدهار ، الرياض ، منطقة الرياض,6000000,625,7,5,1,36,حي الازدهار,الرياض,شرق الرياض,"بيت مساحه 625م البيع ارض
التواصل واتس اب",24.782742,46.717419,,,عبدالله بن عبدالعزيز بن محمد المرزوق,,,2026-07-29,,2026-07-29,211,2026-08-23,False,طلب تسويق,False,فيلا
6822536,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-ابن-مشعل-حي-الإزدهار-مدينة-الرياض-منطقة-الرياض-6822536,"فيلا للبيع في شارع ابن مشعل, حي الإزدهار, مدينة الرياض, منطقة الرياض",3800000,337,5,1,0,11,حي الازدهار,الرياض,شرق الرياض,"فيلا مساحتها 337.5   (١٢.٥ × ٢٧ ) على شارع ٣٠ جنوبي ، دورين  وملحق علوي وملحق بالحوش 
الدور الاول مجلس رجال ، سفرة ، صالة ، غرفة نوم ، مطبخ ، دورتين مياه.
الدور الثاني غرفة نوم رئيسية، غرفة نوم صغيرة بدورة مياه، غرفتين نوم بدورة مياه وصالة
الملحق العلوي بالسطح غرفة مع دورة مياه وكذلك ملحق خارجي مثله ، مدخل سيارة ، على السوم وفي حال الرغبة المعاينة لابد من تنسيق ، تصلح للسكن بعد الترميم او للاستثمار
البيع 3 مليون 800",24.776632,46.718027,https://images.aqar.fm/webp/750x0/props/002715260_1786727860524.jpg | https://images.aqar.fm/webp/750x0/props/002715263_1786727860431.jpg | https://images.aqar.fm/webp/750x0/props/002715268_1786727860600.jpg | https://images.aqar.fm/webp/750x0/props/002715264_1786727860606.jpg | https://images.aqar.fm/webp/750x0/props/002715263_1786727860437.jpg,5,هند العطاوي,مؤسسة قوى الأعمار الذكية,1,2026-08-14,2026-08-14,2026-08-23,142,2026-08-23,True,"3,800,000",False,فيلا
6679255,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-القمر-حي-الإزدهار-مدينة-الرياض-منطقة-الرياض-6679255,"فيلا للبيع في شارع القمر, حي الإزدهار, مدينة الرياض, منطقة الرياض",4000000,337,,,,11,حي الازدهار,الرياض,شرق الرياض,"فيلا مساحتها 337.5   (١٢.٥ × ٢٧ ) على شارع ٣٠ جنوبي ، دورين  وملحق علوي وملحق بالحوش 
الدور الاول مجلس رجال ، سفرة ، صالة ، غرفة نوم ، مطبخ ، دورتين مياه.
الدور الثاني غرفة نوم رئيسية، غرفة نوم صغيرة بدورة مياه، غرفتين نوم بدورة مياه وصالة
الملحق العلوي بالسطح غرفة مع دورة مياه وكذلك ملحق خارجي مثله ، مدخل سيارة ، على السوم وفي حال الرغبة المعاينة لابد من تنسيق ، تصلح للسكن بعد الترميم او للاستثمار",24.776325,46.717948,https://images.aqar.fm/webp/750x0/props/047169358_1777796414295.jpg | https://images.aqar.fm/webp/750x0/props/047169358_1777796414219.jpg | https://images.aqar.fm/webp/750x0/props/047169355_1777796414347.jpg | https://images.aqar.fm/webp/750x0/props/047169351_1777796414415.jpg,4,ابراهيم ضيدان بن غلاب العتيبي,مكتب راية الابتكار للخدمات العقارية,1,2026-05-03,2026-07-29,2026-08-23,762,2026-08-23,True,"4,000,000",False,فيلا
6758677,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-القمر-حي-الإزدهار-مدينة-الرياض-منطقة-الرياض-6758677,"فيلا للبيع في شارع القمر, حي الإزدهار, مدينة الرياض, منطقة الرياض",3900000,337,5,0,0,11,حي الازدهار,الرياض,شرق الرياض,"حي الازدهار فيلا مساحتها 337.5   (١٢.٥ × ٢٧ ) على شارع ٣٠ جنوبي ، دورين  وملحق علوي وملحق بالحوش 
الدور الاول مجلس رجال ، سفرة ، صالة ، غرفة نوم ، مطبخ ، دورتين مياه.
الدور الثاني غرفة نوم رئيسية، غرفة نوم صغيرة بدورة مياه، غرفتين نوم بدورة مياه وصالة
الملحق العلوي بالسطح غرفة مع دورة مياه وكذلك ملحق خارجي مثله ، مدخل سيارة ، على السوم وفي حال الرغبة المعاينة لابد من تنسيق ، تصلح للسكن بعد الترميم او للاستثمار

لايوجد عليها التزامات 
العمر تقريبا ٢٤سنة
المالك ساكن فيها
قابل للتفاوض والسوم واخر سوم ٣ مليون

الحد ٤ مليون قابل للتفاوض",24.776325,46.717948,https://images.aqar.fm/webp/750x0/props/006092898_1783122298186.jpg | https://images.aqar.fm/webp/750x0/props/006092899_1783122298182.jpg | https://images.aqar.fm/webp/750x0/props/006092893_1783122298179.jpg | https://images.aqar.fm/webp/750x0/props/006092896_1783122298183.jpg,4,فهد عبدالله فهد الفريح,مؤسسة دليل القوة العقارية,1,2026-07-03,2026-08-02,2026-08-20,332,2026-08-23,True,"3,900,000",False,فيلا
6833549,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-القمر-حي-الإزدهار-مدينة-الرياض-منطقة-الرياض-6833549,"فيلا للبيع في شارع القمر, حي الإزدهار, مدينة الرياض, منطقة الرياض",3800000,337,7,,,11,حي الازدهار,الرياض,شرق الرياض,للبيع فيلا في الرياض حي الأزدهار                                                                                                                                                                                                                                                           المساحه 337.5م ، عرض الشارع 30م ، واجهه جنوبيه ، للتواصل على الرقم : ((الرقم يظهر عند الضغط على اتصال)),24.776289,46.717953,https://images.aqar.fm/webp/750x0/props/054851869_1787256771665.jpg,1,محمد بن علي بن احمد ابوخضراء,,,2026-08-20,2026-08-20,2026-08-20,56,2026-08-23,True,"3,800,000",False,فيلا
6825655,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-ابن-مشعل-حي-الإزدهار-مدينة-الرياض-منطقة-الرياض-6825655,"فيلا للبيع في شارع ابن مشعل, حي الإزدهار, مدينة الرياض, منطقة الرياض",3400000,337,5,,,11,حي الازدهار,الرياض,شرق الرياض,"للبيع فيلا بحي الازدهار 
مساحتها  ٣٣٧.٥
الاطوال  ١٢.٥ × ٢٧ 
 شارع ٣٠ جنوبي 
التفاصيل:-
 دورين  وملحق علوي وملحق بالحوش 
الدور الاول مجلس رجال ، سفرة ، صالة ، غرفة نوم ، مطبخ ، دورتين مياه.
الدور الثاني غرفة نوم رئيسية، غرفة نوم صغيرة بدورة مياه، غرفتين نوم بدورة مياه وصالة
الملحق العلوي بالسطح غرفة مع دورة مياه وكذلك ملحق خارجي مثله ، مدخل سيارة ، على السوم وفي حال الرغبة المعاينة لابد من تنسيق ، تصلح للسكن بعد الترميم او للاستثمار
لا يوجد عليها التزامات 
العمر ٢٤ تقريباً 

السوم ٣ مليون",24.777123,46.717943,https://images.aqar.fm/webp/750x0/props/048323277_1786891940238.jpg,1,نوال بنت سعد بن صقر العتيبي,مؤسسة مسكن الياسمين,1,2026-08-16,2026-08-16,2026-08-23,125,2026-08-23,True,"3,400,000",False,فيلا
6710324,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-قابس-حي-الإزدهار-مدينة-الرياض-منطقة-الرياض-6710324,"فيلا للبيع في شارع قابس, حي الإزدهار, مدينة الرياض, منطقة الرياض",3000000,312,,0,0,11,حي الازدهار,الرياض,شرق الرياض,"فله في حي الازدهار 
وصف العقار/ العقار عبارة عن فيلا دوبلكس مكونة من (دورين مفصولة + ملحق علوي) - الدور الأرضي يتكون من( مجلس + مقلطين + صالة + مطبخ + غرفتين + دورتين مياه) - والدور الأول بمدخل خاص يتكون من( مجلس + مقلطين + مطبخ + غرفتين + دورتين مياه) والملحق العلوي يتكون من( غرفة + دورة مياه) ويوجد بناء في الارتداد الشرقي عبارة عن( مستودع بسقف من الشينكو).",24.784194,46.712733,https://images.aqar.fm/webp/750x0/props/019338322_1779691038556.jpg | https://images.aqar.fm/webp/750x0/props/019338320_1779691038555.jpg,2,بندر محمد,,,2026-05-25,2026-07-22,2026-07-22,3172,2026-08-23,True,"3,000,000",False,فيلا
6792388,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-القمر-حي-الإزدهار-مدينة-الرياض-منطقة-الرياض-6792388,"فيلا للبيع في شارع القمر, حي الإزدهار, مدينة الرياض, منطقة الرياض",3800000,337,5,6,1,11,حي الازدهار,الرياض,شرق الرياض,"فيلا للبيع في حي الازدهار
فرصة مميزة لامتلاك فيلا بموقع ممتاز في حي الازدهار، كما تصلح للسكن بعد ترميم بسيط او كفرصة استثمارية.
-----------------------------------
تفاصيل العقار:
المساحة: 337.5 م²
الواجهة: جنوبية
عرض الشارع: 30 متر
-----------------------------------
مكونات الفيلا:
دوران
ملحق علوي
ملحق خارجي بالحوش
مدخل سيارة

الدور الأرضي:
مجلس رجال
مقلط
صالة
غرفة نوم
مطبخ
دورتا مياه

الدور الأول:
غرفة نوم رئيسية
غرفة نوم بدورة مياه
غرفتا نوم بدورة مياه
صالة

الملحق العلوي:
غرفة
دورة مياه

الملحق الخارجي:
غرفة
دورة مياه
-----------------------------------
مميزات العقار:
موقع مميز في حي الازدهار.
مناسبة للسكن بعد ترميم بسيط.
فرصة استثمارية جيدة لإعادة التأهيل أو التطوير.
المعاينة متاحة بعد التنسيق المسبق.
السعر: 3,800,000 ريال.
-----------------------------------
للتواصل والاستفسار:
(الرقم يظهر عند الضغط على اتصال)
خدمة العملاء : 920016962",24.776325,46.717948,https://images.aqar.fm/webp/750x0/props/035714091_1785144004003.jpg | https://images.aqar.fm/webp/750x0/props/035714090_1785143999922.jpg | https://images.aqar.fm/webp/750x0/props/035714099_1785144007147.jpg | https://images.aqar.fm/webp/750x0/props/035714097_1785144012609.jpg,4,عمار الشهري,شركة أحمد سليمان بن حمد المحيسني العقارية,1,2026-07-27,2026-07-27,2026-07-27,212,2026-08-23,True,"3,800,000",False,فيلا
6807688,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-القمر-حي-الإزدهار-مدينة-الرياض-منطقة-الرياض-6807688,"فيلا للبيع في شارع القمر, حي الإزدهار, مدينة الرياض, منطقة الرياض",3500000,337,5,1,0,11,حي الازدهار,الرياض,شرق الرياض,"للبيــــــــع فيلا قيمة ارض بحي الازدهار شمال الرياض موقع ممتاز قريبه من طريق عثمان بن عفان مع طريق المام سعود 

المساحه ٣٣٧ متر
الوجهه جنوبيه 
الشارع ٣٠
الطوال ١٢.٥ في ٢٧
السوم وصل ٣ مليون 
البيــــــــــــــــع ٣ مليون ٥٠٠ الاف",24.776325,46.717948,,,بشرى القطان,مؤسسة أملاك نجد العقارية,1,2026-08-05,2026-08-05,2026-08-23,152,2026-08-23,True,"3,500,000",False,فيلا
6797689,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-عبدالله-الرويشد-حي-الإزدهار-مدينة-الرياض-منطقة-الرياض-6797689,"فيلا للبيع في شارع عبدالله الرويشد, حي الإزدهار, مدينة الرياض, منطقة الرياض",5000000,625,5,1,0,11,حي الازدهار,الرياض,شرق الرياض,"فرصه فرصه فرصه للاستثمار والتطوير العقاري 
للبيع فيلا درج صاله 
الحي الازدهار 
مساحه 625  متر
الواجهة 
شماليه شارع 20 متر
عمر العقار 18 سنه 
1-الدور الارضي
1- مجلس2- مقلط3- غرفة طعام 4- صالة جلوس 5- مجلس نساء 6- مطبخ مع مستودع صغير 7- حمامين

2- الدور الاول

يوجد فية 3 اجنحة
1- الجناح الرئيسي غرفة نوم زائد غرفتين وحمام
2- الجناح الثاني
غرفتين وحمام
3- الجناح الثالث
غرفتين وحمام

 3- السطح
يوجد بة غرفتين وحمام
4- الحوش 
مساحة الحوش من الجهة الشرقية 125 م
بلاضافة الى غرفة مع حمام خاص بالسواق
البيع 5 مليون ريال
مباشر مع المالك",24.782793,46.717631,https://images.aqar.fm/webp/750x0/props/013668657_1786872380097.jpg,1,بشرى عبدالكريم,مؤسسة بيت الحكمة للخدمات العقارية,1,2026-07-30,2026-07-30,2026-08-23,408,2026-08-23,True,"5,000,000",False,فيلا
6817429,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-القمر-حي-الإزدهار-مدينة-الرياض-منطقة-الرياض-6817429,"فيلا للبيع في شارع القمر, حي الإزدهار, مدينة الرياض, منطقة الرياض",3800000,337,5,,,11,حي الازدهار,الرياض,شرق الرياض,"فيلا مساحتها 337.5   (١٢.٥ × ٢٧ ) على شارع ٣٠ جنوبي ، دورين  وملحق علوي وملحق بالحوش 
الدور الاول مجلس رجال ، سفرة ، صالة ، غرفة نوم ، مطبخ ، دورتين مياه.
الدور الثاني غرفة نوم رئيسية، غرفة نوم صغيرة بدورة مياه، غرفتين نوم بدورة مياه وصالة
الملحق العلوي بالسطح غرفة مع دورة مياه وكذلك ملحق خارجي مثله ، مدخل سيارة ، على السوم وفي حال الرغبة المعاينة لابد من تنسيق ، تصلح للسكن بعد الترميم او للاستثمار
لايوجد عليها التزامات 
العمر تقريبا ٢٤سنة
المالك ساكن فيها
قابل للتفاوض والسوم واخر سوم ٣ مليون",24.776325,46.717948,https://images.aqar.fm/webp/750x0/props/048231981_1786482572468.jpg | https://images.aqar.fm/webp/750x0/props/048231984_1786482572500.jpg | https://images.aqar.fm/webp/750x0/props/048231989_1786482572645.jpg | https://images.aqar.fm/webp/750x0/props/048231988_1786482572645.jpg,4,أحمد بن سليمان بن احمد العقيلي,مؤسسة فرصتك العقارية للخدمات العقارية المتكاملة,1,2026-08-11,2026-08-11,2026-08-23,54,2026-08-23,True,"3,800,000",False,فيلا
6593467,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الازدهار/شارع-عبدالعزيز-القاضي-حي-الإزدهار-مدينة-الرياض-منطقة-الرياض-6593467,"فيلا للبيع في شارع عبدالعزيز القاضي, حي الإزدهار, مدينة الرياض, منطقة الرياض",2600000,295,7,1,0,11,حي الازدهار,الرياض,شرق الرياض,"فيلا مستقلة للبيع – حي الازدهار
مساحة 294م² | واجهة غربية | شارع 15م
تفصيل راقي ومساحات واسعة
الدور الأرضي رجال ونساء مستقلين + استعداد لمصعد
الأول 4 غرف وصالة كبيرة
الثاني مطبخ + غرفة شغالة + سطح
 رهن ساب 299 ألف –",24.778263,46.716066,https://images.aqar.fm/webp/750x0/props/048880679_1783368373290.jpg | https://images.aqar.fm/webp/750x0/props/048880676_1783368373378.jpg | https://images.aqar.fm/webp/750x0/props/048880674_1783368373378.jpg | https://images.aqar.fm/webp/750x0/props/048880670_1783368373293.jpg | https://images.aqar.fm/webp/750x0/props/048880678_1783368373516.jpg | https://images.aqar.fm/webp/750x0/props/048880673_1783368373517.jpg | https://images.aqar.fm/webp/750x0/props/048880676_1783368373598.jpg | https://images.aqar.fm/webp/750x0/props/048880679_1783368373600.jpg,8,عبيد سعيد مطير الشمري,مكتب قشاعم للخدمات العقارية,1,2026-02-16,2026-08-10,2026-08-22,9578,2026-08-23,True,"2,600,000",False,فيلا
