listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6787162,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الاندلس/شارع-عبدالرحيم-الخزرجي-حي-الاندلس-الرياض-منطقة-الرياض-6787162,فيلا للبيع في شارع عبدالرحيم الخزرجي ، حي الاندلس ، الرياض ، منطقة الرياض,1550000,260,3,5,0,0,حي الاندلس,الرياض,شرق الرياض,"ادوار منفصلة للبيع 
- الدور الارضي مدخل خاص ٣ غرف مع غرف سائق وخادمه صاله واسعه و ومدخل سيارة 
- الدور الاول والثاني مصعد ومدخل وموقف سياره 
نسبة التنفيذ بالمشروع ٧٠٪ 
الاسعار تختلف حسب الدور",24.752699,46.791553,https://images.aqar.fm/webp/750x0/props/038566462_1784814852719.jpg | https://images.aqar.fm/webp/750x0/props/038566469_1784814852665.jpg | https://images.aqar.fm/webp/750x0/props/038566462_1784814852728.jpg,3,خالد عبدالعزيز بن ابراهيم المنصور,مؤسسة إتقان المنفعة,1,2026-07-23,,2026-08-22,144,2026-08-23,False,طلب تسويق,False,فيلا
6570121,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الاندلس/شارع-عمر-المسراني-حي-الأندلس-مدينة-الرياض-منطقة-الرياض-6570121,"فيلا للبيع في شارع عمر المسراني, حي الأندلس, مدينة الرياض, منطقة الرياض",4100000,550,6,5,2,4,حي الاندلس,الرياض,شرق الرياض,"للبيــع فيلا زاويه درج صالة مع شقة مدخل خاص حي الأندلس موقع مميز 
المساحة 550م
الشارع 15م شرقي 
الشارع 15م جنوبي 
عمر العقار 4 سنوات 
*مواصفات الفيلا*
مدخل سيارة - غرفة سائق - الفيلا لها مدخلين رجال ونساء مدخل الرجال : مجلس رجال - غرفة طعام رجال - مطبخ - صاله كبيره - غرفة كبار السن بدورة مياه 
مدخل النساء : مجلس نساء - غرفة طعام 
فوق 6 غرف - صالة كبيرة 
السطح غرفتين
الشقة لها مدخل خاص 
مكونة من ثلاث غرف - صالة - مطبخ",24.746187,46.784677,https://images.aqar.fm/webp/750x0/props/029804271_1769882618357.jpg,1,عبيد سعيد مطير الشمري,مكتب قشاعم للخدمات العقارية,1,2026-01-31,2026-07-25,2026-08-23,2174,2026-08-23,True,"4,100,000",False,فيلا
6738288,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الاندلس/شارع-سعد-بن-الربيع-حي-الأندلس-مدينة-الرياض-منطقة-الرياض-6738288,"فيلا للبيع في شارع سعد بن الربيع, حي الأندلس, مدينة الرياض, منطقة الرياض",3800000,600,,,,11,حي الاندلس,الرياض,شرق الرياض,"فلة قديمة واجهة شرقية موقع مميز 
للتواصل ((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.735514,46.790344,https://images.aqar.fm/webp/750x0/props/004432037_1781799950098.jpg | https://images.aqar.fm/webp/750x0/props/004432033_1781800760863.jpg,2,طارق سعد,شركة طارق سعد اليحيى العقارية شركة شخص واحد,1,2026-06-18,2026-06-18,2026-07-29,907,2026-08-23,True,"3,800,000",False,فيلا
6679994,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الاندلس/شارع-عياض-بن-أبي-سهمة-حي-الأندلس-مدينة-الرياض-منطقة-الرياض-6679994,"فيلا للبيع في شارع عياض بن أبي سهمة, حي الأندلس, مدينة الرياض, منطقة الرياض",2700000,264,7,5,3,0,حي الاندلس,الرياض,شرق الرياض,"*الروابط العقارية للتسويق والتطوير العقاري*
فرصة عقارية مميزة 
🏷️ *للبيع فيلا زاويه درج داخلي مصعد مؤسس

📍 الموقع : حي الاندلس  
🔘زاويه شارع  عرض : 15م شمالي وشارع 15م شرقي

🔘المساحة :  264م
🔘العمر : جديده
_________
> التفاصيل :
*الدور الارضي:*
مدخل رجال + مجلس + دورة مياه للرجال +صالة طعام + صاله كبيره + دورة مياه +مدخل خاص للنساء + مطبخ + مساحة تخزين تحت الدرج 
*الدور الاول:*
صاله + غرفتين نوم مع دورة مياه + غرفتين نوم ماستر 
*الدور الثاني :*
صاله + غرفة نوم ماستر + غرفة خادمه مع دورة مياه + منطقة  غسيل + سطح 
💵 السعر :  2700000  


------------
🔴لتسويق عقاراتكم والبحث لكم عن عقار مناسب لا تترد بالتواصل معنا على الواتساب الموجود في الصفحة او الاتصال 
0533322073   : 📞
0554554888  : 📞

ملاحظة 📝يلزم التنسيق مسبقا حتى يتم ترتيب موعد لمعاينة العقار من الداخل

*الموقع*
غير دقيق",24.745945,46.78714,https://images.aqar.fm/webp/750x0/props/045657017_1777825431688.jpg | https://images.aqar.fm/webp/750x0/props/045657014_1777825431692.jpg | https://images.aqar.fm/webp/750x0/props/045657017_1777825431696.jpg | https://images.aqar.fm/webp/750x0/props/045657010_1777825431668.jpg | https://images.aqar.fm/webp/750x0/props/045657015_1777825431630.jpg | https://images.aqar.fm/webp/750x0/props/045657015_1777825431674.jpg | https://images.aqar.fm/webp/750x0/props/045657011_1777825431572.jpg | https://images.aqar.fm/webp/750x0/props/045657015_1777825431668.jpg | https://images.aqar.fm/webp/750x0/props/045657011_1777825479633.jpg | https://images.aqar.fm/webp/750x0/props/045657011_1777825479639.jpg | https://images.aqar.fm/webp/750x0/props/045657011_1777825479628.jpg | https://images.aqar.fm/webp/750x0/props/045657015_1777825479702.jpg | https://images.aqar.fm/webp/750x0/props/045657018_1777825479636.jpg | https://images.aqar.fm/webp/750x0/props/045657010_1777825479609.jpg | https://images.aqar.fm/webp/750x0/props/045657016_1777825479699.jpg | https://images.aqar.fm/webp/750x0/props/045657011_1777825479705.jpg | https://images.aqar.fm/webp/750x0/props/045657013_1777825512802.jpg | https://images.aqar.fm/webp/750x0/props/045657012_1777825512729.jpg | https://images.aqar.fm/webp/750x0/props/045657018_1777825512945.jpg | https://images.aqar.fm/webp/750x0/props/045657012_1777825512712.jpg | https://images.aqar.fm/webp/750x0/props/045657017_1777825512797.jpg | https://images.aqar.fm/webp/750x0/props/045657014_1780932727572.jpg,22,رضا المازني,مؤسسة الروابط العقارية,1,2026-05-03,2026-07-29,2026-07-29,248,2026-08-23,True,"2,700,000",False,فيلا
6675905,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الاندلس/شارع-قرطاجة-حي-الأندلس-مدينة-الرياض-منطقة-الرياض-6675905,"فيلا للبيع في شارع قرطاجة, حي الأندلس, مدينة الرياض, منطقة الرياض",5300000,759,,5,3,11,حي الاندلس,الرياض,شرق الرياض,$5c,24.740372,46.794086,https://images.aqar.fm/webp/750x0/props/002459390_1777527246872.jpg | https://images.aqar.fm/webp/750x0/props/002459398_1777527251082.jpg | https://images.aqar.fm/webp/750x0/props/002459391_1777527259926.jpg | https://images.aqar.fm/webp/750x0/props/002459398_1777527271810.jpg | https://images.aqar.fm/webp/750x0/props/002459399_1777527277724.jpg | https://images.aqar.fm/webp/750x0/props/002459393_1777527287263.jpg | https://images.aqar.fm/webp/750x0/props/002459399_1777527304353.jpg | https://images.aqar.fm/webp/750x0/props/002459390_1777527311599.jpg | https://images.aqar.fm/webp/750x0/props/002459393_1777527315614.jpg | https://images.aqar.fm/webp/750x0/props/002459392_1777527326110.jpg | https://images.aqar.fm/webp/750x0/props/002459391_1777527332180.jpg | https://images.aqar.fm/webp/750x0/props/002459395_1777527338807.jpg | https://images.aqar.fm/webp/750x0/props/002459395_1777527347380.jpg | https://images.aqar.fm/webp/750x0/props/002459390_1777527357182.jpg | https://images.aqar.fm/webp/750x0/props/002459391_1777527365519.jpg | https://images.aqar.fm/webp/750x0/props/002459397_1777527370395.jpg | https://images.aqar.fm/webp/750x0/props/002459393_1777527379938.jpg,17,محمد بن مساعد بن محمد البراهيم,,,2026-04-30,2026-07-26,2026-07-26,1492,2026-08-23,True,"5,300,000",False,فيلا
6587642,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الاندلس/شارع-علي-التونسي-حي-الأندلس-مدينة-الرياض-منطقة-الرياض-6587642,"فيلا للبيع في شارع علي التونسي, حي الأندلس, مدينة الرياض, منطقة الرياض",2300000,483,7,1,0,11,حي الاندلس,الرياض,شرق الرياض,"فيلا بقيمة ارض سكنية في حي الاندلس
المساحه 483 متر
شارع 15 غربي
الأطوال (21/23)
الدور الأرضي 
ملحق خارجي مع حمام 
من الداخل مقلط + صاله + ٣ غرف نوم + مطبخ + حمامين + عدد الأحواش ٢ كبيره 
الدور العلوي /مقلط + صاله + صالة طعام+ ٣ غرف نوم + مطبخ + حمامين  + حوش تحت 
السطح / يوجد غرفه وحمام",24.746232,46.790814,,,موضي حمد هجرس الباهلي,شركة مهادا العقارية شركة شخص واحد,1,2026-02-12,2026-08-05,2026-08-21,1280,2026-08-23,True,"2,300,000",False,فيلا
6822766,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الاندلس/شارع-وادي-درعة-حي-الاندلس-الرياض-منطقة-الرياض-6822766,"فيلا للبيع في شارع وادي درعة, حي الأندلس, مدينة الرياض, منطقة الرياض",4000000,600,7,5,2,11,حي الاندلس,الرياض,شرق الرياض,قابل للتفاوض …,24.748451,46.780186,https://images.aqar.fm/webp/750x0/props/054696095_1786738121100.jpg,1,احمد بن فهد بن عبدالله اللحيدان,,,2026-08-14,2026-08-14,2026-08-22,72,2026-08-23,True,"4,000,000",False,فيلا
6801668,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الاندلس/شارع-ابن-عبدالغفار-النيسابوري-حي-الأندلس-مدينة-الرياض-منطقة-الرياض-6801668,"فيلا للبيع في شارع ابن عبدالغفار النيسابوري, حي الأندلس, مدينة الرياض, منطقة الرياض",4200000,760,6,1,0,11,حي الاندلس,الرياض,شرق الرياض,"للبيع فيلا في حي الاندلس مساحه ٧٦٠ م
الفيلا بصكين
زاويه غربيه جنوبيه 
شارع ١٥ وساحه 
تفاصيل الفيلا
مجلس رجال كبير مستقل مع الحوش
—
الدور الاول
حوش مستقل بمساحة ممتازة
صالة
مجلس نساء 
4 غرف نوم
3 دورات مياة
مطبخ خارجي
مستودع تخزين خارجي
شقة بحوش مستقل
—
الدور الثاني
حوش مستقل كبير
4 غرف نوم
3 دورات مياة
مطبخ
صالة
مستودع تخزين بسيط

—

الدور الثالث
3 غرف نوم
دورة مياة
سطحين مقسّمة
العمر ١٦ سنه
السعر ٤ مليون ٢٠٠ 
في تفاوض للصامل 
مباشر
للتواصل ((الرقم يظهر عند الضغط على اتصال))",24.74845,46.792605,https://images.aqar.fm/webp/750x0/props/006273854_1785698533471.jpg,1,بشرى عبدالكريم,مؤسسة بيت الحكمة للخدمات العقارية,1,2026-08-02,2026-08-02,2026-08-23,261,2026-08-23,True,"4,200,000",False,فيلا
6725843,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الاندلس/شارع-محمد-زهر-حي-الأندلس-مدينة-الرياض-منطقة-الرياض-6725843,"فيلا للبيع في شارع محمد زهر, حي الأندلس, مدينة الرياض, منطقة الرياض",5300000,606,,0,0,6,حي الاندلس,الرياض,شرق الرياض,"🏠للبيع فله٦٠٦ م بحي الاندلس زاوية جنوبيه شرقية شوارع ١٥،دور ارضي مستقل مع درج داخلي + شقتين
عمر العقار ٦ سنوات بناء شخصي وتشطيب عالي
🔺(الدور الارضي)مدخل رجال /مدخل سياره /ملحق خارجي مع دورة مياه /مجلس رجال /صالة جلوس/دورة مياه مع المغاسل /مقلط 
-مجلس نساء خارجي مع دورة مياه ومغاسل ( مستقل )
صالة جانبيه/غرفة مع دورة مياه / مطبخ رئيسي / مطبخ صغير / مستودع 
🔺(الدور الاول )
غرفة نوم رئيسية كبيره مع غرفة ملابس ودورة مياه / غرفة نوم مع دورة مياه / غرفتين نوم مع دورة مياه
🔺(الخدمات) غرفة سائق/غرفة خادمة مع دورة مياه /غرفة غسيل مع مستودع /غاز مركزي /مصعد/ خزان مستقل
🔺شقتين (كل شقه تحتوي على ) : 
-مجلس رجال مع دورة مياه ومغاسل / مطبخ/ غرفة نوم/ غرفة نوم مع دورة مياه/ صالة
@@ السعي +الضريبة على المشتري@@
@@ العرض لمشتري فقط ونعتذر من الوسطاء@@",24.73685,46.786942,https://images.aqar.fm/webp/750x0/props/035702526_1785072238942.jpg,1,نوره ردن,,,2026-06-09,2026-08-06,2026-08-18,1142,2026-08-23,True,"5,300,000",False,فيلا
6613603,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الاندلس/شارع-الصلاح-حي-الأندلس-مدينة-الرياض-منطقة-الرياض-6613603,"فيلا للبيع في شارع الصلاح, حي الأندلس, مدينة الرياض, منطقة الرياض",2100000,318,5,1,0,0,حي الاندلس,الرياض,شرق الرياض,"للبيع تاون هاوس وبنت هاوس – حي الأندلس
 واجهة شمالية | شارع 15م | موقع مميز – حي هادئ وقريب من جميع الخدمات
أولاً: التاون هاوس
الدور الارضي 
مدخل سيارة – مجلس رجال + مقلط – صالة واسعة – مطبخ – غرفة نوم ماستر (أرضي) – غرفة خادمة – الدور الأول: 3 غرف نوم (منها ماستر + غرفتان بحمام مشترك) 
 الدور العلوي: 
غرفة نوم + غرفة خادمة + سطح خاص
ثانياً: البنت هاوس
الدور الأول: 
مجلس مع حمام + صالة واسعة + مطبخ 
 الدور العلوي: 
غرفة ماستر + غرفتان بحمام مشترك
فرصة مميزة للسكن العائلي في موقع حيوي",24.741781,46.784909,https://images.aqar.fm/webp/750x0/props/040719013_1772595797925.jpg | https://images.aqar.fm/webp/750x0/props/040719011_1772595797762.jpg | https://images.aqar.fm/webp/750x0/props/040719014_1772595797835.jpg | https://images.aqar.fm/webp/750x0/props/040719019_1772595797861.jpg | https://images.aqar.fm/webp/750x0/props/040719012_1772595797990.jpg | https://images.aqar.fm/webp/750x0/props/040719013_1772595798062.jpg | https://images.aqar.fm/webp/750x0/props/040719016_1772595798146.jpg,7,بشرى عبدالكريم,مؤسسة بيت الحكمة للخدمات العقارية,1,2026-03-04,2026-06-14,2026-08-10,2319,2026-08-23,True,"2,100,000",False,فيلا
