listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6738907,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-البديعة/شارع-السويداوي-حي-البديعة-مدينة-الرياض-منطقة-الرياض-6738907,"فيلا للبيع في شارع السويداوي, حي البديعة, مدينة الرياض, منطقة الرياض",900000,413,,0,0,11,حي البديعة,الرياض,غرب الرياض,"ثلاثه عقارات للبيع في موقع مميز في حي البديعه القديم للاستفسار التواصل عبر الرقم ((الرقم يظهر عند الضغط على اتصال))
الرقم((الرقم يظهر عند الضغط على اتصال))",24.618227,46.678752,https://images.aqar.fm/webp/750x0/props/023554279_1781852664981.jpg | https://images.aqar.fm/webp/750x0/props/023554272_1781852665008.jpg | https://images.aqar.fm/webp/750x0/props/023554271_1781852664999.jpg | https://images.aqar.fm/webp/750x0/props/023554270_1781852664996.jpg | https://images.aqar.fm/webp/750x0/props/023554273_1781852664994.jpg | https://images.aqar.fm/webp/750x0/props/023554277_1781852664999.jpg | https://images.aqar.fm/webp/750x0/props/023554271_1781852665005.jpg | https://images.aqar.fm/webp/750x0/props/023554275_1781852664994.jpg,8,علي المروان,مكتب وسيط آلبيت للعقارات,1,2026-06-19,2026-08-19,2026-08-19,2848,2026-08-23,True,"900,000",False,فيلا
6810645,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-البديعة/شارع-المدينة-حي-البديعة-مدينة-الرياض-منطقة-الرياض-6810645,"فيلا للبيع في شارع المدينة, حي البديعة, مدينة الرياض, منطقة الرياض",800000,122,6,,,11,حي البديعة,الرياض,غرب الرياض,"للبيع بيت على شارع المدينه 

تجاري
الاطوال 7 في عمق 17.5
على شارعين 
عداد واحد 
ماء وكهرب مؤجر
 ب ٣٥٠٠٠ كل ٦ شهور عقد إلكتروني
6 غرف 3 حمامات",24.615857,46.688679,https://images.aqar.fm/webp/750x0/props/019706919_1786174038020.jpg | https://images.aqar.fm/webp/750x0/props/019706911_1786174038064.jpg,2,عبدالمحسن سليمان عبدالمحسن الحصين,,0,2026-08-08,2026-08-08,2026-08-08,232,2026-08-23,True,"800,000",False,فيلا
6597681,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-البديعة/شارع-دغيثر-حي-البديعة-مدينة-الرياض-منطقة-الرياض-6597681,"فيلا للبيع في شارع دغيثر, حي البديعة, مدينة الرياض, منطقة الرياض",3120000,1200,7,,,11,حي البديعة,الرياض,غرب الرياض,"‏‏فيلا للبيع - حي البديعة

مساحتها 1200 متر مربع
على شارعين

عمر الفيلا اكثر من 35 سنة

حدودها كالتالي :

غربا جار بطول 50.04 متر
شمالا جار بطول 24.01 متر
جنوبا شارع عرض 10 م بطول 24 متر
شرقا شارع عرض 10 متر بطول 50.03 متر

للتسويق والمبيعات شركة عبدالمحسن بن محارب العقارية

920022022
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))
رخصة فال : 1200021236
اعلان : 7200872477",24.619992,46.683348,https://images.aqar.fm/webp/750x0/props/034631182_1771536446651.jpg | https://images.aqar.fm/webp/750x0/props/034631182_1771536446590.jpg | https://images.aqar.fm/webp/750x0/props/034631180_1771536446587.jpg | https://images.aqar.fm/webp/750x0/props/034631186_1784481408936.jpg,4,عبدالمحسن بن محارب,شركة عبدالمحسن عبدالرحمن بن محارب العقارية,1,2026-02-19,2026-08-13,2026-08-13,1310,2026-08-23,True,"3,120,000",False,فيلا
6617257,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-البديعة/شارع-صيفي-بن-عمرو-حي-البديعة-مدينة-الرياض-منطقة-الرياض-6617257,"فيلا للبيع في شارع صيفي بن عمرو, حي البديعة, مدينة الرياض, منطقة الرياض",2790000,900,,0,0,11,حي البديعة,الرياض,غرب الرياض,"🔥 للبيع فيلا على أرض 900م بجوار مستشفى الشميسي – فرصة استثمارية 🔥

📍 الرياض – حي البديعة
موقع مميز جداً بجوار مستشفى الشميسي ومطلوب دائماً للتأجير.

📐 المساحة: 900 م²

🏡 العقار يتكون من:
▪️ فيلا مؤجرة على شركة 70,000 سنوياً
▪️ ملحق 5 غرف مؤجر لممرضين 35,000 سنوياً
▪️ ملحق 3 غرف مطلوب للإيجار 55,000 سنوياً

💰 الدخل المتوقع:
160,000 ريال سنوياً

✨ مميزات العقار:
▪️ موقع استثماري قوي
▪️ البيع بقيمة أرض
▪️ إمكانية ترميم الفيلا وفصلها لدورين
▪️ الملاحق مجددة قبل سنة ونصف

💵 السعر:
3,100 ريال للمتر
قابل للتفاوض للجادين.

📍 الموقع:
‏https://maps.app.goo.gl/A2Ad4T6GU7upTfcv7?g_st=ic

📞 للتواصل:
0542771131

🪪 رخصة فال: 1100260090
📄 رقم الترخيص: 7100266006

⸻",24.619291,46.6826,https://images.aqar.fm/webp/750x0/props/038303353_1772897382999.jpg | https://images.aqar.fm/webp/750x0/props/038303357_1772897424671.jpg | https://images.aqar.fm/webp/750x0/props/038303352_1772897441326.jpg | https://images.aqar.fm/webp/750x0/props/038303355_1772897441308.jpg,4,سلوى موسى بن علي الحميد,,,2026-03-07,2026-07-30,2026-08-03,337,2026-08-23,True,"2,790,000",False,فيلا
6596612,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-البديعة/شارع-أبي-قربة-حي-البديعة-مدينة-الرياض-منطقة-الرياض-6596612,"فيلا للبيع في شارع أبي قربة, حي البديعة, مدينة الرياض, منطقة الرياض",600000,230,,0,0,11,حي البديعة,الرياض,غرب الرياض,"للبيع بيت في حي البديعه بالقرب من حي الجرادية والشميسي 

المساحة ٣٠٥ م  مقسومة على صكين 
صك بمساحة ٢٣٠.٥
صك بمساحة ٧٤.٥

شارع ٨ م 
وممر ٣م 

يحتوي البيت على ١٤ غرفة تقريباً

السعر على السوم 

للتواصل :

 

مكتب وسام الرياض للعقارات",24.620192,46.691625,https://images.aqar.fm/webp/750x0/props/012812259_1771713569506.jpg | https://images.aqar.fm/webp/750x0/props/012812259_1771713569499.jpg,2,عبدالمحسن عماد,مكتب وسام الرياض للعقارات,1,2026-02-19,2026-08-12,2026-08-12,2601,2026-08-23,True,"600,000",False,فيلا
6588372,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-البديعة/شارع-صيفي-بن-عمرو-حي-البديعة-مدينة-الرياض-منطقة-الرياض-6588372,"فيلا للبيع في شارع صيفي بن عمرو, حي البديعة, مدينة الرياض, منطقة الرياض",2700000,900,,0,0,11,حي البديعة,الرياض,غرب الرياض,"فيلا للبيع في البديعه
السعر2700000
موقع مميز
لايوجد نزاعات او ايقاف",24.619152,46.682583,,,مريم جابر,مؤسسة مكتب أصايل التمنيه للعقارات,1,2026-02-12,2026-02-12,2026-02-26,206,2026-08-23,True,"2,700,000",False,فيلا
6667625,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-البديعة/شارع-أبي-الكرم-الحمامي-حي-البديعة-مدينة-الرياض-منطقة-الرياض-6667625,"فيلا للبيع في شارع أبي الكرم الحمامي, حي البديعة, مدينة الرياض, منطقة الرياض",1400000,505,,5,1,11,حي البديعة,الرياض,غرب الرياض,"فيلا قديمة للبيع - حي البديعة 

العمر: اكثر من 40 سنة  

شمالٌأ قطعة بطول 20م 
جنوبٌا شارع عرض10م بطول 25م 
شرقٌا قطعة بطول 20م
غربٌا شارع 10م بطول 20م

الدور الارضي
مجلس رجال
مجلس نساء
مقلط رجال
مقلط نساء
مطبخ
بيت شعر خارجي
مطبخ
دورتين مياه
غرفتين
غرفة طعام
غرفة تخزين

الدور الأول
4غرف 
3 دورات مياه



*السعر : 1,400,000 ريال *



للتسويق والمبيعات شركة عبدالمحسن بن محارب العقارية

920022022
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))

رخصة فال : 1200021236
اعلان : 7200946750",24.616075,46.681002,https://images.aqar.fm/webp/750x0/props/034631187_1776966040135.jpg | https://images.aqar.fm/webp/750x0/props/034631183_1776966202744.jpg | https://images.aqar.fm/webp/750x0/props/034631181_1787129198431.jpg,3,عبدالمحسن بن محارب,شركة عبدالمحسن عبدالرحمن بن محارب العقارية,1,2026-04-23,2026-08-18,2026-08-18,2126,2026-08-23,True,"1,400,000",False,فيلا
6731999,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-البديعة/شارع-علي-الخوارزمي-حي-البديعة-مدينة-الرياض-منطقة-الرياض-6731999,"فيلا للبيع في شارع علي الخوارزمي, حي البديعة, مدينة الرياض, منطقة الرياض",500000,165,6,,,11,حي البديعة,الرياض,غرب الرياض,"للبيع بيت شعبي 

الموقع البديعة 

مؤجر حاليا 11 الف ايجار قديم جدا

عدد الغرف ٧ غرف 

٣ دورات مياه اكرمكم الله 

مطبخ

غرفة خارجيه لم تؤجر 

عداد كهرباء 

عداد الماء 

السوم ٤٠٠ الف 

سعر الببيع 500 الف 

للتواصل العيد للتطوير والاستثمار العقاري 

((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.616272,46.685558,https://images.aqar.fm/webp/750x0/props/001700651_1781422861463.jpg,1,خالد صالح بن عبدالله العيد,مكتب خالد صالح عبدالله العيد للتطوير والاستثمار العقاري,1,2026-06-14,2026-08-11,2026-08-21,2211,2026-08-23,True,"500,000",False,فيلا
6588245,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-البديعة/شارع-صيفي-بن-عمرو-حي-البديعة-مدينة-الرياض-منطقة-الرياض-6588245,"فيلا للبيع في شارع صيفي بن عمرو, حي البديعة, مدينة الرياض, منطقة الرياض",2790000,900,,0,0,11,حي البديعة,الرياض,غرب الرياض,"🏡 فيلا قديمة للبيع – فرصة استثمارية مميزة

📍 الموقع:
حي البديعة – الرياض
موقع استراتيجي بجوار مستشفى الشميسي (طلب عالي على الإيجار دائمًا)

📐 المساحة:
900 متر مربع

🏗️ مكونات العقار (3 وحدات):
1️⃣ فيلا كاملة
	•	مؤجرة على شركة
	•	عقد إلكتروني
	•	الدخل السنوي: 70,000 ريال

2️⃣ ملحق (5 غرف)
	•	مؤجر لممرضين سعوديين
	•	عقد إلكتروني
	•	الدخل السنوي: 35,000 ريال

3️⃣ ملحق (3 غرف)
	•	مخصص استراحة للمالك
	•	مطلوب للإيجار بقيمة تقديرية: 55,000 ريال

💰 الدخل السنوي المتوقع بعد التأجير الكامل:
≈ 160,000 ريال

🛠️ حالة العقار:
	•	الملاحق تم ترميمها قبل سنة ونصف بتكلفة 350,000 ريال
	•	يمكن ترميم الفيلا الرئيسية واستثمارها
	•	إمكانية فصل الفيلا إلى دورين بمدخلين مستقلين

💵 السعر:
تباع بقيمة أرض
سعر المتر: 3,100 ريال
💬 قابل للتفاوض بالمعقول

📍 موقع العقار على قوقل ماب:
https://maps.app.goo.gl/A2Ad4T6GU7upTfcv7?g_st=ic

⸻",24.619297,46.682622,https://images.aqar.fm/webp/750x0/props/044059540_1770921063669.jpg,1,ابتهاج سعد,مؤسسة غين لاين,1,2026-02-12,2026-02-12,2026-06-30,449,2026-08-23,True,"2,790,000",False,فيلا
6598825,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-البديعة/شارع-ابن-البديوي-حي-البديعة-مدينة-الرياض-منطقة-الرياض-6598825,"فيلا للبيع في شارع ابن البديوي, حي البديعة, مدينة الرياض, منطقة الرياض",2790000,900,,0,0,11,حي البديعة,الرياض,غرب الرياض,"*فيلا زاوية قديمة للبيع:*
الموقع: حي البديعة- الرياض
موقعها استراتيجي بجوار مستشفى الشميسي، حيث انها مطلوبة على الدوام.
المساحة: 900م
على شارعين شمالي 10 وشرقي 10
المكونات: 3 وحدات، فيلا كاملة، مؤجرة على شركة بعقد إلكتروني بقيمة 70 الف.
ملحق من 5 غرف مؤجر لممرضين سعوديين بعقد إلكتروني بقيمة 35 الف.
ملحق من 3 غرف مطلوب للإيجار بـ 55 ألف

*السعر:* تباع بقيمة أرض، والمطلوب 3100 ريال للمتر قابل للتفاوض بالمعقول.
كما يمكن ترميم الفيلا الرئيسية واستثمارها ويمكن فصلها لدورين بمدخلين مستقلين، وأما الملاحق فتم ترميمها قبل عام ونصف بمبلغ 350 الف ريال",24.618938,46.686064,https://images.aqar.fm/webp/750x0/props/050873770_1771626222540.jpg,1,عيسى عايض,مؤسسة دليل العنوان العقارية,1,2026-02-20,2026-02-20,2026-08-14,1154,2026-08-23,True,"2,790,000",False,فيلا
