listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6825637,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-منصور-البهوتي-حي-بدر-مدينة-الرياض-منطقة-الرياض-6825637,"فيلا للبيع في شارع منصور البهوتي, حي بدر, مدينة الرياض, منطقة الرياض",1400000,250,5,1,0,0,حي بدر,الرياض,جنوب الرياض,"https://maps.app.goo.gl/6QSV1j4gT7am7RsQ9?g_st=iw

للبيع فيلا دوبلكس في حي بدر 
الشارع 20متر شمالية 
مساحه ٢٥٠ متر 
تشطيب فندقي مودرن 
الدور الارضي ملحق خارجي يمكن استخدامه مجلس
مجلس يمكن استخدامه مقلط
صاله 
مطبخ 
مستودع 
ارتداد على شكل L يمكن استخدامه  للخدمات و جلسه 
مدخل سيارة 
الدور الاول 
ثلاث غرف نوم جميعها ماستر 
كل غرفه داخلها دورة مياه مستقله و خاصه 
وصاله 
الدور الثاني 
السطح
غرفه ماستر داخلها دورة مياه 
الحاره ممتازه و قريبه من الخدمات و شرحه ليست مكتضه بالمنازل 
الفله جميله جدا و فيها حديقه و فيها بلكونه مطله في غرفة الماستر غرفة الزوجين 
الواجهه  جميله جدا 
الكهرباء و السباكه عليها ضمان
التشطيب راقي لأسره مرتاحه و راقيه
البيع مليون و 400الف قابل للتفاوض 
مباشر مع المالك",24.539966,46.703807,https://images.aqar.fm/webp/750x0/props/054317318_1786891928790.jpg,1,هند العطاوي,مؤسسة قوى الأعمار الذكية,1,2026-08-16,2026-08-16,2026-08-21,58,2026-08-23,True,"1,400,000",False,فيلا
6724910,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-جبل-المدار-حي-العزيزية-مدينة-الرياض-منطقة-الرياض-6724910,"فيلا للبيع في شارع جبل المدار, حي العزيزية, مدينة الرياض, منطقة الرياض",900000,340,5,1,0,5,حي العزيزية,الرياض,جنوب الرياض,"///https://maps.app.goo.gl/ZZrCub4PeNd2fEmE8?g_st=aw


للبيع بحى العزيزية  
المساحه  ٣٤٠ م 
زاويه  شارع ٢٠ جنوبي  
و١٥ شرقي  
دورين وملحق 
العمر ٤٠ سنه 
اخر سومه 800 الف 
والبيع فرق السوم  
مباشر من المالك  //////",24.592408,46.787593,https://images.aqar.fm/webp/750x0/props/053185967_1783895926930.jpg | https://images.aqar.fm/webp/750x0/props/053185968_1783895926939.jpg,2,نوره البقمي,مؤسسة رعد السحاب للخدمات العقارية,1,2026-06-08,2026-08-06,2026-08-22,1416,2026-08-23,True,"900,000",False,فيلا
6784771,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-ابن-أبي-الفخار-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6784771,"فيلا للبيع في شارع ابن أبي الفخار, حي عكاظ, مدينة الرياض, منطقة الرياض",1450000,307,5,0,0,0,حي عكاظ,الرياض,جنوب الرياض,"للبيع فلة مستقلة درج صالة بتصميم عصري و تشطيب عالي الجودة 

الفلة بواجهه جنوبيه غربية باطلاله مميزه وتصميم عصري فريد 

الدور الارضي استقبال
 يحتوي على ملحق خارجي و مساحه خارجيه كبيره 
و بالاضافه إلى منطقه تشجير في المساحة الاماميه والخلفية 

الملحق الخارجي مساحته ممتازه بواجهه زجاجيه وسقف عالي 
مع دورة مياة خارجيه 
المجلس مساحه كبيره و مع دوره مياة خاصه بالمجلس 
وغرفه طعام او مقلط بمساحه واسعه 
صالة كبيرة مع دورة مياة  والمطبخ مع باب يفتح على المساحه الخلفيه 

الدور العلوي الأول يحتوي على 
صالة 
غرفتين ماستر واحدة بمساحه كبيرة والآخرى ممتازة 
غرفتين نوم مع دورة مياة مشتركة 

الدور الثاني غرفة خادمة مع دورة مياة 
وسطح واسع",24.502533,46.660759,https://images.aqar.fm/webp/750x0/props/048793413_1784670866564.jpg | https://images.aqar.fm/webp/750x0/props/048793414_1784670947739.jpg | https://images.aqar.fm/webp/750x0/props/048793416_1784670990546.jpg | https://images.aqar.fm/webp/750x0/props/048793410_1784671003919.jpg | https://images.aqar.fm/webp/750x0/props/048793415_1784671022494.jpg | https://images.aqar.fm/webp/750x0/props/048793414_1784671042615.jpg | https://images.aqar.fm/webp/750x0/props/048793412_1784671075758.jpg | https://images.aqar.fm/webp/750x0/props/048793419_1784671096435.jpg | https://images.aqar.fm/webp/750x0/props/048793416_1784671156437.jpg | https://images.aqar.fm/webp/750x0/props/048793415_1784671231153.jpg | https://images.aqar.fm/webp/750x0/props/048793414_1784671230991.jpg | https://images.aqar.fm/webp/750x0/props/048793412_1784671231249.jpg | https://images.aqar.fm/webp/750x0/props/048793411_1784671231236.jpg | https://images.aqar.fm/webp/750x0/props/048793412_1784671230450.jpg | https://images.aqar.fm/webp/750x0/props/048793419_1784671230535.jpg | https://images.aqar.fm/webp/750x0/props/048793412_1784671230412.jpg | https://images.aqar.fm/webp/750x0/props/048793415_1784671230425.jpg | https://images.aqar.fm/webp/750x0/props/048793418_1784671351460.jpg | https://images.aqar.fm/webp/750x0/props/048793416_1784671379690.jpg | https://images.aqar.fm/webp/750x0/props/048793410_1784671411651.jpg | https://images.aqar.fm/webp/750x0/props/048793418_1784671435997.jpg | https://images.aqar.fm/webp/750x0/props/048793414_1784671436020.jpg,22,سيف عبدالله,مؤسسة المحور المثالي,1,2026-07-21,2026-07-21,2026-08-21,149,2026-08-23,True,"1,450,000",False,فيلا
6706913,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-وادي-ركبة-حي-العزيزية-مدينة-الرياض-منطقة-الرياض-6706913,"فيلا للبيع في شارع وادي ركبة, حي العزيزية, مدينة الرياض, منطقة الرياض",1800000,400,,0,0,5,حي العزيزية,الرياض,جنوب الرياض,"السلام عليكم ورحمة الله وبركاته
فلة العزيزية خلف الباسم 
مساحة الأرض 400 م
الواجهة 15 جنوبي  10 شرقي
تاريخ الرخصة   1436
تاريخ السكن    1442 وحتى تاريخه
الدور الأول :
مشب + دورة مياه  
مجلس + دورة مياه
مقلط .. صالة .. نساء + دورة مياه
غرفة كبار + دورة مياه 
مطبخ + مستودع في الارتداد 
درج داخلي ( للدور الأول ) :
 غرفة نوم + دورة مياه 
غرفتين نوم + دورة مياه 
السطح : دورة مياه فقط
شقة ( الدور الأول ) :
مجلس + دورة مياه
صالة 
 غرفتين نوم + دورة مياه 
مطبخ 
الدور العلوي ( الملحق )
مجلس + دورة مياه
صالة 
 غرفتين نوم + دورة مياه 
مطبخ 
ملحوظة : الغرف أصغر علشان المناور
*******
خزان أرضي 11 × 3 × 3 
خزان علوي
3 عدادات كهرباء 100    70     70
1 عداد مياه
*******
الصندوق العقاري :
باقي 300 ألف من أصل 500",24.601653,46.756313,https://images.aqar.fm/webp/750x0/props/014076866_1779374517375.jpg | https://images.aqar.fm/webp/750x0/props/014076868_1779374517348.jpg | https://images.aqar.fm/webp/750x0/props/014076865_1779374517354.jpg | https://images.aqar.fm/webp/750x0/props/014076864_1779374517376.jpg | https://images.aqar.fm/webp/750x0/props/014076868_1779374517394.jpg | https://images.aqar.fm/webp/750x0/props/014076865_1779374517372.jpg | https://images.aqar.fm/webp/750x0/props/014076862_1779374517349.jpg | https://images.aqar.fm/webp/750x0/props/014076862_1779374611518.jpg | https://images.aqar.fm/webp/750x0/props/014076861_1779374611563.jpg | https://images.aqar.fm/webp/750x0/props/014076864_1779374611631.jpg | https://images.aqar.fm/webp/750x0/props/014076860_1779374611557.jpg | https://images.aqar.fm/webp/750x0/props/014076867_1779374611557.jpg | https://images.aqar.fm/webp/750x0/props/014076866_1779374611567.jpg | https://images.aqar.fm/webp/750x0/props/014076869_1779374611648.jpg | https://images.aqar.fm/webp/750x0/props/014076863_1779374611638.jpg | https://images.aqar.fm/webp/750x0/props/014076868_1779374669802.jpg | https://images.aqar.fm/webp/750x0/props/014076867_1779374669868.jpg | https://images.aqar.fm/webp/750x0/props/014076869_1779374669714.jpg,18,سعد سعيد سعد آل حسينه,مكتب نماء الايراد للعقارات,1,2026-05-21,2026-08-16,2026-08-21,2244,2026-08-23,True,"1,800,000",False,فيلا
6697254,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-المنذر-بن-سعيد-حي-بدر-مدينة-الرياض-منطقة-الرياض-6697254,"فيلا للبيع في شارع المنذر بن سعيد, حي بدر, مدينة الرياض, منطقة الرياض",1250000,277,5,,,5,حي بدر,الرياض,جنوب الرياض,"للبيع فيلا حي الشفا  مساحتها ٢٧٧ زاوية جنوبي/غربي
عمر العقار ٥ سنوات
موقعها مخطط بدر النموذجي حي الشفا
الدور الارضي : مجلسين ومطبخ وغرفة طعام وصالة ودورتين مياه وحوش
الدور الاول : خمس غرف نوم ثنتين منهم ماستر  ودورة مياه
الدور الثاني : غرفة خادمة بدورة مياه
..
الشقه مدخل مستقل دور ثاني غرفتين نوم مطبخ صالة ومجلس + جلسة خارجية ودورتين مياه

مرهونه للبنك
سعر البيع مليون و 250 الف",24.505904,46.729562,https://images.aqar.fm/webp/750x0/props/050645272_1778768146503.jpg | https://images.aqar.fm/webp/750x0/props/050645279_1778768146410.jpg | https://images.aqar.fm/webp/750x0/props/050645277_1778768146604.jpg | https://images.aqar.fm/webp/750x0/props/050645271_1778768146601.jpg,4,صالح بن عبيد بن عايش العنزي,مكتب ابداع الصحافة للخدمات العقارية,1,2026-05-14,2026-08-09,2026-08-23,315,2026-08-23,True,"1,250,000",False,فيلا
6554261,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عريض/شارع-محمد-الصناع-حي-بدر-مدينة-الرياض-منطقة-الرياض-6554261,"فيلا للبيع في شارع محمد الصناع, حي بدر, مدينة الرياض, منطقة الرياض",900000,209,5,5,3,0,حي عريض,الرياض,جنوب الرياض,"فيلا درج داخلي
بحي بدر النموذجي
الوجهة جنوبية
الشارع 20
المساحه 210 متر
السعر 900 الف
###########
تفاصيل الفيلا من الداخل
مدخل سياره ومجلس رجال بالمغاسل والحمام ومقلط وصاله ومطبخ وغرفة كبار السن ماستر مدخل نساء خاص.
 $$$$$$$$$$$$
الدور الاول
صاله وغرفتين نوم ماستر وغرفه بحمام خارجي
&&&&&&&&&&&&&&
الدور العلوي
سطح كبير
وجاهز لي بناء اي شي في",24.498033,46.740353,https://images.aqar.fm/webp/750x0/props/028395357_1768908090529.jpg | https://images.aqar.fm/webp/750x0/props/028395354_1768908091999.jpg | https://images.aqar.fm/webp/750x0/props/028395354_1768908092269.jpg | https://images.aqar.fm/webp/750x0/props/028395351_1768908091261.jpg | https://images.aqar.fm/webp/750x0/props/028395352_1768908089697.jpg | https://images.aqar.fm/webp/750x0/props/028395352_1768908089940.jpg | https://images.aqar.fm/webp/750x0/props/028395350_1768908090050.jpg | https://images.aqar.fm/webp/750x0/props/028395356_1768908090175.jpg | https://images.aqar.fm/webp/750x0/props/028395353_1768908090301.jpg | https://images.aqar.fm/webp/750x0/props/028395350_1768908090414.jpg | https://images.aqar.fm/webp/750x0/props/028395355_1768908090666.jpg | https://images.aqar.fm/webp/750x0/props/028395352_1768908090911.jpg | https://images.aqar.fm/webp/750x0/props/028395357_1768908091039.jpg | https://images.aqar.fm/webp/750x0/props/028395353_1768908091157.jpg | https://images.aqar.fm/webp/750x0/props/028395359_1768908091377.jpg | https://images.aqar.fm/webp/750x0/props/028395355_1768908091510.jpg | https://images.aqar.fm/webp/750x0/props/028395358_1768908091770.jpg | https://images.aqar.fm/webp/750x0/props/028395358_1768908091898.jpg | https://images.aqar.fm/webp/750x0/props/028395350_1768908092145.jpg,19,تماني بنت عقيل بن فارس العنزي,مكتب مساكن المهلهل,1,2026-01-20,2026-01-20,2026-08-22,852,2026-08-23,True,"900,000",False,فيلا
6695148,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-المنذر-بن-سعيد-حي-بدر-مدينة-الرياض-منطقة-الرياض-6695148,"فيلا للبيع في شارع المنذر بن سعيد, حي بدر, مدينة الرياض, منطقة الرياض",1250000,277,,,,5,حي بدر,الرياض,جنوب الرياض,"فيلا للبيع مخطط بدر النموذجي حي الشفا

- المساحة 277.38 متر
مكونة من:
- الدور الأرضي: مجلسين, صالة, مطبخ, غرفة طعام, دورتين مياه, حوش
- الدور الأول: خمسة غرف نوم غرفتين منهم ماستر, دورة مياه
- الدور الثاني: غرفة عاملة بدورة مياه
- الشقه لها مدخل مستقل دور ثاني غرفتين نوم, مطبخ, صالة, مجلس, جلسة خارجية, دورتين مياه



للتواصل والإستفسار: 0555970373",24.505904,46.729562,https://images.aqar.fm/webp/750x0/props/037592325_1778664748667.jpg | https://images.aqar.fm/webp/750x0/props/037592321_1778664748668.jpg | https://images.aqar.fm/webp/750x0/props/037592328_1778664748666.jpg,3,حمد فهد بن حمد النافع,شركة حمد فهد النافع العقارية شخص واحد قابضة,1,2026-05-13,2026-08-08,2026-08-23,50,2026-08-23,True,"1,250,000",False,فيلا
6592670,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-عكاظ-عجلان-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6592670,"فيلا للبيع في شارع عكاظ عجلان, حي عكاظ, مدينة الرياض, منطقة الرياض",1350000,414,5,,,0,حي عكاظ,الرياض,جنوب الرياض,"فيلا مع شقة بمدخل خاص وتتكون من 
الارضي مدخل سيارة  - مجلس رجال - مقلط - صالة  - 
مطبخ - دورتين مياة 
الدور الاول صالة  واربع غرف نوم منها اثنين ماستر
ثلاث دورات مياة
الشقة تتكون من
مدخل سيارة - مجلس - غرفتين نوم غرفة ماستر
يوجد دورتين مياة وحوش وسطح
للتواصل ابو عدي ((رقم المعلن يظهر عند التواصل))",24.505094,46.678385,https://images.aqar.fm/webp/750x0/props/050269000_1771244053879.jpg | https://images.aqar.fm/webp/750x0/props/050269007_1771243979789.jpg | https://images.aqar.fm/webp/750x0/props/050269006_1771243979881.jpg | https://images.aqar.fm/webp/750x0/props/050269006_1771243979884.jpg | https://images.aqar.fm/webp/750x0/props/050269003_1771243980046.jpg | https://images.aqar.fm/webp/750x0/props/050269002_1771243980036.jpg | https://images.aqar.fm/webp/750x0/props/050269008_1771243980102.jpg | https://images.aqar.fm/webp/750x0/props/050269003_1771243980163.jpg | https://images.aqar.fm/webp/750x0/props/050269009_1771243980186.jpg | https://images.aqar.fm/webp/750x0/props/050269002_1771243980281.jpg | https://images.aqar.fm/webp/750x0/props/050269001_1771243980395.jpg | https://images.aqar.fm/webp/750x0/props/050269001_1771243980518.jpg | https://images.aqar.fm/webp/750x0/props/050269006_1771243980592.jpg | https://images.aqar.fm/webp/750x0/props/050269007_1771243980602.jpg | https://images.aqar.fm/webp/750x0/props/050269002_1771243980691.jpg | https://images.aqar.fm/webp/750x0/props/050269007_1771243980804.jpg | https://images.aqar.fm/webp/750x0/props/050269005_1771243980891.jpg | https://images.aqar.fm/webp/750x0/props/050269004_1771243980930.jpg | https://images.aqar.fm/webp/750x0/props/050269005_1771243981030.jpg | https://images.aqar.fm/webp/750x0/props/050269009_1771243981059.jpg | https://images.aqar.fm/webp/750x0/props/050269000_1771243981359.jpg | https://images.aqar.fm/webp/750x0/props/050269000_1771243981228.jpg,22,جابر ال فهاد,شركة ركائز الروعة,1,2026-02-16,2026-08-09,2026-08-23,850,2026-08-23,True,"1,350,000",False,فيلا
6649089,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/حي-بدر-الرياض-منطقة-الرياض-6649089,"فيلا للبيع في شارع 4102540, حي بدر, مدينة الرياض, منطقة الرياض",1600000,325,5,5,2,5,حي بدر,الرياض,جنوب الرياض,فلة درج داخلي بالإضافة إلى وجود شقتين جانبية.,24.51093704808171,46.74768292116816,https://images.aqar.fm/webp/750x0/props/023100482_1775821141700.jpg | https://images.aqar.fm/webp/750x0/props/023100481_1775821141521.jpg | https://images.aqar.fm/webp/750x0/props/023100488_1775821141623.jpg | https://images.aqar.fm/webp/750x0/props/023100483_1775821141664.jpg | https://images.aqar.fm/webp/750x0/props/023100483_1775821141770.jpg | https://images.aqar.fm/webp/750x0/props/023100483_1775821141789.jpg | https://images.aqar.fm/webp/750x0/props/023100487_1775821141847.jpg | https://images.aqar.fm/webp/750x0/props/023100483_1775821141918.jpg,8,حمود سعد حسين المالكي ,,,2026-04-10,2026-04-15,2026-08-20,494,2026-08-23,True,"1,600,000",False,فيلا
6769784,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-أحد/شارع-القادسي-حي-أحد-مدينة-الرياض-منطقة-الرياض-6769784,"فيلا للبيع في شارع القادسي, حي أحد, مدينة الرياض, منطقة الرياض",1200000,250,7,6,3,2,حي أحد,الرياض,جنوب الرياض,"🏢 **شركة الحمد العقارية** تعلن عن:

# 🏡 فيلا زاوية للبيع | حي أحد – الرياض

✨ فرصة مميزة للسكن أو الاستثمار في فيلا زاوية بموقع حيوي، مؤجرة بعائد سنوي، وقريبة من أهم الخدمات.

📍 **الموقع:** حي أحد – الرياض
خلف مستشفى الإمام عبدالرحمن وبالقرب من محطة مترو ديراب.

📐 **المساحة:** 250 م²
🧭 **الواجهة:** جنوب غربي
🛣 **على شارعين**
📏 **عرض الشارع:** 15 متر
🏠 **العمر:** جديد (مستخدمة لمدة سنة)

### تفاصيل الفيلا:

**الدور الأرضي:**

* مدخل سيارة
* حوش
* بيت شعر (مشب)
* مجلس
* مقلط
* صالة
* مطبخ

**الدور العلوي:**

* غرفتا نوم ماستر
* غرفتا نوم
* صالة
* غرفة خادمة
* 5 دورات مياه

### مميزات العقار:

✅ 5 غرف نوم
✅ صالتان
✅ درج صالة
✅ مدخل سيارة
✅ حوش
✅ بيت شعر
✅ غرفة خادمة
✅ جميع الخدمات متوفرة (مياه – كهرباء – صرف صحي)

💼 **الحالة الاستثمارية:**

* مؤجرة بعقد سنوي بقيمة **50,000 ريال**
* السداد على **3 دفعات**

💰 **السعر:** **1,200,000 ريال**

📞 **للتواصل والاستفسار:**
**شركة الحمد العقارية**
**((الرقم يظهر عند الضغط على اتصال))**

إ",24.486591,46.638376,https://images.aqar.fm/webp/750x0/props/046860348_1783841953861.png | https://images.aqar.fm/webp/750x0/props/046860345_1783841970346.jpg | https://images.aqar.fm/webp/750x0/props/046860341_1783841970353.jpg | https://images.aqar.fm/webp/750x0/props/046860342_1783841970369.jpg | https://images.aqar.fm/webp/750x0/props/046860349_1783841970369.jpg | https://images.aqar.fm/webp/750x0/props/046860342_1783841970363.jpg | https://images.aqar.fm/webp/750x0/props/046860340_1783841970372.jpg | https://images.aqar.fm/webp/750x0/props/046860347_1783841970381.jpg | https://images.aqar.fm/webp/750x0/props/046860349_1783841970376.jpg | https://images.aqar.fm/webp/750x0/props/046860340_1783841970373.jpg | https://images.aqar.fm/webp/750x0/props/046860343_1783841970407.jpg | https://images.aqar.fm/webp/750x0/props/046860349_1783841970585.jpg | https://images.aqar.fm/webp/750x0/props/046860347_1783841970410.jpg | https://images.aqar.fm/webp/750x0/props/046860348_1783841970409.jpg | https://images.aqar.fm/webp/750x0/props/046860344_1783841970379.jpg | https://images.aqar.fm/webp/750x0/props/046860346_1783841970378.jpg | https://images.aqar.fm/webp/750x0/props/046860343_1783841970385.jpg,17,عبدالعزيز عبدالله عبدالعزيز الحمد,شركة عبدالعزيز عبدالله الحمد العقارية,1,2026-07-12,2026-08-10,2026-08-23,190,2026-08-23,True,"1,200,000",False,فيلا
