listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6828811,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-التعاون/شارع-عبدالباقي-الفاروقي-حي-التعاون-مدينة-الرياض-منطقة-الرياض-6828811,"فيلا للبيع في شارع عبدالباقي الفاروقي, حي التعاون, مدينة الرياض, منطقة الرياض",7300,750,5,,,11,حي التعاون,الرياض,شمال الرياض,"للبيع فيلا قديمة بقيمه ارض 
*حي التعاون*  
المساحة 750
الأطوال 25 في30
شارع 15 شمالي   
سوم 7000 للمتر 
بيع علي شور 7300 للمتر
اخوكم ابو هيثم
((الرقم يظهر عند الضغط على اتصال))",24.764188,46.700314,https://images.aqar.fm/webp/750x0/props/002828989_1787051671521.jpg,1,وليد ابراهيم بن سعد الداود,,,2026-08-18,2026-08-18,2026-08-18,0,2026-08-23,True,"7,300",False,فيلا
6569612,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-التعاون/شارع-جبل-العوصاء-حي-التعاون-مدينة-الرياض-منطقة-الرياض-6569612,"فيلا للبيع في شارع جبل العوصاء, حي التعاون, مدينة الرياض, منطقة الرياض",6330000,510,5,4,0,11,حي التعاون,الرياض,شمال الرياض,"للبيــــــــع فيلا زاوية قيمة ارض في حي التعاون شمال الرياض 

موقع ممتاز قريبه من جميع الخدمات و الطرق الرئيسيه و المسجد 🕌 

المساحه ٥١٠
الطوال ١٧ في ٣٠
الوجهه شماليه شرقيه 
الشوارع ٢٠ و ١٠
البيــــــــــــــــع ٥ مليون 
مباشر مع وكيل الافراغ 
الموقع 
((الرقم يظهر عند الضغط على اتصال))
https://maps.app.goo.gl/HT9TnCQUxPUArfKz7?g_st=awb",24.776091,46.694783,https://images.aqar.fm/webp/750x0/props/049837149_1778516588473.jpg | https://images.aqar.fm/webp/750x0/props/049837142_1778516588480.jpg | https://images.aqar.fm/webp/750x0/props/049837146_1778516588676.jpg | https://images.aqar.fm/webp/750x0/props/049837141_1778516588687.jpg | https://images.aqar.fm/webp/750x0/props/049837147_1778516588694.jpg | https://images.aqar.fm/webp/750x0/props/049837141_1778516588711.jpg,6,,,,2026-01-31,2026-08-22,2026-08-23,2673,2026-08-23,True,"6,330,000",False,فيلا
6765861,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-التعاون/شارع-الكريمي-حي-التعاون-مدينة-الرياض-منطقة-الرياض-6765861,"فيلا للبيع في شارع الكريمي, حي التعاون, مدينة الرياض, منطقة الرياض",4000000,375,6,0,0,11,حي التعاون,الرياض,شمال الرياض,$5c,24.766078,46.699925,https://images.aqar.fm/webp/750x0/props/014742300_1783535330798.jpg | https://images.aqar.fm/webp/750x0/props/014742306_1783535330803.jpg | https://images.aqar.fm/webp/750x0/props/014742307_1783535331010.jpg | https://images.aqar.fm/webp/750x0/props/014742306_1783535330796.jpg | https://images.aqar.fm/webp/750x0/props/014742306_1783535365016.jpg | https://images.aqar.fm/webp/750x0/props/014742306_1783535365021.jpg | https://images.aqar.fm/webp/750x0/props/014742309_1783535365023.jpg | https://images.aqar.fm/webp/750x0/props/014742308_1783535365025.jpg | https://images.aqar.fm/webp/750x0/props/014742305_1783535365023.jpg | https://images.aqar.fm/webp/750x0/props/014742302_1783535365031.jpg | https://images.aqar.fm/webp/750x0/props/014742308_1783535365027.jpg | https://images.aqar.fm/webp/750x0/props/014742302_1783535365025.jpg | https://images.aqar.fm/webp/750x0/props/014742304_1783535390762.jpg | https://images.aqar.fm/webp/750x0/props/014742301_1783535390766.jpg | https://images.aqar.fm/webp/750x0/props/014742303_1783535390763.jpg | https://images.aqar.fm/webp/750x0/props/014742305_1783535390717.jpg | https://images.aqar.fm/webp/750x0/props/014742302_1783535390762.jpg | https://images.aqar.fm/webp/750x0/props/014742303_1783535390771.jpg | https://images.aqar.fm/webp/750x0/props/014742309_1783535390770.jpg | https://images.aqar.fm/webp/750x0/props/014742304_1783535390767.jpg | https://images.aqar.fm/webp/750x0/props/014742306_1783535406664.jpg | https://images.aqar.fm/webp/750x0/props/014742305_1783535406666.jpg | https://images.aqar.fm/webp/750x0/props/014742302_1783535406677.jpg | https://images.aqar.fm/webp/750x0/props/014742302_1783535406670.jpg | https://images.aqar.fm/webp/750x0/props/014742303_1783535406669.jpg | https://images.aqar.fm/webp/750x0/props/014742301_1783535406678.jpg | https://images.aqar.fm/webp/750x0/props/014742309_1783535406674.jpg | https://images.aqar.fm/webp/750x0/props/014742307_1783535406682.jpg | https://images.aqar.fm/webp/750x0/props/014742308_1783535428890.jpg | https://images.aqar.fm/webp/750x0/props/014742309_1783535428885.jpg,30,فيصل البقمي,,,2026-07-08,2026-07-08,2026-08-04,513,2026-08-23,True,"4,000,000",False,فيلا
6816231,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-التعاون/شارع-عمر-التميمي-حي-التعاون-مدينة-الرياض-منطقة-الرياض-6816231,"فيلا للبيع في شارع عمر التميمي, حي التعاون, مدينة الرياض, منطقة الرياض",2400000,200,,,,11,حي التعاون,الرياض,شمال الرياض,"*🔷 فيلا سكنيه للبيع 🔷*
    

الحي | التعاون 
المساحة |  ٢٠٠ متر
الشارع  | ١٥م شمالي 

*⬇️ التفاصيل |*
🔘الدور الأرضي:
قراج سيارتين 
غرفة سائق بدورة مياه من الخارج
مجلس رجال مستقل مع دورة مياة   صالة كبيره وصاله طعام و ٢ دورة مياه ومطبخ مجهز وحوش خارجي 

🔘الدور الاول :
1  غرفة ماستر بغرفة ملابس 
2 دورة مياة
3 غرف نوم بدورتين مياة 
واوفيس

🔘الدور الثاني :
غرفة خادمة بدورة مياه 
غرفة غسيل وصالة معيشة
وسطح كبير مجهز للفعاليات 
وسطح صغير للاستخدام المنزلي 


☑️سعر البيع 2 مليون و 400 


🔚 *الڤيلا مغلقه لمراعاة الخصوصيه 
الرجاء التنسيق المسبق للمعاينه*





الصفه |  مباشر المحترف",24.76994,46.702799,https://images.aqar.fm/webp/750x0/props/045350851_1786446091895.jpg | https://images.aqar.fm/webp/750x0/props/045350853_1786446090361.jpg | https://images.aqar.fm/webp/750x0/props/045350858_1786446090365.jpg | https://images.aqar.fm/webp/750x0/props/045350852_1786446090875.jpg | https://images.aqar.fm/webp/750x0/props/045350854_1786446090878.jpg | https://images.aqar.fm/webp/750x0/props/045350859_1786446090361.jpg | https://images.aqar.fm/webp/750x0/props/045350855_1786446090975.jpg | https://images.aqar.fm/webp/750x0/props/045350857_1786446090966.jpg | https://images.aqar.fm/webp/750x0/props/045350850_1786446091858.jpg | https://images.aqar.fm/webp/750x0/props/045350859_1786446091878.jpg | https://images.aqar.fm/webp/750x0/props/045350851_1786446091878.jpg | https://images.aqar.fm/webp/750x0/props/045350858_1786446092059.jpg,12,خالد بن محمد بن ابراهيم علاالله,مؤسسة محترف الاصول العقارية,1,2026-08-11,2026-08-11,2026-08-21,754,2026-08-23,True,"2,400,000",False,فيلا
6688147,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-التعاون/شارع-جبل-العوصاء-حي-التعاون-مدينة-الرياض-منطقة-الرياض-6688147,"فيلا للبيع في شارع جبل العوصاء, حي التعاون, مدينة الرياض, منطقة الرياض",6500000,695,6,,,11,حي التعاون,الرياض,شمال الرياض,"للبيــــــــع فيلا بقيمه أرض
📍 حي التعاون – زاوية
🔹 المساحة: 695 م²
🔹 الأطوال: 25 × 28.8
🔹 الشوارع: 20م + 10م
🔹 الموقع مميز وقريب من الخدمات

💰 السعر: 8,500,000 ريال

📍",24.776616,46.695473,,,فهد بن عبدالله بن فهد الفريح,مؤسسة علي الناصية للمقاولات العامة,1,2026-05-08,2026-08-04,2026-08-20,570,2026-08-23,True,"6,500,000",False,فيلا
6785393,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-التعاون/شارع-حي-التعاون-مدينة-الرياض-منطقة-الرياض-6785393,"فيلا للبيع في شارع , حي التعاون, مدينة الرياض, منطقة الرياض",3000000,300,5,1,0,11,حي التعاون,الرياض,شمال الرياض,"https://maps.google.com/?q=24.777649,46.705841
البيع فلة في حي التعاون 
المساحه ٣٠٠ متر 
الشارع ١٥ جنوبي 
فلة مكونة من دورين ودرج بالصالة
الدور الأرضي :
مجلس رجال وصالة طعام وصالة واسعة ومجلس نساء ومطبخ ودورتي مياه .
الدور الأول :
5 غرف 2 ماستر ودورة مياه أضافية .
السطح :
غرفة خادمة مع دورة مياه معزولة ومجهزة لغسالات الملابس 
غرفة أخرى منفصلة ومبنية على الطراز الحديث مع مظلات لجزء من السطح 
المميزات :
مطبخ راكب
غرفة سائق 
غرفة خادمة 
مدخل سيارة 
 مدخل المنزل والساحات الخارجية مجهز بمظلات حديثة
غرفة منفصلة بالسطح تستخدم مثل الملحق الخارجي مغطات بالداخل بالشيبورد والسقف مزود بإنارات عصرية 
مظلات في السطح وفرش يعطي المكان اتساع وجمالية
البيع ٣ مليون ٢٠٠ الف",24.778517,46.703668,https://images.aqar.fm/webp/750x0/props/043253040_1784729024180.jpg | https://images.aqar.fm/webp/750x0/props/043253049_1784729024287.jpg | https://images.aqar.fm/webp/750x0/props/043253041_1784729024317.jpg | https://images.aqar.fm/webp/750x0/props/043253042_1784729024418.jpg | https://images.aqar.fm/webp/750x0/props/043253048_1784729024533.jpg,5,عبدالملك ابراهيم محمد الجمعان,شركة بنايات نجد للتسويق شخص واحد,1,2026-07-22,2026-08-20,2026-08-23,1901,2026-08-23,True,"3,000,000",False,فيلا
6746542,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-التعاون/شارع-كنانة-حي-التعاون-مدينة-الرياض-منطقة-الرياض-6746542,"فيلا للبيع في شارع كنانة, حي التعاون, مدينة الرياض, منطقة الرياض",2450000,259,6,5,2,10,حي التعاون,الرياض,شمال الرياض,"للبيع فيلا دبلكس حي التعاون 250 م
شارع 20 م

للتواصل والاستفسار",24.777102,46.688613,https://images.aqar.fm/webp/750x0/props/038566466_1782315036293.jpg | https://images.aqar.fm/webp/750x0/props/038566460_1782315036291.jpg | https://images.aqar.fm/webp/750x0/props/038566463_1783336269104.png | https://images.aqar.fm/webp/750x0/props/038566461_1783336269104.png | https://images.aqar.fm/webp/750x0/props/038566464_1783336269106.png | https://images.aqar.fm/webp/750x0/props/038566463_1783336269105.png | https://images.aqar.fm/webp/750x0/props/038566468_1784482776325.jpg,7,خالد عبدالعزيز بن ابراهيم المنصور,مؤسسة إتقان المنفعة,1,2026-06-24,2026-08-21,2026-08-23,3895,2026-08-23,True,"2,450,000",False,فيلا
6703800,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-التعاون/شارع-عبدالباقي-الفاروقي-حي-التعاون-مدينة-الرياض-منطقة-الرياض-6703800,"فيلا للبيع في شارع عبدالباقي الفاروقي, حي التعاون, مدينة الرياض, منطقة الرياض",2800000,337,5,0,0,11,حي التعاون,الرياض,شمال الرياض,"📞 للتواصل والاستفسار مع بدور :
0551299981


🏡 فيلا للبيع في حي التعاون – موقع مميز جدًا

فرصة رائعة لامتلاك سكن او استثمار ذو عائد عالي 
فيلا واسعة بتصميم عملي وموقع مميز في أحد أفضل أحياء شمال الرياض.

📍 الموقع: حي التعاون  
🧭 الواجهة: جنوبية  
🛣️ عرض الشارع: 15 متر

### تفاصيل الفيلا:

🔹 الدور الأرضي:
- مجلس واسع
- صالة كبيرة
- مقلط
- دورات مياة

🔹 الدور الأول:
- 3 غرف نوم، كل غرفة بحمام خاص

🔹 الملحق العلوي (الدور الثاني):
- غرفتان
- سطح واسع

🔹 مرافق إضافية:
- غرفتان خارجيتان، لكل غرفة حمام خاص
- غرفة إضافية مع حمام

✨ مميزات العقار:
- موقع مميز جدًا
- مساحات واسعة
- توزيع عملي ومناسب للعائلات الكبيرة
- واجهة جنوبية مرغوبة",24.764644,46.700556,https://images.aqar.fm/webp/750x0/props/019744183_1779188869701.jpg | https://images.aqar.fm/webp/750x0/props/019744181_1779188895733.jpg | https://images.aqar.fm/webp/750x0/props/019744181_1779188905600.jpg | https://images.aqar.fm/webp/750x0/props/019744183_1779188915804.jpg | https://images.aqar.fm/webp/750x0/props/019744186_1779188925002.jpg | https://images.aqar.fm/webp/750x0/props/019744183_1779188937584.jpg | https://images.aqar.fm/webp/750x0/props/019744182_1779188949890.jpg | https://images.aqar.fm/webp/750x0/props/019744187_1779188961652.jpg | https://images.aqar.fm/webp/750x0/props/019744184_1779188977188.jpg | https://images.aqar.fm/webp/750x0/props/019744189_1779188987143.jpg | https://images.aqar.fm/webp/750x0/props/019744180_1779189001111.jpg | https://images.aqar.fm/webp/750x0/props/019744188_1779189017691.jpg,12,عبدالله ابراهيم,شركة ركن المؤشر للعقارات,1,2026-05-19,2026-08-17,2026-08-17,1912,2026-08-23,True,"2,800,000",False,فيلا
6799150,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-التعاون/شارع-ابن-نصرالله-حي-التعاون-مدينة-الرياض-منطقة-الرياض-6799150,"فيلا للبيع في شارع ابن نصرالله, حي التعاون, مدينة الرياض, منطقة الرياض",3200000,299,4,5,2,11,حي التعاون,الرياض,شمال الرياض,"للبيع بحي التعاون
دبلكس متلاصق

المساحه 299م

شارع 20 جنوبي

العمر 25 سنه

درج صاله

الارضي مجلس ومقلط وصاله
2 حمام 
مطبخ

العلوي 4 غرف نوم 

السطح ملحق خادمه

يوجد مدخل سياره 
غرفة سائق

مؤجره دفعه واحده ب 160000 

علي السوم",24.770172,46.708586,https://images.aqar.fm/webp/750x0/props/001951700_1785516945079.jpg | https://images.aqar.fm/webp/750x0/props/001951708_1785516945086.jpg | https://images.aqar.fm/webp/750x0/props/001951706_1785516945087.jpg | https://images.aqar.fm/webp/750x0/props/001951708_1785516944892.jpg | https://images.aqar.fm/webp/750x0/props/001951702_1785516945094.jpg | https://images.aqar.fm/webp/750x0/props/001951707_1785516945109.jpg | https://images.aqar.fm/webp/750x0/props/001951708_1785516945085.jpg | https://images.aqar.fm/webp/750x0/props/001951706_1785516944893.jpg | https://images.aqar.fm/webp/750x0/props/001951701_1785516983995.jpg | https://images.aqar.fm/webp/750x0/props/001951700_1785516984038.jpg | https://images.aqar.fm/webp/750x0/props/001951707_1785516983863.jpg | https://images.aqar.fm/webp/750x0/props/001951702_1785516983852.jpg | https://images.aqar.fm/webp/750x0/props/001951704_1785516984043.jpg | https://images.aqar.fm/webp/750x0/props/001951708_1785516984017.jpg | https://images.aqar.fm/webp/750x0/props/001951701_1785516984037.jpg | https://images.aqar.fm/webp/750x0/props/001951709_1785516984076.jpg | https://images.aqar.fm/webp/750x0/props/001951709_1785517004090.jpg | https://images.aqar.fm/webp/750x0/props/001951701_1785517003980.jpg,18,رائد سعد محمد الفالح,مكتب رائد سعد محمد الفالح للعقارات,1,2026-07-31,2026-07-31,2026-08-20,500,2026-08-23,True,"3,200,000",False,فيلا
6798430,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-التعاون/شارع-ابي-منصور-الخطيب-حي-التعاون-مدينة-الرياض-منطقة-الرياض-6798430,"فيلا للبيع في شارع ابي منصور الخطيب, حي التعاون, مدينة الرياض, منطقة الرياض",3000000,190,,0,0,11,حي التعاون,الرياض,شمال الرياض,"للبيع في حي التعاون
فيلا دبلوكس، ٢٠٠م تقريباً
شارع 20
بجانب مسجد
أمامها أرض معدة حديقة
فيها بدروم تحت كامل المبنى
الدور الأرضي: مجلس رجال، مجلس نساء، صالة، مطبخ، مستودع، دورتين مياه
الدور الأول: صالة، أربع غرف نوم، مع كل غرفة دورة مياه
الدور الثاني: غرفة، مع دورة مياه، والباقي سطح مفتوح
تم ترميمها حديثا
سيمت قبل الترميم بثلاثة ملايين والبيع قريب",24.768479,46.699125,https://images.aqar.fm/webp/750x0/props/001550179_1785447739604.jpg | https://images.aqar.fm/webp/750x0/props/001550171_1785447739507.jpg | https://images.aqar.fm/webp/750x0/props/001550177_1785447739508.jpg | https://images.aqar.fm/webp/750x0/props/001550170_1785447739671.jpg | https://images.aqar.fm/webp/750x0/props/001550172_1785447739678.jpg,5,خالد العيد,,,2026-07-30,2026-07-30,2026-08-20,380,2026-08-23,True,"3,000,000",False,فيلا
