listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6715708,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الجزيرة/شارع-رقم-5-حي-الجزيرة-مدينة-الرياض-منطقة-الرياض-6715708,"فيلا للبيع في شارع رقم 5, حي الجزيرة, مدينة الرياض, منطقة الرياض",2300000,484,,5,0,11,حي الجزيرة,الرياض,شرق الرياض,"فرصة استثمارية ..

فلة في حي الجزيرة 

الواجهة: جنوبية 
العمر : 24 سنة مرممة

مكونة من:  دور - دور - شقة 

كل دور فيه 6 غرف وأربع دورات مياه 
والشقة فيها 4 غرف ودورتين مياه وسطح 

حوش واسع 

فيها ثلاث عدادت 

المساحة : 484م2


قريبة من مسجد ابن باز 
مدارس ابن رشد الاهلية

السوم: 2.200.000",24.67151,46.797533,https://images.aqar.fm/webp/750x0/props/046804415_1780387150753.jpg | https://images.aqar.fm/webp/750x0/props/046804413_1780387150754.jpg,2,سليمان احمد عبدالعزيز المسعود,,,2026-06-02,2026-06-02,2026-08-19,1032,2026-08-23,True,"2,300,000",False,فيلا
6808560,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الجزيرة/شارع-الظهيران-حي-الجزيرة-مدينة-الرياض-منطقة-الرياض-6808560,"فيلا للبيع في شارع الظهيران, حي الجزيرة, مدينة الرياض, منطقة الرياض",1750000,484,5,3,2,11,حي الجزيرة,الرياض,شرق الرياض,"فيلا للبيع بقيمة أرض الموقع الرياض حي الجزيرة (مخرج 16) دور واحد فقط

مكونات الفيلا : - 

غرف النوم العدد 5 واحد من الغرف ماستر 
عدد دورات المياه 3
يوجد مستودع في السطح 
يوجد مطبخ داخل المنزل للتحضير 
والمطبخ الاساسي في الخارج (مطبخ خارجي) 
يوجد غرفة في الخارج وكذلك دورة مياه ومستودعين 

السوم مليون وسبعمئة والبيع قريب إن شاء الله 
السعر قابل للتفاوض للصامل

للتواصل : اتصال او واتس 

((الرقم يظهر عند الضغط على اتصال))",24.663564,46.802367,https://images.aqar.fm/webp/750x0/props/016962580_1786000521949.jpg | https://images.aqar.fm/webp/750x0/props/016962588_1786000521959.jpg | https://images.aqar.fm/webp/750x0/props/016962589_1786000521952.jpg,3,عبدالله ابراهيم عبدالله الورثان,مؤسسة عزوة العمران,1,2026-08-06,2026-08-06,2026-08-23,857,2026-08-23,True,"1,750,000",False,فيلا
6654308,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الجزيرة/شارع-شارع-حي-الجزيرة-مدينة-الرياض-منطقة-الرياض-6654308,"فيلا للبيع في شارع شارع , حي الجزيرة, مدينة الرياض, منطقة الرياض",1700000,484,4,,,11,حي الجزيرة,الرياض,شرق الرياض,"📍 للبيع فيلا بحي الجزيرة (إسكان الجزيرة)
المساحة: 484 م²
عرض الشارع: 35 متر
دور واحد
السوم واصل: 1,700,000 ريال
مباشر من وكيل الافراغ",24.661097,46.804404,,,عبدالملك ابراهيم محمد الجمعان,شركة بنايات نجد للتسويق شخص واحد,1,2026-04-14,2026-08-08,2026-08-15,2096,2026-08-23,True,"1,700,000",False,فيلا
6788841,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الجزيرة/شارع-رقم-22-حي-الجزيرة-الرياض-منطقة-الرياض-6788841,"فيلا للبيع في شارع رقم 22, حي الجزيرة, مدينة الرياض, منطقة الرياض",2300000,484,3,5,1,0,حي الجزيرة,الرياض,شرق الرياض,$5b,24.660785506363446,46.80868532847128,https://images.aqar.fm/webp/750x0/props/005898557_1784931889529.jpg | https://images.aqar.fm/webp/750x0/props/005898559_1784931889649.jpg | https://images.aqar.fm/webp/750x0/props/005898556_1784931889532.jpg | https://images.aqar.fm/webp/750x0/props/005898554_1784931889659.jpg | https://images.aqar.fm/webp/750x0/props/005898558_1784931889664.jpg | https://images.aqar.fm/webp/750x0/props/005898558_1784931889649.jpg | https://images.aqar.fm/webp/750x0/props/005898555_1784931889538.jpg | https://images.aqar.fm/webp/750x0/props/005898553_1784931889646.jpg | https://images.aqar.fm/webp/750x0/props/005898554_1784931928767.jpg | https://images.aqar.fm/webp/750x0/props/005898558_1784931928875.jpg | https://images.aqar.fm/webp/750x0/props/005898559_1784931928887.jpg | https://images.aqar.fm/webp/750x0/props/005898550_1784931928894.jpg | https://images.aqar.fm/webp/750x0/props/005898554_1784931928761.jpg | https://images.aqar.fm/webp/750x0/props/005898557_1784931928886.jpg | https://images.aqar.fm/webp/750x0/props/005898554_1784931928754.jpg | https://images.aqar.fm/webp/750x0/props/005898551_1784931928887.jpg | https://images.aqar.fm/webp/750x0/props/005898559_1784931958131.jpg | https://images.aqar.fm/webp/750x0/props/005898557_1784931958037.jpg | https://images.aqar.fm/webp/750x0/props/005898552_1784931957999.jpg | https://images.aqar.fm/webp/750x0/props/005898554_1784931958007.jpg | https://images.aqar.fm/webp/750x0/props/005898557_1784931958079.jpg | https://images.aqar.fm/webp/750x0/props/005898554_1784931958003.jpg | https://images.aqar.fm/webp/750x0/props/005898555_1784931958031.jpg | https://images.aqar.fm/webp/750x0/props/005898556_1784931958026.jpg | https://images.aqar.fm/webp/750x0/props/005898557_1784931978345.jpg,25,محمد فهد صالح الوهيبي,,,2026-07-24,2026-08-09,2026-08-23,309,2026-08-23,True,"2,300,000",False,فيلا
6696533,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الجزيرة/شارع-رقم-9-حي-الجزيرة-الرياض-منطقة-الرياض-6696533,فيلا للبيع في شارع رقم 9 ، حي الجزيرة ، الرياض ، منطقة الرياض,3000000,484,7,5,3,15,حي الجزيرة,الرياض,شرق الرياض,‏فيلا مكونة من ثلاث شقق مفصولين تراك خارجة الموقع مميز زاوية الدار الأرضي مكوة من أربع غرف صالة واثنين حمام شاب ضرب ثاني أربع غرف وصالة وحمام الفيلا مدخلين درج عدد 2المساحة 484,24.663977,46.803959,,,ناصر محمدياسر دالاتي,,,2026-05-14,,2026-06-01,117,2026-08-23,False,طلب تسويق,False,فيلا
6681914,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الجزيرة/شارع-سبط-السلاوي-حي-الجزيرة-مدينة-الرياض-منطقة-الرياض-6681914,"فيلا للبيع في شارع سبط السلاوي, حي الجزيرة, مدينة الرياض, منطقة الرياض",2900000,484,6,5,2,11,حي الجزيرة,الرياض,شرق الرياض,$5d,24.659306,46.794307,https://images.aqar.fm/webp/750x0/props/013252230_1777913286221.jpg | https://images.aqar.fm/webp/750x0/props/013252235_1777913286239.jpg | https://images.aqar.fm/webp/750x0/props/013252235_1777913286353.jpg | https://images.aqar.fm/webp/750x0/props/013252233_1777913286396.jpg | https://images.aqar.fm/webp/750x0/props/013252230_1777913286485.jpg | https://images.aqar.fm/webp/750x0/props/013252230_1777913286584.jpg | https://images.aqar.fm/webp/750x0/props/013252234_1777913286601.jpg | https://images.aqar.fm/webp/750x0/props/013252231_1777913286743.jpg | https://images.aqar.fm/webp/750x0/props/013252235_1777913286763.jpg | https://images.aqar.fm/webp/750x0/props/013252231_1777913286797.jpg | https://images.aqar.fm/webp/750x0/props/013252233_1777913286869.jpg | https://images.aqar.fm/webp/750x0/props/013252239_1777913286878.jpg | https://images.aqar.fm/webp/750x0/props/013252238_1777913286973.jpg | https://images.aqar.fm/webp/750x0/props/013252232_1777913287015.jpg | https://images.aqar.fm/webp/750x0/props/013252239_1777913287078.jpg | https://images.aqar.fm/webp/750x0/props/013252232_1777913287077.jpg,16,عبدالرحمن وليد بن سليمان الفنيخ,مؤسسة واجهة السحاب للعقارات,1,2026-05-04,2026-07-30,2026-08-22,743,2026-08-23,True,"2,900,000",False,فيلا
6832926,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الجزيرة/حي-الجزيرة-مدينة-الرياض-منطقة-الرياض-6832926,"فيلا للبيع في حي الجزيرة, مدينة الرياض, منطقة الرياض",2200000,484,,5,3,11,حي الجزيرة,الرياض,شرق الرياض,"للبيع فيلا في حي الجزيرة بالرياض.

المساحة: (٤٨٤)متر مربع.
الشوارع : شارع عرض (١٥ ) متر غربا.

تفاصيل العقار:
يتكون العقار من دور
وشقتين  :
-الدور الأرضي: (٦) غرف وصاله ومطبخ و(٤) دورات مياه وملحق خارجي ومدخل سيارة.
-الشقة الأولى : (٤)غرف ، وصالة ، ومطبخ ، ودورتين مياه.
-الشقة الثانية :  (٤)غرف ، وصالة ، ومطبخ ، ودورتين مياه.

السوم :   ٢١٥٠٠٠٠ ريال .
السعر :     ٢٢٠٠٠٠٠ ريال.

رخصة الاعلان: ٧٢٠١٠٩٥٢٦١
رخصة فال : ١٢٠٠٠١٤٤٤١

شركة تكامل العقارية",24.670017,46.791864,https://images.aqar.fm/webp/750x0/props/039349263_1787235396802.jpg | https://images.aqar.fm/webp/750x0/props/039349263_1787235432675.jpg | https://images.aqar.fm/webp/750x0/props/039349267_1787235432743.jpg | https://images.aqar.fm/webp/750x0/props/039349267_1787235432703.jpg | https://images.aqar.fm/webp/750x0/props/039349265_1787235432717.jpg | https://images.aqar.fm/webp/750x0/props/039349267_1787235432700.jpg | https://images.aqar.fm/webp/750x0/props/039349266_1787235432711.jpg,7,عبدالله العتيبي,شركة تكامل العقارية,1,2026-08-20,2026-08-20,2026-08-23,195,2026-08-23,True,"2,200,000",False,فيلا
6567729,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الجزيرة/شارع-الثغر-حي-الجزيرة-مدينة-الرياض-منطقة-الرياض-6567729,"فيلا للبيع في شارع الثغر, حي الجزيرة, مدينة الرياض, منطقة الرياض",3500000,600,6,,,11,حي الجزيرة,الرياض,شرق الرياض,"للبيع فيلا في حي الجزيرة في موقع متميز
قريبة جداً من محطة مترو هارون الرشيد
المساحة 600 متر
الواجهة شرق
عرض الشارع 20
عمر الفيلا 20 سنة تقريباً",24.682614,46.792832,https://images.aqar.fm/webp/750x0/props/013023198_1769700779552.jpg | https://images.aqar.fm/webp/750x0/props/013023198_1769700779892.jpg | https://images.aqar.fm/webp/750x0/props/013023194_1769700779949.jpg,3,محمد عبدالعزيز,,,2026-01-29,2026-08-21,2026-08-23,2811,2026-08-23,True,"3,500,000",False,فيلا
6771637,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الجزيرة/شارع-سبط-الشاذلي-حي-الجزيرة-مدينة-الرياض-منطقة-الرياض-6771637,"فيلا للبيع في شارع سبط الشاذلي, حي الجزيرة, مدينة الرياض, منطقة الرياض",1880000,484,6,5,1,11,حي الجزيرة,الرياض,شرق الرياض,"🏡 **فيلا للبيع – حي الجزيرة | الرياض**

فرصة مميزة لامتلاك فيلا بموقع حيوي وقريب من جميع الخدمات.

**مواصفات العقار:**

* المساحة: **484 م²**
* الواجهة: **شرقية**
* **شارع 20 متر**
* **دور واحد + ملحق خارجي**
* حوش واسع
* مواقف خارجية

✨ **تم ترميم الفيلا بالكامل** ويشمل:

* سباكة جديدة
* تمديدات كهربائية جديدة
* ديكورات عصرية
* بلاط جديد

📍 **موقع مميز** بين مخرجي **15 و16**، وقريب من **جامع الراجحي**، والمسجد، والمدارس، والحدائق.

💰 **السعر: 2,000,000 ريال**
**قابل للتفاوض**",24.665313,46.801788,https://images.aqar.fm/webp/750x0/props/045587068_1783950112818.jpg | https://images.aqar.fm/webp/750x0/props/045587064_1783950112809.jpg | https://images.aqar.fm/webp/750x0/props/045587069_1783950097011.jpg | https://images.aqar.fm/webp/750x0/props/045587060_1783950112783.jpg | https://images.aqar.fm/webp/750x0/props/045587064_1783950112770.jpg,5,فيصل الحمدي,مكتب اركان المحمدية للعقارات,1,2026-07-13,2026-07-13,2026-08-21,1346,2026-08-23,True,"1,880,000",False,فيلا
6686529,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الجزيرة/شارع-سبط-الشاذلي-حي-الجزيرة-مدينة-الرياض-منطقة-الرياض-6686529,"فيلا للبيع في شارع سبط الشاذلي, حي الجزيرة, مدينة الرياض, منطقة الرياض",1750000,484,7,5,2,11,حي الجزيرة,الرياض,شرق الرياض,"فلة للبيع في حي الجزيرة  

فلة دورين جاهزة للسكن  بمساحه كبيره 484م
بموقع مميز وقريب من جميع الخدمات:  

🔹 مجلس كبير  
🔹 مقلط كبير  
🔹 مجلس نساء  
🔹6 غرف نوم
6 دوراة مياه
    
🔹 ملحق خارجي  
🔹 حوش واسع  
🔹 مطبخ خارجي  

⚡️ الخدمات متوفرة: كهرباء – ماء – صرف صحي  
🛠️ البيت مرمم بالكامل (سباكة وكهرباء)  
📅 عمر العقار: 30سنة  

📍 الموقع: حي الجزيرة",24.664933,46.801807,,,فيصل الحمدي,مكتب اركان المحمدية للعقارات,1,2026-05-07,2026-06-05,2026-08-19,1385,2026-08-23,True,"1,750,000",False,فيلا
