listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6748946,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-الخزامى/شارع-حي-الخزامى-مدينة-الرياض-منطقة-الرياض-6748946,"فيلا للبيع في شارع , حي الخزامى, مدينة الرياض, منطقة الرياض",8500000,625,4,,,10,حي الخزامى,الرياض,غرب الرياض,$5c,24.70236,46.607502,https://images.aqar.fm/webp/750x0/props/015681707_1782492145102.jpg | https://images.aqar.fm/webp/750x0/props/015681702_1782492145084.jpg | https://images.aqar.fm/webp/750x0/props/015681706_1782492145100.jpg | https://images.aqar.fm/webp/750x0/props/015681707_1782492145101.jpg | https://images.aqar.fm/webp/750x0/props/015681709_1782492145168.jpg | https://images.aqar.fm/webp/750x0/props/015681700_1782492145310.jpg | https://images.aqar.fm/webp/750x0/props/015681708_1782492145308.jpg | https://images.aqar.fm/webp/750x0/props/015681702_1782492145398.jpg | https://images.aqar.fm/webp/750x0/props/015681705_1782492145397.jpg | https://images.aqar.fm/webp/750x0/props/015681703_1782492145538.jpg | https://images.aqar.fm/webp/750x0/props/015681707_1782492145540.jpg | https://images.aqar.fm/webp/750x0/props/015681704_1782492145596.jpg,12,عبدالملك ابراهيم محمد الجمعان,شركة بنايات نجد للتسويق شخص واحد,1,2026-06-26,2026-07-25,2026-08-18,1341,2026-08-23,True,"8,500,000",False,فيلا
6747008,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-الخزامى/شارع-أراك-حي-الخزامى-مدينة-الرياض-منطقة-الرياض-6747008,"فيلا للبيع في شارع أراك, حي الخزامى, مدينة الرياض, منطقة الرياض",7300000,650,6,,,11,حي الخزامى,الرياض,غرب الرياض,"فله بقيمة ارض للبيع 
حي الخزامى
• المساحة: 650 م²
• الواجهة: شرقية
. شارع ١٥ متر
• الأطوال:٢٦ متر على الشارع
العمق ٢٥ متر
للتواصل ((الرقم يظهر عند الضغط على اتصال))",24.707593,46.609628,https://images.aqar.fm/webp/750x0/props/000264677_1782336187738.jpg,1,عبدالله الموسى,شركة عبدالله عبدالمحسن الموسى العقارية,1,2026-06-24,2026-06-24,2026-08-19,1053,2026-08-23,True,"7,300,000",False,فيلا
6704069,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-الخزامى/شارع-نهر-الفرات-الأعلى-حي-الخزامى-مدينة-الرياض-منطقة-الرياض-6704069,"فيلا للبيع في شارع نهر الفرات الأعلى, حي الخزامى, مدينة الرياض, منطقة الرياض",8500000,625,6,5,3,11,حي الخزامى,الرياض,غرب الرياض,"للبيع فيلا بموقع مميز زاوية 
بحي الخزامى 
التفاصيل للمهتمين

السوم : 8 مليون",24.703804,46.608794,https://images.aqar.fm/webp/750x0/props/002902002_1779283867145.jpg,1,محمد هذال,شركة أثرى المتحدة العقارية,1,2026-05-19,2026-08-15,2026-08-15,2079,2026-08-23,True,"8,500,000",False,فيلا
6784312,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-الخزامى/شارع-نهر-الفرات-الأعلى-حي-الخزامى-مدينة-الرياض-منطقة-الرياض-6784312,"فيلا للبيع في شارع نهر الفرات الأعلى, حي الخزامى, مدينة الرياض, منطقة الرياض",8500000,625,,5,2,5,حي الخزامى,الرياض,غرب الرياض,$5d,24.703787,46.608753,https://images.aqar.fm/webp/750x0/props/003026332_1784654054247.jpg | https://images.aqar.fm/webp/750x0/props/003026332_1784654065269.jpg | https://images.aqar.fm/webp/750x0/props/003026330_1784654065017.jpg | https://images.aqar.fm/webp/750x0/props/003026339_1784654065276.jpg | https://images.aqar.fm/webp/750x0/props/003026332_1784654065259.jpg | https://images.aqar.fm/webp/750x0/props/003026337_1784654065019.jpg,6,جمعان محمد,مؤسسة شبكة الاسكان للعقارات,1,2026-07-21,2026-08-19,2026-08-20,569,2026-08-23,True,"8,500,000",False,فيلا
6675725,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-الخزامى/شارع-بدرة-حي-الخزامى-مدينة-الرياض-منطقة-الرياض-6675725,"فيلا للبيع في شارع بدرة, حي الخزامى, مدينة الرياض, منطقة الرياض",12000000,239,,0,0,11,حي الخزامى,الرياض,غرب الرياض,"🏡 فلة للبيع – حي الخزامى (مقابل جامعة الملك سعود)

📍 الموقع: حي الخزامى – موقع مميز مقابل جامعة الملك سعود
📐 المساحة: 625 م²
🧭 الواجهة: شرقي – شارع عرض 15م
🏠 العمر: 22 سنة
🔹 مكونة من دورين مفصولين (كل دور بصك مستقل)
🔹 أحد الأدوار عليه رهن لدى بنك الرياض
🔹 الفلة مسكونة حالياً

⸻

✨ مميزات الفلة:

* مطابخ راكبة في الدورين
* مكيفات مركبة
* غاز مركزي يخدم الدورين
* جميع الخدمات متوفرة (كهرباء – ماء – صرف صحي)
* غرفة سائق بدورة مياه
* حوشين واسعة (تتسع لعدة سيارات)

⸻

🏠 تفاصيل الدور الأرضي:

* ملحق رجال (مجلس + دورة مياه + مغاسل)
* ملحق نساء (غرفتين + دورة مياه + مغاسل)
* مجلس + مقلط
* صالة
* مطبخ
* 3 غرف نوم
* 3 دورات مياه
* حوش كبير يتسع لـ 3 سيارات

⸻

🏠 تفاصيل الدور الثاني:

* حوش يتسع لسيارتين
* مستودع + دورة مياه خارجية
* مجلس + مقلط
* صالة
* 3 غرف نوم
* 3 دورات مياه
* ملحق سطح (مجلس + دورة مياه) + مساحة سطح",24.711707,46.612358,https://images.aqar.fm/webp/750x0/props/016524716_1777496136285.jpg | https://images.aqar.fm/webp/750x0/props/016524715_1777496136317.jpg | https://images.aqar.fm/webp/750x0/props/016524715_1777496136296.jpg | https://images.aqar.fm/webp/750x0/props/016524710_1777496136289.jpg | https://images.aqar.fm/webp/750x0/props/016524718_1777496136309.jpg | https://images.aqar.fm/webp/750x0/props/016524712_1777496136287.jpg | https://images.aqar.fm/webp/750x0/props/016524719_1777496136443.jpg | https://images.aqar.fm/webp/750x0/props/016524716_1777496136284.jpg,8,فارس بن مسفر بن علي القرني,,,2026-04-29,2026-05-29,2026-07-22,172,2026-08-23,True,"12,000,000",False,فيلا
6710623,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-الخزامى/شارع-أبي-رافع-الصائغ-حي-الخزامى-مدينة-الرياض-منطقة-الرياض-6710623,"فيلا للبيع في شارع أبي رافع الصائغ, حي الخزامى, مدينة الرياض, منطقة الرياض",25000000,2500,7,0,0,11,حي الخزامى,الرياض,غرب الرياض,"راس بلك في حي الخزامى ف
‏المساحة : 2500
‏على ثلاث شوارع : جنوبي، شرقي، غربي
‏عرض الشوارع : 12
‏الاطوال : 50*50
‏الحد : 25 مليون
‏ملاحظة : مقام على الأرض قصر
‏عمر البناء : 19 سنه
‏العرض مباشر ، اقبل الوسيط المباشر .",24.711627,46.612918,https://images.aqar.fm/webp/750x0/props/002515842_1779717541808.jpg,1,عبدالرحمن الجريسي,,,2026-05-25,2026-06-23,2026-08-23,2399,2026-08-23,True,"25,000,000",False,فيلا
6614681,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-الخزامى/شارع-ا00-حي-الخزامى-مدينة-الرياض-منطقة-الرياض-6614681,"فيلا للبيع في شارع ا00, حي الخزامى, مدينة الرياض, منطقة الرياض",12000000,239,6,0,0,11,حي الخزامى,الرياض,غرب الرياض,"فيلا للبيع في حي الخزامى مساحتها 625 على شارع شرقي 15 
تتكون من دورين منفصله عمرالعقار 22سنة وكل دور بصك منفصل احدى الأدوار مرهونه لبنك الرياض 
الدور الارضي :
غرفة سائق بدورة مياه وحوش كبير يتسع ل 3 سيارت ملحق رجال محلس مع دورة مياه ومغاسل وملحق جهة النساء غرفتين و دورة مياه ومغسله ومن داخل مجلس ومقلط وصاله ومطبخ و3 غرف نوم و3 دورات مياة .
غاز مركزي للدورين جميع الخدمات متوفره صرف وكهرب وماء . 
الدور الثاني : 
حوش ياخذ سيارتين فيه دورة مياه مستودع مجلس مقلط صاله 3 غرف نوم 3 دورات مياه 
ملحق في السطح مع دورة مياه ومجلس وباقي السطح .

المطلوب للبيع 12000000ريال

التواصل مع سارونا العقارية 056237033-0552622155",24.709356,46.607906,https://images.aqar.fm/webp/750x0/props/039656647_1772667450928.jpg | https://images.aqar.fm/webp/750x0/props/039656648_1772667450928.jpg | https://images.aqar.fm/webp/750x0/props/039656647_1772667450970.jpg | https://images.aqar.fm/webp/750x0/props/039656640_1772667450975.jpg | https://images.aqar.fm/webp/750x0/props/039656647_1772667450953.jpg | https://images.aqar.fm/webp/750x0/props/039656642_1772667541766.jpg,6,ساره حسين,,,2026-03-04,2026-07-28,2026-08-06,2440,2026-08-23,True,"12,000,000",False,فيلا
6764335,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-الخزامى/شارع-النيل-الأبيض-حي-الخزامى-مدينة-الرياض-منطقة-الرياض-6764335,"فيلا للبيع في شارع النيل الأبيض, حي الخزامى, مدينة الرياض, منطقة الرياض",6800000,325,5,5,4,3,حي الخزامى,الرياض,غرب الرياض,"فيلا في حي الخزامى من ارقى احياء الرياض
مساحة ٣٢٥ (٣ ادوار ويوجد مسبح)
غرفة سائق 
٤ غرف نوم (٢ماستر) مع بلكونة
٥ حمامات
3 مجالس ومقلط  الطابق الارضي
مجلس الطابق الاول
مطبخ راكب واوفيس بالطابق الثاني والمكيفات كلها راكبة
السطح : غرفة غسيل وغرفة خادمة وسطح خارجي
*خارج نطاق الازالة*
السعر قابل للتفاوض 
للتواصل واتساب فقط",24.713712,46.612187,https://images.aqar.fm/webp/750x0/props/031439216_1783485275721.jpg | https://images.aqar.fm/webp/750x0/props/031439216_1783485275706.jpg | https://images.aqar.fm/webp/750x0/props/031439219_1783485275718.jpg | https://images.aqar.fm/webp/750x0/props/031439211_1783485275716.jpg | https://images.aqar.fm/webp/750x0/props/031439218_1783485275706.jpg | https://images.aqar.fm/webp/750x0/props/031439212_1783485275710.jpg | https://images.aqar.fm/webp/750x0/props/031439216_1783485400272.jpg | https://images.aqar.fm/webp/750x0/props/031439218_1783485400266.jpg,8,ندى مهنا,,,2026-07-07,2026-08-06,2026-08-21,1077,2026-08-23,True,"6,800,000",False,فيلا
6751761,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-الخزامى/شارع-جبل-مبرك-حي-الخزامى-مدينة-الرياض-منطقة-الرياض-6751761,"فيلا للبيع في شارع جبل مبرك, حي الخزامى, مدينة الرياض, منطقة الرياض",7000000,575,,0,0,11,حي الخزامى,الرياض,غرب الرياض,"للبيع فيلا سكنية في حي جبل مبارك – الرياض.

فيلا سكنية على أرض بمساحة 575 م²، مكونة من دورين، مخصصة للسكن العائلي، وتقع في موقع هادئ وقريب من الخدمات والمرافق الرئيسية. تتميز بمساحتها الواسعة وتوزيعها العملي، مما يجعلها مناسبة للعائلات الباحثة عن الراحة والخصوصية. العقار جاهز للإفراغ.
الحد 7500000",24.709066,46.614568,https://images.aqar.fm/webp/750x0/props/050399237_1786482591299.jpg,1,فهد بن نزال بن سلطان العتيبي,,,2026-06-28,2026-07-28,2026-08-15,772,2026-08-23,True,"7,000,000",False,فيلا
6712504,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-الخزامى/شارع-بدرة-حي-الخزامى-مدينة-الرياض-منطقة-الرياض-6712504,"فيلا للبيع في شارع بدرة, حي الخزامى, مدينة الرياض, منطقة الرياض",12000000,239,,0,0,11,حي الخزامى,الرياض,غرب الرياض,$5c,24.711674,46.612333,https://images.aqar.fm/webp/750x0/props/019452249_1780081037449.jpg | https://images.aqar.fm/webp/750x0/props/019452249_1780081037454.jpg | https://images.aqar.fm/webp/750x0/props/019452246_1780081037425.jpg | https://images.aqar.fm/webp/750x0/props/019452243_1780081037414.jpg | https://images.aqar.fm/webp/750x0/props/019452248_1780081037446.jpg | https://images.aqar.fm/webp/750x0/props/019452248_1780081037405.jpg | https://images.aqar.fm/webp/750x0/props/019452242_1780081037419.jpg | https://images.aqar.fm/webp/750x0/props/019452244_1780081037426.jpg,8,فارس بن علي بن ظافر الشهري,,,2026-05-29,2026-07-27,2026-07-27,245,2026-08-23,True,"12,000,000",False,فيلا
