listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6695746,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الخليج/شارع-أبي-طالب-الكرخي-حي-الخليج-مدينة-الرياض-منطقة-الرياض-6695746,"فيلا للبيع في شارع أبي طالب الكرخي, حي الخليج, مدينة الرياض, منطقة الرياض",3500000,625,,0,0,11,حي الخليج,الرياض,شرق الرياض,فله للبيع مساحه 625متر دورين ارضي وعلوي فرصه لي المطورين العقارين,24.77333,46.7868,https://images.aqar.fm/webp/750x0/props/047773058_1778684545363.jpg,1,فهد فالح فرج الحربي,شركة قمم نجد العقارية شركة شخص واحد,1,2026-05-13,2026-08-08,2026-08-12,446,2026-08-23,True,"3,500,000",False,فيلا
6771503,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الخليج/شارع-عبدالعزيز-البواردي-حي-الخليج-مدينة-الرياض-منطقة-الرياض-6771503,"فيلا للبيع في شارع عبدالعزيز البواردي, حي الخليج, مدينة الرياض, منطقة الرياض",2500000,250,,6,3,0,حي الخليج,الرياض,شرق الرياض,"للبيع دوبلكس مودرن | حي جوهرة الخليج | شرق الرياض | 500م²
نوع العقار: دوبلكس سكني - جديد - لم يسكن
المساحة: 500 م² | أبعاد الأرض: 20 × 25 م
الحي: جوهرة الخليج
المدينة: الرياض
السعر: [ ٢٦٠٠٠٠٠ ] ريال لكل فيلا  - قابل للتفاوض 
 مواصفات العقار:
الدور الأرضي:مجلس رجال  مقلط صالة مطبخ 2 دورات مياه غرفة سائق مدخل سيارة 
الدور الأول:3 غرف نوم ماستر - غرفة نوم اضافية صالة عائلية 2 بلكونة 
الدور الملحق: شقة مستقلة بمدخل خاص مكونة من ٣ غرف نوم صالة عائلية مجلس رجال مطبخ ٣ دورات مياة 
مميزات العقار:
 تصميم عصري بواجهة حجر وزجاج
 خصوصية عالية بفصل مناطق الضيوف عن العائلة 
تشطيبات ديلوكس: جبس فاخر، إنارة مخفية، نوافذ عازلة سقف هوردي معزول حراري وصوتي عدادين كهرباء منفصلة
موقع مميز: حي جوهرة الخليج - دقائق من جميع الخدمات والخدمات",24.777506,46.789044,https://images.aqar.fm/webp/750x0/props/037860982_1783941039143.jpg | https://images.aqar.fm/webp/750x0/props/037860988_1783941044136.jpg | https://images.aqar.fm/webp/750x0/props/037860986_1783941040851.jpg,3,شاهه الحربي,شركة رائدة المساكن للتطوير العقاري,1,2026-07-13,2026-08-11,2026-08-23,403,2026-08-23,True,"2,500,000",False,فيلا
6456556,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الخليج/شارع-حلوان-حي-الخليج-مدينة-الرياض-منطقة-الرياض-6456556,"فيلا للبيع في شارع حلوان, حي الخليج, مدينة الرياض, منطقة الرياض",5000000,910,7,,,11,حي الخليج,الرياض,شرق الرياض,"السلام عليكم ورحمه الله وبركاته  
فيلتين متلصقه دبلكس كل فيلا 455 متر الفيلين 910 متر 
قريب من طريق الملك عبدالله قريب مسجد 
موقع ممتاز والأسعار ممتازه",24.776017,46.780039,https://images.aqar.fm/webp/750x0/props/048402728_1762438076123.jpg,1,فهد فالح فرج الحربي,شركة قمم نجد العقارية شركة شخص واحد,1,2025-11-06,2025-11-06,2026-08-12,847,2026-08-23,True,"5,000,000",False,فيلا
6749825,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الخليج/شارع-أحمد-بن-بكر-حي-الخليج-الرياض-منطقة-الرياض-6749825,فيلا للبيع في شارع أحمد بن بكر ، حي الخليج ، الرياض ، منطقة الرياض,1350000,338,7,5,3,20,حي الخليج,الرياض,شرق الرياض,"🔴 هذا التحديث 👇🏻

للبيع فيلا متلاصقة حي الخليج مساحتها 337.5م  شارع 15م الصك مُسجل في التسجيل العيني ( السجل العقاري )

عبارة عن *(دور + دور + شقه)*

المحتويات 
الدور الارضي مدخل خاص وعداد كهرب مستقل
+حوش يكفي سيارة 
+ مجلس
+ مقلط
+ 3 غرف نوم
+ صالة
+ مطبخ
+ دورتين مياه
+ ملحق خارجي في الحوش مع دورة مياه
ــــــــــــــــــــــــــــــــــــــــــ
الدور الثاني عداد كهرب مشترك مع شقة الدور الثالث
+مجلس
+ مقلط
+ 3 غرف نوم
+ صالة
+ مطبخ
+ دورتين مياه
ــــــــــــــــــــــــــــــــــــــــــ
شقة في الدور الثالث
+ 2 غرف نوم
+ مجلس
+صالة
+ مطبخ
+ دورتين مياه
+ خيمة
+ مستودع صغير
+ بقية حوش السطح

مجموع الاجارات 86 الف سنوياً
مؤجرة بالكامل

*يوجد دفعة اجار بعد 10 ايام بقيمة 16500 يستطيع الاستفادة منها المشتري*

https://maps.app.goo.gl/hEAzKpgoWFfWNybo6?g_st=ic
الموقع 👆🏻

*السوم 1،300،000*
*حد البيع 1،350،000*",24.77931,46.805367,https://images.aqar.fm/webp/750x0/props/035730328_1782570785034.jpg | https://images.aqar.fm/webp/750x0/props/035730326_1782570925537.jpg | https://images.aqar.fm/webp/750x0/props/035730328_1782570925497.jpg | https://images.aqar.fm/webp/750x0/props/035730326_1782570925602.jpg | https://images.aqar.fm/webp/750x0/props/035730324_1782570926994.jpg | https://images.aqar.fm/webp/750x0/props/035730329_1782570927259.jpg | https://images.aqar.fm/webp/750x0/props/035730327_1782570927033.jpg | https://images.aqar.fm/webp/750x0/props/035730329_1782570927182.jpg | https://images.aqar.fm/webp/750x0/props/035730321_1782570944822.jpg,9,عبدالرحمن بن ابراهيم بن مسفر الجوفان,,,2026-06-27,,2026-08-22,173,2026-08-23,False,طلب تسويق,False,فيلا
6775840,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الخليج/شارع-أحمد-بن-بكر-حي-الخليج-مدينة-الرياض-منطقة-الرياض-6775840,"فيلا للبيع في شارع أحمد بن بكر, حي الخليج, مدينة الرياض, منطقة الرياض",1500000,337,6,5,3,0,حي الخليج,الرياض,شرق الرياض,"للبيع فلتين بقيمه ارض حي الخليج 
الصك الفيلا واحده 337.5
محموعه الصكين 
675متر في حي الخليج 
شارع 15متر 
قيمة السور علي الشارع للصكين 25متر
عمق الفيلا الواحدة 27.14متر
البيع 3850 متر
الحد البيع مليون و 300

https://maps.app.goo.gl/dEacDAswZN3UwG9q9?g_st=ic
🔸*",24.779257,46.805463,https://images.aqar.fm/webp/750x0/props/050967015_1785947405122.jpg | https://images.aqar.fm/webp/750x0/props/050967010_1784139856676.jpg | https://images.aqar.fm/webp/750x0/props/050967015_1784649002728.jpg,3,جواهر عبدالعزيز,مكتب ريحانة نجد للعقارات,1,2026-07-15,2026-08-14,2026-08-23,355,2026-08-23,True,"1,500,000",False,فيلا
6579534,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الخليج/شارع-ابن-مصلح-حي-الخليج-مدينة-الرياض-منطقة-الرياض-6579534,"فيلا للبيع في شارع ابن مصلح, حي الخليج, مدينة الرياض, منطقة الرياض",2500000,262,4,1,0,0,حي الخليج,الرياض,شرق الرياض,"ادوار – حي الخليج (الرياض)
مساحة الأرض: 262.5 م
أدوار منفصلة مع مصعد
كل دور بعداد كهرباء ومياه مستقل
---
الدور الأرضي
حوش + ملحق خارجي
مجلس + صالة
٤ غرف نوم 
٣ دورات مياه",24.771395,46.788892,,,عبدالملك ابراهيم محمد الجمعان,شركة بنايات نجد للتسويق شخص واحد,1,2026-02-07,2026-07-31,2026-08-21,158,2026-08-23,True,"2,500,000",False,فيلا
6733514,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الخليج/شارع-أبي-زكريا-الأزجي-حي-الخليج-مدينة-الرياض-منطقة-الرياض-6733514,"فيلا للبيع في شارع أبي زكريا الأزجي, حي الخليج, مدينة الرياض, منطقة الرياض",3500000,679,,0,0,11,حي الخليج,الرياض,شرق الرياض,"فيلا بحي الخليج 
على شارعين شمالية شرقيه 
زاويه بناء شخصي",24.76196,46.787953,https://images.aqar.fm/webp/750x0/props/007418884_1781513307053.jpg | https://images.aqar.fm/webp/750x0/props/007418889_1781513307056.jpg | https://images.aqar.fm/webp/750x0/props/007418881_1781513307054.jpg | https://images.aqar.fm/webp/750x0/props/007418880_1781513307060.jpg | https://images.aqar.fm/webp/750x0/props/007418882_1781513307060.jpg | https://images.aqar.fm/webp/750x0/props/007418885_1781513307060.jpg | https://images.aqar.fm/webp/750x0/props/007418882_1781513307055.jpg | https://images.aqar.fm/webp/750x0/props/007418887_1781513307064.jpg,8,احمد محمد مفرح البارقي,,,2026-06-15,2026-08-12,2026-08-16,512,2026-08-23,True,"3,500,000",False,فيلا
6786353,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الخليج/شارع-سعيد-بن-أبي-العروبة-حي-الخليج-مدينة-الرياض-منطقة-الرياض-6786353,"فيلا للبيع في شارع سعيد بن أبي العروبة, حي الخليج, مدينة الرياض, منطقة الرياض",2200000,560,5,5,2,11,حي الخليج,الرياض,شرق الرياض,"فرصه 
للبيع فيلا بحي الخليج
مساحه 
560 م
عمرها 35 سنه 
15 واجهه شماليه 
دورين 
الدور الاول : 
ملحق خارجي بحمامه
4 غرف صاله مطبخ حمامين 
الدور الثاني 
ثلاث غرف صاله وحمامين ومطبخ
البيع بسعر الارض يفضل
السوم مليونين 200",24.772576,46.794733,https://images.aqar.fm/webp/750x0/props/040987459_1784753154316.jpg | https://images.aqar.fm/webp/750x0/props/040987459_1784753154316.jpg,2,فهد سعود محمد الصويلح,مؤسسة فهد سعود محمد الصويلح للعقارات,1,2026-07-22,2026-08-21,2026-08-22,402,2026-08-23,True,"2,200,000",False,فيلا
6763500,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الخليج/شارع-أحمد-بن-بكر-حي-الخليج-مدينة-الرياض-منطقة-الرياض-6763500,"فيلا للبيع في شارع أحمد بن بكر, حي الخليج, مدينة الرياض, منطقة الرياض",1350000,337,,5,0,10,حي الخليج,الرياض,شرق الرياض,$5e,24.779257,46.805463,https://images.aqar.fm/webp/750x0/props/036541055_1783419226175.jpg | https://images.aqar.fm/webp/750x0/props/036541053_1783419226254.jpg | https://images.aqar.fm/webp/750x0/props/036541056_1783419226163.jpg | https://images.aqar.fm/webp/750x0/props/036541055_1783419226166.jpg | https://images.aqar.fm/webp/750x0/props/036541055_1783419226257.jpg | https://images.aqar.fm/webp/750x0/props/036541055_1783419226246.jpg | https://images.aqar.fm/webp/750x0/props/036541052_1783419226160.jpg,7,احمد فهد,,,2026-07-07,2026-08-05,2026-08-15,624,2026-08-23,True,"1,350,000",False,فيلا
6521958,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الخليج/شارع-عمارة-بن-حزم-حي-الخليج-مدينة-الرياض-منطقة-الرياض-6521958,"فيلا للبيع في شارع عمارة بن حزم, حي الخليج, مدينة الرياض, منطقة الرياض",4800000,810,,,,2,حي الخليج,الرياض,شرق الرياض,"فيلا راقيه، مجدده بالكامل بحي الخليج مناسبه لعائله كبيرة 
او مستثمر لبناء ثلاث فلل، مساحتها ٨١٠ متر على شارع ٢٠م مكيفاتها جديده ،قريبه من الحمراء مول والخدمات
الحوش: غرفة سائق بحمام ، مواقف لسيارات أربعه ، ""غرفة غسيل خارجية""بحمام، مشب بدورة مياه، حديقة كبيرة وبلكونة مطله على حديقة جانبية
الدور الأرضي: غرفتين ماستر بحماماتها لكبار السن، ثلاث صالات واسعه بدورة مياه
الدور الاول غرفة ماستر كبيرة بغرفة ملابس دورتي مياه وصالة رياضيه ، غرفتين نوم بينهم دورة مياه، جناح ماستر ، صاله عائلية واسعه
السطح غرفة خدم كبيرة جدا بدورة مياه، تبعد عن مترو محطة الأندلس تقريبا ١٠ دقايق مشي
الفيلا مجدد قبل سنتين 
الحد 4 مليون 800 
قابل للتفاوض للصامل",24.765262,46.787658,https://images.aqar.fm/webp/750x0/props/016729731_1766747258966.jpg,1,طارق يوسف,شركة طارق يوسف عبدالعزيز النعيم,1,2025-12-26,2025-12-26,2026-08-23,269,2026-08-23,True,"4,800,000",False,فيلا
