listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6544985,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-الربوة/شارع-مرثد-اليزني-حي-الربوة-مدينة-الرياض-منطقة-الرياض-6544985,"فيلا للبيع في شارع مرثد اليزني, حي الربوة, مدينة الرياض, منطقة الرياض",2250000,217,4,5,0,0,حي الربوة,الرياض,وسط الرياض,"للبيع 2 فيلا متميزة في حي الربوة 
مواصفات المشروع:
مساحة الفيلا 217م 
شارع ١٢ شرقي 
الدور الارضي مجلس صالة طعام وصالة جلوس ومطبخ 
الدور الاول ٤ غرف نوم ٢ منهم ماستر 
الملحق العلوي  صالة وغرفة خادمة وغرفة غسيل 
مميزات المشروع:
مصاعد راكبة لجميع  الفلل
تكييف مخفي لكامل الدور الارضي 
مع توفر جميع الضمانات

مميزات الموقع :
قربة من محطة المترو والنقل العام 
قربة من المستشفيات و المدارس والحدائق والخدمات 

المسوق أصيص العقارية 
للتواصل 
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))",24.689225,46.772923,https://images.aqar.fm/webp/750x0/props/042730142_1772367862269.jpg | https://images.aqar.fm/webp/750x0/props/003426005_1768309916239.jpg | https://images.aqar.fm/webp/750x0/props/003426002_1768309916170.jpg | https://images.aqar.fm/webp/750x0/props/003426001_1768309916161.jpg | https://images.aqar.fm/webp/750x0/props/003426001_1768309916214.jpg | https://images.aqar.fm/webp/750x0/props/003426005_1768309916168.jpg | https://images.aqar.fm/webp/750x0/props/003426009_1768309916193.jpg | https://images.aqar.fm/webp/750x0/props/003426000_1768309916203.jpg | https://images.aqar.fm/webp/750x0/props/003426006_1768309937619.jpg | https://images.aqar.fm/webp/750x0/props/003426001_1768309937532.jpg,10,مهند محمد عبدالعزيز الضويحى,شركة أصيص العقارية,1,2026-01-13,2026-01-13,2026-08-23,6275,2026-08-23,True,"2,250,000",False,فيلا
6836552,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-الربوة/شارع-وادي-الريحان-حي-الربوة-مدينة-الرياض-منطقة-الرياض-6836552,"فيلا للبيع في شارع وادي الريحان, حي الربوة, مدينة الرياض, منطقة الرياض",1400000,231,,6,2,11,حي الربوة,الرياض,وسط الرياض,"دوبلكس للبيع في الربوة مقابل المشروع الجديد و قريب من المترو 
المساحة :
(٢٣١،٢٥)
الأطوال :
شرقا(٢٥)متر
غربا(٢٥)متر
جنوبا(٩،٢٥)متر
هذا حسب الصك
الشارع 20 م جنوبي 
البيع(مليون و أربع مائة ألف)

https://maps.app.goo.gl/FAMsHCt5NBXwmFDV9?g_st=aw",24.67807,46.763217,,,احمد صالح أحمد الريمي,,,2026-08-23,2026-08-23,2026-08-23,0,2026-08-23,True,"1,400,000",False,فيلا
6757737,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-الربوة/شارع-المحاوشية-حي-الربوة-مدينة-الرياض-منطقة-الرياض-6757737,"فيلا للبيع في شارع المحاوشية, حي الربوة, مدينة الرياض, منطقة الرياض",1900000,375,,0,0,11,حي الربوة,الرياض,وسط الرياض,"🏠 فرصة عقارية مميزة

 للبيع فيلا (نظام دورين)

📍 موقع استراتيجي:
 حي الربوة 

المساحة: 375 م

شارع : 12 م شمال 

العمر : قديمة و مرممة 

المنطقة هادية جداً 

​تفاصيل العقار:

​🔹 الدور الأرضي:

​المواصفات الداخلية:
4 غرف واسعة + صالة عائلية + مطبخ متكامل.
​دورات المياه: 3 دورات مياه بتشطيب جيد.
​المميزات الخارجية:
​حوش كبير جداً يمنحك خصوصية وراحة.
​مساحات خضراء (زرع) جاهزة تضفي جمالية للمكان.
​ملحق خارجي مستقل مع مغاسل خاصة به
(مناسب للمجالس).
​مستودع خلفي كبير لتخزين كافة الاحتياجات.

​🔹 الدور الأول (مؤجر حالياً):
​المكونات: 4 غرف + صالة + مطبخ.
​دورات المياه: 3 

​المميزات: ملحق به سطح خاص يوفر تهوية وإطلالة ممتازة.
متاح بناء شقة خاصة 

​
​⚡ عدادات مستقلة:
يوجد عدادين كهرباء
 
​
​✅ حالة العقار: جاهز للسكن الفوري أو الاستمرار في الاستثمار.

البيع : 2،100،000 

أبو سلمان المهوس
((الرقم يظهر عند الضغط على اتصال))",24.688109,46.767389,https://images.aqar.fm/webp/750x0/props/005327816_1783035217200.jpg | https://images.aqar.fm/webp/750x0/props/005327815_1783035239218.jpg | https://images.aqar.fm/webp/750x0/props/005327811_1783035239222.jpg | https://images.aqar.fm/webp/750x0/props/005327814_1783035239195.jpg | https://images.aqar.fm/webp/750x0/props/005327814_1783035258188.jpg | https://images.aqar.fm/webp/750x0/props/005327815_1783035258204.jpg | https://images.aqar.fm/webp/750x0/props/005327810_1783035258211.jpg | https://images.aqar.fm/webp/750x0/props/005327819_1783035258207.jpg | https://images.aqar.fm/webp/750x0/props/005327813_1783035284246.jpg | https://images.aqar.fm/webp/750x0/props/005327812_1783035284243.jpg | https://images.aqar.fm/webp/750x0/props/005327814_1783035284243.jpg | https://images.aqar.fm/webp/750x0/props/005327815_1783035315552.jpg | https://images.aqar.fm/webp/750x0/props/005327813_1783035315552.jpg | https://images.aqar.fm/webp/750x0/props/005327816_1783035315549.jpg | https://images.aqar.fm/webp/750x0/props/005327812_1783035315547.jpg | https://images.aqar.fm/webp/750x0/props/005327812_1783035315578.jpg | https://images.aqar.fm/webp/750x0/props/005327810_1783035315563.jpg | https://images.aqar.fm/webp/750x0/props/005327817_1783035315562.jpg,18,عبدالرحمن المهوس,,,2026-07-02,2026-08-01,2026-08-22,1207,2026-08-23,True,"1,900,000",False,فيلا
6791478,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-الربوة/شارع-الفاخري-حي-الربوة-مدينة-الرياض-منطقة-الرياض-6791478,"فيلا للبيع في شارع الفاخري, حي الربوة, مدينة الرياض, منطقة الرياض",2200000,400,7,2,1,11,حي الربوة,الرياض,وسط الرياض,"� للبيع فيلا مميزة في حي الربوة
فرصة رائعة للسكن أو الاستثمار
بسعر أرض فقط

📍 الموقع: حي الربوة
🛣 شارع: 10م شرقي
✨ حالة الفيلا: مجددة بالكامل وجاهزة للسكن

📐 المساحة: 400 م²
📏 الأبعاد: 20 × 20

مواصفات العقار:

🔹 الدور الأرضي:

* حوش
* مجلس
* صالة
* 3 غرف نوم
* مطبخ
* (بدون مدخل سيارة)

🔹 الدور الأول (مدخل مستقل):

* مدخل خاص
* موقف يتسع لسيارتين
* صالة
* 3 غرف نوم
* مطبخ

🔹 الملحق:

* غرفتا نوم
* سطح

💡 مميزات العقار:

* مناسب لسكن عائلتين بفضل استقلالية المداخل.
* فرصة استثمارية ممتازة لتحقيق دخل من التأجير.
* مجدد بالكامل ولا يحتاج إلى أعمال صيانة.
* يقع في حي حيوي وقريب من الخدمات.",24.684381,46.769899,https://images.aqar.fm/webp/750x0/props/048562922_1785084917136.jpg | https://images.aqar.fm/webp/750x0/props/048562927_1785084985326.jpg,2,عبدالله محمد عايض المنهالي,شركة وثبة القمم,1,2026-07-26,2026-07-26,2026-07-27,1452,2026-08-23,True,"2,200,000",False,فيلا
6685685,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-الربوة/شارع-أبي-سعيد-العلاني-حي-الربوة-مدينة-الرياض-منطقة-الرياض-6685685,"فيلا للبيع في شارع أبي سعيد العلاني, حي الربوة, مدينة الرياض, منطقة الرياض",1850000,230,,6,2,11,حي الربوة,الرياض,وسط الرياض,"🏡✨ نحن مكتب التريكي للعقارات ✨🏡
📌 بيع | شراء | إدارة أملاك | تأجير

🏡✨ للبيع فيلا دوبلكس مميزة ✨🏡

📍 الموقع: حي الربوة – الرياض

📏 الحدود والأطوال: ⬆️ شمالاً: شارع عرض 15م — 11.50 م
⬇️ جنوباً: جزء من القطعة رقم 348 — 11.50 م
➡️ شرقاً: القطعة رقم 347 / 1 — 11.50 م
⬅️ غرباً: القطعة رقم 349 — 11.50 م

💰 السعر: 1,850,000 ريال فقط 🔥
💰 السوم : 1650000

🔹 تفاصيل العقار:

النوع: دوبلكس (دورين مفصولات) 🏠
المساحة: 230 متر مربع 📐
عمر العقار: 20 سنة 🕰️
العقار مؤجر حالياً بعائد سنوي: 90,000 ريال 💵

🏠 تفاصيل الدور الأرضي:

4 غرف واسعة 🛏️
صالة مريحة 🛋️
2 دورات مياه 🚿
مطبخ 🍽️
حوش خاص 🌿

🏠 تفاصيل الدور العلوي:

4 غرف 🛏️
صالة 🛋️
2 دورات مياه 🚿
ملحق علوي + دورة مياه 🚪
سطح واسع 🌇

📍 مميزات الموقع – حي الربوة:

يقع على طريق النهضة، أحد الطرق الحيوية 🚦
سهولة الوصول لجميع أنحاء المدينة 🗺️
قريب من المدارس 🏫، المستشفيات 🏥، والأسواق 🛍️
حي هادئ ومناسب للعائلات 👨‍👩‍👧‍👦
كثافة سكانية عالية = فرصة استثمارية قوية 💼

💎 مميزات إضافية:
✔️ دخل سنوي جاهز 💵
✔️ موقع استراتيجي 🔑
✔️ مناسب للسكن أو الاستثمار 📈

📞 للتواصل والاستفسار:
مكتب التريكي للعقارات

((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))
🌟مواعيد العمل من 4م الى 10 م كل يوم ماعدا الجمعه


نخدمكم بكل احترافية وشفافية 🔑",24.697756,46.751955,https://images.aqar.fm/webp/750x0/props/005892418_1778092946079.jpg | https://images.aqar.fm/webp/750x0/props/005892418_1778092946083.jpg,2,مشعل ماجد بن محمد التريكي,مكتب مشعل ماجد التريكي للعقارات,1,2026-05-06,2026-08-02,2026-08-22,1247,2026-08-23,True,"1,850,000",False,فيلا
6732613,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-الربوة/شارع-عيسى-القيسي-حي-الربوة-مدينة-الرياض-منطقة-الرياض-6732613,"فيلا للبيع في شارع عيسى القيسي, حي الربوة, مدينة الرياض, منطقة الرياض",4000000,450,6,4,2,5,حي الربوة,الرياض,وسط الرياض,"فيلا للبيع
حي الربوة
مساحة 450م
زاوية شارع 12 شمالي وشارع 12 شرقي
العمر 6 سنوات تقريباً
درج صاله + شقة مستقله بمدخل خاص
(يوجد بها بدروم ويوجد مسبح بالبدروم + صاله ومستودع)
الارضي :
مجلسين وصاله ودورتين مياة ومطبخ
العلوي :
عدد 2 غرف نوم ماستر + 4 غرف نوم بينهم دورتين مياة + صاله

الشقة مستقله محتوياتها:
2 غرف نوم ومطبخ ودورتين مياة ومجلس مساحة 120م تقريباً
الفله حاليا مؤجرة ب175 الف﷼ 
يوجد عليها رهن للبنك بمبلغ 1100.000

حد البيع 4500.000 مليون ريال على الشور",24.696743,46.768822,https://images.aqar.fm/webp/750x0/props/025156065_1781455183634.jpg | https://images.aqar.fm/webp/750x0/props/025156061_1781455183698.jpg | https://images.aqar.fm/webp/750x0/props/025156067_1781455183697.jpg | https://images.aqar.fm/webp/750x0/props/025156063_1781455183694.jpg | https://images.aqar.fm/webp/750x0/props/025156060_1781455183709.jpg | https://images.aqar.fm/webp/750x0/props/025156060_1781455183728.jpg | https://images.aqar.fm/webp/750x0/props/025156068_1781455183711.jpg | https://images.aqar.fm/webp/750x0/props/025156060_1781455183711.jpg | https://images.aqar.fm/webp/750x0/props/025156067_1781455216024.jpg | https://images.aqar.fm/webp/750x0/props/025156060_1781455215965.jpg | https://images.aqar.fm/webp/750x0/props/025156066_1781455216021.jpg | https://images.aqar.fm/webp/750x0/props/025156069_1781455215978.jpg | https://images.aqar.fm/webp/750x0/props/025156062_1781455216020.jpg,13,محمد ناصر محمد المنيفي,,,2026-06-14,2026-08-11,2026-08-22,1370,2026-08-23,True,"4,000,000",False,فيلا
6824422,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-الربوة/شارع-خليفة-بن-أبي-بكر-حي-الربوة-الرياض-منطقة-الرياض-6824422,"فيلا للبيع في شارع خليفة بن ابي بكر, حي الربوة, مدينة الرياض, منطقة الرياض",1900000,300,4,5,2,11,حي الربوة,الرياض,وسط الرياض,"فله بناء شخصي مساحة 300م2
من المالك مباشره 
فله دبلكس في موقع مميز في حي الربوه الذهبي  على شارع 20 واجهة شرقيه 
فيه قبو و جراج
  قريب من الخدمات",24.693537,46.745808,https://images.aqar.fm/webp/750x0/props/003796422_1786823982479.jpg | https://images.aqar.fm/webp/750x0/props/003796426_1786823982608.jpg,2,منيره الجماز,,,2026-08-15,2026-08-15,2026-08-15,215,2026-08-23,True,"1,900,000",False,فيلا
6746249,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-الربوة/شارع-عبدالمجيد-الخطي-حي-الربوة-مدينة-الرياض-منطقة-الرياض-6746249,"فيلا للبيع في شارع عبدالمجيد الخطي, حي الربوة, مدينة الرياض, منطقة الرياض",3500000,407,,6,4,7,حي الربوة,الرياض,وسط الرياض,"للبيع فيلا فاخرة – حي الربوة
المساحة : 407.5م² | العمر : 7سنين
الواجهة : على شارعين متظاهرين جنوباً و شمالاً

مواصفات العقار:

تتكون الفيلا من 3 طوابق بالإضافة إلى سطحين علويين
تصميم واسع ومناسب للعائلات الكبيرة
مصعد يخدم الأدوار من الأرضي حتى الثاني
جميع النوافذ مزودة بـ شتر
مدخل سيارة
حوش
خزان غاز مركزي
غرفة سائق مستقلة مع دورة مياه
ملحق خارجي مستقل مع دورة مياه

الدور الأرضي:
مجلس رجال، صالة معيشة واسعة، مغاسل ودوره مياه، صالة طعام، مطبخ داخلي، مطبخ مفتوح.

الدور الأول:
5 غرف نوم (منها جناح رئيسي وغرفة ملابس)، 4 دورات مياه، وصالة عائلية.

الدور الثاني:
غرفة ألعاب كبيرة، غرفة خادمة، غرفة غسيل، مستودع، صالة، وسطحين خاصة.

مميزات 
* موقع حيوي وقريب من الخدمات والمرافق اليومية.
- تصميم عملي بمساحات واسعة وتوزيع مميز للغرف.
- مناسب للسكن العائلي الكبير.
- خصوصية عالية بين مناطق الاستقبال والمعيشة.
- تعدد الصالات يمنح راحة أكبر لجميع أفراد الأسرة.
- وجود غرفة ألعاب ومساحات خدمية متكاملة.
- مصعد داخلي يسهل التنقل بين الأدوار.
- ملحق خارجي وغرفة سائق مستقلة.
قيمة البيع : 3.500.000ريال",24.694027,46.758889,https://images.aqar.fm/webp/750x0/props/006831711_1782307121197.jpg | https://images.aqar.fm/webp/750x0/props/006831712_1782307127994.jpg | https://images.aqar.fm/webp/750x0/props/006831712_1782307133141.jpg | https://images.aqar.fm/webp/750x0/props/006831715_1782307139868.jpg | https://images.aqar.fm/webp/750x0/props/006831711_1782307148874.jpg | https://images.aqar.fm/webp/750x0/props/006831712_1782307153438.jpg | https://images.aqar.fm/webp/750x0/props/006831719_1782307160478.jpg | https://images.aqar.fm/webp/750x0/props/006831719_1782307167556.jpg | https://images.aqar.fm/webp/750x0/props/006831715_1782307172309.jpg | https://images.aqar.fm/webp/750x0/props/006831717_1782307182999.jpg | https://images.aqar.fm/webp/750x0/props/006831717_1782307192858.jpg | https://images.aqar.fm/webp/750x0/props/006831711_1782307197340.jpg | https://images.aqar.fm/webp/750x0/props/006831716_1782307202352.jpg | https://images.aqar.fm/webp/750x0/props/006831716_1782307210275.jpg | https://images.aqar.fm/webp/750x0/props/006831716_1782307229288.jpg | https://images.aqar.fm/webp/750x0/props/006831718_1782307237991.jpg | https://images.aqar.fm/webp/750x0/props/006831710_1782307254696.jpg | https://images.aqar.fm/webp/750x0/props/006831713_1782307262769.jpg | https://images.aqar.fm/webp/750x0/props/006831711_1782307271855.jpg | https://images.aqar.fm/webp/750x0/props/006831710_1782307288241.jpg | https://images.aqar.fm/webp/750x0/props/006831710_1782307295884.jpg | https://images.aqar.fm/webp/750x0/props/006831715_1782307300132.jpg | https://images.aqar.fm/webp/750x0/props/006831712_1782307308718.jpg | https://images.aqar.fm/webp/750x0/props/006831710_1782307315244.jpg | https://images.aqar.fm/webp/750x0/props/006831712_1782307319849.jpg | https://images.aqar.fm/webp/750x0/props/006831713_1782307323283.jpg | https://images.aqar.fm/webp/750x0/props/006831716_1782307329980.jpg | https://images.aqar.fm/webp/750x0/props/006831715_1782307334843.jpg | https://images.aqar.fm/webp/750x0/props/006831715_1782307339148.jpg | https://images.aqar.fm/webp/750x0/props/006831710_1782307342847.jpg,30,صالح سليمان,شركة عقارات النابغة للتجارة,1,2026-06-24,2026-08-21,2026-08-21,1134,2026-08-23,True,"3,500,000",False,فيلا
6824818,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-الربوة/شارع-زهير-بن-المسيب-حي-الربوة-مدينة-الرياض-منطقة-الرياض-6824818,"فيلا للبيع في شارع زهير بن المسيب, حي الربوة, مدينة الرياض, منطقة الرياض",3800000,726,,7,1,11,حي الربوة,الرياض,وسط الرياض,"فيلا في حي الربوة 
على 3 شوارع راس بلك 
بمساحة 726.68م2 
الشوارع : 
شمالي 12م 
غربي 10م 
جنوبي 10م
- شمالي بطول 29م
- جنوبي بطول 29م
- غربي  بطول 24م 
فيه 3 شقق ادوار مستقلة وابواب مستقلة 
كراج سيارة يسمح بدخول 4 سيارات 
بيت شعر 
ملحق خارجي سفلي 
باب للرجال 
مجلس ومقلط رجالي 
مجلس نسائي 
غرفة طعام 
صالة 
مطبخ
3 غرف نوم سفلية 
4 حمامات 
غرفة سائق 
غرفة خادمة 
غرف خارجية عدد 2 مداخل مستقلة 
غرفة خارجية ستديو بمدخل مستقل درج منفصل ومعها دورة مياة وجلسة خارجية
مرمم بالكامل من 5 سنوات!

قابل للتفاوض",24.690484,46.772191,https://images.aqar.fm/webp/750x0/props/054316674_1786859562064.jpg | https://images.aqar.fm/webp/750x0/props/054316678_1786859567101.jpg | https://images.aqar.fm/webp/750x0/props/054316674_1786859572706.jpg | https://images.aqar.fm/webp/750x0/props/054316677_1786859585888.jpg | https://images.aqar.fm/webp/750x0/props/054316679_1786859592329.jpg | https://images.aqar.fm/webp/750x0/props/054316675_1786859601116.jpg | https://images.aqar.fm/webp/750x0/props/054316672_1786859611872.jpg | https://images.aqar.fm/webp/750x0/props/054316670_1786859623064.jpg | https://images.aqar.fm/webp/750x0/props/054316671_1786859629920.jpg | https://images.aqar.fm/webp/750x0/props/054316679_1786859635423.jpg | https://images.aqar.fm/webp/750x0/props/054316678_1786859642216.jpg | https://images.aqar.fm/webp/750x0/props/054316674_1786859652903.jpg | https://images.aqar.fm/webp/750x0/props/054316672_1786859662423.jpg | https://images.aqar.fm/webp/750x0/props/054316679_1786859672266.jpg | https://images.aqar.fm/webp/750x0/props/054316679_1786859688253.jpg | https://images.aqar.fm/webp/750x0/props/054316678_1786859694914.jpg | https://images.aqar.fm/webp/750x0/props/054316676_1786859701002.jpg | https://images.aqar.fm/webp/750x0/props/054316678_1786859707255.jpg | https://images.aqar.fm/webp/750x0/props/054316672_1786859716032.jpg | https://images.aqar.fm/webp/750x0/props/054316676_1786859726357.jpg | https://images.aqar.fm/webp/750x0/props/054316679_1786859732171.jpg | https://images.aqar.fm/webp/750x0/props/054316677_1786859740617.jpg | https://images.aqar.fm/webp/750x0/props/054316674_1786859752378.jpg | https://images.aqar.fm/webp/750x0/props/054316673_1786859765900.jpg | https://images.aqar.fm/webp/750x0/props/054316675_1786859788792.jpg | https://images.aqar.fm/webp/750x0/props/054316671_1786859798542.jpg | https://images.aqar.fm/webp/750x0/props/054316676_1786859810266.jpg | https://images.aqar.fm/webp/750x0/props/054316678_1786859823979.jpg | https://images.aqar.fm/webp/750x0/props/054316675_1786859834578.jpg,29,عبدالرحمن بن محمد بن عبدالعزيز العواد,,,2026-08-16,2026-08-16,2026-08-16,247,2026-08-23,True,"3,800,000",False,فيلا
6538647,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-الربوة/شارع-أحمد-البجائي-حي-الربوة-مدينة-الرياض-منطقة-الرياض-6538647,"فيلا للبيع في شارع أحمد البجائي, حي الربوة, مدينة الرياض, منطقة الرياض",2600000,262,5,5,2,9,حي الربوة,الرياض,وسط الرياض,"فيلا للبيع بحي الربوة جنوب طريق عمر بن عبدالعزيز  خلف مخابز القادسية

تتكون من دورين وشقة منفصلة بمدخل خاص.

- المساحة 262 متر شارع جنوبي ١٠ متر

- عمر المبنى ٩ سنوات 

* الموقع غير دقيق يرجى التواصل واتساب لإرسال الموقع الصحيح",24.691171,46.746158,https://images.aqar.fm/webp/750x0/props/012113319_1767870493752.jpg,1,محمد المقبل,مؤسسة محمد صالح محمد المقبل للخدمات العقارية,1,2026-01-08,2026-01-08,2026-08-19,3740,2026-08-23,True,"2,600,000",False,فيلا
