listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6768073,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الرحمانية/شارع-علي-بن-وهب-حي-الرحمانية-مدينة-الرياض-منطقة-الرياض-6768073,"فيلا للبيع في شارع علي بن وهب, حي الرحمانية, مدينة الرياض, منطقة الرياض",3200000,435,,0,0,11,حي الرحمانية,الرياض,شمال الرياض,"للبيع العاجل بأقل من سعر السوق فيلا استثمارية قديمة في الرحمانية قريبة من الشوارع الرئيسيه طريق الملك فهد وطريق العروبة وبرج المملكة وشارع التخصصي 
دور أرضي - دور علوي - شقه صغيره في السطح 
دخلها حوالي 130 الف مؤجرة",24.714666,46.669007,https://images.aqar.fm/webp/750x0/props/049810432_1783702989172.jpg | https://images.aqar.fm/webp/750x0/props/049810437_1783702989168.jpg | https://images.aqar.fm/webp/750x0/props/049810435_1783703008785.jpg,3,نجلاء عبدالمحسن,,,2026-07-10,2026-08-08,2026-08-23,1186,2026-08-23,True,"3,200,000",False,فيلا
6757171,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الرحمانية/شارع-البلقاء-حي-الرحمانية-مدينة-الرياض-منطقة-الرياض-6757171,"فيلا للبيع في شارع البلقاء, حي الرحمانية, مدينة الرياض, منطقة الرياض",9120000,1140,,0,0,11,حي الرحمانية,الرياض,شمال الرياض,"للبيع | فيلا بقيمة أرض – زاوية

فرصة مميزة للاستثمار أو السكن.

🏡 فيلا للبيع بقيمة الأرض على زاوية في حي الرحمانية، بموقع مميز.

للتواصل والاستفسار:
📞 ((الرقم يظهر عند الضغط على اتصال))",24.716327,46.66535,https://images.aqar.fm/webp/750x0/props/040481934_1783005186496.jpg,1,نايف ابن محمد ابن نائف القحطاني,مؤسسة اسس البصمه للخدمات العقارية,1,2026-07-02,2026-07-31,2026-08-23,1444,2026-08-23,True,"9,120,000",False,فيلا
6726888,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الرحمانية/شارع-الملك-فهد-الفرعي-حي-الرحمانية-مدينة-الرياض-منطقة-الرياض-6726888,"فيلا للبيع في شارع الملك فهد الفرعي, حي الرحمانية, مدينة الرياض, منطقة الرياض",2600000,174,5,5,2,11,حي الرحمانية,الرياض,شمال الرياض,فيلا سكنية ثلاثية الأدوار للبيع في حي الرحمانية بالرياض، مساحة الأرض174.63م² ومساحة البناء 400م². تتكون من صالة معيشة ومنطقة طعام ومجلس رجال ومطبخ، وصالة عائلية و5 غرف نوم منها جناحان رئيسيان مع خزائن مدمجة داخل جميع غرف النوم، بالإضافة إلى غرفة ملابس وغرفة خادمة ومنطقة غسيل وغرفة سائق.,24.714913,46.669607,https://images.aqar.fm/webp/750x0/props/012137245_1781081669495.jpg | https://images.aqar.fm/webp/750x0/props/012137249_1781081676366.jpg | https://images.aqar.fm/webp/750x0/props/012137248_1781081683082.jpg | https://images.aqar.fm/webp/750x0/props/012137241_1781081690813.jpg | https://images.aqar.fm/webp/750x0/props/012137240_1781081701657.jpg | https://images.aqar.fm/webp/750x0/props/012137246_1781081715254.jpg | https://images.aqar.fm/webp/750x0/props/012137245_1781081722807.jpg | https://images.aqar.fm/webp/750x0/props/012137247_1781081728227.jpg | https://images.aqar.fm/webp/750x0/props/012137242_1781081746449.jpg | https://images.aqar.fm/webp/750x0/props/012137246_1781081755392.jpg | https://images.aqar.fm/webp/750x0/props/012137249_1781081763008.jpg | https://images.aqar.fm/webp/750x0/props/012137242_1781081767253.jpg | https://images.aqar.fm/webp/750x0/props/012137241_1781081774740.jpg,13,أحمد السيد,شركة واتن العقارية,1,2026-06-10,2026-08-07,2026-08-22,2685,2026-08-23,True,"2,600,000",False,فيلا
6590628,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الرحمانية/شارع-محمود-بن-أبي-الفتح-حي-الرحمانية-مدينة-الرياض-منطقة-الرياض-6590628,"فيلا للبيع في شارع محمود بن أبي الفتح, حي الرحمانية, مدينة الرياض, منطقة الرياض",4140000,575,,5,2,4,حي الرحمانية,الرياض,شمال الرياض,"فرصة استثمارية مميزة 🔥
أرضين متجاورتين للبيع في حي الرحمانية

📍 الموقع: حي الرحمانية (داخل نطاق تملك الأجانب)

🔹 الأرض الأولى:
المساحة: 575 م²
شارعين متظاهرة شارع ١٠ جنوبي و ٨ شمالي 
عرض الواجهة على الشارع: 25 متر

🔹 الأرض الثانية:
المساحة: 400 م²
شارعين متظاهرة شارع ١٠ جنوبي و ٨ شمالي 
عرض الواجهة على الشارع: 17.5 متر

💰 السعر: 7,500 ريال للمتر

✨ موقع مميز وفرصة ممتازة للاستثمار أو السكن

📞 للتواصل: ((الرقم يظهر عند الضغط على اتصال))",24.717178,46.665586,https://images.aqar.fm/webp/750x0/props/032082324_1771132458129.jpg,1,حسن عشق حسن العطريز,مؤسسة سمو المملكة للخدمات العقارية,1,2026-02-15,2026-08-08,2026-08-22,3559,2026-08-23,True,"4,140,000",False,فيلا
6724703,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الرحمانية/شارع-ابن-حميد-حي-الرحمانية-مدينة-الرياض-منطقة-الرياض-6724703,"فيلا للبيع في شارع ابن حميد, حي الرحمانية, مدينة الرياض, منطقة الرياض",6500000,900,5,5,0,11,حي الرحمانية,الرياض,شمال الرياض,"للبيع فيلا في حي الرحمانية موقع مميز جدًا ، قريب من طريق الملك فهد والعروبة (مخطط رقم ١٣٢٤) قطعة رقم (٥٤٣) 
رأس بلك شرقي وحدودها:
شمالاً: شارع عرض ٧.٥م بطول ٣٠م
جنوباً: شارع عرض ٨م بطول ٣٠م
شرقاً: ميدان بعرض ٦.٥م يليه شارع عرض ١٠م بطول ٣٠م
المساحة الاجمالية: ٩٠٠م 
عمر العقار ٢٥ سنة، سيباع العقار كأرض.
البيع:  ٨ مليون ريال على شور.
الموقع: https://maps.app.goo.gl/jkgNzMraLsLxThbc9?g_st=com.google.maps.preview.copy

العقار مناسب للمطورين",24.713229,46.667994,,,محمد يوسف,,,2026-06-08,2026-08-06,2026-08-21,1242,2026-08-23,True,"6,500,000",False,فيلا
6826859,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الرحمانية/شارع-أحمد-الغافي-حي-الرحمانية-مدينة-الرياض-منطقة-الرياض-6826859,"فيلا للبيع في شارع أحمد الغافي, حي الرحمانية, مدينة الرياض, منطقة الرياض",11500000,856,7,0,0,11,حي الرحمانية,الرياض,شمال الرياض,"للبيع فيلا بحي الرحمانية — موقع مميز واستراتيجي
قريبة جداً من طريق الملك فهد
📍 المساحة: 856 م²
مواصفات الفيلا:
▫️ مجلسين خارجيه مع دورات مياه
▫️ مدخل سيارة
▫️ غرفة حارس
الدور الأرضي:
▫️ مجلسين
▫️ 3 صالات
▫️  غرفه طعام
▫️ مطبخ
▫️ غرفة نوم
▫️ 3 دورات مياه
الطابق العلوي (درج داخلي):
▫️ 5 غرف نوم
▫️ صالة
▫️ مطبخ
السطح:
▫️ غرفة عاملة
▫️ غرفة غسيل",24.724081,46.663227,https://images.aqar.fm/webp/750x0/props/004240892_1786958106136.jpg | https://images.aqar.fm/webp/750x0/props/004240897_1786958131865.jpg | https://images.aqar.fm/webp/750x0/props/004240895_1786958131870.jpg | https://images.aqar.fm/webp/750x0/props/004240897_1786958196719.jpg | https://images.aqar.fm/webp/750x0/props/004240894_1786958196715.jpg | https://images.aqar.fm/webp/750x0/props/004240896_1786958196722.jpg | https://images.aqar.fm/webp/750x0/props/004240891_1786958196721.jpg | https://images.aqar.fm/webp/750x0/props/004240896_1786958196720.jpg | https://images.aqar.fm/webp/750x0/props/004240897_1786958196718.jpg | https://images.aqar.fm/webp/750x0/props/004240896_1786958196724.jpg | https://images.aqar.fm/webp/750x0/props/004240894_1786958196722.jpg | https://images.aqar.fm/webp/750x0/props/004240890_1786958252616.jpg | https://images.aqar.fm/webp/750x0/props/004240895_1786958252615.jpg | https://images.aqar.fm/webp/750x0/props/004240897_1786958252624.jpg | https://images.aqar.fm/webp/750x0/props/004240897_1786958252603.jpg | https://images.aqar.fm/webp/750x0/props/004240892_1786958252606.jpg | https://images.aqar.fm/webp/750x0/props/004240896_1786958252621.jpg | https://images.aqar.fm/webp/750x0/props/004240899_1786958252615.jpg | https://images.aqar.fm/webp/750x0/props/004240896_1786958252631.jpg | https://images.aqar.fm/webp/750x0/props/004240896_1786958315612.jpg | https://images.aqar.fm/webp/750x0/props/004240898_1786958315610.jpg | https://images.aqar.fm/webp/750x0/props/004240892_1786958315617.jpg | https://images.aqar.fm/webp/750x0/props/004240890_1786958315608.jpg | https://images.aqar.fm/webp/750x0/props/004240894_1786958315603.jpg,24,عبدالله عبدالعزيز عبدالله الشايع,مؤسسة مكتب عبدالله عبدالعزيز الشايع للعقارات,1,2026-08-17,2026-08-17,2026-08-20,339,2026-08-23,True,"11,500,000",False,فيلا
6715372,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الرحمانية/شارع-دقلة-حي-الرحمانية-مدينة-الرياض-منطقة-الرياض-6715372,"فيلا للبيع في شارع دقلة, حي الرحمانية, مدينة الرياض, منطقة الرياض",15000000,632,7,5,3,0,حي الرحمانية,الرياض,شمال الرياض,$5f,24.715168,46.663599,https://images.aqar.fm/webp/750x0/props/015274211_1780414710192.jpg | https://images.aqar.fm/webp/750x0/props/015274212_1780347539358.jpg | https://images.aqar.fm/webp/750x0/props/015274212_1780347539358.jpg | https://images.aqar.fm/webp/750x0/props/015274211_1780347539198.jpg | https://images.aqar.fm/webp/750x0/props/015274210_1780347539208.jpg | https://images.aqar.fm/webp/750x0/props/015274217_1780347539340.jpg | https://images.aqar.fm/webp/750x0/props/015274219_1780347539344.jpg | https://images.aqar.fm/webp/750x0/props/015274212_1780347539569.jpg | https://images.aqar.fm/webp/750x0/props/015274211_1780347539198.jpg | https://images.aqar.fm/webp/750x0/props/015274210_1780347539208.jpg | https://images.aqar.fm/webp/750x0/props/015274217_1780347539340.jpg | https://images.aqar.fm/webp/750x0/props/015274219_1780347539344.jpg | https://images.aqar.fm/webp/750x0/props/015274212_1780347539569.jpg,13,وسيم زهير,مؤسسة حلول النماء العقارية,1,2026-06-01,2026-07-30,2026-08-18,2361,2026-08-23,True,"15,000,000",False,فيلا
6828402,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الرحمانية/شارع-البكرات-حي-الرحمانية-مدينة-الرياض-منطقة-الرياض-6828402,"فيلا للبيع في شارع البكرات, حي الرحمانية, مدينة الرياض, منطقة الرياض",10000000,577,7,5,3,0,حي الرحمانية,الرياض,شمال الرياض,"للبيع فيلا جديدة نيو كلاسيك زاوية بحي الرحمانية بالتشطيب الاخير
المساحة: 577م
الشوارع : 12م غربي -ساحه مسجد من الجنوب وممر 8

توجد جميع الضمانات بكافة انواعها 

الدور الارضي : موقفين سيارات - ملحقين رجالي وعائلي - مجلس واسع - صالة طعام - صالة عائلية بدبل هايت - حديقة مع شلال مع جلسة خارجية - مطبخ - غرفة سائق - جناح متعدد الاستخدام 

الدور الاول: 5  أجنحة نوم ماستر - صالة عائلية
 
الدور الثاني : صالة واسعه مع جلسة خارجية بالسطح - قسم للخدم والغسيل مع سطح جانبي خاص",24.711347,46.663245,https://images.aqar.fm/webp/750x0/props/002902004_1780440981173.jpg | https://images.aqar.fm/webp/750x0/props/002902005_1780440981171.jpg | https://images.aqar.fm/webp/750x0/props/002902005_1780440981177.jpg | https://images.aqar.fm/webp/750x0/props/002902009_1780441013456.jpg | https://images.aqar.fm/webp/750x0/props/002902003_1780441013448.jpg | https://images.aqar.fm/webp/750x0/props/002902000_1780441551677.jpg | https://images.aqar.fm/webp/750x0/props/002902008_1780441551683.jpg | https://images.aqar.fm/webp/750x0/props/002902002_1780441551671.jpg | https://images.aqar.fm/webp/750x0/props/002902005_1780441588141.jpg,9,محمد هذال,شركة أثرى المتحدة العقارية,1,2026-08-18,2026-08-18,2026-08-18,291,2026-08-23,True,"10,000,000",False,فيلا
6554252,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الرحمانية/شارع-الدومة-حي-الرحمانية-مدينة-الرياض-منطقة-الرياض-6554252,"فيلا للبيع في شارع الدومة, حي الرحمانية, مدينة الرياض, منطقة الرياض",4200000,450,,5,2,11,حي الرحمانية,الرياض,شمال الرياض,"فيلا للبيع – حي الرحمانية موقع مميز
عمرها 27 سنة، تم ترميمها أكثر من مرة، وحالتها جيدة للسكن، مع بقاء بعض أعمال الترميم البسيطة القابلة للإكمال حسب الرغبة .

تفاصيل العقار:

مساحة الأرض: 450 م²
شارع 12م شرقي
أبعاد الأرض: 15م × 30م
الحوش الخارجي:
مدخل سيارة
غرفة سائق
مطبخ خارجي خلفي
حديقة أنيقة مع شلال
الدور الأرضي:
مجلس رجال
صالة طعام
صالة عائلية
مطبخ راكب كامل  بتصميم حديث
غرفة كبار سن
مجلس نساء
عدد 2 دورات مياه

الدور الأول:

عدد 2 غرفة ماستر

عدد 3 غرف نوم بينها دورة مياه


الدور الثاني (السطح):

غرفة عاملة مع دورة مياه خاصة

غرفة غسيل

جلسة خارجية مع ملحق

عدد 2 مستودع

منطقة غسيل خارجية

المصاعد:
مصعد داخلي
مصعد خارجي",24.712369,46.667002,https://images.aqar.fm/webp/750x0/props/006918184_1768907411602.jpg | https://images.aqar.fm/webp/750x0/props/006918181_1768907427299.jpg | https://images.aqar.fm/webp/750x0/props/006918183_1768907427302.jpg | https://images.aqar.fm/webp/750x0/props/006918189_1768907427655.jpg | https://images.aqar.fm/webp/750x0/props/006918184_1768907427652.jpg | https://images.aqar.fm/webp/750x0/props/006918186_1768907427295.jpg | https://images.aqar.fm/webp/750x0/props/006918182_1768907427654.jpg | https://images.aqar.fm/webp/750x0/props/006918182_1768907427679.jpg,8,يزيد عبدالرحمن احمد ال احمد,مؤسسة مكتب يزيد عبدالرحمن ال احمد للخدمات العقارية,1,2026-01-20,2026-01-20,2026-08-21,3156,2026-08-23,True,"4,200,000",False,فيلا
6566830,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الرحمانية/شارع-محمد-شمس-الدين-الأمبابي-حي-الرحمانية-مدينة-الرياض-منطقة-الرياض-6566830,"فيلا للبيع في شارع محمد شمس الدين الأمبابي, حي الرحمانية, مدينة الرياض, منطقة الرياض",10800000,900,5,5,0,11,حي الرحمانية,الرياض,شمال الرياض,"فيلا قديمة للبيع بقيمة أرض
بموقع مميز بحي الرحمانية  
خلف مستشفى الدكتور سليمان الحبيب شارع التخصصي
وبالقرب من طريق الملك عبدالله و طريق الامير تركي الأول
وبالقرب من محطة الميترو 

المساحة / ٩٠٠ متر 
الاطوال / ٣٠*٣٠ 
شارع ٢٠ شرقي",24.719708,46.651185,https://images.aqar.fm/webp/750x0/props/050467479_1769632195974.jpg | https://images.aqar.fm/webp/750x0/props/050467477_1769632195977.jpg | https://images.aqar.fm/webp/750x0/props/050467476_1769632195975.jpg | https://images.aqar.fm/webp/750x0/props/050467479_1769632195978.jpg | https://images.aqar.fm/webp/750x0/props/050467472_1769632195973.jpg | https://images.aqar.fm/webp/750x0/props/050467476_1769632223658.jpg | https://images.aqar.fm/webp/750x0/props/050467474_1769632223663.jpg,7,صهيب العقيلي,مؤسسة رس الاسس العقارية,1,2026-01-28,2026-08-20,2026-08-21,6586,2026-08-23,True,"10,800,000",False,فيلا
