listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6513667,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-عبدالعزيز-الأحيدب-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6513667,"فيلا للبيع في شارع عبدالعزيز الأحيدب, حي الرمال, مدينة الرياض, منطقة الرياض",2300000,420,7,1,0,11,حي الرمال,الرياض,شرق الرياض,"للبيــــــــع فيلا دور و ٣ شقق حي الرمال الذهبي 
المساحة ٤٢٠م 
عرض الشارع ١٥م 
وجهة جنوبية 
عمر العقــــــــار ١٠ سنوات 

الدور يتكون من 
حوش وبايكه مظلله داخليه 
ملحق مشب كبير ومجلس رجال
دورة مياه للرجال 
مقلط ومجلس للنساء ومطبخ 
قسم خاص ومستقل للخادمه والغسيل غرفه نوم مع دوره مياه
صاله كبير 
غرفتين نوم 
حمام ومغاسل تخدم الصاله وغرف النوم 
ماستر جناح رئيسي كبير 

٣ الشقق
كل شقه  تتكون من
مدخل رجال
مدخل نساء
مجلس رجال + دورة مياه
مطبخ
صاله
غرفتين نوم + دورة مياه

مؤجره بالكامل ١٤٠ الف 

عليها مديونيه مليون و ٣٠٠ 

السوم ٢ مليون و ٣٠٠

وفيه خيارات أخرى 
للتواصل على الواتس اب ⭐ 
((رقم المعلن يظهر عند التواصل))


https://maps.app.goo.gl/3PEXZFgANPMmE8kH9",24.84569,46.823453,https://images.aqar.fm/webp/750x0/props/043853457_1779094344190.jpg | https://images.aqar.fm/webp/750x0/props/043853458_1779019670779.jpg | https://images.aqar.fm/webp/750x0/props/043853455_1779019670778.jpg,3,صالح محمد,مؤسسة روف الصفوة العقارية,1,2025-12-20,2026-06-23,2026-08-21,107,2026-08-23,True,"2,300,000",False,فيلا
6360929,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-حطين-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6360929,"فيلا للبيع في شارع حطين, حي الرمال, مدينة الرياض, منطقة الرياض",2750000,312,5,5,1,0,حي الرمال,الرياض,شرق الرياض,"شركة سكن المعالى العقارية فرع شرق الرياض تقدم لعملائها الكرام احدث عروضها بشمال شرق الرياض بحى الرمال القريب من مطار الملك خالد الدولى والمسار الرياضى الجديد

فيلا درج وشقة
شارع 15
شرقية
غرفة سائق


الارضى -- ملحق خارجى بدورة مياه ومجلس وصالة بحديقة خلفية
ومطبخ بمستودع وغرفة خادمة

دور اول -- غرفتين ماستر وغرفتين بدورة مياه

الشقة -- مجلس وصالة ومطبخ وغرفتين بدورة مياه وسطح كبير





- موقع مميز قريب من كافة الخدمات
- قريب من مطار الملك خالد
- قريب من طريق ولى العهد


-- تقبل كاش او بنك

مميزات الشركة
- تخليص جميع المعاملات العقارية البنكية .
- تسديد المديونية وتوفير الدفعة المقدمة.
- توحيد الأقساط بقسط واحد.
- إمكانية التضامن للحصول علي العقار المناسب.
- نقبل المستفيدين من الدعم السكنى والصندوق.
- تمويل الأجانب المقيمين من البنوك وشركات التمويل.
- الحصول على الموافقة الأمنية لتملك الاجانب .


للتواصل -- ((رقم المعلن يظهر عند التواصل))",24.854435,46.797629,https://images.aqar.fm/webp/750x0/props/001829020_1756793626953.jpg | https://images.aqar.fm/webp/750x0/props/001829029_1756793626989.jpg | https://images.aqar.fm/webp/750x0/props/001829023_1756793626970.jpg | https://images.aqar.fm/webp/750x0/props/001829025_1756793626991.jpg | https://images.aqar.fm/webp/750x0/props/001829020_1756793626963.jpg | https://images.aqar.fm/webp/750x0/props/001829026_1756793626959.jpg | https://images.aqar.fm/webp/750x0/props/001829026_1756793626952.jpg | https://images.aqar.fm/webp/750x0/props/001829020_1756793626963.jpg | https://images.aqar.fm/webp/750x0/props/001829021_1756793626972.jpg | https://images.aqar.fm/webp/750x0/props/001829020_1756793626956.jpg | https://images.aqar.fm/webp/750x0/props/001829026_1756793626960.jpg,11,عائشه بنت سليمان بن عبدالله الطريم,مؤسسة سكن المعالي للعقارات,1,2025-09-01,2025-09-01,2026-08-23,151,2026-08-23,True,"2,750,000",False,فيلا
6780900,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-الضياء-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6780900,"فيلا للبيع في شارع الضياء, حي الرمال, مدينة الرياض, منطقة الرياض",2500000,312,7,,,0,حي الرمال,الرياض,شرق الرياض,"كود (١٠٤)

للبيع فيلا درج داخلي وشقه بحي الرمال 
تصميم مودرن فاخر 
قريبه من جميع الطرق الرئيسيه 
قريبه من كل المراكز التجاريه والخدميه 

تتكون من :
مجلس رجال بدورة مياه ومغاسل خاصه 
صالة طعام 
صالة نسا 
مطبخ 
غرفة خادمه 

مؤسس مصعد 

الدور الاول :
٤ غرف نوم وصاله 

الاخير :
دورة مياه وسطح 

الشقه :
مجلس 
صاله 
مطبخ 
غرفتين نوم 
غرفة سائق",24.855943,46.796667,https://images.aqar.fm/webp/750x0/props/017672898_1784468804351.jpg | https://images.aqar.fm/webp/750x0/props/017672891_1784468803716.jpg | https://images.aqar.fm/webp/750x0/props/017672893_1784468804195.jpg | https://images.aqar.fm/webp/750x0/props/017672892_1784468804480.jpg | https://images.aqar.fm/webp/750x0/props/017672896_1784468804617.jpg | https://images.aqar.fm/webp/750x0/props/017672898_1784468805004.jpg | https://images.aqar.fm/webp/750x0/props/017672896_1784468805014.jpg | https://images.aqar.fm/webp/750x0/props/017672892_1784468805228.jpg | https://images.aqar.fm/webp/750x0/props/017672892_1784468805425.jpg | https://images.aqar.fm/webp/750x0/props/017672893_1784468805441.jpg | https://images.aqar.fm/webp/750x0/props/017672892_1784468805523.jpg | https://images.aqar.fm/webp/750x0/props/017672890_1784468805666.jpg | https://images.aqar.fm/webp/750x0/props/017672892_1784468805812.jpg | https://images.aqar.fm/webp/750x0/props/017672895_1784468805956.jpg | https://images.aqar.fm/webp/750x0/props/017672895_1784468806088.jpg | https://images.aqar.fm/webp/750x0/props/017672894_1784468806284.jpg | https://images.aqar.fm/webp/750x0/props/017672899_1784468806408.jpg | https://images.aqar.fm/webp/750x0/props/017672892_1784468806564.jpg | https://images.aqar.fm/webp/750x0/props/017672891_1784468806767.jpg | https://images.aqar.fm/webp/750x0/props/017672892_1784468806908.jpg,20,احمد شريف رزق السلمي,مؤسسة مكتب اختصار البناء للعقارات,1,2026-07-19,2026-08-17,2026-08-17,78,2026-08-23,True,"2,500,000",False,فيلا
6676490,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-على-البرقى-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6676490,"فيلا للبيع في شارع على البرقى, حي الرمال, مدينة الرياض, منطقة الرياض",2250000,260,5,5,3,0,حي الرمال,الرياض,شرق الرياض,"فله دوبلكس 🏤 بدووووون سعي 🚨🚨🚨
 حي الرمال  ؛ مخطط سما نجد 👌
مساحه 260 علي شارع 20 🛣️
واجهه شماليه 🪟
قريبه من طريق الثمامه 🚨
مجلس ومقلط ومطبخ وصاله ومصعد داخلي و5 غرف وغرفة خادمه 🚪🛏️🛋️
السعر   2250000 قابل للتفاوض البسيط 👌💸
البع بدون سعي 🚨🚨",24.8553,46.797319,https://images.aqar.fm/webp/750x0/props/004175669_1777561032756.jpg | https://images.aqar.fm/webp/750x0/props/004175665_1777561032297.jpg | https://images.aqar.fm/webp/750x0/props/004175668_1777561032399.jpg | https://images.aqar.fm/webp/750x0/props/004175661_1777561032492.jpg | https://images.aqar.fm/webp/750x0/props/004175660_1777561032955.jpg | https://images.aqar.fm/webp/750x0/props/004175666_1777561033160.jpg | https://images.aqar.fm/webp/750x0/props/004175660_1777561033279.jpg | https://images.aqar.fm/webp/750x0/props/004175661_1777561033394.jpg | https://images.aqar.fm/webp/750x0/props/004175662_1777561033484.jpg | https://images.aqar.fm/webp/750x0/props/004175662_1777561033665.jpg | https://images.aqar.fm/webp/750x0/props/004175668_1777561033895.jpg | https://images.aqar.fm/webp/750x0/props/004175661_1777561033994.jpg | https://images.aqar.fm/webp/750x0/props/004175664_1777561034099.jpg,13,نوره عبدالرحمن بن محمد الحميدان,مؤسسة بدايات العقارية,1,2026-04-30,2026-07-26,2026-08-10,113,2026-08-23,True,"2,250,000",False,فيلا
6805741,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-إبراهيم-بن-حسين-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6805741,"فيلا للبيع في شارع إبراهيم بن حسين, حي الرمال, مدينة الرياض, منطقة الرياض",1120000,257,6,0,0,0,حي الرمال,الرياض,شرق الرياض,"للتواصل واتس 
فاطمه 
✅✅✅✅✅✅✅

للبيع تاون هاوس 
حي الرمال 
الفله مساحه 300 متر
تاون هاوس ارضي 
الباقي 2
مساحه الارضي 257م
مجلس مقلط صاله مطبخ غرفه كبار سن ماستر 
فوق يوجد صاله 3 غرف نوم واحده ماستر بدون سطح
البيع مليون 120
……………..
تاون هاس العلوي
الباقي 1موثث 
مساحه 163م
مجلس صاله مطبخ دورتين مياه
درج 3 غرف نوم واحده ماستر صاله شرحه غرفه غسيل سطح شرح
البيع 
940000",24.921776,46.794782,https://images.aqar.fm/webp/750x0/props/016445616_1785853105957.jpg | https://images.aqar.fm/webp/750x0/props/016445616_1785853106130.jpg | https://images.aqar.fm/webp/750x0/props/016445613_1785853106793.jpg,3,علي عائض,مكتب الخيار الصحيح للخدمات العقارية,1,2026-08-04,2026-08-04,2026-08-23,71,2026-08-23,True,"1,120,000",False,فيلا
6773703,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-محمد-صالح-مرداد-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6773703,"فيلا للبيع في شارع محمد صالح مرداد, حي الرمال, مدينة الرياض, منطقة الرياض",2100000,364,7,4,2,8,حي الرمال,الرياض,شرق الرياض,$5d,24.849237,46.833255,https://images.aqar.fm/webp/750x0/props/048745601_1784043129789.jpg | https://images.aqar.fm/webp/750x0/props/048745603_1786990931398.jpg | https://images.aqar.fm/webp/750x0/props/048745608_1786990931395.jpg | https://images.aqar.fm/webp/750x0/props/048745604_1786990931400.jpg | https://images.aqar.fm/webp/750x0/props/048745600_1786990931405.jpg | https://images.aqar.fm/webp/750x0/props/048745604_1786990931402.jpg | https://images.aqar.fm/webp/750x0/props/048745601_1786990931402.jpg | https://images.aqar.fm/webp/750x0/props/048745602_1786990931418.jpg | https://images.aqar.fm/webp/750x0/props/048745603_1786990931418.jpg | https://images.aqar.fm/webp/750x0/props/048745601_1786990931476.jpg | https://images.aqar.fm/webp/750x0/props/048745605_1786990931478.jpg | https://images.aqar.fm/webp/750x0/props/048745604_1786990931475.jpg | https://images.aqar.fm/webp/750x0/props/048745603_1786990931489.jpg | https://images.aqar.fm/webp/750x0/props/048745607_1786990931489.jpg | https://images.aqar.fm/webp/750x0/props/048745607_1786990931478.jpg,15,فارس حمود,شركة أضواء الروابي المحدودة,1,2026-07-14,2026-08-12,2026-08-20,87,2026-08-23,True,"2,100,000",False,فيلا
6495275,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-صالح-النوفلي-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6495275,"فيلا للبيع في شارع صالح النوفلي, حي الرمال, مدينة الرياض, منطقة الرياض",2500000,420,7,,,10,حي الرمال,الرياض,شرق الرياض,"فيلا حي الرمال - شارع وادي الساحل - خلف محطه لتر
دور و3 شقق
العمر 10سنوات 
الشقه الثالثه فيها سطح وبيت شعر طوله 7 في 5
واجهتها شرقيه -
الشارع 20 - واللي أمامنا خلفيه محلات
مساحتها 420
خلف محطه لتر وادي الساحل
الشقق 3 غرف وصاله
الدور الأرضي :
كراج + حوش + ملحق + مجلس رجال + مقلط + دوره مياه رجال + صاله + مجلس حريم + 3 غرف نوم ووحده ماستر + 2 حمام
يوجد صور لحوش البيت والملحق الارضي والخيمه بالسطح
المطلوب 2 مليون و500 
مباشر من المالك",24.848362,46.800581,https://images.aqar.fm/webp/750x0/props/043353159_1765037375177.jpg,1,ذكرى ملوح عواد البلوي,مؤسسة ذكرى ملوح عواد البلوي للخدمات العقارية,1,2025-12-06,2025-12-06,2026-08-09,464,2026-08-23,True,"2,500,000",False,فيلا
6430251,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-فضل-الله-بن-عبدالله-الطبري-حي-الرمال-الرياض-منطقة-الرياض-6430251,فيلا للبيع في شارع فضل الله بن عبدالله الطبري ، حي الرمال ، الرياض ، منطقة الرياض,3000000,577,4,4,2,9,حي الرمال,الرياض,شرق الرياض,"للبيع فيلا دور و 4 شقق في حي الرمال الذهبي قريبه من جميع الخدمات
المساحة 577م
الشارع 20م شرقي
عمر العقار 9سنه
مواصفات الفيلا 
الدور الارضي:- 
مجلس- مقلط ٣ غرف نوم
٣ دورات مياه صالتين مفتوحة على بعض 
٣ شقق كل شقه ٣ غرف نوم- وصاله ٢ دورات مياه -ومطبخ
وشقه عرفتين نوم-وصاله- دورتين مياه -مطبخ وحوش جانبي  ٦.٣٨ في ٤ م
عليها بنك مليون و٧٠ الف بنك الإنماء
البيع 3 مليون 
المالك نزل السعر 
المالك مستعجل على البيع

*مباشر مع المالك*",24.846677,46.820364,https://images.aqar.fm/webp/750x0/props/030056407_1760872669976.jpg,1,فهاد ماجد بادي الدوسري,,0,2025-10-19,,2026-07-14,364,2026-08-23,False,طلب تسويق,False,فيلا
6821928,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-محمد-حسين-الكتبي-حي-الرمال-الرياض-منطقة-الرياض-6821928,فيلا للبيع في شارع محمد حسين الكتبي ، حي الرمال ، الرياض ، منطقة الرياض,2800000,350,7,5,2,8,حي الرمال,الرياض,شرق الرياض,"🏡 فيلا للبيع – حي الرمال

الموقع: حي الرمال – موقع مميز مقابل مسجد
مساحة الأرض: 350 م²
عمر العقار: 9 سنوات
الواجهة: زاوية على شارعين بعرض 20م × 20م
نوع العقار: فيلا سكنية مع شقتين مستقلة

🏠 الدور الأرضي

* مجلس
* مقلط
* صالتان
* غرفة مناسبة لكبار السن
* مطبخ
* دورتا مياه
* مشب
* مدخل سيارة
* غرفة سائق مستقلة مع دورة مياه

🛏️ الدور العلوي

* 3 غرف نوم
* دورتا مياه
* غرفة عاملة منزلية مع دورة مياه خاصة
* صالة صغيرة

☀️ السطح

* سطح بمساحة جيدة ومتعدد الاستخدامات

🏢 الشقق الاستثمارية

يوجد شقتان مستقلتان، وتتكون كل شقة من:

* 3 غرف
* صالة
* مطبخ
* دورات مياه

الدخل الإيجاري الحالي للشقتين: 60,000 ريال سنويًا
30,000 ريال لكل شقة سنويًا.

⭐ مميزات العقار

* زاوية على شارعين 20م
* مساحة 350م²
* موقع مميز في حي الرمال
* مقابل مسجد
* يجمع بين السكن الخاص والاستثمار
* شقتان بدخل إيجاري قائم
* مدخل سيارة
* مشب
* غرفة سائق مستقلة
* غرفة عاملة منزلية
* غرفة أرضية مناسبة لكبار السن
* توزيع عملي للعائلة
* عمر العقار 9 سنوات",24.845531,46.829796,,,مانع بن علي بن سعيد الاحمري,,,2026-08-14,,2026-08-14,48,2026-08-23,False,طلب تسويق,False,فيلا
6639458,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-أبي-جعفر-الخطيب-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6639458,"فيلا للبيع في شارع أبي جعفر الخطيب, حي الرمال, مدينة الرياض, منطقة الرياض",2500000,337,7,0,0,5,حي الرمال,الرياض,شرق الرياض,فيلا موقعها ممتاز قريبه من جميع الخدمات مسجد ومدارس جميع المراح,24.842052,46.78883,https://images.aqar.fm/webp/750x0/props/037619332_1775152495909.jpg | https://images.aqar.fm/webp/750x0/props/037619339_1775152495898.jpg | https://images.aqar.fm/webp/750x0/props/037619335_1775152495897.jpg | https://images.aqar.fm/webp/750x0/props/037619330_1775152542685.jpg | https://images.aqar.fm/webp/750x0/props/037619331_1775152542697.jpg | https://images.aqar.fm/webp/750x0/props/037619335_1775152542688.jpg | https://images.aqar.fm/webp/750x0/props/037619338_1775152542685.jpg | https://images.aqar.fm/webp/750x0/props/037619338_1775152542699.jpg | https://images.aqar.fm/webp/750x0/props/037619332_1775152542695.jpg | https://images.aqar.fm/webp/750x0/props/037619337_1775152542701.jpg | https://images.aqar.fm/webp/750x0/props/037619336_1775152542698.jpg,11,يحي علي محمد الشهراني,مكتب التعامل الراقي للعقارات,1,2026-04-02,2026-07-28,2026-08-21,308,2026-08-23,True,"2,500,000",False,فيلا
