listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6629655,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروابي/شارع-البساله-حي-الروابي-مدينة-الرياض-منطقة-الرياض-6629655,"فيلا للبيع في شارع البساله, حي الروابي, مدينة الرياض, منطقة الرياض",8500000,893,,5,5,11,حي الروابي,الرياض,شرق الرياض,$5d,24.691025,46.783462,https://images.aqar.fm/webp/750x0/props/007690306_1775136795932.jpg | https://images.aqar.fm/webp/750x0/props/048530922_1764272180647.jpg | https://images.aqar.fm/webp/750x0/props/048530925_1764934385255.jpg | https://images.aqar.fm/webp/750x0/props/048530925_1764934385253.jpg | https://images.aqar.fm/webp/750x0/props/048530920_1764272592521.jpg | https://images.aqar.fm/webp/750x0/props/048530928_1764272180647.jpg | https://images.aqar.fm/webp/750x0/props/048530924_1764269910681.jpg | https://images.aqar.fm/webp/750x0/props/048530928_1764934385251.jpg | https://images.aqar.fm/webp/750x0/props/048530921_1764934385251.jpg | https://images.aqar.fm/webp/750x0/props/048530929_1764269910679.jpg | https://images.aqar.fm/webp/750x0/props/048530925_1764934385258.jpg | https://images.aqar.fm/webp/750x0/props/048530923_1764269910703.jpg | https://images.aqar.fm/webp/750x0/props/048530921_1764269910675.jpg | https://images.aqar.fm/webp/750x0/props/048530920_1764269910688.jpg | https://images.aqar.fm/webp/750x0/props/048530924_1764269910853.jpg | https://images.aqar.fm/webp/750x0/props/048530928_1764269910693.jpg | https://images.aqar.fm/webp/750x0/props/048530926_1764269910690.jpg | https://images.aqar.fm/webp/750x0/props/048530928_1764934385249.jpg | https://images.aqar.fm/webp/750x0/props/048530924_1764269910690.jpg | https://images.aqar.fm/webp/750x0/props/048530920_1764269910677.jpg | https://images.aqar.fm/webp/750x0/props/048530921_1764269910696.jpg | https://images.aqar.fm/webp/750x0/props/048530923_1764269910677.jpg | https://images.aqar.fm/webp/750x0/props/048530925_1764424922107.jpg | https://images.aqar.fm/webp/750x0/props/048530924_1764424922088.jpg | https://images.aqar.fm/webp/750x0/props/048530925_1764934385259.jpg | https://images.aqar.fm/webp/750x0/props/048530929_1764945880471.jpg | https://images.aqar.fm/webp/750x0/props/048530926_1764934385257.jpg | https://images.aqar.fm/webp/750x0/props/048530924_1764934385251.jpg | https://images.aqar.fm/webp/750x0/props/048530924_1764934385264.jpg | https://images.aqar.fm/webp/750x0/props/048530923_1764934385252.jpg,30,عبدالله مسفر سالم العرجاني,مكتب اتحاد النجاح للعقارات,1,2026-03-23,2026-08-16,2026-08-18,3245,2026-08-23,True,"8,500,000",False,فيلا
6788861,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروابي/حي-شارع-ابن-بقاء-حي-الروابي-الرياض-منطقة-الرياض-6788861,فيلا للبيع في حي ، شارع ابن بقاء ، حي الروابي ، الرياض ، منطقة الرياض,1250000,200,3,4,1,30,حي الروابي,الرياض,شرق الرياض,,24.694775,46.795803,https://images.aqar.fm/webp/750x0/props/044982663_1784932924802.jpg,1,سعود بن عبدالعزيز بن حمد العسكر,,,2026-07-24,,2026-07-24,123,2026-08-23,False,طلب تسويق,False,فيلا
6647408,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروابي/شارع-الراحة-حي-الروابي-مدينة-الرياض-منطقة-الرياض-6647408,"فيلا للبيع في شارع الراحة, حي الروابي, مدينة الرياض, منطقة الرياض",4200000,844,,0,0,11,حي الروابي,الرياض,شرق الرياض,"للبيع فيلا درج جانبي 
حي الروابي
موقع مميز وحيوي قريب من الخدمات ومحطه المترو
المساحه/ 844 متر
الشارع /20 جنوبي
الأطوال /22 على الشارع
الطول الشرقي/37.05م
الطول الغربي /39.65م
الطول الشمالي/22.14م
العمر /فوق 30سنه
 الملاحق : من الخلف عباره عن ومطبخ + مستودع + عدد غرفتين ودوره مياه 
مدخل سياره كبير

الدور الارضي :
مجلس + مقلط 
عدد4 غرف نوم
عدد 2دورات مياه 
صاله
الدور الاول :
عدد 3 أجنحه كل جناح مكون من غرفتين ودوره مياه 
عدد 1 غرفه مع دوره مياه + صاله 
السطح :
غرفه ودوره مياه",24.687927,46.790746,https://images.aqar.fm/webp/750x0/props/003593484_1775678183304.jpg | https://images.aqar.fm/webp/750x0/props/003593482_1775678183339.jpg | https://images.aqar.fm/webp/750x0/props/003593489_1775678183411.jpg | https://images.aqar.fm/webp/750x0/props/003593484_1775678183343.jpg | https://images.aqar.fm/webp/750x0/props/003593483_1775678183415.jpg | https://images.aqar.fm/webp/750x0/props/003593489_1775678183402.jpg | https://images.aqar.fm/webp/750x0/props/003593484_1775678183437.jpg | https://images.aqar.fm/webp/750x0/props/003593487_1775678220595.jpg | https://images.aqar.fm/webp/750x0/props/003593489_1775678220615.jpg | https://images.aqar.fm/webp/750x0/props/003593480_1775678220627.jpg | https://images.aqar.fm/webp/750x0/props/003593487_1775678220623.jpg | https://images.aqar.fm/webp/750x0/props/003593481_1775678220637.jpg | https://images.aqar.fm/webp/750x0/props/003593481_1775678220632.jpg | https://images.aqar.fm/webp/750x0/props/003593488_1775678249399.jpg | https://images.aqar.fm/webp/750x0/props/003593480_1775678249393.jpg | https://images.aqar.fm/webp/750x0/props/003593481_1775678249391.jpg | https://images.aqar.fm/webp/750x0/props/003593483_1775678249399.jpg | https://images.aqar.fm/webp/750x0/props/003593483_1775678249402.jpg | https://images.aqar.fm/webp/750x0/props/003593488_1775678249407.jpg | https://images.aqar.fm/webp/750x0/props/003593483_1775678249403.jpg,20,علي صالح ابراهيم البنيه,مكتب حدود واركان للعقارات,1,2026-04-08,2026-08-14,2026-08-14,1582,2026-08-23,True,"4,200,000",False,فيلا
6832775,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروابي/شارع-الابهري-حي-الروابي-مدينة-الرياض-منطقة-الرياض-6832775,"فيلا للبيع في شارع الابهري, حي الروابي, مدينة الرياض, منطقة الرياض",2700000,300,6,,,11,حي الروابي,الرياض,شرق الرياض,"لبيع فلة سكنية مميزة – حي الروابي  
موقع ذهبي ظهيرة للشارع التجاري الزبير بن العوام  
قريبة من جميع الخدمات الحيوية

المساحة: 300 م²
عمر العقار: 15 سنة
عدد الغرف: 6 غرف
عدد الصالات: 2
دورات المياه: 5
غرفة خادمة  
الواجهة: جنوبية
طول الواجهة: 12.5 م
الشارع: 20 متر
عدد الأدوار: دورين

📍 مميزات الموقع
ظهيرة للشارع التجاري الزبير بن العوام

بجانبها مستوصف

تبعد عن شارع عنيزة حوالي 100 متر (مدخل الحي)

تبعد عن حديقة محمد بن قاسم 3 دقائق

تبعد عن سوق الروابي المركزي 5 دقائق

تبعد عن مستشفى الرعاية حي الروابي 5 دقائق

موقع ذهبي ومميز جدًا

💰 السعر: 2,700,000 ريال
📞 للتواصل: 
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))
العنود للعقارات",24.691637,46.787132,https://images.aqar.fm/webp/750x0/props/053994546_1787230988573.jpg | https://images.aqar.fm/webp/750x0/props/053994540_1787230998625.jpg | https://images.aqar.fm/webp/750x0/props/053994544_1787230998628.jpg | https://images.aqar.fm/webp/750x0/props/053994541_1787230998621.jpg | https://images.aqar.fm/webp/750x0/props/053994549_1787230998623.jpg | https://images.aqar.fm/webp/750x0/props/053994543_1787230998646.jpg | https://images.aqar.fm/webp/750x0/props/053994545_1787230998631.jpg,7,العنود عبدالله,,,2026-08-20,2026-08-20,2026-08-22,29,2026-08-23,True,"2,700,000",False,فيلا
6828401,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروابي/حي-شارع-حمد-التويجري-حي-الروابي-الرياض-منطقة-الرياض-6828401,فيلا للبيع في حي ، شارع حمد التويجري ، حي الروابي ، الرياض ، منطقة الرياض,3000000,312,5,5,5,23,حي الروابي,الرياض,شرق الرياض,فلة دور دور وشقة عليها رهن عقاري تقريبا ٨ ثمان مية ألف,24.696693,46.805865,,,حنان بنت صالح حمود العنزي,,,2026-08-18,,2026-08-18,35,2026-08-23,False,طلب تسويق,False,فيلا
6684110,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروابي/شارع-ابن-الجلال-حي-الروابي-مدينة-الرياض-منطقة-الرياض-6684110,"فيلا للبيع في شارع ابن الجلال, حي الروابي, مدينة الرياض, منطقة الرياض",2800000,400,,5,2,11,حي الروابي,الرياض,شرق الرياض,"فيلا صالحه للسكن مباشره 
من دورين 
الدور الأرضي ملحق خارجي مع دورة مياة
مجلس مقلط 
غرفة داخل للعائلة 
صالتين 
مطبخ واسع
الدور الاول 
خمس غرف نوم مع دورات المياة 
الدور الثاني
غرفه ودورة مياة للخادمة 
مع السطح",24.696393,46.788234,https://images.aqar.fm/webp/750x0/props/048004135_1778254026715.jpg | https://images.aqar.fm/webp/750x0/props/048004139_1778254026795.jpg | https://images.aqar.fm/webp/750x0/props/048004134_1778254026912.jpg | https://images.aqar.fm/webp/750x0/props/048004130_1778254027044.jpg | https://images.aqar.fm/webp/750x0/props/048004133_1778254027175.jpg | https://images.aqar.fm/webp/750x0/props/048004131_1778254027288.jpg | https://images.aqar.fm/webp/750x0/props/048004139_1778254027445.jpg | https://images.aqar.fm/webp/750x0/props/048004132_1778254027592.jpg,8,فرح بنت ناصر بن صالح المشاري,,,2026-05-05,2026-08-01,2026-08-01,1401,2026-08-23,True,"2,800,000",False,فيلا
6536625,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروابي/شارع-المويسمية-حي-الروابي-مدينة-الرياض-منطقة-الرياض-6536625,"فيلا للبيع في شارع المويسمية, حي الروابي, مدينة الرياض, منطقة الرياض",2250000,500,,5,2,11,حي الروابي,الرياض,شرق الرياض,"فيلا قديمه بحي الروابي 
دورين مفصوله مؤجره بقيمة 100,000 ريال  

حد البيع 2,500,000 ريال 

للتواصل 
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))",24.702778,46.781435,https://images.aqar.fm/webp/750x0/props/001761563_1767722150392.jpg | https://images.aqar.fm/webp/750x0/props/001761569_1767722150241.jpg | https://images.aqar.fm/webp/750x0/props/001761561_1767722150376.jpg | https://images.aqar.fm/webp/750x0/props/001761560_1767722150270.jpg | https://images.aqar.fm/webp/750x0/props/001761563_1767722150377.jpg,5,عبدالاله صالح,شركة أوفرز العقارية,1,2026-01-06,2026-01-06,2026-08-16,7977,2026-08-23,True,"2,250,000",False,فيلا
6520193,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروابي/شارع-الابهري-حي-الروابي-مدينة-الرياض-منطقة-الرياض-6520193,"فيلا للبيع في شارع الابهري, حي الروابي, مدينة الرياض, منطقة الرياض",2700000,300,,5,2,6,حي الروابي,الرياض,شرق الرياض,"فيلا دورين وملحق في موقع مميز بحي الروابي،
تم ترميمها بالكامل وجاهزة للسكن فورًا.

🔹 تصميم عملي ومريح
🔹 تشطيب نظيف وحالة ممتازة
🔹 مناسبة للسكن العائلي أو الاستثمار

حي متكامل الخدمات وقريب من الطرق الرئيسية.
فرصة مناسبة لمن يبحث عن بيت مجدد في موقع حيوي.",24.691561,46.787167,https://images.aqar.fm/webp/750x0/props/018624743_1766602874499.jpg | https://images.aqar.fm/webp/750x0/props/018624749_1766602874505.jpg | https://images.aqar.fm/webp/750x0/props/018624742_1766602874510.jpg | https://images.aqar.fm/webp/750x0/props/018624749_1766602874500.jpg | https://images.aqar.fm/webp/750x0/props/018624742_1766602874508.jpg | https://images.aqar.fm/webp/750x0/props/018624740_1766602874513.jpg | https://images.aqar.fm/webp/750x0/props/018624746_1766602874505.jpg | https://images.aqar.fm/webp/750x0/props/018624743_1766602874506.jpg,8,رعد عطيه عواض الطلحي,,,2025-12-24,2026-03-12,2026-07-03,2993,2026-08-23,True,"2,700,000",False,فيلا
6698782,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروابي/شارع-طابا-حي-الروابي-مدينة-الرياض-منطقة-الرياض-6698782,"فيلا للبيع في شارع طابا, حي الروابي, مدينة الرياض, منطقة الرياض",3100000,227,5,5,2,0,حي الروابي,الرياض,شرق الرياض,$5e,24.698005,46.799391,https://images.aqar.fm/webp/750x0/props/020203126_1779280321701.jpg | https://images.aqar.fm/webp/750x0/props/020203127_1779280321690.jpg | https://images.aqar.fm/webp/750x0/props/020203123_1779280321697.jpg | https://images.aqar.fm/webp/750x0/props/020203124_1779280321694.jpg | https://images.aqar.fm/webp/750x0/props/020203121_1779280321705.jpg | https://images.aqar.fm/webp/750x0/props/020203123_1779280321690.jpg | https://images.aqar.fm/webp/750x0/props/020203124_1779280321696.jpg | https://images.aqar.fm/webp/750x0/props/020203123_1779280321702.jpg,8,مهند فهد عبدالله الراشد,,,2026-05-15,2026-06-14,2026-07-13,310,2026-08-23,True,"3,100,000",False,فيلا
6598659,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروابي/شارع-طابا-حي-الروابي-مدينة-الرياض-منطقة-الرياض-6598659,"فيلا للبيع في شارع طابا, حي الروابي, مدينة الرياض, منطقة الرياض",3000000,227,6,,,0,حي الروابي,الرياض,شرق الرياض,"دور ونص + شقة + شقة

1️⃣دور ونص  الدور الارضى= - جلسة خارجية - مجلس رجال مع مغسلتين ودورة مياه- صالة طعام- صالة - مغسلتين ودورة مياه- مطبخ + مطبخ داخلي ( ديرتي كيتشن) - غرفة خادمة وحمامها وغسيل ملابس ومستودع

2️⃣الدور الاول النص= غرفة ماستر - غرفتين نوم - دورة مياه بين غرفتين النوم

 3️⃣ شقة الدور الاول =  غرفة ماستر مع غرفة تغير ملابس+ غرفة نوم  +مغسلتين دورة مياه + صالة + مطبخ 
4️⃣الشقة الدور العلوي= مجلس رجال مع حمام وبلكونة - صالة - مطبخ -غرفة نوم ماستر + غرفتين نوم بين حمام",24.697974,46.799441,https://images.aqar.fm/webp/750x0/props/036376771_1771619285493.jpg,1,وصايف عبدالرحمن,مؤسسة كامب ليفينج,1,2026-02-20,2026-08-14,2026-08-14,1191,2026-08-23,True,"3,000,000",False,فيلا
