listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6831718,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروضة/شارع-عبدالله-بن-رشيد-حي-الروضة-مدينة-الرياض-منطقة-الرياض-6831718,"فيلا للبيع في شارع عبدالله بن رشيد, حي الروضة, مدينة الرياض, منطقة الرياض",8000000,930,4,1,0,11,حي الروضة,الرياض,شرق الرياض,"فيلا بشارع عبدالله بن رشيد بحي الروضة على مخرج 12 مسطح البناء 440م مرممه قبل ثلاث سنوات ويوجد بها ملحقين ودرج جانبي خدمة

التفاصيل

المساحة
930م²

عمر العقار
11 سنة

دورات المياه
5

الصالات
3

عدد الشقق
بدون شقق

غرف النوم
7

الواجهة
جنوب
المميزات

درج صالة

غرفة خادمة

حوش

مطبخ

ملحق

مدخل سيارة

توفر الماء

توفر الكهرباء

توفر صرف صحي
الفيديوهات",24.729695,46.759291,https://images.aqar.fm/webp/750x0/props/048209511_1787165557667.jpg | https://images.aqar.fm/webp/750x0/props/048209519_1787165558034.jpg | https://images.aqar.fm/webp/750x0/props/048209511_1787165558033.jpg | https://images.aqar.fm/webp/750x0/props/048209514_1787165558235.jpg | https://images.aqar.fm/webp/750x0/props/048209512_1787165558447.jpg | https://images.aqar.fm/webp/750x0/props/048209512_1787165558585.jpg | https://images.aqar.fm/webp/750x0/props/048209517_1787165558580.jpg | https://images.aqar.fm/webp/750x0/props/048209511_1787165558747.jpg | https://images.aqar.fm/webp/750x0/props/048209510_1787165558849.jpg,9,عبدالرحمن بن ابراهيم بن سعد بن مصيليخ,مؤسسة تلال العاذرية,1,2026-08-19,2026-08-19,2026-08-23,29,2026-08-23,True,"8,000,000",False,فيلا
6827950,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروضة/شارع-عبدالله-بن-رشيد-حي-الروضة-مدينة-الرياض-منطقة-الرياض-6827950,"فيلا للبيع في شارع عبدالله بن رشيد, حي الروضة, مدينة الرياض, منطقة الرياض",7000000,930,7,0,0,11,حي الروضة,الرياض,شرق الرياض,"فيلا للبيع مجدده على شارع تجاري حي الروضة 

المساحة : 930 م 
الواجهة : جنوبية 
الشارع : 30 م 
عمر العقار : 26 سنه 

الارضي : 
عباره عن استقبال رجال ومقلط وصالة نساء ومطبخ وصاله مدخل وغرفة مسن وجميعها مساحات كبيره

الدور الاول : 

الغرف 
 ثلاث اجنحه
١- غرفه ر ئيسيه /ممرات وحمام وغرف نوم وغرفة ملابس
٢-غرفتين  بحمام مدخل واحد
٣- ثلاث غرف وحمامين مدخل واحد
٤ - غرفه واحده مساحه كبيره بدورة مياه مستقله


السطح: 
 غرفة خادمه وحمام وغسيل


سعر العقار : 7.000.000

موقع العقار : 

https://maps.google.com/?q=24.729446,46.759377",24.729481,46.759187,https://images.aqar.fm/webp/750x0/props/020203124_1786993695538.jpg | https://images.aqar.fm/webp/750x0/props/020203124_1786993695547.jpg | https://images.aqar.fm/webp/750x0/props/020203126_1786993695497.jpg | https://images.aqar.fm/webp/750x0/props/020203121_1786993695531.jpg | https://images.aqar.fm/webp/750x0/props/020203125_1786993695536.jpg | https://images.aqar.fm/webp/750x0/props/020203126_1786993695546.jpg | https://images.aqar.fm/webp/750x0/props/020203125_1786993695538.jpg | https://images.aqar.fm/webp/750x0/props/020203120_1786993695496.jpg,8,مهند فهد عبدالله الراشد,,,2026-08-17,2026-08-17,2026-08-17,48,2026-08-23,True,"7,000,000",False,فيلا
6784780,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروضة/شارع-صيفي-بن-عمرو-حي-الروضة-مدينة-الرياض-منطقة-الرياض-6784780,"فيلا للبيع في شارع صيفي بن عمرو, حي الروضة, مدينة الرياض, منطقة الرياض",5500000,700,,5,4,3,حي الروضة,الرياض,شرق الرياض,$5e,24.737806,46.773857,https://images.aqar.fm/webp/750x0/props/005327817_1784675439247.jpg | https://images.aqar.fm/webp/750x0/props/005327812_1784675457088.jpg | https://images.aqar.fm/webp/750x0/props/005327813_1784675457084.jpg | https://images.aqar.fm/webp/750x0/props/005327816_1784675457072.jpg | https://images.aqar.fm/webp/750x0/props/005327816_1784675457085.jpg | https://images.aqar.fm/webp/750x0/props/005327811_1784675457074.jpg | https://images.aqar.fm/webp/750x0/props/005327816_1784675466806.jpg | https://images.aqar.fm/webp/750x0/props/005327814_1784675466808.jpg | https://images.aqar.fm/webp/750x0/props/005327813_1784675474238.jpg | https://images.aqar.fm/webp/750x0/props/005327816_1784675474237.jpg | https://images.aqar.fm/webp/750x0/props/005327816_1784675482911.jpg | https://images.aqar.fm/webp/750x0/props/005327812_1784675492598.jpg | https://images.aqar.fm/webp/750x0/props/005327813_1784675492638.jpg | https://images.aqar.fm/webp/750x0/props/005327818_1784675498648.jpg | https://images.aqar.fm/webp/750x0/props/005327813_1784675498611.jpg,15,عبدالرحمن المهوس,,,2026-07-21,2026-08-20,2026-08-20,636,2026-08-23,True,"5,500,000",False,فيلا
6658902,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروضة/شارع-كعب-بن-الحارث-حي-الروضة-مدينة-الرياض-منطقة-الرياض-6658902,"فيلا للبيع في شارع كعب بن الحارث, حي الروضة, مدينة الرياض, منطقة الرياض",6500000,502,,5,0,0,حي الروضة,الرياض,شرق الرياض,"فيلا  جديده موقع مميز زاويه قريبه من خريص وكذلك المسجد
الأرضي استقبال 
العلوي غرف نوم
ملاحق خارجيه 
غرفة سائق",24.729343,46.781292,https://images.aqar.fm/webp/750x0/props/050295422_1776447524700.jpg | https://images.aqar.fm/webp/750x0/props/050295427_1776447544513.jpg | https://images.aqar.fm/webp/750x0/props/050295423_1776447544488.jpg | https://images.aqar.fm/webp/750x0/props/050295426_1776447544511.jpg | https://images.aqar.fm/webp/750x0/props/050295424_1776447544485.jpg | https://images.aqar.fm/webp/750x0/props/050295429_1776447544510.jpg | https://images.aqar.fm/webp/750x0/props/050295422_1776447544516.jpg | https://images.aqar.fm/webp/750x0/props/050295428_1776447544491.jpg | https://images.aqar.fm/webp/750x0/props/050295421_1776447544487.jpg | https://images.aqar.fm/webp/750x0/props/050295428_1776447566190.jpg | https://images.aqar.fm/webp/750x0/props/050295420_1776447566196.jpg | https://images.aqar.fm/webp/750x0/props/050295429_1776447566215.jpg | https://images.aqar.fm/webp/750x0/props/050295428_1776447566222.jpg | https://images.aqar.fm/webp/750x0/props/050295425_1776447566241.jpg | https://images.aqar.fm/webp/750x0/props/050295421_1776447566219.jpg | https://images.aqar.fm/webp/750x0/props/050295428_1776447566128.jpg | https://images.aqar.fm/webp/750x0/props/050295423_1776447566221.jpg | https://images.aqar.fm/webp/750x0/props/050295428_1776447577028.jpg | https://images.aqar.fm/webp/750x0/props/050295423_1776447577030.jpg,19,عبدالله بن صالح بن محمد العواد,,,2026-04-17,2026-08-18,2026-08-18,1844,2026-08-23,True,"6,500,000",False,فيلا
6496395,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروضة/شارع-طلال-بن-رشيد-حي-الروضة-مدينة-الرياض-منطقة-الرياض-6496395,"فيلا للبيع في شارع طلال بن رشيد, حي الروضة, مدينة الرياض, منطقة الرياض",6000000,792,5,,,11,حي الروضة,الرياض,شرق الرياض,فيلا قديمة بقيمة أرض في أرقى مخططات الروضة قريبه من جميع الخدمات شارع 20م جنوبي. مساحات أراضي الحي من 800م2 وما فوق الحي خالي من وحدات السكن الصغيرة من ما يجعل الحي أكثر هدوءا. الشارع نافذ على شارع 30 الموصل من طريق خريص الى طريق حفصة بنت عمر. قريبه من جامع وحديقة الروضة والبريد السعودي ملائمة لسكن عائلي هاديء. قريبه من مراكز التسوق والمقاهي ووكالات السيارات 5000 الاف للمتر حد البيع. أرض زاوية 878م2 حي الروضة المميز شارع 20 شمالي و 15 غربي 6500 للمتر مناسبة للمطوريين العقاريين.,24.728962,46.775453,https://images.aqar.fm/webp/750x0/props/006048457_1765113661202.jpg,1,سعد حمد سعد السرحان,,,2025-12-07,2026-07-29,2026-08-15,2108,2026-08-23,True,"6,000,000",False,فيلا
6626334,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروضة/شارع-عبدالله-بن-رشيد-حي-الروضة-مدينة-الرياض-منطقة-الرياض-6626334,"فيلا للبيع في شارع عبدالله بن رشيد, حي الروضة, مدينة الرياض, منطقة الرياض",7500000,930,,0,0,11,حي الروضة,الرياض,شرق الرياض,"الارضي عباره عن استقبال رجال ومقلط وصالة نساء ومطبخ وصاله مدخل وغرفة مسن وجميعها مساحات كبيره
السطح غرفة خادمه وحمام وغسيل
يوجد بها ملاحق خارجيه :-
-ملحق رجال مع بوفيه وحمام وغرفة صيف
- ملحق نساء مع بوفيه ودورة مباه",24.729536,46.759141,https://images.aqar.fm/webp/750x0/props/046116284_1773634457774.jpg | https://images.aqar.fm/webp/750x0/props/046116283_1773634457779.jpg | https://images.aqar.fm/webp/750x0/props/046116289_1773634457775.jpg,3,فهد بن عبدالله بن عبدالعزيز الحوشاني,,,2026-03-16,2026-06-11,2026-08-18,172,2026-08-23,True,"7,500,000",False,فيلا
6622114,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروضة/شارع-ملاح-حي-الروضة-مدينة-الرياض-منطقة-الرياض-6622114,"فيلا للبيع في شارع ملاح, حي الروضة, مدينة الرياض, منطقة الرياض",3000000,810,,1,0,11,حي الروضة,الرياض,شرق الرياض,"صيده 💥💥
للبيع أرض سكنية مميزة – حي الروضة
منطقة راقية مناسبة للمطورين لبناء فلل او ادوار او تاون هاوس.  مساحتها  810 م

» الشارع: 15م جنوبي

📞 للتواصل:   0572.357.923",24.744938,46.774193,https://images.aqar.fm/webp/750x0/props/037316621_1785695165848.jpg,1,بشاير زياد,مكتب المعرفة للخدمات العقارية,1,2026-03-11,2026-08-03,2026-08-23,1445,2026-08-23,True,"3,000,000",False,فيلا
6797847,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروضة/شارع-البريكة-حي-الروضة-مدينة-الرياض-منطقة-الرياض-6797847,"فيلا للبيع في شارع البريكة, حي الروضة, مدينة الرياض, منطقة الرياض",3200000,520,6,5,5,11,حي الروضة,الرياض,شرق الرياض,"للبيــــــــع فيلا  بقيمة ارض 

فله عمرها 47 سنه 
حي الروضه مخرج 12
مساحة الارض 520 م
شارعين متظاهره 
شرقي 15
غربي 15 او 12

البيع عباره عن ارض 
مكون من 

الدور الارضي 
حوش كبير 
ملحق تراثي بدورة مياه مستحدث جديد 
مظلات للحوش 
مسلخ
غرفة سايق مرتبل 

الدور الارضي
مجلس ومقلط وصاله وغرفتين ومطبخ
دورتين مياه

الدور الثاني 
4 غرف نوم 
ماستر يتكون من غرفتين 
المجموع 6
دورتين مياه 

السطح 
مقسم ومبني جدران وجاهز للسقف 
مع دورة مياه 

عدادين كهرباء
شارعين 
امكانية فصل الدورين عن بعض متاحه
قيمة اللبيــــــــع  ٣ مليون  ٢٠٠ الف",24.726097,46.760903,https://images.aqar.fm/webp/750x0/props/028061270_1785426106813.jpg | https://images.aqar.fm/webp/750x0/props/028061270_1785426106813.jpg,2,نوره البقمي,مؤسسة رعد السحاب للخدمات العقارية,1,2026-07-30,2026-07-30,2026-08-22,722,2026-08-23,True,"3,200,000",False,فيلا
6790957,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروضة/شارع-عبدالله-بن-رشيد-حي-الروضة-مدينة-الرياض-منطقة-الرياض-6790957,"فيلا للبيع في شارع عبدالله بن رشيد, حي الروضة, مدينة الرياض, منطقة الرياض",7800000,930,,,,11,حي الروضة,الرياض,شرق الرياض,"مباشر مع المالك 

للبيــــــــع فيلا بحى الروضه
مساحتها ٩٠٠ متر 
العمر ٢٧ سنه ومجدده
من ٣ سنوات
البيع ٧ مليون و٨٠٠  
وان شاء الله نتفاوض مع المالك 
شارع ٣٠م جنوبى 

● الدور الارضي 
 عباره عن استقبال رجال ومقلط وصالة نساء ومطبخ وصاله مدخل وغرفة مسن وجميعها مساحات كبيره
●المطبخ يوجد مطبخ خارجي الداخلي لم يجهز لعدم الحاجه
●● الغرف 
 ثلاث اجنحه
١- غرفه ر ئيسيه /ممرات وحمام وغرف نوم وغرفة ملابس
٢-غرفتين  بحمام مدخل واحد
٣- ثلاث غرف وحمامين مدخل واحد
٤ - غرفه واحده مساحه كبيره بدورة مياه مستقله
●السطح غرفة خادمه وحمام وغسيل",24.729536,46.759141,https://images.aqar.fm/webp/750x0/props/012461236_1785069334458.jpg | https://images.aqar.fm/webp/750x0/props/012461232_1785069334570.jpg | https://images.aqar.fm/webp/750x0/props/012461234_1785069334699.jpg | https://images.aqar.fm/webp/750x0/props/012461232_1785069334721.jpg | https://images.aqar.fm/webp/750x0/props/012461235_1785069334741.jpg | https://images.aqar.fm/webp/750x0/props/012461232_1785069334821.jpg | https://images.aqar.fm/webp/750x0/props/012461234_1785069334850.jpg | https://images.aqar.fm/webp/750x0/props/012461235_1785069334979.jpg | https://images.aqar.fm/webp/750x0/props/012461239_1785069335003.jpg | https://images.aqar.fm/webp/750x0/props/012461233_1785069335040.jpg | https://images.aqar.fm/webp/750x0/props/012461236_1785069335144.jpg | https://images.aqar.fm/webp/750x0/props/012461231_1785069335162.jpg,12,صالح بن عبيد بن عايش العنزي,مكتب ابداع الصحافة للخدمات العقارية,1,2026-07-26,2026-07-26,2026-08-23,76,2026-08-23,True,"7,800,000",False,فيلا
6682457,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الروضة/شارع-أبا-النجم-حي-الروضة-مدينة-الرياض-منطقة-الرياض-6682457,"فيلا للبيع في شارع أبا النجم, حي الروضة, مدينة الرياض, منطقة الرياض",2200000,493,7,5,2,11,حي الروضة,الرياض,شرق الرياض,"✴️فيلا سكنية في موقع حيوي للبيع✴️
حي الروضة - شارع أبا النجم
المساحة : 493 متر

الواجهه: شمالية (شارع 12 متر )
الاطوال : (17 * 29)

📍الأطوال 📍
شمالا شارع عرض 12 متر بطول: ( 17 م )
جنوبا قطعة ارض بطول: ( 17م )
شرقا قطعة ارض بطول: (29 م )
غربا قطعة ارض بطول: (29 م )

*الفيلا درج جانبي وقابلة للتجزئة لعدة أدوار*

🏘️مرافق الفيلا🏘️
حوش كبير + مدخل سيارة 
غرفة سائق مع دورة مياه

- الدور الأرضي:
مدخل رجال + مدخل نساء
مجلس + مقلط + دورة مياه (ضيافة للرجال)
صالة + مطبخ
غرفتين + دورة مياه 
بوفيه

- الدور العلوي:
غرفة نوم ماستر بدورة مياه خاصة 
 3 غرف نوم + دورة مياه 
غرفة خادمة
مساحة أو سطح خاص بالدور العلوي 

الدور الثالث:
سطح واسع

🏘️ مميزات اخرى للعقار 🏘️
1- مرتفعة عن السيول و الامطار
2- قريبة من طريق خريص + الدائري الشرقي
4- قريبة من الجامع و الاسواق و المطاعم

💵 السعر 💵
2,200,000 ر.س

🌐مساكن ركاز للعقارات و إدارة الأملاك🌐
للاستفسار:

ابوحمود/
0508080959

ابوعمر/
0539559998

ابوصالح/
0550580890

رقم رخصة الإعلان (7200959131)
رقم رخصة فال للوساطة والتسويق: 1200019477",24.738286,46.770432,https://images.aqar.fm/webp/750x0/props/005661281_1746290191464.jpg | https://images.aqar.fm/webp/750x0/props/005661281_1746290191466.jpg | https://images.aqar.fm/webp/750x0/props/005661285_1746290191465.jpg | https://images.aqar.fm/webp/750x0/props/005661283_1746290191471.jpg | https://images.aqar.fm/webp/750x0/props/005661286_1746290191473.jpg | https://images.aqar.fm/webp/750x0/props/005661284_1746290191463.png,6,احمد حمود عبدالعزيز الدويش,مؤسسة مكتب مساكن ركاز للعقارات,1,2026-05-04,2026-07-31,2026-08-21,4677,2026-08-23,True,"2,200,000",False,فيلا
