listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6783872,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الريان/شارع-العين-حي-الريان-مدينة-الرياض-منطقة-الرياض-6783872,"فيلا للبيع في شارع العين, حي الريان, مدينة الرياض, منطقة الرياض",4914000,780,,0,0,11,حي الريان,الرياض,شرق الرياض,"للبيع فله بالريان 
فرصة استثمارية مميزة لموقع مميز

المساحه 780
الاطوال
26 متر على الشارع
30 متر للداخل
الوجهه جنوب
الشارع 15 متر

الدور الأرضي
باب كراج
حوش يتسع لأكثر من 5 سيارات
ملاحق 
جلسه رجاليه
غرفه مع دورة مياه
غرفة سائق مع دورة مياه
مجلس رجال
مقلط
صاله
مطبخ مع مستودع
مجلس نساء
3 دورات مياه

الدور الاول
 مجمع غرفه رئيسيه وغرفة اطفال مع دورة مياه
غرفة بدورة مياه
 صاله
غرفه مع دورة مياه تخدم الصاله والغرفة

الدور الثاني
غرفه مع دورة مياه
تم تجديد الواجهة والسور الخارجي
البيع كأرض",24.711094,46.784003,https://images.aqar.fm/webp/750x0/props/033215246_1784639685792.jpg | https://images.aqar.fm/webp/750x0/props/033215246_1784639685827.jpg | https://images.aqar.fm/webp/750x0/props/033215245_1784639685831.jpg | https://images.aqar.fm/webp/750x0/props/033215243_1784639685831.jpg,4,عبدالعزيز محمد خريف الخريف,مؤسسة مكتب عبدالعزيز محمد خريف الخريف للعقارات,1,2026-07-21,2026-08-19,2026-08-19,1004,2026-08-23,True,"4,914,000",False,فيلا
6825295,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الريان/شارع-عنيزه-حي-الريان-مدينة-الرياض-منطقة-الرياض-6825295,"فيلا للبيع في شارع عنيزه, حي الريان, مدينة الرياض, منطقة الرياض",9320000,1331,6,5,1,11,حي الريان,الرياض,شرق الرياض,"قصر للبيع بقيمه ارض او للسكن مساحته 1331 م.

*الموقع حي الريان شارع عنيزه على 3 شوارع، شمالي 15م، غربي 15م، شرقي 30م

الفله على شارع 30متر تجاري تنفع لبناء شقق تمليك او ماشبه من المشاريع التجاريه 

*المسطحات دور ارضي261 م ، دور علوي 261 م ، قبو 160 م(تقريبا).

*الغرف والمرافق دور ارضي:
مجلس رجال 
2 مجلس نساء 
صالة 
صالة طعام
مطبخ
3 دورات مياة
*الغرف والمرافق دور علوي:
6 غرف نوم
2 دورات مياة
صالة عائلية
يوجد مصعد إيطالي.

سعر البيع ٧ الاف ريال للمتر باذن الله

بيع - تاجير - اداره املاك

((الرقم يظهر عند الضغط على اتصال))",24.704315,46.776584,https://images.aqar.fm/webp/750x0/props/002407464_1786882258609.jpg | https://images.aqar.fm/webp/750x0/props/002407468_1786882258494.jpg | https://images.aqar.fm/webp/750x0/props/002407466_1786882258499.jpg | https://images.aqar.fm/webp/750x0/props/002407464_1786882258517.jpg | https://images.aqar.fm/webp/750x0/props/002407461_1786882258501.jpg | https://images.aqar.fm/webp/750x0/props/002407465_1786882258624.jpg | https://images.aqar.fm/webp/750x0/props/002407461_1786882258639.jpg,7,بدر صالح عبدالرحمن الكنعان,,,2026-08-16,2026-08-16,2026-08-21,258,2026-08-23,True,"9,320,000",False,فيلا
6805678,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الريان/شارع-ربيع-بن-أصرم-حي-الريان-مدينة-الرياض-منطقة-الرياض-6805678,"فيلا للبيع في شارع ربيع بن أصرم, حي الريان, مدينة الرياض, منطقة الرياض",5800000,560,,5,2,0,حي الريان,الرياض,شرق الرياض,$5d,24.704201,46.778345,https://images.aqar.fm/webp/750x0/props/003452352_1785851006868.jpg | https://images.aqar.fm/webp/750x0/props/003452351_1785851006869.jpg | https://images.aqar.fm/webp/750x0/props/003452357_1785851006867.jpg | https://images.aqar.fm/webp/750x0/props/003452354_1785851006872.jpg | https://images.aqar.fm/webp/750x0/props/003452355_1785851006883.jpg | https://images.aqar.fm/webp/750x0/props/003452358_1785851006882.jpg | https://images.aqar.fm/webp/750x0/props/003452351_1785851006879.jpg | https://images.aqar.fm/webp/750x0/props/003452359_1785851006879.jpg | https://images.aqar.fm/webp/750x0/props/003452357_1785851060025.jpg | https://images.aqar.fm/webp/750x0/props/003452357_1785851060043.jpg | https://images.aqar.fm/webp/750x0/props/003452351_1785851060068.jpg | https://images.aqar.fm/webp/750x0/props/003452352_1785851060060.jpg | https://images.aqar.fm/webp/750x0/props/003452354_1785851060052.jpg | https://images.aqar.fm/webp/750x0/props/003452350_1785851060079.jpg | https://images.aqar.fm/webp/750x0/props/003452350_1785851060069.jpg | https://images.aqar.fm/webp/750x0/props/003452350_1785851060065.jpg | https://images.aqar.fm/webp/750x0/props/003452359_1785851075480.jpg | https://images.aqar.fm/webp/750x0/props/003452358_1785851075480.jpg | https://images.aqar.fm/webp/750x0/props/003452350_1785851075486.jpg | https://images.aqar.fm/webp/750x0/props/003452351_1785851075483.jpg | https://images.aqar.fm/webp/750x0/props/003452350_1785851075488.jpg | https://images.aqar.fm/webp/750x0/props/003452355_1785851075484.jpg | https://images.aqar.fm/webp/750x0/props/003452355_1785851075486.jpg,23,محمد عبدالله علي الحبيب,شركة عبدالله علي عبدالله الحبيب العقارية,1,2026-08-04,2026-08-04,2026-08-22,908,2026-08-23,True,"5,800,000",False,فيلا
6803470,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الريان/شارع-عبدالملك-البرداني-حي-الريان-مدينة-الرياض-منطقة-الرياض-6803470,"فيلا للبيع في شارع عبدالملك البرداني, حي الريان, مدينة الرياض, منطقة الرياض",3000000,240,6,7,5,0,حي الريان,الرياض,شرق الرياض,$5e,24.701807,46.773564,https://images.aqar.fm/webp/750x0/props/000778642_1778769846020.jpg | https://images.aqar.fm/webp/750x0/props/000778644_1778769854800.jpg | https://images.aqar.fm/webp/750x0/props/000778649_1778769854815.jpg | https://images.aqar.fm/webp/750x0/props/000778646_1778769854823.jpg | https://images.aqar.fm/webp/750x0/props/000778642_1778769854812.jpg | https://images.aqar.fm/webp/750x0/props/000778642_1778769854818.jpg | https://images.aqar.fm/webp/750x0/props/000778640_1778769854804.jpg | https://images.aqar.fm/webp/750x0/props/000778647_1778769854827.jpg | https://images.aqar.fm/webp/750x0/props/000778645_1778769861791.jpg | https://images.aqar.fm/webp/750x0/props/000778644_1778769861807.jpg | https://images.aqar.fm/webp/750x0/props/000778643_1778769861790.jpg | https://images.aqar.fm/webp/750x0/props/000778645_1778769861804.jpg | https://images.aqar.fm/webp/750x0/props/000778644_1778769861802.jpg | https://images.aqar.fm/webp/750x0/props/000778649_1778769861797.jpg | https://images.aqar.fm/webp/750x0/props/000778648_1778769861810.jpg | https://images.aqar.fm/webp/750x0/props/000778648_1778769861803.jpg | https://images.aqar.fm/webp/750x0/props/000778644_1778769861808.jpg | https://images.aqar.fm/webp/750x0/props/000778647_1778769861797.jpg | https://images.aqar.fm/webp/750x0/props/000778646_1778769861814.jpg | https://images.aqar.fm/webp/750x0/props/000778646_1778769861798.jpg | https://images.aqar.fm/webp/750x0/props/000778644_1778769861806.jpg | https://images.aqar.fm/webp/750x0/props/000778642_1778769864230.jpg,22,محمد دخيل الله ابن نهار السبيعي,شركة زمن للخدمات العقارية ,1,2026-08-03,2026-08-03,2026-08-17,553,2026-08-23,True,"3,000,000",False,فيلا
6562202,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الريان/شارع-رياض-الخبراء-حي-الريان-مدينة-الرياض-منطقة-الرياض-6562202,"فيلا للبيع في شارع رياض الخبراء, حي الريان, مدينة الرياض, منطقة الرياض",4500000,536,4,5,0,11,حي الريان,الرياض,شرق الرياض,"للبيع | فيلا مميزة – حي الريان (تصميم عصري + كورتيارد)
فيلا سكنية بتصميم عملي ومساحات عائلية مريحة، تتميز بوجود كورتيارد داخلي يمنح إضاءة طبيعية وخصوصية عالية، مع توزيع ذكي يناسب احتياج العائلة.

الدور الأرضي:
	•	مجلس
	•	غرفة طعام
	•	صالة
	•	دورتان مياه
	•	مطبخ مفتوح على الصالة + مطبخ تجهيز
	•	غرفة عاملات مع دورة مياه
	•	غرفة سائق مع دورة مياه
	•	كورتيارد داخلي
الدور الأول:
	•	4 غرف نوم
	•	3 دورات مياه
	•	صالة
	•	مكتبة
	•	كورتيارد داخلي
التكييف:
	•	مكيف مركزي في الصالة
	•	مكيف كاسيت في المطبخ
	•	باقي الغرف والمجالس مكيفات سبليت إنفيرتر
مميزات:
	•	توزيع ممتاز بين الضيافة والمعيشة العائلية
	•	مطبخان (يومي + تجهيز) لراحة أكبر
	•	خصوصية وإضاءة طبيعية بفضل الكورتيارد",24.710946,46.78537,https://images.aqar.fm/webp/750x0/props/003036068_1769375675846.jpg | https://images.aqar.fm/webp/750x0/props/003036068_1769375675842.jpg | https://images.aqar.fm/webp/750x0/props/003036069_1769375675842.jpg | https://images.aqar.fm/webp/750x0/props/003036066_1769375675841.jpg | https://images.aqar.fm/webp/750x0/props/003036069_1769375675863.jpg | https://images.aqar.fm/webp/750x0/props/003036066_1769375675845.jpg | https://images.aqar.fm/webp/750x0/props/003036060_1769375691553.jpg | https://images.aqar.fm/webp/750x0/props/003036063_1769375691555.jpg | https://images.aqar.fm/webp/750x0/props/003036060_1769375691580.jpg | https://images.aqar.fm/webp/750x0/props/003036060_1769375691561.jpg | https://images.aqar.fm/webp/750x0/props/003036060_1769375691612.jpg | https://images.aqar.fm/webp/750x0/props/003036061_1769375691602.jpg | https://images.aqar.fm/webp/750x0/props/003036063_1769375691582.jpg | https://images.aqar.fm/webp/750x0/props/003036069_1769375691575.jpg,14,سالم محمد بن سالم باهمام,شركة سالم محمد باهمام العقارية شخص واحد,1,2026-01-25,2026-01-25,2026-08-12,3188,2026-08-23,True,"4,500,000",False,فيلا
6759607,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الريان/شارع-عبدالله-بن-حصن-حي-الريان-مدينة-الرياض-منطقة-الرياض-6759607,"فيلا للبيع في شارع عبدالله بن حصن, حي الريان, مدينة الرياض, منطقة الرياض",5265000,810,5,0,0,11,حي الريان,الرياض,شرق الرياض,"🏡 فيلا للبيع – حي الريان

📍 فرصة استثمارية مميزة في أحد أفضل مواقع حي الريان

▪️ المساحة: 1,620 م²
▪️ زاوية
▪️ الواجهة: جنوبية شرقية
▪️ عرض الشوارع: 15 متر

✨ مناسبة للمستثمرين والمطورين العقاريين، بفضل موقعها الاستراتيجي ومساحتها الكبيرة التي تتيح العديد من الخيارات الاستثمارية.

مميزات الموقع:
✅ يحدها من الغرب طريق بريدة.
✅ يحدها من الشمال طريق الأمير ماجد بن عبدالعزيز.
✅ سهولة الوصول إلى الطرق الرئيسية ومحاور مدينة الرياض.
✅ موقع حيوي قريب من الخدمات التجارية والتعليمية والصحية.
✅ منطقة مكتملة الخدمات وتتميز بكثافة سكانية عالية.
✅ مناسبة لبناء مشروع سكني أو استثماري.
✅ قيمة عقارية مرتفعة وفرصة واعدة للنمو والاستثمار.
✅ سهولة الوصول إلى مختلف أحياء شرق الرياض.",24.715915,46.786288,https://images.aqar.fm/webp/750x0/props/007300429_1785594847801.jpg | https://images.aqar.fm/webp/750x0/props/007300420_1785594865931.jpg | https://images.aqar.fm/webp/750x0/props/007300424_1785594865812.jpg | https://images.aqar.fm/webp/750x0/props/007300421_1785594865820.jpg | https://images.aqar.fm/webp/750x0/props/007300424_1785594865928.jpg,5,عبدالرحمن رياض,شركة عنان السحاب العقارية,1,2026-07-04,2026-08-03,2026-08-20,1715,2026-08-23,True,"5,265,000",False,فيلا
6807033,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الريان/شارع-الصرح-حي-الريان-مدينة-الرياض-منطقة-الرياض-6807033,"فيلا للبيع في شارع الصرح, حي الريان, مدينة الرياض, منطقة الرياض",10000000,1250,7,5,2,11,حي الريان,الرياض,شرق الرياض,"للبيع كـــــأرض ⛔️
فلة مكتملة الخدمات
بحي الريان
الارض راس بلك على ثلاثة شوارع
شارع جنوبي عرض (20) متر بطول (50) متر 
شارع شرقي عرض (15) متر بطول (25) متر 
شارع غربي عرض (15) متر بطول (25) متر 
مساحة (1،250) متر مربع
الاطوال (50) في (25) متر
سعر المتر (8،500) ريال
السعي (2،5)٪ على المشتري",24.720169,46.780531,https://images.aqar.fm/webp/750x0/props/015101765_1785928769679.jpg | https://images.aqar.fm/webp/750x0/props/015101761_1785928769884.jpg | https://images.aqar.fm/webp/750x0/props/015101769_1785928769872.jpg | https://images.aqar.fm/webp/750x0/props/015101763_1785928769707.jpg | https://images.aqar.fm/webp/750x0/props/015101769_1785935838058.jpg,5,محمد بن عيسى,,,2026-08-05,2026-08-05,2026-08-05,719,2026-08-23,True,"10,000,000",False,فيلا
6741360,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الريان/شارع-أمية-بن-عون-حي-الريان-مدينة-الرياض-منطقة-الرياض-6741360,"فيلا للبيع في شارع أمية بن عون, حي الريان, مدينة الرياض, منطقة الرياض",7000000,750,,0,0,11,حي الريان,الرياض,شرق الرياض,"فرصه نادرة حي الريان ظهير طريق خريص وبجوار مستشفى الحبيب الريان
ارض زاوية تجاريه سكنيه مساحة ٧٥٠ م شارعين ٣٠ م و٢٠ م 
السعر ٧.٠٠٠.٠٠٠ سبعه مليون ريال",24.722261,46.776543,https://images.aqar.fm/webp/750x0/props/021426312_1782026282618.jpg,1,عبدالعزيز علي,,,2026-06-21,2026-06-21,2026-07-14,872,2026-08-23,True,"7,000,000",False,فيلا
6804793,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الريان/شارع-الجوز-حي-الريان-مدينة-الرياض-منطقة-الرياض-6804793,"فيلا للبيع في شارع الجوز, حي الريان, مدينة الرياض, منطقة الرياض",4000000,660,7,0,0,11,حي الريان,الرياض,شرق الرياض,"للبيع فيلا في موقع مميز في حي الريان
المساحة 660 متر
الأطوال 22 / 30
الواجهة غربية
عرض الشارع 15
الفيلا في موقع متميز وقريبة من الشوارع الرئيسية /
طريق خريص
شارع الإمام الشافعي
شارع الإمام أحمد بن حنبل",24.712473,46.792849,https://images.aqar.fm/webp/750x0/props/013023195_1785802081057.jpg,1,محمد عبدالعزيز,,,2026-08-04,2026-08-04,2026-08-23,257,2026-08-23,True,"4,000,000",False,فيلا
6809991,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الريان/شارع-معاذ-التيمي-حي-الريان-مدينة-الرياض-منطقة-الرياض-6809991,"فيلا للبيع في شارع معاذ التيمي, حي الريان, مدينة الرياض, منطقة الرياض",2800000,300,5,,,11,حي الريان,الرياض,شرق الرياض,"للبيــــــــع فيلا مستخدمة زاوية حي الريان
المساحه ٣٨٨.٥متر 
الواجهه جنوبيه شرقية 
شوارع ١٥متر 
البيـع ٢ مليون و ٨٠٠ الاف 
البيع كاش فقط لوجود رهن ٧٥٠ الاف لي البنك الأهلي 

موقع استراتيجي قريبه من الدائري الشرقي وشارع عنيزة
عمر العقار ٣٢سنه بحاله جيده 
الدور الارضي
غرفة سواق مجلس رجال مع دورة مياه ومغاسل ومجلس نساء مع مغاسل ودورة مياة 
مقلط وصاله عائلية مطبخ رئيسي مستودع 
الدور الاول 
غرفة ماستر مع غرفة ملابس ودورة مياة خاصة +غرفة بدورة مياه 
+٣غرف إضافية ودورة مياه 
وصاله عائلية ملحق خارجي 
السطح
 غرفة كبيره مع مغسله ودورة مياة السطح معزول مائي وحراري
البيــــــــــــــــع ٢ مليون ٨٠٠ الاف 
مباشر مع",24.710392,46.773486,https://images.aqar.fm/webp/750x0/props/045489605_1786066523078.jpg | https://images.aqar.fm/webp/750x0/props/045489604_1786066523126.jpg | https://images.aqar.fm/webp/750x0/props/045489602_1786066523080.jpg | https://images.aqar.fm/webp/750x0/props/045489608_1786066523125.jpg | https://images.aqar.fm/webp/750x0/props/045489609_1786066523126.jpg | https://images.aqar.fm/webp/750x0/props/045489604_1786066523300.jpg,6,بشرى القطان,مؤسسة أملاك نجد العقارية,1,2026-08-07,2026-08-07,2026-08-23,1448,2026-08-23,True,"2,800,000",False,فيلا
