listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6818027,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-السليمانية/شارع-بنبان-حي-السليمانية-الرياض-منطقة-الرياض-6818027,"فيلا للبيع في شارع بنبان, حي السليمانية, مدينة الرياض, منطقة الرياض",3950000,210,5,7,3,0,حي السليمانية,الرياض,شمال الرياض,"فيلا فاخرة للبيع – حي السليمانية | الرياض

تفاصيل الفيلا:
الدور الأرضي:
صالة واسعة
غرفة سفرة
حمام ضيوف
مطبخ رئيسي + مطبخ داخلي صغير
حوش خارجي
الدور الأول:
غرفتا نوم (كل غرفة بحمام خاص)
غرفة ماستر فاخرة + حمام خاص + غرفة ملابس
الدور الثاني:
غرفة نوم بحمام خاص
السطح:
غرفة غسيل + مستودع
غرفة عاملة بحمام مستقل
جلسة خارجية (تراس)
غرفة معدات مستقلة
البيسمنت:
صالة
حمام
غرفة جيم
مطبخ صغير
حديقة خارجية مصغرة
إضافات:
غرفة سائق بحمام خاص
غرفة كاميرات مراقبة
المميزات:
تصميم عصري وفاخر
مساحات واسعة وتقسيم مثالي للعائلة
موقع مميز في حي السليمانية
توفر جميع الخدمات في الحي",24.704278421294372,46.69719442540211,https://images.aqar.fm/webp/750x0/props/022116959_1786522829191.jpg | https://images.aqar.fm/webp/750x0/props/022116953_1786522825839.jpg | https://images.aqar.fm/webp/750x0/props/022116954_1786522837983.jpg | https://images.aqar.fm/webp/750x0/props/022116954_1786522835394.jpg | https://images.aqar.fm/webp/750x0/props/022116953_1786522841055.jpg,5,اياد رضا,,,2026-08-12,2026-08-12,2026-08-12,138,2026-08-23,True,"3,950,000",False,فيلا
6598301,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-السليمانية/شارع-وادي-الجناح-حي-السليمانية-مدينة-الرياض-منطقة-الرياض-6598301,"فيلا للبيع في شارع وادي الجناح, حي السليمانية, مدينة الرياض, منطقة الرياض",4800000,450,5,1,0,0,حي السليمانية,الرياض,شمال الرياض,"فيلا للبيع حي السليمانية
زاوية 
شارع 20 م غربي 
شارع 20 م شمالي 
فيلا رقم 1 
المساحه 400 م 
فيها قبو 
الدور الارضي استقبال بالكامل مدخل سيارة حوش غرفه سائق غرفه خادمه مجلس مقلط مسبح بدون مياة 
صالون كبير مطبخ وطعام مع دورة مياه 
الدور الأول 
3 غرف نوم وصاله معيشة كبيره 
السطح 
غرفة نوم مع غرفة جلوس كبيره 
بدورة مياة",24.710231,46.687595,,,بشرى عبدالكريم,مؤسسة بيت الحكمة للخدمات العقارية,1,2026-02-20,2026-06-14,2026-08-10,479,2026-08-23,True,"4,800,000",False,فيلا
6686661,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-السليمانية/شارع-بلجرشي-حي-السليمانية-مدينة-الرياض-منطقة-الرياض-6686661,"فيلا للبيع في شارع بلجرشي, حي السليمانية, مدينة الرياض, منطقة الرياض",6500000,664,6,,,11,حي السليمانية,الرياض,شمال الرياض,": للبيع فيلا  
: بحي السليمانيه 
: زاويه جنوبيه غربيه 
: مساحه 664 م 
: شارع 15 جنوبي 
: شارع 15 غربي 
: الاطوال 25 × 26 
: عليها رهن مليون 
: مخطط رقم 689
:  قطعه رقم 156 /2 

https://maps.app.goo.gl/QsnBBzNTSGid7cAQ8?g_st=aw",24.694477,46.70286,https://images.aqar.fm/webp/750x0/props/027062560_1778159589195.jpg,1,محمد ال دغيش,مؤسسة مكتب ابراج النهضه للعقارات,1,2026-05-07,2026-08-02,2026-08-16,605,2026-08-23,True,"6,500,000",False,فيلا
6827758,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-السليمانية/شارع-طه-حسين-حي-السليمانية-مدينة-الرياض-منطقة-الرياض-6827758,"فيلا للبيع في شارع طه حسين, حي السليمانية, مدينة الرياض, منطقة الرياض",3700000,313,4,5,2,0,حي السليمانية,الرياض,شمال الرياض,"عندك عقار تبي تعرضه للبيـــــــــــع او الايجار تواصل معنا 

للبيـــــــــــع فيلا زاوية بحى السليمانية 
مساحة ٣١٣ م 
شوارع جنوبي شرقي 
شارع ٢٠ م و ١٥ م 
البيـــع ٣ مليون ٧٠٠ الف 

أسلوب حياة استثنائي في حي السليمانية، الرياض مشروع فاخر يضم 20 وحدة تاون هاوس فاخرة من
مؤثثة بالكامل بأثاث وديكورات فائقة الجودة، مع نظام ذي، وأعمال خشبية راقية، وغيرها من المزايا مواقف سيارات خاصة تحت الأرض، بواقع موقفين لكل
وحدة
نظام تحكم ذكي بالمنزل، يشمل التحكم بالإضاءة والتكييف مع إمكانية توسعة النظام أمن وحراسة على مدار الساعة، ونظام تكييف سبليت
مخفي
غرفة للسائق وغرفة تخزين مرافق حصرية للصحة والاسترخاء تشمل صالة رياضية ومسبحا، وساونا، وغرفة بخار، ومسارات للمشي",24.697469,46.698243,https://images.aqar.fm/webp/750x0/props/039130132_1786987950681.jpg | https://images.aqar.fm/webp/750x0/props/039130139_1786987950726.jpg | https://images.aqar.fm/webp/750x0/props/039130138_1786987950682.jpg | https://images.aqar.fm/webp/750x0/props/054482006_1786996545840.jpg | https://images.aqar.fm/webp/750x0/props/039130138_1786987950684.jpg | https://images.aqar.fm/webp/750x0/props/039130136_1786987957131.jpg | https://images.aqar.fm/webp/750x0/props/054482001_1786996545755.jpg | https://images.aqar.fm/webp/750x0/props/054482008_1786996545787.jpg | https://images.aqar.fm/webp/750x0/props/054482007_1786996545946.jpg | https://images.aqar.fm/webp/750x0/props/039130136_1786987950676.jpg,10,صالح ناصر محمد القبيسي,مكتب عون التمكين العقاري,1,2026-08-17,2026-08-17,2026-08-22,183,2026-08-23,True,"3,700,000",False,فيلا
6723978,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-السليمانية/حي-السليمانية-مدينة-الرياض-منطقة-الرياض-6723978,"فيلا للبيع في حي السليمانية, مدينة الرياض, منطقة الرياض",3374000,44971,5,0,0,0,حي السليمانية,الرياض,شمال الرياض,"📍 مشروع فلل – كمباوند جزيل الماجدية 
 
موقع استراتيجي في قلب السليمانية 📍
📌 قريب من أهم الوجهات الحيوية:
 • ⏱ 8 دقائق من مكتبة الملك فهد 
 • ⏱ 8 دقائق من برج الفيصلية
 • 📍  6 دقائق عن طريق الملك عبد العزيز 
 • 🚊 7 دقائق عن محطة المترو 


🏡 مميزات كل وحدة:
 • 4 غرف نوم ماستر
 • غرفة سائق
 • مساحات خاصة
 • مصعد راكب
 • ضمانات 
 • عداد كهرباء وماء مستقل

💰 الأسعار والمساحات:
 • الفلل تبدّا 
📐 461 م² – 💵 3،374،000

*الاسعار شامل السعي✨*

📞 للتفاصيل أو حجز زيارة، تواصل معنا مباشرة",24.697423,46.700448,,,عبدالعزيز الجلعود,شركة راكز العقارية شركة شخص واحد,1,2026-06-08,2026-08-05,2026-08-05,1504,2026-08-23,True,"3,374,000",False,فيلا
6632986,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-السليمانية/شارع-أبي-العباس-الحرار-حي-السليمانية-مدينة-الرياض-منطقة-الرياض-6632986,"فيلا للبيع في شارع أبي العباس الحرار, حي السليمانية, مدينة الرياض, منطقة الرياض",3375000,400,6,5,3,11,حي السليمانية,الرياض,شمال الرياض,"للببع فيلا 3 أدوار
بحي السليمانية
المساحة 400 متر
الأطوال ٢٠×٢٠ متر
شارع ١٥م شمالي
عدد 6 غرف نوم
عدد 5 دورات مياه
غرفة خارجي
ملحق علوي عدة غرف
كراج خاص
حوش كبير
موقع مميز بالجهة المقابلة لمدينة الأمير سلطان الطبية
الفيلا مرممه بالكامل.
مؤجره حالياً بعقد سنوي.
قيمة البيع 3.800.000 ريال.",24.696479,46.711755,https://images.aqar.fm/webp/750x0/props/047606391_1774653206812.jpg | https://images.aqar.fm/webp/750x0/props/047606395_1774653212348.jpg | https://images.aqar.fm/webp/750x0/props/047606390_1774653220474.jpg | https://images.aqar.fm/webp/750x0/props/047606397_1774653229357.jpg,4,فيصل محمد,مكتب مدائن اسيا للعقارات,1,2026-03-27,2026-03-27,2026-08-19,1033,2026-08-23,True,"3,375,000",False,فيلا
6673922,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-السليمانية/شارع-ابن-الرومي-حي-السليمانية-مدينة-الرياض-منطقة-الرياض-6673922,"فيلا للبيع في شارع ابن الرومي, حي السليمانية, مدينة الرياض, منطقة الرياض",3400000,450,5,0,0,11,حي السليمانية,الرياض,شمال الرياض,"للبيع فيلا قديمة قيمة أرض 
المساحة : 450م زاوية 
الشوارع : 15 شمالي 15 غربي 
الأطوال : 18*25",24.693208,46.710192,https://images.aqar.fm/webp/750x0/props/000357943_1777399624180.jpg | https://images.aqar.fm/webp/750x0/props/000357946_1777399623847.jpg,2,بسام ابراهيم حسن أبوحيمد,مكتب منصة للخدمات العقارية,1,2026-04-28,2026-07-25,2026-08-23,633,2026-08-23,True,"3,400,000",False,فيلا
6560172,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-السليمانية/شارع-أبي-مسعود-البدري-حي-السليمانية-مدينة-الرياض-منطقة-الرياض-6560172,"فيلا للبيع في شارع أبي مسعود البدري, حي السليمانية, مدينة الرياض, منطقة الرياض",2800000,239,,,2,11,حي السليمانية,الرياض,شمال الرياض,فيلا تتكون من 4 أدوار دور قبو به صالة ومسبح وحمام الدور الأرضي مجلس و صالة و مطبخ وحمام و غرفة سائق ومدخل جراج الدور الأول علوي 4 غرف مستر والدور الأخير غرفة مستر كبير ونراس مع جلسة,24.703672,46.704577,https://images.aqar.fm/webp/750x0/props/049786625_1769272316468.jpg,1,منيره مشهور,شركة تايمز يونايتد,1,2026-01-24,2026-02-08,2026-08-23,4162,2026-08-23,True,"2,800,000",False,فيلا
6562765,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-السليمانية/شارع-عوف-بن-قاسط-حي-السليمانية-مدينة-الرياض-منطقة-الرياض-6562765,"فيلا للبيع في شارع عوف بن قاسط, حي السليمانية, مدينة الرياض, منطقة الرياض",3500000,450,4,1,0,11,حي السليمانية,الرياض,شمال الرياض,"للبيع فيلا بقيمه ارض بحى السليمانيه 
المساحه ٤٥٠ متر
الطوال ٢٥ × ١٨ م
الشارع ١٥ شمالى 
الشارع ١٥ غربى 
البيع 3 مليون و 200 الف  على شور
مباشر مع الوكيل

الموقع


https://goo.gl/maps/Xstk7s56ZDMA",24.68229,46.704993,https://images.aqar.fm/webp/750x0/props/029757895_1781385940453.jpg,1,علي احمد,شركة زياد البركة العقارية,1,2026-01-26,2026-08-17,2026-08-18,2855,2026-08-23,True,"3,500,000",False,فيلا
6807556,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-السليمانية/شارع-أبي-السعود-القسطلاني-حي-السليمانية-مدينة-الرياض-منطقة-الرياض-6807556,"فيلا للبيع في شارع أبي السعود القسطلاني, حي السليمانية, مدينة الرياض, منطقة الرياض",5000000,312,5,,,11,حي السليمانية,الرياض,شمال الرياض,"للبيــــــــع فلتين متظاهرات 
حي السليمانية شمال التحلية 
موقع استراتيجي مميز جدا 

المساحه كامله ٦٠٠ متر 
الواجهة شرقية شارع ١٢م
غربيه شارع ١٠م

تم ترميمهم بالكامل 
  تم ترميمها وإعادة تشطيبها بالكامل
الفيلا الأمامية عبارة عن ادوار مستقله 
الفيلا الخلفيه مستقله بالكامل.
كل دور وفيلا لهم كراج سياره و حوش وغرفة سائق وشغاله 
حالياً مؤجرات جميع الوحدات ب٣٤٠ الف سنوي

حد البيـع ٥مليون ع الشور 
الفلتين بصك واحد",24.683817,46.703938,,,بشرى القطان,مؤسسة أملاك نجد العقارية,1,2026-08-05,2026-08-05,2026-08-23,77,2026-08-23,True,"5,000,000",False,فيلا
6583296,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-السليمانية/شارع-أمرؤ-القيس-حي-السليمانية-مدينة-الرياض-منطقة-الرياض-6583296,"فيلا للبيع في شارع أمرؤ القيس, حي السليمانية, مدينة الرياض, منطقة الرياض",5000000,520,,5,2,8,حي السليمانية,الرياض,شمال الرياض,,24.718843,46.692519,,,عيد عبدالله,شركة بيجويجز العقارية,1,2026-02-09,2026-08-03,2026-08-16,1029,2026-08-23,True,"5,000,000",False,فيلا
6698355,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-السليمانية/شارع-بنبان-حي-السليمانية-مدينة-الرياض-منطقة-الرياض-6698355,"فيلا للبيع في شارع بنبان, حي السليمانية, مدينة الرياض, منطقة الرياض",3600000,210,6,3,1,0,حي السليمانية,الرياض,شمال الرياض,"فيلا للبيع بحي السليمانية 


المساحة 210 

الدور الارضي 
مجلس وصاله ومطبخ 

القبو مع دورة مياه وجلسه خارجيه بالقبو وغرفة سائق وغرفة مستودع  
الدور الارضي 
مجلس صالة طعام مطبخ داخلي وخارجي 
الدور الاول 
ثلاث غرف وكل غرفة دورة مياه وصاله 
الدور الثاني السطح 
غرفة عامله صالة نادي رياضي 
غرفة غسيل مستودع 
جلسة سطح خارجيه

للتواصل
خالد",24.7043,46.697183,https://images.aqar.fm/webp/750x0/props/008514662_1778855418714.jpg | https://images.aqar.fm/webp/750x0/props/008514669_1778855509721.jpg | https://images.aqar.fm/webp/750x0/props/008514662_1778855509811.jpg | https://images.aqar.fm/webp/750x0/props/008514660_1778855509731.jpg | https://images.aqar.fm/webp/750x0/props/008514667_1778855509800.jpg | https://images.aqar.fm/webp/750x0/props/008514668_1778855509788.jpg | https://images.aqar.fm/webp/750x0/props/008514666_1778855509800.jpg | https://images.aqar.fm/webp/750x0/props/008514668_1778855509821.jpg | https://images.aqar.fm/webp/750x0/props/008514669_1778855509805.jpg | https://images.aqar.fm/webp/750x0/props/008514660_1778855524385.jpg | https://images.aqar.fm/webp/750x0/props/008514662_1778855524378.jpg | https://images.aqar.fm/webp/750x0/props/008514663_1778855524401.jpg | https://images.aqar.fm/webp/750x0/props/008514664_1778855524373.jpg | https://images.aqar.fm/webp/750x0/props/008514663_1778855524385.jpg,14,ناصر محمد عبدالله السلامه,مكتب ناصر محمد عبدالله السلامه للعقارات,1,2026-05-15,2026-08-13,2026-08-21,502,2026-08-23,True,"3,600,000",False,فيلا
