listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6556266,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي/شارع-ابن-الحبيق-حي-السويدي-مدينة-الرياض-منطقة-الرياض-6556266,"فيلا للبيع في شارع ابن الحبيق, حي السويدي, مدينة الرياض, منطقة الرياض",850000,157,1,4,2,0,حي السويدي,الرياض,غرب الرياض,"بسم الله الرحمن الرحيم
نقدّم لكم عرض اليوم
تاون هاوس نظام دورين  حى السويدى✨

📐 مساحة الأرض: 250 م
🏗 مسطح البناء: 194 م
💰 السعر: 800الف ريال

التفاصيل:
مجلس رجال
صالة
مطبخ
3 غرف نوم (منها غرفة ماستر) 🏡🏡
صالة علوية
بلكونة
مدخل سيارة خاص 🚗

✅ يوجد جميع الضمانات اللازمة
✅ شهادة إشراف هندسي
✅ متوفر جميع التسهيلات البنكية

عرض مميز ومناسب للسكن العائلي 💯
للتواصل والاستفسار/ ((ابو فيصل))",24.58134,46.659406,https://images.aqar.fm/webp/750x0/props/042529648_1775026518286.jpg | https://images.aqar.fm/webp/750x0/props/042529649_1775026468195.jpg | https://images.aqar.fm/webp/750x0/props/042529647_1775026467287.jpg | https://images.aqar.fm/webp/750x0/props/042529641_1775026467333.jpg | https://images.aqar.fm/webp/750x0/props/042529649_1775026467480.jpg | https://images.aqar.fm/webp/750x0/props/042529646_1775026467614.jpg | https://images.aqar.fm/webp/750x0/props/042529645_1775026467690.jpg | https://images.aqar.fm/webp/750x0/props/042529647_1775026467807.jpg | https://images.aqar.fm/webp/750x0/props/042529645_1775026468193.jpg | https://images.aqar.fm/webp/750x0/props/042529646_1775026468194.jpg | https://images.aqar.fm/webp/750x0/props/042529640_1775026468316.jpg | https://images.aqar.fm/webp/750x0/props/042529641_1775026468436.jpg | https://images.aqar.fm/webp/750x0/props/042529644_1775026468559.jpg | https://images.aqar.fm/webp/750x0/props/042529649_1775026468677.jpg | https://images.aqar.fm/webp/750x0/props/042529642_1775026468791.jpg,15,مشاعل دعيرم بن جربوع العتيبي,مؤسسة مكتب بداية جديدة للخدمات العقارية,1,2026-01-21,2026-01-21,2026-08-23,3528,2026-08-23,True,"850,000",False,فيلا
6416269,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي/شارع-ابن-نجيم-حي-السويدي-مدينة-الرياض-منطقة-الرياض-6416269,"فيلا للبيع في شارع ابن نجيم, حي السويدي, مدينة الرياض, منطقة الرياض",830000,211,4,5,2,0,حي السويدي,الرياض,غرب الرياض,"✨ بسم الله الرحمن الرحيم ✨
  تاون هاوس علوى زاويه على شارعين 
📍 حي السويدي العام – شارع عرض 15م
🧭 واجهة شرقية جنوبية
📌 موقع مميز جداً على شارع عائشة بنت أبي بكر، قريب من جميع الخدمات الحيوية.
مدخل سياره ومجلس رجال وصاله ومطبخ 
درج صاله 
3 غرف منهم غرفه ماستر 
والسطح

🛡️ تتوفر جميع الضمانات اللازمة على العقار
 لتسهيل تملكك للعقار بأفضل الشروط.

📞 للتواصل والاستفسار/ ((ابو فيصل))",24.579802,46.66118,https://images.aqar.fm/webp/750x0/props/042529649_1768290081339.jpg | https://images.aqar.fm/webp/750x0/props/042529648_1770721420477.jpg | https://images.aqar.fm/webp/750x0/props/042529646_1762040650759.jpg | https://images.aqar.fm/webp/750x0/props/042529646_1768290081061.jpg | https://images.aqar.fm/webp/750x0/props/042529646_1770373771389.jpg | https://images.aqar.fm/webp/750x0/props/042529646_1770373771523.jpg | https://images.aqar.fm/webp/750x0/props/042529640_1770373771646.jpg | https://images.aqar.fm/webp/750x0/props/042529641_1770373771730.jpg | https://images.aqar.fm/webp/750x0/props/042529642_1770373771839.jpg | https://images.aqar.fm/webp/750x0/props/042529640_1770373771940.jpg | https://images.aqar.fm/webp/750x0/props/042529640_1770373772071.jpg | https://images.aqar.fm/webp/750x0/props/042529645_1770373772149.jpg | https://images.aqar.fm/webp/750x0/props/042529645_1770373772250.jpg | https://images.aqar.fm/webp/750x0/props/042529641_1770373772346.jpg | https://images.aqar.fm/webp/750x0/props/042529646_1770373772475.jpg | https://images.aqar.fm/webp/750x0/props/042529649_1770373772511.jpg | https://images.aqar.fm/webp/750x0/props/042529649_1770373772669.jpg,17,مشاعل دعيرم بن جربوع العتيبي,مؤسسة مكتب بداية جديدة للخدمات العقارية,1,2025-10-09,2025-10-09,2026-08-23,9400,2026-08-23,True,"830,000",False,فيلا
6413212,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي/شارع-السلوي-حي-السويدي-مدينة-الرياض-منطقة-الرياض-6413212,"فيلا للبيع في شارع السلوي, حي السويدي, مدينة الرياض, منطقة الرياض",1000000,223,,5,2,11,حي السويدي,الرياض,غرب الرياض,"فله دبلكس للبيع حي السويدي  المساحه 227م
دورين درج صاله وملحق  مؤثثه مكيفه ومطابخ
البيع مع الاثاث 
شارع 15م جنوباً

العمر 25 سنه
موقع قريب من جميع الخدمات مجمع المدارس من الروضه وحتئ الثانويه بنات 
عليه صندوق تجاري 370  ألف  البيع شامل البنك شامل الاثاث 
مليون",24.59257,46.659608,https://images.aqar.fm/webp/750x0/props/013794331_1759767461373.jpg | https://images.aqar.fm/webp/750x0/props/013794334_1759767461378.jpg | https://images.aqar.fm/webp/750x0/props/013794337_1759767461365.jpg | https://images.aqar.fm/webp/750x0/props/013794332_1759767461428.jpg | https://images.aqar.fm/webp/750x0/props/013794330_1759767461373.jpg | https://images.aqar.fm/webp/750x0/props/013794334_1759767461364.jpg,6,عبدالله الشهري,مؤسسة صرح الإبداع للعقارات,1,2025-10-06,2026-08-08,2026-08-22,2780,2026-08-23,True,"1,000,000",False,فيلا
6454720,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي/شارع-دار-النصر-حي-السويدي-مدينة-الرياض-منطقة-الرياض-6454720,"فيلا للبيع في شارع دار النصر, حي السويدي, مدينة الرياض, منطقة الرياض",870000,157,4,,,0,حي السويدي,الرياض,غرب الرياض,"السلام عليكم ورحمة الله وبركاته 
مكتب بداية.. حيث تجد الاحترافية، الأمانة، وأفضل الفرص.
🏡 ""دور على بيت العمر؟ لقينالك عقار بمواصفات تحلم بيها وسعر يناسبك… شوف التفاصيل قبل ما يفوتك العرض!""
تاون هاوس 
تاون هاوس علوى حى السويدى
 على شارع عائشه بنت ابى بكر 
السعر 870000
شارع 15م 
يتكون من
مدخل سياره ومجلس رجال وصاله ومطبخ 
الدور الثانى صاله و3 غرف والسطح 


شغل شخصي ممتاز جدا عليها جميع الضمانات الازمه من كهرباء وعوازل وعليها شهاده اشراف هندسي ولعملاءنا الكرام جميع التسهيلات التمويليه والعقاريه وشهاده اتمام البناء موجوده 
🏢 مكتب بداية للتسويق العقاري
بداية النجاح في عالم العقار تبدأ من هنا.
خبرة.. مصداقية.. ونتائج تتحدث عن نفسها.
وجهتك الأولى للبحث عن بيت العمر أو الاستثمار المثالي
📞 للتواصل ومعاينة العقار: 0504296232
مكتب بداية للتسويق العقاري – خبرة ومصداقية في خدمتكم",24.58074,46.661895,https://images.aqar.fm/webp/750x0/props/012354210_1762340661094.jpg | https://images.aqar.fm/webp/750x0/props/012354211_1762340660427.jpg | https://images.aqar.fm/webp/750x0/props/012354219_1762340660458.jpg | https://images.aqar.fm/webp/750x0/props/012354218_1762340660495.jpg | https://images.aqar.fm/webp/750x0/props/012354218_1762340660577.jpg | https://images.aqar.fm/webp/750x0/props/012354216_1762340660692.jpg | https://images.aqar.fm/webp/750x0/props/012354219_1762340660833.jpg | https://images.aqar.fm/webp/750x0/props/012354214_1762340660969.jpg,8,مشاعل دعيرم بن جربوع العتيبي,مؤسسة مكتب بداية جديدة للخدمات العقارية,1,2025-11-05,2026-08-01,2026-08-01,1840,2026-08-23,True,"870,000",False,فيلا
6789992,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي/شارع-الحصن-حي-السويدي-مدينة-الرياض-منطقة-الرياض-6789992,"فيلا للبيع في شارع الحصن, حي السويدي, مدينة الرياض, منطقة الرياض",1100000,440,6,5,2,11,حي السويدي,الرياض,غرب الرياض,فله سكنيه للبيع على ارض مساحتها 440 متزا مربعا تقع في موقع هادي ومميز داخلي سكني عرضها 22 -20 عل شارع 10 مناسبه للسكن بعد الترميم أو أعاده البناء والاستثمار وعلى حسب قوانين البلديه فهي صالحه لاعاده بناء بوحدات متلاصقه والحي به وحدات جديده وتحتوي على عده غرقف ومجالس مدورات مياه مع حوش ومواقف سيارات مع مطبخ خارجي بمستودع ودوره مياه,24.583217,46.658189,https://images.aqar.fm/webp/750x0/props/038355155_1785006784204.jpg | https://images.aqar.fm/webp/750x0/props/038355155_1785006784199.jpg | https://images.aqar.fm/webp/750x0/props/038355157_1785006784185.jpg | https://images.aqar.fm/webp/750x0/props/038355150_1785006784213.jpg | https://images.aqar.fm/webp/750x0/props/038355152_1785006784198.jpg,5,هيثم عبدالرحمن صالح الربيعان,,,2026-07-25,2026-07-25,2026-07-26,784,2026-08-23,True,"1,100,000",False,فيلا
6426985,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي/شارع-ابن-عليم-حي-السويدي-مدينة-الرياض-منطقة-الرياض-6426985,"فيلا للبيع في شارع ابن عليم, حي السويدي, مدينة الرياض, منطقة الرياض",1350000,200,4,,,0,حي السويدي,الرياض,غرب الرياض,"¬النوع | دبلكسات (مؤسس مصعد)

¬المساحات | ٢٠٠م

¬الأسعار | مليون و٣٥٠ ألف ""قابل للتفاوض""

¬الواجهة | جنوبية

¬الشارع | ١٥م

¬الحي | السويدي


خدماتنا/
- توفير دفعة أولى وسداد للالتزامات بدون فوائد

- متابعة المعاملة مع جميع الجهات ذات العلاقة حتى الافراغ

- توفير محتسب من البنوك وشركات التمويل لسهولة المقارنة بينهم وتحديد جهة التمويل الأفضل

- توفير الفائض


تفاصيل العقار/
(مؤسس مصعد)
الدور الارضي: مدخل سيارة مجلس مقلط صالة مطبخ دورتين مياه وارتداد خلفي 
الدور الاول: صالة و٤ غرف نوم (١ ماستر) ودورة مياه 
الدور الثاني: غرفتين ودورة مياه وغرفة غسيل وسطحين 

(لمزيد من التفاصيل تواصل معنا)
(نستقبل عروضكم وعقاراتكم وتسويقها من قبل فريق متكامل)",24.591116,46.664251,https://images.aqar.fm/webp/750x0/props/013399194_1760625801635.jpg,1,عبدالرحمن محمد,مؤسسة ديار لتسويق العقاري,1,2025-10-16,2025-10-16,2026-08-23,633,2026-08-23,True,"1,350,000",False,فيلا
6663508,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي/شارع-عجلون-حي-السويدي-مدينة-الرياض-منطقة-الرياض-6663508,"فيلا للبيع في شارع عجلون, حي السويدي, مدينة الرياض, منطقة الرياض",1150000,394,6,4,3,0,حي السويدي,الرياض,غرب الرياض,"دوبلكسات  للبيع

المواصفات 
حي السويدي الزهره مساحه 200 م شارع 10 م جنوبيه
 
تتكون من مدخل سياره مجلس رجال مقلط صاله مطبخ غرفه كبار السن ارتداد خلفي

الدور الاول

 صاله و3 غرف منهم غرفه ماستر وصاله

الثاني 

غرفه وصاله وسطح امامي وخلفي

المميزات 
قريبه من جميع الخدمات 
جميع الضمانات",24.584377,46.657855,https://images.aqar.fm/webp/750x0/props/044888088_1776729006443.jpg,1,تحفه مبارك جديع العتيبي,مكتب دانة العز للخدمات العقارية,1,2026-04-20,2026-06-18,2026-08-23,1021,2026-08-23,True,"1,150,000",False,فيلا
6658935,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي/شارع-عبدالملك-بن-هشام-حي-السويدي-مدينة-الرياض-منطقة-الرياض-6658935,"فيلا للبيع في شارع عبدالملك بن هشام, حي السويدي, مدينة الرياض, منطقة الرياض",1000000,250,,1,0,6,حي السويدي,الرياض,غرب الرياض,"فيلا للبيع 
دورين مفصولة 
٣ وحدات
٣ عدادات
٢٥٠ م
مقابل وادي مطور بالهوية الجديدة
واجهه شمالية 

كل دور ٤ غرف 
صالة 
حمامين 
مطبخ

السعر ١ مليون ريال صافي
للتسويق والمبيعات 
شركة عبدالمحسن بن محارب العقارية 
((الرقم يظهر عند الضغط على اتصال))
920022022",24.599677,46.663738,https://images.aqar.fm/webp/750x0/props/034631187_1787141056422.jpg,1,عبدالمحسن بن محارب,شركة عبدالمحسن عبدالرحمن بن محارب العقارية,1,2026-04-17,2026-08-12,2026-08-19,1282,2026-08-23,True,"1,000,000",False,فيلا
6819087,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي/شارع-عياض-اليحصبي-حي-السويدي-مدينة-الرياض-منطقة-الرياض-6819087,"فيلا للبيع في شارع عياض اليحصبي, حي السويدي, مدينة الرياض, منطقة الرياض",1800000,529,,0,0,11,حي السويدي,الرياض,غرب الرياض,"*فيلا دورين للبيع بحي السويدي*
*_____________________________*
مساحة الارض: 529
عمر العقار: اكثر من 30 سنه
واجهة العقار: على ثلاثة شوارع

عرض الشارع: 15 و يعتبر راس بلك 15 في 15 و ميدان مسموح فيه فتح باب مستقل


*تفاصيل الفيلا*
 
*الدور الاول*
عداد مستقل
٣ غرف 
مجلس
صاله 
دورتين مياه  
ويوجد ملحق متكامل بدورة مياه و مطبخ بمساحة 4*8
وملحق ارضي آخر ( مشب ) بمساحة ٣×٣ مع دورة مياه
مكيفات راكبه

*الدور الثاني*
عداد مستقل
٣ غرف 
مجلس
صاله 
دورتين مياه  
مكيفات راكبه
الدور الارضي فاضي والعلوي خلال شهر راح يفضى..

بالقرب من شارع عائشة رضي الله عنها و قريبه من الخدمات الحيوية ويمكن استثمار العقار وتقسيمه ل 6 وحدات 

للتواصل والمعاينه الاتصال او واتس على الرقم
:((الرقم يظهر عند الضغط على اتصال))

*مكتب ادارة و إنجاز للخدمات العقارية*",24.592468,46.658734,https://images.aqar.fm/webp/750x0/props/022110392_1786632755226.jpg | https://images.aqar.fm/webp/750x0/props/022110393_1786632755221.jpg | https://images.aqar.fm/webp/750x0/props/022110397_1786632755215.jpg | https://images.aqar.fm/webp/750x0/props/022110399_1786632755228.jpg | https://images.aqar.fm/webp/750x0/props/022110393_1786632755220.jpg | https://images.aqar.fm/webp/750x0/props/022110396_1786632755220.jpg | https://images.aqar.fm/webp/750x0/props/022110395_1786632755222.jpg | https://images.aqar.fm/webp/750x0/props/022110395_1786632755216.jpg,8,علي سعيد بن علي الغامدي,مكتب إدارة وانجاز للعقارات,1,2026-08-12,2026-08-12,2026-08-20,246,2026-08-23,True,"1,800,000",False,فيلا
6591238,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي/شارع-باب-الشام-حي-السويدي-مدينة-الرياض-منطقة-الرياض-6591238,"فيلا للبيع في شارع باب الشام, حي السويدي, مدينة الرياض, منطقة الرياض",910000,215,5,4,1,0,حي السويدي,الرياض,غرب الرياض,"دور أرضي مكون من 4 غرف نوم
مجلس 
صالة
و4 دورات مياه
وحوش واسع
من المالك مباشرة

سمارت هوم من شركة فيتك
دخول ذكي
بوابة كراج

ضمانات على الأساسات والتشطيبات الظاهرة والخفية

خدماتنا تسديد مديونيات 
والتعامل مع البنوك
من المالك مباشرة

السعر قابل للتفاوض",24.58244,46.658229,https://images.aqar.fm/webp/750x0/props/032429836_1771164412555.jpg | https://images.aqar.fm/webp/750x0/props/032429830_1771164412553.jpg | https://images.aqar.fm/webp/750x0/props/032429837_1771164412554.jpg | https://images.aqar.fm/webp/750x0/props/032429831_1771164412543.jpg | https://images.aqar.fm/webp/750x0/props/032429833_1771164412559.jpg | https://images.aqar.fm/webp/750x0/props/032429830_1771164412559.jpg | https://images.aqar.fm/webp/750x0/props/032429837_1771164412555.jpg,7,فهد سعود محمد ابونيان,,,2026-02-15,2026-08-17,2026-08-23,1501,2026-08-23,True,"910,000",False,فيلا
