listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6750921,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي-الغربي/شارع-أحمد-الأنصاري-حي-السويدي-الغربي-مدينة-الرياض-منطقة-الرياض-6750921,"فيلا للبيع في شارع أحمد الأنصاري, حي السويدي الغربي, مدينة الرياض, منطقة الرياض",1200000,215,3,0,0,0,حي السويدي الغربي,الرياض,غرب الرياض,,24.571915,46.632219,https://images.aqar.fm/webp/750x0/props/046734673_1782645674222.jpg | https://images.aqar.fm/webp/750x0/props/046734674_1782645674178.jpg | https://images.aqar.fm/webp/750x0/props/046734670_1782645674221.jpg | https://images.aqar.fm/webp/750x0/props/046734676_1782645674239.jpg,4,عبدالعزيز سعد بن ناصر الموسى,شركة عبدالعزيز سعد الموسى للتطوير والاستثمار العقاري,1,2026-06-28,2026-07-27,2026-08-16,1423,2026-08-23,True,"1,200,000",False,فيلا
6410555,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي-الغربي/شارع-سعد-بن-المنذر-حي-السويدي-الغربي-مدينة-الرياض-منطقة-الرياض-6410555,"فيلا للبيع في شارع سعد بن المنذر, حي السويدي الغربي, مدينة الرياض, منطقة الرياض",863000,150,5,5,2,0,حي السويدي الغربي,الرياض,غرب الرياض,"للبيع تاون هاوس علوي حي السويدي الغربي
السعر 830 ألف 

ولدينا سداد المديونيات وحلول الدفعه تمويليه ميسره ونتعامل معا جميع الشركات الخاصه البنوك ولدينا جميع العروض وبأقل الأسعار 11",24.573382,46.633531,https://images.aqar.fm/webp/750x0/props/040820588_1759609908081.jpg | https://images.aqar.fm/webp/750x0/props/040820589_1759609908291.jpg | https://images.aqar.fm/webp/750x0/props/040820585_1759610072896.jpg | https://images.aqar.fm/webp/750x0/props/040820588_1759610073183.jpg | https://images.aqar.fm/webp/750x0/props/040820584_1759610073334.jpg | https://images.aqar.fm/webp/750x0/props/040820581_1759610073563.jpg | https://images.aqar.fm/webp/750x0/props/040820586_1759610073788.jpg | https://images.aqar.fm/webp/750x0/props/040820586_1759610074354.jpg | https://images.aqar.fm/webp/750x0/props/040820585_1759610074428.jpg | https://images.aqar.fm/webp/750x0/props/040820582_1759610074554.jpg,10,فايز مصلح,مؤسسة فايز مصلح المطيري,1,2025-10-04,2025-10-04,2026-08-20,3322,2026-08-23,True,"863,000",False,فيلا
6682200,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي-الغربي/شارع-ممر77-حي-السويدي-الغربي-مدينة-الرياض-منطقة-الرياض-6682200,"فيلا للبيع في شارع ممر77, حي السويدي الغربي, مدينة الرياض, منطقة الرياض",2150000,600,,5,2,11,حي السويدي الغربي,الرياض,غرب الرياض,"فيلا قديمة للبيع (بقيمة أرض) على 3 شوارع – فرصة تطوير عقاري مميزة

📍 الموقع: حي السويدي الغربي – مدينة الرياض
📍 رقم القطعة: 885
📍 رقم المخطط: 1638/ج

🔹 المساحة: 600 م²
🔹 الأبعاد: 20 م × 30 م
🔹 بثلاث واجهات (ميزة نادرة في السوق)

الحدود:

* ممر جنوبي 8 م
* شارع 12 م
* ممر غربي 8 م

⸻

🔸 العقار يُعرض كأرض تطويرية (فيلا قديمة قابلة للإزالة)
🔸 مناسب للمطورين بتصاميم مختلفه

⸻

مميزات الموقع الاستثمارية:

* مقابل مسجد مباشرة 🕌
* وجود مواقف عامة أمام الموقع 🚗
* موقع داخل حي السويدي الغربي أحد الأحياء النشطة في مدينة الرياض
* قرب محطة مترو 🚇
* سهولة الوصول للطرق الرئيسية والخدمات

⸻

لماذا هذه الفرصة؟

* أرض بثلاث واجهات تعطي مرونة عالية في التصميم والتقسيم
* موقع حيوي يعزز الطلب السكني والاستثماري
* مناسبة لتطوير مشروع سكني (فلل – دبلكسات – وحدات استثمارية)
* قيمة مستقبلية متوقعة مع اكتمال مشاريع البنية الفوقية القريبة

⸻

فرصة قوية للمطورين الباحثين عن موقع جاهز لإعادة التطوير في قلب منطقة نامية.

⸻
 للاستفسارات والمساعدة:
عبدالعزيز : ((الرقم يظهر عند الضغط على اتصال))",24.585396,46.620696,https://images.aqar.fm/webp/750x0/props/024554669_1777921777753.jpg | https://images.aqar.fm/webp/750x0/props/024554661_1777921777751.jpg | https://images.aqar.fm/webp/750x0/props/024554669_1777921777754.jpg,3,عبدالعزيز الزير,,,2026-05-04,2026-07-31,2026-08-23,628,2026-08-23,True,"2,150,000",False,فيلا
6812138,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي-الغربي/شارع-عبدالعزيز-الهاشمي-حي-السويدي-الغربي-مدينة-الرياض-منطقة-الرياض-6812138,"فيلا للبيع في شارع عبدالعزيز الهاشمي, حي السويدي الغربي, مدينة الرياض, منطقة الرياض",1700000,625,,7,2,11,حي السويدي الغربي,الرياض,غرب الرياض,للبيع فيلا مساحة 625 متر  25*25 عددين كهرباء شارعين شرقية جنوبية مكونه من دو ر ارضي مكون من مدخل سيارة حوش كبير مجلس ومقلط وصالة ومجلس نساء 2 غرفة نوم 3 دورات مياه ملحق رجال خارجي وملحق نساء خارجي مع مطبخ ودورة مياه دور اول مدخل جانبي مكون من 6 غرف نوم وصاله و 4 دورات مياه ومطبخ دور ثاني مكون غرفة وحمام ومطبخ وخيمة فى السطح السوم مليون و 700 الف,24.577724,46.616118,https://images.aqar.fm/webp/750x0/props/001632788_1786256644766.png | https://images.aqar.fm/webp/750x0/props/001632788_1786256644757.png,2,فهد محمد عبدالعزيز العيسى,مكتب فهد محمد العيسى للعقارات,1,2026-08-09,2026-08-09,2026-08-22,825,2026-08-23,True,"1,700,000",False,فيلا
6613356,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي-الغربي/شارع-البويب-حي-السويدي-الغربي-مدينة-الرياض-منطقة-الرياض-6613356,"فيلا للبيع في شارع البويب, حي السويدي الغربي, مدينة الرياض, منطقة الرياض",650000,198,5,,,0,حي السويدي الغربي,الرياض,غرب الرياض,درج داخلي موقف سياره 2سطح خاص  مجلس رجال + صاله عائلية + 3 غرف نوم رئيسية+ مطبخ مفتوح + صاله طعام,24.575959,46.630919,,,ناصر زيد علي آل حسين,شركة ديار رؤى العقارية شخص واحد,1,2026-03-03,2026-07-27,2026-08-19,705,2026-08-23,True,"650,000",False,فيلا
6447762,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي-الغربي/شارع-البرية-حي-السويدي-الغربي-الرياض-منطقة-الرياض-6447762,فيلا للبيع في شارع البرية ، حي السويدي الغربي ، الرياض ، منطقة الرياض,4000000,900,5,5,1,20,حي السويدي الغربي,الرياض,غرب الرياض,"فله مساحه ٩٠٠م
تتكون من دورين وملحق علوي غرفه ومطبخ وحمام في السطح
الدور الثاني شقتين 
الدور الأرضي مجلس مقلط وصاله  وغرفتين نوم 
مطبخ خارجي وملاحق خارجيه رجال ونساء 
الفله على ثلاث شوارع جنوب شارع ٢٠م وشرق شارع ١٥م وشمال شارع ١٥م
موقع ممتاز ومميز بينها وبين الدايري الغربي  قطعه مقابل سلام مول من الشرق
الفله حره معليها التزامات ولا قرض ولا رهن 
العمر حوالي ٣٠ سنه 
مجدده بالكامل من سبع سنوات سباكه كهربا مجاري ابواب شبابيك وبويات  كلها جديده 
من المالك مباشر
السوم 3,850,000",24.562466,46.634579,https://images.aqar.fm/webp/750x0/props/030593730_1761906656722.jpg | https://images.aqar.fm/webp/750x0/props/030593731_1761906717892.jpg | https://images.aqar.fm/webp/750x0/props/030593739_1761906717872.jpg | https://images.aqar.fm/webp/750x0/props/030593736_1761906717871.jpg | https://images.aqar.fm/webp/750x0/props/030593730_1761906717889.jpg,5,محمد بن شلوان بن فالح القحطاني,,,2025-10-31,,2026-08-21,320,2026-08-23,False,طلب تسويق,False,فيلا
6462845,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي-الغربي/شارع-ابن-كريز-حي-السويدي-الغربي-الرياض-منطقة-الرياض-6462845,فيلا للبيع في شارع ابن كريز ، حي السويدي الغربي ، الرياض ، منطقة الرياض,2700000,750,5,5,5,35,حي السويدي الغربي,الرياض,غرب الرياض,,24.581106,46.620812,https://images.aqar.fm/webp/750x0/props/006540595_1777280081547.jpg | https://images.aqar.fm/webp/750x0/props/006540590_1777280081828.jpg | https://images.aqar.fm/webp/750x0/props/006540591_1777280082281.jpg | https://images.aqar.fm/webp/750x0/props/006540596_1777280082477.jpg | https://images.aqar.fm/webp/750x0/props/006540592_1777280082649.jpg | https://images.aqar.fm/webp/750x0/props/006540595_1777280082830.jpg,6,رحمه عوض علي الاسمري,,,2025-11-11,,2026-05-25,350,2026-08-23,False,طلب تسويق,False,فيلا
6782611,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي-الغربي/شارع-آل-سلوم-حي-السويدي-الغربي-مدينة-الرياض-منطقة-الرياض-6782611,"فيلا للبيع في شارع آل سلوم, حي السويدي الغربي, مدينة الرياض, منطقة الرياض",1700000,397,,6,2,11,حي السويدي الغربي,الرياض,غرب الرياض,"رقم العرض: 3059

🏡 بيت للبيع – فرصة سكنية واستثمارية مميزة

- المساحة: 400 م²
- الواجهة: غربية
- الشارع: 15 متر
- عدد الغرف: 13 غرفة
- عدد دورات المياه: 8
- 3 صالات
- مطبخان
- العقار مكون من دورين.

✅ الدور الثاني مجدد بالكامل، والصور الحالية قديمة ولا تعكس وضعه الحالي بعد التجديد.

✅ العقار بالكامل نظيف جدًا وجاهز للسكن.

💰 يوجد على العقار قرض عقاري من صندوق التنمية العقارية (بدون فوائد)، والمتبقي منه حوالي 320,000 ريال.

📈 ميزة استثمارية:

- الدور الثاني مؤجر بحوالي 40,000 ريال سنويًا.
- عقد الإيجار لا يزال ساريًا، ومن المتوقع استمرار المستأجر لأكثر من 5 سنوات.

📲 للاستفسار والمعاينة يرجى التواصل واتساب.",24.577027,46.612649,https://images.aqar.fm/webp/750x0/props/044193089_1784564862247.jpg | https://images.aqar.fm/webp/750x0/props/044193089_1784564862253.jpg | https://images.aqar.fm/webp/750x0/props/044193080_1784564862252.jpg | https://images.aqar.fm/webp/750x0/props/044193081_1784564862257.jpg | https://images.aqar.fm/webp/750x0/props/044193087_1784564862276.jpg | https://images.aqar.fm/webp/750x0/props/044193088_1784564862267.jpg | https://images.aqar.fm/webp/750x0/props/044193082_1784564862271.jpg,7,صالح بن مسعد بن عبداللطيف الحربي,شركة ديار فيو للخدمات العقارية,1,2026-07-20,2026-08-18,2026-08-18,202,2026-08-23,True,"1,700,000",False,فيلا
6517893,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي-الغربي/شارع-البويب-حي-السويدي-الغربي-مدينة-الرياض-منطقة-الرياض-6517893,"فيلا للبيع في شارع البويب, حي السويدي الغربي, مدينة الرياض, منطقة الرياض",830000,198,5,1,0,0,حي السويدي الغربي,الرياض,غرب الرياض,"🌟تفاصيل العقار ( تاون هاوس )
🏠 نوع العقار: فيلا
🎯 الغرض: بيع (تمليك)
📍 الموقع: حي السويدي
📐 المساحة: 312.40م2
🏡 مجلس رجال+ صالة عائلية +3غرف نوم رئيسية+صالة صغيرة  +مطبخ +صالة طعام
🏡 دور الأول  +ملحق دور ثاني درج داخلي موقف سيارة + 2 سطح خاص
💵 السعر: 830,000 ريال
التواصل علي الرقم ((رقم المعلن يظهر عند التواصل))",24.575959,46.630919,https://images.aqar.fm/webp/750x0/props/045413959_1767517440966.jpg,1,ناصر زيد علي آل حسين,شركة ديار رؤى العقارية شخص واحد,1,2025-12-23,2025-12-23,2026-08-10,776,2026-08-23,True,"830,000",False,فيلا
6469860,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-السويدي-الغربي/شارع-أبي-شجاع-اللوزي-حي-السويدي-الغربي-مدينة-الرياض-منطقة-الرياض-6469860,"فيلا للبيع في شارع أبي شجاع اللوزي, حي السويدي الغربي, مدينة الرياض, منطقة الرياض",3000000,810,6,5,2,11,حي السويدي الغربي,الرياض,غرب الرياض,"🔺فيلا للبيع السويدي الغربي المساحة الكلية 810 م 
الدور الارضي: مجلسين رجال كبير وصغير + دورة مياه 
مجلس نساء + دوره مياه وصاله + غرفة طعام
مطبخ كبير + غرفه عاملة وحمام الدور الاول:
مطبخ علوي وصاله  + حمام 
جناح: غرفه ٤.٥ * ٤.٥ + حمام +غرفه ملابس ٤*٢ و مقدمه 
جناح: غرفه + دورة مياة + غرفة ملابس
 2 غرفتين بينهم حمام + غرفة
القبو: 
مستودع كبير +صاله كبيرة + 3 غرف 
السطح:
غرفه + دوره مياه + غرفة غسيل  
الحوش: 
حديقة +3 مداخل سيارات وملحقوحمام واوفيس 
الفيلا على شارعين متظاهره شرقي غربي وبرحة المسجد",24.582229,46.623394,https://images.aqar.fm/webp/750x0/props/004527261_1728127161212.jpg | https://images.aqar.fm/webp/750x0/props/004527261_1728127161232.jpg | https://images.aqar.fm/webp/750x0/props/004527266_1728127161216.jpg | https://images.aqar.fm/webp/750x0/props/004527263_1728127161217.jpg | https://images.aqar.fm/webp/750x0/props/004527261_1728127161223.jpg | https://images.aqar.fm/webp/750x0/props/004527268_1728127161251.jpg | https://images.aqar.fm/webp/750x0/props/004527260_1728127161231.jpg | https://images.aqar.fm/webp/750x0/props/004527262_1728127161234.jpg | https://images.aqar.fm/webp/750x0/props/004527263_1728127220729.jpg | https://images.aqar.fm/webp/750x0/props/004527267_1728127220729.jpg | https://images.aqar.fm/webp/750x0/props/004527264_1728127220735.jpg | https://images.aqar.fm/webp/750x0/props/004527267_1728127220723.jpg | https://images.aqar.fm/webp/750x0/props/004527268_1728127220752.jpg | https://images.aqar.fm/webp/750x0/props/004527266_1728127220735.jpg | https://images.aqar.fm/webp/750x0/props/004527267_1728127220736.jpg | https://images.aqar.fm/webp/750x0/props/004527265_1728127220762.jpg,16,محمد القحطاني,مكتب مسارات للعقارات,1,2025-11-16,2025-11-16,2026-08-13,2611,2026-08-23,True,"3,000,000",False,فيلا
