listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6831775,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الشرق/شارع-المرجان-حي-المرجان-مدينة-الرياض-منطقة-الرياض-6831775,"فيلا للبيع في شارع المرجان, حي المرجان, مدينة الرياض, منطقة الرياض",1500000,252,4,5,3,0,حي الشرق,الرياض,شرق الرياض,$5e,24.913119,46.855615,https://images.aqar.fm/webp/750x0/props/004670699_1787165590927.jpg | https://images.aqar.fm/webp/750x0/props/004670697_1787165591003.jpg | https://images.aqar.fm/webp/750x0/props/004670696_1787165590926.jpg | https://images.aqar.fm/webp/750x0/props/004670697_1787165590992.jpg | https://images.aqar.fm/webp/750x0/props/004670695_1787165591040.jpg | https://images.aqar.fm/webp/750x0/props/004670697_1787165591000.jpg | https://images.aqar.fm/webp/750x0/props/004670693_1787165590972.jpg | https://images.aqar.fm/webp/750x0/props/004670696_1787165590930.jpg | https://images.aqar.fm/webp/750x0/props/004670695_1787165617818.jpg | https://images.aqar.fm/webp/750x0/props/004670693_1787165617908.jpg | https://images.aqar.fm/webp/750x0/props/004670698_1787165617731.jpg | https://images.aqar.fm/webp/750x0/props/004670694_1787165617913.jpg | https://images.aqar.fm/webp/750x0/props/004670690_1787165617730.jpg | https://images.aqar.fm/webp/750x0/props/004670694_1787165617832.jpg | https://images.aqar.fm/webp/750x0/props/004670694_1787165617911.jpg | https://images.aqar.fm/webp/750x0/props/004670692_1787165617908.jpg | https://images.aqar.fm/webp/750x0/props/004670694_1787165691847.jpg | https://images.aqar.fm/webp/750x0/props/004670691_1787165691841.jpg | https://images.aqar.fm/webp/750x0/props/004670697_1787165691854.jpg | https://images.aqar.fm/webp/750x0/props/004670697_1787165691855.jpg | https://images.aqar.fm/webp/750x0/props/004670698_1787165691926.jpg | https://images.aqar.fm/webp/750x0/props/004670698_1787165691941.jpg,22,جابر ال فهاد,شركة ركائز الروعة,1,2026-08-19,2026-08-19,2026-08-23,47,2026-08-23,True,"1,500,000",False,فيلا
6723374,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الشرق/شارع-أبي-العز-الحبشي-حي-المرجان-مدينة-الرياض-منطقة-الرياض-6723374,"فيلا للبيع في شارع أبي العز الحبشي, حي المرجان, مدينة الرياض, منطقة الرياض",1600000,540,,0,0,0,حي الشرق,الرياض,شرق الرياض,"فيلا للبيع حي المرجان
270م
شارع ١٥ غربي
راكب مصعد 

الدور الارضي:
مجلس + مقلط 
صالة واسعه 
مطبخ
غرفة نوم ماستر
وغرفة خادمة

الدور العلوي: 
اربع غرف نوم منها غرفتين نوم ماستر ووحده منهم كبيرة جداً وواسعه
وصالة 
٧ دورات مياة

الشقق: 
الشقة الاولى عبارة عن:
صالة ومطبخ
وغرفتين نوم منها غرفة نوم ماستر
دورتين مياة

الشقة الثانية :
مجلس+ مطبخ +غرفة نوم+ دورة مياة

جميع الضمانات متوفره 

البيع ١.٦٠٠.٠٠٠ قابل للتفاوض
للتواصل والاستفسار:
 
 ",24.90787,46.858104,https://images.aqar.fm/webp/750x0/props/040582068_1780868825126.jpg,1,مزرم بن علي بن سالم,مؤسسة رمز التعامل للعقارات,1,2026-06-07,2026-06-07,2026-07-19,0,2026-08-23,True,"1,600,000",False,فيلا
6352179,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الشرق/حي-البيان-مدينة-الرياض-منطقة-الرياض-6352179,"فيلا للبيع في حي البيان, مدينة الرياض, منطقة الرياض",1550000,298,5,5,3,0,حي الشرق,الرياض,شرق الرياض,"للبيع بحي البيان شرق الرياض 
قريب لطريق الجنادرية والدمام وطريق الثمامة 

فيلا دوبلكس 300م 
السعر مليون 550
شارع ٢٠ شمالي


 مجلس مقلط مطبخ صالة مؤسس مصعد 
دور اول --صالة وغرفة جناح رئيسية وغرفة ماستر وغرفتين بدورة مياه 
دور تانى --  صالة وغرفة نوم وغرفة خادمة وسطح كبير
-- تقبل كاش او بنك 

ضمانات المشروع
-ضمان الهيكل الانشائي
-شهادة إتمام البناء 
-التركيبات الكهربائية 
-تمديدات السباكة
-العزل المائي والحراري

مميزات المشروع 
- موقع حيوي
- واجهات عصرية
-قريب من مسجد
-قريب من خدمات 
-عداد مياه منفصل
-عداد كهرباء منفصل


مميزات الشركة
- تخليص جميع المعاملات العقارية البنكية بأي مكان بالمملكة .
- تسديد المديونية وتوفير الدفعة المقدمة.
- توحيد الأقساط بقسط واحد. 
- إمكانية التضامن للحصول علي العقار المناسب.
- نقبل المستفيدين من الدعم السكنى والصندوق
للتواصل على ((رقم المعلن يظهر عند التواصل)) ابو انس",24.863019,46.861844,https://images.aqar.fm/webp/750x0/props/042633553_1756276772103.jpg | https://images.aqar.fm/webp/750x0/props/042633556_1756276770286.jpg | https://images.aqar.fm/webp/750x0/props/042633554_1756276770478.jpg | https://images.aqar.fm/webp/750x0/props/042633558_1756276770679.jpg | https://images.aqar.fm/webp/750x0/props/042633559_1756276770792.jpg | https://images.aqar.fm/webp/750x0/props/042633552_1756276770905.jpg | https://images.aqar.fm/webp/750x0/props/042633558_1756276771016.jpg | https://images.aqar.fm/webp/750x0/props/042633557_1756276771183.jpg | https://images.aqar.fm/webp/750x0/props/042633550_1756276771390.jpg | https://images.aqar.fm/webp/750x0/props/042633556_1756276771640.jpg | https://images.aqar.fm/webp/750x0/props/042633558_1756276771754.jpg | https://images.aqar.fm/webp/750x0/props/042633554_1756276771891.jpg | https://images.aqar.fm/webp/750x0/props/042633554_1756276772276.jpg | https://images.aqar.fm/webp/750x0/props/042633558_1756276772432.jpg | https://images.aqar.fm/webp/750x0/props/042633558_1756276772688.jpg | https://images.aqar.fm/webp/750x0/props/042633558_1756276772798.jpg | https://images.aqar.fm/webp/750x0/props/042633558_1756276773058.jpg | https://images.aqar.fm/webp/750x0/props/042633557_1756276773180.jpg | https://images.aqar.fm/webp/750x0/props/042633558_1756276773441.jpg | https://images.aqar.fm/webp/750x0/props/042633551_1756276773563.jpg,20,عائشه بنت سليمان بن عبدالله الطريم,مؤسسة سكن المعالي للعقارات,1,2025-08-26,2025-08-26,2026-08-23,770,2026-08-23,True,"1,550,000",False,فيلا
6766609,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الشرق/شارع-أبي-يعلى-الموصلي-حي-البيان-مدينة-الرياض-منطقة-الرياض-6766609,"فيلا للبيع في شارع أبي يعلى الموصلي, حي البيان, مدينة الرياض, منطقة الرياض",1650000,390,,0,0,0,حي الشرق,الرياض,شرق الرياض,"� فرصة سكنية واستثمارية استثنائية – فيلا بتصميم عصري (دور أرضي + دور أول + شقة مستقلة)

امتلك عقارًا يجمع بين السكن المريح والاستثمار الذكي، بتصميم حديث يحقق الخصوصية، وجودة تنفيذ عالية، وتشطيبات فاخرة تمنحك قيمة حقيقية تدوم لسنوات. سواء كنت تبحث عن منزل للعائلة أو مصدر دخل إضافي، فهذا العقار يمنحك الخيارين معًا.

💰 السعر: 1,650,000 ريال

📐 تفاصيل الوحدات:

🔹 الدور الأرضي (200م²):
• مجلس واسع لاستقبال الضيوف.
• صالة طعام.
• صالة معيشة عائلية.
• مطبخ مجهز.
• 3 غرف نوم، منها غرفة ماستر.
• مدخل سيارة خاص وحوش مستقل.

🔹 الدور الأول (170م²):
• مجلس وصالة طعام.
• صالة معيشة.
• مطبخ.
• 3 غرف نوم، منها غرفة ماستر.
• بلكونة بإطلالة مميزة.

🔹 شقة مستقلة مع سطح (130م²):
• مجلس وصالة طعام.
• مطبخ.
• 3 غرف نوم.
• سطح خاص للاستجمام والاستفادة منه حسب رغبتك.

المساحات المذكورة غير شاملة الأجزاء الخاصة.

⭐ مميزات المشروع:
✔ تشطيبات فاخرة وجودة تنفيذ عالية.
✔ تكييف راكب.
✔ مداخل فندقية لجميع الوحدات.
✔ مواقف خاصة لكل وحدة.
✔ مصاعد إيطالية بضمان 10 سنوات.
✔ صيانة مجانية للمصاعد لمدة سنة.
✔ أبواب داخلية WPVC بضمان 10 سنوات.
✔ أبواب خارجية من الكلادينج الفخم.

🛡️ الضمانات:
✔ ضمان السباكة (الأنابيب الخضراء) 15 سنة.
✔ ضمان كهرباء الفنار 25 سنة.
✔ ضمان الهيكل الإنشائي من التعاونية 10 سنوات.
✔ ضمان العوازل 10 سنوات مصدق من الغرفة التجارية.

📄 رقم الترخيص الإعلاني: 7201035224

للتواصل والاستفسار:
راشد العمري
مسوق ووسيط عقاري
رخصة فال: 1100308563
📞 ((الرقم يظهر عند الضغط على اتصال))

استثمر اليوم في عقار يجمع بين جودة البناء، وروعة التصميم، والعائد الاستثماري، في مشروع صُمم ليلبي احتياجات الأسرة ويمنحك قيمة تدوم",24.897605,46.861293,https://images.aqar.fm/webp/750x0/props/044090397_1783595324458.jpg,1,راشد بن ضيف الله بن حاسن العمري,,,2026-07-09,2026-07-09,2026-08-17,92,2026-08-23,True,"1,650,000",False,فيلا
6420914,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الشرق/شارع-عمر-الصفار-حي-المرجان-مدينة-الرياض-منطقة-الرياض-6420914,"فيلا للبيع في شارع عمر الصفار, حي المرجان, مدينة الرياض, منطقة الرياض",1700000,540,3,5,3,0,حي الشرق,الرياض,شرق الرياض,"*للبيــــــــع ١٢ فيلا بحي المرجان شرق*

٦ فلل مع شقه +٦ مع شقتين 

المساحه لكل فيلا ٢٧٠ م 

*موصفات الدور الارضي*

مدخل سياره +غرفه سائق +مجلس رجال +مجلس نساء +غرفة كبار سن +صاله+ مطبخ +مصعد راكب + حوش + غرفه شغاله

*موصفات الدور الاول*


جناح رئيسي مع غرفة ملابس+ غرفه ماستر + غرفتين نوم بحمام مشترك +صاله 

*موصفات الشقه*

مدخل مستقل + مجلس +وغرفتين نوم+ صاله + سطح


*البيـــع لي الفيلا مع شقه مليون ٧٠٠*

*البيع لي الفيلا مع شقتين مليون ٧٥٠*",24.908154,46.857988,https://images.aqar.fm/webp/750x0/props/048209512_1760292524695.jpg | https://images.aqar.fm/webp/750x0/props/048209516_1760292524867.jpg | https://images.aqar.fm/webp/750x0/props/048209518_1760292524627.jpg | https://images.aqar.fm/webp/750x0/props/048209512_1760292524871.jpg | https://images.aqar.fm/webp/750x0/props/048209510_1760292523946.jpg | https://images.aqar.fm/webp/750x0/props/048209517_1760292523937.jpg | https://images.aqar.fm/webp/750x0/props/048209511_1760292524021.jpg | https://images.aqar.fm/webp/750x0/props/048209518_1760292523935.jpg | https://images.aqar.fm/webp/750x0/props/048209510_1760292524054.jpg | https://images.aqar.fm/webp/750x0/props/048209519_1760292524135.jpg | https://images.aqar.fm/webp/750x0/props/048209515_1760292524191.jpg | https://images.aqar.fm/webp/750x0/props/048209514_1760292524319.jpg | https://images.aqar.fm/webp/750x0/props/048209512_1760292524380.jpg | https://images.aqar.fm/webp/750x0/props/048209510_1760292524555.jpg,14,عبدالرحمن بن ابراهيم بن سعد بن مصيليخ,مؤسسة تلال العاذرية,1,2025-10-12,2026-08-06,2026-08-22,1009,2026-08-23,True,"1,700,000",False,فيلا
6764689,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الشرق/شارع-محمد-الفاكهي-حي-البيان-الرياض-منطقة-الرياض-6764689,فيلا للبيع في شارع محمد الفاكهي ، حي البيان ، الرياض ، منطقة الرياض,2000000,300,4,5,1,6,حي الشرق,الرياض,شرق الرياض,,24.887209,46.862907,https://images.aqar.fm/webp/750x0/props/032450836_1783476650745.jpg,1,سالم هليل بن منير القحطاني,,,2026-07-08,,2026-07-18,53,2026-08-23,False,طلب تسويق,False,فيلا
6591366,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الشرق/شارع-السائب-المكي-حي-البيان-مدينة-الرياض-منطقة-الرياض-6591366,"فيلا للبيع في شارع السائب المكي, حي البيان, مدينة الرياض, منطقة الرياض",1400000,284,,4,1,0,حي الشرق,الرياض,شرق الرياض,$5f,24.889853,46.863633,https://images.aqar.fm/webp/750x0/props/049888603_1771166764107.jpg | https://images.aqar.fm/webp/750x0/props/049888605_1771166775747.jpg | https://images.aqar.fm/webp/750x0/props/049888602_1771166775828.jpg | https://images.aqar.fm/webp/750x0/props/049888608_1771166775829.jpg | https://images.aqar.fm/webp/750x0/props/049888607_1771166775725.jpg | https://images.aqar.fm/webp/750x0/props/049888604_1771166775829.jpg | https://images.aqar.fm/webp/750x0/props/049888608_1771166775830.jpg | https://images.aqar.fm/webp/750x0/props/049888606_1771166775745.jpg | https://images.aqar.fm/webp/750x0/props/049888604_1771166775834.jpg | https://images.aqar.fm/webp/750x0/props/049888604_1771166775830.jpg | https://images.aqar.fm/webp/750x0/props/049888607_1771166775745.jpg | https://images.aqar.fm/webp/750x0/props/049888603_1771166775852.jpg | https://images.aqar.fm/webp/750x0/props/049888605_1771166775828.jpg | https://images.aqar.fm/webp/750x0/props/049888604_1771166775881.jpg | https://images.aqar.fm/webp/750x0/props/049888609_1771166775828.jpg | https://images.aqar.fm/webp/750x0/props/049888602_1771166775845.jpg | https://images.aqar.fm/webp/750x0/props/049888604_1771166775880.jpg | https://images.aqar.fm/webp/750x0/props/049888601_1771166775830.jpg | https://images.aqar.fm/webp/750x0/props/049888603_1771166775896.jpg | https://images.aqar.fm/webp/750x0/props/049888606_1771166775898.jpg | https://images.aqar.fm/webp/750x0/props/049888605_1771166775948.jpg | https://images.aqar.fm/webp/750x0/props/049888604_1771166775885.jpg | https://images.aqar.fm/webp/750x0/props/049888607_1771166775833.jpg | https://images.aqar.fm/webp/750x0/props/049888607_1771166775946.jpg | https://images.aqar.fm/webp/750x0/props/049888603_1771166775950.jpg | https://images.aqar.fm/webp/750x0/props/049888605_1771166775946.jpg | https://images.aqar.fm/webp/750x0/props/049888608_1771166775949.jpg | https://images.aqar.fm/webp/750x0/props/049888603_1771166775947.jpg | https://images.aqar.fm/webp/750x0/props/049888602_1771166775947.jpg | https://images.aqar.fm/webp/750x0/props/049888609_1771166776025.jpg | https://images.aqar.fm/webp/750x0/props/049888605_1771166776177.jpg | https://images.aqar.fm/webp/750x0/props/049888602_1771166775966.jpg | https://images.aqar.fm/webp/750x0/props/049888603_1771166776219.jpg | https://images.aqar.fm/webp/750x0/props/049888607_1771166776132.jpg | https://images.aqar.fm/webp/750x0/props/049888602_1771166776276.jpg | https://images.aqar.fm/webp/750x0/props/049888607_1771166776315.jpg | https://images.aqar.fm/webp/750x0/props/049888605_1771166776361.jpg | https://images.aqar.fm/webp/750x0/props/049888601_1771166776406.jpg,38,هاني سعود,شركة مدارك السكن للتطوير العقاري,1,2026-02-15,2026-08-08,2026-08-21,1202,2026-08-23,True,"1,400,000",False,فيلا
6782592,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الشرق/حي-المرجان-مدينة-الرياض-منطقة-الرياض-6782592,"فيلا للبيع في حي المرجان, مدينة الرياض, منطقة الرياض",1580000,422,5,4,2,0,حي الشرق,الرياض,شرق الرياض,$5b,24.913938,46.855487,https://images.aqar.fm/webp/750x0/props/047716524_1784566593194.jpg | https://images.aqar.fm/webp/750x0/props/047716526_1784566593226.jpg | https://images.aqar.fm/webp/750x0/props/047716526_1784566593260.jpg | https://images.aqar.fm/webp/750x0/props/047716529_1784566593250.jpg | https://images.aqar.fm/webp/750x0/props/047716520_1784566593225.jpg | https://images.aqar.fm/webp/750x0/props/047716523_1784566593239.jpg | https://images.aqar.fm/webp/750x0/props/047716521_1784566593268.jpg,7,احمد شريف رزق السلمي,شركة عد العقارية,1,2026-07-20,2026-08-18,2026-08-19,326,2026-08-23,True,"1,580,000",False,فيلا
6700873,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الشرق/شارع-أبي-سعد-التميمي-حي-المرجان-الرياض-منطقة-الرياض-6700873,"فيلا للبيع في شارع أبي سعد التميمي, حي المرجان, مدينة الرياض, منطقة الرياض",1600000,300,5,5,3,0,حي الشرق,الرياض,شرق الرياض,$5c,24.929719666666667,46.884209500000004,https://images.aqar.fm/webp/750x0/props/048157864_1779027366289.jpg | https://images.aqar.fm/webp/750x0/props/048157865_1779027366329.jpg | https://images.aqar.fm/webp/750x0/props/048157868_1779027366364.jpg | https://images.aqar.fm/webp/750x0/props/048157868_1779027366334.jpg | https://images.aqar.fm/webp/750x0/props/048157864_1779027366366.jpg,5,منتصر المطيري,,,2026-05-17,2026-05-17,2026-08-21,904,2026-08-23,True,"1,600,000",False,فيلا
6549505,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الشرق/شارع-يحيى-المنقاري-حي-البيان-مدينة-الرياض-منطقة-الرياض-6549505,"فيلا للبيع في شارع يحيى المنقاري, حي البيان, مدينة الرياض, منطقة الرياض",2400000,374,4,5,1,0,حي الشرق,الرياض,شرق الرياض,"فله شرق الرياض حي البيان مساحة 374 دور و ثلاث شقق
السعر النهائي مليونين و ٣٥٠",24.895907,46.863218,https://images.aqar.fm/webp/750x0/props/050225064_1769629317126.jpg,1,خالد العتيبي,,,2026-01-16,2026-01-16,2026-08-22,626,2026-08-23,True,"2,400,000",False,فيلا
