listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6784487,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-وادي-الجوف-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6784487,"فيلا للبيع في شارع وادي الجوف, حي الصحافة, مدينة الرياض, منطقة الرياض",3500000,375,,5,2,11,حي الصحافة,الرياض,شمال الرياض,"للبيع فلة بناء شخصي درج صالة 
الموقع : الرياض حي الصحافة مربع2 مكان مميز 
المساحة : 375م
الأطوال : 25* 15م على الشارع 
واجهة : 15م شرقية 
العمر : أكثر من 15 سنه 
الدور الأرضي :
مجلس + مقلط + صالة واسعة درج صاله + غرفة نساء + مطبخ + مدخل سيارة + غرفة سائق . 
الدور الأول : 
غرفة ماستر كبيرة جداً ماستر 9* 9 يمكن قسمها لغرفتين + غرفتين مساحة 6في 5ماستر + صالة كبيرة 
الدور العلوي :
غرفة كبيرة + غرفة غسيل وخادمة + مستودع + سطح 

عزل كامل للفلة ✅
شبابيك دبل جلاس ✅
خالي من التشققات ماشاء الله ✅
واجهة حجرية ✅ 
قريبة من الخدمات ✅ 

يوجد رهن 350 ألف صندق التنمية العقاري
البيع : 3,500,000  مليون ويتحمل المالك فك الرهن .

مزيد من التفاصيل واتس : ((الرقم يظهر عند الضغط على اتصال))",24.802585,46.637646,https://images.aqar.fm/webp/750x0/props/024391051_1784660500164.jpg | https://images.aqar.fm/webp/750x0/props/024391056_1784660520071.jpg | https://images.aqar.fm/webp/750x0/props/024391056_1784660520069.jpg | https://images.aqar.fm/webp/750x0/props/024391056_1784660520068.jpg | https://images.aqar.fm/webp/750x0/props/024391054_1784660520115.jpg | https://images.aqar.fm/webp/750x0/props/024391056_1784660520080.jpg | https://images.aqar.fm/webp/750x0/props/024391058_1784660520073.jpg,7,عبدالله الغانم,مكتب شريط للعقارات,1,2026-07-21,2026-08-20,2026-08-21,1091,2026-08-23,True,"3,500,000",False,فيلا
6364979,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-المغزل-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6364979,"فيلا للبيع في شارع المغزل, حي الصحافة, مدينة الرياض, منطقة الرياض",5500000,510,7,,,11,حي الصحافة,الرياض,شمال الرياض,"فيلا قبو للبيع حي الصحافة ( ٦ )

المساحة ٥١٠ م   ( ٢٠ عالشارع )
شارع ١٥ جنوبي
العمر ١٨ سنة 
الحد ٥٫٥٠٠٫٠٠٠ 

٥ غرف نوم والقبو فيه غرفه اضافية
السطح غرفتين ودورة مياه مع غرفة غسيل
غرفة سواق",24.799518,46.64929,https://images.aqar.fm/webp/750x0/props/034154659_1754471271543.jpg | https://images.aqar.fm/webp/750x0/props/034154658_1754471271528.jpg | https://images.aqar.fm/webp/750x0/props/034154654_1754471271537.jpg | https://images.aqar.fm/webp/750x0/props/034154657_1754471271504.jpg | https://images.aqar.fm/webp/750x0/props/034154650_1754471271523.jpg | https://images.aqar.fm/webp/750x0/props/034154658_1754471271531.jpg | https://images.aqar.fm/webp/750x0/props/034154654_1754471271546.jpg | https://images.aqar.fm/webp/750x0/props/034154652_1754471271533.jpg,8,عاصم يوسف بن ابراهيم الجريفاني,شركة عمر يوسف الجريفاني العقارية شخص واحد,1,2025-09-03,2025-09-03,2026-05-26,6704,2026-08-23,True,"5,500,000",False,فيلا
6739725,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-الرائد-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6739725,"فيلا للبيع في شارع الرائد, حي الصحافة, مدينة الرياض, منطقة الرياض",4100000,400,4,,,11,حي الصحافة,الرياض,شمال الرياض,"تم تنزيل السعر 4 مليون و 100



فيلا عصرية بتصميم عملي ومساحات مدروسة – واجهات زجاجية وإضاءة طبيعية مميزة

فيلا مميّزة بتقسيم ذكي يلبي متطلبات السكن العصري، تجمع بين الخصوصية والرحابة:
مساحة ٤٠٠ متر

🔹 الحوش:
	•	مدخل سيارة
	•	غرفة سائق
	•	غرفة عاملة مع حمام خاص
	•	غرفة غسيل

🔹 الدور الأرضي:
	•	مجلس استقبال
	•	مقلط
	•	صالة واسعة
	•	غرفة نوم ضيوف
	•	مطبخ سيرفس

🔹 الدور العلوي:
	•	درج مفتوح على الصالة
	•	صالة عائلية مفتوحة
	•	مطبخ رئيسي
	•	4 غرف نوم (عدد 2 ماستر)
	•	غرفة ماستر رئيسية كبيرة ومميّزة (بداية الفيديو)
	•	الغرفة الرابعة كانت مفتوحة على الدرج وتم فصلها مؤقتًا لذلك لم تظهر بشكل واضح في التصوير

🔹 الدور الثالث :

شقة مستقله بمدخل وعداد كهرباء مستقل 
١- غرفتين نوم احدهما ماستر
٢- صاله ومجلس 
٣- عدد ٢ حمامات 


🔹 الواجهة:
	•	المجلس والماستر الكبير على واجهة البيت مباشرة
	•	نوافذ زجاجية كبيرة بإطلالة واضحة ودخول ضوء طبيعيw ممتاز

✅ تصميم أنيق | توزيع عملي | واجهة زجاجية | مناسبة للسكن العائلي الراقي

✅ *
الموقع العقار :
https://maps.app.goo.gl/Qr8zyUqFfoqBzsNN9?
g_st=ipc

عمر العقار : 12 سنة",24.805255,46.630287,https://images.aqar.fm/webp/750x0/props/042667135_1781906080232.jpg,1,عبدالملك ابراهيم محمد الجمعان,شركة بنايات نجد للتسويق شخص واحد,1,2026-06-19,2026-08-17,2026-08-17,187,2026-08-23,True,"4,100,000",False,فيلا
6710153,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-المهد-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6710153,"فيلا للبيع في شارع المهد , حي الصحافة, مدينة الرياض, منطقة الرياض",3700000,462,,5,2,11,حي الصحافة,الرياض,شمال الرياض,"للبيع فلة دور دور  مقسمة 
الموقع : الرياض - الصحافة مربع 3
المساحة : 462م ( 22*21)
واجهة : جنوبية 14م
العمر : 17 سنة
عبارة عن : 
الأرضي : 
مجلس ودورة مياه + مقلط + مطبخ + ٣ غرف واحدة منهم ماستر + صالة
الدور الأول :
مجلس ودورة مياه + مقلط + مطبخ + صالة + 3 غرف نوم . 

البيع : 3,700,000 مليون بإذن الله

مزيد من التفاصيل واتس : ((الرقم يظهر عند الضغط على اتصال))",24.80738,46.635163,https://images.aqar.fm/webp/750x0/props/024391053_1779656748148.jpg | https://images.aqar.fm/webp/750x0/props/024391055_1779656748145.jpg | https://images.aqar.fm/webp/750x0/props/024391055_1779656748149.jpg | https://images.aqar.fm/webp/750x0/props/024391059_1779656748124.jpg | https://images.aqar.fm/webp/750x0/props/024391054_1779656748147.jpg | https://images.aqar.fm/webp/750x0/props/024391053_1779656748134.jpg | https://images.aqar.fm/webp/750x0/props/024391051_1779656748128.jpg | https://images.aqar.fm/webp/750x0/props/024391052_1779656748142.jpg | https://images.aqar.fm/webp/750x0/props/024391059_1779656773132.jpg | https://images.aqar.fm/webp/750x0/props/024391054_1779656773139.jpg | https://images.aqar.fm/webp/750x0/props/024391051_1779656773137.jpg,11,عبدالله الغانم,مكتب شريط للعقارات,1,2026-05-24,2026-08-20,2026-08-21,732,2026-08-23,True,"3,700,000",False,فيلا
6580674,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-النرجس-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6580674,"فيلا للبيع في شارع النرجس, حي الصحافة, مدينة الرياض, منطقة الرياض",2900000,360,5,7,2,11,حي الصحافة,الرياض,شمال الرياض,"فيلا للبيع في موقع مميز في حي الصحافة
الواجهة شمالية على شارع 15م
يتميز العقار بالقرب من محطة المترو - مستشفى الحبيب - المستشفى السعودي الألماني - نادي الشباب



تفاصيل الفيلا

الدور الأرضي:

بائكة
جلسة خارجية
مجلس رجال واسع
دورة مياه
غرفة طعام
مجلس داخلي 
صالة واسعة
درج صالة
دورة مياه
مطبخ واسع
مستودع مطبخ

الدور الأول:

غرفة نوم ماستر واسعة
يتواجد جناحين نوم متكونه من غرفتين و دورة مياه
صالة
مطبخ


الدور الثاني (السطح):
سطح واسع
غرفة نوم خادمة
مطبخ خادمة
دورة مياه

للتواصل : ((رقم المعلن يظهر عند التواصل))",24.805523,46.635641,https://images.aqar.fm/webp/750x0/props/001369105_1770545705992.jpg | https://images.aqar.fm/webp/750x0/props/001369108_1770545706028.jpg | https://images.aqar.fm/webp/750x0/props/001369103_1770545706010.jpg | https://images.aqar.fm/webp/750x0/props/001369104_1770545706015.jpg | https://images.aqar.fm/webp/750x0/props/001369109_1770545705949.jpg | https://images.aqar.fm/webp/750x0/props/001369103_1770545705974.jpg | https://images.aqar.fm/webp/750x0/props/001369108_1770545705894.jpg | https://images.aqar.fm/webp/750x0/props/001369105_1770545705909.jpg | https://images.aqar.fm/webp/750x0/props/001369101_1770545705934.jpg | https://images.aqar.fm/webp/750x0/props/001369106_1770545705936.jpg | https://images.aqar.fm/webp/750x0/props/001369104_1770545705934.jpg | https://images.aqar.fm/webp/750x0/props/001369102_1770545706029.jpg | https://images.aqar.fm/webp/750x0/props/001369105_1770545706029.jpg | https://images.aqar.fm/webp/750x0/props/001369106_1770545706047.jpg | https://images.aqar.fm/webp/750x0/props/001369107_1770545706095.jpg | https://images.aqar.fm/webp/750x0/props/001369107_1770545706040.jpg | https://images.aqar.fm/webp/750x0/props/001369103_1770545706035.jpg | https://images.aqar.fm/webp/750x0/props/001369109_1770545705977.jpg | https://images.aqar.fm/webp/750x0/props/001369100_1770545705978.jpg | https://images.aqar.fm/webp/750x0/props/001369101_1770545705987.jpg | https://images.aqar.fm/webp/750x0/props/001369106_1770545706007.jpg | https://images.aqar.fm/webp/750x0/props/001369106_1770545705982.jpg | https://images.aqar.fm/webp/750x0/props/001369106_1770545706007.jpg | https://images.aqar.fm/webp/750x0/props/001369102_1770545706018.jpg | https://images.aqar.fm/webp/750x0/props/001369106_1770545706011.jpg | https://images.aqar.fm/webp/750x0/props/001369105_1770545706010.jpg | https://images.aqar.fm/webp/750x0/props/001369104_1770545705860.jpg | https://images.aqar.fm/webp/750x0/props/001369104_1770545705894.jpg | https://images.aqar.fm/webp/750x0/props/001369103_1770545705894.jpg | https://images.aqar.fm/webp/750x0/props/001369105_1770545705895.jpg | https://images.aqar.fm/webp/750x0/props/001369108_1770545705888.jpg,31,بدر الهويدي,شركة افتار العقارية شركة شخص واحد,1,2026-02-08,2026-08-01,2026-08-23,8163,2026-08-23,True,"2,900,000",False,فيلا
6692752,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-وادي-الدواسر-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6692752,"فيلا للبيع في شارع وادي الدواسر, حي الصحافة, مدينة الرياض, منطقة الرياض",6300000,780,7,5,2,11,حي الصحافة,الرياض,شمال الرياض,"كود 352 | للبيع فيلا واسعة في حي الصحافة
فيلا بمساحة 780 م² على واجهة شرقية وشارع عرض 20 متر، بتوزيع عائلي واسع يجمع بين الخصوصية وتعدد المساحات، مع قسم رجال مستقل، ومرافق خارجية مجهزة للاستخدام اليومي والضيافة.
تفاصيل العقار
الحي: الصحافة
المساحة: 780 م²
الواجهة: شرقية
الشارع: عرض 20 متر
الدور الأرضي
مجلس نساء
غرفة جلسة عائلية
دورة مياه
طاولة طعام عائلية
صالة كبيرة مفتوحة
مطبخ
قسم رجال مستقل يحتوي على:
مجلس رجال
مقلط
مساحة إضافية مناسبة لتكون مكتب
دورة مياه
الدور الأول
إجمالي غرف النوم: 6 غرف، منها جناح نوم رئيسي وغرفة نوم ماستر
2 دورات مياه
جلسة وسطية بين الغرف
السطح
غرفة عاملة
مساحة غسيل
غرفة مستودع
الحوش والمرافق الخارجية
كراج يتسع لـ 4 سيارات
مطبخ خارجي
غرفة مستودع
ملحق خارجي بجلسة ودورة مياه
بيت شعر مع دورة مياه
غرفة سائق
المساحة الخلفية كانت حوشًا وتم تحويلها إلى صالة ألعاب مع سينما
مميزات الموقع
1 د طريق العليا العام
3 د طريق الملك فهد
تام العقارية
 0577595959",24.803169,46.634848,https://images.aqar.fm/webp/750x0/props/044266342_1778524123312.jpg | https://images.aqar.fm/webp/750x0/props/044266343_1778524123285.jpg | https://images.aqar.fm/webp/750x0/props/044266345_1778524123276.jpg | https://images.aqar.fm/webp/750x0/props/044266346_1778524123323.jpg | https://images.aqar.fm/webp/750x0/props/044266342_1778524123317.jpg | https://images.aqar.fm/webp/750x0/props/044266344_1778524123327.jpg | https://images.aqar.fm/webp/750x0/props/044266347_1778524245050.jpg | https://images.aqar.fm/webp/750x0/props/044266343_1778524244995.jpg | https://images.aqar.fm/webp/750x0/props/044266349_1778524245045.jpg | https://images.aqar.fm/webp/750x0/props/044266342_1778524244995.jpg | https://images.aqar.fm/webp/750x0/props/044266346_1778524245045.jpg | https://images.aqar.fm/webp/750x0/props/044266340_1778524245019.jpg | https://images.aqar.fm/webp/750x0/props/044266342_1778524245046.jpg | https://images.aqar.fm/webp/750x0/props/044266343_1778524244997.jpg | https://images.aqar.fm/webp/750x0/props/044266344_1778524123322.jpg,15,راكان الغذامي,شركة تام الاعمال العقارية,1,2026-05-11,2026-08-07,2026-08-15,1029,2026-08-23,True,"6,300,000",False,فيلا
6707800,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-الرائد-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6707800,"فيلا للبيع في شارع الرائد, حي الصحافة, مدينة الرياض, منطقة الرياض",4200000,400,5,4,3,11,حي الصحافة,الرياض,شمال الرياض,"فيلا عصرية بتصميم عملي ومساحات مدروسة – واجهات زجاجية وإضاءة طبيعية مميزة

فيلا مميّزة بتقسيم ذكي يلبي متطلبات السكن العصري، تجمع بين الخصوصية والرحابة:

🔹 الحوش:
	•	مدخل سيارة
	•	غرفة سائق
	•	غرفة عاملة مع حمام خاص
	•	غرفة غسيل

🔹 الدور الأرضي:
	•	مجلس استقبال
	•	مقلط
	•	صالة واسعة
	•	غرفة نوم ضيوف
	•	مطبخ سيرفس

🔹 الدور العلوي:
	•	درج مفتوح على الصالة
	•	صالة عائلية مفتوحة
	•	مطبخ رئيسي
	•	4 غرف نوم (عدد 2 ماستر)
	•	غرفة ماستر رئيسية كبيرة ومميّزة (بداية الفيديو)
	•	الغرفة الرابعة كانت مفتوحة على الدرج وتم فصلها مؤقتًا لذلك لم تظهر بشكل واضح في التصوير

🔹 الدور الثالث :

شقة مستقله بمدخل وعداد كهرباء مستقل 
١- غرفتين نوم احدهما ماستر
٢- صاله ومجلس 
٣- عدد ٢ حمامات 


🔹 الواجهة:
	•	المجلس والماستر الكبير على واجهة البيت مباشرة
	•	نوافذ زجاجية كبيرة بإطلالة واضحة ودخول ضوء طبيعي ممتاز

✅ تصميم أنيق | توزيع عملي | واجهة زجاجية | مناسبة للسكن العائلي الراقي
البيع 4 مليون و100الف",24.805255,46.630287,https://images.aqar.fm/webp/750x0/props/003379374_1779463818410.jpg | https://images.aqar.fm/webp/750x0/props/003379374_1779463818410.jpg,2,بشرى عبدالكريم,مؤسسة بيت الحكمة للخدمات العقارية,1,2026-05-22,2026-05-22,2026-08-23,505,2026-08-23,True,"4,200,000",False,فيلا
6458938,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-نهر-البردوني-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6458938,"فيلا للبيع في شارع نهر البردوني, حي الصحافة, مدينة الرياض, منطقة الرياض",6000000,500,,5,3,9,حي الصحافة,الرياض,شمال الرياض,"للبيع فله درج صالة بناء شخصي
مع امكانية إضافة شقة 
الموقع : الرياض حي الصحافة مربع ٧ 
المساحة : 500م
الأطوال : 25*20على الشارع 
شارع : 15 شمالي 
العمر : 9 سنوات 
الدور الأرضي:
مجلس رجال بالخدمات + مجلس صغير+ملحق+غرفة سائق+بايكة 3 سيارات + مسبح+ مقلط صالة طعام + مطبخ + مجلس نساء بالخدمات .
الدور الأول: 
5 أجنحة بنظام فندقي + صاله كبيرة +سيرفس
الدور العلوي : 
جناح يتسع 3 عاملات+ غرفة غسيل + غرفة كوي .

بالإمكان إضافة شقة تحتوي على ( 3غرف +مطبخ+صالة+ دورتين مياه ) ✅
نافذ للشوارع الرئيسية ✅
غرفة سائق ✅
15 د عن المطار ✈️
6د مستشفى المملكة 
5د مول سولتير مول ✅
منطقه متكاملة الخدمات ✅

البيع : 6,000,000 ويتحمل المالك فك رهن الصندوق العقاري .

مزيد تفاصيل واتس : ((رقم المعلن يظهر عند التواصل))",24.80527,46.648884,https://images.aqar.fm/webp/750x0/props/024391050_1762621778866.jpg | https://images.aqar.fm/webp/750x0/props/024391058_1762621804524.jpg | https://images.aqar.fm/webp/750x0/props/024391059_1762621804505.jpg | https://images.aqar.fm/webp/750x0/props/024391050_1762621804508.jpg | https://images.aqar.fm/webp/750x0/props/024391050_1762621804521.jpg | https://images.aqar.fm/webp/750x0/props/024391053_1762621804492.jpg | https://images.aqar.fm/webp/750x0/props/024391051_1762621804493.jpg | https://images.aqar.fm/webp/750x0/props/024391056_1762621804512.jpg | https://images.aqar.fm/webp/750x0/props/024391059_1762621804516.jpg | https://images.aqar.fm/webp/750x0/props/024391058_1764341791895.jpg,10,عبدالله الغانم,مكتب شريط للعقارات,1,2025-11-08,2025-11-08,2026-08-21,3402,2026-08-23,True,"6,000,000",False,فيلا
6582160,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-النصايف-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6582160,"فيلا للبيع في شارع النصايف, حي الصحافة, مدينة الرياض, منطقة الرياض",3500000,350,7,1,5,11,حي الصحافة,الرياض,شمال الرياض,"🪧فله للبيع🪧  
 
           ب 3500000
    ♦️المسوق الحصري♦️ 
 شركة بيت الامتار للعقارات 
 
 ابوفهد 
 
ابوعبدالعزيز 
 

  ♦️مواصفات الفله♦️

الفله نظيفه جدااا 👌
فله  درج صالة 
الدور الأرضي 
الحوش كبير 
مجلس رجال + مقلط +صاله + مطبخ ومستودع + دورتين مياه
الدور الاول 
غرفه نوم ماستر مع دورة مياه + غرفة نوم مع دورة مياه + غرفتين نوم دورة مياه مشتركه + صاله كبيره 
الدور الثاني غرفتين ودورة مياه والسطح 

الفله مرهونه للبنك 
باقي عليها 800 الف

♦️يمنع الوسطاء♦️

ابوفهد..
 ",24.810988,46.641743,https://images.aqar.fm/webp/750x0/props/028316570_1770612579544.jpg | https://images.aqar.fm/webp/750x0/props/028316578_1770612579314.jpg | https://images.aqar.fm/webp/750x0/props/028316572_1770612579371.jpg | https://images.aqar.fm/webp/750x0/props/028316579_1770612579384.jpg | https://images.aqar.fm/webp/750x0/props/028316571_1770612579540.jpg,5,عبدالعزيز محمد عبدالعزيز البدري,شركة بيت الامتار للعقارات,1,2026-02-09,2026-08-02,2026-08-22,1987,2026-08-23,True,"3,500,000",False,فيلا
6704396,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-وادي-الدواسر-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6704396,"فيلا للبيع في شارع وادي الدواسر, حي الصحافة, مدينة الرياض, منطقة الرياض",7500000,780,,5,3,11,حي الصحافة,الرياض,شمال الرياض,"🏡 فيلا فاخرة للبيع في حي الصحافة – موقع استثنائي 🏡

فرصة مميزة لامتلاك فيلا واسعة في أحد أرقى مربعات حي الصحافة، بموقع استراتيجي قريب من محطة مترو الحبيب، وطريق أنس بن مالك، وطريق الإمام سعود بن فيصل، مع سهولة الوصول لأهم الخدمات والمحاور الرئيسية.

📍 الموقع: حي الصحافة
📐 المساحة: 780 م²
🛣 الواجهة: شارع 20 شرقي
🏠 عدد الأدوار: 3 أدوار

✨ تفاصيل الفيلا:

🔹 الدور الأرضي:
	•	ملحقان خارجيان
	•	بيت شعر
	•	مجلس رجال واسع
	•	مقلط
	•	صالة مفتوحة كبيرة
	•	مجلس نساء
	•	غرفة ضيافة
	•	مطبخ داخلي
	•	مطبخ خارجي
	•	درج داخلي

🔹 الدور الأول:
	•	6 غرف نوم
	•	غرفتان ماستر
	•	4 دورات مياه

🔹 الدور الثاني:
	•	غرفة خادمة
	•	مخزن
	•	غرفة غسيل
	•	دورة مياه
	•	سطح واسع وكبير

✅ الفيلا تتميز بمساحات رحبة وتصميم عملي يناسب السكن العائلي الراقي، في موقع يعد من أفضل مواقع شمال الرياض.

📞 للتواصل والمعاينة:
0500017227

📄 رقم الترخيص الإعلاني: 7200968909
📄 رخصة فال: 1200027790",24.803169,46.634848,,,بندر مرعي حسين قماش,شركة سمار العقارية,1,2026-05-19,2026-08-15,2026-08-21,473,2026-08-23,True,"7,500,000",False,فيلا
