listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6731672,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الصفا/شارع-أحمد-بن-أصبغ-حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6731672,"فيلا للبيع في شارع أحمد بن أصبغ, حي الصفاء, مدينة الرياض, منطقة الرياض",2100000,200,4,5,3,0,حي الصفا,الرياض,شرق الرياض,"🌟موقع استراتيجي🌟
فلل سكنية فاخرة وفخمة وعصرية✨
مشروع فلل جوهرة الريادة | حي الصفا

📍المشروع يبعد عن طريق النهضة  2 دقيقتين
📍وعن محطة المترو 2 دقيقتين 
📍وعن مشروع seven 4 دقائق
📍 وعن جامع الراجحي 6 دقائق
📍 وعن طريق خريص 6 دقائق 
📍وعن حديقة الملك عبدالله 9 دقائق
📍 وعن الدائري الشرقي 5 دقائق

قريب جدا من الخدمات والمسجد والحديقة 

——————————
🌟مميزات المشروع:
-تكييف مركزي ❄️
-تأسيس مكيفات ❄️
-مواقف سيارات خاصة 🚗
-واجهات خارجية حديثة 🌟
-نظام دخول ذكي 
-عدادات مياه وكهرباء مستقله ⚡️
-خزانات مستقلة 💦
-تأسيس كاميرات خارجية 📷

اسعار مدروسة وما تحصل مثلها ان شاءالله 😉

المكونات:
-موقف سيارة خاص
-مجلس مع مغاسل ودورة مياه مستقلة
-صالتي جلوس
-صالة طعام
-مطبخ
-4 غرف نوم منها اثنتان ماستر
ويوجد نموذج اخر  كلها ماستر
-غرفة خادمة
-غرفة غسيل
-سطح خاص

البيع بدون سعي!!!

ضمانات تصل حتى 25 سنة 🌟🌟
وضمان شامل على المطور سنتين 😍

الصامل له سعر خاص

للتفاصيل والأسعار - المبيعات
551118480",24.667165,46.760016,https://images.aqar.fm/webp/750x0/props/052396429_1781960148308.jpg | https://images.aqar.fm/webp/750x0/props/052396426_1781960172249.jpg | https://images.aqar.fm/webp/750x0/props/052396421_1781960172201.jpg | https://images.aqar.fm/webp/750x0/props/052396421_1781960172219.jpg | https://images.aqar.fm/webp/750x0/props/052396420_1781960222082.jpg | https://images.aqar.fm/webp/750x0/props/052396427_1781960222087.jpg | https://images.aqar.fm/webp/750x0/props/052396429_1781960222089.jpg | https://images.aqar.fm/webp/750x0/props/052396427_1781960276554.jpg | https://images.aqar.fm/webp/750x0/props/052396420_1781960276561.jpg | https://images.aqar.fm/webp/750x0/props/052396425_1781960276543.jpg | https://images.aqar.fm/webp/750x0/props/052396421_1781960276588.jpg | https://images.aqar.fm/webp/750x0/props/052396429_1781960276552.jpg | https://images.aqar.fm/webp/750x0/props/052396423_1781960276562.jpg | https://images.aqar.fm/webp/750x0/props/052396427_1781960276593.jpg | https://images.aqar.fm/webp/750x0/props/052396420_1781960276552.jpg | https://images.aqar.fm/webp/750x0/props/052396424_1781960307146.jpg | https://images.aqar.fm/webp/750x0/props/052396422_1781960307112.jpg | https://images.aqar.fm/webp/750x0/props/052396420_1781960307107.jpg | https://images.aqar.fm/webp/750x0/props/052396422_1781960307116.jpg | https://images.aqar.fm/webp/750x0/props/052396421_1781960307146.jpg | https://images.aqar.fm/webp/750x0/props/052396424_1781960307146.jpg | https://images.aqar.fm/webp/750x0/props/052396426_1781960307106.jpg | https://images.aqar.fm/webp/750x0/props/052396428_1781960307149.jpg | https://images.aqar.fm/webp/750x0/props/052396424_1781960383909.jpg | https://images.aqar.fm/webp/750x0/props/052396420_1781960383877.jpg | https://images.aqar.fm/webp/750x0/props/052396423_1781960383887.jpg,26,المقداد ماجد عبدالعزيز الهزاني,مؤسسة فوادن الاعمار,1,2026-06-13,2026-06-13,2026-08-19,226,2026-08-23,True,"2,100,000",False,فيلا
6650792,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الصفا/شارع-الصفا-حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6650792,"فيلا للبيع في شارع الصفا, حي الصفاء, مدينة الرياض, منطقة الرياض",5200000,400,,0,0,0,حي الصفا,الرياض,شرق الرياض,$5b,24.666888,46.776261,https://images.aqar.fm/webp/750x0/props/046116284_1775939352104.jpg | https://images.aqar.fm/webp/750x0/props/046116282_1775939352112.jpg | https://images.aqar.fm/webp/750x0/props/046116284_1775939352105.jpg | https://images.aqar.fm/webp/750x0/props/046116281_1775939352124.jpg | https://images.aqar.fm/webp/750x0/props/046116289_1775939352119.jpg | https://images.aqar.fm/webp/750x0/props/046116283_1775939352170.jpg | https://images.aqar.fm/webp/750x0/props/046116289_1775939352116.jpg,7,فهد بن عبدالله بن عبدالعزيز الحوشاني,,,2026-04-11,2026-07-10,2026-08-18,255,2026-08-23,True,"5,200,000",False,فيلا
6743768,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الصفا/طريق-النهضة-حي-الصفا-الرياض-منطقة-الرياض-6743768,فيلا للبيع في طريق النهضة ، حي الصفا ، الرياض ، منطقة الرياض,3000000,625,7,6,2,30,حي الصفا,الرياض,شرق الرياض,"للبيع فيلا دورين مفصوله حي الصفا مناسبة للمستثمر و السكن

معلومات الفيلا 

المساحة 625
على شارع ٢٠ غربي 
 
عمرها اكثر من ٣٥ سنه 
مجددة ، ومفصولة بالكامل دورين
تبعد عن الدائري الشرقي ٢٠٠ متر 
قريبه من مركز الحبيب الطبي (الجديد )
دورين 
الدور الأرضي مطبخ مستودع للمطبخ + ثلاث غرف + صالة + مجلس+ دورتين مياه + ملحق خارجي مع حمام وحوش .
الدور الأول بمدخل خاص مجلس + صالة + مطبخ + غرفتين نوم + دورتين مياه + ملحق علوي مع دورة المياه .
غاز مركزي

النطاق الشامل للخدمات العقاريه 

مع الوكيل مباشر 

057o572552 / 057o579559 للاستفسار",24.666773,46.764799,,,بندر خالد عبدالله الشثري,مؤسسة النطاق الشامل للخدمات العقارية,1,2026-06-22,,2026-08-18,93,2026-08-23,False,طلب تسويق,False,فيلا
6547556,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الصفا/شارع-عمر-بن-أحمد-بن-العديم-حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6547556,"فيلا للبيع في شارع عمر بن أحمد بن العديم, حي الصفاء, مدينة الرياض, منطقة الرياض",2340000,3904,4,1,0,0,حي الصفا,الرياض,شرق الرياض,"مشروع فلل بعد - شركة نقش للاستثمار
مكون من 18 فيلا بمساحات متنوعة

————————————

*فيلا زاوية / 216 م*
*2,450,000*

*فيلا وسط / 216*
*2,350,000*

*فيلا وسط / 224م*
*2,480,000*

*_______________________*

*موقع المشروع 📍*

https://maps.app.goo.gl/oZabCNKByPwqzg1B6?g_stg_st=ipc


————————————

تواصل معنا : 920031327",24.667939,46.768288,https://images.aqar.fm/webp/750x0/props/036351425_1784803672200.jpg,1,عبدالرحمن محمد عبدالله البصيلي,شركة نقش للاستثمار,1,2026-01-15,2026-01-15,2026-07-27,3365,2026-08-23,True,"2,340,000",False,فيلا
6652975,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الصفا/شارع-الصفا-حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6652975,"فيلا للبيع في شارع الصفا, حي الصفاء, مدينة الرياض, منطقة الرياض",3500000,336,,5,4,0,حي الصفا,الرياض,شرق الرياض,"🌟 Brand New Villa for Sale 🌟

Neighborhood: Al Safa

Golden Square

Near Noor Al Huda Mosque

Luxury Finishing
Stone Facade

Area: 336 sq m
15m North Street
20m South Street

The villa's layout is well-organized and includes:

(7 suites)

All master suites

Elevator available and ready
Near Noor Al Huda Mosque
• 3 electricity meters
• Close to the Eastern Ring Road
• In the Golden Square
• Close to a school complex
• Close to all services

Current Asking Price:

3,450,000 SAR

Sale is imminent

Directly with the owner
Abu Salman Al Mahous
0595412500

🌟 للبيع فلة جديدة 🌟 

الحي: الصفا  

المربع الذهبي 

`قريبة من جامع نور الهدى`

تشطيب فاخر 
واجهات حجر

المساحة: 336 م
شارع 15 شمالي
شارع 20 جنوبي

مخطط الفله مرتب يحتوي :
 ( 7 أجنحة )
`كلها ماستر`
متوفر وجاهز ( مصعد )
قريبة من جامع نور الهدى شيبة الحمد 
• 3 عدادات كهرباء 
• قريية من الدائري الشرقي 
• في المخطط الذهبي
• قريبة من مجمع مدارس 
•قريبة من جميع الخدمات 

السوم الآن :
3،450،000

والبيع قريب

مع المالك مباشرة 
أبو سلمان المهوس 
0595412500",24.668684,46.775804,https://images.aqar.fm/webp/750x0/props/005327810_1776081686971.jpg | https://images.aqar.fm/webp/750x0/props/005327816_1776081696591.jpg | https://images.aqar.fm/webp/750x0/props/005327811_1776081696589.jpg | https://images.aqar.fm/webp/750x0/props/005327814_1776081696591.jpg | https://images.aqar.fm/webp/750x0/props/005327813_1776081696676.jpg | https://images.aqar.fm/webp/750x0/props/005327810_1776081696687.jpg | https://images.aqar.fm/webp/750x0/props/005327812_1776081696591.jpg | https://images.aqar.fm/webp/750x0/props/005327813_1776081696589.jpg | https://images.aqar.fm/webp/750x0/props/005327818_1776081696668.jpg,9,عبدالرحمن المهوس,,,2026-04-13,2026-05-12,2026-07-10,773,2026-08-23,True,"3,500,000",False,فيلا
6749185,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الصفا/شارع-يحيى-بن-إسماعيل-حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6749185,"فيلا للبيع في شارع يحيى بن إسماعيل, حي الصفاء, مدينة الرياض, منطقة الرياض",2150000,200,4,1,0,0,حي الصفا,الرياض,شرق الرياض,"للبيع فيلا فاخرة
واجهة شرقية مساحة 200 متر السعر: 2,150,000 ريال
المواصفات:
غرفة سائق
نموذج بملحق خارجي
خمس غرف نوم",24.668895,46.75867,https://images.aqar.fm/webp/750x0/props/031906814_1782505745317.jpg | https://images.aqar.fm/webp/750x0/props/031906814_1782505745317.jpg,2,خالد حمد,مؤسسة رداح العقارية,1,2026-06-26,2026-07-26,2026-07-26,132,2026-08-23,True,"2,150,000",False,فيلا
6771764,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الصفا/شارع-الأمير-عبدالمحسن-بن-عبدالعزيز-حي-الصفا-الرياض-منطقة-الرياض-6771764,فيلا للبيع في شارع الأمير عبدالمحسن بن عبدالعزيز ، حي الصفا ، الرياض ، منطقة الرياض,3000000,253,4,5,2,0,حي الصفا,الرياض,شرق الرياض,فلل رواس,24.662662,46.761538,https://images.aqar.fm/webp/750x0/props/036351423_1783950953333.jpg | https://images.aqar.fm/webp/750x0/props/036351428_1783950953348.jpg | https://images.aqar.fm/webp/750x0/props/036351425_1783950953368.jpg | https://images.aqar.fm/webp/750x0/props/036351428_1783950953368.jpg | https://images.aqar.fm/webp/750x0/props/036351425_1783950953368.png | https://images.aqar.fm/webp/750x0/props/036351427_1783950953366.png | https://images.aqar.fm/webp/750x0/props/036351423_1783950953368.png,7,عبدالرحمن محمد عبدالله البصيلي,شركة نقش للاستثمار,1,2026-07-13,,2026-07-13,94,2026-08-23,False,طلب تسويق,False,فيلا
6571245,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الصفا/شارع-ممر14-حي-الصفا-الرياض-منطقة-الرياض-6571245,"فيلا للبيع في شارع 25098060, حي الصفاء, مدينة الرياض, منطقة الرياض",2750000,300,5,5,3,0,حي الصفا,الرياض,شرق الرياض,"الفيلا الأخيرة بالمشروع

تشطيب مميز

أسقف مرتفعة   + ٤م

موقع رائع ومرتفع",24.66354,46.773334,https://images.aqar.fm/webp/750x0/props/006464667_1769960967553.jpg | https://images.aqar.fm/webp/750x0/props/006464669_1769960967547.jpg,2,صلاح بن عبدالعزيز بن علي الراجحي,,,2026-02-01,2026-02-01,2026-08-14,5834,2026-08-23,True,"2,750,000",False,فيلا
6820886,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الصفا/حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6820886,"فيلا للبيع في حي الصفاء, مدينة الرياض, منطقة الرياض",1750000,200,5,5,2,0,حي الصفا,الرياض,شرق الرياض,"للبيع          : فيلا 
الحي         : الصفا 
المساحه  : ٢٠٠م
الشارع       : ١٨م 
الواجهه   : غرب 
البيع       : مليون و ٧٥٠ الف
#️⃣المواصفات#️⃣ مدخل سياره، مجلس، مقلط، صاله، مطبخ ودورة مياه 
#️⃣الدور الأول#️⃣ ٤ غرف نوم وصاله ودورتين مياه 
#️⃣السطح#️⃣ صاله وسطح وغرفه ودورة مياه ومؤسس لغرفه اضافيه",24.671889,46.759634,https://images.aqar.fm/webp/750x0/props/001388170_1786639919521.jpg | https://images.aqar.fm/webp/750x0/props/001388177_1786639919525.jpg | https://images.aqar.fm/webp/750x0/props/001388176_1786639919687.jpg | https://images.aqar.fm/webp/750x0/props/001388173_1786639919596.jpg | https://images.aqar.fm/webp/750x0/props/001388179_1786639919603.jpg | https://images.aqar.fm/webp/750x0/props/001388172_1786639919730.jpg | https://images.aqar.fm/webp/750x0/props/001388174_1786639919775.jpg | https://images.aqar.fm/webp/750x0/props/001388175_1786639919805.jpg | https://images.aqar.fm/webp/750x0/props/001388176_1786639919872.jpg | https://images.aqar.fm/webp/750x0/props/001388173_1786639919944.jpg,10,محمد الدرعاني,شركة مجموعة الدرعاني العقارية,1,2026-08-13,2026-08-13,2026-08-23,321,2026-08-23,True,"1,750,000",False,فيلا
6535054,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-الصفا/حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6535054,"فيلا للبيع في حي الصفاء, مدينة الرياض, منطقة الرياض",1350000,258,5,4,2,0,حي الصفا,الرياض,شرق الرياض,"تاون هاوس علوي للبيع بحي الصفا:
مساحة: 258م
عرض الشارع: 20م
مدخل للسيارة
مدخلين

يتكون من:
الدور الاول:
مجلس رجال مع بلكونة
صالة
غرفه نوم
مطبخ
دورتين مياه

الدور العلوي:
عدد 3 غرف نوم منهم غرفة ماستر
غرفه خادمة
دورة مياه
سطح

المميزات:
علي بضع دقائق من طريق عمر بن الخطاب
علي بضع دقائق من طريق النهضة
علي بضع دقائق من طريق الامير متعب بن عبد العزيز
علي بضع دقائق من محطات النقل السريع

السعر: 1,400,000 ألف ريال قابل للتفاوض

للتواصل والاستفسار: ((رقم المعلن يظهر عند التواصل))



متوفر لدينا خدمة توثيق عقود الإيجار السكني والتجاري عبر منصة إيجار بسرعة وموثوقية، بشكل رسمي ومعتمد.
تواصل الآن وخلّص عقدك بسهولة: ((رقم المعلن يظهر عند التواصل))

إتــحــاد الــنــجــاح لـلــعــقــارات
كل خدماتك العقارية في مكان واحد",24.664618,46.771515,https://images.aqar.fm/webp/750x0/props/007690302_1767632914131.jpg | https://images.aqar.fm/webp/750x0/props/007690307_1767632913777.jpg | https://images.aqar.fm/webp/750x0/props/007690300_1767632913776.jpg | https://images.aqar.fm/webp/750x0/props/007690306_1767632913776.jpg | https://images.aqar.fm/webp/750x0/props/007690305_1767632913788.jpg | https://images.aqar.fm/webp/750x0/props/007690301_1767632913808.jpg | https://images.aqar.fm/webp/750x0/props/007690304_1767632913807.jpg | https://images.aqar.fm/webp/750x0/props/007690304_1767632913818.jpg | https://images.aqar.fm/webp/750x0/props/007690307_1767632913822.jpg | https://images.aqar.fm/webp/750x0/props/007690301_1767632913821.jpg | https://images.aqar.fm/webp/750x0/props/007690306_1767632913978.jpg | https://images.aqar.fm/webp/750x0/props/007690308_1767632913983.jpg | https://images.aqar.fm/webp/750x0/props/007690309_1767632913992.jpg | https://images.aqar.fm/webp/750x0/props/007690300_1767632913992.jpg | https://images.aqar.fm/webp/750x0/props/007690303_1767632914005.jpg | https://images.aqar.fm/webp/750x0/props/007690307_1767632914020.jpg | https://images.aqar.fm/webp/750x0/props/007690305_1767632914020.jpg | https://images.aqar.fm/webp/750x0/props/007690303_1767632914048.jpg | https://images.aqar.fm/webp/750x0/props/007690306_1767632914050.jpg | https://images.aqar.fm/webp/750x0/props/007690303_1767632914053.jpg | https://images.aqar.fm/webp/750x0/props/007690303_1767632914088.jpg | https://images.aqar.fm/webp/750x0/props/007690303_1767632914073.jpg | https://images.aqar.fm/webp/750x0/props/007690305_1767632914080.jpg | https://images.aqar.fm/webp/750x0/props/007690305_1767632914095.jpg | https://images.aqar.fm/webp/750x0/props/007690300_1767632914097.jpg | https://images.aqar.fm/webp/750x0/props/007690301_1767632914125.jpg | https://images.aqar.fm/webp/750x0/props/007690300_1767632914120.jpg | https://images.aqar.fm/webp/750x0/props/007690300_1767632914121.jpg | https://images.aqar.fm/webp/750x0/props/007690300_1767632914134.jpg | https://images.aqar.fm/webp/750x0/props/007690302_1767632914178.jpg | https://images.aqar.fm/webp/750x0/props/007690304_1767632914150.jpg,31,عبدالله مسفر سالم العرجاني,مكتب اتحاد النجاح للعقارات,1,2026-01-05,2026-01-05,2026-08-18,13451,2026-08-23,True,"1,350,000",False,فيلا
