listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6668864,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-أحمد-بن-بكر-بن-بقية-حي-العارض-مدينة-الرياض-منطقة-الرياض-6668864,"فيلا للبيع في شارع أحمد بن بكر بن بقية, حي العارض, مدينة الرياض, منطقة الرياض",3500000,415,5,5,4,8,حي العارض,الرياض,شمال الرياض,"للبيع فيلا حي العارض ممتازة وقريبه من جميع الخدمات وموقع مميز
التواصل واتساب",24.895119,46.618143,https://images.aqar.fm/webp/750x0/props/050889499_1784069240217.jpg,1,عبدالرحمن بن ابراهيم بن سعد بن مصيليخ,مؤسسة تلال العاذرية,1,2026-04-25,2026-08-01,2026-08-10,310,2026-08-23,True,"3,500,000",False,فيلا
6744100,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-مساعد-بن-أحمد-السديري-حي-العارض-مدينة-الرياض-منطقة-الرياض-6744100,"فيلا للبيع في شارع مساعد بن أحمد السديري, حي العارض, مدينة الرياض, منطقة الرياض",2900000,249,4,1,0,0,حي العارض,الرياض,شمال الرياض,"*( فـــيلاللـــبيع)*  يوجد شهادة إتمام بناء تأمين ضد العيوب الخفيه اشراف هندسي جميع الضمانات 
- الموقع::- العارض
- المساحه::- ٢٥٠ شارع غربي ٢٠
المساحه ٢٣٤شارع غربي جنوبي ٢٠ متر
فيلا درجً صاله 
زاويه جنوبي 15غربي 20
-الشارع  ::  20 م غربي
- مصعد 
- ⁠تكيف مركزى راكب 

- الدور الارضى::-
===========
‏مجلس وصالة كبيرة مقلط ومطبخ مستودع  تكييف مركزي

-الدور الأول::-
=========
‏٤غرف نوم وصالة
-السطح::-
======
 صالة كبيرة غرفه غسيل

البيع ٢مليون ٩٠٠الف",24.84666,46.628843,https://images.aqar.fm/webp/750x0/props/029536196_1782169432694.jpg | https://images.aqar.fm/webp/750x0/props/029536194_1782169432706.jpg | https://images.aqar.fm/webp/750x0/props/029536199_1782169432833.jpg | https://images.aqar.fm/webp/750x0/props/029536193_1782169432834.jpg | https://images.aqar.fm/webp/750x0/props/029536195_1782169432842.jpg | https://images.aqar.fm/webp/750x0/props/029536199_1782169433001.jpg | https://images.aqar.fm/webp/750x0/props/029536196_1782169432694.jpg | https://images.aqar.fm/webp/750x0/props/029536194_1782169432706.jpg | https://images.aqar.fm/webp/750x0/props/029536199_1782169432833.jpg | https://images.aqar.fm/webp/750x0/props/029536193_1782169432834.jpg | https://images.aqar.fm/webp/750x0/props/029536195_1782169432842.jpg | https://images.aqar.fm/webp/750x0/props/029536199_1782169433001.jpg | https://images.aqar.fm/webp/750x0/props/029536196_1782169538200.jpg | https://images.aqar.fm/webp/750x0/props/029536190_1782169538538.jpg | https://images.aqar.fm/webp/750x0/props/029536190_1782169538783.jpg | https://images.aqar.fm/webp/750x0/props/029536194_1782169538781.jpg | https://images.aqar.fm/webp/750x0/props/029536190_1782169538788.jpg | https://images.aqar.fm/webp/750x0/props/029536196_1782169539174.jpg | https://images.aqar.fm/webp/750x0/props/029536199_1782169540090.jpg | https://images.aqar.fm/webp/750x0/props/029536197_1782169540853.jpg | https://images.aqar.fm/webp/750x0/props/029536197_1782169540885.jpg | https://images.aqar.fm/webp/750x0/props/029536191_1782169540901.jpg | https://images.aqar.fm/webp/750x0/props/029536194_1782169541025.jpg,23,أمل بنت صالح بن فهد المحيجين,شركة مساكن وصلة العقارية,1,2026-06-22,2026-08-20,2026-08-23,396,2026-08-23,True,"2,900,000",False,فيلا
6792241,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-الصفار-حي-العارض-مدينة-الرياض-منطقة-الرياض-6792241,"فيلا للبيع في شارع الصفار, حي العارض, مدينة الرياض, منطقة الرياض",2900000,300,4,5,0,0,حي العارض,الرياض,شمال الرياض,"*(للبيع  فلل )*  يوجد شهادة إتمام بناء تأمين ضد العيوب الخفيه اشراف هندسي جميع الضمانات 
- الموقع::- العارض 
- المساحه::  ٣١٠  متر 
- السعر ٢مليون ٩٠٠ 

فيلا زاويه المساحه 210
السعر ٢مليون ٦٠٠

المساحه   ٢٠٠  متر 
السعر ٢مليون  ٤٠٠

- الدور الارضى::-
===========
‏مجلس وصالة  ومطبخ ومستودع  مؤسس مصعد   مدخل سياره مسبح
غرفة سائق 

-الدور الأول::-
=========
‏٤غرف نوم ماستر 
-السطح::-
======
‏غرفة نوم ملحق شغالة مكان للغسيل",24.861029,46.641517,https://images.aqar.fm/webp/750x0/props/024191396_1785134118942.jpg | https://images.aqar.fm/webp/750x0/props/024191394_1785134115036.jpg | https://images.aqar.fm/webp/750x0/props/024191399_1785134118744.jpg | https://images.aqar.fm/webp/750x0/props/024191394_1785134118650.jpg | https://images.aqar.fm/webp/750x0/props/024191399_1785134115181.jpg | https://images.aqar.fm/webp/750x0/props/024191398_1785134115228.jpg | https://images.aqar.fm/webp/750x0/props/024191391_1785134115317.jpg | https://images.aqar.fm/webp/750x0/props/024191390_1785134115356.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1785134118287.jpg | https://images.aqar.fm/webp/750x0/props/024191397_1785134118309.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1785134118323.jpg | https://images.aqar.fm/webp/750x0/props/024191391_1785134118362.jpg | https://images.aqar.fm/webp/750x0/props/024191394_1785134118365.jpg | https://images.aqar.fm/webp/750x0/props/024191391_1785134118511.jpg | https://images.aqar.fm/webp/750x0/props/024191391_1785134118519.jpg | https://images.aqar.fm/webp/750x0/props/024191395_1785134118551.jpg | https://images.aqar.fm/webp/750x0/props/024191396_1785134118596.jpg | https://images.aqar.fm/webp/750x0/props/024191396_1785134118796.jpg | https://images.aqar.fm/webp/750x0/props/024191394_1785134118790.jpg | https://images.aqar.fm/webp/750x0/props/024191396_1785134118845.jpg | https://images.aqar.fm/webp/750x0/props/024191394_1785134115036.jpg | https://images.aqar.fm/webp/750x0/props/024191396_1785134118942.jpg | https://images.aqar.fm/webp/750x0/props/024191399_1785134118744.jpg | https://images.aqar.fm/webp/750x0/props/024191394_1785134118650.jpg | https://images.aqar.fm/webp/750x0/props/024191399_1785134115181.jpg | https://images.aqar.fm/webp/750x0/props/024191398_1785134115228.jpg | https://images.aqar.fm/webp/750x0/props/024191391_1785134115317.jpg | https://images.aqar.fm/webp/750x0/props/024191390_1785134115356.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1785134118287.jpg | https://images.aqar.fm/webp/750x0/props/024191397_1785134118309.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1785134118323.jpg | https://images.aqar.fm/webp/750x0/props/024191391_1785134118362.jpg | https://images.aqar.fm/webp/750x0/props/024191394_1785134118365.jpg | https://images.aqar.fm/webp/750x0/props/024191391_1785134118511.jpg | https://images.aqar.fm/webp/750x0/props/024191391_1785134118519.jpg | https://images.aqar.fm/webp/750x0/props/024191395_1785134118551.jpg | https://images.aqar.fm/webp/750x0/props/024191396_1785134118596.jpg | https://images.aqar.fm/webp/750x0/props/024191396_1785134118796.jpg | https://images.aqar.fm/webp/750x0/props/024191394_1785134118790.jpg | https://images.aqar.fm/webp/750x0/props/024191396_1785134118845.jpg,40,صالح محمد,مؤسسة روف الصفوة العقارية,1,2026-07-27,2026-07-27,2026-08-23,354,2026-08-23,True,"2,900,000",False,فيلا
6634856,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-محمد-بسيوني-حي-العارض-مدينة-الرياض-منطقة-الرياض-6634856,"فيلا للبيع في شارع محمد بسيوني, حي العارض, مدينة الرياض, منطقة الرياض",3000000,250,,0,0,6,حي العارض,الرياض,شمال الرياض,"فيلا مستقلة دانة الياسمين 
250متر
واجهة شمال شارع 15
العمر 6سنوات تقريباً 
الدور الأرضي:
غرفة سائق ومجلس ومقلط وصالة ومطبخ ومستودع
الدور العلوي:
غرفتين ماستر وغرفتين بينهم دورة مياه
السطح:
غرفة خادمة وغسيل
الابواب wpc من ابواب كي
الشبابيك شتر من الموسى
تكييف الصالات والمجلس كونسيلد مخفي
تكييف الغرف سبيلت
المطبخ راكب من شركة فنون حواء
التكييف راكب
الفيلا مؤجرة ولله الحمد",24.856558,46.633959,https://images.aqar.fm/webp/750x0/props/011035886_1774809619182.jpg | https://images.aqar.fm/webp/750x0/props/011035884_1774809619198.jpg | https://images.aqar.fm/webp/750x0/props/011035881_1774809619192.jpg | https://images.aqar.fm/webp/750x0/props/011035882_1774809619198.jpg | https://images.aqar.fm/webp/750x0/props/011035883_1774809619190.jpg | https://images.aqar.fm/webp/750x0/props/011035888_1774809619181.jpg | https://images.aqar.fm/webp/750x0/props/011035889_1774809619173.jpg | https://images.aqar.fm/webp/750x0/props/011035880_1774809619174.jpg,8,مشعل سليمان عبدالعزيز السيف,,,2026-03-29,2026-03-29,2026-08-19,1316,2026-08-23,True,"3,000,000",False,فيلا
6739529,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-عبدالله-بن-ملاذ-الأشعري-حي-العارض-مدينة-الرياض-منطقة-الرياض-6739529,"فيلا للبيع في شارع عبدالله بن ملاذ الأشعري, حي العارض, مدينة الرياض, منطقة الرياض",2500000,200,4,3,1,0,حي العارض,الرياض,شمال الرياض,"نعتذر للوسطاء ...
( ( فيلا للبيع ) )
- الموقع : حى العارض 
الفيلا درج في الصاله  

- المساحه : 200 م
الشارع: 15 م  جنوبي

- تتميز الفيلا بالاتي :
- مصعد 
- دبل هيت 
- تكيف مركزى - ضمانات وتامين ملاذ
- المود والخامات المستخدمه فى البناء ذا جودًا عالية

تتكون من :
الدور الارضى. : استقبال حوش  مجلس ، مقلط ، صاله مفتوحه ، مجلس نساء مطبخ

الدور العلوى : 3 نوم وصاله

السطح:
غرفه وصاله 

- موقع قريب من الخدمات العامه والخاصه 
- الموقع قريب من الطرق الرئيسيه
الموقع غير دقيق",24.867591,46.614458,https://images.aqar.fm/webp/750x0/props/002644878_1781894774866.jpg | https://images.aqar.fm/webp/750x0/props/002644877_1781894774864.jpg | https://images.aqar.fm/webp/750x0/props/002644878_1781894792706.jpg | https://images.aqar.fm/webp/750x0/props/002644878_1781894792584.jpg | https://images.aqar.fm/webp/750x0/props/002644879_1781894792586.jpg | https://images.aqar.fm/webp/750x0/props/002644876_1781894792601.jpg | https://images.aqar.fm/webp/750x0/props/002644871_1781894792587.jpg | https://images.aqar.fm/webp/750x0/props/002644879_1781894792690.jpg | https://images.aqar.fm/webp/750x0/props/002644878_1781894792593.jpg | https://images.aqar.fm/webp/750x0/props/002644876_1781894792567.jpg | https://images.aqar.fm/webp/750x0/props/002644874_1781894807638.jpg | https://images.aqar.fm/webp/750x0/props/002644876_1781894807587.jpg | https://images.aqar.fm/webp/750x0/props/002644876_1781894807587.jpg | https://images.aqar.fm/webp/750x0/props/002644870_1781894807586.jpg | https://images.aqar.fm/webp/750x0/props/002644877_1781894807640.jpg | https://images.aqar.fm/webp/750x0/props/002644874_1781894807661.jpg | https://images.aqar.fm/webp/750x0/props/002644870_1781894807589.jpg | https://images.aqar.fm/webp/750x0/props/002644872_1781894807661.jpg | https://images.aqar.fm/webp/750x0/props/002644878_1781894820316.jpg | https://images.aqar.fm/webp/750x0/props/002644871_1781894820353.jpg | https://images.aqar.fm/webp/750x0/props/002644871_1781894820420.jpg | https://images.aqar.fm/webp/750x0/props/002644879_1781894820372.jpg | https://images.aqar.fm/webp/750x0/props/002644878_1781894820331.jpg | https://images.aqar.fm/webp/750x0/props/002644876_1781894820337.jpg | https://images.aqar.fm/webp/750x0/props/002644870_1781894820312.jpg | https://images.aqar.fm/webp/750x0/props/002644876_1781894820314.jpg | https://images.aqar.fm/webp/750x0/props/002644874_1781894832200.jpg | https://images.aqar.fm/webp/750x0/props/002644876_1781894832189.jpg | https://images.aqar.fm/webp/750x0/props/002644875_1781894832187.jpg | https://images.aqar.fm/webp/750x0/props/002644876_1781894832183.jpg,30,فايز الاحمري,شركة السهم الفضي للعقارات,1,2026-06-19,2026-08-17,2026-08-23,422,2026-08-23,True,"2,500,000",False,فيلا
6789102,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-مشاش-الجرود-حي-العارض-مدينة-الرياض-منطقة-الرياض-6789102,"فيلا للبيع في شارع مشاش الجرود, حي العارض, مدينة الرياض, منطقة الرياض",2600000,200,5,5,3,0,حي العارض,الرياض,شمال الرياض,"*(للبيع فلتين فيلازاويه)*  يوجد شهادة إتمام بناء تأمين ضد العيوب الخفيه اشراف هندسي جميع الضمانات 
- الموقع::- العارض
- المساحه:: 200 متر 
- السعر ٢مليون  ٦٥٠
- شارع ١٥جنوبي 
فيلا زاويه المساحه 210
شارع ٢٠م غربي ١٥م جنوبي 
السعر ٢مليون ٨٥٠
شغل دبل هايت 
- الدور الارضى::-
===========
‏مجلس وصالة  ومطبخ ومستودع 
ملحق شغالة وغرفة سائق 
مؤسس مصعد   تكييف مركزي راكب 

-الدور الأول::-
=========
‏ثلاث غرف نوم ماستر وصالة 
-السطح::-
======
‏غرفتين نوم ماستر  وسطح",24.870395,46.629056,https://images.aqar.fm/webp/750x0/props/024191396_1784963171772.jpg | https://images.aqar.fm/webp/750x0/props/024191395_1784963171539.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1784963171134.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1784963171135.jpg | https://images.aqar.fm/webp/750x0/props/024191398_1784963171030.jpg | https://images.aqar.fm/webp/750x0/props/024191399_1784963171107.jpg | https://images.aqar.fm/webp/750x0/props/024191398_1784963171123.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1784963171244.jpg | https://images.aqar.fm/webp/750x0/props/024191392_1784963171320.jpg | https://images.aqar.fm/webp/750x0/props/024191391_1784963171363.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1784963171366.jpg | https://images.aqar.fm/webp/750x0/props/024191390_1784963171414.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1784963171494.jpg | https://images.aqar.fm/webp/750x0/props/024191392_1784963171575.jpg | https://images.aqar.fm/webp/750x0/props/024191397_1784963171613.jpg | https://images.aqar.fm/webp/750x0/props/024191398_1784963171692.jpg | https://images.aqar.fm/webp/750x0/props/024191394_1784963171755.jpg | https://images.aqar.fm/webp/750x0/props/024191398_1784963171810.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1784963171856.jpg | https://images.aqar.fm/webp/750x0/props/024191396_1784963171772.jpg | https://images.aqar.fm/webp/750x0/props/024191395_1784963171539.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1784963171134.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1784963171135.jpg | https://images.aqar.fm/webp/750x0/props/024191398_1784963171030.jpg | https://images.aqar.fm/webp/750x0/props/024191399_1784963171107.jpg | https://images.aqar.fm/webp/750x0/props/024191398_1784963171123.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1784963171244.jpg | https://images.aqar.fm/webp/750x0/props/024191392_1784963171320.jpg | https://images.aqar.fm/webp/750x0/props/024191391_1784963171363.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1784963171366.jpg | https://images.aqar.fm/webp/750x0/props/024191390_1784963171414.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1784963171494.jpg | https://images.aqar.fm/webp/750x0/props/024191392_1784963171575.jpg | https://images.aqar.fm/webp/750x0/props/024191397_1784963171613.jpg | https://images.aqar.fm/webp/750x0/props/024191398_1784963171692.jpg | https://images.aqar.fm/webp/750x0/props/024191394_1784963171755.jpg | https://images.aqar.fm/webp/750x0/props/024191398_1784963171810.jpg | https://images.aqar.fm/webp/750x0/props/024191393_1784963171856.jpg,38,صالح محمد,مؤسسة روف الصفوة العقارية,1,2026-07-25,2026-08-23,2026-08-23,311,2026-08-23,True,"2,600,000",False,فيلا
6784874,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-محمد-حسين-هيكل-حي-العارض-مدينة-الرياض-منطقة-الرياض-6784874,"فيلا للبيع في شارع محمد حسين هيكل, حي العارض, مدينة الرياض, منطقة الرياض",3400000,420,4,5,2,0,حي العارض,الرياض,شمال الرياض,"كود رقم  510
( ( فـــيلا للـــبيع ) ) الموقــع : حي العارض درج فى الصاله 
 - ضمانات على الفيلا -
 غرفه اضافيه بالسطح

المــساحـــــه : 420م 
عرض الشارع : 15م

تتكون من :

الدور الارضى••• :
مسبح حوش واسع
مجلس مقلط صاله مطبخ 
مؤاسس مصعد مؤاسس تكييف مركزي ملحق خارجي غرفه سائق 
========

الدور الاول :
4 غرف نوم صالة 

========
السطح :
غرفه نوم
صاله كبيرة
غرفه شغاله
غرفه غسيل

السعر 3 مليون 400 الف",24.887097,46.604433,https://images.aqar.fm/webp/750x0/props/001000014_1785453290057.jpg | https://images.aqar.fm/webp/750x0/props/001000011_1785453290727.jpg | https://images.aqar.fm/webp/750x0/props/001000016_1785453290496.jpg | https://images.aqar.fm/webp/750x0/props/001000011_1785453290383.jpg | https://images.aqar.fm/webp/750x0/props/001000010_1785453290285.jpg | https://images.aqar.fm/webp/750x0/props/001000011_1785453289922.jpg | https://images.aqar.fm/webp/750x0/props/001000010_1785453290053.jpg | https://images.aqar.fm/webp/750x0/props/001000018_1785453289806.jpg | https://images.aqar.fm/webp/750x0/props/001000015_1785453289805.jpg | https://images.aqar.fm/webp/750x0/props/001000016_1785453289930.jpg | https://images.aqar.fm/webp/750x0/props/001000017_1785453289887.jpg | https://images.aqar.fm/webp/750x0/props/001000014_1785453290127.jpg | https://images.aqar.fm/webp/750x0/props/001000011_1785453290286.jpg | https://images.aqar.fm/webp/750x0/props/001000018_1785453290570.jpg | https://images.aqar.fm/webp/750x0/props/001000016_1785453290657.jpg | https://images.aqar.fm/webp/750x0/props/001000016_1785453290840.jpg | https://images.aqar.fm/webp/750x0/props/001000013_1785453290915.jpg,17,خالد سعود,شركة حدائق نجد العقارية,1,2026-07-22,2026-08-20,2026-08-22,245,2026-08-23,True,"3,400,000",False,فيلا
6767960,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-أحمد-بساطي-حي-العارض-مدينة-الرياض-منطقة-الرياض-6767960,"فيلا للبيع في شارع أحمد بساطي, حي العارض, مدينة الرياض, منطقة الرياض",4500000,395,6,4,1,9,حي العارض,الرياض,شمال الرياض,"🔶فيلا للبيع في حي العارض بموقع مميز 🔶


🔶المواصفات من الخارج 🔶

🔸رقم العرض : 

▪️الموقع :  العارض
▪️الشارع :  15,15
▪️الواجهة : جنوب و شرقية 
◾️المساحة: 400
💵السعر  :4,500,000


🔸المواصفات من الداخل🔸

▪️الدور الارضي :غرفة سائق + ومجلس رجال وصاله ومجلس نساء ومطبخ ومستودع بمساحات واسعه (وتكيف مركزي راكب ع الدور الارضي كامل وغرفة النوم الماستر) غرفه غسيل + صالة طعام 

▪️الدور الاول: اربع غرف نوم ماستر وصاله


▪️الدور الثاني :غرفة نوم 
+مستودع 2+سطح وجلسه خارجية 


🛑 للتواصل والاستفسار 🛑  :

احمد ((الرقم يظهر عند الضغط على اتصال))",24.866183,46.627641,https://images.aqar.fm/webp/750x0/props/031413459_1783696048107.jpg | https://images.aqar.fm/webp/750x0/props/031413451_1783696048133.jpg | https://images.aqar.fm/webp/750x0/props/031413459_1783696048157.jpg | https://images.aqar.fm/webp/750x0/props/031413450_1783696048113.jpg | https://images.aqar.fm/webp/750x0/props/031413459_1783696048138.jpg | https://images.aqar.fm/webp/750x0/props/031413457_1783696048135.jpg | https://images.aqar.fm/webp/750x0/props/031413458_1783696048130.jpg | https://images.aqar.fm/webp/750x0/props/031413457_1783696048134.jpg | https://images.aqar.fm/webp/750x0/props/031413454_1783696142258.jpg | https://images.aqar.fm/webp/750x0/props/031413454_1783696142271.jpg | https://images.aqar.fm/webp/750x0/props/031413459_1783696142264.jpg | https://images.aqar.fm/webp/750x0/props/031413450_1783696142262.jpg | https://images.aqar.fm/webp/750x0/props/031413454_1783696142264.jpg | https://images.aqar.fm/webp/750x0/props/031413452_1783696142267.jpg | https://images.aqar.fm/webp/750x0/props/031413450_1783696142265.jpg | https://images.aqar.fm/webp/750x0/props/031413457_1783696142262.jpg,16,فهد المطيري,مؤسسة مكتب أودع العقارية,1,2026-07-10,2026-08-08,2026-08-20,208,2026-08-23,True,"4,500,000",False,فيلا
6724478,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-القصر-حي-العارض-مدينة-الرياض-منطقة-الرياض-6724478,"فيلا للبيع في شارع القصر, حي العارض, مدينة الرياض, منطقة الرياض",1850000,190,5,3,1,3,حي العارض,الرياض,شمال الرياض,"تاون هاوس مجمع مستقل قرب مشارف هيلز ومستشفى الحبيب


المواصفات

كهرباء مستقل
ماء مستقل
مطبخ جديد باجهزته (فرن/شواية/مايكرويف/غسالة مواعين)
شتر جميع الشبابيك
تكييف مركزي
خزائن ملابس
جاكوزي
سطح وحوش
موقف

تفاصيل

الدور الارضي
مجلس تكييف مركزي بدورة مياه
مطبخ باجهزته
صاله تكييف مركزي
دورة مياه
حوش


الدور الاول
غرفة نوم ماستر تكييف مركزي
خزائن ملابس
دورة مياه بجاكوزي
غرفتين نوم تكييف سبليت
دورة مياه

الدور الثاني
غرفة غسيل مكيفه
غرفة خادمة مكيفه
سطح

🔶 يقبل البنك.🔶

🔹 حالياً مؤجرة بقيمة 90 الف ينتهي بشهر 12 ميلادي .",24.867813,46.638159,https://images.aqar.fm/webp/750x0/props/001252556_1780936249950.jpg | https://images.aqar.fm/webp/750x0/props/001252553_1780936249957.jpg | https://images.aqar.fm/webp/750x0/props/001252555_1780936249987.jpg | https://images.aqar.fm/webp/750x0/props/001252556_1780936249951.jpg | https://images.aqar.fm/webp/750x0/props/001252551_1780936249944.jpg | https://images.aqar.fm/webp/750x0/props/001252555_1780936249953.jpg | https://images.aqar.fm/webp/750x0/props/001252558_1780936249985.jpg | https://images.aqar.fm/webp/750x0/props/001252553_1780936249994.jpg | https://images.aqar.fm/webp/750x0/props/001252553_1780936262884.jpg | https://images.aqar.fm/webp/750x0/props/001252554_1780936262903.jpg | https://images.aqar.fm/webp/750x0/props/001252559_1780936262881.jpg | https://images.aqar.fm/webp/750x0/props/001252552_1780936262880.jpg | https://images.aqar.fm/webp/750x0/props/001252559_1780936262880.jpg | https://images.aqar.fm/webp/750x0/props/001252551_1780936262878.jpg | https://images.aqar.fm/webp/750x0/props/001252551_1780936262904.jpg | https://images.aqar.fm/webp/750x0/props/001252553_1780936262883.jpg,16,فهد بن سليمان بن عيسى العويس,مؤسسة مكتب ربوة الشمال للعقارات,1,2026-06-08,2026-08-05,2026-08-05,839,2026-08-23,True,"1,850,000",False,فيلا
6775811,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-العارض/شارع-محمد-صالح-قزاز-حي-العارض-مدينة-الرياض-منطقة-الرياض-6775811,"فيلا للبيع في شارع محمد صالح قزاز, حي العارض, مدينة الرياض, منطقة الرياض",3300000,260,5,5,5,0,حي العارض,الرياض,شمال الرياض,"*( فـــيلالللـــبيع)
*  يوجد شهادة إتمام بناء تأمين ضد العيوب الخفيه اشراف هندسي جميع الضمانات 
- الموقع::- العارض 
- المساحه:: ٢٦٠
-الشارع::-  ١٥ شمالي 
- الدور الارضى::-
===========
‏مجلس وصالة ومطبخ  وملحق شغالة ومكان للغسيل تكييف مركزي راكب مصعد راكب غرفه سائق مدخل سياره حوش 
-الدور الأول::-
=========
٣ غرف نوم ماستر 
-السطح::-
======
‏غرفة نوم ماستر وصاله وسطح",24.871476,46.629288,https://images.aqar.fm/webp/750x0/props/045218662_1786720655879.jpg | https://images.aqar.fm/webp/750x0/props/045218665_1786720680258.jpg | https://images.aqar.fm/webp/750x0/props/045218667_1786720680472.jpg | https://images.aqar.fm/webp/750x0/props/045218667_1786720680356.jpg | https://images.aqar.fm/webp/750x0/props/045218661_1786720680408.jpg | https://images.aqar.fm/webp/750x0/props/045218663_1786720680426.jpg | https://images.aqar.fm/webp/750x0/props/045218669_1786720680349.jpg | https://images.aqar.fm/webp/750x0/props/045218664_1786720680388.jpg | https://images.aqar.fm/webp/750x0/props/045218666_1786720680367.jpg | https://images.aqar.fm/webp/750x0/props/045218668_1786720722525.jpg | https://images.aqar.fm/webp/750x0/props/045218662_1786720722553.jpg | https://images.aqar.fm/webp/750x0/props/045218663_1786720722607.jpg | https://images.aqar.fm/webp/750x0/props/045218668_1786720722614.jpg | https://images.aqar.fm/webp/750x0/props/045218661_1786720722605.jpg | https://images.aqar.fm/webp/750x0/props/045218669_1786720722537.jpg | https://images.aqar.fm/webp/750x0/props/045218661_1786720722552.jpg | https://images.aqar.fm/webp/750x0/props/045218661_1786720722623.jpg,17,محمد سمير تركي,مكتب مرسى الشمال للخدمات العقارية,1,2026-07-15,2026-08-14,2026-08-21,186,2026-08-23,True,"3,300,000",False,فيلا
