listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6563175,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-حماد-الراوية-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6563175,"فيلا للبيع في شارع حماد الراوية, حي المهدية, مدينة الرياض, منطقة الرياض",2650000,359,7,5,2,0,حي المهدية,الرياض,غرب الرياض,"المساحة : 375
السعر : 2مليون و650
الشارع : 15
الغرف : 6
يوجود لدينا جميع الحلول البنكيه - تيسير الدفعة المقدمة وادنى نسب بنكية 
ضمان عزل الخزانات - السطوح - تامين ملاذ ضد العيوب الخفية - ضمان على السباكه - الكهرباء وتامين ملاذ على الهيكل الانشائي وتحت اشراف هندسي",24.637263,46.492847,https://images.aqar.fm/webp/750x0/props/024112113_1769441141187.jpg | https://images.aqar.fm/webp/750x0/props/024112113_1769441197293.jpg | https://images.aqar.fm/webp/750x0/props/024112115_1769441197303.jpg | https://images.aqar.fm/webp/750x0/props/024112118_1769441197310.jpg | https://images.aqar.fm/webp/750x0/props/024112115_1769441197310.jpg | https://images.aqar.fm/webp/750x0/props/024112111_1769441197307.jpg | https://images.aqar.fm/webp/750x0/props/024112114_1769441197307.jpg | https://images.aqar.fm/webp/750x0/props/024112118_1769441197305.jpg | https://images.aqar.fm/webp/750x0/props/024112115_1769441197312.jpg | https://images.aqar.fm/webp/750x0/props/024112119_1769441241494.jpg | https://images.aqar.fm/webp/750x0/props/024112116_1769441241473.jpg | https://images.aqar.fm/webp/750x0/props/024112114_1769441241504.jpg | https://images.aqar.fm/webp/750x0/props/024112112_1769441241522.jpg | https://images.aqar.fm/webp/750x0/props/024112112_1769441241509.jpg | https://images.aqar.fm/webp/750x0/props/024112111_1769441241522.jpg | https://images.aqar.fm/webp/750x0/props/024112111_1769441241513.jpg | https://images.aqar.fm/webp/750x0/props/024112114_1769441241513.jpg,17,عبدالله متعب بن عبدالمجيد المطيري,مؤسسة امتداد إن العقارية,1,2026-01-26,2026-08-18,2026-08-18,234,2026-08-23,True,"2,650,000",False,فيلا
6570283,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أحمد-مفتي-المكي-الحنفي-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6570283,"فيلا للبيع في شارع أحمد مفتي المكي الحنفي, حي المهدية, مدينة الرياض, منطقة الرياض",1630000,200,4,5,0,0,حي المهدية,الرياض,غرب الرياض,"السلام عليكم ورحمة الله وبركاته ..

أهلاً بكم  .. 🌿

—*تفاصيل* الفيلا * —
المساحة (200م)

(الدور الارضي)
مدخل سيارات 
مدخل رجال مدخل نساء
فناء خارجي
مجلس رجال 
صالة واسعه 
مطبخ 
٢ دورة مياة 

(الدور الاول) 
3غرف ماستر

(الدور الثاني)
1 غرفه ماستر 
1غرفه خادمه 
غرفة غسيل 
دوره مياه 
سطح واسع

      * مميزات للمشروع *

قريب من مجمع تعليمي 
قريب من حديقة و مسجد 
                   —
يشرفنا زيارتك للمشروع 
*كما يوجد مشاريع متعدده في حي المهدية وباسعار مختلفة*

للمزيد من المعلومات وزيارة الفيلا  
ابوتركي موافقة العقارية

للتواصل/ ((رقم المعلن يظهر عند التواصل))",24.667666,46.548143,https://images.aqar.fm/webp/750x0/props/031834322_1769891618244.jpg | https://images.aqar.fm/webp/750x0/props/031834326_1769891618257.jpg | https://images.aqar.fm/webp/750x0/props/031834322_1769891618407.jpg | https://images.aqar.fm/webp/750x0/props/031834320_1769891618336.jpg | https://images.aqar.fm/webp/750x0/props/031834320_1769891637866.jpg | https://images.aqar.fm/webp/750x0/props/031834325_1769891637814.jpg | https://images.aqar.fm/webp/750x0/props/031834324_1769891637875.jpg | https://images.aqar.fm/webp/750x0/props/031834320_1769891637823.jpg | https://images.aqar.fm/webp/750x0/props/031834325_1769891637858.jpg | https://images.aqar.fm/webp/750x0/props/031834324_1769891637809.jpg | https://images.aqar.fm/webp/750x0/props/031834324_1769891637823.jpg | https://images.aqar.fm/webp/750x0/props/031834323_1769891637827.jpg | https://images.aqar.fm/webp/750x0/props/031834326_1769891651871.jpg | https://images.aqar.fm/webp/750x0/props/031834325_1769891651875.jpg | https://images.aqar.fm/webp/750x0/props/031834324_1769891651936.jpg | https://images.aqar.fm/webp/750x0/props/031834325_1769891651916.jpg | https://images.aqar.fm/webp/750x0/props/031834326_1769891651880.jpg | https://images.aqar.fm/webp/750x0/props/031834328_1769891651895.jpg | https://images.aqar.fm/webp/750x0/props/031834321_1769891651955.jpg | https://images.aqar.fm/webp/750x0/props/031834325_1769891668583.jpg | https://images.aqar.fm/webp/750x0/props/031834324_1769891668671.jpg | https://images.aqar.fm/webp/750x0/props/031834328_1769891668652.jpg | https://images.aqar.fm/webp/750x0/props/031834320_1769891668682.jpg | https://images.aqar.fm/webp/750x0/props/031834321_1769891668607.jpg | https://images.aqar.fm/webp/750x0/props/031834327_1769891668595.jpg,25,نايف بن عبدالله بن سلطان بن سفران,مؤسسة موافقة العقارية,1,2026-01-31,2026-01-31,2026-08-20,785,2026-08-23,True,"1,630,000",False,فيلا
6787420,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-الزهرة/شارع-عمر-الرازي-حي-الزهرة-مدينة-الرياض-منطقة-الرياض-6787420,"فيلا للبيع في شارع عمر الرازي, حي الزهرة, مدينة الرياض, منطقة الرياض",1300000,500,,7,2,11,حي الزهرة,الرياض,غرب الرياض,"بيت للبيع بحي الزهرة شارعين متظاهره يحتوي على دور ارضي ودور علوي ودور ثالث بسطح بمساحة ٥٠٠ م شارع 10 م 
الدور الارضي مدخل للبيت وغرفة سائق ومدخل كراج ويتكون من
غرفة سائق +حمام
ملحق +دورة مياه
مستودع
مجلس 
مقلط 
حمام ومغسله
صاله
مطبخ
غرفة غسيل +دورة مياه+ باب يفتح على الحوش
غرفتين نوم

الدور العلوي مدخل مستقل من خلف البيت ويتكون من
٤غرف 
صاله
مطبخ
٢ دورة مياه
بالاضافة الى غرفتين مع مدخل الدور العلوي
الدور الثالث 
غرفه ودورة مياه + سطح",24.581964,46.649023,https://images.aqar.fm/webp/750x0/props/016061119_1784823386035.jpg | https://images.aqar.fm/webp/750x0/props/016061110_1784823386045.jpg,2,مبارك عبدالله,مؤسسة مبارك عبدالله الدوسري,1,2026-07-23,2026-07-23,2026-08-06,709,2026-08-23,True,"1,300,000",False,فيلا
6792101,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-628-المهدية-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6792101,"فيلا للبيع في شارع 628 المهدية, حي المهدية, مدينة الرياض, منطقة الرياض",4300000,525,,5,3,0,حي المهدية,الرياض,غرب الرياض,$5c,24.657966,46.50282,https://images.aqar.fm/webp/750x0/props/041783432_1785114705304.jpg | https://images.aqar.fm/webp/750x0/props/041783439_1785283543207.jpg | https://images.aqar.fm/webp/750x0/props/041783432_1785283543195.jpg | https://images.aqar.fm/webp/750x0/props/041783439_1785283543196.jpg | https://images.aqar.fm/webp/750x0/props/041783438_1785283543246.jpg,5,فالح فهد محمد الفالح,شركة فالح فهد الفالح العقارية,1,2026-07-27,2026-07-27,2026-08-23,127,2026-08-23,True,"4,300,000",False,فيلا
6816960,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-عبدالجبار-بن-الورد-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6816960,"فيلا للبيع في شارع عبدالجبار بن الورد, حي المهدية, مدينة الرياض, منطقة الرياض",3600000,450,6,5,3,0,حي المهدية,الرياض,غرب الرياض,"✨ فرصة مميزة مع بنيان العاصمة العقارية ✨
فيلا مودرن بحي المهدية بمساحة450م² فقط لعشّاق السكن الراقي 🌟

🔹 تصميم عصري حديث
🔹 تشطيبات راقية وجودة عالية
🔹 موقع استراتيجي قريب من جميع الخدمات
 

💰 السعر منافس – وفرصتك محدودة!
📍 حي المهدية – الرياض


📞 للتواصل:((الرقم يظهر عند الضغط على اتصال))
⸻


لزيارة المشروع حياكم الله 👇

♻️.   *[ بنيان العاصمة العقارية ]

*بـنـيـان الـعـاصـمـة العـقـاريـة*
فيلا  فاخرة
( بدء البيع )
مساحة  450
شارع20 

 

الدور الارضي ⤵️
مدخل رجال 
مدخل نساء
مدخل سيارة
مجلس رجال
صالة طعام  
دوراة مياة 
صالة 
فناء جانبي
فناء خلفي 
تأسيس مصعد 
مطبخ 
مستودع 
➖
الدور الاول ⤵️
          🛏️         
4️⃣ - غرفة نوم ماستر  
    🛋️
صاله 
➖
الدور الثاني⤵️
          🛏️  
2️⃣ -غرفتين نوم 
     🛋️
- صاله 
سطح 
[جابر القحطاني ]
   اتصال : 📞 ((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.656252,46.522446,https://images.aqar.fm/webp/750x0/props/015410357_1786467727510.jpg | https://images.aqar.fm/webp/750x0/props/015410350_1786467727520.jpg | https://images.aqar.fm/webp/750x0/props/015410358_1786467727524.jpg | https://images.aqar.fm/webp/750x0/props/015410353_1786467753456.jpg | https://images.aqar.fm/webp/750x0/props/015410359_1786467753472.jpg | https://images.aqar.fm/webp/750x0/props/015410358_1786467753468.jpg | https://images.aqar.fm/webp/750x0/props/015410350_1786467753464.jpg | https://images.aqar.fm/webp/750x0/props/015410359_1786467753450.jpg | https://images.aqar.fm/webp/750x0/props/015410359_1786467753473.jpg | https://images.aqar.fm/webp/750x0/props/015410359_1786467753451.jpg | https://images.aqar.fm/webp/750x0/props/015410358_1786467753464.jpg | https://images.aqar.fm/webp/750x0/props/015410355_1786467788665.jpg | https://images.aqar.fm/webp/750x0/props/015410355_1786467788663.jpg | https://images.aqar.fm/webp/750x0/props/015410350_1786467788663.jpg | https://images.aqar.fm/webp/750x0/props/015410351_1786467788664.jpg | https://images.aqar.fm/webp/750x0/props/015410354_1786467788668.jpg | https://images.aqar.fm/webp/750x0/props/015410356_1786467788662.jpg | https://images.aqar.fm/webp/750x0/props/015410358_1786467788662.jpg | https://images.aqar.fm/webp/750x0/props/015410359_1786467788662.jpg | https://images.aqar.fm/webp/750x0/props/015410358_1786467815388.jpg | https://images.aqar.fm/webp/750x0/props/015410355_1786467815491.jpg | https://images.aqar.fm/webp/750x0/props/015410354_1786467815482.jpg | https://images.aqar.fm/webp/750x0/props/015410354_1786467815505.jpg | https://images.aqar.fm/webp/750x0/props/015410358_1786467815390.jpg | https://images.aqar.fm/webp/750x0/props/015410359_1786467815495.jpg | https://images.aqar.fm/webp/750x0/props/015410355_1786467815484.jpg | https://images.aqar.fm/webp/750x0/props/015410358_1786467815999.jpg,27,خالد فيصل,مؤسسة بنيان العاصمة العقارية,1,2026-08-11,2026-08-11,2026-08-21,18,2026-08-23,True,"3,600,000",False,فيلا
6711206,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أبي-نزار-الصنعاني-اليمني-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6711206,"فيلا للبيع في شارع أبي نزار الصنعاني اليمني, حي المهدية, مدينة الرياض, منطقة الرياض",2150000,353,6,0,0,0,حي المهدية,الرياض,غرب الرياض,$5f,24.667061,46.552924,https://images.aqar.fm/webp/750x0/props/029267418_1779769938391.jpg | https://images.aqar.fm/webp/750x0/props/029267417_1779769938403.jpg | https://images.aqar.fm/webp/750x0/props/029267416_1779769938403.jpg,3,خالد فيصل,مؤسسة بنيان العاصمة العقارية,1,2026-05-26,2026-08-21,2026-08-21,262,2026-08-23,True,"2,150,000",False,فيلا
6508525,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-جبل-الحسي-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6508525,"فيلا للبيع في شارع جبل الحسي, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",3800000,600,,,,4,حي ظهرة لبن,الرياض,غرب الرياض,"بسم الله الرحمن الرحيم يسر الله لي ولكم 

للبيع فيلا في ظهرة لبن تتكون من دورين وملحق 
بناء شخصي عمر العقار جديد 
عى شارعين مساحة 600 يسر الله لي ولكم 
السعر ثلاثه مليون وثمان مية الف",24.613472,46.515318,https://images.aqar.fm/webp/750x0/props/011716078_1765856770427.jpg | https://images.aqar.fm/webp/750x0/props/011716073_1765856770428.jpg | https://images.aqar.fm/webp/750x0/props/011716071_1765856770427.jpg | https://images.aqar.fm/webp/750x0/props/011716078_1765856770412.jpg | https://images.aqar.fm/webp/750x0/props/011716074_1765856770433.jpg | https://images.aqar.fm/webp/750x0/props/011716072_1765856770391.jpg | https://images.aqar.fm/webp/750x0/props/011716072_1765856770379.jpg | https://images.aqar.fm/webp/750x0/props/011716071_1765856770404.jpg,8,عبدالرحمن سعيد ضافي الجهني,,,2025-12-16,2025-12-16,2026-08-17,400,2026-08-23,True,"3,800,000",False,فيلا
6584850,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-الزهرة/شارع-مسعود-بن-سارية-حي-الزهرة-مدينة-الرياض-منطقة-الرياض-6584850,"فيلا للبيع في شارع مسعود بن سارية, حي الزهرة, مدينة الرياض, منطقة الرياض",800000,203,6,4,1,0,حي الزهرة,الرياض,غرب الرياض,"السلام عليكم ورحمة الله وبركاتة 
عروض خاصة 
بدأ البيع 
السعر 800 الف
فيلا تاون هاوس تتكون من 
4 غرف نوم منهم غرفة ماستر + مجلس + مقلط + صالة + مطبخ + 4 دورات مياه
للتواصل / 559336661",24.590715,46.647892,https://images.aqar.fm/webp/750x0/props/016604324_1782051465753.jpg | https://images.aqar.fm/webp/750x0/props/016604323_1782051500626.jpg | https://images.aqar.fm/webp/750x0/props/016604324_1782051529703.jpg | https://images.aqar.fm/webp/750x0/props/016604325_1782051561220.jpg | https://images.aqar.fm/webp/750x0/props/016604321_1782051574703.jpg | https://images.aqar.fm/webp/750x0/props/016604322_1782051591418.jpg | https://images.aqar.fm/webp/750x0/props/016604326_1782051604495.jpg | https://images.aqar.fm/webp/750x0/props/016604320_1782051625779.jpg | https://images.aqar.fm/webp/750x0/props/016604327_1782051651788.jpg | https://images.aqar.fm/webp/750x0/props/016604329_1782051724938.jpg,10,فارس نعيس ذعار الشيباني,شركة متن للتطوير العقاري شركة شخص واحد,1,2026-02-10,2026-08-04,2026-08-14,4187,2026-08-23,True,"800,000",False,فيلا
6530988,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-ابي-الشيخ-الاصبهاني-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6530988,"فيلا للبيع في شارع ابي الشيخ الاصبهاني, حي المهدية, مدينة الرياض, منطقة الرياض",3400000,320,6,,,0,حي المهدية,الرياض,غرب الرياض,"فيلا

 حي المهدية 

عرض الشارع 25

الواجهة شرقية

الغرف6",24.661772,46.528635,https://images.aqar.fm/webp/750x0/props/050336489_1767372917727.jpg | https://images.aqar.fm/webp/750x0/props/050336483_1767372922586.jpg | https://images.aqar.fm/webp/750x0/props/050336487_1767372922598.jpg | https://images.aqar.fm/webp/750x0/props/050336483_1767372922595.jpg | https://images.aqar.fm/webp/750x0/props/050336484_1767372922595.jpg | https://images.aqar.fm/webp/750x0/props/050336488_1767372922596.jpg | https://images.aqar.fm/webp/750x0/props/050336487_1767372922595.jpg | https://images.aqar.fm/webp/750x0/props/050336488_1767372922607.jpg | https://images.aqar.fm/webp/750x0/props/050336485_1767372922592.jpg | https://images.aqar.fm/webp/750x0/props/050336487_1767372922623.jpg | https://images.aqar.fm/webp/750x0/props/050336486_1767372922627.jpg | https://images.aqar.fm/webp/750x0/props/050336483_1767372922638.jpg | https://images.aqar.fm/webp/750x0/props/050336483_1767372922634.jpg | https://images.aqar.fm/webp/750x0/props/050336480_1767372922688.jpg | https://images.aqar.fm/webp/750x0/props/050336484_1767372922629.jpg | https://images.aqar.fm/webp/750x0/props/050336489_1767372922705.jpg | https://images.aqar.fm/webp/750x0/props/050336488_1767372922688.jpg | https://images.aqar.fm/webp/750x0/props/050336489_1767372922702.jpg | https://images.aqar.fm/webp/750x0/props/050336486_1767372922703.jpg | https://images.aqar.fm/webp/750x0/props/050336485_1767372922719.jpg | https://images.aqar.fm/webp/750x0/props/050336488_1767372922700.jpg | https://images.aqar.fm/webp/750x0/props/050336488_1767372922722.jpg | https://images.aqar.fm/webp/750x0/props/050336482_1767372922717.jpg | https://images.aqar.fm/webp/750x0/props/050336489_1767372922695.jpg | https://images.aqar.fm/webp/750x0/props/050336487_1767372922727.jpg | https://images.aqar.fm/webp/750x0/props/050336481_1767372922729.jpg | https://images.aqar.fm/webp/750x0/props/050336487_1767372922736.jpg | https://images.aqar.fm/webp/750x0/props/050336488_1767372928281.jpg | https://images.aqar.fm/webp/750x0/props/050336489_1767372928282.jpg | https://images.aqar.fm/webp/750x0/props/050336481_1767372928284.jpg | https://images.aqar.fm/webp/750x0/props/050336482_1767372928280.jpg,31,يوسف جهز محمد العتيبي,شركة نوس العقارية شركة شخص واحد,1,2026-01-02,2026-01-02,2026-07-28,99,2026-08-23,True,"3,400,000",False,فيلا
6589930,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-طويق/شارع-خديجة-بنت-خويلد-حي-طويق-مدينة-الرياض-منطقة-الرياض-6589930,"فيلا للبيع في شارع خديجة بنت خويلد, حي طويق, مدينة الرياض, منطقة الرياض",1300000,200,5,5,3,0,حي طويق,الرياض,غرب الرياض,"� فلل للبيع | حي طويق – الرياض

✨ مشروع سكني جديد من مؤسسة توب ديتيلز للتطوير العقاري

📍 الموقع: حي طويق
📐 المساحة: 200 م²
🧭 الواجهة: شرقية
🛣️ شارع عرض 20 متر

🔹 الدور الأرضي:
▪️ حوش ومدخل سيارة
▪️ مدخلان (رجال ونساء)
▪️ مجلس رجال
▪️ مقلط
▪️ دورة مياه رجال
▪️ صالة واسعة
▪️ غرفة كبار سن
▪️ دورة مياه نساء
▪️ مطبخ
▪️ درج صالة
▪️ تأسيس مصعد

🔹 الدور الأول:
▪️ 3 غرف نوم ماستر مع دورات مياه خاصة

🔹 الدور الثاني:
▪️ غرفتان
▪️ صالة
▪️ دورة مياه

✅ المميزات والضمانات:
▪️ مطابق للكود السعودي
▪️ شهادة إتمام بناء وشهادة إشغال
▪️ إشراف هندسي
▪️ إطلاق تيار كهربائي
▪️ ضمان الهيكل الإنشائي 10 سنوات
▪️ ضمان الكهرباء 20 سنة
▪️ ضمان السباكة 50 سنة
▪️ ضمان كامل على العوازل
▪️ ضمان على الأبواب
▪️ ضمان شامل من المؤسسة المطورة على المبنى لمدة 3 سنوات

💰 السعر: 1,300,000 ريال

📞 للتواصل:((الرقم يظهر عند الضغط على اتصال))",24.585807,46.551199,https://images.aqar.fm/webp/750x0/props/038981752_1781469410680.jpg | https://images.aqar.fm/webp/750x0/props/038981755_1781469410682.jpg,2,نوره عائض معيض الشهري,مكتب القواعد الماسية للعقارات,1,2026-02-14,2026-06-11,2026-08-23,525,2026-08-23,True,"1,300,000",False,فيلا
