listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6701486,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-العريجاء-الوسطى/شارع-صاعد-بن-رجاء-حي-العريجاء-الأوسط-مدينة-الرياض-منطقة-الرياض-6701486,"فيلا للبيع في شارع صاعد بن رجاء, حي العريجاء الأوسط, مدينة الرياض, منطقة الرياض",1120000,302,6,1,0,0,حي العريجاء الوسطى,الرياض,غرب الرياض,"فيلا دبلكس مساحه 200متر 
سعره مليون وا150الف 
الدور الارضي يتكون من مدخل سياره مجلس رجال بالمغاسل مقلط صاله ومطبخ وغرفه كبار السن وارتداد خلفي 

الدور الاوال صاله وثلاث غرف نوم فيهم وحده ماستر 

الدور الثاني صاله وغرف نوم والسطح أمامي وخلفي
 موسس مصعد",24.611555,46.637326,https://images.aqar.fm/webp/750x0/props/045520920_1781714045282.jpg | https://images.aqar.fm/webp/750x0/props/045520928_1781713906188.jpg | https://images.aqar.fm/webp/750x0/props/045520921_1781713906282.jpg | https://images.aqar.fm/webp/750x0/props/045520924_1781713906383.jpg | https://images.aqar.fm/webp/750x0/props/045520925_1781713906514.jpg | https://images.aqar.fm/webp/750x0/props/045520920_1781713906595.jpg | https://images.aqar.fm/webp/750x0/props/045520922_1781713906697.jpg | https://images.aqar.fm/webp/750x0/props/045520926_1781713906846.jpg | https://images.aqar.fm/webp/750x0/props/045520922_1781713906908.jpg | https://images.aqar.fm/webp/750x0/props/045520924_1781713907007.jpg | https://images.aqar.fm/webp/750x0/props/045520922_1781713907099.jpg | https://images.aqar.fm/webp/750x0/props/045520920_1781713907186.jpg,12,عائشه علي,مؤسسة وثائق للتطوير العقاري,1,2026-05-17,2026-08-13,2026-08-19,860,2026-08-23,True,"1,120,000",False,فيلا
6702336,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-العريجاء-الوسطى/شارع-الصرف-حي-العريجاء-الأوسط-مدينة-الرياض-منطقة-الرياض-6702336,"فيلا للبيع في شارع الصرف, حي العريجاء الأوسط, مدينة الرياض, منطقة الرياض",1500000,400,,,,11,حي العريجاء الوسطى,الرياض,غرب الرياض,فيلا بسعر الارض عرضها على الشارع ٢٠م*٢٠م شارعها ١٥م جنوبي السعر قابل للتفاوض,24.612428,46.650311,,,عبدالرحمن محمد,مؤسسة ديار لتسويق العقاري,1,2026-05-18,2026-08-13,2026-08-23,486,2026-08-23,True,"1,500,000",False,فيلا
6694452,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-العريجاء-الوسطى/شارع-أبي-العيناء-اليماني-حي-العريجاء-الأوسط-مدينة-الرياض-منطقة-الرياض-6694452,"فيلا للبيع في شارع أبي العيناء اليماني, حي العريجاء الأوسط, مدينة الرياض, منطقة الرياض",1350000,200,6,,,0,حي العريجاء الوسطى,الرياض,غرب الرياض,"السلام عليكم ورحمة الله وبركاته،،
، 0546781381 للتواصل وتس وفون 
اقدم لكم،،، فيلا دوبلكس 
حي العريجاء الوسطى .
 نافذ من شارع عايشه بنت ابي بكر.
((//تفاصيل الفله 👇👇 
مساحه 200.1متر
   وجهه غربيه 
شارع 20متر.
موقعها قريب من جميع الخدمات والمرافق 
قريبه مره من مستشفى الملك سلمان 
تشطيب راقي  وممتاز 
متوفر جميع ضمانات من مالك مباشر 
جميع الأوراق جاهزه
السعر 
مليون350 الف﷼👌 
سعر نهائي)) 
مكونات الفله
مكونه من الدور الارضي مجلس ومقلط وصاله ومطبخ وغرفة كبار سن ومستودع 
الدور الثاني حمام و4 غرف نوم وحده ماستر 
الملحق غرفتين نوم وغرفة غسيل ملابس وحمام 
مأسس أصنصير والمويه والصرف الصحي واصل والكهرباء  الأبواب wpc جميع الضمانات متوفره 
تفتح على حديقه ومسجد

خدمات المكتب 👏👏 
نتعامل مع جميع البنوك والشركات التمويليله 
مدنيين وعسكريين
يوجد لدينا جميع عروض مساحات واسعار مختلفه 

نوفر لك جميع ضمانات من مالك مباشر 
مكتب واحه الدر العقاريه",24.596007,46.620642,https://images.aqar.fm/webp/750x0/props/043797583_1778608659825.jpg | https://images.aqar.fm/webp/750x0/props/043797588_1778608659497.jpg | https://images.aqar.fm/webp/750x0/props/043797583_1778608658608.jpg | https://images.aqar.fm/webp/750x0/props/043797588_1778608658729.jpg | https://images.aqar.fm/webp/750x0/props/043797581_1778608658728.jpg | https://images.aqar.fm/webp/750x0/props/043797581_1778608658853.jpg | https://images.aqar.fm/webp/750x0/props/043797586_1778608658973.jpg | https://images.aqar.fm/webp/750x0/props/043797586_1778608659077.jpg | https://images.aqar.fm/webp/750x0/props/043797580_1778608659091.jpg | https://images.aqar.fm/webp/750x0/props/043797589_1778608659119.jpg | https://images.aqar.fm/webp/750x0/props/043797589_1778608659214.jpg | https://images.aqar.fm/webp/750x0/props/043797581_1778608659230.jpg | https://images.aqar.fm/webp/750x0/props/043797583_1778608659328.jpg | https://images.aqar.fm/webp/750x0/props/043797588_1778608659385.jpg | https://images.aqar.fm/webp/750x0/props/043797581_1778608659463.jpg | https://images.aqar.fm/webp/750x0/props/043797587_1778608659620.jpg | https://images.aqar.fm/webp/750x0/props/043797582_1778608659670.jpg | https://images.aqar.fm/webp/750x0/props/043797580_1778608659874.jpg | https://images.aqar.fm/webp/750x0/props/043797585_1778608659961.jpg | https://images.aqar.fm/webp/750x0/props/043797589_1778608659988.jpg | https://images.aqar.fm/webp/750x0/props/043797582_1778608660092.jpg | https://images.aqar.fm/webp/750x0/props/043797582_1778608660096.jpg | https://images.aqar.fm/webp/750x0/props/043797588_1778608660212.jpg | https://images.aqar.fm/webp/750x0/props/043797585_1778608660367.jpg,24,علي فايز مصلح الزبيدي,مؤسسة علي فايز مصلح الزبيدي لخدمات الأعمال,1,2026-05-12,2026-08-08,2026-08-23,392,2026-08-23,True,"1,350,000",False,فيلا
6721860,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-العريجاء-الوسطى/شارع-أبي-عبدالله-الركن-حي-العريجاء-الأوسط-مدينة-الرياض-منطقة-الرياض-6721860,"فيلا للبيع في شارع أبي عبدالله الركن, حي العريجاء الأوسط, مدينة الرياض, منطقة الرياض",1200000,200,7,5,3,0,حي العريجاء الوسطى,الرياض,غرب الرياض,"السلام عليكم ورحمة الله وبركاته
للبيع نقدم لكم 
فيلا دوبلكس تشطيب راقي 👌
اجمالي عدد (٥) غرف نوم 
تشملها كافة الضمانات تامين ملاذ 
تصميم الوحده 🏡
موسسه مصعد
مدخل سياره ، مدخل رجال ومدخل نساء ، مجلس رجال ، مقلط ، صاله ،
غرفة كبار سن ، مطبخ ، حوش خلفى
الاول / صاله ، 3 غرف نوم 
الثانى / صاله ، غرفة نوم ، سطح

لدينا عروض اخرى باسعار ومساحات مختلفه تناسب جميع التمويلات
لدينا حلول تمويليه ميسره نتعامل مع جميع البنوك 
للتواصل والاستفسار ((الرقم يظهر عند الضغط على اتصال))",24.602105,46.639256,https://images.aqar.fm/webp/750x0/props/026026119_1787317962283.jpg,1,عائشه علي,مؤسسة وثائق للتطوير العقاري,1,2026-06-06,2026-08-04,2026-08-23,773,2026-08-23,True,"1,200,000",False,فيلا
6738966,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-العريجاء-الوسطى/شارع-الحزمة-حي-العريجاء-الأوسط-مدينة-الرياض-منطقة-الرياض-6738966,"فيلا للبيع في شارع الحزمة, حي العريجاء الأوسط, مدينة الرياض, منطقة الرياض",850000,169,3,0,0,0,حي العريجاء الوسطى,الرياض,غرب الرياض,مشروع تاون هاوس في البديعه ( حي عريجاء الوسطئ) خلف الدانوب طريق حمزه بن عبدالمطلب مكونه من ٤ وحدات: ٢ تاون هاوس ارضي و٢ تاون هاوس علوي- التاون هاوس الارضي ١٦٩م مكون من ( موقف سياره مع حوش بايكه ريموت+ مجلس+ صاله+ غرفه كبار سن مع دوره مياه +دوج داخلي الئ عدد ٢ غرف نوم+دوره مياه ومغاسل،- التاون هاوس العلوي ١٤٦م يتكون من :( بايكه سياره بمدخل خارجي خاص مع منور مجهز لمصعد+ مجلس رجال مع حمام ومغاسل+ صاله+ مطبخ+درج داخلي صاعد الئ ثلاث غرف نوم وحده منهم ماستر + حمام ومغاسل+ غرفه غسيل خارجيه+ سطح خاص بالتاون هاوس العلوي، عداد الكهرباء والماء مستقل لكل تاون هاوس- التاون هاوس الارضي ٨٥٠ الف، التاون هاوس العلوي ٧٥٠ الف,24.593685,46.622095,https://images.aqar.fm/webp/750x0/props/033941089_1781864023503.jpg | https://images.aqar.fm/webp/750x0/props/033941087_1781864023716.jpg | https://images.aqar.fm/webp/750x0/props/033941087_1781864023562.jpg | https://images.aqar.fm/webp/750x0/props/033941080_1781864023537.jpg,4,عبدالله عبدالرحمن صالح العليان,,,2026-06-19,2026-06-19,2026-08-16,329,2026-08-23,True,"850,000",False,فيلا
6662835,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-العريجاء-الوسطى/شارع-عبدالصمد-الزبيري-حي-العريجاء-الأوسط-مدينة-الرياض-منطقة-الرياض-6662835,"فيلا للبيع في شارع عبدالصمد الزبيري, حي العريجاء الأوسط, مدينة الرياض, منطقة الرياض",1200000,302,6,1,0,0,حي العريجاء الوسطى,الرياض,غرب الرياض,"دوبلكس حي العريجاء الوسطى
 مساحه 200 م  
السعر مليون 200
شارع 20 م   وجهه غربية مؤسس مصعد

التفاصيل //
مدخل سياره ومجلس رجال ومقلط وصاله ومطبخ و غرفه كبار سن  ارتداد خلفي 

الدور الاول صاله و3 غرف نوم
الدور الثاني غرفه نوم وصاله وسطحين
لتواصل ((الرقم يظهر عند الضغط على اتصال)) ابو مكه",24.605214,46.618225,https://images.aqar.fm/webp/750x0/props/015284148_1776701307941.jpg,1,مشاعل دعيرم بن جربوع العتيبي,مؤسسة مكتب بداية جديدة للخدمات العقارية,1,2026-04-20,2026-08-15,2026-08-21,737,2026-08-23,True,"1,200,000",False,فيلا
6742194,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-العريجاء-الوسطى/شارع-حولي-حي-العريجاء-الوسطى-الرياض-منطقة-الرياض-6742194,فيلا للبيع في شارع حولي ، حي العريجاء الوسطى ، الرياض ، منطقة الرياض,1400000,400,7,5,1,26,حي العريجاء الوسطى,الرياض,غرب الرياض,بيت مساحته 400 يتكون الدور الأول مجلس ومقلط ومجلس خارجي وخيمة الدور الثاني تتكون من أربع غرف وثلاث دورة مياء وفي السطح غرفتين وشقة عظم ما اكتملت تتكون من غرفتين ومطبخ وصالة وغرفة ويوجد كذالك شقة لها مدخل خاص تتكون من مجلس رجال خارجي صالة ومطبخ وغرفتين,24.600548,46.623062,,,غانم عبدالعزيز غانم الجاسر,,,2026-06-21,,2026-06-21,103,2026-08-23,False,طلب تسويق,False,فيلا
6484530,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-العريجاء-الوسطى/شارع-خارجة-بن-خذاقة-حي-العريجاء-الأوسط-مدينة-الرياض-منطقة-الرياض-6484530,"فيلا للبيع في شارع خارجة بن خذاقة, حي العريجاء الأوسط, مدينة الرياض, منطقة الرياض",1160000,200,6,5,3,0,حي العريجاء الوسطى,الرياض,غرب الرياض,"السلام عليكم ورحمه الله وبركاته 
اسعد الله أوقاتكم بكل خير 
تعلن شركة أوائل نمار العقارية عن بيع فيلا 

دوبلكس في حي العريجاء الوسطي 

دوبلكسات ٢٠٠متر وجه.      

مفصوله من الامام 

 جنوبيه شارع ١٥متر 

مدخل سياره ومجلس ومقلط وصاله

 ومطبخ بمستودع 
                                          
وسيب خلفي                                                                                           
                       
الدور الأول  ٤ غرف نوم غرفتين ماستر
 وغرفتين بحمام مشترك وصاله 

والسطح غرفة ودوره مياه وغرفه غسيل وصاله

 
الصاميم الداخليه …
مدة تنفيذ العمل في المشروع سنه كامله تحت اشراف مكتب هندسي 
المواد المستخدمه  في الإنشاء ات من افضل مافي السوق 
وكذلك التشطيبات 
وجود ضمانات ع السباكه والكهرباء 
وجود تامين ع المبنى لمدة عشر سنوات اي خلل يتحمله التامين 
 والسعر للبيع الان مليون 160 
متمنيا لك التوفيق



كما تضمن لكم الشركه جميع الضمانات المطلوبة من المالك ويوجد لدينا سداد المديونية والدفعه المقدمة ونتعامل مع جميع البنوك والشركات الاستثمارية ويوجد لدينا عروض أخري تناسب الجميع 

        كوووووووووود  24",24.595847,46.61955,https://images.aqar.fm/webp/750x0/props/020124842_1786252144790.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1786252144582.jpg | https://images.aqar.fm/webp/750x0/props/020124844_1786245322825.jpg | https://images.aqar.fm/webp/750x0/props/020124847_1786245322997.jpg | https://images.aqar.fm/webp/750x0/props/020124844_1786252145012.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1786252145251.jpg,6,جبر لافي عوض العتيبي,مؤسسة اوائل نمار العقارية,1,2025-11-28,2025-11-28,2026-08-23,764,2026-08-23,True,"1,160,000",False,فيلا
6794609,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-العريجاء-الوسطى/شارع-عيون-الجواء-حي-العريجاء-الأوسط-مدينة-الرياض-منطقة-الرياض-6794609,"فيلا للبيع في شارع عيون الجواء, حي العريجاء الأوسط, مدينة الرياض, منطقة الرياض",1200000,400,,,,11,حي العريجاء الوسطى,الرياض,غرب الرياض,للبيع فلة زاوية بمساحة 400م شارع 20 و 15 متر لسوم واصله 1.050.000,24.59409,46.627279,https://images.aqar.fm/webp/750x0/props/003465099_1785269212965.jpg | https://images.aqar.fm/webp/750x0/props/003465093_1785269212795.jpg,2,راشد التميمي,مؤسسة مكتب مدار التميز للعقارات,1,2026-07-28,2026-07-28,2026-07-28,364,2026-08-23,True,"1,200,000",False,فيلا
6682846,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-العريجاء-الوسطى/شارع-الأمراح-حي-العريجاء-الأوسط-مدينة-الرياض-منطقة-الرياض-6682846,"فيلا للبيع في شارع الأمراح, حي العريجاء الأوسط, مدينة الرياض, منطقة الرياض",1440000,400,,5,5,11,حي العريجاء الوسطى,الرياض,غرب الرياض,"فيلا دور ودور وملحق 
(ويمكن تجزئتها الى ادوار وبيعها بالاسعار التالية: الارضي 
المساحه / 400 
شارع / 15 
واجهه / شماليه 
الحي / العريجاء الوسطى 
عمر العقار / 30 سنه 
السعر / مليون و440 ألف
ويمكن تجزئتها الى ادوار وبيعها بالاسعار التالية:
الارضي 780,000
الاول 680,000
الملحق 480,000

الدور الأرضي  : (تجديد الواجهة الأمامية والدور الأرضي)
• مجلس رجال
• غرفة طعام
• مطبخ
• مجلس نساء
• 3 غرف نوم
• 2 دورات مياه
• حوش واسع
• غرفة سائق مجهّزة بمطبخ وحمام خاص
• كراج الكتروني سيارات
• مستودع


الدور الأول: (مؤجّر حالياً بـ 38,000 ريال سنوياً)
• مجلس رجال
• مجلس نساء
• مطبخ
• 3 غرف نوم كبيرة
• 2 دورات مياه
• مستودع


السطح:
• غرفة كبيرة مع دورة مياه، مع إمكانية إضافة غرف إضافية عند الحاجة


يوجد عدادين كهرباء 
وعداد مياه واحد فقط 
(يوجد شهادة اتمام بناء )
موقع مميز قريب من المسجد والمستشفى والحديقة وجميع الخدمات، إضافة إلى قربه من محطة المترو
حي هادئ وسهل الوصول إليه",24.615067,46.648139,https://images.aqar.fm/webp/750x0/props/013399193_1777973844331.jpg,1,عبدالرحمن محمد,مؤسسة ديار لتسويق العقاري,1,2026-05-05,2026-07-31,2026-08-23,665,2026-08-23,True,"1,440,000",False,فيلا
