listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6381634,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-أحمد-الدقاق-حي-العزيزية-مدينة-الرياض-منطقة-الرياض-6381634,"فيلا للبيع في شارع أحمد الدقاق, حي العزيزية, مدينة الرياض, منطقة الرياض",1700000,310,3,1,0,0,حي العزيزية,الرياض,جنوب الرياض,"فلل للبييع بحي العزيزيه تشطيب مودرن
الارضي استقبال  مجلس مقلط صاله  وغرفه كبار السن العلوي 3 غرف نوم 
توجد شقتين مسروقه 
العمر جديد
المساحه/ 310 السعر / 1700000
ز",24.579999,46.783437,https://images.aqar.fm/webp/750x0/props/003661149_1757864828121.jpg | https://images.aqar.fm/webp/750x0/props/003661144_1757864828167.jpg | https://images.aqar.fm/webp/750x0/props/003661140_1757864828202.jpg | https://images.aqar.fm/webp/750x0/props/003661144_1757864828228.jpg | https://images.aqar.fm/webp/750x0/props/003661143_1757864828251.jpg | https://images.aqar.fm/webp/750x0/props/003661148_1757864828288.jpg | https://images.aqar.fm/webp/750x0/props/003661141_1757864828304.jpg | https://images.aqar.fm/webp/750x0/props/003661141_1757864828384.jpg | https://images.aqar.fm/webp/750x0/props/003661143_1757864945838.jpg | https://images.aqar.fm/webp/750x0/props/003661149_1757864945848.jpg | https://images.aqar.fm/webp/750x0/props/003661145_1757864945958.jpg | https://images.aqar.fm/webp/750x0/props/003661141_1757864945991.jpg | https://images.aqar.fm/webp/750x0/props/003661142_1757864946052.jpg | https://images.aqar.fm/webp/750x0/props/003661145_1757864946130.jpg | https://images.aqar.fm/webp/750x0/props/003661145_1757864946252.jpg | https://images.aqar.fm/webp/750x0/props/003661141_1757864946297.jpg,16,ممدوح الجميلى,مؤسسة مكتب المسكن الثاني العقارية,1,2025-09-14,2025-09-14,2026-08-19,1094,2026-08-23,True,"1,700,000",False,فيلا
6444613,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-النمران-حي-العزيزية-مدينة-الرياض-منطقة-الرياض-6444613,"فيلا للبيع في شارع النمران, حي العزيزية, مدينة الرياض, منطقة الرياض",1300000,262,,,,10,حي العزيزية,الرياض,جنوب الرياض,"‏للبيع فيلا دبلكس 

في  الرياض حي العزيز ية 

المساحة 262م

 عبارة عن دورين وملحق

كل دور خمس غرف وصالة

و الملحق ثلاث غرف وصاله وسطح

ملاحظه 

العقار موجر سنوي 70 الف ريال سعودي

لايتصل الا الصامل 

 ",24.594721,46.760635,https://images.aqar.fm/webp/750x0/props/009409403_1761677059869.jpg | https://images.aqar.fm/webp/750x0/props/009409407_1761677059850.jpg | https://images.aqar.fm/webp/750x0/props/009409405_1761677059855.jpg | https://images.aqar.fm/webp/750x0/props/009409407_1761677059850.jpg | https://images.aqar.fm/webp/750x0/props/009409403_1761677059868.jpg | https://images.aqar.fm/webp/750x0/props/009409408_1761677059891.jpg,6,سلطان الصيعري,مؤسسة سلطان مالك كرامه الصيعري للمقاولات العامة,1,2025-10-28,2025-10-28,2026-08-23,4707,2026-08-23,True,"1,300,000",False,فيلا
6601651,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-الشروط-حي-العزيزية-الرياض-منطقة-الرياض-6601651,"فيلا للبيع في شارع أبي العباس الفرغاني, حي العزيزية, مدينة الرياض, منطقة الرياض",4000000,812,8,5,2,11,حي العزيزية,الرياض,جنوب الرياض,"المساحة ٨١٢
ثلاث شوارع 
20 جنوبي
15 شرقي 
15 شمالي 
متوفرة جميع الخدمات

قريبه من المسجد  ومن مدارس البنات والبنين 

فيلا مرممه ترميم كامل 
دورين 
وملاحق خارجيه 
وغرفة سائق / حارس 
ملحق في السطح

مؤجرة روضه لأدارة تعليم الرياض 
عقد الإيجار مفتوح

  

لا يوجد سعي البيع من المالك مباشرة",24.58810240150503,46.76651801483362,https://images.aqar.fm/webp/750x0/props/000629373_1771857751037.jpg | https://images.aqar.fm/webp/750x0/props/000629379_1771857806230.jpg | https://images.aqar.fm/webp/750x0/props/000629375_1771857871052.jpg | https://images.aqar.fm/webp/750x0/props/000629379_1771857920868.jpg | https://images.aqar.fm/webp/750x0/props/000629372_1771857982649.jpg | https://images.aqar.fm/webp/750x0/props/000629373_1771858078792.jpg,6,محمد الدوسري,,,2026-02-23,2026-02-25,2026-07-29,2434,2026-08-23,True,"4,000,000",False,فيلا
6782942,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/الشباب-102-حي-العزيزية-الرياض-منطقة-الرياض-6782942,فيلا للبيع في الشباب 102 ، حي العزيزية ، الرياض ، منطقة الرياض,1750000,325,5,3,1,15,حي العزيزية,الرياض,جنوب الرياض,‏دورين أمام المسجد محطة القطار تبعد 3 دقائق المدارس تبعد 3 دقائق,24.591963,46.75827,https://images.aqar.fm/webp/750x0/props/013883833_1784574335532.jpg | https://images.aqar.fm/webp/750x0/props/013883831_1784574335544.jpg | https://images.aqar.fm/webp/750x0/props/013883838_1784574335532.jpg | https://images.aqar.fm/webp/750x0/props/013883837_1784574335532.jpg | https://images.aqar.fm/webp/750x0/props/013883832_1784574335546.jpg,5,بسام حبيب مسعود السلمى ,,,2026-07-20,,2026-07-20,111,2026-08-23,False,طلب تسويق,False,فيلا
6820738,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-عبدالله-الخليفي-حي-العزيزية-مدينة-الرياض-منطقة-الرياض-6820738,"فيلا للبيع في شارع عبدالله الخليفي, حي العزيزية, مدينة الرياض, منطقة الرياض",1300000,309,6,6,2,0,حي العزيزية,الرياض,جنوب الرياض,"للبيع فيلا دوبلكس المساحة 200 متر مربع
تتكون من / الدور الارضي : مدخل سيارة ومجلس وصالة ومطبخ ودروتين مياه
الدور الاول / عرفتين نوم وبينها دورة مياه وغرفة نوم ماستر بدورة مياه وصالة
الدور الثاني / غرفتين نوم بينها حمام",24.584873,46.778375,https://images.aqar.fm/webp/750x0/props/040299236_1786637290294.jpg | https://images.aqar.fm/webp/750x0/props/040299233_1786637290300.jpg | https://images.aqar.fm/webp/750x0/props/040299231_1786637290290.jpg | https://images.aqar.fm/webp/750x0/props/040299232_1786637290286.jpg | https://images.aqar.fm/webp/750x0/props/040299236_1786637290255.jpg | https://images.aqar.fm/webp/750x0/props/040299238_1786637290197.jpg | https://images.aqar.fm/webp/750x0/props/040299232_1786637290199.jpg | https://images.aqar.fm/webp/750x0/props/040299233_1786637290201.jpg | https://images.aqar.fm/webp/750x0/props/040299234_1786637290201.jpg | https://images.aqar.fm/webp/750x0/props/040299233_1786637290272.jpg | https://images.aqar.fm/webp/750x0/props/040299230_1786637290282.jpg | https://images.aqar.fm/webp/750x0/props/040299233_1786637290282.jpg | https://images.aqar.fm/webp/750x0/props/040299237_1786637290291.jpg | https://images.aqar.fm/webp/750x0/props/040299239_1786637290280.jpg | https://images.aqar.fm/webp/750x0/props/040299235_1786637290305.jpg | https://images.aqar.fm/webp/750x0/props/040299230_1786637290286.jpg | https://images.aqar.fm/webp/750x0/props/040299237_1786637290286.jpg | https://images.aqar.fm/webp/750x0/props/040299233_1786637317531.jpg,18,عبدالرحمن مبارك,مكتب درة مدهال للعقارات,1,2026-08-13,2026-08-13,2026-08-23,466,2026-08-23,True,"1,300,000",False,فيلا
6831391,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-أبي-الحسن-الأنباري-حي-العزيزية-مدينة-الرياض-منطقة-الرياض-6831391,"فيلا للبيع في شارع أبي الحسن الأنباري, حي العزيزية, مدينة الرياض, منطقة الرياض",3000000,600,5,0,0,11,حي العزيزية,الرياض,جنوب الرياض,"فله حي العزيزية خلف الهرم قريبة عند الدائري وحولها جميع الخدمات متوفره 
مساحة الفله ٦٠٠م على شارعين جنوبي شرقي وقدامها مسجد 
تتكون الفله من دور ارضي خمس غرف ومجلسين للرجال والنساء مع ملحق خارجي للنساء وملحق خارجي للرجال وست دورات مياه ومدخل للسيارة تاخذ ثلاث سيارات بالراحة والدور الاول شقتين مقابل بعض وكل شقة مدخلين واربع غرف وصالة ودورتين مياه والدور الثاني شقة والسطح معه ملحق خارجي غرفتين ودورة مياة 
عمر الفله ١٥ سنة تقريباً. 
عليها صندوق عقاري متبقي فيه ١٣٠ الف تقريباً",24.606842,46.764653,https://images.aqar.fm/webp/750x0/props/018773390_1787157046240.jpg,1,سعد عبدالعزيز سعد الحقباني,مؤسسة سعد عبدالعزيز الحقباني,1,2026-08-19,2026-08-19,2026-08-19,0,2026-08-23,True,"3,000,000",False,فيلا
6445134,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-العباس-الرشيدي-حي-العزيزية-الرياض-منطقة-الرياض-6445134,"فيلا للبيع في شارع معشورا, حي العزيزية, مدينة الرياض, منطقة الرياض",2500000,709,7,5,5,11,حي العزيزية,الرياض,جنوب الرياض,"للبيع 

عقار راس بلك  شرقي على ثلاث شوارع 

الشارع الشرقي 15 
الشارع الشمالي 15
الشارع الجنوبي 10  
العقار عبارة عن ارض مقام عليها فلتين عمرهم ٤٠ سنه مرممه 

البيع جميع بصك واحد 

للتفاصيل ارجو التواصل 



البيع سمح ومن المالك مباشره",24.597668,46.768505,https://images.aqar.fm/webp/750x0/props/001920585_1761730786164.jpg | https://images.aqar.fm/webp/750x0/props/001920584_1761737801295.jpg | https://images.aqar.fm/webp/750x0/props/001920584_1761737802922.jpg | https://images.aqar.fm/webp/750x0/props/001920584_1761737801353.jpg | https://images.aqar.fm/webp/750x0/props/001920588_1761737802091.jpg | https://images.aqar.fm/webp/750x0/props/001920585_1761737802060.jpg | https://images.aqar.fm/webp/750x0/props/001920588_1761737801328.jpg | https://images.aqar.fm/webp/750x0/props/001920584_1761737801349.jpg | https://images.aqar.fm/webp/750x0/props/001920583_1761737801328.jpg,9,علي عبدالله عبدالعزيز السويد,,,2025-10-29,2025-12-02,2026-07-16,3798,2026-08-23,True,"2,500,000",False,فيلا
6397962,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-الشامية-حي-العزيزية-مدينة-الرياض-منطقة-الرياض-6397962,"فيلا للبيع في شارع الشامية, حي العزيزية, مدينة الرياض, منطقة الرياض",1700000,310,6,,,0,حي العزيزية,الرياض,جنوب الرياض,"فله للبيع حي العزيزيه🔻🏡
درج صاله وشقتين 
المساحه 310 
السعر مليون و 700
الفله المجاوره مساحة 300
درج صاله وشقتين السعر مليون و 630",24.576855,46.774564,https://images.aqar.fm/webp/750x0/props/017584651_1758813726554.jpg | https://images.aqar.fm/webp/750x0/props/017584659_1758813726569.jpg | https://images.aqar.fm/webp/750x0/props/017584655_1758813726551.jpg | https://images.aqar.fm/webp/750x0/props/017584651_1758813726558.jpg | https://images.aqar.fm/webp/750x0/props/017584651_1758813726550.jpg | https://images.aqar.fm/webp/750x0/props/017584651_1758813726527.jpg | https://images.aqar.fm/webp/750x0/props/017584659_1758813726553.jpg | https://images.aqar.fm/webp/750x0/props/017584654_1758813746101.jpg | https://images.aqar.fm/webp/750x0/props/017584659_1758813746128.jpg | https://images.aqar.fm/webp/750x0/props/017584655_1758813746114.jpg,10,عبدالله بن حنيش بن عيد العنزي,مكتب أبراج يوسف للتطوير والاستثمار العقاري,1,2025-09-25,2026-07-22,2026-08-10,2851,2026-08-23,True,"1,700,000",False,فيلا
6703887,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-رقم-114-حي-العزيزية-الرياض-منطقة-الرياض-6703887,فيلا للبيع في شارع رقم 114 ، حي العزيزية ، الرياض ، منطقة الرياض,2000000,250,5,5,1,5,حي العزيزية,الرياض,جنوب الرياض,فله دورين على شارعين شمالي وشرقي درج داخلي والدور الثالث شقه والنصف الثاني سطح للمالك,24.580694,46.748886,,,عجب بن جمعان بن سعد الدوسري,,,2026-05-19,,2026-06-10,62,2026-08-23,False,طلب تسويق,False,فيلا
6826570,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/حي-العزيزية-الرياض-منطقة-الرياض-6826570,فيلا للبيع في حي العزيزية ، الرياض ، منطقة الرياض,1700000,414,3,3,3,25,حي العزيزية,الرياض,جنوب الرياض,,24.571409,46.766369,https://images.aqar.fm/webp/750x0/props/044774312_1786930415880.jpg | https://images.aqar.fm/webp/750x0/props/044774315_1786930415857.jpg,2,مطلق بن احمد بن قصير هزازي,,,2026-08-17,,2026-08-17,40,2026-08-23,False,طلب تسويق,False,فيلا
