listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6651483,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الغدير/شارع-البواردي-حي-الغدير-مدينة-الرياض-منطقة-الرياض-6651483,"فيلا للبيع في شارع البواردي, حي الغدير, مدينة الرياض, منطقة الرياض",11200000,1072,,7,4,11,حي الغدير,الرياض,شمال الرياض,"للبيع فلتين مميزتين بصك واحد – حي الغدير 

فرصة استثمارية وسكنية مميزة في حي الغدير
فلتان على زاوية بواجهة غربية جنوبية بموقع استراتيجي وقريب من الخدمات والمحاور الرئيسية.

🔹 تفاصيل العقار:
	•	المساحة الإجمالية: 1,072.50 م²
	•	الصك: واحد يشمل الفلتين
	•	العمر: حديثة نسبيًا (اكثر من 15 سنة)
    •	مدخل سيارة 
    •	موقع إسترتيحي نافذ على طريق الأمير محمد بن سلمان 



🔹 المواصفات الخارجية:

	•	3 ملاحق خارجية
	•	مطبخ خارجي
	•	مستودع
	•	تشطيب جيد وموقع ممتاز

⸻

الفيلا الأولى (تقريبًا 672 م²):

الفيلا الثانية (تقريبًا 400 م²):

📞 للتواصل:   
مباشر مع المالك",24.779854,46.64896,https://images.aqar.fm/webp/750x0/props/050193497_1784989183934.jpg | https://images.aqar.fm/webp/750x0/props/050193493_1784989209784.jpg | https://images.aqar.fm/webp/750x0/props/050193497_1784989252084.jpg | https://images.aqar.fm/webp/750x0/props/050193494_1784989275460.jpg | https://images.aqar.fm/webp/750x0/props/050193498_1784989307265.jpg | https://images.aqar.fm/webp/750x0/props/050193496_1785005654589.jpg | https://images.aqar.fm/webp/750x0/props/050193492_1785005654469.jpg | https://images.aqar.fm/webp/750x0/props/050193498_1785005654469.jpg | https://images.aqar.fm/webp/750x0/props/050193496_1785005855970.jpg | https://images.aqar.fm/webp/750x0/props/050193493_1785005855978.jpg | https://images.aqar.fm/webp/750x0/props/050193495_1785005855986.jpg | https://images.aqar.fm/webp/750x0/props/050193497_1785005855984.jpg | https://images.aqar.fm/webp/750x0/props/050193496_1785005856060.jpg | https://images.aqar.fm/webp/750x0/props/050193498_1785005855980.jpg | https://images.aqar.fm/webp/750x0/props/050193493_1785005856073.jpg | https://images.aqar.fm/webp/750x0/props/050193494_1787219500177.jpg,16,عبدالله بن خالد بن محمد الحرابي,,,2026-04-12,2026-07-08,2026-08-23,9228,2026-08-23,True,"11,200,000",False,فيلا
6648062,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الغدير/شارع-التل-حي-الغدير-مدينة-الرياض-منطقة-الرياض-6648062,"فيلا للبيع في شارع التل, حي الغدير, مدينة الرياض, منطقة الرياض",12000000,900,5,5,2,11,حي الغدير,الرياض,شمال الرياض,"💠 للبيع فيلا في حي الغدير قديمه :

 •    مساحة 900 متر 
•    شارع 20 جنوبي 
 •   الاطوال 30 في 30

للتواصل :  0557777763",24.777496,46.658083,https://images.aqar.fm/webp/750x0/props/007860991_1776755219227.jpg | https://images.aqar.fm/webp/750x0/props/007860996_1776755219220.jpg,2,فارس عبدالكريم عبدالرحمن الشويعر,مكتب فارس عبدالكريم عبدالرحمن الشويعر للعقار,1,2026-04-09,2026-08-03,2026-08-03,4601,2026-08-23,True,"12,000,000",False,فيلا
6543656,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الغدير/شارع-وادي-الصمان-حي-الغدير-الرياض-منطقة-الرياض-6543656,"فيلا للبيع في شارع وادي الصمان, حي الغدير, مدينة الرياض, منطقة الرياض",5200000,200,4,5,3,0,حي الغدير,الرياض,شمال الرياض,"فلة B101 في مشروع واعدة 101 الغدير

الفلة مؤثثه بالكامل 
بدروم على كامل مساحه الارض

تحتوي الفلة على:
• قبو⁠ عبارة عن ضيافة + مسبح وصالة متعددة الاستخدام 
• ⁠دور أرضي عبارة عن دور عائلي
• ⁠دور أول 3 اجنحة نوم مع دورة مياة خاصة بكل جناح ومكتب
• ⁠السطح جناح نوم رئيسي مع غرفة ملابس ودورة المياة، بالإضافة إلى جلسة خارجية مطلّة على الفلة والمسبح.
• التكييف لجميع الغرف مركزي مخفي 
• ⁠جميع الاطقم الصحية والاكسسوارات من محطة البناء
• ⁠جميع البورسلان المستخدم من منزل السيراميك
• ⁠جميع ما يتعلق بالكهرباء من مخازن الاضاءة 
• ⁠وغيرها من تفاصيل تهمنا كجودة بناء واستدامة في كافة المواد .. 

الارض 700 متر 

لتفاصيل اكثر راسلنا على الواتس اب",24.78166293123989,46.654640813254694,https://images.aqar.fm/webp/750x0/props/050507504_1777688810490.jpg | https://images.aqar.fm/webp/750x0/props/050507508_1777688810536.jpg | https://images.aqar.fm/webp/750x0/props/050507502_1777688810524.jpg | https://images.aqar.fm/webp/750x0/props/050507501_1783935050939.jpg,4,حمد صالح,شركة واعدة للاستثمار,1,2026-01-12,2026-01-12,2026-08-23,6896,2026-08-23,True,"5,200,000",False,فيلا
6797925,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الغدير/شارع-الحميد-حي-الغدير-مدينة-الرياض-منطقة-الرياض-6797925,"فيلا للبيع في شارع الحميد, حي الغدير, مدينة الرياض, منطقة الرياض",4800000,435,4,0,0,11,حي الغدير,الرياض,شمال الرياض,"للبيع فيلا بقيمة ارض ع الشارع ١٤.٥ عمق ٣٠ متر 
المساحه ٤٣٥ م
البيع ٤ مليون و٨٠٠ 
البيع كاش وليس بنك لان البيت عليه رهن بنك 
للاسفسار ابو مشعل 
شركة السعدون. العقاريه 

((الرقم يظهر عند الضغط على اتصال))",24.772757,46.650457,,,موسى محمد سليمان الشمري,شركة السعدون العقارية,1,2026-07-30,2026-07-30,2026-07-30,645,2026-08-23,True,"4,800,000",False,فيلا
6653450,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الغدير/شارع-البلخي-حي-الغدير-مدينة-الرياض-منطقة-الرياض-6653450,"فيلا للبيع في شارع البلخي, حي الغدير, مدينة الرياض, منطقة الرياض",12000000,960,,1,5,10,حي الغدير,الرياض,شمال الرياض,"للبيع فيلا فاخرة في حي الغدير
شارع 15 متر غربي مع مواقف الجامع

الاطوال 30 متر على الشارع / العمق 32 متر

مقابل جامع سليمان الدريبي 
المساحة 960 متر 
نظام دور دور شقه 
ثلاث مداخل للبيت
أربع مداخل داخلية
كراجين
يوجد مصعد

الدور الأرضي
مجلس رجال 
صالة طعام 
صالة طعام داخلية 
مجلس نسائي
صالة جلوس 
مطبخ 
دورتين مياه
ممرات واسعة 
ارتداد 

المرافق الخارجية
ملحق خارجي 
غرفتين خدم 
دورتين مياه خلف المنزل
مسبح خارجي
غرفة سائق 

الدور الأول
3 غرف نوم مع دورات مياه وصالة 
غرفة ماستر مع صالة ودورة مياه كبيرة
غرفة إضافية قريبة من المصعد

الدور الثاني
مستقل ويمكن ربطه بالبيت
3 غرف نوم صالتين كبار 
مطبخ مفتوح ومطبخ مغلق 
4 دورات مياه وسطح 
علي السوم",24.782685,46.660534,https://images.aqar.fm/webp/750x0/props/049690164_1776097227930.jpg | https://images.aqar.fm/webp/750x0/props/049690162_1776097228545.jpg | https://images.aqar.fm/webp/750x0/props/049690169_1776097228824.jpg | https://images.aqar.fm/webp/750x0/props/049690162_1776097283603.jpg | https://images.aqar.fm/webp/750x0/props/049690162_1776097227995.jpg | https://images.aqar.fm/webp/750x0/props/049690162_1776097227751.jpg | https://images.aqar.fm/webp/750x0/props/049690168_1776097228115.jpg | https://images.aqar.fm/webp/750x0/props/049690161_1776097228371.jpg | https://images.aqar.fm/webp/750x0/props/049690166_1776097228617.jpg | https://images.aqar.fm/webp/750x0/props/049690167_1776097228687.jpg | https://images.aqar.fm/webp/750x0/props/049690168_1776097228930.jpg | https://images.aqar.fm/webp/750x0/props/049690166_1776097228998.jpg,12,مشاري بن نعيم بن وصل الحنيني,مؤسسة مكتب دانة الملقا للخدمات العقارية,1,2026-04-13,2026-08-07,2026-08-22,2092,2026-08-23,True,"12,000,000",False,فيلا
6732838,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الغدير/شارع-وادي-المنحني-حي-الغدير-مدينة-الرياض-منطقة-الرياض-6732838,"فيلا للبيع في شارع وادي المنحني, حي الغدير, مدينة الرياض, منطقة الرياض",19500000,1204,6,0,0,11,حي الغدير,الرياض,شمال الرياض,"للبيع فيلا فاخرة في حي الغدير 
المساحة 1204 متر 
شارع 15 شمالي",24.771579,46.656956,https://images.aqar.fm/webp/750x0/props/001128681_1781456746347.jpg | https://images.aqar.fm/webp/750x0/props/001128682_1781456746344.jpg | https://images.aqar.fm/webp/750x0/props/001128687_1781456746349.jpg | https://images.aqar.fm/webp/750x0/props/001128686_1781456746344.jpg | https://images.aqar.fm/webp/750x0/props/001128688_1781456746349.jpg | https://images.aqar.fm/webp/750x0/props/001128684_1781456746347.jpg | https://images.aqar.fm/webp/750x0/props/001128689_1781456746354.jpg | https://images.aqar.fm/webp/750x0/props/001128680_1781456746354.jpg,8,عبدالعزيز عبدالرحمن,مؤسسة مكتب البورصة العقارية,1,2026-06-14,2026-08-12,2026-08-12,4664,2026-08-23,True,"19,500,000",False,فيلا
6623561,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الغدير/شارع-بياض-حي-الغدير-مدينة-الرياض-منطقة-الرياض-6623561,"فيلا للبيع في شارع بياض, حي الغدير, مدينة الرياض, منطقة الرياض",6100000,529,6,,,11,حي الغدير,الرياض,شمال الرياض,"فيلا بحي حي الغدير المساحه 529م 
مقابل مدارس المناهج الاهليه, ظهير تجاري شقق سكنيه

الاطوال 23*23
شارع جنوبي 15 م
العمر 21 سنه
تتكون من :
- ملحق نساء خارجي
- ملحق رجال خارجي
- غرفه سائق
- درج في الصاله
- الصاله مفتوحه 
- مجلس  رجال وغرفه نوم 
- مطبخ داخلي 
- صاله كبيره ومنطقه طعام
- مجلس نساء 
- دورتين مياه
- مطبخ خارجي صغير
- الدور العلوي خمس غرفه بدورات المياه
- منها وحده ماستر كبيره
- التكييف مخفي الدور الأرضي جميع الغرف
- الصالة العلوية و الغرفة الرئيسية تكييف مخفي
- في السطح غرفه خادمه ومخزن

للتواصل والاستفسار :
((الرقم يظهر عند الضغط على اتصال))",24.776526,46.659903,https://images.aqar.fm/webp/750x0/props/001369108_1773349772521.jpg | https://images.aqar.fm/webp/750x0/props/001369102_1773349786758.jpg | https://images.aqar.fm/webp/750x0/props/001369105_1773349767999.jpg | https://images.aqar.fm/webp/750x0/props/001369105_1773349811322.jpg | https://images.aqar.fm/webp/750x0/props/001369102_1773349776102.jpg | https://images.aqar.fm/webp/750x0/props/001369102_1773349782049.jpg | https://images.aqar.fm/webp/750x0/props/001369105_1773349791050.jpg | https://images.aqar.fm/webp/750x0/props/001369108_1773349800108.jpg | https://images.aqar.fm/webp/750x0/props/001369108_1773349815188.jpg | https://images.aqar.fm/webp/750x0/props/001369106_1773349869825.jpg | https://images.aqar.fm/webp/750x0/props/001369105_1773349874439.jpg,11,بدر الهويدي,شركة افتار العقارية شركة شخص واحد,1,2026-03-12,2026-08-05,2026-08-23,5623,2026-08-23,True,"6,100,000",False,فيلا
6710685,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الغدير/شارع-البناء-حي-الغدير-مدينة-الرياض-منطقة-الرياض-6710685,"فيلا للبيع في شارع البناء, حي الغدير, مدينة الرياض, منطقة الرياض",20000000,1070,6,5,5,11,حي الغدير,الرياض,شمال الرياض,"قصر مميز للبيع  تصميم مودرن مميز زاوية شارعين

الواجهة : جنوبي - شرقي
الشارع : 20 - 12 م

التفاصيل:
ملحق خارجي بدورة مياه واوفيس
مجلس استقبال بارتفاع اسقف دبل هايت 
مقلط
صالة عائلية بإطلالات زجاجية على المسبح والحديقة والشلال مع ارتفاع اسقف ديل هايت وواجهات زجاجيه بالكامل 

الدور الاول :
صالة ومكتب 

الدور الثاني:
صالة 
خمس اجنحة ماستر

الدور الثالث : 
قسم للخدم مع المرفقات
صالة عائلية بإطلالات زجاجية على البلكونة
بلكونة بدورة مياه

يوجد بيسمنت 
عبارة عن :
صالة 
غرفة 
دورة مياه 
منور

يوجد جميع الضمانات
مصعد راكب
البيع مع الاثاث بالكامل
عمر القصر 5 سنوات 
يوجد مسبح
ومسطحات خضراء
وتشجير داخلي وخارجي 


السعر : 20 مليون ريال",24.781303,46.655011,https://images.aqar.fm/webp/750x0/props/051386306_1779726500073.jpg | https://images.aqar.fm/webp/750x0/props/051386307_1779726500070.jpg | https://images.aqar.fm/webp/750x0/props/051386302_1779726499856.jpg | https://images.aqar.fm/webp/750x0/props/051386305_1779726499943.jpg | https://images.aqar.fm/webp/750x0/props/051386301_1779726500027.jpg | https://images.aqar.fm/webp/750x0/props/051386308_1779726500160.jpg,6,صالح ناصر محمد القبيسي,مكتب عون التمكين العقاري,1,2026-05-25,2026-08-20,2026-08-22,4791,2026-08-23,True,"20,000,000",False,فيلا
6756471,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الغدير/شارع-محمد-اليمامي-حي-الغدير-مدينة-الرياض-منطقة-الرياض-6756471,"فيلا للبيع في شارع محمد اليمامي, حي الغدير, مدينة الرياض, منطقة الرياض",6500000,408,6,5,2,11,حي الغدير,الرياض,شمال الرياض,$5d,24.774038,46.657061,https://images.aqar.fm/webp/750x0/props/004681552_1782990814152.jpg | https://images.aqar.fm/webp/750x0/props/004681555_1782990814150.jpg | https://images.aqar.fm/webp/750x0/props/004681552_1782990814209.jpg | https://images.aqar.fm/webp/750x0/props/004681550_1782990814164.jpg | https://images.aqar.fm/webp/750x0/props/004681557_1782990814148.jpg | https://images.aqar.fm/webp/750x0/props/004681558_1782990814159.jpg | https://images.aqar.fm/webp/750x0/props/004681554_1782990814196.jpg | https://images.aqar.fm/webp/750x0/props/004681550_1782990814167.jpg,8,عبدالله سلطان عبدالله البواردي,,,2026-07-02,2026-07-31,2026-08-16,1657,2026-08-23,True,"6,500,000",False,فيلا
6822166,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الغدير/شارع-صالح-بن-يحيى-التنوخي-حي-الغدير-مدينة-الرياض-منطقة-الرياض-6822166,"فيلا للبيع في شارع صالح بن يحيى التنوخي, حي الغدير, مدينة الرياض, منطقة الرياض",5000000,450,5,,,10,حي الغدير,الرياض,شمال الرياض,"🛑للبيع:فيلا في حي الغدير بالرياض 

المساحة: 450م

الاطوال:25,28X17,85

العمر:13سنة مرممة بالكامل 

الشوارع: غرباً شارع عرض 20م

المواصفات: 

الدور الارضي :
ملحق خارجي بدورة مياه
مجلس رجال
صالة طعام 
2 صالة جلوس 
مطبخ 
2 دورة مياه

الدور الاول :
5 غرف نوم 
صالة جلوس 

الدور الثاني 
صالة 
2غرفة نوم 
2دورة مياه
غرفة غسيل 

المميزات:
تكييف مركزي (مخفي)
مسبح

مميزات الموقع:
بالقرب من طريق الامير محمد بن سلمان
بالقرب من مركز الملك عبدالله المالي (KAFD)
بالقرب من طريق الملك فهد 

المسوق الحصري 
الدريم العقارية 

📱| للتواصل  
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))

الموقع 📍: https://maps.app.goo.gl/dX8oKNMLYH1EB34j8?g_st=ic

رخصة عقارية رقم :
1200027687
ترخيص إعلاني رقم :
7201082546",24.776992,46.644428,https://images.aqar.fm/webp/750x0/props/040981332_1786714351728.jpg,1,محمد مهدي,مؤسسة مكتب الدريم العقارية,1,2026-08-14,2026-08-14,2026-08-21,509,2026-08-23,True,"5,000,000",False,فيلا
