listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6698237,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-الغنامية/شارع-كحيلة-حي-الغنامية-مدينة-الرياض-منطقة-الرياض-6698237,"فيلا للبيع في شارع كحيلة, حي الغنامية, مدينة الرياض, منطقة الرياض",795000,324,7,3,1,0,حي الغنامية,الرياض,جنوب الرياض,"فلة جديدة ومودرن على شارعين في حي الغنامية مساحة 241م دور واحد ومؤسس دور
ثاني
وافضل تأسيس وافضل مواد
السباكة القبلان
الكهرباء الفنار
الخرسانات مصنع وبومب
الكهرباء واصل
الماء واصل
جميع الضمانات
السعر 830 الف قابل للتفاوض 
الحي مكتمل الخدمات وعلى الدائري الجديد يوجد عروض فلل اخرى بمساحات واسعار
مختلفة
التواصل واتس على الرقم الموجود في الاعلان",24.472679,46.811523,https://images.aqar.fm/webp/750x0/props/001899147_1786139851129.jpg | https://images.aqar.fm/webp/750x0/props/001899142_1786139935103.jpg | https://images.aqar.fm/webp/750x0/props/001899146_1786139935139.jpg | https://images.aqar.fm/webp/750x0/props/001899148_1786139935110.jpg | https://images.aqar.fm/webp/750x0/props/001899140_1786139935146.jpg | https://images.aqar.fm/webp/750x0/props/001899146_1786139935170.jpg | https://images.aqar.fm/webp/750x0/props/001899148_1786139935219.jpg | https://images.aqar.fm/webp/750x0/props/001899149_1786139935192.jpg | https://images.aqar.fm/webp/750x0/props/001899144_1786211348139.jpg,9,فرج ابن مبارك,,,2026-05-15,2026-08-10,2026-08-23,707,2026-08-23,True,"795,000",False,فيلا
6635601,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-الغنامية/شارع-الجعيمه-حي-الغنامية-مدينة-الرياض-منطقة-الرياض-6635601,"فيلا للبيع في شارع الجعيمه, حي الغنامية, مدينة الرياض, منطقة الرياض",830000,330,5,5,1,0,حي الغنامية,الرياض,جنوب الرياض,"للبيع دور أرضي مؤسس دور ثاني وملحق
في حي الغنامية المخطط الجديد

المواصفات:
المساحات : 330 م² - 350 م²
الواجهة: غربية
الشارع: عرض 10 متر
الطول على الشارع 12.5


*المميزات*:
• الدور الأرضي جاهز ومؤسس دور ثاني وملحق
• جميع الضمانات متوفرة
• تأمين ملاذ ضد العيوب الخفية
• موقع مرتفع و وبقرب من حديقة 

*تتكون من*: 
ملحق - مجلس - مقلط - مطبخ - صالة - ثلاث غرف نوم وحده ماستر - غرفة خادمة مع دورة مياه مستقله
خمس دورات مياه 

*الاسعار*:
البيع للفيلا 330 م٢  : 830,000 
البيع للفيلا 350 م٢  : 850,000 

للتواصل:
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))


نسعد باستقبال طلباتكم وعروضكم 
بيع - شراء - تأجير - إدارة أملاك",24.479314,46.81605,https://images.aqar.fm/webp/750x0/props/016226448_1774885049332.jpg | https://images.aqar.fm/webp/750x0/props/016226441_1774885049209.jpg | https://images.aqar.fm/webp/750x0/props/016226448_1774885049315.jpg | https://images.aqar.fm/webp/750x0/props/016226440_1774885049218.jpg | https://images.aqar.fm/webp/750x0/props/016226447_1774885049325.jpg | https://images.aqar.fm/webp/750x0/props/016226445_1774885049214.jpg | https://images.aqar.fm/webp/750x0/props/016226446_1774885049337.jpg | https://images.aqar.fm/webp/750x0/props/016226445_1774885049221.jpg,8,خالد احمد,مؤسسة واجهة عقارك للتطوير والاستثمار العقاري,1,2026-03-30,2026-07-14,2026-08-17,880,2026-08-23,True,"830,000",False,فيلا
6769317,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-الغنامية/شارع-كحيلة-حي-الغنامية-مدينة-الرياض-منطقة-الرياض-6769317,"فيلا للبيع في شارع كحيلة, حي الغنامية, مدينة الرياض, منطقة الرياض",840000,324,7,4,0,0,حي الغنامية,الرياض,جنوب الرياض,"للبيع ادوار مؤسسة دور ثاني وملحق
في حي الغنامية المخطط الجديد

المواصفات:
المساحة : 324 - 225
الواجهة: غربية - جنوبية
الشارع: عرض 10 متر

*تتكون من*:
ثلاث غرف نوم وحدة ماستر
مجلس
مقلط 
صالة
مطبخ
مستودع
ثلاث دورات مياه

*المميزات*:
• الدور الأرضي جاهز ومؤسس دور ثاني وملحق
• جميع الضمانات متوفرة
• تأمين ملاذ ضد العيوب الخفية
• موقع مرتفع و وبقرب من حديقة ومسجد

*الاسعار*:
870,000 - 790,000 

للتواصل:
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))

نسعد باستقبال طلباتكم وعروضكم 
بيع - شراء - تأجير - إدارة أملاك",24.472679,46.811523,https://images.aqar.fm/webp/750x0/props/016226444_1783791722247.jpg | https://images.aqar.fm/webp/750x0/props/016226444_1783791722255.jpg | https://images.aqar.fm/webp/750x0/props/016226448_1783791722269.jpg | https://images.aqar.fm/webp/750x0/props/016226445_1783791722270.jpg | https://images.aqar.fm/webp/750x0/props/016226448_1783791722268.jpg | https://images.aqar.fm/webp/750x0/props/016226446_1783791849371.jpg | https://images.aqar.fm/webp/750x0/props/016226440_1783791849363.jpg,7,خالد احمد,مؤسسة واجهة عقارك للتطوير والاستثمار العقاري,1,2026-07-11,2026-07-11,2026-08-17,55,2026-08-23,True,"840,000",False,فيلا
6834345,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-الغنامية/شارع-اليرموك-حي-الغنامية-مدينة-الرياض-منطقة-الرياض-6834345,"فيلا للبيع في شارع اليرموك, حي الغنامية, مدينة الرياض, منطقة الرياض",850000,636,3,4,1,0,حي الغنامية,الرياض,جنوب الرياض,"للبيع أدوار أرضية مؤسسة دور ثاني وملحق
في حي الغنامية المخطط الجديد

المواصفات:
المساحات : من 225 م² إلى 360 م²
الشوارع : عرض 15 - 10


*المميزات*:
• الدور الأرضي جاهز ومؤسس دور ثاني وملحق
• ضمانات تصل لـ25 على السباكة والكهرباء
• ضمان على العزل المائي والحراري لـ10 سنوات 
• تأمين ضد العيوب الخفية
• موقع ممتاز و وبقرب من مسجد والشارع الرئيسي 
• تشطيب ممتاز وأبواب مقاومة للماء وأرضيات الخزف السعودي  
• يوجد تصوير لجميع مراحل البناء

*تتكون من*: 
ملحق - مجلس - مقلط - صالة - مطبخ - مستودع  - ثلاث غرف نوم وحده ماستر - ودورات مياه من 3 إلى 4

*الاسعار*:
تبدا من 720 ألف إلى 850 ألف

للتواصل:
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))

نسعد باستقبال طلباتكم وعروضكم 
بيع - شراء - تأجير - إدارة أملاك",24.473727,46.811937,https://images.aqar.fm/webp/750x0/props/016226445_1787327508727.jpg,1,خالد احمد,مؤسسة واجهة عقارك للتطوير والاستثمار العقاري,1,2026-08-21,2026-08-21,2026-08-23,0,2026-08-23,True,"850,000",False,فيلا
6690799,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-الغنامية/شارع-الكثيفة-حي-الغنامية-مدينة-الرياض-منطقة-الرياض-6690799,"فيلا للبيع في شارع الكثيفة, حي الغنامية, مدينة الرياض, منطقة الرياض",700000,160,6,5,2,0,حي الغنامية,الرياض,جنوب الرياض,"فله ثلاث ادوار منفصلة في حي الغنامية (مؤجرة بالكامل بعقد واحد لشركة)

مناسبة للمستثمر بعائد سنوي مستقر ومرتفع يتجاوز 8 بالمئة 

البيع 700000",24.483326,46.806933,https://images.aqar.fm/webp/750x0/props/007453862_1778429634107.jpg | https://images.aqar.fm/webp/750x0/props/007453863_1778429634079.jpg | https://images.aqar.fm/webp/750x0/props/007453861_1778429634094.jpg | https://images.aqar.fm/webp/750x0/props/007453863_1778429634084.jpg | https://images.aqar.fm/webp/750x0/props/007453862_1778429634130.jpg | https://images.aqar.fm/webp/750x0/props/007453861_1778429634084.jpg | https://images.aqar.fm/webp/750x0/props/007453868_1778429634084.jpg | https://images.aqar.fm/webp/750x0/props/007453869_1778429634092.jpg | https://images.aqar.fm/webp/750x0/props/007453868_1778429634085.jpg | https://images.aqar.fm/webp/750x0/props/007453862_1778429634084.jpg | https://images.aqar.fm/webp/750x0/props/007453867_1778429634087.jpg | https://images.aqar.fm/webp/750x0/props/007453860_1778429634088.jpg | https://images.aqar.fm/webp/750x0/props/007453866_1778429634105.jpg | https://images.aqar.fm/webp/750x0/props/007453865_1778429634086.jpg | https://images.aqar.fm/webp/750x0/props/007453864_1778429634104.jpg | https://images.aqar.fm/webp/750x0/props/007453869_1778429634111.jpg | https://images.aqar.fm/webp/750x0/props/007453860_1778429634290.jpg | https://images.aqar.fm/webp/750x0/props/007453860_1778429634118.jpg,18,عبدالله سعد محمد الشاهين,مكتب عبدالله سعد الشاهين للعقارات,1,2026-05-10,2026-08-05,2026-08-11,697,2026-08-23,True,"700,000",False,فيلا
6834342,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-الغنامية/شارع-كحيلة-حي-الغنامية-مدينة-الرياض-منطقة-الرياض-6834342,"فيلا للبيع في شارع كحيلة, حي الغنامية, مدينة الرياض, منطقة الرياض",750000,748,3,4,1,0,حي الغنامية,الرياض,جنوب الرياض,"للبيع أدوار أرضية مؤسسة دور ثاني وملحق
في حي الغنامية المخطط الجديد

المواصفات:
المساحات : من 225 م² إلى 360 م²
الشوارع : عرض 15 - 10


*المميزات*:
• الدور الأرضي جاهز ومؤسس دور ثاني وملحق
• ضمانات تصل لـ25 على السباكة والكهرباء
• ضمان على العزل المائي والحراري لـ10 سنوات 
• تأمين ضد العيوب الخفية
• موقع ممتاز و وبقرب من مسجد والشارع الرئيسي 
• تشطيب ممتاز وأبواب مقاومة للماء وأرضيات الخزف السعودي  
• يوجد تصوير لجميع مراحل البناء

*تتكون من*: 
ملحق - مجلس - مقلط - صالة - مطبخ - مستودع  - ثلاث غرف نوم وحده ماستر - ودورات مياه من 3 إلى 4

*الاسعار*:
تبدا من 720 ألف إلى 850 ألف

للتواصل:
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))

نسعد باستقبال طلباتكم وعروضكم 
بيع - شراء - تأجير - إدارة أملاك",24.473371,46.811077,https://images.aqar.fm/webp/750x0/props/016226446_1787327388861.jpg,1,خالد احمد,مؤسسة واجهة عقارك للتطوير والاستثمار العقاري,1,2026-08-21,2026-08-21,2026-08-23,0,2026-08-23,True,"750,000",False,فيلا
6717661,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-الغنامية/حي-الغنامية-مدينة-الرياض-منطقة-الرياض-6717661,"فيلا للبيع في حي الغنامية, مدينة الرياض, منطقة الرياض",900000,383,6,0,0,8,حي الغنامية,الرياض,جنوب الرياض,"للبيع عمارة في الغنامية 

تتكون من : 

من دور منفصل وشقتين 

المساحة : 383
الواجهة: غربية
الشارع: عرض 11.39 متر
الاطوال : 19.35*20
الدخل السنوي : 58 الف
السوم : 800 الف

للتواصل:

((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))


نسعد باستقبال طلباتكم وعروضكم 
بيع - شراء - تأجير - إدارة أملاك",24.475956,46.810792,https://images.aqar.fm/webp/750x0/props/016226441_1780500088205.jpg | https://images.aqar.fm/webp/750x0/props/016226448_1780576790655.jpg | https://images.aqar.fm/webp/750x0/props/016226445_1780576790656.jpg | https://images.aqar.fm/webp/750x0/props/016226440_1780576790635.jpg,4,خالد احمد,مؤسسة واجهة عقارك للتطوير والاستثمار العقاري,1,2026-06-03,2026-07-14,2026-08-17,207,2026-08-23,True,"900,000",False,فيلا
6613123,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-الغنامية/شارع-الملاجي-حي-الغنامية-مدينة-الرياض-منطقة-الرياض-6613123,"فيلا للبيع في شارع الملاجي, حي الغنامية, مدينة الرياض, منطقة الرياض",850000,250,4,,,0,حي الغنامية,الرياض,جنوب الرياض,✨فيلا دورين للبيع حي الغنامية قريب من كافة الخدمات قريب من طريق الحائر بقرب من حديقة الغناميه الجديدة في الحي الجديد تتميز بشارع عرضه 15 جنوبي 🏠 تفاصيل الفيلا: 🔹الدور الارضي يتكون غرف النوم 2+صالة+مجلس+مقلط+3دورة مياه+مطبخ 🔹الدور الأول يتكون من غرف النوم 2+صالة+مجلس+مقلط+2دورة مياه+مطبخ . ✨ملحوظة : الفيلا شغل شخصي / مبنية علي الكود السعودي / موجود صور لكل مراحل البناء /‏ الفيلا عليها ضمان من شركة ملاذ ضد العيوب الخفية مدة 10 سنوات ✨للتواصل 0503760999,24.47361,46.815342,https://images.aqar.fm/webp/750x0/props/037162512_1775317399353.jpg | https://images.aqar.fm/webp/750x0/props/037162510_1775317490409.jpg | https://images.aqar.fm/webp/750x0/props/037162512_1775317490460.jpg | https://images.aqar.fm/webp/750x0/props/037162513_1775317490510.jpg | https://images.aqar.fm/webp/750x0/props/037162511_1775317490400.jpg | https://images.aqar.fm/webp/750x0/props/037162517_1775317490403.jpg | https://images.aqar.fm/webp/750x0/props/037162511_1775317490398.jpg | https://images.aqar.fm/webp/750x0/props/037162519_1775317490408.jpg | https://images.aqar.fm/webp/750x0/props/037162517_1775317490423.jpg | https://images.aqar.fm/webp/750x0/props/037162510_1775317490459.jpg | https://images.aqar.fm/webp/750x0/props/037162517_1775317490460.jpg | https://images.aqar.fm/webp/750x0/props/037162513_1775317490402.jpg,12,فزاع محمد بن مبارك ال فطيح,شركة مساكن فاز العقارية,1,2026-03-03,2026-07-27,2026-08-23,750,2026-08-23,True,"850,000",False,فيلا
6492805,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-الغنامية/شارع-الملاجي-حي-الغنامية-مدينة-الرياض-منطقة-الرياض-6492805,"فيلا للبيع في شارع الملاجي, حي الغنامية, مدينة الرياض, منطقة الرياض",880000,250,,5,2,1,حي الغنامية,الرياض,جنوب الرياض,"🟥 للبيع فيلا دوبلكس (دور + دور + مؤسس للملحق مع السباكة)
• 📍الموقع حيوي بحي الغنامية 
‏بقرب من حديقة الغنامية الجديدة
• المساحه 250م
• شارع 15م جنوبي
• كود البناء الجديد
🔹 تفاصيل الفيلا:
✅ الدور الأرضي : 4 غرف – صالة – مطبخ – 3 حمام – مدخل سيارة
✅ الدور العلـوي : 4 غرف – صالة – مطبخ مع مستودع – 2 حمام – مدخل سيارة
✅ الملحق: مؤسس للملحق مع السباكة
💡 مميزات العقار:
 • الفيلا شغل شخصي وتشطيب ممتاز 
 • يوجد ضمانات وتامين على المبنى كامل من شركة ملاذ مدة 10 سنوات على العيوب الخفية
 • يوجد شهادة إتمام بناء
 • يوجد شهادة إطلاق التيار
 • يوجد شهادة إشراف هندسي على المبنى
 • تصميم عملي يناسب العائلات الكبيرة
 • عدادين كهرباء – ⁠عداد ماء
 • شغل شخصي
 • موقع حيوي وقريبة من الحديقة الجديدة
 • درج جانبي مفصول

💵 الدخل/ 54 الف
-  سعر البيع/ 900.000 ر.س 

مسوق ووسيط عقاري مُعتمد
علي آل طامي
رخصة فال/ 1100245347
رخصة موثوق/ 768859
رقم ترخيص الإعلان/ 7100240006
📲 للتواصل ((رقم المعلن يظهر عند التواصل))",24.473618,46.815388,https://images.aqar.fm/webp/750x0/props/041296168_1775682676629.jpg,1,علي ال طامي,,,2025-12-04,2026-08-07,2026-08-23,657,2026-08-23,True,"880,000",False,فيلا
6769343,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-الغنامية/شارع-كحيلة-حي-الغنامية-مدينة-الرياض-منطقة-الرياض-6769343,"فيلا للبيع في شارع كحيلة, حي الغنامية, مدينة الرياض, منطقة الرياض",800000,225,7,0,0,0,حي الغنامية,الرياض,جنوب الرياض,"للبيع دبلكسات مؤسسة دور ثاني وملحق
في حي الغنامية المخطط الجديد

المواصفات:
المساحة : 225
الواجهة: جنوبية
الشارع: عرض 10 متر

*تتكون من*:
ثلاث غرف نوم وحدة ماستر
مجلس
مقلط 
صالة
مطبخ
ثلاث دورات مياه

*المميزات*:
• الدور الأرضي جاهز ومؤسس دور ثاني وملحق
• جميع الضمانات متوفرة
• تأمين ملاذ ضد العيوب الخفية
    • موقع مرتفع و وبقرب من حديقة ومسجد

*الاسعار*:
800,000


للتواصل:
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))


نسعد باستقبال طلباتكم وعروضكم 
بيع - شراء - تأجير - إدارة أملاك",24.472682,46.811362,https://images.aqar.fm/webp/750x0/props/016226448_1783792996066.jpg | https://images.aqar.fm/webp/750x0/props/016226444_1783792995819.jpg | https://images.aqar.fm/webp/750x0/props/016226448_1783792995907.jpg | https://images.aqar.fm/webp/750x0/props/016226448_1783792995894.jpg | https://images.aqar.fm/webp/750x0/props/016226440_1783792995906.jpg | https://images.aqar.fm/webp/750x0/props/016226440_1783792995900.jpg | https://images.aqar.fm/webp/750x0/props/016226449_1783792995930.jpg | https://images.aqar.fm/webp/750x0/props/016226442_1783793005870.jpg,8,خالد احمد,مؤسسة واجهة عقارك للتطوير والاستثمار العقاري,1,2026-07-11,2026-07-11,2026-08-17,122,2026-08-23,True,"800,000",False,فيلا
