listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6723624,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الفلاح/شارع-الفضيلة-حي-الفلاح-مدينة-الرياض-منطقة-الرياض-6723624,"فيلا للبيع في شارع الفضيلة, حي الفلاح, مدينة الرياض, منطقة الرياض",9500000,792,,5,3,11,حي الفلاح,الرياض,شمال الرياض,"فيلا  زوايه جنوبية غربية  
٣٣ م جنوبا شارع ١٥ 
٢٤ م.   غربا شارع ١٥
بدروم ودور اول وثاني وملحق علوي
درج بالصاله 
ملحق خارجي 
مسبح 
ملحق معها استراحة جانبية وملحق خاص بالاستراحة 
جميع الخدمات متوفره
بناء خااص 
للمعاينة التنسيق مع الوسيط 


للتواصل :

0558062045
0553633693",24.795258,46.700405,https://images.aqar.fm/webp/750x0/props/000894138_1780900141237.jpg | https://images.aqar.fm/webp/750x0/props/000894131_1780900161065.jpg,2,محمد بن نافع بن عبدالعزيز الهبدان,مؤسسة مكتب واجهة الفلاح للعقارات,1,2026-06-08,2026-08-05,2026-08-21,1306,2026-08-23,True,"9,500,000",False,فيلا
6810536,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الفلاح/شارع-الرذاذ-حي-الفلاح-مدينة-الرياض-منطقة-الرياض-6810536,"فيلا للبيع في شارع الرذاذ, حي الفلاح, مدينة الرياض, منطقة الرياض",3000000,337,5,,,11,حي الفلاح,الرياض,شمال الرياض,"للبيــــــــع فيلا دوبلكس 
بحي الفلاح بالمربع الذهبي
بالقرب من حديقة حي الفلاح
المساحه 337  م
الوجهه شماليه شارع 20  م
تتكون الدور👇
 الارضي من ( مجلس -مقلط -صاله واسعه - مطبخ - دورتين مياه)
الدور الاول (غرفة نوم ماستر مع دورة مياة - غرفه نوم مع دورة مياة- غرفة نوم مع دورة مياة - غرفةنوم مع دورة مياة - صاله )
الدور الثاني ( غرفة عاملة مع دورة مياة - يوجد غرفتين اضافيتين بالسطح )
يوجد مدخل سيارة وملحق خارجي
وغرفة سواق
ويوجد. غاز مركزي

عمر العقار  30  سنه 
الفيلا ساكنه لازم موعد 
السوم 3,000,000",24.79134,46.705147,https://images.aqar.fm/webp/750x0/props/037184258_1786153498267.jpg | https://images.aqar.fm/webp/750x0/props/037184254_1786153497820.jpg | https://images.aqar.fm/webp/750x0/props/037184257_1786153497918.jpg | https://images.aqar.fm/webp/750x0/props/037184256_1786153497933.jpg | https://images.aqar.fm/webp/750x0/props/037184259_1786153498037.jpg | https://images.aqar.fm/webp/750x0/props/037184256_1786153498036.jpg | https://images.aqar.fm/webp/750x0/props/037184251_1786153498118.jpg | https://images.aqar.fm/webp/750x0/props/037184257_1786153498155.jpg,8,زيد ظافر فدغوش العتيبي,مؤسسة قوى الاعمار الحديثة,1,2026-08-08,2026-08-08,2026-08-23,90,2026-08-23,True,"3,000,000",False,فيلا
6829769,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الفلاح/شارع-السويدة-حي-الفلاح-مدينة-الرياض-منطقة-الرياض-6829769,"فيلا للبيع في شارع السويدة, حي الفلاح, مدينة الرياض, منطقة الرياض",3800000,350,5,,,11,حي الفلاح,الرياض,شمال الرياض,"https://maps.app.goo.gl/ojfB1ecMnkf2fpSA6?g_st=ac
للبيع فيلا بحي الفلاح من افضل أحياء الرياض 
المساحة ٣٥٠ م
شارع ١٢ شرقي 
العمر ١١ سنه 
السوم ٣ مليون و ٨٠٠ لاف 
الموصفات 
الدور الارضي مجلس رجال مجلس نساء مطبخ مسبح 
الدور الأول ٥ غرف نوم 
السطح
مطبخ مع غرفه خادمه مع مجلس كبير
مباشر مع المالك",24.797725,46.705463,,,محمد عبدالله,شركة الغروب للتطوير العقاري,1,2026-08-18,2026-08-18,2026-08-22,47,2026-08-23,True,"3,800,000",False,فيلا
6779390,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الفلاح/شارع-علاج-بن-عمرو-حي-الفلاح-مدينة-الرياض-منطقة-الرياض-6779390,"فيلا للبيع في شارع علاج بن عمرو, حي الفلاح, مدينة الرياض, منطقة الرياض",6200000,458,5,5,5,9,حي الفلاح,الرياض,شمال الرياض,"فيلا في حي الفلاح 
المساحه 458.2 
شارع 20 مقابل حديقه 
. بدروم كامل الفيلا مع فناء جانبي للبدروم 
. الدور الارضي مجالس وطعام وتكييف مخفي 
. الدور الاول 5 غرف نوم
. السطح صالة جلوس ومطبخ وخدمات. وفناء بالسطح
تكييف راكب ومطبخ ومصعد متسوبيشي 
. ملحقين بالارضي 
عمر الفيلا 9 سنوات
السوم : 6,000,000 ريال",24.793999,46.715985,https://images.aqar.fm/webp/750x0/props/012885402_1784386031562.jpg | https://images.aqar.fm/webp/750x0/props/012885401_1784386031512.jpg | https://images.aqar.fm/webp/750x0/props/012885401_1784386031577.jpg | https://images.aqar.fm/webp/750x0/props/012885409_1784386031570.jpg | https://images.aqar.fm/webp/750x0/props/012885400_1784386031517.jpg | https://images.aqar.fm/webp/750x0/props/012885406_1786289491181.jpg | https://images.aqar.fm/webp/750x0/props/012885400_1786289491022.jpg | https://images.aqar.fm/webp/750x0/props/012885407_1786289491181.jpg | https://images.aqar.fm/webp/750x0/props/012885402_1786289491234.jpg | https://images.aqar.fm/webp/750x0/props/012885406_1786289491187.jpg,10,مشاري المرزوقي,,,2026-07-18,2026-08-16,2026-08-20,1308,2026-08-23,True,"6,200,000",False,فيلا
6443087,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الفلاح/شارع-طريق-المطار-الفرعي-حي-الفلاح-مدينة-الرياض-منطقة-الرياض-6443087,"فيلا للبيع في شارع طريق المطار الفرعي, حي الفلاح, مدينة الرياض, منطقة الرياض",7125000,500,7,1,0,4,حي الفلاح,الرياض,شمال الرياض,"رقم الترخيص الاعلان بموقع عقار 
7200740376
رخصة فال العقاري 
1200041271
للبيع فيلا حي الفلاح دورين

المساحة : 488 م
الشارع : 20 شمالية
عمر العقار : تقريبا 20 سنه
مدخل سيارة 1
عدد الغرف : 5 نوم - صالتين - مجلس - ملحق
غرفه طعام - غرفه سواق وشغاله بالسطح .

السعر : 6،000،000 
غير شامل السعي و الضريبة .",24.802823,46.716336,https://images.aqar.fm/webp/750x0/props/048380809_1766622486370.jpg | https://images.aqar.fm/webp/750x0/props/048380808_1766622581894.jpg | https://images.aqar.fm/webp/750x0/props/048380808_1766622581900.jpg,3,طلال عبدالكريم,مؤسسة قوى الامتلاك,1,2025-10-27,2026-08-21,2026-08-21,4908,2026-08-23,True,"7,125,000",False,فيلا
6760030,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الفلاح/شارع-ينبع-حي-الفلاح-مدينة-الرياض-منطقة-الرياض-6760030,"فيلا للبيع في شارع ينبع, حي الفلاح, مدينة الرياض, منطقة الرياض",4000000,400,7,0,0,11,حي الفلاح,الرياض,شمال الرياض,"https://maps.app.goo.gl/LvhA6ssEt6cPKWMj6?g_st=awb

للبيع فيلا في حي الفلاح
- على شارعين عرض ٢٠ م
- شماليه غربيه
- عمر العقار ١٤ سنه
- ⁠المساحة : ٤٠٠ م
- ⁠جميع الخدمات متوفرة + موقع مميز + قريب لجامعة الامام قريب لمحطة مترو
- ⁠مكونه من ٣ ادوار
- ⁠الدور الأول مجلسين وغرفة طعام وصاله و ٣ دورات مياة
- ⁠الدور الثاني ٤ غرف نوم وصاله منهم غرفة ماستر
- ⁠الدور الثالث غرفتين وحمام مع السطح
- ⁠يوجد ملحقين للفيلا
- 4 مليون البيع",24.804427,46.708335,https://images.aqar.fm/webp/750x0/props/042847272_1783228685893.jpg | https://images.aqar.fm/webp/750x0/props/042847278_1783228700870.jpg | https://images.aqar.fm/webp/750x0/props/042847274_1783228700900.jpg | https://images.aqar.fm/webp/750x0/props/042847270_1783228700907.jpg,4,فيصل السلمان,مؤسسة فيصل عبدالملك سلمان السلمان للعقارات,1,2026-07-05,2026-08-03,2026-08-23,1538,2026-08-23,True,"4,000,000",False,فيلا
6726956,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الفلاح/شارع-المجاز-حي-الفلاح-مدينة-الرياض-منطقة-الرياض-6726956,"فيلا للبيع في شارع المجاز, حي الفلاح, مدينة الرياض, منطقة الرياض",10080000,1120,,5,3,11,حي الفلاح,الرياض,شمال الرياض,"((الرقم يظهر عند الضغط على اتصال))
فيلا فاخرة بحي الفلاح بمدينة الرياض 
رقم المخطط: 2924
رقم القطعة: 726
((الرقم يظهر عند الضغط على اتصال))
الواجهه: شمالية شارع 15
الاطوال: 27.88&40.15 متر
المساحة: 1,120 متر 
((الرقم يظهر عند الضغط على اتصال))
مكونات العقار: الدور الأرضي/ 3 غرف نوم ,صالة ،مطبخ، مستودع غرفة طعام، 2 مجلس،5 دورات مياه
الدور الاول:4 غرف نوم، صالة، مطبخ، بلكونة ، غرفة طعام ، مطبخ،4 دورات مياه
الملحق العلوي: صالة ، غرف نوم، دورة مياه
ملاحق خارجية: مواقف سيارات ، حديقة 
((الرقم يظهر عند الضغط على اتصال))",24.794452,46.712208,https://images.aqar.fm/webp/750x0/props/013866420_1781085373153.jpg | https://images.aqar.fm/webp/750x0/props/013866429_1781085373148.jpg | https://images.aqar.fm/webp/750x0/props/013866425_1781085373148.jpg | https://images.aqar.fm/webp/750x0/props/013866420_1781085373222.jpg | https://images.aqar.fm/webp/750x0/props/013866426_1781085373227.jpg | https://images.aqar.fm/webp/750x0/props/013866421_1781085373161.jpg | https://images.aqar.fm/webp/750x0/props/013866421_1781085373160.jpg | https://images.aqar.fm/webp/750x0/props/013866421_1781085373179.jpg | https://images.aqar.fm/webp/750x0/props/013866425_1781085373188.jpg | https://images.aqar.fm/webp/750x0/props/013866428_1781085373253.jpg | https://images.aqar.fm/webp/750x0/props/013866428_1781085373189.jpg | https://images.aqar.fm/webp/750x0/props/013866421_1781085373256.jpg | https://images.aqar.fm/webp/750x0/props/013866429_1781085373263.jpg | https://images.aqar.fm/webp/750x0/props/013866425_1781085373236.jpg,14,عبدالله محمد عبدالعزيز العلوان,شركة بصمه لاداره العقارات,1,2026-06-10,2026-08-07,2026-08-18,2207,2026-08-23,True,"10,080,000",False,فيلا
6797261,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الفلاح/شارع-الرذاذ-حي-الفلاح-مدينة-الرياض-منطقة-الرياض-6797261,"فيلا للبيع في شارع الرذاذ, حي الفلاح, مدينة الرياض, منطقة الرياض",3000000,337,4,4,2,0,حي الفلاح,الرياض,شمال الرياض,"للبيــــــــع فيلا دوبلكس 
بحي الفلاح بالمربع الذهبي
بالقرب من حديقة حي الفلاح
المساحه 337  م
الوجهه شماليه شارع 20  م
تتكون الدور👇
 الارضي من ( مجلس -مقلط -صاله واسعه - مطبخ - دورتين مياه)
الدور الاول (غرفة نوم ماستر مع دورة مياة - غرفه نوم مع دورة مياة- غرفة نوم مع دورة مياة - غرفة نوم مع دورة مياة - صاله )
الدور الثاني ( غرفة عاملة مع دورة مياة - يوجد غرفتين اضافيتين بالسطح )
يوجد مدخل سيارة وملحق خارجي
وغرفة سواق
ويوجد. غاز مركزي

الفيلا ساكنه لازم موعد",24.79134,46.705147,https://images.aqar.fm/webp/750x0/props/040512358_1785398040323.jpg | https://images.aqar.fm/webp/750x0/props/040512350_1785398040324.jpg | https://images.aqar.fm/webp/750x0/props/040512357_1785398040341.jpg | https://images.aqar.fm/webp/750x0/props/040512354_1785398040435.jpg | https://images.aqar.fm/webp/750x0/props/040512357_1785398040483.jpg | https://images.aqar.fm/webp/750x0/props/040512353_1785398040511.jpg | https://images.aqar.fm/webp/750x0/props/040512359_1785398040565.jpg | https://images.aqar.fm/webp/750x0/props/040512358_1785398040323.jpg | https://images.aqar.fm/webp/750x0/props/040512350_1785398040324.jpg | https://images.aqar.fm/webp/750x0/props/040512357_1785398040341.jpg | https://images.aqar.fm/webp/750x0/props/040512354_1785398040435.jpg | https://images.aqar.fm/webp/750x0/props/040512357_1785398040483.jpg | https://images.aqar.fm/webp/750x0/props/040512353_1785398040511.jpg | https://images.aqar.fm/webp/750x0/props/040512359_1785398040565.jpg,14,حمد بن عبدالله بن مقرن الوايلي,مؤسسة ارض الشمال العقارية,1,2026-07-30,2026-07-30,2026-08-07,605,2026-08-23,True,"3,000,000",False,فيلا
6611166,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الفلاح/شارع-الطيف-حي-الفلاح-مدينة-الرياض-منطقة-الرياض-6611166,"فيلا للبيع في شارع الطيف, حي الفلاح, مدينة الرياض, منطقة الرياض",11000000,875,6,5,0,11,حي الفلاح,الرياض,شمال الرياض,"مرحبا 

اذا انت مشتري وتبحث عن عقار تواصل على الواتس وارسل طلبك وابشر باللي يرضيك. 


بخصوص هذا الإعلان
السوم وصل 10500 للمتر 

فلة مساحة 875 م 
في حي الفلاح 
درج داخلي 
حديقة داخلية 
مقابل حديقة 
شارع 20 م 
الواجهة غربية 
قريبة من مسجد 
موقعها ممتاز ومخارج الدخول والخروج من والى الفلة للطرق الرئيسية سهله

العرض جديد بالسوق والسعر على السوم 
والحي ممتاز ومكتمل الخدمات وعروضه نادره جدا.",24.797513,46.703274,https://images.aqar.fm/webp/750x0/props/003658171_1772438328618.jpg | https://images.aqar.fm/webp/750x0/props/003658179_1772438328636.jpg | https://images.aqar.fm/webp/750x0/props/003658175_1772438328880.jpg | https://images.aqar.fm/webp/750x0/props/003658170_1772438328626.jpg | https://images.aqar.fm/webp/750x0/props/003658170_1772438328886.jpg | https://images.aqar.fm/webp/750x0/props/003658174_1772438328630.jpg | https://images.aqar.fm/webp/750x0/props/003658177_1772438328632.jpg | https://images.aqar.fm/webp/750x0/props/003658171_1772438328638.jpg | https://images.aqar.fm/webp/750x0/props/003658170_1772439653221.jpg,9,عبدالله الدوسري,,,2026-03-02,2026-07-25,2026-08-14,2776,2026-08-23,True,"11,000,000",False,فيلا
6629316,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الفلاح/شارع-الرذاذ-حي-الفلاح-مدينة-الرياض-منطقة-الرياض-6629316,"فيلا للبيع في شارع الرذاذ, حي الفلاح, مدينة الرياض, منطقة الرياض",2800000,337,4,,,11,حي الفلاح,الرياض,شمال الرياض,"للبيــــــــع فيلا دوبلكس 
بحي الفلاح بالمربع الذهبي
بالقرب من حديقة حي الفلاح
المساحه 337  م
الوجهه شماليه شارع 20  م
تتكون الدور👇
 الارضي من ( مجلس -مقلط -صاله واسعه - مطبخ - دورتين مياه)
الدور الاول (غرفة نوم ماستر مع دورة مياة - غرفه نوم مع دورة مياة- غرفة نوم مع دورة مياة - غرفة نوم مع دورة مياة - صاله )
الدور الثاني ( غرفة عاملة مع دورة مياة - يوجد غرفتين اضافيتين بالسطح )
يوجد مدخل سيارة وملحق خارجي
وغرفة سواق
ويوجد. غاز مركزي

عمر العقار  30  سنه 
الفيلا ساكنه لازم موعد 





https://maps.google.com/?q=24.791353,46.704948",24.79134,46.705147,https://images.aqar.fm/webp/750x0/props/000242762_1774226983704.jpg,1,عبدالملك ابراهيم محمد الجمعان,شركة بنايات نجد للتسويق شخص واحد,1,2026-03-23,2026-08-15,2026-08-22,1257,2026-08-23,True,"2,800,000",False,فيلا
