listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6809116,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-جبل-عسيب-حي-القادسية-مدينة-الرياض-منطقة-الرياض-6809116,"فيلا للبيع في شارع جبل عسيب, حي القادسية, مدينة الرياض, منطقة الرياض",2600000,400,6,5,5,0,حي القادسية,الرياض,شرق الرياض,"💢للبيع فيلا جديدة بحي القادسيه درج داخلي شقه 

🔅 المساحة: 400م 

💢 تفاصيل الفله:

🔸حوش واسع 
🔸 مشب خارجي 
🔸 مجلس رجال واسع 
🔸مقلط  
🔸 صاله نساء 
🔸مطبخ 
🔸غرفه كبار سن 
🔸غرفه خادمه بدوره مياه خاصه 
🔸غرفه غسيل 

📍الدور الاول 
🔸4 غرف نوم (2ماستر) 

💢 مواصفات ومميزات الفله :
🔸 شقه مستقله 
🔸عداد كهرباء مستقل+ خزان مياه مستقل
🔸موقف خاص

🔵 السعر : مليونين و 600",24.816797,46.832545,https://images.aqar.fm/webp/750x0/props/037293882_1786024488075.jpg | https://images.aqar.fm/webp/750x0/props/037293889_1786024488060.jpg | https://images.aqar.fm/webp/750x0/props/037293882_1786024523170.jpg | https://images.aqar.fm/webp/750x0/props/037293887_1786024545060.jpg | https://images.aqar.fm/webp/750x0/props/037293882_1786024544917.jpg | https://images.aqar.fm/webp/750x0/props/037293881_1786024545058.jpg | https://images.aqar.fm/webp/750x0/props/037293887_1786024545010.jpg | https://images.aqar.fm/webp/750x0/props/037293887_1786024544906.jpg | https://images.aqar.fm/webp/750x0/props/037293881_1786024545005.jpg | https://images.aqar.fm/webp/750x0/props/037293889_1786024544895.jpg | https://images.aqar.fm/webp/750x0/props/037293888_1786024545064.jpg | https://images.aqar.fm/webp/750x0/props/037293881_1786024577422.jpg | https://images.aqar.fm/webp/750x0/props/037293888_1786024577411.jpg | https://images.aqar.fm/webp/750x0/props/037293886_1786024577431.jpg | https://images.aqar.fm/webp/750x0/props/037293883_1786024577279.jpg | https://images.aqar.fm/webp/750x0/props/037293880_1786024577439.jpg | https://images.aqar.fm/webp/750x0/props/037293887_1786024577455.jpg | https://images.aqar.fm/webp/750x0/props/037293888_1786024577422.jpg | https://images.aqar.fm/webp/750x0/props/037293884_1786024577448.jpg,19,عواض ضيف الله حسن العتيبي,,,2026-08-06,2026-08-06,2026-08-23,175,2026-08-23,True,"2,600,000",False,فيلا
6818769,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-جبل-المشايخ-حي-القادسية-مدينة-الرياض-منطقة-الرياض-6818769,"فيلا للبيع في شارع جبل المشايخ, حي القادسية, مدينة الرياض, منطقة الرياض",2400000,342,,5,4,5,حي القادسية,الرياض,شرق الرياض,"فله للبيع القادسية 
المساحة 342 متر
شارع ١٥ 
موقع مميز جداً

الفله الدور الأول ملحق خارجي بمشب و مجلس الرجال بدورة مياه ومقلط بعدها صالة كبيرة مقابلها صالة صغيرة وغرفة كبار سن ودورة مياه ومطبخ بمستودع له الـدور الثاني صالة بثلاث غرف نوم وثلاث دورات مياه

الفله مؤجرة ب60 ألف ومتبقي من مده الاجار 4 شهور
الشقق الأولى ب32 وباقي 7 شهور 
والثانية ب30 ألف ومتبقي 6شهور

كل شقة لها مدخلين وعداد مستقل 
مجلس رجال بدورة مياه ومطبخ وصالة وغرفتين نوم ودورة مياه

وصل السوم 2مليون و200",24.82072,46.835136,https://images.aqar.fm/webp/750x0/props/004390492_1786548711910.jpg | https://images.aqar.fm/webp/750x0/props/004390491_1786548719766.jpg | https://images.aqar.fm/webp/750x0/props/004390491_1786548719766.jpg | https://images.aqar.fm/webp/750x0/props/004390493_1786548719755.jpg | https://images.aqar.fm/webp/750x0/props/004390495_1786548719756.jpg | https://images.aqar.fm/webp/750x0/props/004390499_1786548719756.jpg | https://images.aqar.fm/webp/750x0/props/004390499_1786548719761.jpg | https://images.aqar.fm/webp/750x0/props/004390494_1786548719760.jpg | https://images.aqar.fm/webp/750x0/props/004390493_1786548719767.jpg,9,عبدالله محمد احمد الشهري,مؤسسة مكتب مساكن وحدود للعقارات,1,2026-08-12,2026-08-12,2026-08-12,22,2026-08-23,True,"2,400,000",False,فيلا
6804845,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-نهر-النيل-حي-القادسية-مدينة-الرياض-منطقة-الرياض-6804845,"فيلا للبيع في شارع نهر النيل, حي القادسية, مدينة الرياض, منطقة الرياض",2812000,400,3,0,0,6,حي القادسية,الرياض,شرق الرياض,"للبيع فيلا بالرياض
الحي:القادسية
المساحه:400
الواجهة:غربية
العمر:سبع سنوات
تفاصيل العقار:فيلا تتكون من درج داخلي وشقتين  مؤسس مصعد 
مع وجود غرفة سائق وغرفة خادمة
موقع مميز بالقرب من طريق الشيخ جابر 
السعر:2.812.000 السعر شامل الرهن العقاري ، وغير شامل السعي
للتواصل والاستفسار:((الرقم يظهر عند الضغط على اتصال))",24.810523,46.819653,https://images.aqar.fm/webp/750x0/props/029810896_1785804463296.jpg,1,احمد محمد,,,2026-08-04,2026-08-04,2026-08-22,63,2026-08-23,True,"2,812,000",False,فيلا
6746112,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-جبل-المدار-حي-القادسية-مدينة-الرياض-منطقة-الرياض-6746112,"فيلا للبيع في شارع جبل المدار, حي القادسية, مدينة الرياض, منطقة الرياض",2500000,324,,,,0,حي القادسية,الرياض,شرق الرياض,"فيلا جديدة للبيع – درج صالة وشقتين | حي القادسية شرق الرياض
فرصة مناسبة للسكن والاستثمار في آنٍ واحد، فيلا جديدة بتصميم عملي وموقع مميز في حي القادسية، أحد الأحياء الواعدة شرق الرياض.

📍 تفاصيل العقار:

- المساحة: 324م²
- الواجهة: شمالية
- النظام: درج صالة + شقتين

الدور الأرضي:

- غرفة سائق
- مدخل سيارة
- مجلس مستقل مع دورة مياه
- غرفة طعام
- صالة معيشة واسعة
- مطبخ
- مستودع
- غرفة نوم ماستر مناسبة لكبار السن

الدور الأول:

- 4 غرف نوم,غرفتان ماستر


الدور العلوي:

- غرفة خادمة مع دورة مياه
- سطح

الشقق (عدد 2):
كل شقة تتكون من:

- غرفتين نوم
- مجلس
- صالة
- دورتين مياه
- مطبخ

مميزات الموقع:

- موقع حيوي في حي القادسية شرق الرياض.
- قريب من طريق الإمام عبدالله بن سعود بن عبدالعزيز، أحد أهم المحاور الرئيسية بالمنطقة.
- سهولة الوصول إلى طريق الشيخ جابر الأحمد الصباح والطرق الرئيسية المحيطة بالحي.
- حي يشهد نمواً عمرانياً وتوسعاً مستمراً في المشاريع السكنية والتجارية.

العقار يجمع بين سكن عائلي متكامل وفرصة استثمارية مميزة من خلال دخل الشقق، مع تصميم يوفر الخصوصية والاستفادة المثلى من المساحات.

للتواصل والاستفسار: ((الرقم يظهر عند الضغط على اتصال))",24.82132,46.83383,https://images.aqar.fm/webp/750x0/props/034784050_1783419297770.jpg | https://images.aqar.fm/webp/750x0/props/034784054_1783419297529.jpg | https://images.aqar.fm/webp/750x0/props/034784054_1783419297533.jpg | https://images.aqar.fm/webp/750x0/props/034784054_1783419297528.jpg | https://images.aqar.fm/webp/750x0/props/034784059_1783419297525.jpg | https://images.aqar.fm/webp/750x0/props/034784053_1783419297528.jpg | https://images.aqar.fm/webp/750x0/props/034784054_1783419297522.jpg | https://images.aqar.fm/webp/750x0/props/034784051_1783419297744.jpg | https://images.aqar.fm/webp/750x0/props/034784051_1783419297756.jpg | https://images.aqar.fm/webp/750x0/props/034784055_1783419297757.jpg | https://images.aqar.fm/webp/750x0/props/034784057_1783419297749.jpg | https://images.aqar.fm/webp/750x0/props/034784057_1783419297749.jpg | https://images.aqar.fm/webp/750x0/props/034784053_1783419297753.jpg | https://images.aqar.fm/webp/750x0/props/034784055_1783419297753.jpg | https://images.aqar.fm/webp/750x0/props/034784056_1783419297749.jpg | https://images.aqar.fm/webp/750x0/props/034784052_1783419297758.jpg | https://images.aqar.fm/webp/750x0/props/034784051_1783419297757.jpg | https://images.aqar.fm/webp/750x0/props/034784050_1783419297751.jpg | https://images.aqar.fm/webp/750x0/props/034784051_1783419297763.jpg | https://images.aqar.fm/webp/750x0/props/034784057_1783419297763.jpg | https://images.aqar.fm/webp/750x0/props/034784057_1783419297762.jpg | https://images.aqar.fm/webp/750x0/props/034784052_1783419297940.jpg | https://images.aqar.fm/webp/750x0/props/034784054_1783419621428.jpg | https://images.aqar.fm/webp/750x0/props/034784053_1783419621471.jpg | https://images.aqar.fm/webp/750x0/props/034784057_1783419621508.jpg | https://images.aqar.fm/webp/750x0/props/034784052_1783419621499.jpg | https://images.aqar.fm/webp/750x0/props/034784052_1783419621488.jpg | https://images.aqar.fm/webp/750x0/props/034784051_1783419621569.jpg | https://images.aqar.fm/webp/750x0/props/034784052_1783419621569.jpg | https://images.aqar.fm/webp/750x0/props/034784056_1783419621530.jpg,30,تركي محمد,شركة ادراك الفرص المحدودة,1,2026-06-24,2026-08-21,2026-08-23,73,2026-08-23,True,"2,500,000",False,فيلا
6616074,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-جبل-فرقان-حي-القادسية-مدينة-الرياض-منطقة-الرياض-6616074,"فيلا للبيع في شارع جبل فرقان, حي القادسية, مدينة الرياض, منطقة الرياض",1250000,229,5,5,2,0,حي القادسية,الرياض,شرق الرياض,"للبيع
فيلا تاون هاوس + شقه غرفه وصاله
جديده
حى / القادسيه شرق قابوس
- تتكون من
التاون هاوس
علوى
الدور الاول
( مجلس - صاله - غرفتين نوم - مطبخ - حمامين )
الدور الثانى
( صاله - غرفتين نوم - حمامين )
- الشقه
( تتكون من غرفه وصاله وحمام )
السعر
1300000
للتواصل
اتصال ((الرقم يظهر عند الضغط على اتصال))",24.819403,46.840202,https://images.aqar.fm/webp/750x0/props/045724065_1772773157825.jpg | https://images.aqar.fm/webp/750x0/props/045724069_1772773157816.jpg,2,محمد السلمى,شركة رمز المساكن العقارية,1,2026-03-06,2026-07-29,2026-08-23,12204,2026-08-23,True,"1,250,000",False,فيلا
6721377,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-ابن-أبي-الضياف-حي-القادسية-مدينة-الرياض-منطقة-الرياض-6721377,"فيلا للبيع في شارع ابن أبي الضياف, حي القادسية, مدينة الرياض, منطقة الرياض",3700000,393,,,,4,حي القادسية,الرياض,شرق الرياض,"* *شركة بي فاوند العقارية*
•  رقم العرض : 2122
•  النوع : فيلا للبيع 
•  الحي : القادسيه 
•  الشوارع : 15م ، 15م 
•  الواجهة : شمالية ، غربية 
•  المساحة : 393.2
•  السعر : 3.700.000 ريال قابل للتفاوض 
•  عمر العقار : 4 سنوات 
*الوصف*
*الدور الاول* 
مشب ومجلس ومقلط ومطبخ وصاله حريم وصالة طعام  وغرفة ماستر  و٣حمامات  يعني الدور الاول ضيافه  
*الدور الثاني*
٥ غرف منها ٢ ماستر وصاله ومطبخ 
*الدور الثالث*
 شقه مكونه من مجلس وصاله حريم وغرفتين نوم ومطبخ و٢ حمام 
وخلف الشقة غرفة ماستر وغرفة شغاله وغرفة غسيل تابعة لدور الاول والثاني

رقم الترخيص الإعلاني: 7200993878",24.813962,46.829753,https://images.aqar.fm/webp/750x0/props/038310108_1780761767636.jpg | https://images.aqar.fm/webp/750x0/props/038310104_1780761767730.jpg | https://images.aqar.fm/webp/750x0/props/038310104_1780761767781.jpg | https://images.aqar.fm/webp/750x0/props/038310109_1780761767855.jpg | https://images.aqar.fm/webp/750x0/props/038310106_1780761767857.jpg | https://images.aqar.fm/webp/750x0/props/038310102_1780761767944.jpg | https://images.aqar.fm/webp/750x0/props/038310107_1780761767950.jpg,7,مناور احمد,شركة بي فاوند,1,2026-06-06,2026-08-03,2026-08-23,270,2026-08-23,True,"3,700,000",False,فيلا
6712923,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-وادي-مية-حي-القادسية-مدينة-الرياض-منطقة-الرياض-6712923,"فيلا للبيع في شارع وادي مية, حي القادسية, مدينة الرياض, منطقة الرياض",2700000,500,,0,0,11,حي القادسية,الرياض,شرق الرياض,"فيلا سكنية مساحة 500 م 2 ثلاث أدور كل دور يحتوي على 6 غرف ومطبخ وصالة . 
الواجهة شمالية قريبة من حديقة القادسية والجامع ومجمع المدارس الحكومية .
تبعد عن جابر قرابة كيلو وطريق الإمام سعود 800 م",24.814017,46.811706,https://images.aqar.fm/webp/750x0/props/008499669_1780148970626.jpg | https://images.aqar.fm/webp/750x0/props/008499667_1780148970476.jpg | https://images.aqar.fm/webp/750x0/props/008499668_1780148970617.jpg | https://images.aqar.fm/webp/750x0/props/008499662_1780148970499.jpg | https://images.aqar.fm/webp/750x0/props/008499666_1780148970482.jpg | https://images.aqar.fm/webp/750x0/props/008499669_1780148970622.jpg | https://images.aqar.fm/webp/750x0/props/008499668_1780148970528.jpg | https://images.aqar.fm/webp/750x0/props/008499662_1780148970800.jpg | https://images.aqar.fm/webp/750x0/props/008499663_1780149043632.jpg | https://images.aqar.fm/webp/750x0/props/008499667_1780149043615.jpg | https://images.aqar.fm/webp/750x0/props/008499665_1780149043728.jpg | https://images.aqar.fm/webp/750x0/props/008499664_1780149043635.jpg,12,سلمان سهيل,,,2026-05-30,2026-07-27,2026-07-27,1443,2026-08-23,True,"2,700,000",False,فيلا
6562865,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-ابن-الرقيق-القيرواني-حي-القادسية-مدينة-الرياض-منطقة-الرياض-6562865,"فيلا للبيع في شارع ابن الرقيق القيرواني, حي القادسية, مدينة الرياض, منطقة الرياض",3000000,372,5,,,6,حي القادسية,الرياض,شرق الرياض,"فله درج داخلي
مع شقتين كل شقه ٣ غرف وصاله
امام مرفق
مؤجره بالكامل بمبلغ ١٧٠ الف سنوي
عليها رهن",24.812662,46.827785,https://images.aqar.fm/webp/750x0/props/002121756_1769430609718.jpg | https://images.aqar.fm/webp/750x0/props/002121756_1769430609416.jpg | https://images.aqar.fm/webp/750x0/props/002121757_1769430609459.jpg | https://images.aqar.fm/webp/750x0/props/002121750_1769430609476.jpg | https://images.aqar.fm/webp/750x0/props/002121759_1769430609479.jpg | https://images.aqar.fm/webp/750x0/props/002121750_1769430609539.jpg | https://images.aqar.fm/webp/750x0/props/002121752_1769430609666.jpg | https://images.aqar.fm/webp/750x0/props/002121754_1769430609665.jpg | https://images.aqar.fm/webp/750x0/props/002121757_1769430609744.jpg | https://images.aqar.fm/webp/750x0/props/002121759_1769430609760.jpg,10,خالد مهدي,مكتب وعد الرؤية للعقارات,1,2026-01-26,2026-08-17,2026-08-17,892,2026-08-23,True,"3,000,000",False,فيلا
6692546,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-وادي-وج-حي-القادسية-مدينة-الرياض-منطقة-الرياض-6692546,"فيلا للبيع في شارع وادي وج, حي القادسية, مدينة الرياض, منطقة الرياض",2350000,312,6,5,3,0,حي القادسية,الرياض,شرق الرياض,"تتقدم شركة الرائد العقاريه لعملانا الكرام 
فيلل للبيع حي المعزليه 
درج داخلي مع شقتين 
ويوجد درج داخلي مع شقه 
 مساحه ٣١٢م

مكونه من 
الدور الأرضي 
ملحق خارجي 
وحوش 
ومجلس رجال 
وصاله طعام 
وصاله وسيعه 
مع أرتداد 
ومطبخ 
وغرفه خادمه
مؤسس مصعد 

 الدور الاول 
4 غرف نوم مستر 
صاله وسيعه

الدور الأخير 
سطح وسيعه

مكونات الشقه 
2 غرفه نوم 
مجلس 
صاله 
مطبخ 
2 دوره مياه 

شركه الرائد العقاري 🤝

فريق عمل من المستشاريين العقارييين في خدمتك ✍️

نعمل علي ::🤝

توفير العقار المناسب المطابق لأنظمة الكود السعودي 
داخل احياء شمال شرق الرياض 

إنهاء الإجراءات البنكيه للعقار 
خلال اسبوعين 
باعلي تمويل بنكي واقل نسبه 

توفير الدفعه الاولي للعقار 
سداد المتعثرات 
امكانية تحويل من بنك لآخر

للتواصل/0552501507",24.822313,46.823137,https://images.aqar.fm/webp/750x0/props/046654689_1778517465948.jpg | https://images.aqar.fm/webp/750x0/props/046654687_1778517464242.jpg | https://images.aqar.fm/webp/750x0/props/046654684_1778517465273.jpg | https://images.aqar.fm/webp/750x0/props/046654682_1778517465945.jpg | https://images.aqar.fm/webp/750x0/props/046654688_1778517465285.jpg | https://images.aqar.fm/webp/750x0/props/046654688_1778517465483.jpg | https://images.aqar.fm/webp/750x0/props/046654688_1778517466123.jpg | https://images.aqar.fm/webp/750x0/props/046654686_1778517466123.jpg | https://images.aqar.fm/webp/750x0/props/046654682_1778517467114.jpg | https://images.aqar.fm/webp/750x0/props/046654681_1778517466806.jpg | https://images.aqar.fm/webp/750x0/props/046654687_1778517467116.jpg | https://images.aqar.fm/webp/750x0/props/046654686_1778517467591.jpg | https://images.aqar.fm/webp/750x0/props/046654682_1778517467669.jpg | https://images.aqar.fm/webp/750x0/props/046654686_1778517467970.jpg | https://images.aqar.fm/webp/750x0/props/046654688_1778517464104.jpg | https://images.aqar.fm/webp/750x0/props/046654689_1778517464210.jpg | https://images.aqar.fm/webp/750x0/props/046654680_1778517464523.jpg | https://images.aqar.fm/webp/750x0/props/046654685_1778517464523.jpg | https://images.aqar.fm/webp/750x0/props/046654682_1778517465483.jpg | https://images.aqar.fm/webp/750x0/props/046654681_1778517465594.jpg | https://images.aqar.fm/webp/750x0/props/046654689_1778517465597.jpg | https://images.aqar.fm/webp/750x0/props/046654684_1778517465735.jpg | https://images.aqar.fm/webp/750x0/props/046654689_1778517465944.jpg | https://images.aqar.fm/webp/750x0/props/046654684_1778517466809.jpg | https://images.aqar.fm/webp/750x0/props/046654689_1778517465948.jpg | https://images.aqar.fm/webp/750x0/props/046654687_1778517464242.jpg | https://images.aqar.fm/webp/750x0/props/046654684_1778517465273.jpg | https://images.aqar.fm/webp/750x0/props/046654682_1778517465945.jpg | https://images.aqar.fm/webp/750x0/props/046654688_1778517465285.jpg | https://images.aqar.fm/webp/750x0/props/046654688_1778517465483.jpg | https://images.aqar.fm/webp/750x0/props/046654688_1778517466123.jpg | https://images.aqar.fm/webp/750x0/props/046654686_1778517466123.jpg | https://images.aqar.fm/webp/750x0/props/046654682_1778517467114.jpg | https://images.aqar.fm/webp/750x0/props/046654681_1778517466806.jpg | https://images.aqar.fm/webp/750x0/props/046654687_1778517467116.jpg | https://images.aqar.fm/webp/750x0/props/046654686_1778517467591.jpg | https://images.aqar.fm/webp/750x0/props/046654682_1778517467669.jpg | https://images.aqar.fm/webp/750x0/props/046654686_1778517467970.jpg | https://images.aqar.fm/webp/750x0/props/046654688_1778517464104.jpg | https://images.aqar.fm/webp/750x0/props/046654689_1778517464210.jpg | https://images.aqar.fm/webp/750x0/props/046654680_1778517464523.jpg | https://images.aqar.fm/webp/750x0/props/046654685_1778517464523.jpg | https://images.aqar.fm/webp/750x0/props/046654682_1778517465483.jpg | https://images.aqar.fm/webp/750x0/props/046654681_1778517465594.jpg | https://images.aqar.fm/webp/750x0/props/046654689_1778517465597.jpg | https://images.aqar.fm/webp/750x0/props/046654684_1778517465735.jpg | https://images.aqar.fm/webp/750x0/props/046654689_1778517465944.jpg | https://images.aqar.fm/webp/750x0/props/046654684_1778517466809.jpg,48,رائد مقبل بن محمد العصيمي,مؤسسة رائد مقبل بن محمد العصيمي للمقاولات العامة,1,2026-05-11,2026-08-07,2026-08-23,732,2026-08-23,True,"2,350,000",False,فيلا
6739194,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-البسالة-حي-القادسية-الرياض-منطقة-الرياض-6739194,فيلا للبيع في شارع البسالة ، حي القادسية ، الرياض ، منطقة الرياض,1950000,258,5,6,1,0,حي القادسية,الرياض,شرق الرياض,Brand new property from International Developer.,24.820018,46.802833,https://images.aqar.fm/webp/750x0/props/015140952_1781877888547.jpg | https://images.aqar.fm/webp/750x0/props/015140952_1781877888554.jpg | https://images.aqar.fm/webp/750x0/props/015140950_1781877888555.jpg | https://images.aqar.fm/webp/750x0/props/015140955_1781877888543.jpg | https://images.aqar.fm/webp/750x0/props/015140959_1781877888582.jpg | https://images.aqar.fm/webp/750x0/props/015140956_1781877888582.jpg | https://images.aqar.fm/webp/750x0/props/015140957_1781877888583.jpg | https://images.aqar.fm/webp/750x0/props/015140956_1781877888574.jpg | https://images.aqar.fm/webp/750x0/props/015140953_1781877888552.jpg,9,محمد كاشف,,,2026-06-19,,2026-06-19,115,2026-08-23,False,طلب تسويق,False,فيلا
