listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6794521,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القدس/شارع-الوادي-الفارع-حي-القدس-مدينة-الرياض-منطقة-الرياض-6794521,"فيلا للبيع في شارع الوادي الفارع, حي القدس, مدينة الرياض, منطقة الرياض",6100000,900,,5,3,11,حي القدس,الرياض,شرق الرياض,فيلا للبيع حي القدس مساحه ٩٠٠م علي شارعين شارع ١٥ وشارع ١٠ قريب من الدائري الشرقي وقريب الامير سعود الكبير,24.752859,46.745956,https://images.aqar.fm/webp/750x0/props/003257972_1785315400700.jpg | https://images.aqar.fm/webp/750x0/props/003257978_1785249197240.jpg | https://images.aqar.fm/webp/750x0/props/003257975_1785249197677.jpg | https://images.aqar.fm/webp/750x0/props/003257979_1785249198101.jpg | https://images.aqar.fm/webp/750x0/props/003257978_1785249198582.jpg | https://images.aqar.fm/webp/750x0/props/003257976_1785249198978.jpg | https://images.aqar.fm/webp/750x0/props/003257979_1785249199422.jpg | https://images.aqar.fm/webp/750x0/props/003257975_1785249199862.jpg | https://images.aqar.fm/webp/750x0/props/003257976_1785249200304.jpg | https://images.aqar.fm/webp/750x0/props/003257972_1785249200749.jpg | https://images.aqar.fm/webp/750x0/props/003257973_1785249201251.jpg | https://images.aqar.fm/webp/750x0/props/003257970_1785249201698.jpg,12,حسن حنش علي الزهراني,شركة اسس العمار العقارية,1,2026-07-28,2026-07-28,2026-08-20,913,2026-08-23,True,"6,100,000",False,فيلا
6715668,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القدس/شارع-الشيخ-سعود-بن-رشود-حي-القدس-مدينة-الرياض-منطقة-الرياض-6715668,"فيلا للبيع في شارع الشيخ سعود بن رشود, حي القدس, مدينة الرياض, منطقة الرياض",7500000,910,5,,,11,حي القدس,الرياض,شرق الرياض,"تعلن شركة الثروة العقارية 
فرصة عقارية مميزة تجمع بين *القيمة الحالية وفرصة التطوير المستقبلية*
ارض تجارية  للبيع بحي القدس 📍
* المساحة: 910 م²
* واجهة مميزة بعرض 30 متر
* إمكانية التطوير حتى 3 أدوار
* مقام على الأرض فيلا قائمة + شقة مستقلة
* قابلية التجزئة والاستغلال المتعدد
* بالقرب من محطات المترو والمحاور الرئيسية والخدمات
🏠 العقار القائم:
* فيلا قائمة متعددة المساحات
* شقة مستقلة بالدور الأول
* مواقف مظللة + غرف خدمات + مساحات إضافية
* أسطح ومستودعات ومساحات قابلة لإعادة التهيئة  

     سعر البيع : 7.500.000
📌 الموقع : https://maps.app.goo.gl/zuYuyRMeQZSXkHxP7

📞 للتواصل : ((الرقم يظهر عند الضغط على اتصال))03566
    رخصة فال : 1200018448
   ترخيص اعلاني : 7200987205
💎 بالخــبرة تنــمو الثــروة",24.760913,46.75539,https://images.aqar.fm/webp/750x0/props/037936494_1780385010949.jpg | https://images.aqar.fm/webp/750x0/props/037936498_1784545867385.jpg | https://images.aqar.fm/webp/750x0/props/037936492_1784545875122.jpg,3,حمد عبدالعزيز عبدالله السليمان,شركة الثروة الأولى العقارية,1,2026-06-02,2026-07-30,2026-08-20,1671,2026-08-23,True,"7,500,000",False,فيلا
6834513,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القدس/شارع-النقاع-حي-القدس-مدينة-الرياض-منطقة-الرياض-6834513,"فيلا للبيع في شارع النقاع, حي القدس, مدينة الرياض, منطقة الرياض",5800000,1075,7,5,3,11,حي القدس,الرياض,شرق الرياض,"Villa for Sale
فيلا للبيع

🔴 المساحة الإجمالية: ١٠٧٥م

💰سعر البيع الإجمالي: 5,800,000 ريال

فرصة مميزة لامتلاك فيلا في موقع استراتيجي في حي القدس بالرياض

تقع على زاوية بواجهة شرقية شمالية وعلى شارعين ١٥م. 

تفاصيل العقار:
- الفيلا على قطعتين بصكين منفصلين
- واجهة: شرقية شمالية

مكونات الفيلا:
- ٧ غرف نوم
- ٣ مجالس واسعة
- ٢ غرف طعام
- ٨ دورات مياه

✔️ موقع نادر ومطلوب
✔️ مثالية للسكن العائلي الراقي
✔️ مناسبة للاستخدام الاستثماري
✔️ قيمة مستقبلية مرتفعة للموقع

أرقام التواصل:
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.755406,46.767012,https://images.aqar.fm/webp/750x0/props/009008195_1787336583341.jpg | https://images.aqar.fm/webp/750x0/props/009008194_1787336583341.jpg | https://images.aqar.fm/webp/750x0/props/009008194_1787336583334.jpg | https://images.aqar.fm/webp/750x0/props/009008196_1787336583336.jpg | https://images.aqar.fm/webp/750x0/props/009008196_1787336698547.jpg | https://images.aqar.fm/webp/750x0/props/009008193_1787336698517.jpg | https://images.aqar.fm/webp/750x0/props/009008197_1787336698476.jpg | https://images.aqar.fm/webp/750x0/props/009008196_1787336698541.jpg | https://images.aqar.fm/webp/750x0/props/009008199_1787336698544.jpg | https://images.aqar.fm/webp/750x0/props/009008196_1787336698480.jpg,10,محمد عبدالمعين,شركة 40,1,2026-08-21,2026-08-21,2026-08-21,106,2026-08-23,True,"5,800,000",False,فيلا
6696053,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القدس/شارع-الجودة-حي-القدس-مدينة-الرياض-منطقة-الرياض-6696053,"فيلا للبيع في شارع الجودة
, حي القدس, مدينة الرياض, منطقة الرياض",3800000,360,5,0,0,0,حي القدس,الرياض,شرق الرياض,$5c,24.752965,46.75909,https://images.aqar.fm/webp/750x0/props/010132054_1778693714100.jpg | https://images.aqar.fm/webp/750x0/props/010132055_1778693714107.jpg | https://images.aqar.fm/webp/750x0/props/010132052_1778693714149.jpg | https://images.aqar.fm/webp/750x0/props/010132055_1778693714109.jpg | https://images.aqar.fm/webp/750x0/props/010132057_1778693714106.jpg | https://images.aqar.fm/webp/750x0/props/010132053_1778693714132.jpg | https://images.aqar.fm/webp/750x0/props/010132057_1778693714123.jpg | https://images.aqar.fm/webp/750x0/props/010132056_1778693714152.jpg | https://images.aqar.fm/webp/750x0/props/010132050_1778693736878.jpg | https://images.aqar.fm/webp/750x0/props/010132054_1778693736945.jpg,10,زياد داوود,,,2026-05-13,2026-08-09,2026-08-21,2361,2026-08-23,True,"3,800,000",False,فيلا
6735031,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القدس/شارع-المنذر-بن-حسان-حي-القدس-مدينة-الرياض-منطقة-الرياض-6735031,"فيلا للبيع في شارع المنذر بن حسان, حي القدس, مدينة الرياض, منطقة الرياض",3000000,520,5,5,0,11,حي القدس,الرياض,شرق الرياض,"للبيع فيلا في حي القدس يعد من الاحياء الجميلة وموقع مميز 

الدورالارضي : مجلس + غرفة طعام ( مقلط ) + غرفتين ومطبخ به مستودع + دورتين مياه + صاله كبيره  .
الدورالاول :  ٥ غرف نوم + ٣ دورات مياه + صاله كبيره والدرج في الصاله .
السطح : غرفه مع حمام .
الحوش فيه ملحقين بدورتين مياه ومستودع  .
العمر ٢٥ سنه والبيع بقيمة ارض 

الاطوال : ٢٠*٢٦
المساحه : ٥٢٠ م.

السوم : ٣،١٠٠،٠٠٠ 
البيع سمح ان شاء الله
للتواصل / ((الرقم يظهر عند الضغط على اتصال))",24.753859,46.761926,https://images.aqar.fm/webp/750x0/props/020274148_1781615687295.jpg,1,عبدالله عثمان عبدالله الدغفق,,,2026-06-16,2026-07-15,2026-08-10,1196,2026-08-23,True,"3,000,000",False,فيلا
6412112,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القدس/شارع-الدهماء-حي-القدس-الرياض-منطقة-الرياض-6412112,"فيلا للبيع في شارع الدهماء, حي القدس, مدينة الرياض, منطقة الرياض",6000000,375,5,5,2,0,حي القدس,الرياض,شرق الرياض,$5b,24.756364610500043,46.75669287850006,https://images.aqar.fm/webp/750x0/props/048771498_1762090657350.jpg | https://images.aqar.fm/webp/750x0/props/048771499_1762279860969.jpg | https://images.aqar.fm/webp/750x0/props/048771492_1762279860980.jpg | https://images.aqar.fm/webp/750x0/props/048771490_1762279860996.jpg | https://images.aqar.fm/webp/750x0/props/048771497_1762279860997.jpg | https://images.aqar.fm/webp/750x0/props/048771493_1762279860975.jpg | https://images.aqar.fm/webp/750x0/props/048771499_1762279860971.jpg | https://images.aqar.fm/webp/750x0/props/048771495_1762280071744.jpg | https://images.aqar.fm/webp/750x0/props/048771496_1762280071725.jpg | https://images.aqar.fm/webp/750x0/props/048771498_1762280071731.jpg | https://images.aqar.fm/webp/750x0/props/048771499_1762280137476.jpg | https://images.aqar.fm/webp/750x0/props/048771490_1762280137802.jpg | https://images.aqar.fm/webp/750x0/props/048771496_1762280598917.jpg,13,ياسر سعود,,,2025-10-05,2026-01-14,2026-08-22,5864,2026-08-23,True,"6,000,000",False,فيلا
6788199,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القدس/شارع-المحثل-حي-القدس-مدينة-الرياض-منطقة-الرياض-6788199,"فيلا للبيع في شارع المحثل, حي القدس, مدينة الرياض, منطقة الرياض",10500000,958,5,5,5,4,حي القدس,الرياض,شرق الرياض,"فله دورين 
السطح:
 فيه غرفة غسيل وغرفة جاكوزي ومستودع وغرفة جلوس وصاله وغرفة خادمة بحمامها 
التكييف سبيلت

الدور الثاني :
٢ غرف نوم ماستر + غرفة نوم + صاله
التكييف سبيلت 


الدور الأرضي:
غرفة كبار سن ماستر + صاله واسعه جداً مع مجلس مفتوح + مطبخ راكب + مجلس رجال   + مجلس طعام + مجلس نساء + ٣ حمامات
التكييف مركزي

حديقة خارجيه

غرفة سائق

يوجد شقه 


الحد : 9,500,000
واتس اب : ((الرقم يظهر عند الضغط على اتصال))",24.746689,46.755293,https://images.aqar.fm/webp/750x0/props/012183795_1784892579524.jpg | https://images.aqar.fm/webp/750x0/props/012183799_1784892579429.jpg | https://images.aqar.fm/webp/750x0/props/012183791_1784892579449.jpg | https://images.aqar.fm/webp/750x0/props/012183792_1784892579444.jpg | https://images.aqar.fm/webp/750x0/props/012183795_1784892579544.jpg | https://images.aqar.fm/webp/750x0/props/012183799_1784892579532.jpg | https://images.aqar.fm/webp/750x0/props/012183791_1784892579441.jpg | https://images.aqar.fm/webp/750x0/props/012183790_1784892579434.jpg | https://images.aqar.fm/webp/750x0/props/012183799_1784892598421.jpg | https://images.aqar.fm/webp/750x0/props/012183795_1784892598436.jpg | https://images.aqar.fm/webp/750x0/props/012183790_1784892598414.jpg | https://images.aqar.fm/webp/750x0/props/012183794_1784892598484.jpg | https://images.aqar.fm/webp/750x0/props/012183791_1784892598415.jpg | https://images.aqar.fm/webp/750x0/props/012183791_1784892598489.jpg | https://images.aqar.fm/webp/750x0/props/012183796_1784892598486.jpg | https://images.aqar.fm/webp/750x0/props/012183791_1784892598418.jpg,16,ندى علي,,,2026-07-24,2026-08-22,2026-08-22,641,2026-08-23,True,"10,500,000",False,فيلا
6645008,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القدس/شارع-البرهان-بن-زيادة-حي-القدس-مدينة-الرياض-منطقة-الرياض-6645008,"فيلا للبيع في شارع البرهان بن زيادة, حي القدس, مدينة الرياض, منطقة الرياض",4500000,420,6,5,2,11,حي القدس,الرياض,شرق الرياض,"فرصة استثمارية استثنائية في قلب حي القدس

📍موقع استراتيجي مميز في أحد أكثر الأحياء طلبا مثالي لإعادة التطوير أو بناء مشروع سكني فاخر

🔹 نوع العقار: فيلا قديمة (قيمة أرض)
🔹 المساحة: 750 م²
🔹 الأبعاد: 25 م واجهة × 30 م عمق
🔹 الواجهة : غرب شارع ١٥ م


💰 سعر المتر: 6,000 ريال


📞لطلبات المبيعات والاستفسار: 

((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.7596,46.760431,,,صالح سليمان,شركة عقارات النابغة للتجارة,1,2026-04-07,2026-08-01,2026-08-20,657,2026-08-23,True,"4,500,000",False,فيلا
6778009,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القدس/شارع-ابن-مسافر-حي-القدس-مدينة-الرياض-منطقة-الرياض-6778009,"فيلا للبيع في شارع ابن مسافر, حي القدس, مدينة الرياض, منطقة الرياض",3250000,500,4,0,0,11,حي القدس,الرياض,شرق الرياض,"للبيع فيلا بقيمه ارض بحي القدس 
العمر ٣٠ سنه اخر ترميم قبل ٨ سنوات 
المساحه ٥٠٠م الاطوال ٢٠ ف ٢٥ عمق 
السعر حد ٦٥٠٠ للمتر",24.756183,46.765902,,,محمد ناصر عبدالله العثيمين,مكتب الكنانة للعقارات,1,2026-07-17,2026-08-15,2026-08-21,286,2026-08-23,True,"3,250,000",False,فيلا
6404938,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-القدس/شارع-المقرح-حي-القدس-مدينة-الرياض-منطقة-الرياض-6404938,"فيلا للبيع في شارع المقرح, حي القدس, مدينة الرياض, منطقة الرياض",2500000,278,3,3,2,8,حي القدس,الرياض,شرق الرياض,"للبيع تاون هاوس دورين اول وعلوي 
حي القدس (مخطط الراجحي)
📍 الموقع: حي القدس 
📐 المساحة: 278 م²
🛣 الشارع: عرض 20 متر

✨ المميزات:
	•	موقع نافذ وقريب من الطرق الرئيسية
	•	مدخل مستقل
	•	مدخل سيارة
	•	عدادات كهرباء ومياه مستقلة
	•	سطح خاص

🏠 تفاصيل العقار:

🔹 الدور الأول:
	•	مجلس
	•	مغاسل + دورة مياه
	•	صالة واسعة
	•	مطبخ
	•	مقلط
	•	غرفة لكبار السن

🔹 الدور الثاني:
	•	غرفة نوم ماستر
	•	غرفتين نوم بينهم دورة مياه

⸻

📞 المبيعات:
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))",24.751758,46.758615,https://images.aqar.fm/webp/750x0/props/000629803_1759241030113.jpg | https://images.aqar.fm/webp/750x0/props/000629803_1759241030146.jpg | https://images.aqar.fm/webp/750x0/props/000629802_1759241030091.jpg | https://images.aqar.fm/webp/750x0/props/000629809_1759241030121.jpg | https://images.aqar.fm/webp/750x0/props/000629804_1759241030104.jpg | https://images.aqar.fm/webp/750x0/props/000629804_1759241030123.jpg | https://images.aqar.fm/webp/750x0/props/000629804_1759241960669.jpg | https://images.aqar.fm/webp/750x0/props/000629800_1759241960681.jpg,8,مشعل العميريني,شركة مساعد إبراهيم العميريني للاستثمار والتطوير العقاري,1,2025-09-30,2025-09-30,2026-08-23,13519,2026-08-23,True,"2,500,000",False,فيلا
