listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6694537,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المحمدية/شارع-أسفل-الباطن-حي-المحمدية-مدينة-الرياض-منطقة-الرياض-6694537,"فيلا للبيع في شارع أسفل الباطن, حي المحمدية, مدينة الرياض, منطقة الرياض",5950000,375,5,5,2,0,حي المحمدية,الرياض,شمال الرياض,"فلتين فاخرة بموقع يعتبر من أقوى المواقع في الرياض 👌
مساحة 375م
متظاهرة على شارعين:
▪️ شمالي 12
▪️ جنوبي 8

ميزة الموقع؟
دقيقة عن طريق الملك فهد
دقيقة عن طريق الملك عبدالله
ودقيقتين فقط عن التخصصي
يعني وصول سريع لكل الرياض مهما كان دوامك أو وجهتك 🚗

🏡 تفاصيل تعيشك الفخامة:
• مسبح خاص
• مدخل خدمات مستقل
• تربل هايت فاخر يعطي فخامة ومساحة
• 4 غرف نوم واسعة
• مصعد يخدم كامل الفيلا
• تكييف مركزي
• ملحق خارجي
• ارتدادات أمامية وخلفية تعطي خصوصية وراحة

مو مجرد فيلا…
هذا مستوى حياة مختلف يجمع الموقع، الفخامة، وسهولة الوصول بكل يوم🌟",24.72879,46.659352,https://images.aqar.fm/webp/750x0/props/048808148_1778612626112.jpg | https://images.aqar.fm/webp/750x0/props/048808149_1778612698269.jpg | https://images.aqar.fm/webp/750x0/props/048808140_1778612698294.jpg | https://images.aqar.fm/webp/750x0/props/048808146_1778612698273.jpg | https://images.aqar.fm/webp/750x0/props/048808146_1778612698289.jpg | https://images.aqar.fm/webp/750x0/props/048808149_1778612698280.jpg | https://images.aqar.fm/webp/750x0/props/048808141_1778612698392.jpg | https://images.aqar.fm/webp/750x0/props/048808141_1778612698389.jpg | https://images.aqar.fm/webp/750x0/props/048808148_1778612698292.jpg,9,عبدالعزيز الجلعود,شركة راكز العقارية شركة شخص واحد,1,2026-05-12,2026-08-08,2026-08-09,2401,2026-08-23,True,"5,950,000",False,فيلا
6784460,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المحمدية/شارع-رميحة-حي-المحمدية-مدينة-الرياض-منطقة-الرياض-6784460,"فيلا للبيع في شارع رميحة, حي المحمدية, مدينة الرياض, منطقة الرياض",3500000,300,6,4,2,11,حي المحمدية,الرياض,شمال الرياض,"للبيع فلة سكنية 
الموقع : الرياض حي المحمدية 
المساحة : 300م 
الأطوال : 20*15عمق
الواجهة : شرقية 15م وفق الصك
الواقع الشارع يبدو أقل 🔴
العمر : قديم لكن مرمم قبل 5 سنوات 
عبارة عن : 
الدور الأرضي : 
مدخل سيارة + غرفة خادمة + مجلس مفتوح على شلال ونافورة + مطبخ أمريكي + الصالة مفتوحة على الشلال والنافورة + مطبخ صغير خارجي + مستودع . 
الدور الثاني : 
صالة + غرفة مع دورة مياه + مكتبة مطلة على المجلس + مستودع + غرفة رئيسية ماستر + مكان غسيل 
العلوي : 
٢ غرفة نوم + دورة مياه + سطح . 

تكييف مركزي الدور الأرضي كامل ✅
يوجد مصعد لكل الأدوار ✅
غرفة سائق ✅

البيع : 3,500,000 قابل للتفاوض 

مزيد من التفاصيل واتس : ((الرقم يظهر عند الضغط على اتصال))",24.724757,46.65155,https://images.aqar.fm/webp/750x0/props/024391055_1786766830329.jpg | https://images.aqar.fm/webp/750x0/props/024391051_1786766841089.jpg | https://images.aqar.fm/webp/750x0/props/024391052_1786766856889.jpg | https://images.aqar.fm/webp/750x0/props/024391057_1786766856884.jpg | https://images.aqar.fm/webp/750x0/props/024391052_1786766856882.jpg | https://images.aqar.fm/webp/750x0/props/024391058_1786766868367.jpg | https://images.aqar.fm/webp/750x0/props/024391057_1786766868365.jpg | https://images.aqar.fm/webp/750x0/props/024391051_1786766874398.jpg | https://images.aqar.fm/webp/750x0/props/024391058_1786766885099.jpg | https://images.aqar.fm/webp/750x0/props/024391051_1786766918680.jpg,10,عبدالله الغانم,مكتب شريط للعقارات,1,2026-07-21,2026-08-20,2026-08-21,3300,2026-08-23,True,"3,500,000",False,فيلا
6818416,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المحمدية/شارع-الحوافظ-حي-المحمدية-مدينة-الرياض-منطقة-الرياض-6818416,"فيلا للبيع في شارع الحوافظ, حي المحمدية, مدينة الرياض, منطقة الرياض",6350000,365,5,0,0,0,حي المحمدية,الرياض,شمال الرياض,"عملاء راكز الأعزاء ✨

 أقدم لكم مشروع استثنائي في قلب المحمدية، 
مشروع كدا يتكون من 6 فلل حيث الفخامة تلتقي بالحياة العصرية وإطلالة مباشرة على أبراج مركز الملك عبدالله المالي 🤩 . 

فيلا تجمع بين الرقي والراحة.

موقع مميز ونافذ على اهم الشوارع الرئيسيّة .

طريق الملك فهد 3د
طريق التخصصي 5 د
مدينة الملك عبدالله المالية 10د
جامعة الملك سعود 10 د

🏡 مواصفات الفلل تبدأ من 300 م وفيه زاوية 450 متر 🤩

• 5 اجنحة نوم ماستر
• مسبح خاص
• غرفة سائق
• تكييف مخفي لكامل الفيلا
• مصعد راكب

💰 السعر: ابتداء من 6,350,000 ريال

موقع المشروع 
‏https://maps.app.goo.gl/PZPgwNRmSuvtRChM6?g_st=ic

مخططات المشروع 👇🏻
https://drive.google.com/drive/folders/1-6XnPLokvHzMZaTGm-PhfU0yZ_iSHN81

مقاطع فيديو موضح للفلل : 

فلل 300 م : 
https://drive.google.com/file/d/1nYfEBp_cqtxvhgftdrDPnFp-ulbwQdcO/view?usp=drivesdk

فيلا الزاوية 450 متر : 

https://drive.google.com/file/d/15wSCfgMQsrApts59VbGIRKS81KCxyrGZ/view?usp=drivesdk
📞تواصل الان لتحديد موعد للزيارة",24.738859,46.654657,https://images.aqar.fm/webp/750x0/props/008748325_1786540116030.jpg | https://images.aqar.fm/webp/750x0/props/008748325_1786540126178.jpg | https://images.aqar.fm/webp/750x0/props/008748320_1786540126289.jpg | https://images.aqar.fm/webp/750x0/props/008748328_1786540126284.jpg,4,عبدالعزيز الجلعود,شركة راكز العقارية شركة شخص واحد,1,2026-08-12,2026-08-12,2026-08-12,160,2026-08-23,True,"6,350,000",False,فيلا
6817350,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المحمدية/شارع-سميراء-حي-المحمدية-مدينة-الرياض-منطقة-الرياض-6817350,"فيلا للبيع في شارع سميراء, حي المحمدية, مدينة الرياض, منطقة الرياض",3400000,275,7,5,3,11,حي المحمدية,الرياض,شمال الرياض,$5d,24.726776,46.653547,https://images.aqar.fm/webp/750x0/props/013336722_1786478710986.jpg | https://images.aqar.fm/webp/750x0/props/013336726_1786484976941.jpg | https://images.aqar.fm/webp/750x0/props/013336723_1786484976948.jpg | https://images.aqar.fm/webp/750x0/props/013336725_1786484992394.jpg | https://images.aqar.fm/webp/750x0/props/013336728_1786484992392.jpg | https://images.aqar.fm/webp/750x0/props/013336726_1786485049704.jpg | https://images.aqar.fm/webp/750x0/props/013336727_1786485049705.jpg | https://images.aqar.fm/webp/750x0/props/013336729_1786485070915.jpg | https://images.aqar.fm/webp/750x0/props/013336723_1786485108619.jpg | https://images.aqar.fm/webp/750x0/props/013336728_1786485108606.jpg | https://images.aqar.fm/webp/750x0/props/013336729_1786485150729.jpg | https://images.aqar.fm/webp/750x0/props/013336724_1786485186543.jpg | https://images.aqar.fm/webp/750x0/props/013336724_1786485186557.jpg,13,عبدالله عبداللطيف محمد المديد,,,2026-08-11,2026-08-11,2026-08-13,846,2026-08-23,True,"3,400,000",False,فيلا
6780934,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المحمدية/شارع-محمد-بن-يسار-حي-المحمدية-مدينة-الرياض-منطقة-الرياض-6780934,"فيلا للبيع في شارع محمد بن يسار, حي المحمدية, مدينة الرياض, منطقة الرياض",5800000,350,5,4,1,0,حي المحمدية,الرياض,شمال الرياض,"نعتذر للوسطاء ...
( ( فيلا للبيع ) )
- الموقع : حى المحمدية 
الفيلا درج في الصاله  

- المساحه : 350 م
الشارع: 12 م 

- تتميز الفيلا بالاتي :
- مصعد 
- مسبح
- تكيف مركزى - ضمانات وتامين ملاذ
- المود والخامات المستخدمه فى البناء ذا جودًا عالية

تتكون من :
الدور الارضى. : استقبال حوش  مجلس ، مقلط ، صاله مفتوحه ، مجلس نساء مطبخ

الدور العلوى : 4 نوم وصاله

السطح:
غرفه وصاله 

- موقع قريب من الخدمات العامه والخاصه 
- الموقع قريب من الطرق الرئيسيه",24.736495,46.645327,https://images.aqar.fm/webp/750x0/props/002644875_1784479323662.jpg | https://images.aqar.fm/webp/750x0/props/002644874_1784479336409.jpg | https://images.aqar.fm/webp/750x0/props/002644870_1784479336414.jpg | https://images.aqar.fm/webp/750x0/props/002644873_1784479336608.jpg | https://images.aqar.fm/webp/750x0/props/002644874_1784479336468.jpg | https://images.aqar.fm/webp/750x0/props/002644878_1784479336466.jpg | https://images.aqar.fm/webp/750x0/props/002644870_1784479457865.jpg | https://images.aqar.fm/webp/750x0/props/002644876_1784479457840.jpg | https://images.aqar.fm/webp/750x0/props/002644875_1784479457868.jpg | https://images.aqar.fm/webp/750x0/props/002644877_1784479457841.jpg | https://images.aqar.fm/webp/750x0/props/002644877_1784479457846.jpg | https://images.aqar.fm/webp/750x0/props/002644873_1784479457853.jpg,12,فايز الاحمري,شركة السهم الفضي للعقارات,1,2026-07-19,2026-08-17,2026-08-23,2471,2026-08-23,True,"5,800,000",False,فيلا
6618002,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المحمدية/شارع-الحوافظ-حي-المحمدية-مدينة-الرياض-منطقة-الرياض-6618002,"فيلا للبيع في شارع الحوافظ, حي المحمدية, مدينة الرياض, منطقة الرياض",6350000,300,5,5,2,0,حي المحمدية,الرياض,شمال الرياض,"حصرياً لكم 🤩🌟✨

 أقدم لكم مشروع استثنائي في قلب المحمدية، 
مشروع كدا حيث الفخامة تلتقي بالحياة العصرية وإطلالة مباشرة على أبراج مركز الملك عبدالله المالي.

فيلا تجمع بين الرقي والراحة.

موقع مميز ونافذ على اهم الشوارع الرئيسيّة .

طريق الملك فهد 3د
طريق التخصصي 5 د
مدينة الملك عبدالله المالية 10د
جامعة الملك سعود 10 د

🏡 مواصفات الفيلا:
• المساحة: 300 م²
• 5 اجنحة نوم ماستر
• مسبح خاص
• غرفة سائق
• تكييف مخفي لكامل الفيلا
• مصعد راكب
• واجهة شمالية

💰 السعر: 6,350,000 ريال

📞تواصل الان لتحديد موعد للزيارة",24.738859,46.654657,https://images.aqar.fm/webp/750x0/props/048808144_1772923843385.jpg | https://images.aqar.fm/webp/750x0/props/048808142_1772923992454.jpg | https://images.aqar.fm/webp/750x0/props/048808143_1772923992481.jpg | https://images.aqar.fm/webp/750x0/props/048808143_1772923992483.jpg | https://images.aqar.fm/webp/750x0/props/048808143_1772923992464.jpg,5,عبدالعزيز الجلعود,شركة راكز العقارية شركة شخص واحد,1,2026-03-07,2026-07-31,2026-08-12,7370,2026-08-23,True,"6,350,000",False,فيلا
6780919,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المحمدية/شارع-ابن-العربي-حي-المحمدية-مدينة-الرياض-منطقة-الرياض-6780919,"فيلا للبيع في شارع ابن العربي, حي المحمدية, مدينة الرياض, منطقة الرياض",35000000,1550,7,5,1,0,حي المحمدية,الرياض,شمال الرياض,"نعتذر للوسطاء ...
( ( قصر  للبيع ) )
- الموقع : حى المحمدية مخطط راقي
الفيلا درج في الصاله  

- المساحه : 1550 م
الشارع: 20  م 

- تتميز الفيلا بالاتي :
- مصعد - قبوه بمساحه القصر - تكيف مركزى راكب
- دبل هيت ودريش كبيرة - شلالات- مسطحات خضراء - حوش كبير 
- تكيف مركزى - ضمانات وتامين ملاذ - ملاحق خارجية 
- المود والخامات المستخدمه فى البناء ذا جودًا عالية

تتكون من :
الدور الارضى. : استقبال حوش  ملاحق خارجية مجلس ، مقلط ، صاله مفتوحه ، مجلس نساء مطبخ مطابخ صالات

الدور العلوى : 6 نوم وصاله اجنحة 

السطح:
ملاحق وصالات 

- موقع قريب من الخدمات العامه والخاصه 
- الموقع قريب من الطرق الرئيسيه

الموقع غير دقيق",24.723188,46.648702,https://images.aqar.fm/webp/750x0/props/002644875_1784469217681.jpg | https://images.aqar.fm/webp/750x0/props/002644876_1784469217603.jpg | https://images.aqar.fm/webp/750x0/props/002644879_1784469217599.jpg | https://images.aqar.fm/webp/750x0/props/002644878_1784469217590.jpg | https://images.aqar.fm/webp/750x0/props/002644878_1784469217591.jpg | https://images.aqar.fm/webp/750x0/props/002644872_1784469237874.jpg | https://images.aqar.fm/webp/750x0/props/002644873_1784469237875.jpg | https://images.aqar.fm/webp/750x0/props/002644873_1784469237870.jpg | https://images.aqar.fm/webp/750x0/props/002644872_1784469237877.jpg | https://images.aqar.fm/webp/750x0/props/002644878_1784469237872.jpg | https://images.aqar.fm/webp/750x0/props/002644878_1784469237882.jpg | https://images.aqar.fm/webp/750x0/props/002644874_1784469237953.jpg | https://images.aqar.fm/webp/750x0/props/002644877_1784469237877.jpg,13,فايز الاحمري,شركة السهم الفضي للعقارات,1,2026-07-19,2026-08-17,2026-08-23,2914,2026-08-23,True,"35,000,000",False,فيلا
6752645,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المحمدية/شارع-عذبة-حي-المحمدية-مدينة-الرياض-منطقة-الرياض-6752645,"فيلا للبيع في شارع عذبة, حي المحمدية, مدينة الرياض, منطقة الرياض",2990000,232,7,5,3,0,حي المحمدية,الرياض,شمال الرياض,"تفاصيل الفيلا

الموقع: حي المحمدية – مدينة الرياض

* الواجهة: غربية على شارع عرض 8 متر.
* طول الواجهة: 15.5 متر.
* مساحة المنزل الأساسية وفقًا للصك: 232.5 م².
* مسطحات البناء: ما يقارب 600 م².

الحوش الخارجي

* غرفة سائق في البيسمنت ودخولها خارجي من الشارع.

البيسمنت

* صالة كبيرة.
* منطقة جم.
* اوفيس.
* مسبح.
* منطقة ألعاب أطفال.
* صالة عائلية.
* دورتين مياه ومغاسل.
* غرفة عاملة.

الدور الأرضي

* مجلس رجال.
* مقلط.
* دوره مياه ومغاسل.
* صالة عائلية.
* دوره مياه.
* اوفيس.
* بلكون.
* صالة طعام.

الدور الأول

* أربع أجنحة مع دورات مياه لكل جناح.
* بلكونة في غرفة واحدة.

الدور الثاني (السطح)

* منطقة حديقة خارجية.
* منطقة غسيل وكوي.
* صالة عائلية.
* مطبخ.

مميزات إضافية

* يوجد تأسيس مصعد يخدم جميع الأدوار",24.727822,46.655344,https://images.aqar.fm/webp/750x0/props/034654008_1782744707754.jpg | https://images.aqar.fm/webp/750x0/props/034654000_1782906343456.jpg | https://images.aqar.fm/webp/750x0/props/034654001_1782906343457.jpg | https://images.aqar.fm/webp/750x0/props/034654003_1782906343472.jpg | https://images.aqar.fm/webp/750x0/props/034654006_1782906343464.jpg | https://images.aqar.fm/webp/750x0/props/034654009_1782906403793.jpg,6,محمد سليمان,,,2026-06-29,2026-07-28,2026-08-12,4127,2026-08-23,True,"2,990,000",False,فيلا
6557761,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المحمدية/شارع-ابي-العباس-اللخمي-حي-المحمدية-مدينة-الرياض-منطقة-الرياض-6557761,"فيلا للبيع في شارع ابي العباس اللخمي, حي المحمدية, مدينة الرياض, منطقة الرياض",13800000,605,5,5,5,0,حي المحمدية,الرياض,شمال الرياض,"امتلك منزلك الآن مع درفه - المطور العقاري المتميز بتصاميم مساكن مبتكرة ذات جودة واستدامة عالية.
فيلا فاخرة في قلب حي المحمدية للبيع بمساحة 605 متر ومسطحات بناء استنثائية تتعدى 950 متر، تتضمن خمس مساحات معيشية تمتزج فيها المساحات الداخلية والخارجية بسلاسة وتحتوي على أربع غرف نوم، جناح رئيسي يضم غرفة ملابس وحمامين بتصميم مزدوج.كما توفر الفيلا مسبحًا ومنطقة ترفيهية على السطح. ويعزز المطبخ المخصص للخدمة بالإضافه إلى المطابخ الصغيرة في كل طابق من مستوى الكفاءة والوظائف العملية في المنزل. تحتوي كل فيلا على ثلاث مواقف سيارات مخصصة.

احجز زيارتك لمعاينة وحجز مسكنك الآن للانتقال في يوليو 2025

A luxurious villa for sale in the heart of Al Mohammadiyah, spanning 605 sqm with exceptional built-up areas exceeding 950 sqm. The villa features five living areas where indoor and outdoor spaces blend seamlessly, along with four bedrooms, including a master suite with a walk-in closet and dual-designed bathrooms.

The villa also offers a private swimming pool and a rooftop entertainment area. A dedicated service kitchen, in addition to pantries on every floor, enhances functionality and efficiency throughout the home. Each villa includes three dedicated parking spaces.

Book your visit to tour and reserve your home today for move-in by July 2025.


https://drfah.com/project-details?project_id=MOH26",24.727124,46.644783,https://images.aqar.fm/webp/750x0/props/039122445_1769088650666.jpg | https://images.aqar.fm/webp/750x0/props/039122449_1769088650407.jpg | https://images.aqar.fm/webp/750x0/props/039122446_1769088650408.jpg | https://images.aqar.fm/webp/750x0/props/039122440_1769088650422.jpg | https://images.aqar.fm/webp/750x0/props/039122441_1769088650408.jpg | https://images.aqar.fm/webp/750x0/props/039122442_1769088650421.jpg | https://images.aqar.fm/webp/750x0/props/039122443_1769088650428.jpg | https://images.aqar.fm/webp/750x0/props/039122444_1769088650423.jpg | https://images.aqar.fm/webp/750x0/props/039122449_1769088667118.jpg | https://images.aqar.fm/webp/750x0/props/039122449_1769088667122.jpg | https://images.aqar.fm/webp/750x0/props/039122444_1769088667126.jpg | https://images.aqar.fm/webp/750x0/props/039122444_1769088667124.jpg | https://images.aqar.fm/webp/750x0/props/039122447_1769088667468.jpg | https://images.aqar.fm/webp/750x0/props/039122448_1769088667119.jpg | https://images.aqar.fm/webp/750x0/props/039122447_1769088667133.jpg | https://images.aqar.fm/webp/750x0/props/039122443_1769088667117.jpg | https://images.aqar.fm/webp/750x0/props/039122443_1769088681714.jpg | https://images.aqar.fm/webp/750x0/props/039122444_1769088681722.jpg | https://images.aqar.fm/webp/750x0/props/039122446_1769088681715.jpg | https://images.aqar.fm/webp/750x0/props/039122448_1769088681713.jpg | https://images.aqar.fm/webp/750x0/props/039122446_1769088681715.jpg | https://images.aqar.fm/webp/750x0/props/039122443_1769088681715.jpg | https://images.aqar.fm/webp/750x0/props/039122442_1769088682007.jpg | https://images.aqar.fm/webp/750x0/props/039122445_1769088681721.jpg | https://images.aqar.fm/webp/750x0/props/039122443_1769088707926.jpg,25,ريما عبدالله,شركة درفة المتحدة,1,2026-01-22,2026-01-22,2026-08-16,11529,2026-08-23,True,"13,800,000",False,فيلا
6704974,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المحمدية/شارع-أسفل-الباطن-حي-المحمدية-مدينة-الرياض-منطقة-الرياض-6704974,"فيلا للبيع في شارع أسفل الباطن, حي المحمدية, مدينة الرياض, منطقة الرياض",5950000,375,5,5,3,0,حي المحمدية,الرياض,شمال الرياض,"✅ البيع بدون سعي
✅ البيع بدون سعي

🏢 شركة راكز العقارية – المسوق الحصري
🔥✨
فلتين فاخرة للبيع | بموقع يعتبر من أقوى المواقع في الرياض 👌
🏠 هذا مستوى حياة مختلف يجمع الموقع، الفخامة، وسهولة الوصول بكل يوم ✨
📐 المساحة:
375 م
🧭 الواجهة:
متظاهرة على شارعين:
▪️ شمالي
▪️ جنوبي 
📍 ميزة الموقع الاستثنائي:
• دقيقة عن طريق الملك فهد
• دقيقة عن طريق الملك عبدالله
• دقيقتين فقط عن التخصصي
🚗 (يعني وصول سريع لكل الرياض مهما كان دوامك أو وجهتك)
🏡 تفاصيل تعيشك الفخامة:
• مسبح خاص 🏊‍♂️
• مدخل خدمات مستقل
• تربل هايت فاخر يعطي فخامة ومساحة ✨
• 4 غرف نوم واسعة 🛏️
• مصعد يخدم كامل الفيلا 🚡
• تكييف مركزي ❄️
• ملحق خارجي
• ارتدادات أمامية وخلفية تعطي خصوصية وراحة
📞 للحجز والمعاينة
مدير علاقات المستثمرين
عمر المعمر
((الرقم يظهر عند الضغط على اتصال))",24.728741,46.65924,https://images.aqar.fm/webp/750x0/props/048366182_1779241473885.jpg | https://images.aqar.fm/webp/750x0/props/048366188_1779241487333.jpg | https://images.aqar.fm/webp/750x0/props/048366181_1779241487366.jpg | https://images.aqar.fm/webp/750x0/props/048366182_1779241487553.jpg | https://images.aqar.fm/webp/750x0/props/048366184_1779241487358.jpg | https://images.aqar.fm/webp/750x0/props/048366181_1779241487361.jpg | https://images.aqar.fm/webp/750x0/props/048366189_1779241487361.jpg,7,عبدالعزيز الجلعود,شركة راكز العقارية شركة شخص واحد,1,2026-05-20,2026-08-15,2026-08-15,4732,2026-08-23,True,"5,950,000",False,فيلا
