listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6716784,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المرسلات/شارع-السبتي-حي-المرسلات-الرياض-منطقة-الرياض-6716784,"فيلا للبيع في شارع السبتي, حي المرسلات, مدينة الرياض, منطقة الرياض",7000000,625,7,5,3,11,حي المرسلات,الرياض,شمال الرياض,"فرصة استثمارية مميزة في حي المرسلات

للبيع فيلا قديمة بموقع استثنائي في أحد أفضل مواقع حي المرسلات، بمساحة 625م² (الاطوال: 25م × 25م)، على شارعين بعرض 20م و15م.

📍 تقع على زاوية مميزة جداً بالقرب من تقاطع طريق الملك عبدالله مع طريق الملك عبدالعزيز، ما يمنحها سهولة وصول عالية وقيمة استثمارية متميزة.

مميزات العقار:
• واجهتان على شارعين 20م و15م.
• موقع استراتيجي بالقرب من أهم المحاور الرئيسية بمدينة الرياض.
• مناسبة لإعادة التطوير أو الاستثمار.
• قريبة من الخدمات والمراكز التجارية والمرافق الحيوية.

للتواصل من خلال الواتساب:  ",24.743248,46.688705,https://images.aqar.fm/webp/750x0/props/026520266_1780436574512.jpg | https://images.aqar.fm/webp/750x0/props/026520260_1780436574532.jpg | https://images.aqar.fm/webp/750x0/props/026520269_1780436574532.jpg,3,فيصل عساف منصور العساف,,,2026-06-02,2026-06-03,2026-08-08,1280,2026-08-23,True,"7,000,000",False,فيلا
6772040,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المرسلات/شارع-محمد-بن-عبدالله-بن-عبداللطيف-حي-المرسلات-الرياض-منطقة-الرياض-6772040,فيلا للبيع في شارع محمد بن عبدالله بن عبداللطيف ، حي المرسلات ، الرياض ، منطقة الرياض,3700000,275,5,5,1,0,حي المرسلات,الرياض,شمال الرياض,فله جديدة,24.749021,46.684654,https://images.aqar.fm/webp/750x0/props/053959852_1783957039094.jpg | https://images.aqar.fm/webp/750x0/props/053959857_1783957039055.jpg | https://images.aqar.fm/webp/750x0/props/053959858_1783957039144.jpg | https://images.aqar.fm/webp/750x0/props/053959852_1783957039129.jpg | https://images.aqar.fm/webp/750x0/props/053959859_1783957039052.jpg | https://images.aqar.fm/webp/750x0/props/053959859_1783957039229.jpg | https://images.aqar.fm/webp/750x0/props/053959850_1783957039259.jpg | https://images.aqar.fm/webp/750x0/props/053959859_1783957039309.jpg | https://images.aqar.fm/webp/750x0/props/053959859_1783957039346.jpg | https://images.aqar.fm/webp/750x0/props/053959856_1783957039376.jpg | https://images.aqar.fm/webp/750x0/props/053959857_1783957039408.jpg | https://images.aqar.fm/webp/750x0/props/053959859_1783957039479.jpg | https://images.aqar.fm/webp/750x0/props/053959853_1783957039543.jpg | https://images.aqar.fm/webp/750x0/props/053959857_1783957039563.jpg | https://images.aqar.fm/webp/750x0/props/053959854_1783957039639.jpg,15,عبدالعزيز بن ناصر بن عبدالله المقبل,,,2026-07-13,,2026-07-13,244,2026-08-23,False,طلب تسويق,False,فيلا
6796808,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المرسلات/شارع-الأمير-عبدالله-بن-فيصل-بن-عبدالعزيز-حي-المرسلات-مدينة-الرياض-منطقة-الرياض-6796808,"فيلا للبيع في شارع الأمير عبدالله بن فيصل بن عبدالعزيز, حي المرسلات, مدينة الرياض, منطقة الرياض",7200000,725,,5,3,11,حي المرسلات,الرياض,شمال الرياض,"فلة راقية زاوية  مجددة بالكامل  شارع ٢٠ م شمالي وشارع ٢٠ م شرقي مكونة من ٥ اجنحة معزولة بدورات مياة ومطبخ والدور الأرضي استقبال وبدروم ومسبح مجدد علي العظم رخام وديكورات راقية عزل حراري كامل مساحة ٧٢٥م   أطوال.٢٩ م  في ٢٥ م  مساحات كبيرة اصنصير ❌❌ نعتذر من الوسطاء❌❌

A high-end, fully renovated corner villa situated at the intersection of a 20-meter-wide northern street and a 20-meter-wide eastern street. The property features five private suites (each with an en-suite bathroom) and a kitchen. The ground floor includes reception areas, a basement, and a swimming pool (currently in the structural shell stage). It boasts premium marble flooring, sophisticated interior décor, and comprehensive thermal insulation. The total area is 725 m² (dimensions: 26.89 m x 23 m), offering spacious interiors and an elevator.",24.740731,46.688723,https://images.aqar.fm/webp/750x0/props/020223456_1785426078757.jpg | https://images.aqar.fm/webp/750x0/props/020223450_1785426113669.jpg | https://images.aqar.fm/webp/750x0/props/020223458_1785426147038.jpg | https://images.aqar.fm/webp/750x0/props/020223453_1785426205086.jpg | https://images.aqar.fm/webp/750x0/props/020223450_1785426256465.jpg | https://images.aqar.fm/webp/750x0/props/020223450_1785426267705.jpg | https://images.aqar.fm/webp/750x0/props/020223453_1785426413556.jpg | https://images.aqar.fm/webp/750x0/props/020223453_1785426591098.jpg | https://images.aqar.fm/webp/750x0/props/020223458_1785426632451.jpg | https://images.aqar.fm/webp/750x0/props/020223454_1785426820153.jpg | https://images.aqar.fm/webp/750x0/props/020223456_1785426835141.jpg | https://images.aqar.fm/webp/750x0/props/020223456_1785426853005.jpg | https://images.aqar.fm/webp/750x0/props/020223456_1785426875442.jpg | https://images.aqar.fm/webp/750x0/props/020223455_1785426885942.jpg | https://images.aqar.fm/webp/750x0/props/020223457_1785426899454.jpg | https://images.aqar.fm/webp/750x0/props/020223454_1785426919121.jpg | https://images.aqar.fm/webp/750x0/props/020223458_1785426960731.jpg | https://images.aqar.fm/webp/750x0/props/020223456_1785426987172.jpg | https://images.aqar.fm/webp/750x0/props/020223455_1785427028536.jpg | https://images.aqar.fm/webp/750x0/props/020223455_1785427054225.jpg | https://images.aqar.fm/webp/750x0/props/020223454_1785427082970.jpg | https://images.aqar.fm/webp/750x0/props/020223450_1785427152563.jpg | https://images.aqar.fm/webp/750x0/props/020223450_1785427193294.jpg | https://images.aqar.fm/webp/750x0/props/020223450_1785427209213.jpg | https://images.aqar.fm/webp/750x0/props/020223456_1785427229725.jpg | https://images.aqar.fm/webp/750x0/props/020223453_1785427305195.jpg | https://images.aqar.fm/webp/750x0/props/020223455_1785427355256.jpg | https://images.aqar.fm/webp/750x0/props/020223458_1785427363631.jpg | https://images.aqar.fm/webp/750x0/props/020223455_1785427411342.jpg | https://images.aqar.fm/webp/750x0/props/020223455_1785427576702.jpg,30,شريفه محمد منيع المنيع,مكتب عروض الشمال للعقارات,1,2026-07-29,2026-07-29,2026-08-22,1796,2026-08-23,True,"7,200,000",False,فيلا
6745660,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المرسلات/شارع-ابن-الطفيل-حي-المرسلات-مدينة-الرياض-منطقة-الرياض-6745660,"فيلا للبيع في شارع ابن الطفيل, حي المرسلات, مدينة الرياض, منطقة الرياض",3700000,275,5,3,1,0,حي المرسلات,الرياض,شمال الرياض,"للبيــــــــع فلتين حي المرسلات 
المساحه 275 م يوجد شهادة إتمام بناء تأمين ملاذ وجميع الضمانات 
شارع 20 غربي 
التفاصيل الدور الارضي 
غرفه سائق مدخل سيارة مجلس صاله  مطبخ غرفه خادمه 
صاله طعام مسعد دبل هايت 
الدور الاول 
اربع غرف اتنين ماستر واتنين بدورة مياة مشتركه 
الدور العلوي 
غرفتين  نوم ن صاله رياضيه سطح 
السعر 3700000",24.75093,46.679291,https://images.aqar.fm/webp/750x0/props/043310249_1782256652195.jpg | https://images.aqar.fm/webp/750x0/props/043310247_1782256652198.jpg | https://images.aqar.fm/webp/750x0/props/043310240_1782256652200.jpg | https://images.aqar.fm/webp/750x0/props/043310245_1782256677286.jpg | https://images.aqar.fm/webp/750x0/props/043310243_1782256677282.jpg,5,فهد بن عبدالله بن فهد الفريح,مؤسسة علي الناصية للمقاولات العامة,1,2026-06-23,2026-08-21,2026-08-21,962,2026-08-23,True,"3,700,000",False,فيلا
6726071,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المرسلات/شارع-أشرس-السلمي-حي-المرسلات-مدينة-الرياض-منطقة-الرياض-6726071,"فيلا للبيع في شارع أشرس السلمي, حي المرسلات, مدينة الرياض, منطقة الرياض",4100000,840,5,0,0,0,حي المرسلات,الرياض,شمال الرياض,"مشروع ڤيو هوم 05
فلل مستقلة - حي الملك المرسلات
نصاميم فاخرة بتصميم مبتكر وتشطيبات فاخرة مساحات 280 متر
وبسعر 4,100,000
# البيع بدون سعي

مميزات المشروع :-
• تكييف مخفي
• مدخل خاص
عداد كهرباء ومياه مستقلة
• مصعد
• مواقف خاصة
• ضمانات تصل الى 25 سنة
• تأمين العيوب الخفية 10 سنوات
للتواصل :
انس : ((الرقم يظهر عند الضغط على اتصال))
زيد : ((الرقم يظهر عند الضغط على اتصال))
منصور : ((الرقم يظهر عند الضغط على اتصال))",24.750741,46.682485,https://images.aqar.fm/webp/750x0/props/048671100_1781023055473.jpg | https://images.aqar.fm/webp/750x0/props/048671101_1781023055356.jpg | https://images.aqar.fm/webp/750x0/props/048671108_1781023055443.jpg | https://images.aqar.fm/webp/750x0/props/048671103_1781023055463.jpg | https://images.aqar.fm/webp/750x0/props/048671107_1781023055453.jpg | https://images.aqar.fm/webp/750x0/props/048671101_1781023055458.jpg,6,فهد عبدالعزيز,شركة فيو هوم للتطوير والاستثمار العقاري,1,2026-06-09,2026-08-06,2026-08-23,2652,2026-08-23,True,"4,100,000",False,فيلا
6463686,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المرسلات/شارع-المرسلات-حي-المرسلات-مدينة-الرياض-منطقة-الرياض-6463686,"فيلا للبيع في شارع المرسلات , حي المرسلات, مدينة الرياض, منطقة الرياض",10000000,940,,,,11,حي المرسلات,الرياض,شمال الرياض,"للبيع فيلا بقيمة ارض 
تجاري سكني 
ثلاث شوارع 30 متر 
للتواصل واتس
((رقم المعلن يظهر عند التواصل))",24.747834,46.698102,,,عبدالكريم ابراهيم بن رسلان العنزي,شركة ابداع العالمية للتطوير والاستثمار العقاري ,1,2025-11-11,2025-11-11,2026-08-17,1779,2026-08-23,True,"10,000,000",False,فيلا
6578771,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المرسلات/شارع-العباس-بن-الأحنف-حي-المرسلات-الرياض-منطقة-الرياض-6578771,"فيلا للبيع في شارع العباس بن الأحنف, حي المرسلات, مدينة الرياض, منطقة الرياض",3700000,207,5,5,1,0,حي المرسلات,الرياض,شمال الرياض,تصميم عصري يجسد الفخامة والأناقة مع واجهات فريدة تعكس روح الابتكار,24.757043425156798,46.69459282286323,https://images.aqar.fm/webp/750x0/props/007863636_1770542191483.jpg | https://images.aqar.fm/webp/750x0/props/007863636_1770542244744.jpg | https://images.aqar.fm/webp/750x0/props/007863631_1770542244781.jpg | https://images.aqar.fm/webp/750x0/props/007863638_1770542337136.jpg | https://images.aqar.fm/webp/750x0/props/007863634_1770542337127.jpg | https://images.aqar.fm/webp/750x0/props/007863638_1770542337151.jpg | https://images.aqar.fm/webp/750x0/props/007863637_1770542337144.jpg | https://images.aqar.fm/webp/750x0/props/007863639_1770542337183.jpg | https://images.aqar.fm/webp/750x0/props/007863632_1770542337161.jpg | https://images.aqar.fm/webp/750x0/props/007863638_1770542337170.jpg | https://images.aqar.fm/webp/750x0/props/007863635_1770542337163.jpg,11,عبدالملك محمد عبدالله المقبل,شركة مزهرة العقارية شركة شخص واحد,1,2026-02-06,2026-08-04,2026-08-04,8861,2026-08-23,True,"3,700,000",False,فيلا
6777686,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المرسلات/شارع-محمد-بن-عبدالله-بن-عبداللطيف-حي-المرسلات-مدينة-الرياض-منطقة-الرياض-6777686,"فيلا للبيع في شارع محمد بن عبدالله بن عبداللطيف, حي المرسلات, مدينة الرياض, منطقة الرياض",3700000,275,5,,,0,حي المرسلات,الرياض,شمال الرياض,"فيلا جديدة للبيع حي المرسلات 
تتكون من  
الواجهة.            غرب
غرف النوم.        5
عدد الشقق.       بدون شقق
الصالات.           1
دورات المياه.     5
عرض الشارع.    20م
المساحة.           275م²
المميزات
درج صالة
غرفة سائق.      غرفة خادمة
مطبخ.             مدخل سيارة
مصعد.             توفر الماء
توفر الكهرباء.   صرف صحي
حد للبيع 3مليون و700 الف 
مباشر مع المالك 

التواصل/ ((الرقم يظهر عند الضغط على اتصال))
الموقع 👇👇
https://maps.app.goo.gl/cuB2qYg33K55dscF8?g_st=aw",24.749028,46.684686,https://images.aqar.fm/webp/750x0/props/053959853_1784235721614.jpg | https://images.aqar.fm/webp/750x0/props/053959854_1784235721621.jpg | https://images.aqar.fm/webp/750x0/props/053959851_1784235721616.jpg | https://images.aqar.fm/webp/750x0/props/053959855_1784235721646.jpg | https://images.aqar.fm/webp/750x0/props/053959856_1784235721661.jpg | https://images.aqar.fm/webp/750x0/props/053959853_1784235721796.jpg | https://images.aqar.fm/webp/750x0/props/053959850_1784235721806.jpg | https://images.aqar.fm/webp/750x0/props/053959858_1784235721820.jpg | https://images.aqar.fm/webp/750x0/props/053959858_1784235721857.jpg | https://images.aqar.fm/webp/750x0/props/053959857_1784235721949.jpg | https://images.aqar.fm/webp/750x0/props/053959857_1784235721989.jpg | https://images.aqar.fm/webp/750x0/props/053959858_1784235722090.jpg | https://images.aqar.fm/webp/750x0/props/053959859_1784235722140.jpg | https://images.aqar.fm/webp/750x0/props/053959856_1784235722137.jpg | https://images.aqar.fm/webp/750x0/props/053959854_1784235722266.jpg,15,عبدالعزيز بن ناصر بن عبدالله المقبل,,,2026-07-16,2026-08-15,2026-08-23,990,2026-08-23,True,"3,700,000",False,فيلا
6719343,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المرسلات/شارع-ابن-شريم-حي-المرسلات-مدينة-الرياض-منطقة-الرياض-6719343,"فيلا للبيع في شارع ابن شريم, حي المرسلات, مدينة الرياض, منطقة الرياض",6800000,625,6,,,11,حي المرسلات,الرياض,شمال الرياض,": للبيع 
: فيلا بحي المرسلات 
: زاويه جنوبيه غربيه 
: شارع 20 جنوبي 
: شارع 15 غربي 
: مساحه 625 م 
: الفيلا فاضيه 
: مدخل سياره مجلس رجال مجلس حريم 
مقلط مطبخ داخلي وخارجي غرفه خادمه غرفه غسيل 
غرفه كبار سن 
مسبح 8 غرف نوم 
: البيع 6 مليون 800

https://goo.gl/maps/2hhfwap2qQBWjcSr7?g_st=aw",24.740149,46.684817,https://images.aqar.fm/webp/750x0/props/027062569_1780597504147.jpg | https://images.aqar.fm/webp/750x0/props/027062561_1780597503886.jpg | https://images.aqar.fm/webp/750x0/props/027062566_1780597503945.jpg | https://images.aqar.fm/webp/750x0/props/027062561_1780597504016.jpg | https://images.aqar.fm/webp/750x0/props/027062560_1780597504143.jpg | https://images.aqar.fm/webp/750x0/props/027062562_1780597504149.jpg | https://images.aqar.fm/webp/750x0/props/027062568_1780597504260.jpg,7,محمد ال دغيش,مؤسسة مكتب ابراج النهضه للعقارات,1,2026-06-04,2026-08-02,2026-08-02,1294,2026-08-23,True,"6,800,000",False,فيلا
6829559,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المرسلات/شارع-ابن-الطفيل-حي-المرسلات-مدينة-الرياض-منطقة-الرياض-6829559,"فيلا للبيع في شارع ابن الطفيل, حي المرسلات, مدينة الرياض, منطقة الرياض",5340000,763,5,0,0,11,حي المرسلات,الرياض,شمال الرياض,"فيلا للبيع حي المرسلات 

المساحة 763 متر 
الاطوال 24 على الشارع 
والعمق 32.5 
الوجهه شرق شارع ١٢ 
البيع المتر على ٧ الاف",24.751863,46.678363,https://images.aqar.fm/webp/750x0/props/003126653_1787071912732.jpg,1,محمد ابراهيم محمد الغفيلي,,0,2026-08-18,2026-08-18,2026-08-18,100,2026-08-23,True,"5,340,000",False,فيلا
