listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6764397,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المروج/شارع-البرزي-حي-المروج-مدينة-الرياض-منطقة-الرياض-6764397,"فيلا للبيع في شارع البرزي, حي المروج, مدينة الرياض, منطقة الرياض",2700000,275,,5,2,11,حي المروج,الرياض,شمال الرياض,,24.763748,46.669327,https://images.aqar.fm/webp/750x0/props/003929655_1783447966191.jpg | https://images.aqar.fm/webp/750x0/props/003929654_1783447966197.jpg | https://images.aqar.fm/webp/750x0/props/003929654_1783447966188.jpg | https://images.aqar.fm/webp/750x0/props/003929657_1783447966193.jpg | https://images.aqar.fm/webp/750x0/props/003929658_1783447966186.jpg | https://images.aqar.fm/webp/750x0/props/003929659_1783447966190.jpg | https://images.aqar.fm/webp/750x0/props/003929658_1783447966199.jpg | https://images.aqar.fm/webp/750x0/props/003929656_1783447966197.jpg | https://images.aqar.fm/webp/750x0/props/003929659_1783448036986.jpg,9,عبدالرحمن بن عثمان بن محمد اباحسين,,,2026-07-07,2026-08-06,2026-08-16,3176,2026-08-23,True,"2,700,000",False,فيلا
6826255,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المروج/شارع-سليمان-بن-يوسف-حي-المروج-مدينة-الرياض-منطقة-الرياض-6826255,"فيلا للبيع في شارع سليمان بن يوسف, حي المروج, مدينة الرياض, منطقة الرياض",5500000,600,6,,,11,حي المروج,الرياض,شمال الرياض,"هذي 
الفيلا في حي المروج 
مساحتها ٦٠٠ زواية 
واجهات 
شمالي شارع ١٥
غربي شارع ١٥",24.755724,46.673578,,,فهد بن عبدالله بن فهد الفريح,مؤسسة علي الناصية للمقاولات العامة,1,2026-08-16,2026-08-16,2026-08-23,44,2026-08-23,True,"5,500,000",False,فيلا
6812991,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المروج/شارع-سليمان-بن-يوسف-حي-المروج-مدينة-الرياض-منطقة-الرياض-6812991,"فيلا للبيع في شارع سليمان بن يوسف, حي المروج, مدينة الرياض, منطقة الرياض",6000000,600,5,5,2,0,حي المروج,الرياض,شمال الرياض,"https://maps.app.goo.gl/GV2VccdBNMbnihTq7?g_st=awb


للبيــــــــع فيلا بقيمه ارض حي المروج
زاويه شماليه غربيه 
العمر أكثر من 35سنه
مساحه ٦٠٠م
الاطوال ٣٠ ×٢٠م
شوارع ١٥م
البيــــــــع6مليون
مباشر
للتواصل 
((الرقم يظهر عند الضغط على اتصال))",24.755576,46.673234,https://images.aqar.fm/webp/750x0/props/024057166_1786291310845.jpg | https://images.aqar.fm/webp/750x0/props/024057167_1786291310850.jpg | https://images.aqar.fm/webp/750x0/props/024057166_1786291311067.jpg | https://images.aqar.fm/webp/750x0/props/024057166_1786291310850.jpg | https://images.aqar.fm/webp/750x0/props/024057166_1786291310845.jpg | https://images.aqar.fm/webp/750x0/props/024057167_1786291310850.jpg | https://images.aqar.fm/webp/750x0/props/024057166_1786291311067.jpg | https://images.aqar.fm/webp/750x0/props/024057166_1786291310850.jpg,8,جواهر بنت عبدالعزيز بن سعيد ال سعيد,مكتب ريحانة نجد للعقارات,1,2026-08-09,2026-08-09,2026-08-09,359,2026-08-23,True,"6,000,000",False,فيلا
6791052,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المروج/شارع-عبدالوهاب-الوريث-حي-المروج-مدينة-الرياض-منطقة-الرياض-6791052,"فيلا للبيع في شارع عبدالوهاب الوريث, حي المروج, مدينة الرياض, منطقة الرياض",4000000,480,5,5,0,11,حي المروج,الرياض,شمال الرياض,"فيلا للبيع بحي المروج – موقع استراتيجي مميز
 حيوي قريب من مركز الملك عبدالله المالي (كافد)، وطريق الملك فهد، والدائري الشمالي، وجميع الخدمات والمدارس والمراكز التجارية.

المساحة 480 م²
الواجهة شرقية
عرض الشارع 15 متر
الأطوال 20.24 متر
عمر العقار 30 سنة

تتكون الفيلا من مجلس رجال، صالة واسعة، مطبخ، دورة مياه ومغاسل للرجال، دورة مياه ومغاسل للنساء، ملحقين خارجيين، وغرفة سائق بدورة مياه.

الدور الأول يضم صالة عائلية و5 غرف نوم، منها 3 غرف نوم بدورات مياه خاصة، وغرفتان بدورة مياه مشتركة.

الدور الثاني يتكون من غرفة ومطبخ وحمام وسطح.

تتميز الفيلا بموقع استراتيجي قريب من كافد وطريق الملك فهد والدائري الشمالي، مع سهولة الوصول إلى جميع الخدمات والمرافق، مما يجعلها خياراً مثالياً للسكن أو الاستثمار.

للتواصل والاستفسار يرجى الاتصال على الرقم المرفق بالإعلان. ((الرقم يظهر عند الضغط على اتصال))
""نعتذر للوسطاء والمكاتب العرض حصري""",24.764184,46.660452,https://images.aqar.fm/webp/750x0/props/004589420_1785072910934.jpg | https://images.aqar.fm/webp/750x0/props/004589428_1785072911039.jpg | https://images.aqar.fm/webp/750x0/props/004589420_1785073349359.jpg | https://images.aqar.fm/webp/750x0/props/004589421_1785073349173.jpg | https://images.aqar.fm/webp/750x0/props/004589423_1785073349302.jpg | https://images.aqar.fm/webp/750x0/props/004589423_1785073349375.jpg | https://images.aqar.fm/webp/750x0/props/004589420_1785073349314.jpg | https://images.aqar.fm/webp/750x0/props/004589420_1785073349325.jpg,8,طلال سيف,شركة داما للتطوير والاستثمار العقاري,1,2026-07-26,2026-07-26,2026-08-22,869,2026-08-23,True,"4,000,000",False,فيلا
6748106,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المروج/شارع-لطف-بن-سعد-السميني-حي-المروج-مدينة-الرياض-منطقة-الرياض-6748106,"فيلا للبيع في شارع لطف بن سعد السميني, حي المروج, مدينة الرياض, منطقة الرياض",5600000,550,6,5,0,11,حي المروج,الرياض,شمال الرياض,للبيــــــــع,24.76739,46.665253,,,عبدالملك ابراهيم محمد الجمعان,شركة بنايات نجد للتسويق شخص واحد,1,2026-06-25,2026-08-23,2026-08-23,1313,2026-08-23,True,"5,600,000",False,فيلا
6571443,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المروج/شارع-أوس-بن-حارثة-حي-المروج-مدينة-الرياض-منطقة-الرياض-6571443,"فيلا للبيع في شارع أوس بن حارثة, حي المروج, مدينة الرياض, منطقة الرياض",4800000,600,5,1,0,11,حي المروج,الرياض,شمال الرياض,"للبيــع فله زاويه بقيمة ارض حي المروج تصلح للسكن
المساحه ٦٠٠م
الأطوال ٢٥×٢٤
شارع ١٥م شرقي 
شارع ١٥م جنوبي",24.761776,46.661735,https://images.aqar.fm/webp/750x0/props/029804273_1773142120630.jpg,1,عبيد سعيد مطير الشمري,مكتب قشاعم للخدمات العقارية,1,2026-02-01,2026-07-26,2026-08-23,3160,2026-08-23,True,"4,800,000",False,فيلا
6816259,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المروج/شارع-تدول-بن-الحارث-حي-المروج-مدينة-الرياض-منطقة-الرياض-6816259,"فيلا للبيع في شارع تدول بن الحارث, حي المروج, مدينة الرياض, منطقة الرياض",3100000,298,4,5,2,0,حي المروج,الرياض,شمال الرياض,$5d,24.761297,46.662457,https://images.aqar.fm/webp/750x0/props/026277409_1778183433480.jpg | https://images.aqar.fm/webp/750x0/props/026277405_1778183433481.jpg | https://images.aqar.fm/webp/750x0/props/026277400_1778183433484.jpg | https://images.aqar.fm/webp/750x0/props/026277406_1778183470148.jpg | https://images.aqar.fm/webp/750x0/props/026277403_1778183433437.jpg | https://images.aqar.fm/webp/750x0/props/026277401_1778183526141.jpg | https://images.aqar.fm/webp/750x0/props/026277405_1778183526140.jpg | https://images.aqar.fm/webp/750x0/props/026277405_1778183526227.jpg | https://images.aqar.fm/webp/750x0/props/026277401_1778183526219.jpg | https://images.aqar.fm/webp/750x0/props/026277400_1778183526218.jpg | https://images.aqar.fm/webp/750x0/props/026277408_1778183526219.jpg | https://images.aqar.fm/webp/750x0/props/026277404_1778183526276.jpg | https://images.aqar.fm/webp/750x0/props/026277409_1778183526284.jpg | https://images.aqar.fm/webp/750x0/props/026277401_1778183526291.jpg | https://images.aqar.fm/webp/750x0/props/026277405_1778183586913.jpg | https://images.aqar.fm/webp/750x0/props/026277408_1778183586863.jpg | https://images.aqar.fm/webp/750x0/props/026277409_1778183586909.jpg | https://images.aqar.fm/webp/750x0/props/026277406_1778183586863.jpg | https://images.aqar.fm/webp/750x0/props/026277408_1778183586863.jpg | https://images.aqar.fm/webp/750x0/props/026277404_1778183586864.jpg | https://images.aqar.fm/webp/750x0/props/026277407_1778183586915.jpg | https://images.aqar.fm/webp/750x0/props/026277407_1778183586868.jpg,22,معتز عادل سليمان,شركة دارة التطوير العقارية,1,2026-08-11,2026-08-11,2026-08-21,1187,2026-08-23,True,"3,100,000",False,فيلا
6645677,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المروج/شارع-عصماء-حي-المروج-مدينة-الرياض-منطقة-الرياض-6645677,"فيلا للبيع في شارع عصماء, حي المروج, مدينة الرياض, منطقة الرياض",4250000,500,4,1,0,11,حي المروج,الرياض,شمال الرياض,"للبيع فيلا بقيمة ارض

حي المروج

المساحه 500م

الاطوال 20م*25م

شارع 15م جنوبي

السعر 8500 ريال 

للتواصل 

    ابو سعد  0 0 1 1 1 1 6 4 5 0
  محمد 2 6 1 6 1 5 5 5 5 0",24.763055,46.663765,https://images.aqar.fm/webp/750x0/props/001179440_1775584312807.jpg,1,زيد الجندل,مكتب زيد بن جندل بن زيد الجندل للعقارات,1,2026-04-07,2026-07-27,2026-07-27,1370,2026-08-23,True,"4,250,000",False,فيلا
6631449,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المروج/شارع-عبدالحميد-الرافعي-حي-المروج-مدينة-الرياض-منطقة-الرياض-6631449,"فيلا للبيع في شارع عبدالحميد الرافعي, حي المروج, مدينة الرياض, منطقة الرياض",9750000,1060,,5,2,11,حي المروج,الرياض,شمال الرياض,"للبيع فيلا كبيرة – حي المروج | الرياض

مع المالك مباشرة
(((لا نقبل الوسطاء أو الوكلاء)))

فرصة مميزة لامتلاك فيلا كبيرة في أحد أرقى أحياء الرياض، بموقع استراتيجي على شارعين، مناسبة للسكن العائلي أو الاستثمار.

📍 تفاصيل العقار:
	•	المساحة: 1,060 م²
	•	مسطح البناء: تقريباً 600 م²
	•	عمر العقار: أكثر من 20 سنة
	•	الواجهة: شمالية شرقية (على شارعين) 

🛣️ الحدود:
	•	شمالاً: شارع عرض 15م بطول 40م
	•	شرقاً: شارع عرض 15م بطول 26.5م

🏠 توزيع الفيلا:

🔹 الدور العلوي:
	•	8 غرف نوم
	•	مقسمة على 3 أجنحة، لكل جناح صالة خاصة
	•	صالة توزيع

🔹 الدور الأرضي:
	•	3 مجالس
	•	صالة طعام
	•	حديقة داخلية بتصميم مميز (دبل هايت بسقف زجاجي مرتفع)

🔹 القبو:
	•	قبو كبير مكون من: 
	•	مجلس
	•	غرفة طعام
	•	دورات مياه
	•	صالة واسعة
	•	مستودعين
	•	غرفة نوم للضيوف 
	•	إطلالة مباشرة على الحوش

🔹 السطح:
	•	غرفة عاملات
	•	دورة مياه

🌿 المساحات الخارجية:
	•	مساحات واسعة وحديقة خارجية وممرات

للاستفسار وتساب او اتصال: فعل تسجيل الدخول على التطبيق وسيظهر لك رقم التواصل",24.753289,46.663322,https://images.aqar.fm/webp/750x0/props/039725332_1774784424128.jpg | https://images.aqar.fm/webp/750x0/props/034163557_1774717241690.jpg | https://images.aqar.fm/webp/750x0/props/034163552_1774717241707.jpg | https://images.aqar.fm/webp/750x0/props/034163556_1774717241711.jpg | https://images.aqar.fm/webp/750x0/props/034163553_1774717241715.jpg | https://images.aqar.fm/webp/750x0/props/034163550_1774717241708.jpg | https://images.aqar.fm/webp/750x0/props/034163550_1774717241705.jpg | https://images.aqar.fm/webp/750x0/props/034163550_1774717241722.jpg,8,عبدالعزيز عبدالرحمن,,,2026-03-25,2026-08-18,2026-08-22,3887,2026-08-23,True,"9,750,000",False,فيلا
6695039,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المروج/شارع-السمرة-حي-المروج-مدينة-الرياض-منطقة-الرياض-6695039,"فيلا للبيع في شارع السمرة, حي المروج, مدينة الرياض, منطقة الرياض",3750000,425,4,0,0,10,حي المروج,الرياض,شمال الرياض,"فلة للبيع بمساحة 450 متر
موقع مميز قريب من الدائري الشرقي",24.755566,46.67376,https://images.aqar.fm/webp/750x0/props/052567585_1782130909479.jpg,1,يوسف غباش,شركة تراستي كيز,1,2026-05-13,2026-06-11,2026-08-03,876,2026-08-23,True,"3,750,000",False,فيلا
