listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6747431,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-صالح-بن-عبدالجليل-حي-بدر-مدينة-الرياض-منطقة-الرياض-6747431,"فيلا للبيع في شارع صالح بن عبدالجليل, حي بدر, مدينة الرياض, منطقة الرياض",1875000,561,5,5,0,6,حي بدر,الرياض,جنوب الرياض,"مساحه : 560  م 
شارع20  
شرقية 


مكونات العقار : 
ملحق خارجي مع دورة مياه 
مجلس 
مقلط 
وصالة 
مجلس نساء 
وغرفه طعام 
ودورة مياه 2 
مطبخ 
مخزن 

الدور الثاني : 
4 غرف نوم 
2 ماستر 

السطح 
غرفه نوم 
وغرفه غسيل 
دورة مياه 

الشقه : 
مدخل خاص 
غرفتين نوم 
صالة 
مطبخ 
مجلس رجال 

السطح موسس لشقة 


مليون و 200 الف 
البنك الاهلي 

السعر قابل للتفاوض للجادين",24.503903,46.687918,https://images.aqar.fm/webp/750x0/props/002837049_1784801371881.jpg | https://images.aqar.fm/webp/750x0/props/002837041_1784801371893.jpg | https://images.aqar.fm/webp/750x0/props/002837048_1784801371870.jpg,3,عبدالله الشهراني,مكتب روابي نجد للعقارات,1,2026-06-25,2026-08-22,2026-08-23,265,2026-08-23,True,"1,875,000",False,فيلا
6820933,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-حسين-بن-حمد-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6820933,"فيلا للبيع في شارع حسين بن حمد, حي طيبة, مدينة الرياض, منطقة الرياض",850000,250,6,5,3,0,حي طيبة,الرياض,جنوب الرياض,"السلام عليكم ورحمة الله وبركاتة 
فيلا دوبلكس
 مساحه ٢٥٠ متر 
واجهه شماليه 
شارع ١٨ متر 
السعر ٨٥٠ الف قابل لي التفاوض

الدور الاول...
مدخل سياره وحوش ومجلس رجال بالمغاسل والحمام ومقلط وصاله مع مدخل خاص بالنساء و مطبخ مع مستودع و غرفه نوم ب دوره مياه خارجيه 
صاله مع دورة مياه و اربع غرف نوم غرفتين ماستر و غرفتين مشترك 
الدور الثاني..
غرفه نوم ب دوره مياه خارجيه و غرفه مؤسسة و سطح كبير

للتواصل والاستفسار 
((الرقم يظهر عند الضغط على اتصال))",24.549287,46.82359,https://images.aqar.fm/webp/750x0/props/044777355_1786640033929.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1786640034350.jpg | https://images.aqar.fm/webp/750x0/props/044777351_1786640034576.jpg | https://images.aqar.fm/webp/750x0/props/044777353_1786640033927.jpg | https://images.aqar.fm/webp/750x0/props/044777355_1786640033661.jpg | https://images.aqar.fm/webp/750x0/props/044777354_1786640033664.jpg | https://images.aqar.fm/webp/750x0/props/044777351_1786640033722.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1786640033898.jpg | https://images.aqar.fm/webp/750x0/props/044777354_1786640033894.jpg | https://images.aqar.fm/webp/750x0/props/044777357_1786640034117.jpg | https://images.aqar.fm/webp/750x0/props/044777359_1786640034148.jpg | https://images.aqar.fm/webp/750x0/props/044777358_1786640034119.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1786640034175.jpg | https://images.aqar.fm/webp/750x0/props/044777353_1786640034353.jpg | https://images.aqar.fm/webp/750x0/props/044777354_1786640034371.jpg | https://images.aqar.fm/webp/750x0/props/044777357_1786640034373.jpg | https://images.aqar.fm/webp/750x0/props/044777353_1786640034558.jpg | https://images.aqar.fm/webp/750x0/props/044777358_1786640034576.jpg | https://images.aqar.fm/webp/750x0/props/044777353_1786640034581.jpg | https://images.aqar.fm/webp/750x0/props/044777351_1786640034601.jpg | https://images.aqar.fm/webp/750x0/props/044777355_1786640033929.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1786640034350.jpg | https://images.aqar.fm/webp/750x0/props/044777351_1786640034576.jpg | https://images.aqar.fm/webp/750x0/props/044777353_1786640033927.jpg | https://images.aqar.fm/webp/750x0/props/044777355_1786640033661.jpg | https://images.aqar.fm/webp/750x0/props/044777354_1786640033664.jpg | https://images.aqar.fm/webp/750x0/props/044777351_1786640033722.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1786640033898.jpg | https://images.aqar.fm/webp/750x0/props/044777354_1786640033894.jpg | https://images.aqar.fm/webp/750x0/props/044777357_1786640034117.jpg | https://images.aqar.fm/webp/750x0/props/044777359_1786640034148.jpg | https://images.aqar.fm/webp/750x0/props/044777358_1786640034119.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1786640034175.jpg | https://images.aqar.fm/webp/750x0/props/044777353_1786640034353.jpg | https://images.aqar.fm/webp/750x0/props/044777354_1786640034371.jpg | https://images.aqar.fm/webp/750x0/props/044777357_1786640034373.jpg | https://images.aqar.fm/webp/750x0/props/044777353_1786640034558.jpg | https://images.aqar.fm/webp/750x0/props/044777358_1786640034576.jpg | https://images.aqar.fm/webp/750x0/props/044777353_1786640034581.jpg | https://images.aqar.fm/webp/750x0/props/044777351_1786640034601.jpg,40,تماني بنت عقيل بن فارس العنزي,مكتب مساكن المهلهل,1,2026-08-13,2026-08-13,2026-08-22,64,2026-08-23,True,"850,000",False,فيلا
6762573,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-رقم-32-حي-العزيزية-مدينة-الرياض-منطقة-الرياض-6762573,"فيلا للبيع في شارع رقم 32, حي العزيزية, مدينة الرياض, منطقة الرياض",2000000,504,,0,0,11,حي العزيزية,الرياض,جنوب الرياض,"يوجد اتمام بناء لمن يرغب الشراء عبر. البنوك
الدور الأرضي
4 غرف نوم
صالة كبيرة
مجلس مقلط
3 دورات مياة
الدور الأول مفصول
3 غرف نوم وصالة
مجلس و مقلط
3 دورات مياة
السطح كبير جداً",24.571908,46.76457,https://images.aqar.fm/webp/750x0/props/005849762_1783358325296.jpg | https://images.aqar.fm/webp/750x0/props/005849760_1783358325242.jpg | https://images.aqar.fm/webp/750x0/props/005849766_1783358325223.jpg | https://images.aqar.fm/webp/750x0/props/005849766_1783358325241.jpg | https://images.aqar.fm/webp/750x0/props/005849763_1783358325291.jpg | https://images.aqar.fm/webp/750x0/props/005849760_1783358325238.jpg,6,عبدالعزيز بن صالح بن عبدالرحمن المنصور,,,2026-07-06,2026-08-04,2026-08-22,731,2026-08-23,True,"2,000,000",False,فيلا
6659162,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-المنذر-بن-سعيد-حي-بدر-مدينة-الرياض-منطقة-الرياض-6659162,"فيلا للبيع في شارع المنذر بن سعيد, حي بدر, مدينة الرياض, منطقة الرياض",1000000,277,5,3,2,5,حي بدر,الرياض,جنوب الرياض,"https://maps.app.goo.gl/mGUKqzqNvCTfHDG18?g_st=ac

🏡 فيلا مستقلة للبيع – حي بدر – الرياض
فرصة مميزة لامتلاك فيلا جديدة بتصميم عملي ومساحات واسعة في موقع هادئ ومميز بحي بدر جنوب الرياض. مناسبة للسكن العائلي والاستثمار.
📍 الموقع: شارع مالك بن الحارث – حي بدر – الرياض
💰 السعر: مليون ريال فقط
📐 المساحة: 226 م²
🧭 الواجهة: جنوبية
🛣️ عرض الشارع: 23 متر
🏠 نوع العقار: فيلا مستقلة
✨ عمر العقار: جديدة
🔹 تفاصيل الفيلا:
5 غرف واسعة
صالتين
أكثر من 5 دورات مياه
مطبخ
ملحق
غرفة خادمة
درج داخلي
مشب
حوش
مدخل سيارة
توفر الكهرباء والصرف الصحي
📌 موقع مميز قريب من الخدمات والمدارس والطرق الرئيسية.
السعر البيع 1000000 ريال",24.505904,46.729562,https://images.aqar.fm/webp/750x0/props/031266226_1783612479049.jpg | https://images.aqar.fm/webp/750x0/props/031266226_1783612479232.jpg | https://images.aqar.fm/webp/750x0/props/031266229_1783612479232.jpg | https://images.aqar.fm/webp/750x0/props/031266222_1783612479316.jpg,4,نوال العتيبي,مؤسسة مسكن الياسمين,1,2026-04-18,2026-07-14,2026-08-23,490,2026-08-23,True,"1,000,000",False,فيلا
6796785,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-الذهبي-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6796785,"فيلا للبيع في شارع الذهبي, حي طيبة, مدينة الرياض, منطقة الرياض",1429000,394,,5,4,0,حي طيبة,الرياض,جنوب الرياض,"فله للبيع 
درج صاله وشقتين
حي طيبة القديم
جميع الخدمات موجودة 
شارعين 15/15 شمالي شرقي 
قريب المسجد والحديقة 
درج صاله تحت استقبال 
وفوق غرف نوم 
الشقق
كل شقه 3 غرف ومطبخ ودورتين مياه 

*حي مطلوب واسعار الايجارات فيه الشقق 30 الف*

البيع 
*مليون و430 الف*

*🔴السعي في ذمه من يوصل العقار من طرف مكتبنا🔴* 

https://maps.app.goo.gl/KqmAuMXv6g9kHDuW9?g_st=ic",24.553839,46.808192,https://images.aqar.fm/webp/750x0/props/005405660_1785353770106.jpg,1,مساعد محمد بن علي الزهراني,مكتب مساعد محمد بن علي الزهراني للعقارات,1,2026-07-29,2026-07-29,2026-08-18,364,2026-08-23,True,"1,429,000",False,فيلا
6771060,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-الجموح-حي-الدار-البيضاء-الرياض-منطقة-الرياض-6771060,"فيلا للبيع في شارع الجموح, حي الدار البيضاء, مدينة الرياض, منطقة الرياض",1800000,325,4,3,3,5,حي الدار البيضاء,الرياض,جنوب الرياض,"فيلا استثمارية بحي الدار البيضاء، مساحة 325م²، زاوية على شارعين 20م و15م، مكونة من دورين مستقلين، كل دور مدخل مستقل و4 غرف وصالة و مجلس  و3 دورات مياه وسطح مستقل، مناسبة للسكن أو الاستثمار السعر قابل للتفاوض 
((الرقم يظهر عند الضغط على اتصال))",24.56294799763748,46.79752533145249,https://images.aqar.fm/webp/750x0/props/004401053_1783895997369.jpg | https://images.aqar.fm/webp/750x0/props/004401053_1783895997375.jpg | https://images.aqar.fm/webp/750x0/props/004401055_1783895997463.jpg | https://images.aqar.fm/webp/750x0/props/004401051_1783895997400.jpg | https://images.aqar.fm/webp/750x0/props/004401053_1783895997471.jpg | https://images.aqar.fm/webp/750x0/props/004401052_1783895997478.jpg | https://images.aqar.fm/webp/750x0/props/004401058_1783895997477.jpg | https://images.aqar.fm/webp/750x0/props/004401053_1783895997476.jpg,8,يوسف سعيد محمد العمري,,,2026-07-12,2026-07-13,2026-08-17,382,2026-08-23,True,"1,800,000",False,فيلا
6671764,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-لقاح-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6671764,"فيلا للبيع في شارع لقاح, حي عكاظ, مدينة الرياض, منطقة الرياض",950000,268,5,5,2,4,حي عكاظ,الرياض,جنوب الرياض,"للبيع فلة دبلكس عكاظ العجلان 
فلة واجهة شمالية 
مساحة ٢٦٩
الشارع ٢٨ 
مقابل مرافق
مشب خارجي
مجلس رجال دورة مياه
صالة طعام 
صالة
مجلس نساء 
دورة مياه
مطبخ
الدور الاول 
٤ غرف نوم اثنتان ماستر واثنتان تخدمهما دورة مياه 
الدور الثاني 
غرفة مع دورة مياه وسطح
العمر ٤ سنوات 
فاضية ويمكن المعاينة اي وقت
السعر

البيع 950الف شهادة اتمام البناء باقي لها شهر او اقل بالنسبة للبنك المدعوم 
حرة وتقبل البنك و  الكاش

العرض حصري",24.503869,46.671877,,,فايز الاحمري,شركة السهم الفضي للعقارات,1,2026-04-27,2026-08-21,2026-08-21,290,2026-08-23,True,"950,000",False,فيلا
6471717,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-الامام-مسلم-حي-بدر-مدينة-الرياض-منطقة-الرياض-6471717,"فيلا للبيع في شارع الامام مسلم, حي بدر, مدينة الرياض, منطقة الرياض",595000,147,5,5,2,0,حي بدر,الرياض,جنوب الرياض,"السلام عليكم ورحمة الله وبركاته 
الساده عملائنا الكرام اسعد الله اوقاتكم بكل خير
يسعدنا أن نقدم لكم عرضا مميزا 
دور علوي تاون هاوس
مساحة 250م
واجهه شماليه
شارع 20م
موقع ممتاز جدا
شغل شخصي تشطيب راقي جدا
بحي بدر 
مخطط جوهرة الشفا
السعر 595000 الف
يوجد لدينا جميع العروض المطلوبه 
شركة معتمده لدي جميع البنوك
توفير الدفعه المقدمه
ضمان التقييم لعدم بخس 
توحيد الأقساط
توفير سيوله نقديه كاش من العقاري
هدفنا هو رضاكم دمتم بخير
للتواصل ((رقم المعلن يظهر عند التواصل))",24.515141,46.737059,https://images.aqar.fm/webp/750x0/props/006966512_1763452410113.jpg | https://images.aqar.fm/webp/750x0/props/006966513_1763452409573.jpg | https://images.aqar.fm/webp/750x0/props/006966516_1763452409665.jpg | https://images.aqar.fm/webp/750x0/props/006966512_1763452409775.jpg | https://images.aqar.fm/webp/750x0/props/006966518_1763452409775.jpg | https://images.aqar.fm/webp/750x0/props/006966515_1763452409875.jpg | https://images.aqar.fm/webp/750x0/props/006966511_1763452409996.jpg | https://images.aqar.fm/webp/750x0/props/006966518_1763452410009.jpg | https://images.aqar.fm/webp/750x0/props/006966515_1763452410220.jpg | https://images.aqar.fm/webp/750x0/props/006966516_1763452410330.jpg | https://images.aqar.fm/webp/750x0/props/006966515_1763452410434.jpg | https://images.aqar.fm/webp/750x0/props/006966511_1763452410532.jpg | https://images.aqar.fm/webp/750x0/props/006966511_1763452410640.jpg | https://images.aqar.fm/webp/750x0/props/006966515_1763452410746.jpg | https://images.aqar.fm/webp/750x0/props/006966512_1763452410852.jpg,15,عبدالعزيز عمر,شركة سكاي لاين فيو العقارية,1,2025-11-18,2025-11-18,2026-08-21,272,2026-08-23,True,"595,000",False,فيلا
6465753,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-البرية/حي-البرية-مدينة-الرياض-منطقة-الرياض-6465753,"فيلا للبيع في حي البرية, مدينة الرياض, منطقة الرياض",2600000,690,4,3,3,0,حي البرية,الرياض,جنوب الرياض,"فيلا درج داخلي مساحه ٣٤٥م بناء شخصي
الدور الارضي مكون  من مجلس رجال خارجي  ومشب  ومقلط وصاله ومطبخ  داخلي ومطبخ خارجي وغرفة خادمه وغرفة جلوس وثلاثة دوراة مياه 
الدور الاول ٤غرف نوم   ماستر 
الدور الثاني غرفتين وصاله ودورة مياه وصاله وسطح
يوجد مصعد",24.566519,46.911642,https://images.aqar.fm/webp/750x0/props/008066101_1763027498652.jpg | https://images.aqar.fm/webp/750x0/props/008066102_1763027498683.jpg | https://images.aqar.fm/webp/750x0/props/008066109_1763027498668.jpg | https://images.aqar.fm/webp/750x0/props/008066101_1763027498682.jpg | https://images.aqar.fm/webp/750x0/props/008066108_1763027498649.jpg | https://images.aqar.fm/webp/750x0/props/008066100_1763027498689.jpg | https://images.aqar.fm/webp/750x0/props/008066100_1763027498688.jpg | https://images.aqar.fm/webp/750x0/props/008066101_1763027498695.jpg | https://images.aqar.fm/webp/750x0/props/008066106_1763027514756.jpg | https://images.aqar.fm/webp/750x0/props/008066100_1763027514792.jpg | https://images.aqar.fm/webp/750x0/props/008066106_1763027514748.jpg | https://images.aqar.fm/webp/750x0/props/008066102_1763027514743.jpg | https://images.aqar.fm/webp/750x0/props/008066104_1763027514741.jpg | https://images.aqar.fm/webp/750x0/props/008066102_1763027514740.jpg | https://images.aqar.fm/webp/750x0/props/008066102_1763027514784.jpg | https://images.aqar.fm/webp/750x0/props/008066104_1763027514801.jpg | https://images.aqar.fm/webp/750x0/props/008066104_1763027526340.jpg | https://images.aqar.fm/webp/750x0/props/008066101_1763027526327.jpg | https://images.aqar.fm/webp/750x0/props/008066105_1763027526333.jpg | https://images.aqar.fm/webp/750x0/props/008066107_1763027526336.jpg,20,عبدالرحمن محمد,مؤسسة مكتب بصمة الاتقان للخدمات العقارية,1,2025-11-13,2025-11-13,2026-08-20,1137,2026-08-23,True,"2,600,000",False,فيلا
6750125,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-ابن-الطيلسان-القرطبي-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6750125,"فيلا للبيع في شارع ابن الطيلسان القرطبي, حي عكاظ, مدينة الرياض, منطقة الرياض",770000,840,5,0,0,0,حي عكاظ,الرياض,جنوب الرياض,"🏡 للبيع تاون هاوس فاخر – جنوب الرياض | حي الشفاء (عجلان)

✨ متوفر نموذجان:
🔹 خلفي: 5 غرف ماستر – 770,000 ريال
🔹 أمامي: 6 غرف ماستر – 850,000 ريال

📐 المواصفات:

* الموقع: جنوب الرياض – حي الشفاء (عجلان)
* أمام جامع مباشرة
* المساحة: 315 م²
* مسطح البناء: 235 م²
* واجهة شرقية
* ثلاث أدوار بتصميم عصري
* مجلس
* صالة طعام
* صالة معيشة
* مطبخ
* جميع الغرف ماستر
* جميع الضمانات متوفرة
* خدمة الألياف البصرية
* حلول تمويلية ميسرة لجميع البنوك والشركات التمويلية

✨ موقع مميز يجمع بين هدوء السكن وسهولة الوصول إلى الخدمات، مع تشطيبات عالية الجودة وتصميم يلبي احتياجات الأسرة.

📞 للتواصل والاستفسار وحجز موعد للمعاينة، يرجى التواصل.",24.506319,46.673487,https://images.aqar.fm/webp/750x0/props/050219317_1782582305459.jpg | https://images.aqar.fm/webp/750x0/props/050219318_1782582305526.jpg | https://images.aqar.fm/webp/750x0/props/050219314_1782582305515.jpg | https://images.aqar.fm/webp/750x0/props/050219317_1782582305514.jpg | https://images.aqar.fm/webp/750x0/props/050219310_1782582305570.jpg | https://images.aqar.fm/webp/750x0/props/050219315_1782582305578.jpg | https://images.aqar.fm/webp/750x0/props/050219317_1782582305574.jpg | https://images.aqar.fm/webp/750x0/props/050219317_1782582305579.jpg,8,سالم المجادعه,,,2026-06-27,2026-07-27,2026-08-10,281,2026-08-23,True,"770,000",False,فيلا
