listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6811501,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المصيف/شارع-الأحوص-بن-ثعلبة-حي-المصيف-مدينة-الرياض-منطقة-الرياض-6811501,"فيلا للبيع في شارع الأحوص بن ثعلبة, حي المصيف, مدينة الرياض, منطقة الرياض",4500000,600,6,5,2,11,حي المصيف,الرياض,شمال الرياض,"كود الاعلان:MBA:2✨ **فيلا للبيع – حي المصيف** ✨

📍 **الموقع:** حي المصيف – موقع مميز وقريب من طريق الملك عبدالعزيز، في مربع هادئ جداً يتميز بالخصوصية وجيران مميزين.

🏡 **تفاصيل العقار:**
• مساحة الأرض **600 م²**
• فيلا مكونة من دورين
• درج جانبي، مما يتيح إمكانية فصل كل دور بشكل مستقل
• كل دور يتكون من غرفتي نوم
• مجلس رجال
• مجلس نساء
• صالة طعام
• صالة داخلية
• 3 دورات مياه
• مطبخ
• غرفة خادمة
• حوش
• موقف سيارة
• ملحق خارجي

🌿 **المميزات:**
• موقع مميز بالقرب من طريق الملك عبدالعزيز
• إمكانية فصل كل دور بشكل مستقل
• مربع هادئ جداً
• جيران مميزون
• مساحة أرض كبيرة **600 م²**
• حوش خاص
• موقف سيارة
• غرفة خادمة
• ملحق خارجي

💰 **السعر: 4,500,000 ريال**

📞 **للاستفسار أو حجز موعد للمعاينة يرجى التواصل.**

⸻

✨ **Villa for Sale – Al Masif District** ✨

📍 **Location:** Al Masif District – Prime location near King Abdulaziz Road, situated in a very quiet area with excellent neighbors.

🏡 **Property Details:**
• **600 SQM Land Area**
• Two-story villa
• Side staircase, allowing each floor to be used independently
• 2 bedrooms on each floor
• Men's Majlis
• Women's Majlis
• Dining Room
• Internal Living Room
• 3 Bathrooms
• Kitchen
• Maid's Room
• Private Yard
• Car Parking
• Outdoor Annex

🌿 **Features:**
• Prime location near King Abdulaziz Road
• Each floor can be used independently
• Very quiet and peaceful neighborhood
• Excellent neighbors
• Spacious **600 SQM** plot
• Private yard
• Car parking
• Maid's room
• Outdoor annex

💰 **Price: SAR 4,500,000**

📞 For inqui",24.763028,46.675123,https://images.aqar.fm/webp/750x0/props/024238850_1786210801562.jpg | https://images.aqar.fm/webp/750x0/props/024238856_1786210801562.jpg | https://images.aqar.fm/webp/750x0/props/024238853_1786210801563.jpg | https://images.aqar.fm/webp/750x0/props/024238856_1786210801563.jpg | https://images.aqar.fm/webp/750x0/props/024238850_1786210801563.jpg,5,سلطان محمد,شركة خيالة العقارية,1,2026-08-08,2026-08-08,2026-08-18,203,2026-08-23,True,"4,500,000",False,فيلا
6804907,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المصيف/شارع-بشر-المريسي-حي-المصيف-مدينة-الرياض-منطقة-الرياض-6804907,"فيلا للبيع في شارع بشر المريسي, حي المصيف, مدينة الرياض, منطقة الرياض",2300000,336,5,,,11,حي المصيف,الرياض,شمال الرياض,"فيلا دوبلكس مساحتها 366 زاويه
الاطوال ١٤×٢٤
شارع ١٢ غربى شارع ٨ م جنوبى 
حي المصيف عمرها 44 سنه الحوش كبير يكفي ثلاث سيارات الدور الارضي مجلسين رجال مفتوحه على بعض وصاله وغرفة طعام ومجلس نساء ومطبخ بالارتداد 
الدور الاول ٤ غرف نوم وصاله وحده منهم ماستر في غرفة ملابس ودورة مياه والسطح غرفة خادمه ومخزن كبير , البيع بقيمة الارض ، موقع مميز قريب من تقاطع ابوبكر والامام",24.762459,46.690965,https://images.aqar.fm/webp/750x0/props/002715260_1785811163296.jpg | https://images.aqar.fm/webp/750x0/props/002715260_1785811163241.jpg,2,هند العطاوي,مؤسسة قوى الأعمار الذكية,1,2026-08-04,2026-08-04,2026-08-23,582,2026-08-23,True,"2,300,000",False,فيلا
6745611,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المصيف/شارع-البرجان-حي-المصيف-مدينة-الرياض-منطقة-الرياض-6745611,"فيلا للبيع في شارع البرجان, حي المصيف, مدينة الرياض, منطقة الرياض",2200000,366,6,5,2,11,حي المصيف,الرياض,شمال الرياض,"فيلا دوبلكس مساحتها 366 زاويه
الاطوال ١٤×٢٤
شارع ١٢ غربى شارع ٨ م جنوبى 
حي المصيف عمرها 44 سنه الحوش كبير يكفي ثلاث سيارات الدور الارضي مجلسين رجال مفتوحه على بعض وصاله وغرفة طعام ومجلس نساء ومطبخ بالارتداد 
الدور الاول ٤ غرف نوم وصاله وحده منهم ماستر في غرفة ملابس ودورة مياه والسطح غرفة خادمه ومخزن كبير , البيع بقيمة الارض ، موقع مميز قريب من تقاطع ابوبكر والامام
البيع ٢مليون ٢٠٠ الف",24.770941,46.685203,https://images.aqar.fm/webp/750x0/props/018073758_1786879913564.jpg,1,جواهر ال سعيد,مكتب ريحانة نجد للعقارات,1,2026-06-23,2026-06-23,2026-08-22,3917,2026-08-23,True,"2,200,000",False,فيلا
6684589,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المصيف/شارع-عبدالله-بن-ايوب-حي-المصيف-مدينة-الرياض-منطقة-الرياض-6684589,"فيلا للبيع في شارع عبدالله بن ايوب, حي المصيف, مدينة الرياض, منطقة الرياض",6920000,875,5,5,3,11,حي المصيف,الرياض,شمال الرياض,"سوم 6,500,000 

فيلا زاوية للبيع حي المصيف 
زاوية على شارعين (20م + 8م) جنوبية شرقية 
🚘 دقيقة لطريق أبي بكر الصديق
📐 المساحة: 875 م²

🏡 مواصفات الفيلا:
  
🛋️ مؤثثة بالكامل
✨ أرضيات رخام
🔧 مرممة بالكامل (سباكة + كهرباء + تعديلات حديثة)
📅 الترميم قبل أقل من 10 سنوات

🌴 الحوش الخارجي:
⛺ بيت شعر ملكي (9×9)
🚿 ملحق خارجي + دورة مياه

🏠 الدور الأرضي:
🛋️ مجلس رجال كبير (13×6)
🍽️ صالة طعام (5×8)
🛋️ صالة واسعة
🛏️ جناح مع دورة مياه
🛋 مجلس نساء (5×5)
🛏️ غرفة إضافية
🚿 3 دورات مياه
🍳 مطبخ خارجي كبير

🏠 الدور الأول:
🛏 5 غرف منها ماستر 
4 دورات مياه 
🛋️ صالة كبيرة

🌇 السطح:
🛏️ غرفة  عاملة + دورة مياه

📌 الفلة عمرها أكثر من 30 سنة  مجددة بالكامل  

💎 خيار مثالي للسكن العائلي  أو الاستثمار

للتواصل 
0533904499",24.765232,46.69011,https://images.aqar.fm/webp/750x0/props/001581393_1778057175291.jpg | https://images.aqar.fm/webp/750x0/props/001581390_1778057175403.jpg | https://images.aqar.fm/webp/750x0/props/001581391_1778056888553.jpg | https://images.aqar.fm/webp/750x0/props/001581390_1778056888620.jpg | https://images.aqar.fm/webp/750x0/props/001581392_1778056888546.jpg | https://images.aqar.fm/webp/750x0/props/001581391_1778056888624.jpg | https://images.aqar.fm/webp/750x0/props/001581399_1778056888670.jpg | https://images.aqar.fm/webp/750x0/props/001581397_1778056888776.jpg,8,ماجد بن محمد بن عبدالله السعيد,مؤسسة وسم العقارية,1,2026-05-06,2026-08-01,2026-08-18,731,2026-08-23,True,"6,920,000",False,فيلا
6813797,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المصيف/شارع-ابن-الديناري-حي-المصيف-مدينة-الرياض-منطقة-الرياض-6813797,"فيلا للبيع في شارع ابن الديناري, حي المصيف, مدينة الرياض, منطقة الرياض",4500000,600,5,1,0,11,حي المصيف,الرياض,شمال الرياض,"للبيع فيلا بقيمة ارض
 الحي المصيف
 المساحه ٦٠٠م
 الشارع  ١٥م غربي 
الاطوال ٢٠×عمق ٣٠
عمرها ٣٠ سنه 
مهلة اخلاء الفيلا شهرين 
موقعها مميز 
السوم وصل ٤مليون و٣٠٠ الف
حد المالك ٤ مليون و٥٠٠الف 


 اللوكيشن
https://maps.app.goo.gl/EH21S9Aws8Ye3DT79?g_st=aw",24.765136,46.67894,https://images.aqar.fm/webp/750x0/props/004821896_1786350395615.jpg | https://images.aqar.fm/webp/750x0/props/004821897_1786350395669.jpg | https://images.aqar.fm/webp/750x0/props/004821890_1786350395684.jpg | https://images.aqar.fm/webp/750x0/props/004821893_1786350395720.jpg | https://images.aqar.fm/webp/750x0/props/004821895_1786350395759.jpg | https://images.aqar.fm/webp/750x0/props/004821897_1786350395866.jpg,6,سلوى المساوى,مؤسسة سلوى حسن المساوى,1,2026-08-10,2026-08-10,2026-08-23,208,2026-08-23,True,"4,500,000",False,فيلا
6621594,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المصيف/شارع-سندي-البغدادي-حي-المصيف-مدينة-الرياض-منطقة-الرياض-6621594,"فيلا للبيع في شارع سندي البغدادي, حي المصيف, مدينة الرياض, منطقة الرياض",6000000,728,5,0,0,11,حي المصيف,الرياض,شمال الرياض,"فيلا المصيف 728م


🏡 فيلا للبيع بقيمة أرض – فرصة استثمارية مميزة
📍 الموقع: الرياض – حي المصيف
📐 المساحة: 728 م²
🧭 عدد الواجهات: 3 واجهات

تفاصيل الواجهات:
🛣️ غربية على شارع عرض 12م بطول 28م
🛣️ شمالية ممر / شارع عرض 8م بطول 26م
🛣️ جنوبية ممر / شارع عرض 8م بطول 26م

✨ مميزات الموقع:
✅ قريب من جميع الخدمات
🕌 مساجد
🌳 حدائق
🏫 مدارس
🛍️ أسواق ومراكز تسوق
🚗 سهولة الوصول للطرق الرئيسية

⚡ الخدمات المتوفرة:
🔌 عدّادان كهرباء
💧 عدّاد مياه
🌐 ألياف بصرية (Fiber Optic)
🌧️ صرف صحي وتصريف سيول 

🏗️ مزايا العرض:
🔹 البيع بقيمة أرض
   🏘️ الأرض قابلة للتجزئة",24.764888,46.684268,https://images.aqar.fm/webp/750x0/props/005880593_1773180048755.jpg | https://images.aqar.fm/webp/750x0/props/005880590_1773180085099.jpg | https://images.aqar.fm/webp/750x0/props/005880593_1773180085138.jpg | https://images.aqar.fm/webp/750x0/props/005880595_1773180114941.jpg,4,عبدالملك عايض,مؤسسة سبوق العقارية,1,2026-03-10,2026-03-10,2026-08-18,790,2026-08-23,True,"6,000,000",False,فيلا
6717800,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المصيف/شارع-قيس-بن-الحصين-حي-المصيف-مدينة-الرياض-منطقة-الرياض-6717800,"فيلا للبيع في شارع قيس بن الحصين, حي المصيف, مدينة الرياض, منطقة الرياض",1700000,195,5,6,1,11,حي المصيف,الرياض,شمال الرياض,"فيلا بمساحة 195م جنوبية شارع 8 جنوبي
بموقع مميز بالقرب من الخدمات والمدارس العالمية
المواصفات كالتالي:
الدور الأرضي/ استقبال مجلس، صالة، مطبخ
الدور الأول/ 3 غرف نوم
الدور الثاني (السطح)/ غرفة واسعة بدورة مياه أجلكم الله",24.76057,46.677814,https://images.aqar.fm/webp/750x0/props/000376691_1770738299366.jpg | https://images.aqar.fm/webp/750x0/props/000376697_1770738308720.jpg | https://images.aqar.fm/webp/750x0/props/000376696_1770738324183.jpg | https://images.aqar.fm/webp/750x0/props/000376698_1770738324182.jpg | https://images.aqar.fm/webp/750x0/props/000376690_1770738324183.jpg | https://images.aqar.fm/webp/750x0/props/000376692_1770738324187.jpg | https://images.aqar.fm/webp/750x0/props/000376693_1770738324212.jpg | https://images.aqar.fm/webp/750x0/props/000376692_1770738324184.jpg | https://images.aqar.fm/webp/750x0/props/000376695_1770738324217.jpg | https://images.aqar.fm/webp/750x0/props/000376696_1770738324224.jpg | https://images.aqar.fm/webp/750x0/props/000376691_1770738324244.jpg | https://images.aqar.fm/webp/750x0/props/000376694_1770738324219.jpg | https://images.aqar.fm/webp/750x0/props/000376691_1770738324270.jpg,13,ابراهيم عبدالله ابراهيم المحيسن,مكتب ابراهيم عبدالله ابراهيم المحيسن للعقارات,1,2026-06-03,2026-08-01,2026-08-16,6171,2026-08-23,True,"1,700,000",False,فيلا
6743458,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المصيف/حي-شارع-جبلة-الصدفي-حي-المصيف-الرياض-منطقة-الرياض-6743458,فيلا للبيع في حي ، شارع جبلة الصدفي ، حي المصيف ، الرياض ، منطقة الرياض,4900000,616,5,7,2,25,حي المصيف,الرياض,شمال الرياض,"للبيع فلة بحي المصيف زاوية اقل من دقيقة من طريق الدائري الشمالي و ابوبكر الصديق.
بمساحة ٦١٦",24.771865,46.684317,https://images.aqar.fm/webp/750x0/props/032425773_1782144502005.png,1,عبدالرحمن سعد ابراهيم المرشود,,,2026-06-22,,2026-06-22,331,2026-08-23,False,طلب تسويق,False,فيلا
6780983,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المصيف/شارع-جنوبية-سدير-حي-المصيف-مدينة-الرياض-منطقة-الرياض-6780983,"فيلا للبيع في شارع جنوبية سدير, حي المصيف, مدينة الرياض, منطقة الرياض",2000000,250,3,5,0,0,حي المصيف,الرياض,شمال الرياض,"للبيع 4 وحدات 
ارضي وعلوي

مشروع بوحدات 
تاون هاوس 
وبنتهاوس

حي المصيف

تم تصميم هذي الوحدات بأسلوب حديث ويتماشي مع احتياجات العائلة حيث تم أخذ جميع الجوانب الضرورية بعين الاعتبار من المساحات الرحبة التي تبدأ من 220 الي 240 
والتوزيع الذكي الذي تم توزيعة بشكل يلبي جميع احتياجات العائلة والموقع الذي يقع 
بحي المصيف 
القرب من اهم الطرق الرئيسية
 تجربة سكنية  متكاملة تلبي اعلي معايير جودة الحياة 
:المميزات 
-تكيف مخقي 
تكييف اسبليت راكب 
-مدخل خاص  
-مطبخ
- مصعد 
- غرفة خادمة 
- ⁠3 غرف نوم 
- ⁠صاله 
- ⁠مجلس
- ⁠

- باب كراج
- ⁠البيع 2 مليون 
⁠
- ⁠مباشر مع المالك",24.762856,46.689214,https://images.aqar.fm/webp/750x0/props/035327554_1787148563234.jpg | https://images.aqar.fm/webp/750x0/props/035327558_1787148579317.jpg | https://images.aqar.fm/webp/750x0/props/035327551_1787148579464.jpg | https://images.aqar.fm/webp/750x0/props/035327558_1787148579585.jpg | https://images.aqar.fm/webp/750x0/props/035327558_1787148579653.jpg | https://images.aqar.fm/webp/750x0/props/035327556_1787148579750.jpg | https://images.aqar.fm/webp/750x0/props/035327554_1787148579918.jpg | https://images.aqar.fm/webp/750x0/props/035327550_1787148580031.jpg | https://images.aqar.fm/webp/750x0/props/035327556_1787148580107.jpg | https://images.aqar.fm/webp/750x0/props/035327555_1787148580187.jpg,10,عبيد صالح شبلي الشمري,مؤسسة نظرة المطور للمقاولات,1,2026-07-19,2026-08-17,2026-08-23,1794,2026-08-23,True,"2,000,000",False,فيلا
6633499,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-المصيف/شارع-بكار-بن-قتيبة-حي-المصيف-مدينة-الرياض-منطقة-الرياض-6633499,"فيلا للبيع في شارع بكار بن قتيبة, حي المصيف, مدينة الرياض, منطقة الرياض",4875000,780,7,,,11,حي المصيف,الرياض,شمال الرياض,"للبيع فيلا بقيمة أرض 

🔴الرياض (حي المصيف)

المساحة ( 780 م ) 
زاوية ✅✅
تفتح على شارع 12 جنوبي 8 شرقي
يجي فيها 6 وحدات فيها خير للمطور.

وصل السوم 6400  للمتر
البيع قريب جداً  🔴🔴🔴🔴

اوراقها كاملة
رخصة هدم ورخصة بناء ومخطط


https://maps.app.goo.gl/54nzGEkw3wdT9TMY6?g_st=com.google.maps.preview.copy

رقمً الترخيص : 7200917083
رخصة فال : 1200047498 

للتواصل : 
0569793111
0507008825
0538473777",24.763545,46.680801,https://images.aqar.fm/webp/750x0/props/051095182_1774710980607.jpg,1,علي عبدالرحمن,مؤسسة صرح راكز التجارية,1,2026-03-28,2026-08-21,2026-08-22,1075,2026-08-23,True,"4,875,000",False,فيلا
