listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6590061,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/حي-المعيزيلة-مدينة-الرياض-منطقة-الرياض-6590061,"فيلا للبيع في حي المعيزيلة, مدينة الرياض, منطقة الرياض",2400000,321,7,7,2,0,حي المعيزلة,الرياض,شرق الرياض,"فيلا مساحه  ٣٢٢ متر مكونه من درج داخلي وشقتين 
الدرج الداخلي : حوش مشب مجلس مقلط صاله كبيره حداً غرفة كبار سن 
فالاعلى ٦ غرف نوم كلهم ماستر فالاضافه الى غرفة الشغاله ماستر 
غرفة النوم الرئيسيه كبيره جداً 

الشقه الاولى : مجلس صاله غرفتين نوم 
الشقه الثانيه : مجلس صاله غرفتين نوم",24.791937,46.855413,https://images.aqar.fm/webp/750x0/props/001697967_1771088689903.jpg | https://images.aqar.fm/webp/750x0/props/001697965_1771088689905.jpg,2,الوليد بن فهاد بن فراج البقمي,,,2026-02-14,2026-06-11,2026-06-11,825,2026-08-23,True,"2,400,000",False,فيلا
6760339,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/شارع-أمين-الريحاني-حي-المعيزيلة-مدينة-الرياض-منطقة-الرياض-6760339,"فيلا للبيع في شارع أمين الريحاني, حي المعيزيلة, مدينة الرياض, منطقة الرياض",2050000,416,,,,0,حي المعيزلة,الرياض,شرق الرياض,"فيلا - متصل - درج خارجي - دورين + ملحق - الرياض - حي المعيزلة .

 
مكونة من :
الدور الأرضي:
 عدد المجالس: 1    ، دورات المياه: 2    ، الصالات: 1    ، الملقط: 1    ، المطابخ: 1    ، 

 الدور الأول:
 دورات المياه: 1    ، غرف النوم: 1    ، غرف الماستر: 3    ، 

الملحق العلوي :
 غرف الماستر: 2    ، 

مميزات العقار :
 قريب من الخدمات ، نوافذ زجاج ، حوش ، مدخل سيارة ، غرفة غسيل ، سطح ، 

الضمانات :
يوجد جميع الضمانات .


رقم العرض: 19963
رقم ترخيص الإعلان: 7201029581 
 رقم رخصة فال: 1200019203 
 
يتوفر الدفع كاش او تقسيط من البنك .",24.801086,46.849666,https://images.aqar.fm/webp/750x0/props/025113876_1783250562732.jpg | https://images.aqar.fm/webp/750x0/props/025113870_1783250562748.jpg | https://images.aqar.fm/webp/750x0/props/025113875_1783250562752.jpg | https://images.aqar.fm/webp/750x0/props/025113878_1783250562758.jpg | https://images.aqar.fm/webp/750x0/props/025113878_1783250562756.jpg | https://images.aqar.fm/webp/750x0/props/025113876_1783250562760.jpg | https://images.aqar.fm/webp/750x0/props/025113879_1783250562751.jpg | https://images.aqar.fm/webp/750x0/props/025113876_1783250562753.jpg | https://images.aqar.fm/webp/750x0/props/025113870_1783250562756.jpg | https://images.aqar.fm/webp/750x0/props/025113877_1783250562751.jpg | https://images.aqar.fm/webp/750x0/props/025113877_1783250562758.jpg | https://images.aqar.fm/webp/750x0/props/025113879_1783250562755.jpg | https://images.aqar.fm/webp/750x0/props/025113879_1783250562782.jpg,13,عبدالهادي سليمان,شركة إسكان سلمان العقارية,1,2026-07-05,2026-08-03,2026-08-20,326,2026-08-23,True,"2,050,000",False,فيلا
6688163,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/شارع-المحاميل-حي-المعيزيلة-مدينة-الرياض-منطقة-الرياض-6688163,"فيلا للبيع في شارع المحاميل, حي المعيزيلة, مدينة الرياض, منطقة الرياض",3037840,660,,,,11,حي المعيزلة,الرياض,شرق الرياض,"للبيع فيلا قديمة بقيمة أرض
صكين
المساحات
660.41م
765م
المساحة الأجمالية (1425.41م)
على ثلاث شوارع 15غربي15جنوبي15شرقي
البيع للارضين سواء
المتر 4000 قابل للتفاوض
لتواصل مجموعة الكاشف العقارية
0505484544
0533342781",24.798412,46.852946,https://images.aqar.fm/webp/750x0/props/005956381_1778260078448.jpg,1,عرار بن محمد,مكتب الكاشف للعقارات,1,2026-05-08,2026-07-05,2026-07-07,688,2026-08-23,True,"3,037,840",False,فيلا
6688151,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/شارع-المحاميل-حي-المعيزيلة-مدينة-الرياض-منطقة-الرياض-6688151,"فيلا للبيع في شارع المحاميل, حي المعيزيلة, مدينة الرياض, منطقة الرياض",3519000,765,7,,,11,حي المعيزلة,الرياض,شرق الرياض,"للبيع فيلا قديمة بقيمة أرض 
صكين 
المساحات
660.41م
765م
المساحة الأجمالية (1425.41م)
على ثلاث شوارع 15غربي15جنوبي15شرقي 
البيع للارضين سواء 
المتر 4000 قابل للتفاوض
لتواصل مجموعة الكاشف العقارية 
0505484544
0533342781",24.798518,46.853121,https://images.aqar.fm/webp/750x0/props/005956388_1778260110302.jpg,1,عرار بن محمد,مكتب الكاشف للعقارات,1,2026-05-08,2026-07-05,2026-07-07,414,2026-08-23,True,"3,519,000",False,فيلا
6799827,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/شارع-خليج-تونس-حي-المعيزيلة-مدينة-الرياض-منطقة-الرياض-6799827,"فيلا للبيع في شارع خليج تونس, حي المعيزيلة, مدينة الرياض, منطقة الرياض",1850000,256,4,1,0,0,حي المعيزلة,الرياض,شرق الرياض,"تتشرف شركة الرائد العقارية بتقديم افضل ما لديها في سوق 
،موقع متميز تصميم يناسب جميع الاذواق 
فيلا دوبلكس علي الكود السعودي الجديد مودرن بالمعازيله

مساحه ٢٥٦م
شارع ٢٠م

مكونه من:
* حوش وسيع
*ملحق خارجي
* مجلس رجال وسيع مع حمام ومغاسل 
*صاله طعام
*صاله عائليه
* ٥ غرف نوم منهم ٣ ماستر 
*غرفه خادمه
* مطبخ
* مؤسس مصعد 
* سطح امامي 
*سطح خلفي وسيع

- الضمانات:
# شهاده الإشراف الهندسي 
# شهاده العزل الحراري
# ضمان علي السباكه من شركه الأنابيب الخضر ١٥ سنه 
# ضمان من شركه الفنار علي الكهرباء ٢٥ سنه
# وجود شهاده اتمام بناء 

ـإمكانيه سداد الدفعه الاولي
-سداد المديونية 
-نتعامل مع جميع البنوك والشركات الخاصة
للتواصل والاستفسار:((الرقم يظهر عند الضغط على اتصال))
B10",24.805869,46.849975,https://images.aqar.fm/webp/750x0/props/040895714_1785867255786.jpg | https://images.aqar.fm/webp/750x0/props/040895712_1785867252384.jpg | https://images.aqar.fm/webp/750x0/props/040895711_1785867253341.jpg | https://images.aqar.fm/webp/750x0/props/040895711_1785867253486.jpg | https://images.aqar.fm/webp/750x0/props/040895718_1785867253668.jpg | https://images.aqar.fm/webp/750x0/props/040895717_1785867253899.jpg | https://images.aqar.fm/webp/750x0/props/040895718_1785867254060.jpg | https://images.aqar.fm/webp/750x0/props/040895716_1785867254394.jpg | https://images.aqar.fm/webp/750x0/props/040895717_1785867254563.jpg | https://images.aqar.fm/webp/750x0/props/040895710_1785867254823.jpg | https://images.aqar.fm/webp/750x0/props/040895714_1785867255112.jpg | https://images.aqar.fm/webp/750x0/props/040895714_1785867255241.jpg | https://images.aqar.fm/webp/750x0/props/040895712_1785867255360.jpg | https://images.aqar.fm/webp/750x0/props/040895710_1785867255668.jpg | https://images.aqar.fm/webp/750x0/props/040895710_1785867255750.jpg | https://images.aqar.fm/webp/750x0/props/040895711_1785867255942.jpg | https://images.aqar.fm/webp/750x0/props/040895715_1785867256062.jpg | https://images.aqar.fm/webp/750x0/props/040895710_1785867256192.jpg | https://images.aqar.fm/webp/750x0/props/040895718_1785867256328.jpg | https://images.aqar.fm/webp/750x0/props/040895718_1785867256369.jpg | https://images.aqar.fm/webp/750x0/props/040895719_1785867256517.jpg | https://images.aqar.fm/webp/750x0/props/040895711_1785867256547.jpg | https://images.aqar.fm/webp/750x0/props/040895714_1785867256711.jpg | https://images.aqar.fm/webp/750x0/props/040895712_1785867256714.jpg | https://images.aqar.fm/webp/750x0/props/040895716_1785867256822.jpg | https://images.aqar.fm/webp/750x0/props/040895714_1785867256978.jpg | https://images.aqar.fm/webp/750x0/props/040895715_1785867257153.jpg | https://images.aqar.fm/webp/750x0/props/040895717_1785867257261.jpg | https://images.aqar.fm/webp/750x0/props/040895718_1785867257286.jpg | https://images.aqar.fm/webp/750x0/props/040895718_1785867257421.jpg,30,رائد مقبل بن محمد العصيمي,مؤسسة رائد مقبل بن محمد العصيمي للمقاولات العامة,1,2026-08-01,2026-08-01,2026-08-20,26,2026-08-23,True,"1,850,000",False,فيلا
6718223,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/شارع-العشاب-حي-المعيزيلة-مدينة-الرياض-منطقة-الرياض-6718223,"فيلا للبيع في شارع العشاب, حي المعيزيلة, مدينة الرياض, منطقة الرياض",2500000,524,6,3,2,8,حي المعيزلة,الرياض,شرق الرياض,"للبيع فيـلا في شرق الرياض
الموقع في حي المعيزيله
قرب طريق خريص والشيخ جابر
بقرب محطة المترو  وكل الخدمات
الفيلا مناسبة للسكن والاستثمار
الفيلا دور أرضي + أربـع شقـق
المساحه 524 م شارع 15 شمالي 
 العمر 8 سنوات - الفيلا حـُره
الدور الارضي : 
حوش ومشب ومدخل سياره
مجلس رجال ومقلط وصالة
ثلاث غرف نوم واحده ماستر
مطبخ + 3 دورات مياه
( فيها اربع شقق كبيره )
شقة أرضيه وثلاث علويه
 كل شقه 4 غرف وصاله
 ومطبخ وثلاث دورات مياه 
السعر ( 2 مليون 500 ألف)
مباشر من المالك
🔹 مكتب صالح للعقارت🔹
للتواصل /",24.780729,46.83477,https://images.aqar.fm/webp/750x0/props/044634692_1780527283570.jpg,1,صالح العنزي,مؤسسة صالح مرفوع العنزي التجارية,1,2026-06-03,2026-06-03,2026-08-16,1565,2026-08-23,True,"2,500,000",False,فيلا
6715361,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/شارع-السيب-حي-المعيزلة-الرياض-منطقة-الرياض-6715361,فيلا للبيع في شارع السيب ، حي المعيزلة ، الرياض ، منطقة الرياض,5,875,7,5,3,10,حي المعيزلة,الرياض,شرق الرياض,"فيلا ٤٥٥م + شقتين واستراحتها بجانبها ٤٢٠م المجموع ٨٧٥م
تفتح على حديقة حي المعيزيلة شارع ٢٠شمالي 
بناء شخصي خاص من المالك",24.77969,46.836193,https://images.aqar.fm/webp/750x0/props/019364578_1780345514035.jpg | https://images.aqar.fm/webp/750x0/props/019364575_1780345613657.jpg | https://images.aqar.fm/webp/750x0/props/019364578_1780345657192.jpg | https://images.aqar.fm/webp/750x0/props/019364570_1780346116469.jpg,4,عوجان السبيعي,,,2026-06-01,,2026-06-28,171,2026-08-23,False,طلب تسويق,False,فيلا
6797975,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/حي-المعيزيلة-مدينة-الرياض-منطقة-الرياض-6797975,"فيلا للبيع في حي المعيزيلة, مدينة الرياض, منطقة الرياض",1950000,235,4,5,3,0,حي المعيزلة,الرياض,شرق الرياض,"تتقدم شركة الرائد العقاريه لعملانا الكرام 

فيلا درج داخلي مع شقه زويا حي المعزيله
 
علي شارعين 

مكونات الفيلا 

الدور الأرضي 

مدخل سياره 
مدخل نساء 
مجلس رجال 
مع مغاسل دوره مياه 
صاله طعام 
صاله عائليه 
دوره مياه مغاسل 
مع مجلس نساء
مطبخ 
ارتداد خلفي 
ارتداد جانبي 

الدور الاول 
4غرف نوم مستر 
صاله 

الدور الأخير 
غرفه نوم مستر 
مع ارتداد أمامي

للتواصل معنا/((الرقم يظهر عند الضغط على اتصال))",24.806102,46.851024,https://images.aqar.fm/webp/750x0/props/046654689_1785801258371.jpg | https://images.aqar.fm/webp/750x0/props/046654683_1785801258623.jpg | https://images.aqar.fm/webp/750x0/props/046654688_1785801259409.jpg | https://images.aqar.fm/webp/750x0/props/046654684_1785801259318.jpg | https://images.aqar.fm/webp/750x0/props/046654681_1785801259416.jpg | https://images.aqar.fm/webp/750x0/props/046654685_1785801260036.jpg | https://images.aqar.fm/webp/750x0/props/046654687_1785801258761.jpg | https://images.aqar.fm/webp/750x0/props/046654683_1785801258891.jpg | https://images.aqar.fm/webp/750x0/props/046654688_1785801258990.jpg | https://images.aqar.fm/webp/750x0/props/046654680_1785801259000.jpg | https://images.aqar.fm/webp/750x0/props/046654680_1785801259102.jpg | https://images.aqar.fm/webp/750x0/props/046654686_1785801259108.jpg | https://images.aqar.fm/webp/750x0/props/046654689_1785801259202.jpg | https://images.aqar.fm/webp/750x0/props/046654680_1785801259310.jpg | https://images.aqar.fm/webp/750x0/props/046654685_1785801259515.jpg | https://images.aqar.fm/webp/750x0/props/046654684_1785801259609.jpg | https://images.aqar.fm/webp/750x0/props/046654689_1785801259667.jpg | https://images.aqar.fm/webp/750x0/props/046654688_1785801259661.jpg | https://images.aqar.fm/webp/750x0/props/046654684_1785801259739.jpg | https://images.aqar.fm/webp/750x0/props/046654688_1785801259779.jpg | https://images.aqar.fm/webp/750x0/props/046654684_1785801259861.jpg | https://images.aqar.fm/webp/750x0/props/046654682_1785801259901.jpg | https://images.aqar.fm/webp/750x0/props/046654689_1785801260044.jpg | https://images.aqar.fm/webp/750x0/props/046654684_1785801260120.jpg | https://images.aqar.fm/webp/750x0/props/046654689_1785801260220.jpg | https://images.aqar.fm/webp/750x0/props/046654683_1785801260227.jpg | https://images.aqar.fm/webp/750x0/props/046654681_1785801260335.jpg,27,رائد مقبل بن محمد العصيمي,مؤسسة رائد مقبل بن محمد العصيمي للمقاولات العامة,1,2026-07-30,2026-07-30,2026-08-23,142,2026-08-23,True,"1,950,000",False,فيلا
6825443,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/شارع-قابوس-حي-المعيزيلة-مدينة-الرياض-منطقة-الرياض-6825443,"فيلا للبيع في شارع قابوس, حي المعيزيلة, مدينة الرياض, منطقة الرياض",1750000,240,5,,,0,حي المعيزلة,الرياض,شرق الرياض,"فيلا دوبلكس فاخره مودرن 
مكونه من ٣ ادوار 
مجلس
صاله مقلط مطبخ
العلوي ٤ غرف نوم وصاله
الاخير غرفه خادمه وسطح وصاله سينما
كما يوجد لدينا سداد المديونيه وتوفير الدفعه الاولي والتعامل مع جميع البنوك السعودية و",24.805855,46.850439,https://images.aqar.fm/webp/750x0/props/006894047_1786886561832.jpg | https://images.aqar.fm/webp/750x0/props/006894040_1786886558260.jpg | https://images.aqar.fm/webp/750x0/props/006894049_1786886558387.jpg | https://images.aqar.fm/webp/750x0/props/006894040_1786886558433.jpg | https://images.aqar.fm/webp/750x0/props/006894045_1786886558663.jpg | https://images.aqar.fm/webp/750x0/props/006894045_1786886558790.jpg | https://images.aqar.fm/webp/750x0/props/006894043_1786886558887.jpg | https://images.aqar.fm/webp/750x0/props/006894045_1786886559053.jpg | https://images.aqar.fm/webp/750x0/props/006894044_1786886559275.jpg | https://images.aqar.fm/webp/750x0/props/006894040_1786886559415.jpg | https://images.aqar.fm/webp/750x0/props/006894041_1786886559694.jpg | https://images.aqar.fm/webp/750x0/props/006894047_1786886559861.jpg | https://images.aqar.fm/webp/750x0/props/006894045_1786886560063.jpg | https://images.aqar.fm/webp/750x0/props/006894042_1786886560228.jpg | https://images.aqar.fm/webp/750x0/props/006894041_1786886560323.jpg | https://images.aqar.fm/webp/750x0/props/006894042_1786886560484.jpg | https://images.aqar.fm/webp/750x0/props/006894041_1786886560775.jpg | https://images.aqar.fm/webp/750x0/props/006894048_1786886561010.jpg | https://images.aqar.fm/webp/750x0/props/006894042_1786886561244.jpg | https://images.aqar.fm/webp/750x0/props/006894048_1786886561405.jpg | https://images.aqar.fm/webp/750x0/props/006894047_1786886561509.jpg | https://images.aqar.fm/webp/750x0/props/006894044_1786886561714.jpg,22,احمد شريف رزق السلمي,مؤسسة مكتب اختصار البناء للعقارات,1,2026-08-16,2026-08-16,2026-08-23,18,2026-08-23,True,"1,750,000",False,فيلا
6716635,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/شارع-ممر37-حي-المعيزيلة-مدينة-الرياض-منطقة-الرياض-6716635,"فيلا للبيع في شارع ممر37, حي المعيزيلة, مدينة الرياض, منطقة الرياض",1500000,255,,5,1,5,حي المعيزلة,الرياض,شرق الرياض,"فلة درج داخلي مع شقة  للبيع في حي المعيزلية
عمرها 5 سنوات 

موقع مميز خلف محطة جدف، قريبة جداً من المسجد والخدمات، وعلى شارعين 12 

المواصفات:
• مساحة 255م
• عدادين كهرباء
• مدخل رجال
• مدخل نساء على الشارع الثاني
• مدخل سيارة
• حوش
• مجلس
• مقلط
• صالة واسعة
• غرفة كبار سن واسعة
• مطبخ مع مستودع

الدور الثاني:
• صالة
• غرفتين نوم ماستر بدورات مياه خاصة، منها الغرفة الأساسية واسعة جداً
• غرفتين نوم بينهم دورة مياه

الشقة :- 
• مستقلة بمدخل خاص غرفتين نوم ومطبخ وصاله 
• غرفة خاصة مع حمام منفصلة عن الشقة

مؤجرة بالكامل ب 90 الف بدخل شهري 7500 ريال 

الفيلا ب 5500 شهري بعقد 3 سنوات متبقي منه تقريبا سنتين 

الشقة ب 2000 شهري لمدة سنه 

موقع حيوي وقريب من جميع الخدمات.




عليها بنك بقيمة 1,340,000 ريال",24.812929,46.838593,https://images.aqar.fm/webp/750x0/props/006565212_1780429890235.jpg | https://images.aqar.fm/webp/750x0/props/006565211_1780429890226.jpg | https://images.aqar.fm/webp/750x0/props/006565210_1780429890197.jpg | https://images.aqar.fm/webp/750x0/props/006565216_1780429890210.jpg | https://images.aqar.fm/webp/750x0/props/006565213_1780429890233.jpg | https://images.aqar.fm/webp/750x0/props/006565216_1780429890236.jpg | https://images.aqar.fm/webp/750x0/props/006565212_1780429890204.jpg | https://images.aqar.fm/webp/750x0/props/006565215_1780429890497.jpg,8,عمر البقمي,,,2026-06-02,2026-07-31,2026-07-31,2614,2026-08-23,True,"1,500,000",False,فيلا
