listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6711015,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الحارث-الازدي-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6711015,"فيلا للبيع في شارع الحارث الازدي, حي الملقا, مدينة الرياض, منطقة الرياض",4000000,450,,0,0,11,حي الملقا,الرياض,شمال الرياض,منزل مكون من دورين وملحق، الموقع ممتاز، قريب الخدمات، والطرق الرئيسية,24.790049,46.615708,https://images.aqar.fm/webp/750x0/props/010751984_1779741411427.jpg,1,سالم راشد عمران العزيزي,,,2026-05-25,2026-08-21,2026-08-21,1452,2026-08-23,True,"4,000,000",False,فيلا
6807650,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-رقم-267-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6807650,"فيلا للبيع في شارع رقم 267, حي الملقا, مدينة الرياض, منطقة الرياض",4450000,200,5,,,0,حي الملقا,الرياض,شمال الرياض,"للبيع فلل مودرن حي الملقا شمال انس بن مالك 
المساحه 200 م 
شوارع 20 م شماليه شرقيه 
الدور الارضي
 استقبال بالكامل مدخل سيارة حوش غرفه سائق غرفه خادمه مطلة خلفيه راكب مصعد مقلط مجلس صاله 
الدور الاول 
3 غرف نوم ماستر 
السطح 
غرفتين نوم ماستر وصاله 
وسطح واسع غرفه غسيل 
300 م فيها مسبح 
السعر 6 مليون و700
200 م زاوية 
السعر 4 مليون و650
200 م شارع واحد 
4 مليون و450

https://maps.app.goo.gl/gbzZqMRYMuhr",24.803142,46.602823,,,بشرى القطان,مؤسسة أملاك نجد العقارية,1,2026-08-05,2026-08-05,2026-08-23,20,2026-08-23,True,"4,450,000",False,فيلا
6748295,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-رقم-420-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6748295,"فيلا للبيع في شارع رقم 420, حي الملقا, مدينة الرياض, منطقة الرياض",3500000,295,5,0,0,10,حي الملقا,الرياض,شمال الرياض,"للبيع فيلا دبلكس مساحه ٢٩٥م شارع ١٥ شمالي بحي الملقا شمال طريق انس بن مالك بجانب ممشى الملقا السكني

يتكون من التالي

الدور الأرضي:
- مجلس رجال
- صاله طعام رجال
- صاله عائلية
- مطبخ
- ⁠مستودع 
- ⁠غرفة سائق 
- ⁠غرفة خادمة

الدور الأول:

- ⁠٤  غرف نوم
- ⁠صاله عائلية

الدور الثاني :
- ⁠غرفه نوم بدورة مياة
- ⁠مستودع 

مزايا العقار :

قريب من طريق انس بن مالك 
موقع راقي جدآ 


عمر العقار :
١٠ سنوات بتصميم مودرن 

مؤجرة حاليآ ب ٩٥,٠٠٠ تبقى بالعقد سنه واحدة مع امكانية التجديد في حال رغبة المشتري",24.805877,46.608627,https://images.aqar.fm/webp/750x0/props/005044081_1782421437925.jpg | https://images.aqar.fm/webp/750x0/props/005044083_1785198994330.jpg | https://images.aqar.fm/webp/750x0/props/005044080_1785198994352.jpg | https://images.aqar.fm/webp/750x0/props/005044088_1785199008497.jpg,4,عبدالعزيز عبدالله محمد الصالح,شركة عبدالعزيز عبدالله محمد الصالح العقارية شخص واحد,1,2026-06-25,2026-07-25,2026-08-12,1414,2026-08-23,True,"3,500,000",False,فيلا
6746826,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-رقم-95-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6746826,"فيلا للبيع في شارع رقم 95, حي الملقا, مدينة الرياض, منطقة الرياض",11000000,507,6,5,0,0,حي الملقا,الرياض,شمال الرياض,"( فيلا فاخرة للبيع حي الملقا ) 

فيلا استثنائية للبيع في حي الملقا، أحد أكثر أحياء الرياض رقيًا وتميزًا.

📍 حي الملقا
📐 507 م²
💰 11,000,000 ريال

صُممت لمن يبحث عن أسلوب حياة مختلف، في موقع يجمع بين الهدوء والرقي وقرب جميع الوجهات الحيوية.

• موقع نخبوي في قلب الملقا
• محيط راقٍ وخدمات متكاملة
• سهولة الوصول إلى أبرز طرق شمال الرياض

تفاصيل الفيلا

🔹 الدور الأرضي:
• مجلس خارجي مستقل مع دورة مياه
• مجلس داخلي واسع
• صالة عائلية كبيرة
• مطبخ
• غرفة عاملة
• غرفة غسيل
• مستودع
• مسبح خارجي
• جلسة خارجية مميزة

🔹 الدور الأول:
• 4 غرف نوم واسعة
• جميع الغرف ماستر بدورات مياه خاصة

🔹 الدور الثاني:
• غرفة نوم مع دورة مياه
• صالة واسعة متعددة الاستخدامات
• سطح واسع

مميزات الفيلا

✨ موقع مميز جدًا في حي الملقا
✨ مصعد (لفت) راكب
✨ تكييف مخفي كامل للدور الأرضي
✨ مسبح خاص
✨ جلسات خارجية
✨ تصميم عملي ومساحات رحبة
✨ خصوصية عالية وجودة تنفيذ مميزة

 (( الضمانات تصل إلى 25 سنه )) 
المسوق الحصري ( ابحث العقاريه )",24.790513,46.5825,https://images.aqar.fm/webp/750x0/props/047644627_1782326287286.jpg | https://images.aqar.fm/webp/750x0/props/047644625_1782326301761.jpg | https://images.aqar.fm/webp/750x0/props/047644627_1782326310775.jpg | https://images.aqar.fm/webp/750x0/props/047644626_1782326323524.jpg | https://images.aqar.fm/webp/750x0/props/047644621_1782326332419.jpg | https://images.aqar.fm/webp/750x0/props/047644625_1782326349453.jpg | https://images.aqar.fm/webp/750x0/props/047644624_1782326369018.jpg | https://images.aqar.fm/webp/750x0/props/047644626_1782326376107.jpg | https://images.aqar.fm/webp/750x0/props/047644625_1782326398823.jpg | https://images.aqar.fm/webp/750x0/props/047644625_1782326406794.jpg | https://images.aqar.fm/webp/750x0/props/047644627_1782326428427.jpg | https://images.aqar.fm/webp/750x0/props/047644622_1782326439439.jpg | https://images.aqar.fm/webp/750x0/props/047644625_1782326455022.jpg | https://images.aqar.fm/webp/750x0/props/047644625_1782326562930.jpg | https://images.aqar.fm/webp/750x0/props/047644622_1782326570167.jpg | https://images.aqar.fm/webp/750x0/props/047644621_1782326576695.jpg,16,عبدالعزيز قاسم بن عبدالعزيز العبداللطيف,شركة ابحث العقارية,1,2026-06-24,2026-07-24,2026-08-05,2689,2026-08-23,True,"11,000,000",False,فيلا
6721590,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-رقم-267-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6721590,"فيلا للبيع في شارع رقم 267, حي الملقا, مدينة الرياض, منطقة الرياض",6200000,300,4,,,0,حي الملقا,الرياض,شمال الرياض,"https://maps.app.goo.gl/zKNaFG6t92UuxVeZ8?g_st=aw
للبيع فيلا حي الملقا 
مساحة ٣٠٠م
شارع ١٥م شرقي
الدور لارضي 
استقبال بي الكامل مدخل خاص بي الحريم مطبخ مع غرفة خادمه
غرفة سواق مدخل سياره حمام سباحه نفوره
الدور الاول 
٣ غرف نوم مع صاله 
الدور الثاني 
صاله سطح غرفتين نوم 
المصعد راكب 
البيع ٦ مليون ٢٠٠الف
مباشر المالك",24.803266,46.60276,https://images.aqar.fm/webp/750x0/props/031337583_1780769661419.jpg,1,صالح بن عبيد بن عايش العنزي,مكتب ابداع الصحافة للخدمات العقارية,1,2026-06-06,2026-08-04,2026-08-22,632,2026-08-23,True,"6,200,000",False,فيلا
6816853,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-رقم-481-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6816853,"فيلا للبيع في شارع رقم 481, حي الملقا, مدينة الرياض, منطقة الرياض",11000000,875,4,5,4,0,حي الملقا,الرياض,شمال الرياض,$5c,24.816596,46.613754,https://images.aqar.fm/webp/750x0/props/000055850_1786464694068.jpg | https://images.aqar.fm/webp/750x0/props/000055850_1786464694069.jpg | https://images.aqar.fm/webp/750x0/props/000055854_1786464694066.jpg | https://images.aqar.fm/webp/750x0/props/000055850_1786464694072.jpg | https://images.aqar.fm/webp/750x0/props/000055855_1786464694075.jpg,5,تركي عبدالله سهل السهلي,مكتب محترفون للعقارات,1,2026-08-11,2026-08-11,2026-08-11,712,2026-08-23,True,"11,000,000",False,فيلا
6685461,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-رقم-199-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6685461,"فيلا للبيع في شارع رقم 199, حي الملقا, مدينة الرياض, منطقة الرياض",14000000,729,,5,5,0,حي الملقا,الرياض,شمال الرياض,"للبيع فيلا مع بنت هاوس فاخره حي الملقا نجد بناء شخصي 

المساحه 730 متر 
شارع جنوبي 18 متر 
العمر جديده 

المميزات : تكييف مركزي الارضي وتكييف مركزي في بعض الغرف ، مصعد ، غرفة سائق ، عرفة خدم و غسيل ، مصعد ، و ايضاً خلف مشروع المكعب مباشره مع اطلاله مميزه مستقبليه 

الفيلا مكونه من :
الحوش مدخل سياره وغرفه حارس مجلس خارجي ومسبح اوفر فلو وحديقه خلفيه

الدور الارضي : مجلس رجال ومغاسل وصاله طعام منعزله وصاله كبيره ومصعد ومطبخ ومجلس نساء مطل على المسبح ودرج داخلي

الدور الاول : صاله كبيره مطله على المسبح و خمس اجنحه نوم ومطبخ جميعها على الصاله

الدور الثاني : استديو منفصل ( مجلس ومطبخ وجناح نوم متكامل ) وقسم شغالات منفصل وسطح خارجي خالي من المكيفات

بنت هاوس:
مدخل مستقل وحوش صغير ومجلس ضيافه وصاله طعام وصاله داخليه ومطبخ ودرج ل 2 اجنه نوم متكامله

تم تركيب جميع ادوات السباكه والكهرباء من اجود الأنواع وأحدث الأدوات يوجد فواتير وضمانات
تم تركيب المكيفات كونسلت مخفي مع تجهيزات الاسبلت 
مع الفواتير والضمانات
الفيلا تحت التنفيذ وعل وشك الانتهاء شهر وتجهز 

المميزات مطل على مشروع المكعب مباشره و يوجد بجانبها ارض محد يقدر يشتريها الا مالك الفيلا فقط 

*البيع 14.000.000 ريال قابل للتفاوض للصامل*

مع المالك 

نستقبل عروضكم وطلباتكم في جميع الاحياء 

للتواصل  :  wa.me/966541431657",24.800384,46.586408,https://images.aqar.fm/webp/750x0/props/037747524_1778085053400.jpg | https://images.aqar.fm/webp/750x0/props/037747527_1778085053412.jpg | https://images.aqar.fm/webp/750x0/props/037747524_1778085053405.jpg | https://images.aqar.fm/webp/750x0/props/037747525_1778085053413.jpg | https://images.aqar.fm/webp/750x0/props/037747526_1778085053409.jpg | https://images.aqar.fm/webp/750x0/props/037747524_1778085091906.jpg | https://images.aqar.fm/webp/750x0/props/037747528_1778085091907.jpg | https://images.aqar.fm/webp/750x0/props/037747520_1778085091938.jpg | https://images.aqar.fm/webp/750x0/props/037747527_1778085091932.jpg | https://images.aqar.fm/webp/750x0/props/037747521_1778085091926.jpg | https://images.aqar.fm/webp/750x0/props/037747522_1778085091939.jpg | https://images.aqar.fm/webp/750x0/props/037747521_1778085091931.jpg | https://images.aqar.fm/webp/750x0/props/037747529_1778085091935.jpg | https://images.aqar.fm/webp/750x0/props/037747522_1778085117507.jpg | https://images.aqar.fm/webp/750x0/props/037747527_1778085117507.jpg | https://images.aqar.fm/webp/750x0/props/037747529_1778085117530.jpg | https://images.aqar.fm/webp/750x0/props/037747527_1778085117530.jpg | https://images.aqar.fm/webp/750x0/props/037747526_1778085117523.jpg | https://images.aqar.fm/webp/750x0/props/037747528_1778085117525.jpg | https://images.aqar.fm/webp/750x0/props/037747520_1778085117527.jpg | https://images.aqar.fm/webp/750x0/props/037747524_1778085117514.jpg | https://images.aqar.fm/webp/750x0/props/037747525_1778085163346.jpg | https://images.aqar.fm/webp/750x0/props/037747529_1778085163352.jpg | https://images.aqar.fm/webp/750x0/props/037747520_1778085163361.jpg | https://images.aqar.fm/webp/750x0/props/037747524_1778085163328.jpg | https://images.aqar.fm/webp/750x0/props/037747522_1778085163362.jpg | https://images.aqar.fm/webp/750x0/props/037747524_1778085163367.jpg | https://images.aqar.fm/webp/750x0/props/037747529_1778085163369.jpg,28,عبدالله عبدالعزيز,شركة الطخيم العالمية,1,2026-05-06,2026-08-02,2026-08-20,3742,2026-08-23,True,"14,000,000",False,فيلا
6726267,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-رقم-310-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6726267,"فيلا للبيع في شارع رقم 310, حي الملقا, مدينة الرياض, منطقة الرياض",10000000,1050,,5,5,11,حي الملقا,الرياض,شمال الرياض,$5c,24.802153,46.601538,https://images.aqar.fm/webp/750x0/props/000376690_1781117904991.jpg | https://images.aqar.fm/webp/750x0/props/000376697_1735485386284.jpg | https://images.aqar.fm/webp/750x0/props/000376695_1735485386205.jpg | https://images.aqar.fm/webp/750x0/props/000376696_1735485386402.jpg | https://images.aqar.fm/webp/750x0/props/000376694_1735485410148.jpg,5,ابراهيم عبدالله ابراهيم المحيسن,مكتب ابراهيم عبدالله ابراهيم المحيسن للعقارات,1,2026-06-09,2026-08-07,2026-08-16,2078,2026-08-23,True,"10,000,000",False,فيلا
6484581,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-رقم-372-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6484581,"فيلا للبيع في شارع رقم 372, حي الملقا, مدينة الرياض, منطقة الرياض",2600000,287,5,5,1,0,حي الملقا,الرياض,شمال الرياض,"للبيع- تاون هاوس  وبنت هاوس بحي الملقا -شمال الرياض 
 

مساحة الوحدة :350 متر مربع 
الشارع :15 شمالي 
المواصفات :
   -4 - 5 غرف نوم ماستر
   - مجلس ( تكيف مخفي)
   - صالة عائلية( تكيف مخفي)
   - موقف داخلية خاصه 
   - مطبخ (تكيف كست)
   - غرفه خادمة 
   - غرفه سائق
   - مصعد
   - تشطيب فاخر
  

تصاميم حديثة وعصرية 
موقع إستراتيجي قريب من جميع الخدمات
الاسعار من 2،600،000 إلى 2،900،000",24.813307,46.597749,https://images.aqar.fm/webp/750x0/props/013275305_1765875201801.jpg | https://images.aqar.fm/webp/750x0/props/013275302_1765875370778.jpg | https://images.aqar.fm/webp/750x0/props/013275301_1765875413907.jpg | https://images.aqar.fm/webp/750x0/props/013275308_1765875450502.jpg | https://images.aqar.fm/webp/750x0/props/013275303_1765875502625.jpg | https://images.aqar.fm/webp/750x0/props/013275302_1765875573395.jpg | https://images.aqar.fm/webp/750x0/props/013275309_1765875598268.jpg | https://images.aqar.fm/webp/750x0/props/013275301_1765875655766.jpg | https://images.aqar.fm/webp/750x0/props/013275308_1765875717899.jpg | https://images.aqar.fm/webp/750x0/props/013275305_1765875768019.jpg | https://images.aqar.fm/webp/750x0/props/013275308_1765875815367.jpg,11,سعود موسى محمد الموسى,,,2025-11-28,2025-11-28,2026-06-29,21896,2026-08-23,True,"2,600,000",False,فيلا
6749712,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-رقم-71-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6749712,"فيلا للبيع في شارع رقم 71, حي الملقا, مدينة الرياض, منطقة الرياض",5800000,369,,0,0,11,حي الملقا,الرياض,شمال الرياض,"🏡 فيلا للبيع في حي الملقا – الرياض
  
المساحة: 369 م²
 العمر: 12 سنة
 عرض الشارع: 15 متر
 الوضع المالي: مرهونة لدى البنك العربي
 📋 تفاصيل ومواصفات الفيلا
🔹 الدور الأرضي:
 ملحق خارجي + مدخل سيارة
 مجلس رجال + مقلط (صالة طعام) + صالة
 دورتان مياه
 مطبخ داخلي + مطبخ خارجي + مستودع
 غرفة خادمة
🔹 الدور الأول:
 4 غرف نوم (كل غرفة ماستر بدورة مياه)
 صالة عائلية
🔹 السطح (شقة مستقلة جديدة):
 غرفتا نوم + صالة + مطبخ
 دورتان مياه + مستودع
 المميزات: مدخل خاص • مصعد • حوش صغير
 
السعر: على السوم

 الترخيص الإعلاني: 7100295137
 
للتواصل: 
أبوعبدالرحمن (((الرقم يظهر عند الضغط على اتصال)))",24.782277,46.591046,https://images.aqar.fm/webp/750x0/props/001306363_1782585848653.jpg | https://images.aqar.fm/webp/750x0/props/001306369_1782585848662.jpg | https://images.aqar.fm/webp/750x0/props/001306360_1782585848663.jpg | https://images.aqar.fm/webp/750x0/props/001306369_1782585848669.jpg | https://images.aqar.fm/webp/750x0/props/001306364_1782585848671.jpg | https://images.aqar.fm/webp/750x0/props/001306361_1782585848671.jpg | https://images.aqar.fm/webp/750x0/props/001306367_1782585848675.jpg,7,عبدالله عبدالرحمن سليمان العميريني,,,2026-06-27,2026-06-27,2026-08-22,892,2026-08-23,True,"5,800,000",False,فيلا
