listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6752595,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملك-عبدالله/شارع-تبراك-حي-الملك-عبدالله-مدينة-الرياض-منطقة-الرياض-6752595,"فيلا للبيع في شارع تبراك, حي الملك عبدالله, مدينة الرياض, منطقة الرياض",3500000,250,4,5,2,11,حي الملك عبدالله,الرياض,شمال الرياض,"� للبيع | فيلا دوبلكس مجددة في حي الملك عبدالله – الرياض

فرصة مميزة لامتلاك فيلا دوبلكس في أحد أرقى أحياء الرياض، بالقرب من حديقة الملك سلمان، أكبر مشروع حدائق حضرية في العالم، بموقع استراتيجي وحي هادئ.

📍 الموقع: حي الملك عبدالله – الرياض
📐 المساحة: 250 م²
✨ الفيلا مجددة بالكامل مع توسعة للمسطحات الداخلية بتشطيبات عالية الجودة.
مكونات الفيلا
🚗 الخارجية:
* مدخل سيارة
* حوش واسع
* غرفة سائق
🏠 الدور الأرضي:
* ملحق
* مجلس رجال
* غرفة طعام مفتوحة على الصالة
* صالة نساء
* مطبخ
🛏️ الدور الأول:
* 4 غرف نوم
* صالة عائلية
* غرفتا ماستر
🌤️ السطح:
* غرفة خادمة
* غرفة غسيل
📞 الثابتي للعقارات
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.731389,46.745497,https://images.aqar.fm/webp/750x0/props/000766055_1782744715787.jpg | https://images.aqar.fm/webp/750x0/props/000766056_1782744753750.jpg | https://images.aqar.fm/webp/750x0/props/000766054_1782744811395.jpg | https://images.aqar.fm/webp/750x0/props/000766057_1782744840821.jpg | https://images.aqar.fm/webp/750x0/props/000766055_1782744873721.jpg | https://images.aqar.fm/webp/750x0/props/000766056_1782744896763.jpg | https://images.aqar.fm/webp/750x0/props/000766055_1782744917372.jpg | https://images.aqar.fm/webp/750x0/props/000766055_1782744940738.jpg | https://images.aqar.fm/webp/750x0/props/000766055_1782744968800.jpg | https://images.aqar.fm/webp/750x0/props/000766051_1782744988357.jpg | https://images.aqar.fm/webp/750x0/props/000766057_1782745034798.jpg | https://images.aqar.fm/webp/750x0/props/000766059_1782745053391.jpg | https://images.aqar.fm/webp/750x0/props/000766059_1782745072589.jpg | https://images.aqar.fm/webp/750x0/props/000766054_1782745120417.jpg | https://images.aqar.fm/webp/750x0/props/000766058_1782745135172.jpg | https://images.aqar.fm/webp/750x0/props/000766059_1782745151528.jpg | https://images.aqar.fm/webp/750x0/props/000766055_1782745164089.jpg | https://images.aqar.fm/webp/750x0/props/000766056_1782745185017.jpg | https://images.aqar.fm/webp/750x0/props/000766055_1782745205478.jpg | https://images.aqar.fm/webp/750x0/props/000766050_1782745220397.jpg | https://images.aqar.fm/webp/750x0/props/000766058_1782745251186.jpg | https://images.aqar.fm/webp/750x0/props/000766050_1782745262047.jpg,22,سلطان حزام تركي الشهري,مكتب سلطان حزام تركي الثابتي الشهري للعقارات,1,2026-06-29,2026-07-28,2026-07-28,1394,2026-08-23,True,"3,500,000",False,فيلا
6736098,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملك-عبدالله/شارع-الورد-حي-الملك-عبدالله-الرياض-منطقة-الرياض-6736098,فيلا للبيع في شارع الورد ، حي الملك عبدالله ، الرياض ، منطقة الرياض,4500000,400,7,5,2,5,حي الملك عبدالله,الرياض,شمال الرياض,"فيلا مساحه 400 واجهه غربيه في حي الملك عبدالله
شارع 30 
قريبه من جامع 
قريبه من طريقه العروبه
قريبه من الدائري الشرقي
قريبه من طريق خربص
حوش كبير وجلسه خارجيه
الدور الارضي 3 غرف و صاله ومطبخ ومستودع وغرفه خادمه
الدور الاول : 4 غرف نوم واحده ماستر كبيره
وصاله واسعه
الدور الثاني : غرفتين واحد كبيره جدا وسطح خارجي",24.731638,46.7435,,,ماجد احمد عبدالله القشعمي,,,2026-06-17,,2026-06-17,173,2026-08-23,False,طلب تسويق,False,فيلا
6755270,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملك-عبدالله/شارع-تبراك-حي-الملك-عبدالله-مدينة-الرياض-منطقة-الرياض-6755270,"فيلا للبيع في شارع تبراك, حي الملك عبدالله, مدينة الرياض, منطقة الرياض",4500000,400,5,5,2,11,حي الملك عبدالله,الرياض,شمال الرياض,"للبيع فيلا مجددة وجاهزة للسكن – حي الملك عبدالله
📍 الموقع: حي الملك عبدالله
📐 المساحة: 400 م²

مواصفات الفيلا:
✅ مدخل سيارة يتسع لـ 3 سيارات أو أكثر
✅ غرفة سائق
✅ مجلس رجال
✅ صالة نساء
✅ مجلس نساء
✅ غرفة طعام
✅ 5 غرف نوم
✅ غرفة خادمة وغرفة غسيل على السطح
✅ الفيلا مجددة بالكامل وجاهزة للسكن

الثابتي للعقارات
📞 ((الرقم يظهر عند الضغط على اتصال))
📞 ((الرقم يظهر عند الضغط على اتصال))

⸻

For Rent | Renovated Villa Ready to Move In – King Abdullah District

📍 Location: King Abdullah District
📐 Area: 400 sqm

Villa Features:
✅ Parking space for 3 or more cars
✅ Driver’s room
✅ Men’s Majlis
✅ Women’s living hall
✅ Women’s Majlis
✅ Dining room
✅ 5 Bedrooms
✅ Maid’s room and laundry room on the rooftop
✅ Fully renovated and ready for immediate occupancy

Al Thabiti Real Estate
📞 ((الرقم يظهر عند الضغط على اتصال))
📞 ((الرقم يظهر عند الضغط على اتصال))",24.731207,46.745033,,,سلطان حزام تركي الشهري,مكتب سلطان حزام تركي الثابتي الشهري للعقارات,1,2026-07-01,2026-07-30,2026-08-09,577,2026-08-23,True,"4,500,000",False,فيلا
6759463,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملك-عبدالله/شارع-النعائم-حي-الملك-عبدالله-مدينة-الرياض-منطقة-الرياض-6759463,"فيلا للبيع في شارع النعائم, حي الملك عبدالله, مدينة الرياض, منطقة الرياض",4500000,400,4,5,2,9,حي الملك عبدالله,الرياض,شمال الرياض,"للبيع | فيلا 400م – حي الملك عبدالله، الرياض
قرب حديقة الملك سلمان | موقع استراتيجي
مدخل سيارة • حوش كبير • غرفة سائق-  جلستين خارجيه 
الأرضي: مجلس رجال، غرفة طعام، صالة، مجلس نساء، مطبخ، مستودع، غرفة خادمة. + عدد 2 دورات مياه
الأول: صالة، 4 غرف نوم (1 ماستر)، عدد 3 دورات مياه.
السطح: غرفتان + دوره مياه 1 + سطح واسع
الثابتي للعقارت

For Sale | 400 sqm Villa – King Abdullah, Riyadh

Prime location near King Salman Park.

Car Entrance • Large Yard • Driver’s Room
Ground: Men’s Majlis, Dining, Family Hall, Women’s Majlis, Kitchen, Store, Maid’s Room.
1st Floor: Lounge, 4 Bedrooms (1 Master), 3 Bathrooms.
Roof: 2 Rooms + Spacious Roof.

Ad License: 7201028599

Al Thabiti Real Estate
📞 ((الرقم يظهر عند الضغط على اتصال))
📞 ((الرقم يظهر عند الضغط على اتصال))",24.731214,46.743454,https://images.aqar.fm/webp/750x0/props/000766053_1783183746663.jpg,1,سلطان حزام تركي الشهري,مكتب سلطان حزام تركي الثابتي الشهري للعقارات,1,2026-07-04,2026-08-02,2026-08-02,1082,2026-08-23,True,"4,500,000",False,فيلا
6644019,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملك-عبدالله/شارع-النعائم-حي-الملك-عبدالله-مدينة-الرياض-منطقة-الرياض-6644019,"فيلا للبيع في شارع النعائم, حي الملك عبدالله, مدينة الرياض, منطقة الرياض",2050000,200,7,1,2,11,حي الملك عبدالله,الرياض,شمال الرياض,"فله دوبلكس حي الملك عبدالله 
الرياض 

المواصفات  :
 المساحة: ٢٠٠م 
عمرها تقريبا ١٣ سنة
شارع ٣٠ 

حوش وملحق خارحي 

الدور الارضي محلس مساحته تقريبا ٧ * ٥
صالة مفتوحة على المقلط 
مطبخ
دورتين مياه 

الدور العلوي : 
٣ غرف نوم 
وحده منهم ماستر بدورة مياه 
والغرفتين بحمام مشترك 
صالة + مطبخ بوفيه صغير 

السطح : 
غرفة غسيل متصلة بغرفة صغيرة 
غرفة شغالة 
صالة مساحتها تقريبا ٤*٥
سطح خارجي
مدخل سيارة بالحوش 

البيع مع الاثاث او بدون

السوم 2,050,000
مع العلم ان الفيلا مرهونة 
السعر شامل الرهن",24.729991,46.744078,https://images.aqar.fm/webp/750x0/props/031532625_1775491350347.jpg | https://images.aqar.fm/webp/750x0/props/031532620_1775491350354.jpg | https://images.aqar.fm/webp/750x0/props/031532622_1775491350272.jpg | https://images.aqar.fm/webp/750x0/props/031532627_1775491350283.jpg,4,يارا حمد صالح الغنيم,,,2026-04-06,2026-04-06,2026-08-21,6780,2026-08-23,True,"2,050,000",False,فيلا
6820135,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملك-عبدالله/شارع-الصدارة-حي-الملك-عبدالله-مدينة-الرياض-منطقة-الرياض-6820135,"فيلا للبيع في شارع الصدارة, حي الملك عبدالله, مدينة الرياض, منطقة الرياض",12000000,1187,,7,3,11,حي الملك عبدالله,الرياض,شمال الرياض,"فيلا فاخرة للبيع بحي الواحة | 1200م² | 7 أجنحة ماستر | زاوية | بجوار حديقة الملك سلمان والمترو | مؤجرة بعقد قائم ومتبقي 5 أشهر.

فيلا استثنائية تجمع بين فخامة التصميم، رحابة المساحات، اكتمال الوثائق النظامية، والموقع الاستراتيجي في قلب الرياض. خيار مثالي للعائلات الباحثة عن سكن فاخر، كما تمثل فرصة استثمارية مميزة بدخل إيجاري قائم وقيمة مستقبلية واعدة.",24.746726,46.727115,https://images.aqar.fm/webp/750x0/props/024492988_1786613307224.jpg | https://images.aqar.fm/webp/750x0/props/024492985_1786613307215.jpg | https://images.aqar.fm/webp/750x0/props/024492989_1786613307229.jpg | https://images.aqar.fm/webp/750x0/props/024492981_1786613307216.jpg | https://images.aqar.fm/webp/750x0/props/024492985_1786613307222.jpg | https://images.aqar.fm/webp/750x0/props/024492983_1786613307218.jpg | https://images.aqar.fm/webp/750x0/props/024492987_1786613307215.jpg | https://images.aqar.fm/webp/750x0/props/024492987_1786613307220.jpg,8,مطلق خلف عبلان الحربي,,,2026-08-13,2026-08-13,2026-08-22,476,2026-08-23,True,"12,000,000",False,فيلا
6581771,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملك-عبدالله/شارع-الازهار-حي-الملك-عبدالله-الرياض-منطقة-الرياض-6581771,"فيلا للبيع في شارع الازهار, حي الملك عبدالله, مدينة الرياض, منطقة الرياض",13000000,750,7,5,3,0,حي الملك عبدالله,الرياض,شمال الرياض,قصر مصغر حديث جديد موديرن في حي الملك عبدالله شرق القصر الملكي على الشارع الرئيسي المؤدي لمدخل قصر الملك من جهة الشرق.  المساحه 750 متر يتوفر فيه نظام حمايه امني عالي حديقه كبيره مقدمة البيت 18 متر يوجد فيه قبو وفناء مفتوح على المسبح و مواقف سيارات,24.725284825715274,46.75190540898912,https://images.aqar.fm/webp/750x0/props/020848656_1770577132794.jpg | https://images.aqar.fm/webp/750x0/props/020848652_1770577132773.jpg | https://images.aqar.fm/webp/750x0/props/020848657_1770577132806.jpg | https://images.aqar.fm/webp/750x0/props/020848650_1770577132794.jpg | https://images.aqar.fm/webp/750x0/props/020848655_1770577132781.jpg | https://images.aqar.fm/webp/750x0/props/020848651_1770577132784.jpg | https://images.aqar.fm/webp/750x0/props/020848652_1770577132793.jpg,7,خالد بن عبدالعزيز بن محمد النمر,,,2026-02-08,2026-02-10,2026-08-17,7432,2026-08-23,True,"13,000,000",False,فيلا
6481686,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملك-عبدالله/شارع-الطيف-حي-الملك-عبدالله-مدينة-الرياض-منطقة-الرياض-6481686,"فيلا للبيع في شارع الطيف, حي الملك عبدالله, مدينة الرياض, منطقة الرياض",3500000,259,3,,,0,حي الملك عبدالله,الرياض,شمال الرياض,"مشروع عليا بلص
تقع الفلل في حي الملك عبد الله 
مساحة الفيلا 260 م2
تصميم عصري يتناسب مع احتياجات الاسرة 
3 غرف نوم ، 3 دورات مياه 
تكييف مركزي 
حدائق ومساحات خضراء
ارضيات رخامية 
مصاعد داخلية 
ضمانات تصل الى 25 سنة 
للاستفسار 
((رقم المعلن يظهر عند التواصل))",24.725668,46.75375,https://images.aqar.fm/webp/750x0/props/034868620_1764139152471.jpg | https://images.aqar.fm/webp/750x0/props/034868625_1765721104669.jpg | https://images.aqar.fm/webp/750x0/props/034868629_1765721104679.jpg | https://images.aqar.fm/webp/750x0/props/034868627_1765721104702.jpg | https://images.aqar.fm/webp/750x0/props/034868626_1765721104710.jpg | https://images.aqar.fm/webp/750x0/props/034868623_1765721105924.jpg | https://images.aqar.fm/webp/750x0/props/034868624_1765721104690.jpg | https://images.aqar.fm/webp/750x0/props/034868628_1765721104694.jpg | https://images.aqar.fm/webp/750x0/props/034868625_1765721104703.jpg,9,مهند سليمان محمد السيف,نواة للاستثمار العقاري مساهمة مقفلة,1,2025-11-26,2025-11-26,2026-08-17,10295,2026-08-23,True,"3,500,000",False,فيلا
6732767,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملك-عبدالله/حي-الملك-عبدالله-الرياض-منطقة-الرياض-6732767,"فيلا للبيع في شارع القمر, حي الملك عبدالله, مدينة الرياض, منطقة الرياض",4500000,387,7,5,0,11,حي الملك عبدالله,الرياض,شمال الرياض,,24.730125,46.746471,https://images.aqar.fm/webp/750x0/props/013320210_1781454882551.jpg,1,عادل بن محمد بن عبدالرحمن النعيم,,,2026-06-14,2026-06-15,2026-06-14,1433,2026-08-23,True,"4,500,000",False,فيلا
6398813,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الملك-عبدالله/شارع-النعائم-حي-الملك-عبدالله-الرياض-منطقة-الرياض-6398813,"فيلا للبيع في شارع النعائم, حي الملك عبدالله, مدينة الرياض, منطقة الرياض",5000000,400,6,5,3,5,حي الملك عبدالله,الرياض,شمال الرياض,فيلا مستقله في حي الملك عبدالله مساحتها 400 موقف داخلي يشيل سيارتين و مجلس كبير و حوش فيه جلسات خارجية,24.73074,46.743637,https://images.aqar.fm/webp/750x0/props/020848658_1758883186850.jpg | https://images.aqar.fm/webp/750x0/props/020848658_1758883186766.jpg | https://images.aqar.fm/webp/750x0/props/020848655_1758883186787.jpg | https://images.aqar.fm/webp/750x0/props/020848652_1758883186807.jpg | https://images.aqar.fm/webp/750x0/props/020848652_1758883186808.jpg | https://images.aqar.fm/webp/750x0/props/020848656_1758883186822.jpg,6,خالد بن عبدالعزيز بن محمد النمر,,,2025-09-26,2025-09-26,2026-08-14,5239,2026-08-23,True,"5,000,000",False,فيلا
