listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6523405,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-السيل-الكبير-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6523405,"فيلا للبيع في شارع السيل الكبير, حي المهدية, مدينة الرياض, منطقة الرياض",2150000,378,5,,,0,حي المهدية,الرياض,غرب الرياض,فيلا فاخرة جديدة بمساحة 225م قريبة من جميع الخدمات والمرافق,24.660495,46.519572,https://images.aqar.fm/webp/750x0/props/041041978_1766855791383.jpg | https://images.aqar.fm/webp/750x0/props/041041977_1766855791389.jpg | https://images.aqar.fm/webp/750x0/props/041041972_1766855791392.jpg | https://images.aqar.fm/webp/750x0/props/041041973_1766855791394.jpg | https://images.aqar.fm/webp/750x0/props/041041970_1766855791402.jpg | https://images.aqar.fm/webp/750x0/props/041041977_1766855791412.jpg | https://images.aqar.fm/webp/750x0/props/041041977_1766855791415.jpg | https://images.aqar.fm/webp/750x0/props/041041975_1766855791420.jpg | https://images.aqar.fm/webp/750x0/props/041041976_1766855791450.jpg | https://images.aqar.fm/webp/750x0/props/041041970_1766855791422.jpg | https://images.aqar.fm/webp/750x0/props/041041972_1766855791443.jpg | https://images.aqar.fm/webp/750x0/props/041041973_1766855791441.jpg | https://images.aqar.fm/webp/750x0/props/041041974_1766855791531.jpg | https://images.aqar.fm/webp/750x0/props/041041979_1766855791488.jpg | https://images.aqar.fm/webp/750x0/props/041041978_1766855791559.jpg | https://images.aqar.fm/webp/750x0/props/041041974_1766855791490.jpg | https://images.aqar.fm/webp/750x0/props/041041978_1766855791494.jpg | https://images.aqar.fm/webp/750x0/props/041041970_1766855791493.jpg | https://images.aqar.fm/webp/750x0/props/041041973_1766855791576.jpg | https://images.aqar.fm/webp/750x0/props/041041971_1766855791520.jpg | https://images.aqar.fm/webp/750x0/props/041041970_1766855791502.jpg | https://images.aqar.fm/webp/750x0/props/041041979_1766855791511.jpg,22,يوسف جهز محمد العتيبي,شركة نوس العقارية شركة شخص واحد,1,2025-12-27,2025-12-27,2026-07-28,60,2026-08-23,True,"2,150,000",False,فيلا
6482641,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-مليح-بن-طريف-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6482641,"فيلا للبيع في شارع مليح بن طريف, حي المهدية, مدينة الرياض, منطقة الرياض",2900000,300,6,,,0,حي المهدية,الرياض,غرب الرياض,"فيلا بتصميم حديث 
المساحة 300 متر 
الموقع 
حي المهدية",24.669202,46.549614,https://images.aqar.fm/webp/750x0/props/049685757_1764181724163.jpg | https://images.aqar.fm/webp/750x0/props/049685759_1764181739659.jpg | https://images.aqar.fm/webp/750x0/props/049685751_1764181739643.jpg | https://images.aqar.fm/webp/750x0/props/049685758_1764181739637.jpg | https://images.aqar.fm/webp/750x0/props/049685753_1764181739706.jpg | https://images.aqar.fm/webp/750x0/props/049685750_1764181739642.jpg | https://images.aqar.fm/webp/750x0/props/049685759_1764181739624.jpg | https://images.aqar.fm/webp/750x0/props/049685750_1764181739640.jpg | https://images.aqar.fm/webp/750x0/props/049685753_1764181817226.jpg | https://images.aqar.fm/webp/750x0/props/049685750_1764181817235.jpg | https://images.aqar.fm/webp/750x0/props/049685752_1764181817235.jpg | https://images.aqar.fm/webp/750x0/props/049685757_1764181817233.jpg | https://images.aqar.fm/webp/750x0/props/049685754_1764181817225.jpg | https://images.aqar.fm/webp/750x0/props/049685755_1764181817243.jpg | https://images.aqar.fm/webp/750x0/props/049685758_1764181817239.jpg | https://images.aqar.fm/webp/750x0/props/049685750_1764181817247.jpg | https://images.aqar.fm/webp/750x0/props/049685756_1764181836908.jpg | https://images.aqar.fm/webp/750x0/props/049685754_1764181836940.jpg | https://images.aqar.fm/webp/750x0/props/049685757_1764181836931.jpg | https://images.aqar.fm/webp/750x0/props/049685750_1764181836948.jpg | https://images.aqar.fm/webp/750x0/props/049685752_1764181836911.jpg | https://images.aqar.fm/webp/750x0/props/049685753_1764181836920.jpg | https://images.aqar.fm/webp/750x0/props/049685755_1764181836933.jpg | https://images.aqar.fm/webp/750x0/props/049685755_1764181836925.jpg | https://images.aqar.fm/webp/750x0/props/049685755_1764181850833.jpg,25,يوسف جهز محمد العتيبي,شركة نوس العقارية شركة شخص واحد,1,2025-11-26,2025-11-26,2026-08-07,197,2026-08-23,True,"2,900,000",False,فيلا
6352927,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أحمد-بن-الحسن-الأنصاري-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6352927,"فيلا للبيع في شارع أحمد بن الحسن الأنصاري, حي المهدية, مدينة الرياض, منطقة الرياض",1900000,225,6,5,3,0,حي المهدية,الرياض,غرب الرياض,"🏡 للبيع فلة فاخرة 225م | حي المهدية - شمال غرب الرياض

الواجهه  : 25 شمالي 10 شرقي 
الدور الارضي :
مجلس رجال 
مقلط 
صاله واسعه 
مجلس نساء 
مطبخ 
مصعد موسس
تكييف مركزي 
الدور الاول :
3 غرف نوم ماستر 
+ بلكونات 

صاله 
الدور الثاني : 
٢ غرفة ماستر + بلكونات
سطح  
صاله واسعه

تصميم مودرن وتشطيب راقٍ فيها جميع
 الضمانات",24.668056,46.537356,https://images.aqar.fm/webp/750x0/props/046554055_1756254245434.jpg | https://images.aqar.fm/webp/750x0/props/046554059_1756315519760.jpg | https://images.aqar.fm/webp/750x0/props/046554053_1756315519773.jpg | https://images.aqar.fm/webp/750x0/props/046554058_1756315519774.jpg | https://images.aqar.fm/webp/750x0/props/046554050_1756315519779.jpg | https://images.aqar.fm/webp/750x0/props/046554056_1756315519835.jpg | https://images.aqar.fm/webp/750x0/props/046554059_1756315519796.jpg | https://images.aqar.fm/webp/750x0/props/046554055_1756315519839.jpg | https://images.aqar.fm/webp/750x0/props/046554058_1756315519772.jpg | https://images.aqar.fm/webp/750x0/props/046554059_1756315571730.jpg | https://images.aqar.fm/webp/750x0/props/046554056_1756315571764.jpg | https://images.aqar.fm/webp/750x0/props/046554054_1756315571734.jpg | https://images.aqar.fm/webp/750x0/props/046554055_1756315571764.jpg | https://images.aqar.fm/webp/750x0/props/046554056_1756315571777.jpg | https://images.aqar.fm/webp/750x0/props/046554051_1756315571772.jpg | https://images.aqar.fm/webp/750x0/props/046554052_1756315571769.jpg,16,نوره عيد,مكتب فاس المتحدة للخدمات العقارية,1,2025-08-27,2025-08-27,2026-08-21,225,2026-08-23,True,"1,900,000",False,فيلا
6531002,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-السيل-الكبير-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6531002,"فيلا للبيع في شارع السيل الكبير, حي المهدية, مدينة الرياض, منطقة الرياض",3800000,360,6,,,0,حي المهدية,الرياض,غرب الرياض,"فيلا حي المهدية

الواجهة شرقية

عرض الشارع 20

الغرف6",24.660531,46.519551,https://images.aqar.fm/webp/750x0/props/050336486_1767373460807.jpg | https://images.aqar.fm/webp/750x0/props/050336487_1767373467676.jpg | https://images.aqar.fm/webp/750x0/props/050336487_1767373467776.jpg | https://images.aqar.fm/webp/750x0/props/050336489_1767373467687.jpg | https://images.aqar.fm/webp/750x0/props/050336482_1767373467772.jpg | https://images.aqar.fm/webp/750x0/props/050336484_1767373467674.jpg | https://images.aqar.fm/webp/750x0/props/050336481_1767373467686.jpg | https://images.aqar.fm/webp/750x0/props/050336486_1767373467675.jpg | https://images.aqar.fm/webp/750x0/props/050336480_1767373467692.jpg | https://images.aqar.fm/webp/750x0/props/050336480_1767373470915.jpg | https://images.aqar.fm/webp/750x0/props/050336483_1767373475244.jpg | https://images.aqar.fm/webp/750x0/props/050336486_1767373475267.jpg | https://images.aqar.fm/webp/750x0/props/050336482_1767373475242.jpg | https://images.aqar.fm/webp/750x0/props/050336484_1767373475243.jpg | https://images.aqar.fm/webp/750x0/props/050336480_1767373475271.jpg | https://images.aqar.fm/webp/750x0/props/050336488_1767373475258.jpg | https://images.aqar.fm/webp/750x0/props/050336484_1767373475288.jpg | https://images.aqar.fm/webp/750x0/props/050336484_1767373475252.jpg | https://images.aqar.fm/webp/750x0/props/050336480_1767373475293.jpg | https://images.aqar.fm/webp/750x0/props/050336481_1767373475305.jpg | https://images.aqar.fm/webp/750x0/props/050336480_1767373475343.jpg | https://images.aqar.fm/webp/750x0/props/050336489_1767373475355.jpg | https://images.aqar.fm/webp/750x0/props/050336487_1767373475291.jpg | https://images.aqar.fm/webp/750x0/props/050336486_1767373475292.jpg | https://images.aqar.fm/webp/750x0/props/050336483_1767373475360.jpg,25,يوسف جهز محمد العتيبي,شركة نوس العقارية شركة شخص واحد,1,2026-01-02,2026-01-02,2026-07-28,56,2026-08-23,True,"3,800,000",False,فيلا
6761311,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-كلثوم-بن-أوفى-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6761311,"فيلا للبيع في شارع كلثوم بن أوفى, حي المهدية, مدينة الرياض, منطقة الرياض",1700000,200,5,,,5,حي المهدية,الرياض,غرب الرياض,"*فيلا مساحه 200 زاويه* 
السعر مليون 700

 5 سنوات 
الواجهه شرقية وشمالية 
على شارعين شرق  20 
وشمالي 20 

الدور الأرضي :
مجلس + مقلط + صالتين + مطبخ + دورتين مياه 

الدور الاول :
غرفة نوم ماستر مع ملابس + غرفتين نوم + دورتين مياه 

الدور الثاني :
غرفتين + دورة مياه
البيت حر+ اتمام بناء",24.641009,46.495344,https://images.aqar.fm/webp/750x0/props/037581952_1783284476829.jpg | https://images.aqar.fm/webp/750x0/props/037581952_1783284477915.jpg | https://images.aqar.fm/webp/750x0/props/037581955_1783284476069.jpg | https://images.aqar.fm/webp/750x0/props/037581955_1783284476318.jpg | https://images.aqar.fm/webp/750x0/props/037581958_1783284476419.jpg | https://images.aqar.fm/webp/750x0/props/037581957_1783284476355.jpg | https://images.aqar.fm/webp/750x0/props/037581954_1783284476542.jpg | https://images.aqar.fm/webp/750x0/props/037581956_1783284476643.jpg | https://images.aqar.fm/webp/750x0/props/037581951_1783284476682.jpg | https://images.aqar.fm/webp/750x0/props/037581955_1783284476760.jpg | https://images.aqar.fm/webp/750x0/props/037581957_1783284476827.jpg | https://images.aqar.fm/webp/750x0/props/037581951_1783284476916.jpg | https://images.aqar.fm/webp/750x0/props/037581959_1783284476927.jpg | https://images.aqar.fm/webp/750x0/props/037581956_1783284477035.jpg | https://images.aqar.fm/webp/750x0/props/037581957_1783284477036.jpg | https://images.aqar.fm/webp/750x0/props/037581951_1783284477127.jpg | https://images.aqar.fm/webp/750x0/props/037581952_1783284477162.jpg | https://images.aqar.fm/webp/750x0/props/037581954_1783284477264.jpg | https://images.aqar.fm/webp/750x0/props/037581956_1783284477328.jpg | https://images.aqar.fm/webp/750x0/props/037581954_1783284477445.jpg | https://images.aqar.fm/webp/750x0/props/037581959_1783284477485.jpg | https://images.aqar.fm/webp/750x0/props/037581959_1783284477561.jpg | https://images.aqar.fm/webp/750x0/props/037581957_1783284477623.jpg | https://images.aqar.fm/webp/750x0/props/037581950_1783284477630.jpg | https://images.aqar.fm/webp/750x0/props/037581951_1783284477756.jpg,25,ابراهيم ناصر بن ابراهيم التميمي,مؤسسة مكتب الوان الينابيع للعقارات,1,2026-07-05,2026-08-04,2026-08-23,870,2026-08-23,True,"1,700,000",False,فيلا
6754714,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-يحيى-بن-خالد-البرمكي-حي-المهدية-الرياض-منطقة-الرياض-6754714,فيلا للبيع في شارع يحيى بن خالد البرمكي ، حي المهدية ، الرياض ، منطقة الرياض,1700000,200,7,5,4,6,حي المهدية,الرياض,غرب الرياض,"* النوع :فيلا دبلكس للبيع 
*  الحي : المهدية
*  المساحة : 200م
*  الشارع  30م جنوبي امام جامع 
* السعر :  1.700.000 - شامل الرهن ( قابل للتفاوض )
* العمر : 6 سنوات 
* الرهن : 950.000
* 
الوصف :-
* فيلا دبلكس اربعة ادوار  
* مناسب للاستثمار
*  والسكن للعوائل الكبيرة 
* الفله مؤجر و ينتهي عقد الايجار بعد ٣ اشهر 

الدور الارضي عبارة عن :-
 مشب خارجى ، حوش ،مجلس ، مقلط ، صاله ، مطبخ 

الدور الاول عباره عن :-
2 غرف نوم ماستر, 2 غرف نوم , دوره مياه , صاله 

الدور الثاني عباره عن :-
2 غرف نوم, دوره مياه , صاله ، سطح واسع",24.639664,46.483261,https://images.aqar.fm/webp/750x0/props/013614943_1782861747231.jpg | https://images.aqar.fm/webp/750x0/props/013614947_1782861747231.jpg | https://images.aqar.fm/webp/750x0/props/013614946_1782861747274.jpg | https://images.aqar.fm/webp/750x0/props/013614943_1782861747271.jpg | https://images.aqar.fm/webp/750x0/props/013614944_1782861747240.jpg,5,أحمد ابراهيم حسن جماح,,,2026-06-30,,2026-06-30,68,2026-08-23,False,طلب تسويق,False,فيلا
6638072,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-يحيي-بن-خالد-البرمكي-حي-المهدية-الرياض-منطقة-الرياض-6638072,فيلا للبيع في شارع يحيي بن خالد البرمكي ، حي المهدية ، الرياض ، منطقة الرياض,6000000,500,7,5,5,5,حي المهدية,الرياض,غرب الرياض,,24.640343,46.484169,,,عالي الشهري,,,2026-04-01,,2026-06-06,85,2026-08-23,False,طلب تسويق,False,فيلا
6504126,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/حي-المهدية-مدينة-الرياض-منطقة-الرياض-6504126,"فيلا للبيع في حي المهدية, مدينة الرياض, منطقة الرياض",2900000,375,6,,,0,حي المهدية,الرياض,غرب الرياض,"✨ فيلا فاخرة للبيع – الرياض | حي المهدية ✨

للبيع فيلا راقية بتصميم عصري وتشطيب فاخر، تقع في أحد أرقى مواقع حي المهدية، وتجمع بين الفخامة والراحة وتلبية متطلبات السكن العصري.

🔹 مواصفات الفيلا:
	•	6 غرف نوم
	•	مجلس واسع
	•	صالة طعام راقية
	•	8 دورات مياه
	•	تشطيب فاخر بجودة عالية
	•	الفيلا جديدة تماماً ولم تُسكن

🔹 الضمانات:
	•	ضمانات كاملة على السباكة
	•	ضمانات على الكهرباء
	•	ضمانات على العزل
	•	بناء بإشراف هندسي وجودة عالية

🔹 مميزات إضافية:
	•	توزيع داخلي مميز يحقق الخصوصية
	•	إضاءة طبيعية ممتازة
	•	موقع قريب من جميع الخدمات والطرق الرئيسية
	•	تصميم حديث يواكب معايير الفلل الفاخرة

فرصة مميزة للراغبين بالسكن الراقي في واحد من أفضل أحياء شمال غرب الرياض",24.633433,46.490175,https://images.aqar.fm/webp/750x0/props/027286035_1765563776939.jpg | https://images.aqar.fm/webp/750x0/props/027286031_1765563789780.jpg | https://images.aqar.fm/webp/750x0/props/027286032_1765563800641.jpg | https://images.aqar.fm/webp/750x0/props/027286035_1765563800623.jpg | https://images.aqar.fm/webp/750x0/props/027286036_1765563800698.jpg | https://images.aqar.fm/webp/750x0/props/027286034_1765563800626.jpg | https://images.aqar.fm/webp/750x0/props/027286038_1765563800628.jpg | https://images.aqar.fm/webp/750x0/props/027286033_1765563800619.jpg | https://images.aqar.fm/webp/750x0/props/027286031_1765563800695.jpg | https://images.aqar.fm/webp/750x0/props/027286034_1765563800612.jpg | https://images.aqar.fm/webp/750x0/props/027286032_1765563808617.jpg | https://images.aqar.fm/webp/750x0/props/027286035_1765563808618.jpg | https://images.aqar.fm/webp/750x0/props/027286035_1765563808518.jpg | https://images.aqar.fm/webp/750x0/props/027286038_1765563808635.jpg | https://images.aqar.fm/webp/750x0/props/027286035_1765563808605.jpg,15,يوسف جهز محمد العتيبي,شركة نوس العقارية شركة شخص واحد,1,2025-12-12,2025-12-12,2026-07-28,177,2026-08-23,True,"2,900,000",False,فيلا
6587126,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أبي-الشيخ-الأصبهاني-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6587126,"فيلا للبيع في شارع أبي الشيخ الأصبهاني, حي المهدية, مدينة الرياض, منطقة الرياض",2000000,225,3,5,2,0,حي المهدية,الرياض,غرب الرياض,"—*تفاصيل الفيـلا * —

المساحة 225م 
مودرن + تشطيب فاخر
 الشارع 20

الدور الأرضي : 
مدخل رجال 
ومدخل نساء 
مدخل سيارة 
مجلس رجال 
صالة طعام 
صالة عائلية
حديقة خلفي
مطبخ + مستودع


*الدور الاول:
3أجنحة نوم ماستر 
وصاله 
ارتداد جانبي

*الدور الثاني:.
جناح نوم ماستر
غرفة خادمه + منطقة غسيل
سطح واسع
    
* مميزات للمشروع *
قريب من مجمع تعليمي 
قريب من حديقة و مسجد 

    يشرفنا زيارتك للمشروع 
*كما يوجد مشاريع متعدده في حي المهدية وباسعار مختلفة*

للمزيد من المعلومات وزيارة الفيلا

للتواصل سلمان ابو سلطان | ((رقم المعلن يظهر عند التواصل))
ملحوظه الموقع غير دقيق📍",24.661648,46.527974,https://images.aqar.fm/webp/750x0/props/038544433_1770869945895.jpg | https://images.aqar.fm/webp/750x0/props/038544430_1770869945879.jpg | https://images.aqar.fm/webp/750x0/props/038544436_1770869978500.jpg | https://images.aqar.fm/webp/750x0/props/038544431_1770869978496.jpg | https://images.aqar.fm/webp/750x0/props/038544439_1770869978516.jpg | https://images.aqar.fm/webp/750x0/props/038544433_1770869978492.jpg | https://images.aqar.fm/webp/750x0/props/038544438_1770869978523.jpg | https://images.aqar.fm/webp/750x0/props/038544434_1770869978477.jpg | https://images.aqar.fm/webp/750x0/props/038544431_1770869978501.jpg | https://images.aqar.fm/webp/750x0/props/038544433_1770870006077.jpg | https://images.aqar.fm/webp/750x0/props/038544430_1770870006086.jpg | https://images.aqar.fm/webp/750x0/props/038544431_1770870006079.jpg | https://images.aqar.fm/webp/750x0/props/038544437_1770870006087.jpg | https://images.aqar.fm/webp/750x0/props/038544435_1770870006082.jpg | https://images.aqar.fm/webp/750x0/props/038544438_1770870006078.jpg | https://images.aqar.fm/webp/750x0/props/038544433_1770870006076.jpg | https://images.aqar.fm/webp/750x0/props/038544437_1770870006101.jpg | https://images.aqar.fm/webp/750x0/props/038544437_1770870025608.jpg | https://images.aqar.fm/webp/750x0/props/038544432_1770870025591.jpg | https://images.aqar.fm/webp/750x0/props/038544430_1770870025591.jpg | https://images.aqar.fm/webp/750x0/props/038544439_1770870025590.jpg | https://images.aqar.fm/webp/750x0/props/038544436_1770870025586.jpg | https://images.aqar.fm/webp/750x0/props/038544435_1770870025601.jpg | https://images.aqar.fm/webp/750x0/props/038544435_1770870025604.jpg | https://images.aqar.fm/webp/750x0/props/038544437_1770870025607.jpg | https://images.aqar.fm/webp/750x0/props/038544438_1770870050424.jpg | https://images.aqar.fm/webp/750x0/props/038544438_1770870050406.jpg | https://images.aqar.fm/webp/750x0/props/038544430_1770870050402.jpg | https://images.aqar.fm/webp/750x0/props/038544436_1770870050427.jpg,29,نايف بن عبدالله بن سلطان بن سفران,مؤسسة موافقة العقارية,1,2026-02-12,2026-02-12,2026-06-16,326,2026-08-23,True,"2,000,000",False,فيلا
6816965,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-عبدالجبار-بن-الورد-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6816965,"فيلا للبيع في شارع عبدالجبار بن الورد, حي المهدية, مدينة الرياض, منطقة الرياض",3600000,450,6,5,3,0,حي المهدية,الرياض,غرب الرياض,"✨ فرصة مميزة مع بنيان العاصمة العقارية ✨
فيلا مودرن بحي المهدية بمساحة450م² فقط لعشّاق السكن الراقي 🌟

🔹 تصميم عصري حديث
🔹 تشطيبات راقية وجودة عالية
🔹 موقع استراتيجي قريب من جميع الخدمات
 

💰 السعر منافس – وفرصتك محدودة!
📍 حي المهدية – الرياض


📞 للتواصل: ((الرقم يظهر عند الضغط على اتصال))

⸻


لزيارة المشروع حياكم الله 👇

♻️.   *[ بنيان العاصمة العقارية ]

*بـنـيـان الـعـاصـمـة العـقـاريـة*
فيلا  فاخرة
( بدء البيع )
مساحه 450   
شارع 15 
واجه 
شمالية  

الدور الارضي ⤵️
غرفه سائق 
مدخل رجال 
مدخل نساء
مدخل سيارة
مجلس رجال
صالة طعام  
دوراة مياة 
صالة 
فناء جانبي
فناء خلفي 
تأسيس مصعد 
مطبخ 
مستودع 
➖
الدور الاول ⤵️
          🛏️         
5️⃣- غرفة نوم ماستر  
    🛋️
صاله 
➖
الدور الثاني⤵️
          🛏️  
2️⃣ -غرفتين نوم 
     🛋️
- صاله 
سطح 
[ابو سحاب]
   اتصال : 📞
((الرقم يظهر عند الضغط على اتصال))",24.656252,46.522446,https://images.aqar.fm/webp/750x0/props/054253726_1786467682788.jpg | https://images.aqar.fm/webp/750x0/props/054253729_1786467737014.jpg | https://images.aqar.fm/webp/750x0/props/054253725_1786467737003.jpg | https://images.aqar.fm/webp/750x0/props/054253723_1786467737012.jpg | https://images.aqar.fm/webp/750x0/props/054253729_1786467736993.jpg | https://images.aqar.fm/webp/750x0/props/054253726_1786467736985.jpg | https://images.aqar.fm/webp/750x0/props/054253728_1786467736958.jpg | https://images.aqar.fm/webp/750x0/props/054253723_1786467737011.jpg | https://images.aqar.fm/webp/750x0/props/054253727_1786467736964.jpg | https://images.aqar.fm/webp/750x0/props/054253726_1786467755428.jpg | https://images.aqar.fm/webp/750x0/props/054253727_1786467755399.jpg | https://images.aqar.fm/webp/750x0/props/054253722_1786467755412.jpg | https://images.aqar.fm/webp/750x0/props/054253724_1786467755418.jpg | https://images.aqar.fm/webp/750x0/props/054253726_1786467755408.jpg | https://images.aqar.fm/webp/750x0/props/054253726_1786467755416.jpg | https://images.aqar.fm/webp/750x0/props/054253723_1786467755398.jpg | https://images.aqar.fm/webp/750x0/props/054253725_1786467755460.jpg,17,خالد فيصل,مؤسسة بنيان العاصمة العقارية,1,2026-08-11,2026-08-11,2026-08-23,18,2026-08-23,True,"3,600,000",False,فيلا
