listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6406793,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-رقم-360-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6406793,"فيلا للبيع في شارع رقم 360, حي المونسية, مدينة الرياض, منطقة الرياض",2700000,310,7,,,3,حي المونسية,الرياض,شرق الرياض,"فيلا موقع مميز جداً 
مستخدمة في حي المونسية قريبة من جميع الخدمات والمدارس والطرق الرئيسة ومقابل حديقة 
مساحة ٣١٠ متر واجهتين شرقيه وجنوبية على شارعين مساحة كل شارع ١٥ متر فيلا درج صاله وشقتين الفيلا تتكون من مجلس رجال ومقلط وصاله كبيره ومجلس نساء وغرفة كبار السن ومطبخ وثلاث دورات مياة الدور الثاني يتكون من ٣ غرف نوم وصاله صغيره ودورتين مياة 
الدور الثالث غرفة خادمة مع السطح 
الشقق تتكون من مدخلين (مجلس ومطبخ وصاله وغرفتين نوم ودورتين مياة ثنتين )
لكل شقة 
مؤجرة بالكامل بدخل 150.000 الف سنوي قابلة للزيادة 
المبلغ المطلوب 2.700.000
باقي للبنك 1200000 فقط",24.837353,46.77593,https://images.aqar.fm/webp/750x0/props/015615658_1759332780215.jpg | https://images.aqar.fm/webp/750x0/props/015615656_1759332780206.jpg | https://images.aqar.fm/webp/750x0/props/015615659_1759332780195.jpg,3,نوير القحطاني,مكتب بيت السعادة للعقارات,1,2025-10-01,2026-02-14,2026-08-20,324,2026-08-23,True,"2,700,000",False,فيلا
6783877,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-أبي-الكرم-العكبري-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6783877,"فيلا للبيع في شارع أبي الكرم العكبري, حي المونسية, مدينة الرياض, منطقة الرياض",2300000,250,6,5,4,0,حي المونسية,الرياض,شرق الرياض,"▪️ للبيع فيلا درج داخلي بدون شقق 
▪️ حي المونسيه الغربي 
 ▪️ شرق الرياض
▪️ موقع مميز بالقرب من جميع الخدمات 
▪️ بالقرب من طريق الامير محمد بن سلمان 
▪️ بالقرب من طريق الدمام 
▪️ واجهه شرقيه 
▪️ شارع 15م
📐 مساحه 250م 
📐 مسطح بناء 400م  
✨جاهزيه العقار
✨جاهزيه المصعد 
=========================
☑️تفاصيل العقار 
تفاصيل الدور الارضي للفيلا 

▪️دخول سمارت 
▪️مدخل سياره وحوش
▪️مدخلين للفيلا 
▪️مجلس رجال 
▪️صاله طعام 
▪️صاله نساء  
▪️مطبخ
▪️جلسه خلفيه 
▪️2دورة مياه بالأرضي 
=========================

⬇️تفاصيل الدور الاول للفيلا 

▪️صاله مع بلكونه 
▪️جناح نوم رئيسي 
▪️غرفه ماستر 
▪️غرفتين  نوم علي دورة مياه 
=================
☑️تفاصيل الملحق العلوي 
▪️صاله العاب 
▪️غرفه نوم 
▪️غرفه خادمه غرفه غسيل 
▪️سطح خاص مع جلسه 
==================
▪️عدد غرف النوم بالفيلا 5
▪️عدد دورات المياه بالفيلا 7

=========================

‏‎✅الضمانات
▪️_تامين التعاونيه 
‏‎_ضمانات شامله علي جميع الأعمال
_ضمان السباكه 25عام انابيب الخضراء 
_ضمان الكهرباء 15عام الفنار بالاضافه لضمان القواطع والافياش 
_ضمان العوازل 10سنوات 
_ضمان الابواب 10سنوات 
_ضمان الخزان العلوي 5سنوات 
_______________________
‏‎✅مميزات الشركه 
‏‎_تغطيه شامله لاحدث العروض العقاريه شرق الرياض 
‏‎_تخليص الإجراءات البنكيه بجميع أنحاء المملكه 
‏‎_نتعامل مع جميع البنوك
‏‎_توفير الدفعه الاولي
‏‎_تسديد مديونيه 
__________‏
للتواصل والاستفسار 
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط علي الاتصال))",24.821639,46.754568,https://images.aqar.fm/webp/750x0/props/048964203_1784653126250.jpg | https://images.aqar.fm/webp/750x0/props/048964207_1784653126252.jpg | https://images.aqar.fm/webp/750x0/props/048964209_1784653140184.jpg | https://images.aqar.fm/webp/750x0/props/048964204_1784653140152.jpg | https://images.aqar.fm/webp/750x0/props/048964203_1784653140180.jpg | https://images.aqar.fm/webp/750x0/props/048964202_1784653140184.jpg | https://images.aqar.fm/webp/750x0/props/048964204_1784653149044.jpg | https://images.aqar.fm/webp/750x0/props/048964203_1784653149056.jpg | https://images.aqar.fm/webp/750x0/props/048964209_1784653159369.jpg | https://images.aqar.fm/webp/750x0/props/048964208_1784653159354.jpg | https://images.aqar.fm/webp/750x0/props/048964200_1784653170380.jpg | https://images.aqar.fm/webp/750x0/props/048964208_1784653181980.jpg | https://images.aqar.fm/webp/750x0/props/048964207_1784653182020.jpg | https://images.aqar.fm/webp/750x0/props/048964207_1784653182022.jpg | https://images.aqar.fm/webp/750x0/props/048964204_1784653181988.jpg | https://images.aqar.fm/webp/750x0/props/048964202_1784653192633.jpg | https://images.aqar.fm/webp/750x0/props/048964200_1784653192619.jpg | https://images.aqar.fm/webp/750x0/props/048964201_1784653219066.jpg | https://images.aqar.fm/webp/750x0/props/048964209_1784653219070.jpg | https://images.aqar.fm/webp/750x0/props/048964200_1784653219072.jpg | https://images.aqar.fm/webp/750x0/props/048964206_1784653219076.jpg | https://images.aqar.fm/webp/750x0/props/048964202_1784653219074.jpg | https://images.aqar.fm/webp/750x0/props/048964208_1784653219074.jpg | https://images.aqar.fm/webp/750x0/props/048964201_1784653219027.jpg | https://images.aqar.fm/webp/750x0/props/048964202_1784653219079.jpg | https://images.aqar.fm/webp/750x0/props/048964206_1784653228708.jpg | https://images.aqar.fm/webp/750x0/props/048964206_1784653228711.jpg | https://images.aqar.fm/webp/750x0/props/048964201_1784653228628.jpg | https://images.aqar.fm/webp/750x0/props/048964201_1784653241924.jpg | https://images.aqar.fm/webp/750x0/props/048964205_1784653241926.jpg,30,عبدالله اليوسف,مؤسسة اثال العقارية للعقارات,1,2026-07-21,2026-07-21,2026-08-23,1248,2026-08-23,True,"2,300,000",False,فيلا
6691142,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-رقم-102-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6691142,"فيلا للبيع في شارع رقم 102, حي المونسية, مدينة الرياض, منطقة الرياض",2400000,323,5,1,0,11,حي المونسية,الرياض,شرق الرياض,"للبيع فيلا بناء شخصي درج داخلي مع شقة 
في حي المونسية مخطط رابية قرطبه خلف ايكيا قريب طريق الثمامة. وطريق الامير محمد بن سلمان
مساحة ٣٢٣ م 
شارع ١٨م 

الوصف الدور الارضي ملحق مع دورة مياه
مجلس ودورة مياه مع صالة امام المجلس
صالة طعام 
صالتين نساء مفتوحه على بعض دورة مياه نساء مطبخ واسع 
مع غرفة خادمة ودورة مياه وغرفة غسيل
الدور الاول غرفة ماستر كبيره
٤ غرف نوم مع ٢ دورة مياه
سطح 
الشقة مجلس بدورة مياه 
٢ غرفة ودورة مياه وصاله ومطبخ وسطح للشقه
عمر العقار ١٢ سنة مجددة بالكامل 
ويوجد ضمانات على المراحل الانشاء وادوات السباكة والكهرباء سيمت
عليها رهن صندوق العقاري متبقي
 ٢٣٥ الف
البيع شامل الرهن
للمفاهمة
الفيلا راعيها ساكنها
 الصامل موعد للمعاينه
البيع  ٢مليون و٥٥٠الف 

مباشر من المالك 

https://maps.app.goo.gl/TyFdWkCyeyMaitBM6",24.821993,46.762415,https://images.aqar.fm/webp/750x0/props/047744085_1784303123142.jpg,1,صالح بن عبيد بن عايش العنزي,مكتب ابداع الصحافة للخدمات العقارية,1,2026-05-10,2026-08-06,2026-08-06,2059,2026-08-23,True,"2,400,000",False,فيلا
6489858,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-رقم-135-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6489858,"فيلا للبيع في شارع رقم 135, حي المونسية, مدينة الرياض, منطقة الرياض",3500000,525,5,5,2,11,حي المونسية,الرياض,شرق الرياض,"رقم الكود: 280
الموقع: حي المونسية – الرياض
المساحة: 525 م²
الواجهة: جنوبية
عرض الشارع: 20 م

مواصفات العقار:
الدور الأرضي:
حوش
ملحق خارجي
مدخل رجال
مجلس رجال يخدمه مغسلة + دورة مياه
مقلط
صالة
مدخل نساء
مجلس نساء
مطبخ رئيسي + مطبخ داخلي


الدور الأول:
خمس غرف نوم
غرفة ماستر رئيسية


مميزات الموقع :
قريب من الخدمات الرئيسية
سهولة الوصول للطرق الحيوية
قريبة من الدائري الشرقي 

للتواصل:
تــام الــعقــاريـــــة
((رقم المعلن يظهر عند التواصل))",24.823701,46.778166,https://images.aqar.fm/webp/750x0/props/007199630_1764858967608.jpg,1,راكان الغذامي,شركة تام الاعمال العقارية,1,2025-12-02,2025-12-02,2026-08-15,1494,2026-08-23,True,"3,500,000",False,فيلا
6781719,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-رقم-331-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6781719,"فيلا للبيع في شارع رقم 331, حي المونسية, مدينة الرياض, منطقة الرياض",4350000,450,7,1,0,4,حي المونسية,الرياض,شرق الرياض,"- للبيع فيلا درج داخلي مع شقه  في حي المونسيه 
-قريبه من جميع الخدمات 
-وصفات الفيلا
-المساحه 450 م
-شارع 20 متر
-عمر العقار 4 سنين
-الوجهه شمالي
- الشارع سكني
-عدد الغرف  ٧
-الصلاه  ٢  
-دوريات ٧
-مطبخ
-غرفه سائق 
-ملحق 
-المكيفات راكبه 
-مدخل سياره 
-مصعد  راكبه
*الفيلا ساكنه لازما موعد من قبل
// يوجد جميع الشهادات
تقبل بنك
*ولا عليها رهن حره*
*اخر سومه كانت  // 4 مليون و350 الف
*والبيع ان شاء الله فرق السوق",24.830076,46.761961,https://images.aqar.fm/webp/750x0/props/042462982_1784520899202.jpg,1,جواهر عبدالعزيز,مكتب ريحانة نجد للعقارات,1,2026-07-20,2026-08-18,2026-08-23,125,2026-08-23,True,"4,350,000",False,فيلا
6394440,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-رقم-491-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6394440,"فيلا للبيع في شارع رقم 491, حي المونسية, مدينة الرياض, منطقة الرياض",3100000,348,5,5,2,11,حي المونسية,الرياض,شرق الرياض,"فيلا في حي المونسية مخطط رابية قرطبة مكونة من 
درج داخلي وشقتين 
عمرها يقارب ١٠ سنوات ولكن الفيلا ماتشكو من شي من ناحية سباكة و كهرباء 
البيع 3,100,000
والصامل مانقصر معه",24.841898,46.765078,https://images.aqar.fm/webp/750x0/props/015615651_1759332654694.jpg,1,نوير القحطاني,مكتب بيت السعادة للعقارات,1,2025-09-22,2026-02-14,2026-08-20,974,2026-08-23,True,"3,100,000",False,فيلا
6755317,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-أبي-حجر-الأعلى-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6755317,"فيلا للبيع في شارع أبي حجر الأعلى, حي المونسية, مدينة الرياض, منطقة الرياض",1950000,240,4,5,1,2,حي المونسية,الرياض,شرق الرياض,"للبيع | دبلكس فاخر في حي حي المونسية – مخطط الأرجان

فرصة استثمارية وسكنية مميزة في موقع ممتاز، على شارع 20 متر واجهة شرقية، مباشرة أمام منطقة مخصصة لحديقة، مما يمنح العقار إطلالة ومساحة مفتوحة مميزة.

مواصفات العقار:
▪️ عمر العقار: سنتان فقط
▪️ مؤجر حالياً بقيمة 110,000 ريال سنوياً
▪️ متبقي على عقد الإيجار شهر واحد فقط من تاريخ الإعلان

تفاصيل التقسيم الداخلي:
✔️ غرفة نوم ماستر
✔️ غرفتا نوم إضافيتان بينهما دورة مياه
✔️ غرفة في الدور الثالث مع دورة مياه (مناسبة كغرفة خادمة أو غرفة عائلية متعددة الاستخدام)
✔️ غرفة سائق خارجية مستقلة مع دورة مياه

المميزات الإضافية:
✅ مكيفات راكبة
✅ مطبخ راكب
✅ حديقة خارجية
✅ موقع هادئ ومميز أمام حديقة
✅ مناسب للسكن أو الاستثمار بعائد إيجاري قائم

عقار جاهز ومتكامل بمواصفات ممتازة وفي أحد الأحياء الواعدة شرق الرياض",24.840342,46.758447,https://images.aqar.fm/webp/750x0/props/046140330_1782913505693.jpg | https://images.aqar.fm/webp/750x0/props/046140335_1782913511763.jpg | https://images.aqar.fm/webp/750x0/props/046140334_1782913535760.jpg | https://images.aqar.fm/webp/750x0/props/046140338_1782913535759.jpg | https://images.aqar.fm/webp/750x0/props/046140333_1782913535766.jpg | https://images.aqar.fm/webp/750x0/props/046140337_1782913535762.jpg | https://images.aqar.fm/webp/750x0/props/046140338_1782913535760.jpg | https://images.aqar.fm/webp/750x0/props/046140338_1782913535764.jpg | https://images.aqar.fm/webp/750x0/props/046140338_1782913535764.jpg | https://images.aqar.fm/webp/750x0/props/046140339_1782913535770.jpg | https://images.aqar.fm/webp/750x0/props/046140337_1782913535773.jpg | https://images.aqar.fm/webp/750x0/props/046140330_1782913535833.jpg | https://images.aqar.fm/webp/750x0/props/046140336_1782913535833.jpg | https://images.aqar.fm/webp/750x0/props/046140338_1782913535786.jpg | https://images.aqar.fm/webp/750x0/props/046140331_1782913535782.jpg | https://images.aqar.fm/webp/750x0/props/046140337_1782913535836.jpg,16,مشعل محمد,مؤسسة أمان الأملاك,1,2026-07-01,2026-07-01,2026-08-19,1858,2026-08-23,True,"1,950,000",False,فيلا
6693619,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-رقم-245-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6693619,"فيلا للبيع في شارع رقم 245, حي المونسية, مدينة الرياض, منطقة الرياض",3500000,412,4,1,0,8,حي المونسية,الرياض,شرق الرياض,"بسم الله الرحمن الرحيم
فيلا سكني 
مساحة 412.5
درج داخلي + شقتين 
شارع ١٨م 

حي المونسية مخطط فنجال
الدور الأرضي/
-مجلس خارجي بدورة مياه
-مجلس داخلي بدورة مياة
-مقلط + صالة كبيرة + دورة مياة
-غرفة ضيوف
-مطبخ ومستودع

الدور الأول/
-غرفتين بينهم دورة مياة 
-غرفة ماستر بدورة مياه

الدور الثالث
-غرفة شغالة بدورة مياة  بسطح خلفي

الشقه الاولى

مجلس وصاله غرفتين نوم ومطبخ
الشقه مفتوحه على الدور الاول 


الشقه الثانيه 
مجلس وصاله غرفتين نوم ومطبخ
البيع ٣ مليون  ٥٠٠ الف",24.833141,46.784304,https://images.aqar.fm/webp/750x0/props/043253041_1778586092281.jpg | https://images.aqar.fm/webp/750x0/props/043253049_1778586091840.jpg | https://images.aqar.fm/webp/750x0/props/043253040_1778586091982.jpg | https://images.aqar.fm/webp/750x0/props/043253048_1778586092079.jpg | https://images.aqar.fm/webp/750x0/props/043253040_1778586092174.jpg | https://images.aqar.fm/webp/750x0/props/043253041_1778586092400.jpg,6,عبدالملك ابراهيم محمد الجمعان,شركة بنايات نجد للتسويق شخص واحد,1,2026-05-12,2026-08-07,2026-08-23,111,2026-08-23,True,"3,500,000",False,فيلا
6559704,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-رقم-402-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6559704,"فيلا للبيع في شارع رقم 402, حي المونسية, مدينة الرياض, منطقة الرياض",1500000,250,4,5,3,11,حي المونسية,الرياض,شرق الرياض,"للبيع فيلا تاون هاوس في حي المونسيه

المساحة ٢٥٠ 
 العمر جديدة 

اربع غرف 
اربع دورات مياه 
مطبخ 
مجلس 
صاله 
مجلس بيت شعر 
قراج 
سطحين 
موقفين خارجيه 
شارع ١٥ والشارع  
البيع مليون ٧٠٠
مباشر من المالك
https://maps.app.goo.gl/SaAid5vXVRoX7D5F8?g_s",24.822619,46.788742,https://images.aqar.fm/webp/750x0/props/029757895_1776006073727.jpg | https://images.aqar.fm/webp/750x0/props/029757891_1776006072787.jpg | https://images.aqar.fm/webp/750x0/props/029757899_1776006073454.jpg | https://images.aqar.fm/webp/750x0/props/029757892_1776006072790.jpg | https://images.aqar.fm/webp/750x0/props/029757892_1776006073451.jpg | https://images.aqar.fm/webp/750x0/props/029757899_1776006073453.jpg | https://images.aqar.fm/webp/750x0/props/029757892_1776006073457.jpg | https://images.aqar.fm/webp/750x0/props/029757890_1776006073830.jpg | https://images.aqar.fm/webp/750x0/props/029757896_1776006074024.jpg | https://images.aqar.fm/webp/750x0/props/029757896_1776006074027.jpg,10,علي احمد,شركة زياد البركة العقارية,1,2026-01-24,2026-08-22,2026-08-23,3162,2026-08-23,True,"1,500,000",False,فيلا
6761529,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-الديعجان-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6761529,"فيلا للبيع في شارع الديعجان, حي المونسية, مدينة الرياض, منطقة الرياض",5000000,570,7,4,2,2,حي المونسية,الرياض,شرق الرياض,"فله في الأرجان
المساحة : 570
الواجهات: زاويه جنوبيه شرقيه
شوارع ٢٠م وموقع ممتاز ومداخل ممتازه
غرفة سائق وخادمه
عدد ٢ مجلس رجال ودورة مياهومغاسل للرجال
ومقلط.
صاله كبير وجلسة مفتوحه + مطبخ تحظيري راكب من ايكيا ومطبخ رئيسيي + دورت مياه ومغاسل للحريم
الدور العلوي 
غرفت نوم رئيسيه ماستر
غرفت نوم كبيره ماستر
غرفتين نوم وبينها دورة مياه
صاله عائليه",24.837864,46.758699,https://images.aqar.fm/webp/750x0/props/000051758_1783304745206.jpg | https://images.aqar.fm/webp/750x0/props/000051753_1783304745210.jpg | https://images.aqar.fm/webp/750x0/props/000051751_1783304745197.jpg | https://images.aqar.fm/webp/750x0/props/000051757_1783304745300.jpg | https://images.aqar.fm/webp/750x0/props/000051752_1783304745201.jpg | https://images.aqar.fm/webp/750x0/props/000051752_1783304745212.jpg | https://images.aqar.fm/webp/750x0/props/000051754_1783304745204.jpg | https://images.aqar.fm/webp/750x0/props/000051755_1783304745188.jpg,8,محمد مصلح مصلح الرشيد,,,2026-07-06,2026-08-04,2026-08-04,1000,2026-08-23,True,"5,000,000",False,فيلا
