listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6751223,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النخيل/شارع-جبل-الرحا-حي-النخيل-مدينة-الرياض-منطقة-الرياض-6751223,"فيلا للبيع في شارع جبل الرحا, حي النخيل, مدينة الرياض, منطقة الرياض",4600000,400,5,5,0,11,حي النخيل,الرياض,شمال الرياض,"فيلا للبيع
حي النخيل الغربي 
من ارقى احياء الرياض
مواصفات الفلة
بناء شخصي العمر 20
المساحة 400m
الواجهة شمال
الدور الارضي
غرفة ساىق
مجلس رجال بدوره مياه ومغاسل
مقلط (طعام)
مجلس نساء بدورة مياه
صالة بدورة مياه
مطبخ
الدور الأول
ماستر  بدورة مياه
وغرفة مكتب
غرفة بدورة مياه
غرفة بدورة مياه
غرفتين بدورة مشتركة
الدور الثاني
غرفتين بدورة مياه
أوفس
سطح
للتواصل
ابو عبدالله ((الرقم يظهر عند الضغط على اتصال))

fila lilbaye
hayu alnakhil algharbii
man arqaa ahya' alriyad
muasafat alfila
bina' shakhsii aleumar 20
almisahat 400m
alwajihat shamal
aldawr alardiu
ghurfat saaq
majlis rijal bidawrih miah wamughasil
muqlat (teami)
majlis nisa' bidawrat miah
salat bidawrat miah
matbakh
aldawr al'awal
mastar bidawrat miah
waghurfat maktab
ghurfat bidawrat miah
ghurfat bidawrat miah
ghurfatayn bidawrat mushtaraka
aldawr althaani
ghurfatayn bidawrat miah
'uwfis
sath",24.732169,46.599025,https://images.aqar.fm/webp/750x0/props/001298779_1782657253228.jpg | https://images.aqar.fm/webp/750x0/props/001298771_1782657266180.jpg | https://images.aqar.fm/webp/750x0/props/001298772_1782657266210.jpg | https://images.aqar.fm/webp/750x0/props/001298775_1782657266212.jpg | https://images.aqar.fm/webp/750x0/props/001298770_1782657266219.jpg,5,سليمان عبدالله سليمان العريفي,,,2026-06-28,2026-07-27,2026-08-17,2395,2026-08-23,True,"4,600,000",False,فيلا
6802014,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النخيل/شارع-وادي-الصمان-حي-النخيل-مدينة-الرياض-منطقة-الرياض-6802014,"فيلا للبيع في شارع وادي الصمان, حي النخيل, مدينة الرياض, منطقة الرياض",2587500,287,4,0,0,11,حي النخيل,الرياض,شمال الرياض,"للبيع فيلا دبلكس 287.5 م2 في حي النخيل في موقع مميز 
للاستفسار 
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.752615,46.638324,https://images.aqar.fm/webp/750x0/props/041136093_1785682122345.jpg | https://images.aqar.fm/webp/750x0/props/041136099_1785853760331.jpg,2,فوزيه عبدالله,مؤسسة همم الملاك للخدمات العقارية,1,2026-08-02,2026-08-02,2026-08-21,1857,2026-08-23,True,"2,587,500",False,فيلا
6834091,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النخيل/شارع-الحارث-الثقفى-حي-النخيل-مدينة-الرياض-منطقة-الرياض-6834091,"فيلا للبيع في شارع الحارث الثقفى, حي النخيل, مدينة الرياض, منطقة الرياض",9800000,422,4,5,2,0,حي النخيل,الرياض,شمال الرياض,"للبيع فيلا فاخرة حي النخيل الشرقي موقع جداً مميز 

المساحة: 422.5 م 
الواجهة: شارع 15م جنوبي

مواصفات الفيلا:

الدور الارضي: ملحق خارجي- غرفه سائق - موقف سيارة- مجلس - مسبح - صالة طعام- مقلط - صالة عائلية واسعة - مطبخ - مستودع - حديقة - مصعد

الدور الأول: ٥ غرف نوم - صالة

الدور العلوي: صالة مطله على السطح - قسم خاص بالخدم والغسيل وسطح خاص.


للتواصل مكتب ملقا الرياض للعقارات",24.743956,46.648397,https://images.aqar.fm/webp/750x0/props/040770448_1787311254617.jpg | https://images.aqar.fm/webp/750x0/props/040770441_1787311254617.jpg | https://images.aqar.fm/webp/750x0/props/040770440_1787311254635.jpg | https://images.aqar.fm/webp/750x0/props/040770446_1787311254674.jpg | https://images.aqar.fm/webp/750x0/props/040770443_1787311254622.jpg | https://images.aqar.fm/webp/750x0/props/040770443_1787311254624.jpg | https://images.aqar.fm/webp/750x0/props/040770442_1787311292374.jpg | https://images.aqar.fm/webp/750x0/props/040770442_1787311292484.jpg | https://images.aqar.fm/webp/750x0/props/040770448_1787311292378.jpg | https://images.aqar.fm/webp/750x0/props/040770449_1787311292497.jpg | https://images.aqar.fm/webp/750x0/props/040770443_1787311292477.jpg | https://images.aqar.fm/webp/750x0/props/040770440_1787311292474.jpg | https://images.aqar.fm/webp/750x0/props/040770448_1787311292480.jpg | https://images.aqar.fm/webp/750x0/props/040770448_1787311315426.jpg | https://images.aqar.fm/webp/750x0/props/040770447_1787311315449.jpg | https://images.aqar.fm/webp/750x0/props/040770442_1787311315422.jpg | https://images.aqar.fm/webp/750x0/props/040770445_1787311315452.jpg | https://images.aqar.fm/webp/750x0/props/040770440_1787311315341.jpg | https://images.aqar.fm/webp/750x0/props/040770442_1787311315446.jpg | https://images.aqar.fm/webp/750x0/props/040770440_1787311418489.jpg | https://images.aqar.fm/webp/750x0/props/040770447_1787311418492.jpg | https://images.aqar.fm/webp/750x0/props/040770447_1787311418381.jpg | https://images.aqar.fm/webp/750x0/props/040770443_1787311418506.jpg | https://images.aqar.fm/webp/750x0/props/040770449_1787311418400.jpg | https://images.aqar.fm/webp/750x0/props/040770442_1787311418511.jpg | https://images.aqar.fm/webp/750x0/props/040770442_1787311473828.jpg,26,عبدالعزيز عبدالرحمن,مكتب ملقا الرياض للعقارات,1,2026-08-21,2026-08-21,2026-08-22,180,2026-08-23,True,"9,800,000",False,فيلا
6813133,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النخيل/شارع-بركات-حي-النخيل-مدينة-الرياض-منطقة-الرياض-6813133,"فيلا للبيع في شارع بركات, حي النخيل, مدينة الرياض, منطقة الرياض",20000000,1050,5,5,0,5,حي النخيل,الرياض,شمال الرياض,"https://goo.gl/maps/iVNAiPaAR49Myu346
للبيــــــــع فيلا مستخدمة حي النخيل
عمرها ٥ سنوات
مساحة ١٠٥٠م. 
مسبح 
مدخل سيارة غرفة سائق
٣ ملاحق. ٢ مطبخ  مجلس رجال +مجلس نساء + صاله طعام + غرفة ضيافة +صالة+غرفه سينما 
الدور الأول
٦ اجنحه نوم
السطح
غرفة خادمة وغرف غسيل
راكب مصعد
البيع ٢٠ مليون",24.732672,46.607284,,,سلوى المساوى,مؤسسة سلوى حسن المساوى,1,2026-08-09,2026-08-09,2026-08-23,133,2026-08-23,True,"20,000,000",False,فيلا
6709965,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النخيل/شارع-عقبة-بن-مكرم-حي-النخيل-مدينة-الرياض-منطقة-الرياض-6709965,"فيلا للبيع في شارع عقبة بن مكرم, حي النخيل, مدينة الرياض, منطقة الرياض",4400000,276,,1,0,10,حي النخيل,الرياض,شمال الرياض,"للبيــــــــع فيلا حي النخيل
الفيلا مستقلة 
عمر العقار 10سنوات 
مساحتها 276م
​فرصة مميزة للسكن في أحد أرقى أحياء الرياض.
شارع 20جنوبي
الفيلا عليها بنك ٢مليون 
​تفاصيل ومواصفات الفيلا:
المنزل ما زال مسكوناً ومحافظاً على جودته.
​توزيع الأدوار:
- ​الدور الأرضي:
​مجلس مع دورة مياه.
​غرفة طعام.
​صالة مع دورة مياه.
​مطبخ داخلي مفتوح على الصالة بالإضافة إلى مطبخ خارجي (ديرتي كيتشن).
- ​الدور الأول:
​4 غرف نوم، كل غرفة بدورة مياه خاصة، ومن ضمنها غرفة ماستر.
- ​الدور الثاني:
​صالة.
​غرفة للعاملة.
​جلسة خارجية.
​للبيــــــــع 4مليون 500
مباشرة من المالك",24.74006,46.609282,https://images.aqar.fm/webp/750x0/props/040207764_1781465600840.jpg | https://images.aqar.fm/webp/750x0/props/040207761_1781465600863.jpg | https://images.aqar.fm/webp/750x0/props/040207768_1781465600864.jpg | https://images.aqar.fm/webp/750x0/props/040207769_1781465600949.jpg | https://images.aqar.fm/webp/750x0/props/040207761_1781465600946.jpg | https://images.aqar.fm/webp/750x0/props/040207760_1781465601048.jpg | https://images.aqar.fm/webp/750x0/props/040207769_1781465601050.jpg | https://images.aqar.fm/webp/750x0/props/040207762_1781465601155.jpg | https://images.aqar.fm/webp/750x0/props/040207769_1781465601234.jpg | https://images.aqar.fm/webp/750x0/props/040207766_1781465601235.jpg | https://images.aqar.fm/webp/750x0/props/040207762_1781465601318.jpg | https://images.aqar.fm/webp/750x0/props/040207767_1781465601316.jpg | https://images.aqar.fm/webp/750x0/props/040207761_1781465601437.jpg | https://images.aqar.fm/webp/750x0/props/040207766_1781465601478.jpg | https://images.aqar.fm/webp/750x0/props/040207769_1781465601479.jpg | https://images.aqar.fm/webp/750x0/props/040207764_1781465601522.jpg,16,مشاري بن نعيم بن وصل الحنيني,مؤسسة مكتب دانة الملقا للخدمات العقارية,1,2026-05-24,2026-08-20,2026-08-23,2577,2026-08-23,True,"4,400,000",False,فيلا
6770306,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النخيل/شارع-الجوز-حي-النخيل-مدينة-الرياض-منطقة-الرياض-6770306,"فيلا للبيع في شارع الجوز, حي النخيل, مدينة الرياض, منطقة الرياض",17500000,1400,7,7,,11,حي النخيل,الرياض,شمال الرياض,"فيلا فاخرة للبيع 
 حي النخيل الغربي، الرياض

 مساحة الأرض: 1,400 م²

المواصفات:

* قبو مع مسبح
* مجالس رجال ونساء
* غرفتا معيشة
* غرفة طعام
* 9 غرف نوم
* +7 دورات مياه
* شقة مستقلة على السطح

موقع استراتيجي:

* 10 دقائق من الدرعية
* 5 دقائق من جامعة الملك سعود وU Walk
* 8 دقائق من الرياض بارك ولايسن فالي
* 10 دقائق من حي السفارات وبرج المملكة
* 12 دقيقة من KAFD
* 15 دقيقة من برج الفيصلية ومستشفى الملك فيصل التخصصي

Luxury Villa for Sale – Al Nakheel West, Riyadh

 Land Area: 1,400 sqm

Property Features:

* Basement with swimming pool
* Men’s & women’s majlis
* 2 living rooms
* Dining room
* 9 Bedrooms
* +7 Bathrooms
* Separate rooftop apartment

Prime Location:

* 10 min to Diriyah
* 5 min to King Saud University & U Walk
* 8 min to Riyadh Park & Laysen Valley
* 10 min to Diplomatic Quarter & Kingdom Centre
* 12 min to KAFD
* 15 min to Al Faisaliah Tower & King Faisal Specialist Hospital",24.737304,46.602697,https://images.aqar.fm/webp/750x0/props/019560263_1783863808880.jpg | https://images.aqar.fm/webp/750x0/props/019560266_1783863816918.jpg,2,وليد علي محمد الماضي,شركة وادي إنفستمنت رييلتي,1,2026-07-12,2026-08-10,2026-08-10,1562,2026-08-23,True,"17,500,000",False,فيلا
6551617,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النخيل/شارع-وادي-ملحة-حي-النخيل-مدينة-الرياض-منطقة-الرياض-6551617,"فيلا للبيع في شارع وادي ملحة, حي النخيل, مدينة الرياض, منطقة الرياض",13300000,1250,5,5,2,11,حي النخيل,الرياض,شمال الرياض,"فرصه….
 للبيع قصر راقي بحي النخيل الغربي 1250 متر 25 م في عمق 50 م
((( سعر البيع بقيمة ارض )))
مخارج مميزه من الدائري الشمالي وطريق الملك خالد وطريق الامير تركي مخرج 2 قريبه من السفارات والمدينة الرقمية وجامعة الملك سعود 
منطقة قصور 
شارع 20 شرقي 
بناء شخصي 
5 اجنحه وماستر كبير جدا عبارة عن غرفتين وصاله 
السطح صاله ومغاسل 
الارضي ضيافه 

العمر 19
السعر 13.5 مليون

نعتذر للوساطاء",24.743289,46.617582,https://images.aqar.fm/webp/750x0/props/019699176_1768752083542.jpg | https://images.aqar.fm/webp/750x0/props/019699173_1768752083543.jpg,2,محمد بن سعود,مكتب غربي النخيل للعقارات,1,2026-01-18,2026-01-18,2026-08-21,5719,2026-08-23,True,"13,300,000",False,فيلا
6818430,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النخيل/شارع-وادي-الصمان-حي-النخيل-مدينة-الرياض-منطقة-الرياض-6818430,"فيلا للبيع في شارع وادي الصمان, حي النخيل, مدينة الرياض, منطقة الرياض",2500000,287,4,0,0,10,حي النخيل,الرياض,شمال الرياض,"فلة دوبلوكس. بارقي حي. النخيل. الغربي.   للتواصل. بنا 
((الرقم يظهر عند الضغط على اتصال))",24.752481,46.638168,https://images.aqar.fm/webp/750x0/props/000113901_1786540692061.jpg | https://images.aqar.fm/webp/750x0/props/000113903_1786540692046.jpg | https://images.aqar.fm/webp/750x0/props/000113907_1786540692056.jpg | https://images.aqar.fm/webp/750x0/props/000113906_1786540692048.jpg | https://images.aqar.fm/webp/750x0/props/000113902_1786540692058.jpg | https://images.aqar.fm/webp/750x0/props/000113906_1786540692068.jpg | https://images.aqar.fm/webp/750x0/props/000113900_1786540692052.jpg | https://images.aqar.fm/webp/750x0/props/000113900_1786540692054.jpg,8,ناصر عبدالرحمن ناصر الذييب,مكتب ناصر عبدالرحمن الذييب للعقارات,1,2026-08-12,2026-08-12,2026-08-23,1043,2026-08-23,True,"2,500,000",False,فيلا
6726141,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النخيل/شارع-الخطيب-التبريزي-حي-النخيل-مدينة-الرياض-منطقة-الرياض-6726141,"فيلا للبيع في شارع الخطيب التبريزي, حي النخيل, مدينة الرياض, منطقة الرياض",6999999,500,7,5,2,11,حي النخيل,الرياض,شمال الرياض,"✨✨عرض مباشر من المالك ✨✨

✨✨ للبيع فيلا بحي النخيل الشرقي  بقيمة أرض مساحه ٥٠٠م  شارع ٢٠ غربي  بطول ٢٥ م وشارع ١٥ جنوبي  ✨✨

يتكون من التالي

الدور الأرضي:
- مجلس رجال
- صاله طعام رجال
- صاله عائلية
- صاله طعام عائلية
- مطبخ
- ⁠ مطبخ خارجي 
- ⁠مستودع 
- ⁠غرفة سائق 
- ⁠غرفة خادمة

الدور الأول:

- ⁠٧  غرف نوم
- ⁠صاله عائلية

الدور الثاني :
- ⁠غرفه نوم بدورة مياة
- ⁠صاله
- ⁠مطبخ
- ⁠مستودع 

مزايا العقار :

منطقة قصور
موقع راقي جدآ 


موقع العقار 

طريق التخصصي  ١ دقائق
 KAFD ٣ دقائق
مستشفى دله ٣ دقائق


عمر العقار :
فوق ٣٠ سنه للبيع بقيمة أرض 

السوم واصل ٦,٣٥٠,٠٠٠

🛑🛑لا يمكن مشاهدة المزل من الداخل لان البيع بقيمة أرض🛑🛑

للتواصل 

شركة عبدالعزيز الصالح العقارية 

((الرقم يظهر عند الضغط على اتصال))",24.750836,46.64215,https://images.aqar.fm/webp/750x0/props/005044085_1781024589763.jpg | https://images.aqar.fm/webp/750x0/props/005044083_1781024589756.jpg | https://images.aqar.fm/webp/750x0/props/005044086_1781024755318.jpg,3,عبدالعزيز عبدالله محمد الصالح,شركة عبدالعزيز عبدالله محمد الصالح العقارية شخص واحد,1,2026-06-09,2026-07-08,2026-08-23,4679,2026-08-23,True,"6,999,999",False,فيلا
6684065,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النخيل/شارع-بركات-حي-النخيل-مدينة-الرياض-منطقة-الرياض-6684065,"فيلا للبيع في شارع بركات, حي النخيل, مدينة الرياض, منطقة الرياض",20000000,1050,6,5,5,8,حي النخيل,الرياض,شمال الرياض,"للبيــــــــع فيلا سكنيه 
بحي النخيل الغربي 
موقع مميز جدا 
العمر 8 سنوات 
المساحه 1050م
علي شارع 15م شرقي 
وجنوبي تفتح علي ساحه 
تفاصيل الفيلا : الدور الأرضي 
مدخل سياره + غرفه سائق 
مسبح + 3 ملاحق + 2 مطبخ 
مجلس رجال + مجلس نساء 
صاله طماع + غرفه ضيافه 
صاله واسعه + غرفه سينما 
تفاصيل الدور الأول :
6 أجنحه نوم ماستر
السطح : غرفه خادمه 
2 غرفه غسيل
مصدع راكب 
غرفه ملابس مع دوره مياه 
البيع علي السوم 
مباشر المالك",24.732672,46.607284,,,عبدالملك ابراهيم محمد الجمعان,شركة بنايات نجد للتسويق شخص واحد,1,2026-05-05,2026-08-01,2026-08-23,960,2026-08-23,True,"20,000,000",False,فيلا
