listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6559777,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النزهة/شارع-قباء-حي-النزهة-مدينة-الرياض-منطقة-الرياض-6559777,"فيلا للبيع في شارع قباء, حي النزهة, مدينة الرياض, منطقة الرياض",6150000,800,5,5,0,11,حي النزهة,الرياض,شمال الرياض,"المساحه : 800م 2

25م على الشارع الشرقي 15م

32م على الشارع الشمالي 10م

مقام عليها فيلا عمرها 20سنه مجدده

 زوايه والدور الثاني غرفه كثيره فصلت جزء لابني وبطريقه فنيه  وجعلت له مدخل خاص(اي انه ممكن جداً وبدون جهد اعادته)",24.75393,46.711028,https://images.aqar.fm/webp/750x0/props/015319169_1769259354149.jpg | https://images.aqar.fm/webp/750x0/props/015319160_1769259354138.jpg | https://images.aqar.fm/webp/750x0/props/015319164_1769259354145.jpg | https://images.aqar.fm/webp/750x0/props/015319161_1769259354153.jpg | https://images.aqar.fm/webp/750x0/props/015319161_1769259354145.jpg | https://images.aqar.fm/webp/750x0/props/015319160_1769259354142.jpg,6,فاطمه القحطاني,مؤسسة مكتب رؤيتك للعقارات,1,2026-01-24,2026-01-24,2026-08-22,3281,2026-08-23,True,"6,150,000",False,فيلا
6817018,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النزهة/شارع-حبيب-بن-عبدالرحمن-حي-النزهة-مدينة-الرياض-منطقة-الرياض-6817018,"فيلا للبيع في شارع حبيب بن عبدالرحمن, حي النزهة, مدينة الرياض, منطقة الرياض",4500000,450,7,0,0,11,حي النزهة,الرياض,شمال الرياض,"مساحة الفله 450 متر تقع في حي النزهة تتكون من
       الدور الأرضي يتكون من

	⁃	مجلس ( 7 # 4,60)
	⁃	مقلط.  ( 5,40 # 3,90 )
	⁃	صاله  ( 6,20  #  5,50  )
	⁃	مطبخ. (  4,40  #  4,10  )
	⁃	غرفة النساء  ( 6  #  4,75  )
	⁃	غرفه صغير  (  4,50  #  360  )
	⁃	دورتين مياه للرجال و النساء                
        
الدور الأول يتكون من 
	⁃	غرفه  ( 4,50  # 3,60   )
	⁃	غرفه  (  6  # 4,60  ) 
	⁃	صاله  ( 6,25  #  5,5  )
	⁃	غرفه  (  4,45  # 4,15  )
	⁃	غرفه  (  5,45  #   3,90  ) 
	⁃	غرفه  (  6,90   #  4,10  ).    
عددٍ دورات المياه 3 دورات
الدور العلوي السطح
غرفه مع دورة مياه 
أطوال الغرفة (  6  # 4,70  )
———- 
غرفة سائق مع دورة مياه",24.751727,46.709989,https://images.aqar.fm/webp/750x0/props/024939729_1786468628140.jpg,1,عبدالملك بن محمد بن عبدالله الدميخي,,,2026-08-11,2026-08-11,2026-08-11,165,2026-08-23,True,"4,500,000",False,فيلا
6776603,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النزهة/شارع-عمر-الفارقي-حي-النزهة-مدينة-الرياض-منطقة-الرياض-6776603,"فيلا للبيع في شارع عمر الفارقي, حي النزهة, مدينة الرياض, منطقة الرياض",7500000,791,,0,0,11,حي النزهة,الرياض,شمال الرياض,للبيع فيلا بالرياض حي النزهه خلفية تجاري المساحة ٧٩١.٩١م٢,24.752067,46.700594,https://images.aqar.fm/webp/750x0/props/053525807_1784194903959.jpg | https://images.aqar.fm/webp/750x0/props/053525806_1784194903955.jpg | https://images.aqar.fm/webp/750x0/props/053525805_1784194903969.jpg,3,فالح بن عطاالله بن عبدالله البلوي,,,2026-07-16,2026-08-14,2026-08-14,407,2026-08-23,True,"7,500,000",False,فيلا
6589158,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النزهة/شارع-غريان-حي-النزهة-الرياض-منطقة-الرياض-6589158,"فيلا للبيع في شارع غريان, حي النزهة, مدينة الرياض, منطقة الرياض",6500000,780,7,5,2,11,حي النزهة,الرياض,شمال الرياض,فيلا زاوية بطول 26 على شارع عرض 20م غربي وطول 30م على شارع بعرض 10م شمالي بحي النزهة موقع مميز شارع نافذ على طريق الإمام محمد بن سعود. السعر قابل للتفاوض,24.764171591685813,46.70514550033852,https://images.aqar.fm/webp/750x0/props/026614187_1771011778012.jpg,1,علي حمد حسين التمامي,,,2026-02-13,2026-02-13,2026-06-01,2594,2026-08-23,True,"6,500,000",False,فيلا
6604868,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النزهة/شارع-فالح-بن-مهدي-حي-النزهة-مدينة-الرياض-منطقة-الرياض-6604868,"فيلا للبيع في شارع فالح بن مهدي, حي النزهة, مدينة الرياض, منطقة الرياض",3850000,375,,5,3,10,حي النزهة,الرياض,شمال الرياض,"فله حي النزهه 
مساحة 375 متر
ملحق بدورة مياة
 حديقه خارجيه 
ومجلس رجال
 ومقلط 
ومجلس نساء 
وصاله واسعه 
درج في الصاله 
ومطبخ داخل وخارجي ومستودع   
الدور الاول صاله 
واربع غرف ماستر واحده منهم كبيره 
السطح غرفه بدورة مياة",24.759411,46.703177,https://images.aqar.fm/webp/750x0/props/027825714_1772020755476.jpg,1,عبدالكريم ابراهيم بن رسلان العنزي,شركة ابداع العالمية للتطوير والاستثمار العقاري ,1,2026-02-25,2026-08-22,2026-08-23,2845,2026-08-23,True,"3,850,000",False,فيلا
6658269,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النزهة/شارع-المرشدي-حي-النزهة-مدينة-الرياض-منطقة-الرياض-6658269,"فيلا للبيع في شارع المرشدي, حي النزهة, مدينة الرياض, منطقة الرياض",6000000,768,4,1,0,11,حي النزهة,الرياض,شمال الرياض,"للبيع فيلا بحي النزهة مستخدمة فوق العشرين سنة
بناء قوي ومتين
فيها قبو
4 غرف نوم
والارضي مجالس واستقبال
السوم 5700.000 ريال",24.748767,46.705194,https://images.aqar.fm/webp/750x0/props/012116327_1776370651123.jpg | https://images.aqar.fm/webp/750x0/props/012116323_1776370650908.jpg | https://images.aqar.fm/webp/750x0/props/012116328_1776370650908.jpg | https://images.aqar.fm/webp/750x0/props/012116320_1776370650910.jpg | https://images.aqar.fm/webp/750x0/props/012116328_1776370651021.jpg | https://images.aqar.fm/webp/750x0/props/012116320_1776370651022.jpg | https://images.aqar.fm/webp/750x0/props/012116325_1776370651147.jpg | https://images.aqar.fm/webp/750x0/props/012116327_1776370651245.jpg | https://images.aqar.fm/webp/750x0/props/012116325_1776370651250.jpg | https://images.aqar.fm/webp/750x0/props/012116327_1776370651249.jpg | https://images.aqar.fm/webp/750x0/props/012116322_1776370651358.jpg | https://images.aqar.fm/webp/750x0/props/012116323_1776370651358.jpg | https://images.aqar.fm/webp/750x0/props/012116324_1776370651465.jpg | https://images.aqar.fm/webp/750x0/props/012116324_1776370651468.jpg | https://images.aqar.fm/webp/750x0/props/012116320_1776370651554.jpg | https://images.aqar.fm/webp/750x0/props/012116324_1776370651586.jpg | https://images.aqar.fm/webp/750x0/props/012116327_1776370651585.jpg | https://images.aqar.fm/webp/750x0/props/012116329_1776370651688.jpg | https://images.aqar.fm/webp/750x0/props/012116327_1776370651723.jpg | https://images.aqar.fm/webp/750x0/props/012116323_1776370651790.jpg | https://images.aqar.fm/webp/750x0/props/012116321_1776370651823.jpg | https://images.aqar.fm/webp/750x0/props/012116326_1776370651824.jpg | https://images.aqar.fm/webp/750x0/props/012116329_1776370651982.jpg | https://images.aqar.fm/webp/750x0/props/012116321_1776370652013.jpg | https://images.aqar.fm/webp/750x0/props/012116320_1776370652068.jpg | https://images.aqar.fm/webp/750x0/props/012116325_1776370652125.jpg | https://images.aqar.fm/webp/750x0/props/012116328_1776370652282.jpg | https://images.aqar.fm/webp/750x0/props/012116321_1776370652907.jpg,28,محمد بن يوسف بن عبدالعزيز الجبر,مكتب فلتك للعقارات,1,2026-04-16,2026-08-11,2026-08-21,3869,2026-08-23,True,"6,000,000",False,فيلا
6310952,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النزهة/شارع-آل-أبي-حيمد-حي-النزهة-الرياض-منطقة-الرياض-6310952,فيلا للبيع في شارع آل أبي حيمد ، حي النزهة ، الرياض ، منطقة الرياض,9000000,500,4,3,2,0,حي النزهة,الرياض,شمال الرياض,"البيع فيلا جديده بحي النزهه 
تصميم مودرن  بناء شخصي
تكيف مخفي  راكب
ديرتي كتشن راكب
المساحة 500 متر
الواجهة شرقي 
شارع 30 م
4 غرفه نوم 
مجلس مقلط
صاله غرفه مكتب 
2 مطابخ 
مستودع 
صاله علويه
غرفه خادمه 
غرفه حارس 
صاله في السطح 
السوم 8 مليونو
البيع فرق السوم و750
مباشر من الوكيل",24.75194,46.716654,https://images.aqar.fm/webp/750x0/props/023284547_1754046608395.jpg,1,محمديحيعبدهعلواني,,0,2025-08-01,,2026-08-08,1549,2026-08-23,False,طلب تسويق,False,فيلا
6568879,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النزهة/شارع-محمد-المشاري-حي-النزهة-مدينة-الرياض-منطقة-الرياض-6568879,"فيلا للبيع في شارع محمد المشاري, حي النزهة, مدينة الرياض, منطقة الرياض",11000000,875,,5,0,11,حي النزهة,الرياض,شمال الرياض,$5e,24.760277,46.703434,https://images.aqar.fm/webp/750x0/props/018243093_1769798062803.jpg | https://images.aqar.fm/webp/750x0/props/018243093_1769798085348.jpg | https://images.aqar.fm/webp/750x0/props/018243095_1769798106139.jpg | https://images.aqar.fm/webp/750x0/props/018243098_1769798133246.jpg | https://images.aqar.fm/webp/750x0/props/018243098_1769798146818.jpg | https://images.aqar.fm/webp/750x0/props/018243093_1769798235254.jpg,6,الحسام علي حامد الغامدي,مؤسسة المحركات الالكترونية للتجارة,1,2026-01-30,2026-06-25,2026-08-15,7255,2026-08-23,True,"11,000,000",False,فيلا
6813679,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النزهة/شارع-اسعد-بن-احمد-دهان-حي-النزهة-مدينة-الرياض-منطقة-الرياض-6813679,"فيلا للبيع في شارع اسعد بن احمد دهان, حي النزهة, مدينة الرياض, منطقة الرياض",4800000,464,4,5,2,11,حي النزهة,الرياض,شمال الرياض,$5e,24.759899,46.709925,https://images.aqar.fm/webp/750x0/props/018619839_1777029042975.jpg,1,عمار خالد بن حسن الحارثي,مؤسسة روعة نجد العقارية,1,2026-08-09,2026-08-09,2026-08-22,546,2026-08-23,True,"4,800,000",False,فيلا
6824815,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النزهة/شارع-عيسى-الزواوي-حي-النزهة-مدينة-الرياض-منطقة-الرياض-6824815,"فيلا للبيع في شارع عيسى الزواوي, حي النزهة, مدينة الرياض, منطقة الرياض",5000000,550,5,0,0,11,حي النزهة,الرياض,شمال الرياض,فله في حي النزهه مستخدمه اكثر من عشرين سنه وضعها جيد وجاهزه للستخدم مباشره بدون ترميم كبير وعرضها على الشارع اكثر من 24 متر وتنفع صكين للتقسم مستقبلا والبيع كفله وليس كارض والسوم اربعه مليون واخمس مائه والحد خمسه مليون,24.751958,46.705144,https://images.aqar.fm/webp/750x0/props/002132428_1786855237987.jpg | https://images.aqar.fm/webp/750x0/props/002132425_1786855237978.jpg | https://images.aqar.fm/webp/750x0/props/002132425_1786855237971.jpg | https://images.aqar.fm/webp/750x0/props/002132424_1786855238008.jpg | https://images.aqar.fm/webp/750x0/props/002132427_1786855238288.jpg | https://images.aqar.fm/webp/750x0/props/002132429_1786855238294.jpg,6,عبدالوهاب عبدالعزيز محمد,,,2026-08-16,2026-08-16,2026-08-23,267,2026-08-23,True,"5,000,000",False,فيلا
