listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6833416,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-الدينوري-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6833416,"فيلا للبيع في شارع الدينوري, حي النسيم الشرقي, مدينة الرياض, منطقة الرياض",2750000,600,,7,4,11,حي النسيم الشرقي,الرياض,شرق الرياض,"فيلا للبيع – حي النسيم الشرقي

رقم العرض : 427

📐 المساحة: 600م²
🏗️ العمر: 22 سنة
🛣️ عرض الشارع: 20م

✨ فرصة استثمارية مميزة، فيلا تحتوي على 5 شقق، وخلفها حديقة ومسجد، وتتميز بموقع مميز ومناسب للسكن والاستثمار.

🏠 تفاصيل الوحدات:

🔹 4 شقق: كل شقة مكونة من 3 غرف، صالة، حمامين، مطبخ.

🔹 الملحق: غرفتين، مطبخ، حمامين، سطح كبير.

⚡ 3 عدادات كهرباء

💰 الحد: 2,750,000 ريال

📞 للتواصل والاستفسار:
((الرقم يظهر عند الضغط على اتصال))52088999

شركة ابن طوالة للعقارات",24.729898,46.841218,https://images.aqar.fm/webp/750x0/props/012283473_1787426288459.jpg,1,عواد محارب عقيل ابن طواله,شركة مكتب ابن طوالة للعقارات,1,2026-08-20,2026-08-20,2026-08-23,111,2026-08-23,True,"2,750,000",False,فيلا
6617012,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-القبة-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6617012,"فيلا للبيع في شارع القبة, حي النسيم الشرقي, مدينة الرياض, منطقة الرياض",1550000,440,7,0,0,0,حي النسيم الشرقي,الرياض,شرق الرياض,"🏡 فلة للبيع – بناء شخصي جديد

📐 المساحة للمسطح: 388 م²
🛣 الشارع: 20 متر شرقي
📍 الموقع: بجانب الزاوية على نفس شارع الجامع وحديقة الحي قريب جدا

✨ مواصفات الفلة:
🚗 مدخل سيارة
🛋 مجلس رجال واسع
🛗 مصعد مؤسس
🛏 عدد الغرف: 6 غرف نوم
⭐ 2 غرف ماستر
👴 غرفة كبار سن في الدور الأرضي
🧹 غرفة خادمة
🧺 غرفة غسيل
🛋🛋 صالتين واسعة

🌳 موقع مميز قريب من الخدمات
🕌 قريب من الجامع
🌳 قريب من حديقة الحي

⭐ مميزات البناء
🏛 واجهات حجر حديث وكلادينح 
🚰 سباكة قروهي + سخانات الخزف السعودي مواسير داخلية الانابيب الخضراء (ضمان 15 سنة)
⚡ كهرباء الفنار كاملة  افياش طبالين اسلاك (ضمان 20 سنة) الاسلاك المطبخ السخانات المكيفات كاملة ٦ ملم 
💡 إنارات نوارة + مسارات مغناطيسية 
🚪 أبواب I Door مقاومة للرطوبة والحرارة ضمان ١٥ سنة
🎨 دهانات جوتن + معجون ساڤيتو
🧱 أرضيات بورسلان فاخر 120×60
🏠 جبس مقاوم للرطوبة كامل الفلة الاخضر
 و الجسر والاوميجا سماكة ٦ ملم 👍🏻
🛡 عزل مائي وحراري مع ضمان مصدق من الغرفة التجارية ١٠ سنوات.
🔒 تأمين ضد العيوب الخفية 10 سنوات (ملاذ)
⸻

📞 للتواصل والاستفسار:
0507000631
0532221694",24.726098,46.842615,https://images.aqar.fm/webp/750x0/props/045242121_1772851794562.jpg | https://images.aqar.fm/webp/750x0/props/045242120_1772851794540.jpg | https://images.aqar.fm/webp/750x0/props/045242126_1772851794549.jpg | https://images.aqar.fm/webp/750x0/props/045242124_1772851794550.jpg | https://images.aqar.fm/webp/750x0/props/045242129_1772851794556.jpg | https://images.aqar.fm/webp/750x0/props/045242126_1772898019735.jpg | https://images.aqar.fm/webp/750x0/props/045242124_1773522318663.jpg | https://images.aqar.fm/webp/750x0/props/045242127_1773522408298.jpg,8,محمد العنزي,,,2026-03-07,2026-07-31,2026-08-22,3991,2026-08-23,True,"1,550,000",False,فيلا
6758135,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-محمد-الشاوي-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6758135,"فيلا للبيع في شارع محمد الشاوي, حي النسيم الشرقي, مدينة الرياض, منطقة الرياض",2000000,360,,,,11,حي النسيم الشرقي,الرياض,شرق الرياض,"🏡 فرصة استثمارية مميزة للبيع – فلة مكونة من ديبلوكسين | النسيم الشرقي – الرياض

📐 المساحة: 360 م²
🏠 عدد الوحدات: 6 وحدات سكنية
💰 الدخل السنوي: أكثر من 150,000 ريال

🔹 4 وحدات سكنية:
• مجلس رجال مع دورة مياه
• صالة نساء
• مطبخ
• غرفتا نوم
• دورة مياه

🔹 2 ملحق مستقل:
• صالة
• مطبخ
• غرفتا نوم
• دورة مياه
• سطح مستقل لكل ملحق

📍 موقع مميز:
🎓 مقابل مدرسة ابتدائية بنين
🛍️ قريب من العثيم مول
🏪 قريب من أسواق بلشرف
🏥 قريب من مستشفى الحرس الوطني
🏨 قريب من مستوصف الجزيرة

✅ عقار مؤجر ويحقق دخلاً سنوياً ممتازاً
✅ مناسب للمستثمرين الباحثين عن عائد مستقر
✅ موقع حيوي وخدمات متكاملة

📞 للتواصل والاستفسار يرجى الاتصال.",24.741597,46.832042,https://images.aqar.fm/webp/750x0/props/020910962_1783088051672.jpg,1,ابتسام معوض,شركة فرصة للتطوير والاستثمار العقاري,1,2026-07-03,2026-08-01,2026-08-20,586,2026-08-23,True,"2,000,000",False,فيلا
6831546,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-إسحاق-بن-هلال-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6831546,"فيلا للبيع في شارع إسحاق بن هلال, حي النسيم الشرقي, مدينة الرياض, منطقة الرياض",1450000,360,,0,0,11,حي النسيم الشرقي,الرياض,شرق الرياض,"🏡 فيلا للبيع | حي النسيم الشرقي – عرض 423
📐 المساحة 360م² | شارع 15م غربي
📏 الأطوال: على الشارع 18م × الداخل 20م
🏠 دورين + شقة
▪️ الأرضي: غرفتان، صالة، مجلس، مقلط، مجلس خارجي، مطبخ، دورتان مياه
▪️ العلوي: نفس المواصفات
▪️ الشقة: 3 غرف، صالة، مطبخ، دورتان مياه، حوش
⚡ عدادان كهرباء
🏦 على بنك بقيمة 570 ألف
💰 مؤجرة بعقود متفرقة بإجمالي 95 ألف
💵 الحد: 1,450,000 ريال

📞 شركة ابن طوالة للعقارات
((الرقم يظهر عند الضغط على اتصال)) – ((الرقم يظهر عند الضغط على اتصال))",24.723664,46.845621,https://images.aqar.fm/webp/750x0/props/012283477_1787160227672.jpg | https://images.aqar.fm/webp/750x0/props/012283478_1787160227671.jpg,2,عواد محارب عقيل ابن طواله,شركة مكتب ابن طوالة للعقارات,1,2026-08-19,2026-08-19,2026-08-23,79,2026-08-23,True,"1,450,000",False,فيلا
6586999,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-التمر-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6586999,"فيلا للبيع في شارع التمر, حي النسيم الشرقي, مدينة الرياض, منطقة الرياض",2300000,465,7,5,5,11,حي النسيم الشرقي,الرياض,شرق الرياض,"فرصة جوهرية في شرق الرياض النسيم الشرقي تحديدا حي الصفوة 💎
✅ فيلا للبيع بمساحة 465م 

✅ الفيلا تتكون من دور ارضي وثلاث شقق 

✅ بجوار الفيلا ممر 6م 

✅ الفيلا تبعد عن مستشفى الحرس الوطني والجامعة الصحية 5 دقايق

✅ الفيلا ممتاز للاستثمار والسكن كذلك 

✅ يوجد شهادة اتمام بناء للفيلا 

✅ الفيلا حرّه ولايوجد عليها اي مديونيات او قيود 

واخيراً بارك الله لنا ولكم",24.751157,46.843554,https://images.aqar.fm/webp/750x0/props/036849590_1745097709306.jpg | https://images.aqar.fm/webp/750x0/props/036849597_1745097750723.jpg,2,احمد ابراهيم,,,2026-02-11,2026-02-11,2026-08-22,3468,2026-08-23,True,"2,300,000",False,فيلا
6830852,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-التمر-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6830852,"فيلا للبيع في شارع التمر , حي النسيم الشرقي, مدينة الرياض, منطقة الرياض",2300000,465,7,0,0,11,حي النسيم الشرقي,الرياض,شرق الرياض,"للبيع فيلا سكنية 465م² – حي النسيم الشرقي (الصفوة) – الرياض

للبيع فيلا سكنية في حي النسيم الشرقي (الصفوة) – شارع التمر.

بيانات العقار:

* المساحة: 465 م²
* الواجهة: جنوب
* عرض الشارع: 15م
* بجوار الفيلا من جهة الغرب ممر بعرض 6م
* العقار مكوّن من دور أرضي + دور أول + دور ثانٍ
* عدد الشقق: 3 شقق

الدور الأرضي:
مدخل سيارة – حوش – ملحق – مجلس – مقلط – صالة – 3 غرف نوم – مطبخ – 5 دورات مياه.

الدور الأول – شقتان:
كل شقة تحتوي على:
مدخلين – مجلس – صالة – غرفتين نوم – مطبخ – 3 دورات مياه.

الدور الثاني – شقة:
مدخلين – مجلس – صالة – 3 غرف نوم – مطبخ مع مستودع – 5 دورات مياه.",24.752454,46.848146,https://images.aqar.fm/webp/750x0/props/014589399_1787139869138.jpg | https://images.aqar.fm/webp/750x0/props/014589397_1787139869297.jpg | https://images.aqar.fm/webp/750x0/props/014589391_1787139869140.jpg,3,بندر رمضان صنيتان الشمري,,,2026-08-19,2026-08-19,2026-08-22,74,2026-08-23,True,"2,300,000",False,فيلا
6814943,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-مثلة-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6814943,"فيلا للبيع في شارع مثلة
, حي النسيم الشرقي, مدينة الرياض, منطقة الرياض",2000000,500,,0,0,11,حي النسيم الشرقي,الرياض,شرق الرياض,"فيلاة بالنسيم ذات موقع مميز جدا 
مجلس خارجي كبير
شارع ١٥ 
دورين كل دور مستقل
يوجد فسح لدور الثالث",24.719767,46.851195,https://images.aqar.fm/webp/750x0/props/000092563_1786377733723.jpg | https://images.aqar.fm/webp/750x0/props/000092566_1786377733737.jpg | https://images.aqar.fm/webp/750x0/props/000092560_1786377733634.jpg | https://images.aqar.fm/webp/750x0/props/000092568_1786377733721.jpg | https://images.aqar.fm/webp/750x0/props/000092564_1786377733592.jpg | https://images.aqar.fm/webp/750x0/props/000092560_1786377733611.jpg,6,سلطان بن عبدالله بن مسعود الزومان,,,2026-08-10,2026-08-10,2026-08-23,314,2026-08-23,True,"2,000,000",False,فيلا
6806088,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-الرواوي-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6806088,"فيلا للبيع في شارع الرواوي, حي النسيم الشرقي, مدينة الرياض, منطقة الرياض",1300000,380,5,2,1,11,حي النسيم الشرقي,الرياض,شرق الرياض,"للبيع فيلا مميزة حي النسيم الشرقي 🏡
فيلا سكنية مكونة من دورين
المــساحـــه: 380 م
تفاصيل الفيلا:
الدور الأول: مجلس، مقلط، صالة، ثلاث غرف نوم، حمامين، مطبخ
الدور الثاني: مجلس، مقلط، صالة، ثلاث غرف نوم، حمامين، مطبخ",24.740144,46.833746,https://images.aqar.fm/webp/750x0/props/036127882_1785865345516.jpg | https://images.aqar.fm/webp/750x0/props/036127882_1785865345515.jpg,2,ايوب محمد رجاء الحربي,مكتب ايوب محمد رجاء الحربي للعقارات,1,2026-08-04,2026-08-04,2026-08-23,512,2026-08-23,True,"1,300,000",False,فيلا
6696916,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-عبدالصمد-الجمال-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6696916,"فيلا للبيع في شارع عبدالصمد الجمال, حي النسيم الشرقي, مدينة الرياض, منطقة الرياض",2000000,360,6,4,1,11,حي النسيم الشرقي,الرياض,شرق الرياض,"📞 للتواصل والاستفسار:
• هاتف: 0551559070
🏠 فيلا زاوية للبيع - مرممة بالكامل (مودرن)
فرصة عقارية مميزة لفيلا بحالة ممتازة، مجددة بالكامل من الداخل والخارج لتناسب الذوق العصري.
📍 بيانات العقار:
• المساحة: 360 متر مربع.
• الموقع: زاوية (إطلالة مميزة وشوارع واسعة).
🏗️ تفاصيل التصميم:
🔹 الدور الأرضي:
• قسم الضيافة: مدخل رجال مستقل، مجلس، مغاسل ودورة مياه، خيمة فاخرة وجلسة خارجية.
• قسم العائلة: 3 صالات مفتوحة واسعة، مجلس إضافي، صالة طعام، ومطبخ.
• الخدمات: مغاسل ودورة مياه إضافية، وغرفة غسيل خلفية مستقلة.
• الدرج: درج داخلي بتصميم أنيق.
🔹 الدور العلوي:
• صالة عائلية للمعيشة.
• غرفة ماستر (رئيسية).
• 3 غرف نوم إضافية واسعة.
• دورة مياه مستقلة.
🔹 السطح:
• غرفة خاصة للعاملة المنزلية.",24.742899,46.831077,https://images.aqar.fm/webp/750x0/props/046936764_1778757124080.jpg | https://images.aqar.fm/webp/750x0/props/046936761_1778757124094.jpg | https://images.aqar.fm/webp/750x0/props/046936760_1778757124093.jpg | https://images.aqar.fm/webp/750x0/props/046936760_1778757124090.jpg,4,فهد بن عبدالله بن زيد التميمي,مؤسسة فهد بن عبدالله بن زيد التميمي للمقاولات,1,2026-05-14,2026-08-09,2026-08-21,1266,2026-08-23,True,"2,000,000",False,فيلا
6729407,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-أبي-محجن-الثقفي-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6729407,"فيلا للبيع في شارع أبي محجن الثقفي, حي النسيم الشرقي, مدينة الرياض, منطقة الرياض",2200000,506,,6,6,11,حي النسيم الشرقي,الرياض,شرق الرياض,"للبيع 
📍 حي النسيم الشرقي
📐 المساحة: 506 م²
على شارع سكني تجاري

🔹 العقار مكون من 5 شقق
🔹 4 عدادات كهرباء
🔹 4 عدادات مياه
🔹 جميع الشقق مستقلة بمدخل خاص

🏠 مواصفات كل شقة:
▪️ غرفتين نوم
▪️ صالة
▪️ مجلس
▪️ مقلط
▪️ دورتين مياه

💰 الدخل السنوي التقريبي: 80,000 - 90,000 ريال
🗓️ عمر العقار: قرابة 40 سنة

🔹 فرصة استثمارية بعائد إيجاري قائم
🔹 موقع مميز على شارع سكني تجار",24.716156,46.850663,https://images.aqar.fm/webp/750x0/props/044139658_1781969898249.jpg | https://images.aqar.fm/webp/750x0/props/044139658_1781969900637.jpg | https://images.aqar.fm/webp/750x0/props/044139659_1781969902891.jpg,3,سلطان العنزي,شركة وقش العقارية,1,2026-06-11,2026-06-11,2026-06-20,985,2026-08-23,True,"2,200,000",False,فيلا
