listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6655298,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النظيم/شارع-البطيحة-حي-النظيم-مدينة-الرياض-منطقة-الرياض-6655298,"فيلا للبيع في شارع البطيحة, حي النظيم, مدينة الرياض, منطقة الرياض",1800000,360,4,0,0,11,حي النظيم,الرياض,شرق الرياض,"فيلا درج داخلي 
الدور الاول 
غرفه كبار سن 
مطبخ
دوانيه 
مقلط 
مشب
ثلاث دورات مياة
صالتين منفصله
الدور الثاني 
4 غرف نوم 
واحدة ماستر 
وشقتين مسروقه 
عمر العقار 10 سنوات 
شارع 15",24.803138,46.88659,https://images.aqar.fm/webp/750x0/props/043259596_1776191764223.jpg,1,خالد محسن ظيف الله الشمري,مكتب عمار الجوهرة للعقارات,1,2026-04-14,2026-08-09,2026-08-09,635,2026-08-23,True,"1,800,000",False,فيلا
6630705,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النظيم/شارع-النخبة-حي-النظيم-مدينة-الرياض-منطقة-الرياض-6630705,"فيلا للبيع في شارع النخبة, حي النظيم, مدينة الرياض, منطقة الرياض",1350000,300,,5,5,0,حي النظيم,الرياض,شرق الرياض,"فلة للبيع بنظام دور أرضي ودور اول وشقة
الدور الأرضي ثلاث غرف نوم وحدة ماستر وثلاث دورات مياه ومطبخ وغرفة خادمة ومقلط طعام وصالة نسا ومجلسين رجال
الدور الاول ثلاث غرف نوم وحدة ماستر ثلاث دورات مياه وصالة ومجلس
البيع كامل اول الدور الأرضي منفصل 
والدور الاول مع الشقة 
الشقة غرفة وصالة ومطبخ ودورة مياه مع إمكانية اضافة غرفة نوم
البناء على الكود بدون اي مخالفة يوجد إتمام بناء الكهرب واصل والمويا بيركب العداد اسبوع
خزانات المويا الأرضية خزانين الدور الأرضي خزان والأول مع الشقة خزان والعلوية كذلك
تامين العيوب الخفية من التعاونية ضمان سباكة وكهرباء
على السوم
صاحب الترخيص : مؤسسة بواني الخليج للعقارات
تاريخ انتهاء رخصة الإعلان : 2026-11-10
-----
نأمل مطابقة الموقع على الخريطة مع الموقع حسب الصك
الضمانات و مدتها: لايوجد
وصف موقع العقار حسب الصك",24.854978,46.931536,https://images.aqar.fm/webp/750x0/props/030731127_1774424186475.jpg | https://images.aqar.fm/webp/750x0/props/030731125_1774424186474.jpg | https://images.aqar.fm/webp/750x0/props/030731121_1774424186476.jpg | https://images.aqar.fm/webp/750x0/props/030731125_1774424186475.jpg | https://images.aqar.fm/webp/750x0/props/030731128_1774424186553.jpg | https://images.aqar.fm/webp/750x0/props/030731128_1774424186484.jpg | https://images.aqar.fm/webp/750x0/props/030731126_1774424186481.jpg | https://images.aqar.fm/webp/750x0/props/030731120_1774424186549.jpg,8,فهد خليف مطخان العنزي,مؤسسة بواني الخليج للعقارات,1,2026-03-25,2026-03-25,2026-08-18,640,2026-08-23,True,"1,350,000",False,فيلا
6769761,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النظيم/حي-النظيم-مدينة-الرياض-منطقة-الرياض-6769761,"فيلا للبيع في حي النظيم, مدينة الرياض, منطقة الرياض",1700000,320,,0,0,0,حي النظيم,الرياض,شرق الرياض,"الدور الارضي : مدخلين 
موقف خاص كراج / لسياراه 
خمس غرف وصاله واسعه
وثلاث دورات مياه 
ومطبخ كبير جدا
ومجلس مشب خارجي 
وعداد كهرباء مستقل 
وحوش خاص
الدور الاول يعتبر الثاني/ مدخلين
خمس غرف و مستودع جانبي
ثلاث دورات مياه 
صاله 
مطبخ 
الملحق/ 
غرفه نوم 
صاله 
مطبخ 
دوره مياه 
وسطح واسع خاص بالشقه",24.854568,46.929921,https://images.aqar.fm/webp/750x0/props/018624741_1783838684265.jpg,1,رعد عطيه عواض الطلحي,,,2026-07-12,2026-08-10,2026-08-22,181,2026-08-23,True,"1,700,000",False,فيلا
6740356,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النظيم/حي-النظيم-مدينة-الرياض-منطقة-الرياض-6740356,"فيلا للبيع في حي النظيم, مدينة الرياض, منطقة الرياض",810000,337,4,5,2,0,حي النظيم,الرياض,شرق الرياض,"البيع بدون سعي 

بسم الله الرحمن الرحيم
الرجاء قراءة الاعلان بشكل واضح
السلام عليكم ورحمة الله وبركاته

🔷للبيع فلة درجة داخلية في مخطط النخبة
 
‏الفله 
تتكون من : 

- 4 غرفتين 2  ماستر
- ⁠ملحق خارجي
- ⁠مصعد خاص
- 6 دورة مياه
- مطبخ 
- ⁠مجلس
- ⁠مقلط
- ⁠2صاله
- ⁠غرفة خادمة
- ⁠غرفة غسيل
- ⁠غرفة سائق 
- ⁠مستودع
- ⁠بلكونه خارجيه 

‏يوجد تأمين 10 سنوات وشهادة إتمام بناء
📞 للتواصل 

 ابو عبدالرحمن   ((الرقم يظهر عند الضغط على اتصال))

شركة العبره العقارية
خدماتنا :تسويق -ادراة املاك -تطوير عقاري -كتابة عقود الكترونيه -اتحاد ملاك -خدمات البيع على الخارطة أوقات العمل من ٤ عصرًا حتى ١٠ مساءً
واتساب ٢٤ ساعه",24.863098,46.9321,https://images.aqar.fm/webp/750x0/props/001209249_1781965772629.jpg | https://images.aqar.fm/webp/750x0/props/001209246_1781965786426.jpg | https://images.aqar.fm/webp/750x0/props/001209242_1781965809136.jpg | https://images.aqar.fm/webp/750x0/props/001209241_1781965809123.jpg | https://images.aqar.fm/webp/750x0/props/001209240_1781965809112.jpg | https://images.aqar.fm/webp/750x0/props/001209244_1781965809167.jpg | https://images.aqar.fm/webp/750x0/props/001209245_1781965809161.jpg | https://images.aqar.fm/webp/750x0/props/001209243_1781965809108.jpg | https://images.aqar.fm/webp/750x0/props/001209242_1781965809161.jpg | https://images.aqar.fm/webp/750x0/props/001209246_1781965833699.jpg | https://images.aqar.fm/webp/750x0/props/001209240_1781965833685.jpg | https://images.aqar.fm/webp/750x0/props/001209246_1781965833682.jpg | https://images.aqar.fm/webp/750x0/props/001209243_1781965833839.jpg | https://images.aqar.fm/webp/750x0/props/001209246_1781965833693.jpg | https://images.aqar.fm/webp/750x0/props/001209246_1781965833850.jpg | https://images.aqar.fm/webp/750x0/props/001209247_1781965833687.jpg | https://images.aqar.fm/webp/750x0/props/001209247_1781965833699.jpg | https://images.aqar.fm/webp/750x0/props/001209249_1781965851124.jpg | https://images.aqar.fm/webp/750x0/props/001209242_1781965851118.jpg | https://images.aqar.fm/webp/750x0/props/001209247_1781965851119.jpg | https://images.aqar.fm/webp/750x0/props/001209246_1781965851005.jpg | https://images.aqar.fm/webp/750x0/props/001209249_1781965851127.jpg,22,عثمان عبدالرحمن بن عثمان العبره,شركة ركن العبرة للتطوير والاستثمار العقاري,1,2026-06-20,2026-08-17,2026-08-19,254,2026-08-23,True,"810,000",False,فيلا
6725523,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النظيم/شارع-ناصر-بن-سعد-السديري-حي-النظيم-الرياض-منطقة-الرياض-6725523,فيلا للبيع في شارع ناصر بن سعد السديري ، حي النظيم ، الرياض ، منطقة الرياض,2250000,400,5,1,5,4,حي النظيم,الرياض,شرق الرياض,"بناء شخصي مع وجود فديو لجميع المراحل على السوم عليه بنك الراجحي ب ٨٠٠ الف
ارتفاع السقف الدور الأرضي ٣.٨٥ متر عداد لكل شقه مستقل",24.784438,46.905242,https://images.aqar.fm/webp/750x0/props/008491252_1781005104977.jpg | https://images.aqar.fm/webp/750x0/props/008491252_1781005123307.jpg | https://images.aqar.fm/webp/750x0/props/008491258_1781005226420.jpg | https://images.aqar.fm/webp/750x0/props/008491258_1781005226412.jpg | https://images.aqar.fm/webp/750x0/props/008491257_1781005226426.jpg | https://images.aqar.fm/webp/750x0/props/008491255_1781005226456.jpg,6,بدر محمد ثاني العنزي,,,2026-06-09,,2026-06-09,32,2026-08-23,False,طلب تسويق,False,فيلا
6682157,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النظيم/شارع-الجابر-حي-النظيم-مدينة-الرياض-منطقة-الرياض-6682157,"فيلا للبيع في شارع الجابر, حي النظيم, مدينة الرياض, منطقة الرياض",850000,234,6,0,0,0,حي النظيم,الرياض,شرق الرياض,"للبيع درج داخلي + تاون هاوس  كل جزء مفصول بصك 
الارضي سعره 850 الثاني 700
بحي النظيم السويلمي 
جميع الضمانات متوفره ويقبل جميع البنوك 
للتواصل : 0509449954",24.799843,46.902056,,,منيفه شلال,مؤسسة مكتب قصر الشرق العقاري,1,2026-05-04,2026-07-31,2026-08-16,892,2026-08-23,True,"850,000",False,فيلا
6709782,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النظيم/حي-النظيم-مدينة-الرياض-منطقة-الرياض-6709782,"فيلا للبيع في حي النظيم, مدينة الرياض, منطقة الرياض",1550000,312,4,0,0,0,حي النظيم,الرياض,شرق الرياض,"للبيع فيلا
درج داخلي + شقه
مخطط النخبه مربع السليمان
موقع مميز وشغل شاهد واحكم بنفسك
تكسيات شيبورد ابواب مخفيه وابواب WBC
شارع ٢٠ غربي
مكونه من :
مجلس كبير + مقلط
صاله كبيره + غرفة كبار سن
مطبخ + مستودع 
غرفة شغاله + غرفه سائق
الدور الاول
٤ غرف نوم ماستر الجميع
صاله + درج خدمه سطح خاص بالفيلا
الدور الثاني
شقه 
مجلس + صاله + مطبخ + ٢ حمام + غرفة نوم + سطحين امامي وخلفي 
موسس جاهز لحمام وغرفه زياده .
ضمانات سباكه وكهرباء
تامين التعاونيه
للاستفسار
التعمير للعقارات
0500170098",24.85945,46.938043,https://images.aqar.fm/webp/750x0/props/004235226_1779637615006.jpg | https://images.aqar.fm/webp/750x0/props/004235226_1779637628663.jpg | https://images.aqar.fm/webp/750x0/props/004235221_1779637649029.jpg | https://images.aqar.fm/webp/750x0/props/004235226_1779637649023.jpg | https://images.aqar.fm/webp/750x0/props/004235228_1779637649033.jpg | https://images.aqar.fm/webp/750x0/props/004235222_1779637696153.jpg | https://images.aqar.fm/webp/750x0/props/004235226_1779637696153.jpg | https://images.aqar.fm/webp/750x0/props/004235222_1779637696175.jpg | https://images.aqar.fm/webp/750x0/props/004235228_1779637696166.jpg | https://images.aqar.fm/webp/750x0/props/004235228_1779637720763.jpg | https://images.aqar.fm/webp/750x0/props/004235226_1779637720772.jpg | https://images.aqar.fm/webp/750x0/props/004235221_1779637720773.jpg | https://images.aqar.fm/webp/750x0/props/004235223_1779637746231.jpg | https://images.aqar.fm/webp/750x0/props/004235228_1779637746228.jpg | https://images.aqar.fm/webp/750x0/props/004235224_1779637746216.jpg | https://images.aqar.fm/webp/750x0/props/004235228_1779637746228.jpg | https://images.aqar.fm/webp/750x0/props/004235223_1779637746234.jpg | https://images.aqar.fm/webp/750x0/props/004235220_1779637746227.jpg | https://images.aqar.fm/webp/750x0/props/004235221_1779637746232.jpg | https://images.aqar.fm/webp/750x0/props/004235220_1779637746235.jpg | https://images.aqar.fm/webp/750x0/props/004235226_1779637780603.jpg | https://images.aqar.fm/webp/750x0/props/004235221_1779637780606.jpg | https://images.aqar.fm/webp/750x0/props/004235223_1779637780607.jpg | https://images.aqar.fm/webp/750x0/props/004235220_1779637780609.jpg | https://images.aqar.fm/webp/750x0/props/004235229_1779637780606.jpg | https://images.aqar.fm/webp/750x0/props/004235222_1779637780611.jpg,26,عايد سعود,مكتب التعمير العريق العقاري,1,2026-05-24,2026-08-20,2026-08-20,195,2026-08-23,True,"1,550,000",False,فيلا
6826180,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النظيم/شارع-الصيرفي-حي-النظيم-مدينة-الرياض-منطقة-الرياض-6826180,"فيلا للبيع في شارع الصيرفي , حي النظيم, مدينة الرياض, منطقة الرياض",1500000,312,4,0,0,0,حي النظيم,الرياض,شرق الرياض,"*🔸[ مكتب إليك أقرب للعقارات ]🔸*

🏷️ ┦ *اعلان رقم 2744*┊
رقم الترخيص 7201084834
*🏷️ للبيع  ┊ فله درج داخلي وشقه *

*┊ في حي النخبة بشرق الرياض*
*┦ مساحة الأرض  ┊312.5*
*┦ مسطح البناء  ┊
*← شرقيه ┊شارع 18م*

*┦ البيع : فله درج داخلي وشقه *
*┦ العمر : جديد*
*┦ شهادة إتمام بناء*

🏷️ ┦ *تفاصيل الفله *┊  
- مدخل سياره 
- مجلس يخدمة دورة مياة
-مقلط
- صالة تخدمها دورة مياة
- مطبخ+ غرفة شغاله 
الدور الثاني 
صاله 
غرفتين نوم ماستر 
غرفتين نوم تخدمها دورة مياه




⁠
*┦ البيع┊  مليون 500الف ريال*

*┦ الموقع*

https://maps.app.goo.gl/jPkQF9S23ZnNe83z9?g_st=ic",24.865804,46.937296,https://images.aqar.fm/webp/750x0/props/033154070_1786906578952.jpg | https://images.aqar.fm/webp/750x0/props/033154079_1786906578957.jpg | https://images.aqar.fm/webp/750x0/props/033154078_1786906579040.jpg | https://images.aqar.fm/webp/750x0/props/033154076_1786906578951.jpg | https://images.aqar.fm/webp/750x0/props/033154078_1786906579124.jpg | https://images.aqar.fm/webp/750x0/props/033154076_1786906578959.jpg | https://images.aqar.fm/webp/750x0/props/033154070_1786906578958.jpg | https://images.aqar.fm/webp/750x0/props/033154075_1786906579121.jpg | https://images.aqar.fm/webp/750x0/props/033154074_1786906606547.jpg | https://images.aqar.fm/webp/750x0/props/033154071_1786906606548.jpg | https://images.aqar.fm/webp/750x0/props/033154079_1786906606545.jpg | https://images.aqar.fm/webp/750x0/props/033154072_1786906606561.jpg | https://images.aqar.fm/webp/750x0/props/033154072_1786906606562.jpg | https://images.aqar.fm/webp/750x0/props/033154070_1786906606560.jpg | https://images.aqar.fm/webp/750x0/props/033154070_1786906606589.jpg | https://images.aqar.fm/webp/750x0/props/033154076_1786906606555.jpg | https://images.aqar.fm/webp/750x0/props/033154076_1786906616535.jpg | https://images.aqar.fm/webp/750x0/props/033154071_1786906616561.jpg | https://images.aqar.fm/webp/750x0/props/033154078_1786906616539.jpg | https://images.aqar.fm/webp/750x0/props/033154071_1786906616536.jpg | https://images.aqar.fm/webp/750x0/props/033154077_1786906616541.jpg | https://images.aqar.fm/webp/750x0/props/033154073_1786906616537.jpg | https://images.aqar.fm/webp/750x0/props/033154075_1786906616526.jpg | https://images.aqar.fm/webp/750x0/props/033154077_1786906616568.jpg,24,العنود حمد,مكتب إليك أقرب للعقارات,1,2026-08-16,2026-08-16,2026-08-22,19,2026-08-23,True,"1,500,000",False,فيلا
6758329,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النظيم/شارع-رقم-298-حي-النظيم-مدينة-الرياض-منطقة-الرياض-6758329,"فيلا للبيع في شارع رقم 298, حي النظيم, مدينة الرياض, منطقة الرياض",1520000,338,6,5,4,0,حي النظيم,الرياض,شرق الرياض,"فيلا للبيع بحي النخبة بجانب طريق خريص موقع استراتيجي مكونه من ادوار مساحة الفيلا 338 جنوبية شارع 18 

الدور الارضي: 
مجلس واسع ومقلط ودورة مياة 
مطبخ وغرفة خادمة معها دورة مياة 
صالة كبيرة يخدمها دورة مياة 
قسم غرف النوم مستقل بالخلف وعدد الغرف اربع غرفتين تخدمها دورة مياة وغرفتين ماستر 

الدور الاول : 
مجلس ومقلط ودورة مياة
صالة كبيرة يخدمها دورة مياة 
غرفة خادمة مع دورة مياة 
مطبخ 
عدد غرف النوم 3 ثنتين منها ماستر   

الشقة :
مجلس مع دورة مياة ومطبخ وصالة ودورة مياة للصالة وغرفة خادمة مع دورة مياة وثلاث غرف نوم ثنتين منها ماستر 

السعر الاجمالي للفيلا 1,520,000
https://maps.app.goo.gl/nLa9xZzsNhAmZ2zR7?g_st=ic",24.864924,46.936188,https://images.aqar.fm/webp/750x0/props/048563578_1783097227407.jpg | https://images.aqar.fm/webp/750x0/props/048563570_1783097227458.jpg | https://images.aqar.fm/webp/750x0/props/048563575_1783097227533.jpg | https://images.aqar.fm/webp/750x0/props/048563576_1783097226707.jpg | https://images.aqar.fm/webp/750x0/props/048563570_1783097226778.jpg | https://images.aqar.fm/webp/750x0/props/048563579_1783097226780.jpg | https://images.aqar.fm/webp/750x0/props/048563573_1783097226867.jpg | https://images.aqar.fm/webp/750x0/props/048563579_1783097226883.jpg | https://images.aqar.fm/webp/750x0/props/048563578_1783097226966.jpg | https://images.aqar.fm/webp/750x0/props/048563571_1783097227029.jpg | https://images.aqar.fm/webp/750x0/props/048563573_1783097227091.jpg | https://images.aqar.fm/webp/750x0/props/048563578_1783097227155.jpg | https://images.aqar.fm/webp/750x0/props/048563578_1783097227256.jpg | https://images.aqar.fm/webp/750x0/props/048563572_1783097227343.jpg | https://images.aqar.fm/webp/750x0/props/048563578_1783097227407.jpg | https://images.aqar.fm/webp/750x0/props/048563570_1783097227458.jpg | https://images.aqar.fm/webp/750x0/props/048563575_1783097227533.jpg | https://images.aqar.fm/webp/750x0/props/048563576_1783097226707.jpg | https://images.aqar.fm/webp/750x0/props/048563570_1783097226778.jpg | https://images.aqar.fm/webp/750x0/props/048563579_1783097226780.jpg | https://images.aqar.fm/webp/750x0/props/048563573_1783097226867.jpg | https://images.aqar.fm/webp/750x0/props/048563579_1783097226883.jpg | https://images.aqar.fm/webp/750x0/props/048563578_1783097226966.jpg | https://images.aqar.fm/webp/750x0/props/048563571_1783097227029.jpg | https://images.aqar.fm/webp/750x0/props/048563573_1783097227091.jpg | https://images.aqar.fm/webp/750x0/props/048563578_1783097227155.jpg | https://images.aqar.fm/webp/750x0/props/048563578_1783097227256.jpg | https://images.aqar.fm/webp/750x0/props/048563572_1783097227343.jpg,28,حماد ثامر حامد الظفيري,مؤسسة ثقة النرجس العقارية,1,2026-07-03,2026-08-01,2026-08-23,213,2026-08-23,True,"1,520,000",False,فيلا
6771028,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النظيم/شارع-رقم-3-حي-الندوة-مدينة-الرياض-منطقة-الرياض-6771028,"فيلا للبيع في شارع رقم 3, حي الندوة, مدينة الرياض, منطقة الرياض",1400000,220,7,,,0,حي النظيم,الرياض,شرق الرياض,"مكتب يحيى المالكي للعقارات توفر لك عقارات بمختلف أنواعها ( فلل - أدوار أرضية وعلوية - شقق - تاون هاوس - دبلكس .



شراء وبيع الفلل الحرة والمرهونة في جميع البنوك يتوفر عروض فاخرة جديدة ومجددة  للتمليك ( فلل دبلكس _ تاون هاوس _ أدوار أرضية _ أدوار علوية _ شقق )  

■ شراء و بيع  العقارات المرهونة ■ إيجارات - كتابة عقود ايجار  ■ خدمات عقارية متنوعة ‎#عقارات_الرياض    ‎#شرق_الرياض",24.803551,46.873575,https://images.aqar.fm/webp/750x0/props/028436129_1783893022894.jpg | https://images.aqar.fm/webp/750x0/props/028436123_1783893022005.jpg | https://images.aqar.fm/webp/750x0/props/028436125_1783893022164.jpg | https://images.aqar.fm/webp/750x0/props/028436128_1783893022202.jpg | https://images.aqar.fm/webp/750x0/props/028436127_1783893022205.jpg | https://images.aqar.fm/webp/750x0/props/028436124_1783893022336.jpg | https://images.aqar.fm/webp/750x0/props/028436122_1783893022371.jpg | https://images.aqar.fm/webp/750x0/props/028436121_1783893022474.jpg | https://images.aqar.fm/webp/750x0/props/028436129_1783893022653.jpg | https://images.aqar.fm/webp/750x0/props/028436128_1783893022640.jpg | https://images.aqar.fm/webp/750x0/props/028436123_1783893022674.jpg | https://images.aqar.fm/webp/750x0/props/028436127_1783893022770.jpg | https://images.aqar.fm/webp/750x0/props/028436124_1783893022865.jpg | https://images.aqar.fm/webp/750x0/props/028436128_1783893022926.jpg | https://images.aqar.fm/webp/750x0/props/028436125_1783893023015.jpg | https://images.aqar.fm/webp/750x0/props/028436129_1783893023033.jpg | https://images.aqar.fm/webp/750x0/props/028436126_1783893023142.jpg | https://images.aqar.fm/webp/750x0/props/028436127_1783893023272.jpg | https://images.aqar.fm/webp/750x0/props/028436122_1783893023291.jpg | https://images.aqar.fm/webp/750x0/props/028436128_1783893023394.jpg,20,يحي علي شريف المالكي,مؤسسة مكتب يحي علي شريف الاحمدي المالكي للعقارات,1,2026-07-12,2026-08-11,2026-08-19,99,2026-08-23,True,"1,400,000",False,فيلا
