listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6448976,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النفل/شارع-الحبقة-حي-النفل-مدينة-الرياض-منطقة-الرياض-6448976,"فيلا للبيع في شارع الحبقة, حي النفل, مدينة الرياض, منطقة الرياض",3417000,400,,7,4,11,حي النفل,الرياض,شمال الرياض,"للبيع فيلا فاخرة بحي النفل – دورين منفصلين – موقع استراتيجي ومواصفات مميزة

فيلا أنيقة في حي النفل أحد أرقى أحياء شمال الرياض
عمر العقار 12 سنة – محافظة جدًا ونظيفة
واجهة شمالية على شارع 15 متر
موقع هادئ وقريب من الخدمات والطرق الرئيسية والمدارس والأسواق

الدور الأرضي:

مدخل سيارة مستقل + غرفة سائق
مجلس ضيافة فاخر مع دورة مياه
صالة معيشة عائلية
3 غرف نوم
3 دورات مياه
مطبخ واسع

الدور العلوي (مستقل تمامًا):

 غرفة سائق

مجلس راقي 
غرفة معيشة
صالة 
3 غرف نوم
3 دورات مياه
مطبخ مستقل

الملحق العلوي:

غرفة واسعة
دورة مياه
غرفة غسيل

مميزات إضافية:

عدد 16 مكيف سبلت موزعة على كامل الفيلا ✅
استقلالية تامة بين الدورين (مناسبة للسكن أو الاستثمار) ✅
تشطيبات ممتازة وحالة العقار جاهزة للسكن ✅
موقع راقٍ ومخدوم بالكامل ✅

الدخل التقريبي للعقار :| 

150.000 

البيع:| 

4.000.000 

للتواصل عبر واجهة السحاب للعقارات

📞 ((رقم المعلن يظهر عند التواصل))
📞 ((رقم المعلن يظهر عند التواصل))
📞 ((رقم المعلن يظهر عند التواصل))

نسعى لخدمتك.",24.78801,46.674522,https://images.aqar.fm/webp/750x0/props/013252231_1762005458708.jpg | https://images.aqar.fm/webp/750x0/props/013252238_1762005462284.jpg | https://images.aqar.fm/webp/750x0/props/013252236_1762005468295.jpg | https://images.aqar.fm/webp/750x0/props/013252236_1762005480350.jpg | https://images.aqar.fm/webp/750x0/props/013252231_1762005486466.jpg | https://images.aqar.fm/webp/750x0/props/013252235_1762005491585.jpg | https://images.aqar.fm/webp/750x0/props/013252239_1762005495679.jpg | https://images.aqar.fm/webp/750x0/props/013252235_1762005500089.jpg | https://images.aqar.fm/webp/750x0/props/013252235_1762005505496.jpg | https://images.aqar.fm/webp/750x0/props/013252233_1762005513272.jpg | https://images.aqar.fm/webp/750x0/props/013252231_1762005516731.jpg | https://images.aqar.fm/webp/750x0/props/013252236_1762005520171.jpg | https://images.aqar.fm/webp/750x0/props/013252239_1762005522690.jpg | https://images.aqar.fm/webp/750x0/props/013252231_1762005525195.jpg | https://images.aqar.fm/webp/750x0/props/013252230_1762005529868.jpg | https://images.aqar.fm/webp/750x0/props/013252237_1762005534675.jpg | https://images.aqar.fm/webp/750x0/props/013252239_1762005539205.jpg | https://images.aqar.fm/webp/750x0/props/013252237_1762005542044.jpg | https://images.aqar.fm/webp/750x0/props/013252232_1762005544593.jpg | https://images.aqar.fm/webp/750x0/props/013252237_1762005546978.jpg | https://images.aqar.fm/webp/750x0/props/013252233_1762005551026.jpg | https://images.aqar.fm/webp/750x0/props/013252235_1762005554109.jpg | https://images.aqar.fm/webp/750x0/props/013252234_1762005556882.jpg | https://images.aqar.fm/webp/750x0/props/013252230_1762005559512.jpg,24,عبدالرحمن وليد بن سليمان الفنيخ,مؤسسة واجهة السحاب للعقارات,1,2025-11-01,2025-11-01,2026-08-22,2466,2026-08-23,True,"3,417,000",False,فيلا
6802606,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النفل/شارع-الصفرة-حي-النفل-مدينة-الرياض-منطقة-الرياض-6802606,"فيلا للبيع في شارع الصفرة, حي النفل, مدينة الرياض, منطقة الرياض",5500000,375,5,7,2,2,حي النفل,الرياض,شمال الرياض,$5c,24.775199,46.677265,https://images.aqar.fm/webp/750x0/props/027469468_1785699551210.jpg | https://images.aqar.fm/webp/750x0/props/027469467_1785699551210.jpg | https://images.aqar.fm/webp/750x0/props/027469469_1785699551145.jpg | https://images.aqar.fm/webp/750x0/props/027469465_1785699551146.jpg | https://images.aqar.fm/webp/750x0/props/027469462_1785699551147.jpg | https://images.aqar.fm/webp/750x0/props/027469461_1785699551156.jpg | https://images.aqar.fm/webp/750x0/props/027469465_1785699551161.jpg | https://images.aqar.fm/webp/750x0/props/027469469_1785699551171.jpg | https://images.aqar.fm/webp/750x0/props/027469461_1785699551170.jpg | https://images.aqar.fm/webp/750x0/props/027469464_1785699551182.jpg,10,بندر خالد عبدالله الشثري,مؤسسة النطاق الشامل للخدمات العقارية,1,2026-08-02,2026-08-02,2026-08-18,786,2026-08-23,True,"5,500,000",False,فيلا
6380959,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النفل/شارع-الحلوة-حي-النفل-الرياض-منطقة-الرياض-6380959,"فيلا للبيع في شارع الحلوة, حي النفل, مدينة الرياض, منطقة الرياض",3500000,136,7,5,2,11,حي النفل,الرياض,شمال الرياض,"فيلا دورين مفصوله مساحه ٣٢٥م واجهه غربيه على حرف تي قريبه من مسجد ومواقف مسجد وجميع الخدمات وقريبه من المسار الرياضي. طريق الامير محمد بن سلمان وقريبه من محطة المقطار الربيع.
كل دور عباره عن ٤ غرف ومطبخ وصاله و٤ دورات مياه وقراش وغرفة خادمه ومشب.",24.786717,46.670482,https://images.aqar.fm/webp/750x0/props/005957066_1757840366331.jpg,1,سالم محمد علي آل حمود,,,2025-09-14,2025-09-21,2026-07-14,3464,2026-08-23,True,"3,500,000",False,فيلا
6700497,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النفل/شارع-عبدالله-بن-عتيك-حي-النفل-مدينة-الرياض-منطقة-الرياض-6700497,"فيلا للبيع في شارع عبدالله بن عتيك, حي النفل, مدينة الرياض, منطقة الرياض",2050000,217,4,3,2,0,حي النفل,الرياض,شمال الرياض,"تاون هاوس مناسبة للسكن الراقي والباحثين عن الخصوصية والفخامة في أحد أرقى أحياء شمال الرياض
للبيــــــــع تاون هاوس بحي  النفل
بتصميم مودرن وموقع مميز، بمساحة 217 م²، وتشطيبات راقية تناسب الباحثين عن الفخامة والراحة.
مكونات الفيلا:
صالتان واسعتان
3 غرف نوم ماستر
4 دورات مياه
مطبخ
مستودع
غرفة خادمة
غرفة سائق
مصعد راكب
تكييف مركزي راكب
مطبخ راكب
حوش خاص ومدخل سيارة
سطح علوي مميز
تقع  في موقع حيوي وقريب من جميع الخدمات والمرافق الرئيسية. السكن  ( تاون هاوس )",24.782661,46.675814,https://images.aqar.fm/webp/750x0/props/041169444_1779016294842.jpg | https://images.aqar.fm/webp/750x0/props/041169448_1779016294868.jpg | https://images.aqar.fm/webp/750x0/props/041169446_1779016294842.jpg | https://images.aqar.fm/webp/750x0/props/041169449_1779016294791.jpg | https://images.aqar.fm/webp/750x0/props/041169449_1779016294853.jpg | https://images.aqar.fm/webp/750x0/props/041169442_1779016295012.jpg,6,نهار الشمري,مؤسسة افاق البناء العمراني للتطوير العقاري,1,2026-05-17,2026-08-12,2026-08-23,4170,2026-08-23,True,"2,050,000",False,فيلا
6696708,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النفل/شارع-الحرجة-حي-النفل-مدينة-الرياض-منطقة-الرياض-6696708,"فيلا للبيع في شارع الحرجة, حي النفل, مدينة الرياض, منطقة الرياض",4600000,600,,,,5,حي النفل,الرياض,شمال الرياض,"للبيع فلة في حي النفل المربع الذهبي بقيمة ارض 

تحديث

(( تم تخفيض السعر )) 

4 مليون 

📍 خلف نادي شركة الكهرباء 
https://maps.app.goo.gl/91JuU3EEGtFLLjSSA

المساحة:  600متر  حسب الصك 

الاطوال: 10م × 60م عمق

✨المميزات✨:

📍موقع استراتيجي قريب من جميع الأماكن الرئيسية في شمال الرياض

🌳قريبة من المسجد و هناك حديقة في الجوار والمنطقة هادئة و مميزة

🚊بالقرب من محطة مترو الربيع حوالي 5 دقائق فقط بالسيارة

البيع لأعلى سومة 

للتواصل  
 صاحب الترخيص : ابراهيم خالد",24.780173,46.676374,https://images.aqar.fm/webp/750x0/props/012251670_1778747823524.jpg | https://images.aqar.fm/webp/750x0/props/012251674_1778747851618.jpg | https://images.aqar.fm/webp/750x0/props/012251670_1778747872578.jpg | https://images.aqar.fm/webp/750x0/props/012251679_1778747872587.jpg | https://images.aqar.fm/webp/750x0/props/012251679_1778747872582.jpg | https://images.aqar.fm/webp/750x0/props/012251674_1778747872603.jpg | https://images.aqar.fm/webp/750x0/props/012251672_1778747872591.jpg | https://images.aqar.fm/webp/750x0/props/012251670_1778747872594.jpg | https://images.aqar.fm/webp/750x0/props/012251675_1778747872586.jpg | https://images.aqar.fm/webp/750x0/props/012251673_1778747872588.jpg,10,ابراهيم خالد ابراهيم الصائغ,,,2026-05-14,2026-08-09,2026-08-09,1529,2026-08-23,True,"4,600,000",False,فيلا
6716981,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النفل/شارع-الحلوة-حي-النفل-مدينة-الرياض-منطقة-الرياض-6716981,"فيلا للبيع في شارع الحلوة, حي النفل, مدينة الرياض, منطقة الرياض",4200000,324,7,0,0,11,حي النفل,الرياض,شمال الرياض,"السلام عليكم
عندي فيلا شمال الرياض مساحه 330 حي النفل شارع الحلوه عمرها تقريبا 19 سنه مجدده كامل أرغب في بيعها بفرشها كامل عدا الغرف والمكيفات والتلفزيونات وأجهزة المطبخ 
السعر المطلوب 4.200000
أربعه مليون و 200 الف",24.786568,46.670735,https://images.aqar.fm/webp/750x0/props/001938572_1780464955533.jpg,1,سعيد حمدان سعيد السبيعي,,0,2026-06-03,2026-07-31,2026-08-15,932,2026-08-23,True,"4,200,000",False,فيلا
6672229,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النفل/شارع-الحضي-حي-النفل-مدينة-الرياض-منطقة-الرياض-6672229,"فيلا للبيع في شارع الحضي, حي النفل, مدينة الرياض, منطقة الرياض",8000000,575,,,,11,حي النفل,الرياض,شمال الرياض,"مجلسين رجال +مجلس نساء 
مقلط+ غرفة نوم+ صالة جانبية مطلة على حديقة صغيرة 
سلم داخلي إلى الدود الثاني + سلم خدمة مطبخين + 3 حمامات 
كراج سيارة + غرفة سائق 
الدور الثاني:
4 غرف نوم بحمامين
غرفة نوم رئيسية مع حمام مستقل وغرفة ملابس وجلسة 
صالة مطلة على الدور الأول
السطح مع ملحق غرفتين وحمام",24.776799,46.681096,https://images.aqar.fm/webp/750x0/props/001958269_1777307863300.jpg | https://images.aqar.fm/webp/750x0/props/001958264_1777307871563.jpg | https://images.aqar.fm/webp/750x0/props/001958262_1777307887206.jpg | https://images.aqar.fm/webp/750x0/props/001958267_1777307895624.jpg | https://images.aqar.fm/webp/750x0/props/001958268_1777307901210.jpg | https://images.aqar.fm/webp/750x0/props/001958260_1777307905983.jpg | https://images.aqar.fm/webp/750x0/props/001958264_1777307926948.jpg | https://images.aqar.fm/webp/750x0/props/001958266_1777307931640.jpg | https://images.aqar.fm/webp/750x0/props/001958265_1777307936138.jpg | https://images.aqar.fm/webp/750x0/props/001958262_1777307940106.jpg | https://images.aqar.fm/webp/750x0/props/001958269_1777307948906.jpg,11,مبارك محبوب مبارك المجادعه,مكتب واحة النفل للعقارات,1,2026-04-27,2026-08-21,2026-08-21,1489,2026-08-23,True,"8,000,000",False,فيلا
6727156,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النفل/شارع-الجيموم-حي-النفل-مدينة-الرياض-منطقة-الرياض-6727156,"فيلا للبيع في شارع الجيموم, حي النفل, مدينة الرياض, منطقة الرياض",6500000,525,6,5,0,0,حي النفل,الرياض,شمال الرياض,"✨للبيع فيلا فاخرة بناء شخصي ✨
الرياض _ حي النفل 
تصميم حديث ومميز
المساحة 525م
مسطح البناء 700م
الاطوال 21*25
الشارع 15
الواجهة غربية مقابل حديقة
الدور الارضي/
استقبال كامل 
مطبخ
مستودع
الدور الاول /
غرفة ماستر  مع غرفة خاصة للملابس
و3 غرف بدورات مياة
الدور الثاني/
2 غرفة وصالة واسعة
غرفة غسيل 
سطح
تتميز الفيلا بـ مسطحات خضراء 200م
ارضيات رخام
اطلالات على حديقة
تكييف مركزي كامل الفيلا 
واجهات الفيلا والسور بورسلان بالكامل 
رقم الاعلان 7100288435",24.777732,46.682105,https://images.aqar.fm/webp/750x0/props/024719475_1781095273072.jpg | https://images.aqar.fm/webp/750x0/props/024719475_1781095273050.jpg | https://images.aqar.fm/webp/750x0/props/024719470_1781095273106.jpg | https://images.aqar.fm/webp/750x0/props/024719476_1781095273062.jpg | https://images.aqar.fm/webp/750x0/props/024719475_1781095273119.jpg | https://images.aqar.fm/webp/750x0/props/024719470_1781095273130.jpg,6,الجوهره غصن بن مشنان آل مبارك,,,2026-06-10,2026-08-07,2026-08-22,3033,2026-08-23,True,"6,500,000",False,فيلا
6706417,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النفل/شارع-الحجور-حي-النفل-مدينة-الرياض-منطقة-الرياض-6706417,"فيلا للبيع في شارع الحجور, حي النفل, مدينة الرياض, منطقة الرياض",3500000,375,7,5,3,11,حي النفل,الرياض,شمال الرياض,"فيلا للبيع في حي النفل
المساحة. :  375 م
العمر   :  15 سنة 
الواجهات  : جنوبا  شارع عرض 15
تتكون من  :   دور أرضي مؤجر بسعر  50.000 في السنة
ودور علوي :  مؤجر بسعر :  50.000
وشقة بسعر :  35.000 
إجمالي الدخل :  135.000

للمعاينة أو تنسيق موعد 
مكتب / محمد الصغير للعقارات 
واتس /  ((الرقم يظهر عند الضغط على اتصال)) 

Villa for sale in Al-Nafl neighborhood
Area: 375 sq m
Age: 15 years
Facing: South, 15 m wide street
Consists of: Ground floor (rented for SAR 50,000 per year), Upper floor (rented for SAR 50,000), and an apartment (rented for SAR 35,000)
Total income: SAR 135,000
For viewing or to schedule an appointment, please contact: Mohammed Al-Saghir Real Estate Office
WhatsApp: ((الرقم يظهر عند الضغط على اتصال))",24.787486,46.679445,https://images.aqar.fm/webp/750x0/props/000546708_1779340244569.jpg | https://images.aqar.fm/webp/750x0/props/000546705_1779340244577.jpg | https://images.aqar.fm/webp/750x0/props/000546702_1779340244567.jpg,3,محمد صالح عبدالله الصغير,مؤسسة مكتب محمد صالح الصغير للعقارات,1,2026-05-21,2026-08-16,2026-08-22,1410,2026-08-23,True,"3,500,000",False,فيلا
6550284,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-النفل/شارع-الحسي-حي-النفل-مدينة-الرياض-منطقة-الرياض-6550284,"فيلا للبيع في شارع الحسي, حي النفل, مدينة الرياض, منطقة الرياض",4200000,500,4,,,11,حي النفل,الرياض,شمال الرياض,"*للبيع فيلا حي النفل*
المساحة  » ٥٠٠ م
الواجهة  »  شمالية 
عرض الشارع  »  ١٥ م 
عبارة عن دورين وشقتين 
الدورين مستاجرين 
الشقق غير مستاجره 
قيمه الايجار تقريبا ١٥٠ الف 
دخل الفله اجمالي ٢٥٠ الف ريال 
*تقبل بنك*
مباشر مع المالك",24.784341,46.678322,https://images.aqar.fm/webp/750x0/props/029173014_1768670381236.jpg,1,عبدالملك ابراهيم محمد الجمعان,شركة بنايات نجد للتسويق شخص واحد,1,2026-01-17,2026-08-21,2026-08-21,2030,2026-08-23,True,"4,200,000",False,فيلا
