listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6727443,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النهضة/شارع-بحر-الخفج-حي-النهضة-مدينة-الرياض-منطقة-الرياض-6727443,"فيلا للبيع في شارع بحر الخفج, حي النهضة, مدينة الرياض, منطقة الرياض",2400000,528,5,5,2,11,حي النهضة,الرياض,شرق الرياض,$5c,24.767339,46.828737,https://images.aqar.fm/webp/750x0/props/001439879_1781143441373.jpg | https://images.aqar.fm/webp/750x0/props/001439870_1781143468655.jpg | https://images.aqar.fm/webp/750x0/props/001439873_1781143506990.jpg | https://images.aqar.fm/webp/750x0/props/001439879_1781143529852.jpg | https://images.aqar.fm/webp/750x0/props/001439872_1781143605778.jpg | https://images.aqar.fm/webp/750x0/props/001439872_1781143648210.jpg | https://images.aqar.fm/webp/750x0/props/001439871_1781153028207.jpg,7,علي ال درويش,مؤسسة أملاك العروبه للعقارات,1,2026-06-10,2026-06-10,2026-08-21,1930,2026-08-23,True,"2,400,000",False,فيلا
6577208,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النهضة/شارع-مالك-بن-الريب-حي-النهضة-مدينة-الرياض-منطقة-الرياض-6577208,"فيلا للبيع في شارع مالك بن الريب, حي النهضة, مدينة الرياض, منطقة الرياض",3500000,376,,5,5,0,حي النهضة,الرياض,شرق الرياض,"فيلا علي شارعين 25 شرقي و20 جنوبي (مباعه) يوجد مشروع آخر تحت التشطيب
مساحة 375 متر
نظام دور دور شقة
كل دور بخزان وعداد مياه وعداد كهرباء مستقل
تصلح للسكن و الاستثمار
مخطط بغلف 
السعر 3،500،000 
غير شامل السعي والضريبة
الموقع دقيق
الوسيط الحصري ابو سلطان 
((رقم المعلن يظهر عند التواصل))",24.747906,46.808728,https://images.aqar.fm/webp/750x0/props/007826935_1770283044943.jpg,1,نايف سلطان,,,2026-02-05,2026-07-29,2026-08-18,2322,2026-08-23,True,"3,500,000",False,فيلا
6689919,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النهضة/شارع-الكدادية-حي-النهضة-مدينة-الرياض-منطقة-الرياض-6689919,"فيلا للبيع في شارع الكدادية, حي النهضة, مدينة الرياض, منطقة الرياض",1950000,337,6,5,3,0,حي النهضة,الرياض,شرق الرياض,$5e,24.756205,46.796874,https://images.aqar.fm/webp/750x0/props/048964202_1778392612173.jpg | https://images.aqar.fm/webp/750x0/props/048964202_1778392622633.jpg | https://images.aqar.fm/webp/750x0/props/048964201_1778392637186.jpg | https://images.aqar.fm/webp/750x0/props/048964206_1778392662234.jpg | https://images.aqar.fm/webp/750x0/props/048964200_1778392673035.jpg | https://images.aqar.fm/webp/750x0/props/048964205_1778392693725.jpg | https://images.aqar.fm/webp/750x0/props/048964208_1778392725447.jpg | https://images.aqar.fm/webp/750x0/props/048964203_1778392725449.jpg | https://images.aqar.fm/webp/750x0/props/048964201_1778392736633.jpg | https://images.aqar.fm/webp/750x0/props/048964200_1778392774239.jpg | https://images.aqar.fm/webp/750x0/props/048964208_1778392805267.jpg | https://images.aqar.fm/webp/750x0/props/048964200_1778392805282.jpg | https://images.aqar.fm/webp/750x0/props/048964207_1778392821881.jpg | https://images.aqar.fm/webp/750x0/props/048964205_1778392828452.jpg | https://images.aqar.fm/webp/750x0/props/048964203_1778392839243.jpg | https://images.aqar.fm/webp/750x0/props/048964204_1778392875698.jpg | https://images.aqar.fm/webp/750x0/props/048964203_1778392875716.jpg | https://images.aqar.fm/webp/750x0/props/048964208_1778392875700.jpg | https://images.aqar.fm/webp/750x0/props/048964208_1778392901748.jpg | https://images.aqar.fm/webp/750x0/props/048964206_1778392901751.jpg | https://images.aqar.fm/webp/750x0/props/048964205_1778392901756.jpg | https://images.aqar.fm/webp/750x0/props/048964204_1778392921203.jpg | https://images.aqar.fm/webp/750x0/props/048964206_1778392921203.jpg | https://images.aqar.fm/webp/750x0/props/048964208_1778392934072.jpg,24,عبدالله اليوسف,مؤسسة اثال العقارية للعقارات,1,2026-05-10,2026-07-07,2026-08-21,1934,2026-08-23,True,"1,950,000",False,فيلا
6707718,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النهضة/شارع-أبي-زيد-الأنصاري-حي-النهضة-مدينة-الرياض-منطقة-الرياض-6707718,"فيلا للبيع في شارع أبي زيد الأنصاري, حي النهضة, مدينة الرياض, منطقة الرياض",5127000,870,,6,2,11,حي النهضة,الرياض,شرق الرياض,فيلا للبيع بمساحة 870 ويوجد عدد 4 محلات على الجهة الشمالية (شارع 30) ومؤجرة,24.76611,46.823374,https://images.aqar.fm/webp/750x0/props/002158642_1779459424938.jpg | https://images.aqar.fm/webp/750x0/props/002158649_1779459434630.jpg,2,يحيى عثمان احمد البشر,مؤسسة مكتب يحيى عثمان البشر للعقارات,1,2026-05-22,2026-05-22,2026-07-06,381,2026-08-23,True,"5,127,000",False,فيلا
6686869,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النهضة/شارع-خلف-بن-خليفة-حي-النهضة-مدينة-الرياض-منطقة-الرياض-6686869,"فيلا للبيع في شارع خلف بن خليفة, حي النهضة, مدينة الرياض, منطقة الرياض",1150000,180,5,0,0,0,حي النهضة,الرياض,شرق الرياض,"للبيع تاون هاوس علوى بشرق الرياض بحى النهضه 
يوجد جميع الخدمات",24.768067,46.819492,https://images.aqar.fm/webp/750x0/props/046839726_1778164690167.jpg | https://images.aqar.fm/webp/750x0/props/046839724_1778164763548.jpg | https://images.aqar.fm/webp/750x0/props/046839724_1778164763711.jpg | https://images.aqar.fm/webp/750x0/props/046839721_1778164763714.jpg | https://images.aqar.fm/webp/750x0/props/046839722_1778164763671.jpg | https://images.aqar.fm/webp/750x0/props/046839726_1778164763668.jpg | https://images.aqar.fm/webp/750x0/props/046839721_1778164763766.jpg | https://images.aqar.fm/webp/750x0/props/046839727_1778164763687.jpg | https://images.aqar.fm/webp/750x0/props/046839728_1778164763589.jpg | https://images.aqar.fm/webp/750x0/props/046839723_1778164843282.jpg | https://images.aqar.fm/webp/750x0/props/046839728_1778164843292.jpg | https://images.aqar.fm/webp/750x0/props/046839728_1778164843380.jpg | https://images.aqar.fm/webp/750x0/props/046839722_1778164843459.jpg | https://images.aqar.fm/webp/750x0/props/046839721_1778164843526.jpg | https://images.aqar.fm/webp/750x0/props/046839724_1778164843615.jpg | https://images.aqar.fm/webp/750x0/props/046839722_1778164843599.jpg,16,سلمان صالح علي المطيري,مكتب بصمة إنماء وإعمار العقارية,1,2026-05-07,2026-08-02,2026-08-02,4391,2026-08-23,True,"1,150,000",False,فيلا
6509471,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النهضة/شارع-البراقية-حي-النهضة-مدينة-الرياض-منطقة-الرياض-6509471,"فيلا للبيع في شارع البراقية, حي النهضة, مدينة الرياض, منطقة الرياض",4500000,728,,5,0,11,حي النهضة,الرياض,شرق الرياض,"فيلا فاخرة للبيع – حي النهضة

تُعرض للبيع فيلا مميزة تتمتع بمساحة واسعة وتصميم عملي يناسب السكن العائلي، مع موقع استراتيجي داخل حي هادئ ومتكامل الخدمات.

المساحة: 728 م²
الواجهة: شمالية غربية
على شارعين: شمالي وغربي – عرض كل شارع 10 متر
دورين مفصوله + شقة
⸻

الدور الأرضي:
	•	ثلاث غرف نوم، إحداها ماستر.
	•	مجلس رجال واسع.
	•	صالة طعام راقية.
	•	ملحقان خارجيان كبار مع دورة مياه.
	•	مطبخ خارجي يخدم الضيافة والمناسبات.
	•	ملحق نساء خارجي.
	•	مجلس رجال خارجي بدورة مياه مستقلة.
	•	مستودع مكيف لتخزين الاحتياجات.
	•	غرفة خادمة.
	•	غرفة سائق.

⸻

الدور الثاني:
	•	ثلاث غرف نوم، إحداها ماستر.
	•	ثلاث دورات مياه.
	•	صالة معيشة مريحة.
	•       مجلس رجال 
      •           مقلط
      •          مطبخ 


⸻

الدور الثالث – شقة مستقلة:
	•	ثلاث غرف نوم.
	•	مجلس رجال.
	•	ثلاث دورات مياة
      •         مطبخ 

⸻

مميزات الموقع:
	•	يبعد عن طريق خريص حوالي دقيقتين فقط.
	•	قريب من شارع الخبر وشارع سلمان الفارسي.
	•	على مقربة من مجمع العثيم مول.
	•	محاط بالخدمات اليومية والمحلات التجارية، مما يجعل الموقع مثاليًا للسكن",24.755791,46.824234,https://images.aqar.fm/webp/750x0/props/007300423_1765905039282.jpg | https://images.aqar.fm/webp/750x0/props/007300427_1765905039270.jpg | https://images.aqar.fm/webp/750x0/props/007300423_1765905078381.jpg | https://images.aqar.fm/webp/750x0/props/007300424_1765905078380.jpg | https://images.aqar.fm/webp/750x0/props/007300428_1765905099499.jpg | https://images.aqar.fm/webp/750x0/props/007300424_1765905214465.jpg | https://images.aqar.fm/webp/750x0/props/007300426_1765905266988.jpg | https://images.aqar.fm/webp/750x0/props/007300422_1765905336734.jpg | https://images.aqar.fm/webp/750x0/props/007300425_1765905437084.jpg | https://images.aqar.fm/webp/750x0/props/007300428_1765905449175.jpg | https://images.aqar.fm/webp/750x0/props/007300429_1765905564390.jpg | https://images.aqar.fm/webp/750x0/props/007300427_1765905665547.jpg | https://images.aqar.fm/webp/750x0/props/007300429_1765905695440.jpg | https://images.aqar.fm/webp/750x0/props/007300425_1765905705787.jpg | https://images.aqar.fm/webp/750x0/props/007300423_1765905705780.jpg | https://images.aqar.fm/webp/750x0/props/007300423_1765905888573.jpg | https://images.aqar.fm/webp/750x0/props/007300426_1765905888650.jpg | https://images.aqar.fm/webp/750x0/props/007300427_1765905921238.jpg,18,عبدالرحمن رياض,شركة عنان السحاب العقارية,1,2025-12-16,2025-12-16,2026-08-20,1469,2026-08-23,True,"4,500,000",False,فيلا
6760697,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النهضة/شارع-أبي-الأشعث-حي-النهضة-مدينة-الرياض-منطقة-الرياض-6760697,"فيلا للبيع في شارع أبي الأشعث, حي النهضة, مدينة الرياض, منطقة الرياض",3800000,780,7,1,0,11,حي النهضة,الرياض,شرق الرياض,"فيلا للبيع مساحه ٧٨٠متر زاويه شارع 20جنوبي و 14شرقي 
دور وشقتين وغرفتين بالسطح 
الذور الاول 
5 غرف وملحق 
الشقق 4 غرف 
السطح غرفتين
شارعين 20 و14 على مرفق",24.768731,46.819221,https://images.aqar.fm/webp/750x0/props/004304623_1783261816683.jpg | https://images.aqar.fm/webp/750x0/props/004304626_1783261816815.jpg | https://images.aqar.fm/webp/750x0/props/004304620_1783261816867.jpg | https://images.aqar.fm/webp/750x0/props/004304626_1783261816868.jpg,4,شباب بركان بركه المطيري,مكتب درة البركات للعقارات,1,2026-07-05,2026-08-03,2026-08-23,345,2026-08-23,True,"3,800,000",False,فيلا
6642857,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النهضة/شارع-محمد-بن-أحمد-السديري-حي-النهضة-مدينة-الرياض-منطقة-الرياض-6642857,"فيلا للبيع في شارع محمد بن أحمد السديري, حي النهضة, مدينة الرياض, منطقة الرياض",3000000,450,,4,5,11,حي النهضة,الرياض,شرق الرياض,"https://maps.app.goo.gl/irywnNPS6qp6SYHZ7


للبيع فيلا حي النهضة 
المساحه ٤٥٠م 
زاوية شمالي شرقي 
شوارع 10 م 
العمر 12تقريا 
دور وثلاث شقق 
الدور الارضي ٤ غرف نوم
غرفه من الاربعه ماستر
صاله كبيره 
مطبخ 
مستودع 
مقلط
مجلس
ومشب بالحوش 
و٤ حمامات وانتم كرامه بالدور الارضي

الدور الاول شقتين
كل شقه لها مدخلين 
مدخل رجال
ومدخل نساء
غرفتين نوم بينهم حمام
وصاله
ومطبخ
ومجلس رجال مع مغاسل وحمام
والدور الثاني 
شقه نفس شقق الدور الاول
بالاضافه لخيمه ملكيه
الشقق مؤجرة بي 57 ألف ايجار قديم قابل للزياده 
عليها صندوق عقاري 500 ألف بدون فوائد",24.759032,46.816032,https://images.aqar.fm/webp/750x0/props/034896198_1775417734680.jpg | https://images.aqar.fm/webp/750x0/props/034896195_1775417734683.jpg | https://images.aqar.fm/webp/750x0/props/034896198_1775417734751.jpg | https://images.aqar.fm/webp/750x0/props/034896193_1775417734771.jpg,4,عيد عبدالرحمن مناحي العتيبي,مؤسسة سطوع الخيال للتجارة,1,2026-04-05,2026-04-05,2026-08-17,404,2026-08-23,True,"3,000,000",False,فيلا
6814481,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النهضة/شارع-الشاهر-حي-النهضة-مدينة-الرياض-منطقة-الرياض-6814481,"فيلا للبيع في شارع الشاهر, حي النهضة, مدينة الرياض, منطقة الرياض",2350000,250,6,,,0,حي النهضة,الرياض,شرق الرياض,"للبيع فلل حديثة بتصميم مودرن شخصي من المالك 
الحي: النهضة
المساحات : ٢٥٠  م لكل فيلا 
الشارع: ١٥ شمالي
واجهة الفيلا بطابع جميل عصري 
المواصفات: درج داخلي وتأسيس مصعد 
الدور الارضي: مدخل سيارةومجلس داخلي وطعام وصالة واسعه ومطبخ واسع ودورتين مياه واطلاله حديقة 
الدور الاول: ٥ غرف نوم  بما فيها الماسترروم 
و ٣ دورات مياة 
الدور الثاني : ٢ غرف نوم و٢ حمامات وصاله وغرفه غسيل وسطح كبير
١/ اشراف مكتب هندسي معتمد حديد سابك .
٢/ الانابيب خضراء ضمان 15 سنة .
٣/ تأمين شركة ملاذ ضد العيوب الخفيه حسب الكود السعودي .
٤/ شهادة اتمام بناء .

٥/ جميع الضمانات بالفواتير .
السعر 2,350,000
لتواصل والاستفسار 
((الرقم يظهر عند الضغط على اتصال))",24.771996,46.816501,https://images.aqar.fm/webp/750x0/props/042755470_1786366598692.jpg | https://images.aqar.fm/webp/750x0/props/042755478_1786366598583.jpg | https://images.aqar.fm/webp/750x0/props/042755476_1786366598482.jpg | https://images.aqar.fm/webp/750x0/props/042755474_1786366598530.jpg | https://images.aqar.fm/webp/750x0/props/042755477_1786366598548.jpg | https://images.aqar.fm/webp/750x0/props/042755479_1786366598480.jpg,6,صالح بن عبيد بن عايش العنزي,مكتب ابداع الصحافة للخدمات العقارية,1,2026-08-10,2026-08-10,2026-08-22,69,2026-08-23,True,"2,350,000",False,فيلا
6822489,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-النهضة/شارع-إبراهيم-الرشودي-حي-النهضة-مدينة-الرياض-منطقة-الرياض-6822489,"فيلا للبيع في شارع إبراهيم الرشودي, حي النهضة, مدينة الرياض, منطقة الرياض",2200000,350,5,,,11,حي النهضة,الرياض,شرق الرياض,"للبيــــــــع فيلا درج صاله بحي النهضة

مقابل مسجد وقريب من جميع الخدمات

المساحه ٣٥٠م

شارع ١٥ غربيه
عمرها ١٥ سنه
مواصفات الفيلا
الدور الارضي استقبال بالكامل
ملحق خارجي في الجهه الاماميه مع دوره مياه
غرفه سائق في الجهه الاخري من الحوش
مجالس مع غرفة طعام ومطبخ

الدور الاول

اربع غرفه نوم 
غرفتين نوم ماستر
وغرفتين بينهم دوره مياه

السطح غرفه واسعه مع حمام

السوم ٢مليون ٢٠٠
الحد ٢مليون ٥٠٠
مباشرمن المالك",24.749308,46.814692,https://images.aqar.fm/webp/750x0/props/011011749_1786726723823.jpg | https://images.aqar.fm/webp/750x0/props/011011743_1786726723844.jpg | https://images.aqar.fm/webp/750x0/props/011011749_1786726729279.jpg | https://images.aqar.fm/webp/750x0/props/011011744_1786726729284.jpg | https://images.aqar.fm/webp/750x0/props/011011745_1786726729288.jpg | https://images.aqar.fm/webp/750x0/props/011011748_1786726729315.jpg,6,سلوى المساوى,مؤسسة سلوى حسن المساوى,1,2026-08-14,2026-08-14,2026-08-23,103,2026-08-23,True,"2,200,000",False,فيلا
