listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6776665,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الواحة/شارع-رفحا-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6776665,"فيلا للبيع في شارع رفحا, حي الملك سلمان, مدينة الرياض, منطقة الرياض",22000000,1400,,0,0,0,حي الواحة,الرياض,شمال الرياض,"✨للبيع ✨
قصر عظم 
المساحة 1400 م
الرياض _حي الملك سلمان
في موقع جدا مميز
القصر فخم ومتكامل 
عبارة عن قبو على مساحة الأرض 
ويتكون من قسمين 
قسم خاص للسيارات ويتسع
لأكثر من 10 سيارات وسكن 
للسائقين مع مصعد و3 مداخل درج
والقسم الثاني صالة رياضية 
مسبح
جاكوزي 
وغرف 
الدور الارضي /
2 مجلس رجال 
صالة طعام 
صالة واسعة 
2 غرفة مع دورات المياة
مطبخ رئيسي مع مستودع
درج داخلي ودرج خدمة ومصعد
الدور الاول جناح رئيسي 
صالة 
8 غرف مع دورات المياة
الدور الثاني 
جناح رئيسي مطل على السطح
4 غرف مع دورات المياة
قسم خاص للعاملات
درج خدمة
سطح
رقم الاعلان 7100301376",24.743604,46.723615,https://images.aqar.fm/webp/750x0/props/024719478_1784198496224.jpg,1,الجوهره غصن بن مشنان آل مبارك,,,2026-07-16,2026-08-14,2026-08-22,1375,2026-08-23,True,"22,000,000",False,فيلا
6824500,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الواحة/شارع-الخيالة-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6824500,"فيلا للبيع في شارع الخيالة, حي الملك سلمان, مدينة الرياض, منطقة الرياض",5500000,500,4,5,1,11,حي الواحة,الرياض,شمال الرياض,"الدور الأرضي
مجلس رجال ودورة مياه ومغاسل ومقلط
صالة كبيرة ودورة مياه ومغاسل ومطبخ

درج داخلي 

الدور الأول 
جناح مكون من غرفتين مع دورة مياه 

جناح غرفة مع دورة مياه 

جناح غرفة مع دورة مياه 

وصالة 


السطح يوجد غرفة و غرفة خادمة مع دورة مياه مع غرفة غسيل ملابس 

يوجد حوالي ٨ مكيفات سبلت 

يوجد ملحق خارجي ومدخل سيارة",24.734187,46.722339,https://images.aqar.fm/webp/750x0/props/050831074_1786829012313.jpg,1,سلطان سعد,مكتب الايضاح للخدمات العقارية,1,2026-08-15,2026-08-15,2026-08-15,367,2026-08-23,True,"5,500,000",False,فيلا
6716080,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الواحة/شارع-عبدالله-الفزاري-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6716080,"فيلا للبيع في شارع عبدالله الفزاري, حي الملك سلمان, مدينة الرياض, منطقة الرياض",20000000,869,,7,2,11,حي الواحة,الرياض,شمال الرياض,"المساحة الإجمالية: 1,767 متر مربع.

للبيع عقار استثنائي (زاوية) في حي الواحة | فرصة نادرة للسكن الفاخر أو التطوير الاستثماري
سواء كنت تبحث عن أرض راهية بموقع استراتيجي لبناء قصر أحلامك وتطويره، أو كنت مطوراً عقارياً يبحث عن صفقة ذهبية للفرز والاستثمار.. هذا العقار يلبي طموحك!

📍 الموقع :
الرياض - حي الواحة (ضمن النطاق الحيوي لمشروع حديقة الملك سلمان)، حيث القيمة العقارية المتصاعدة والبيئة السكنية الراقية.

📐 أولاً: للمطورين والمستثمرين (أبعاد مثالية للفرز والتطوير):
المساحة الإجمالية: 1,767 متر مربع.

الواجهة: زاوية (شمالية شرقية) .

الشوارع: شارع شمالي عرض 20 متر + شارع شرقي عرض 15 متر.

الأطوال والأعماق الاستثمارية:

واجهة ذهبية بطول 50 متر على شارع 20م.

عمق مميز بطول 35.34 متر على شارع 15م.
(أطوال نموذجية تمنحك مرونة كاملة لفرز الأرض إلى عدة قطع، أو بناء مجمع فلل/تاون هاوس مودرن بواجهات مستقلة وإطلالات كاملة).

🏡 ثانياً: للراغبين في السكن الفاخر والترميم:
البيع يتم بقيمة أرض، لكنك ستحصل على بنيان قائم (عمر الفيلا 25 سنة) بهيكل إنشائي قوي ومساحات داخلية وخارجية يصعب تكرارها اليوم، جاهزة لإعادة التصميم والترميم لتكون قصراً خاصاً:

الأجنحة الخاصة: 7 غرف نوم واسعة.

مساحات الضيافة: مجالس استقبال داخلية فاخرة + ملاحق خارجية لخصوصية تامة.

المرافق الترفيهية: بدروم (قبو) واسع متعدد الاستخدامات + مسبح خاص.",24.741724,46.708523,https://images.aqar.fm/webp/750x0/props/005261961_1782732065576.jpg | https://images.aqar.fm/webp/750x0/props/005261965_1782732134403.jpg | https://images.aqar.fm/webp/750x0/props/005261966_1782732134493.jpg | https://images.aqar.fm/webp/750x0/props/005261966_1782732134507.jpg | https://images.aqar.fm/webp/750x0/props/005261960_1782732134497.jpg | https://images.aqar.fm/webp/750x0/props/005261960_1782732134503.jpg | https://images.aqar.fm/webp/750x0/props/005261965_1782732134517.jpg,7,قبلان عبدالله بن قبلان العجمي,شركة إرتكان العقارية شخص واحد,1,2026-06-02,2026-06-02,2026-08-21,1222,2026-08-23,True,"20,000,000",False,فيلا
6777300,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الواحة/شارع-لزمة-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6777300,"فيلا للبيع في شارع لزمة
, حي الملك سلمان, مدينة الرياض, منطقة الرياض",9000000,800,6,5,3,11,حي الواحة,الرياض,شمال الرياض,"🏡 فيلا فاخرة للبيع  بحي الواحة — تشطيب راقٍ وموقع مميز.                     
▪️ عمر العقار: 15 سنة
▪️ تم الترميم بالكامل قبل سنة واحدة
▪️ تكلفة الترميم: 1,850,000 ريال (بالفواتير)
▪️ تركيب مصعد ميتسوبيشي جديد
▪️ الواجهة: جنوبية
▪️ عرض الشارع: 15م
▪️ الأطوال حسب الصك: 25م × 30م
🔹 الدور الأرضي
استقبال كامل
مدخل سيارة
حوش واسع
مجلس رجال مع دورة مياه
مقلط
صالة واسعة
مطبخ داخلي
مطبخ خارجي 
مصعد
جلسة خارجية
ملحق خارجي
غرفة سائق
🔹 الدور الأول
4 غرف نوم ماستر
غرفتا نوم بحمام مشترك
🔹 السطح
غرفة خادمه 
غرفة غسيل
مستودع

🔹 المميزات
غاز مركزي
تكييف مركزي للدور الأرضي
تكييف سبليت لباقي الفيلا
ترميم حديث وتشطيب ممتاز
💰 السعر: 9,000,000 ريال",24.740259,46.720739,https://images.aqar.fm/webp/750x0/props/042793997_1784220477516.jpg | https://images.aqar.fm/webp/750x0/props/042793995_1784220477606.jpg | https://images.aqar.fm/webp/750x0/props/042793998_1784220477736.jpg | https://images.aqar.fm/webp/750x0/props/042793993_1784220477775.jpg | https://images.aqar.fm/webp/750x0/props/042793996_1784220477865.jpg | https://images.aqar.fm/webp/750x0/props/042793996_1784220477954.jpg | https://images.aqar.fm/webp/750x0/props/042793998_1784220478073.jpg,7,ورديه العتيبي,شركة ابتكار العمارة للتطوير العقاري,1,2026-07-16,2026-08-14,2026-08-23,1208,2026-08-23,True,"9,000,000",False,فيلا
6526789,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الواحة/شارع-عبدالرحمن-بن-بريد-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6526789,"فيلا للبيع في شارع عبدالرحمن بن بريد, حي الملك سلمان, مدينة الرياض, منطقة الرياض",3700000,419,,,,11,حي الواحة,الرياض,شمال الرياض,"فيلا للبيع حي الملك سلمان (الواحة سابقًا) 
مساحة 419.44م 
شارع ١٢ شمالي 
العمر ٢٢ سنه 

الفناء الخارجي:
 حوش خارجي مع مدخل سيارة يتحمل سيارتين 
غرفة سائق 
فناء زراعي خلف الفيلا 

الدور الارضي : 
مجلس رجالي 
دورة مياه 
صالة طعام 
صالة كبيره مع مجلس 
دورة مياه 
مطبخ 

الدور الاول: 
٤ غرف نوم 
غرفتين نوم حمام مشترك 
غرفة نوم حمام خاص 
غرفة ماستر 
صالة 

الدور الثاني: 
غرفة عاملة 
دورة مياه 
غرفة غسيل 
سطح",24.740792,46.713241,https://images.aqar.fm/webp/750x0/props/000409059_1767090319176.jpg | https://images.aqar.fm/webp/750x0/props/000409057_1767090319195.jpg | https://images.aqar.fm/webp/750x0/props/000409052_1767090319203.jpg | https://images.aqar.fm/webp/750x0/props/000409055_1767090319202.jpg | https://images.aqar.fm/webp/750x0/props/000409057_1767090319203.jpg | https://images.aqar.fm/webp/750x0/props/000409053_1767090319199.jpg | https://images.aqar.fm/webp/750x0/props/000409054_1767090319203.jpg | https://images.aqar.fm/webp/750x0/props/000409058_1767090319219.jpg | https://images.aqar.fm/webp/750x0/props/000409056_1767090367212.jpg | https://images.aqar.fm/webp/750x0/props/000409052_1767090367212.jpg | https://images.aqar.fm/webp/750x0/props/000409056_1767090367217.jpg,11,سعيد صقر,مكتب بن حامد للعقارات,1,2025-12-30,2025-12-30,2026-08-01,5920,2026-08-23,True,"3,700,000",False,فيلا
6635519,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الواحة/شارع-الدرب-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6635519,"فيلا للبيع في شارع الدرب, حي الملك سلمان, مدينة الرياض, منطقة الرياض",5400000,500,5,5,3,11,حي الواحة,الرياض,شمال الرياض,"للبيع فيلا 
الحي الواحة (الملك سلمان ) 
المساحة 500 متر 
العمر 20 سنة 
شارع 15 جنوبي 
مكونة من دور ارضي مجالس وخدمات ومسبح 
الدور الاول 5 نوم وصالة 
ملحق بسطح 
مسبح 
للتواصل : 0550771777",24.734391,46.719734,https://images.aqar.fm/webp/750x0/props/003005771_1774880938790.jpg | https://images.aqar.fm/webp/750x0/props/003005773_1776001347265.jpg | https://images.aqar.fm/webp/750x0/props/003005775_1776001347264.jpg | https://images.aqar.fm/webp/750x0/props/003005774_1776001347261.jpg | https://images.aqar.fm/webp/750x0/props/003005779_1776001347266.jpg | https://images.aqar.fm/webp/750x0/props/003005772_1776001347279.jpg | https://images.aqar.fm/webp/750x0/props/003005775_1776001347287.jpg | https://images.aqar.fm/webp/750x0/props/003005778_1776001347299.jpg | https://images.aqar.fm/webp/750x0/props/003005776_1776001347278.jpg | https://images.aqar.fm/webp/750x0/props/003005771_1776001372611.jpg | https://images.aqar.fm/webp/750x0/props/003005774_1776001372617.jpg | https://images.aqar.fm/webp/750x0/props/003005779_1776001372633.jpg | https://images.aqar.fm/webp/750x0/props/003005771_1776001372605.jpg | https://images.aqar.fm/webp/750x0/props/003005775_1776001372632.jpg | https://images.aqar.fm/webp/750x0/props/003005771_1776001372610.jpg | https://images.aqar.fm/webp/750x0/props/003005774_1776001372647.jpg | https://images.aqar.fm/webp/750x0/props/003005779_1776001372613.jpg,17,عبدالله سالم جابر الفيفي,شركة الماسية للاستثمار والتطوير العقاري شركة شخص واحد,1,2026-03-30,2026-08-22,2026-08-22,5329,2026-08-23,True,"5,400,000",False,فيلا
6600962,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الواحة/شارع-ممر2-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6600962,"فيلا للبيع في شارع ممر2, حي الملك سلمان, مدينة الرياض, منطقة الرياض",10000000,1050,5,5,2,11,حي الواحة,الرياض,شمال الرياض,"فيلا فاخرة للبيع في حي الملك سلمان ( الواحة سابقاً ) 
أحد الأحياء الراقية والمميزة ✨

الفيلا زاوية
المساحة | 1050 م
الشوارع | جنوبي عرض 12 م شرقي عرض 10 م 

مكونات الفيلا | 
🔹 الدور الأرضي: 
	•	مجلسين رجال مستقلة
	•	مجلس نساء بمدخل خاص
	•	صالتين طعام واسعة
	•	مطبخ 
	•	دورات مياه تخدم المجالس والصالات
       •        قبو 

🔹 الدور العلوي:
	•	صالة عائلية واسعة
	•	5 غرف نوم:
	•	غرفة ماستر رئيسية 
	•	وكل غرفتين بينهم حمام مشترك 



للتواصل / المبيعات 
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))",24.738839,46.709436,https://images.aqar.fm/webp/750x0/props/000629809_1771787706818.jpg | https://images.aqar.fm/webp/750x0/props/000629807_1771787816705.jpg | https://images.aqar.fm/webp/750x0/props/000629808_1771788324720.jpg | https://images.aqar.fm/webp/750x0/props/000629804_1771788484054.jpg | https://images.aqar.fm/webp/750x0/props/000629806_1771788555474.jpg | https://images.aqar.fm/webp/750x0/props/000629800_1771788682907.jpg | https://images.aqar.fm/webp/750x0/props/000629801_1771788682903.jpg | https://images.aqar.fm/webp/750x0/props/000629805_1771788752051.jpg,8,مشعل العميريني,شركة مساعد إبراهيم العميريني للاستثمار والتطوير العقاري,1,2026-02-22,2026-08-16,2026-08-23,5858,2026-08-23,True,"10,000,000",False,فيلا
6809179,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الواحة/شارع-التل-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6809179,"فيلا للبيع في شارع التل, حي الملك سلمان, مدينة الرياض, منطقة الرياض",13000000,952,6,,,11,حي الواحة,الرياض,شمال الرياض,"المساحة: 952 متر مربع
الموقع: زاوية، شارع عرض 20م، واجهة جنوبية وشارع عرض 15م، واجهة غربية

حالة الفيلا: تم ترميمها بالكامل قبل 5 سنوات
الدور الأرضي: مجالس واسعة وفخمة - صالة إستقبال - غرفة طعام - مطبخ
داخلي
الدور الأول: جناح رئيسي يتضمن: غرفة ملابس بدواليب مدمجة + دورة مياه بجاكوزي
- 3 غرف ماستر كبيرة - صالة جلوس - غرفة طعام
السطح: غرفتان نوم كبيرتان - غرفة غسيل - سطح واسع إمكانية تركيب مصعد كهربائي القبو: بمساحة 400 متر مربع، مجهز بالكامل كنادي رياضي المرافق الخارجية: ملاحق خارجية - غرفة سائق - مطبخ خارجي
السوم 11 مليون ريال 
للتواصل
0112500009المكتب
حمد ((الرقم يظهر عند الضغط على اتصال))
سليمان ((الرقم يظهر عند الضغط على اتصال))",24.745159,46.72025,https://images.aqar.fm/webp/750x0/props/006889501_1786027205828.jpg | https://images.aqar.fm/webp/750x0/props/006889509_1786027205817.jpg | https://images.aqar.fm/webp/750x0/props/006889503_1786027205818.jpg | https://images.aqar.fm/webp/750x0/props/006889504_1786027205826.jpg,4,فهد حمد عبدالعزيز العثيمين,مكتب فهد حمد العثيمين للعقارات,1,2026-08-06,2026-08-06,2026-08-22,750,2026-08-23,True,"13,000,000",False,فيلا
6453832,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الواحة/شارع-ابن-عبدالشكور-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6453832,"فيلا للبيع في شارع ابن عبدالشكور, حي الملك سلمان, مدينة الرياض, منطقة الرياض",6150000,616,5,,,11,حي الواحة,الرياض,شمال الرياض,"فيلا للبيع بحي الملك سلمان ( الواحة سابقًا ) 
مساحة ٦١٦ زاويه شمال شرقي 
شارع ١٢ ، شارع ٨ 
العمر ٣٥ سنه 

الدور الارضي : 
مجلس 
مقلط 
صاله 
درج صاله 
دورتين مياه 
مطبخ 
مخزن  

الدور الاول
اربع غرف نوم 
منها غرفة ماستر 
ثلاث غرف بحمام مشترك 

الدور الثاني
السطح غرفه كبيرة بحمامها 

الساحة الخارجيه 
ملحق خارجي 
ملحق داخلي 
غرفة سائق 

البيع 
6,500,000",24.739208,46.70828,https://images.aqar.fm/webp/750x0/props/000409054_1762274329637.jpg,1,سعيد صقر,مكتب بن حامد للعقارات,1,2025-11-04,2025-11-04,2026-08-01,3855,2026-08-23,True,"6,150,000",False,فيلا
6830509,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الواحة/شارع-عبدالمحمود-الواسطي-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6830509,"فيلا للبيع في شارع عبدالمحمود الواسطي, حي الملك سلمان, مدينة الرياض, منطقة الرياض",4500000,405,,7,4,11,حي الواحة,الرياض,شمال الرياض,"المساحة 405 متر مربع

مكونة من:
10 غرف نوم - 7 دورات مياه - صالة - مطبخ - مجلس 

الدور الأرضي 2 غرفة 2 حمام مطبخين صالتين 
الدور الثاني 3 غرف 3 حمامات وصاله 
الدور الثالث غرفتين وحمام 

( شارط المالك تأجيرها له سنتين ) 

الخدمات:
كهرباء - مياه - صرف صحي - مدخل خاص

للتواصل واتساب او اتصال 

((الرقم يظهر عند الضغط على اتصال))",24.746719,46.717876,https://images.aqar.fm/webp/750x0/props/005636766_1787123572211.jpg,1,فهد محمد,شركة دار طويق التجارية,1,2026-08-19,2026-08-19,2026-08-19,204,2026-08-23,True,"4,500,000",False,فيلا
