listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6796602,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الوادي/شارع-مستورة-حي-الوادي-مدينة-الرياض-منطقة-الرياض-6796602,"فيلا للبيع في شارع مستورة, حي الوادي, مدينة الرياض, منطقة الرياض",2800000,290,7,1,2,11,حي الوادي,الرياض,شمال الرياض,"فلة دبلكس مميزة للبيع بحي الوادي - المساحة ٢٩٠م²

الأطوال: ١٠ × ٢٩

الموقع: على شارع ١٢ جنوبي، موقع جداً مميز

العمر: تقريباً ١٠ سنوات


المواصفات:

الدور الأرضي: ملحق خارجي + غرفة سائق + حوش واسع + مجلس استقبال

الدور العلوي: ٤ غرف نوم، كل غرفة بدورة مياه خاصة (أعزكم الله)

السطح: غرفة عاملة مع دورة مياه (أعزكم الله)


البيع كاش فقط (لا تقبل البنك لكونها مرهونة)


3000,000 ريال

جوال /((الرقم يظهر عند الضغط على اتصال))",24.790011,46.681845,https://images.aqar.fm/webp/750x0/props/000376696_1744561422932.jpg | https://images.aqar.fm/webp/750x0/props/000376698_1744561422826.jpg | https://images.aqar.fm/webp/750x0/props/000376696_1744561423085.jpg,3,ابراهيم عبدالله ابراهيم المحيسن,مكتب ابراهيم عبدالله ابراهيم المحيسن للعقارات,1,2026-07-29,2026-07-29,2026-08-16,1010,2026-08-23,True,"2,800,000",False,فيلا
6813196,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الوادي/شارع-المزونة-حي-الوادي-مدينة-الرياض-منطقة-الرياض-6813196,"فيلا للبيع في شارع المزونة, حي الوادي, مدينة الرياض, منطقة الرياض",3300000,203,5,5,0,0,حي الوادي,الرياض,شمال الرياض,"فيلا حي الوادي

الاتجاه الشرقي، شارع بعرض ١٥
المساحة ٢٠٣م

مميزات المشروع 😍

• ٥ غرف نوم
• شاحن سيارة كهربائي
• مكنسه كهربائي راكبة
• تصميم مودرن حديث 👷🏻‍♂️
• تكييف مخفي للفلل 🧊
• شوارع واسعة
• غرفة خادمة بدورة مياه",24.794108,46.690088,https://images.aqar.fm/webp/750x0/props/052039754_1786296167814.jpg,1,مشاعل ياسر,مؤسسة أمادن رييلتي للعقارات,1,2026-08-09,2026-08-09,2026-08-13,224,2026-08-23,True,"3,300,000",False,فيلا
6468786,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الوادي/شارع-المحاني-حي-الوادي-مدينة-الرياض-منطقة-الرياض-6468786,"فيلا للبيع في شارع المحاني, حي الوادي, مدينة الرياض, منطقة الرياض",2980000,418,7,5,2,11,حي الوادي,الرياض,شمال الرياض,"فيلا للبيع في حي الوادي في موقع مميز تتكون من :
- مجلس 
- مقلط
- صالة مع مدخل جانبي 
- درج صالة 
- مجلس داخلي 
- 5 غرف نوم في الدور العلوي 
- اجمالي عدد الغرف 6 و 3 منها مع دورة مياه 

أطوال الأرض 15.5 * 27
شارع 15م

يتميز الموقع بقرب من أهم الطرق الرئيسية
- الدائري الشمالي
- طريق ابوبكر الصديق - رضي الله عنه -
- طريق عثمان بن عفان - رضي الله عنه - 

للتواصل والاستفسار :((رقم المعلن يظهر عند التواصل))",24.787785,46.691124,https://images.aqar.fm/webp/750x0/props/001369107_1769009389675.jpg | https://images.aqar.fm/webp/750x0/props/001369101_1769009389683.jpg | https://images.aqar.fm/webp/750x0/props/001369102_1769009389474.jpg | https://images.aqar.fm/webp/750x0/props/001369104_1769009389478.jpg | https://images.aqar.fm/webp/750x0/props/001369103_1769009389483.jpg | https://images.aqar.fm/webp/750x0/props/001369102_1769009389478.jpg | https://images.aqar.fm/webp/750x0/props/001369108_1769009389487.jpg | https://images.aqar.fm/webp/750x0/props/001369101_1769009389510.jpg | https://images.aqar.fm/webp/750x0/props/001369105_1769009389515.jpg | https://images.aqar.fm/webp/750x0/props/001369103_1769009389508.jpg | https://images.aqar.fm/webp/750x0/props/001369106_1769009389505.jpg | https://images.aqar.fm/webp/750x0/props/001369105_1769009389521.jpg | https://images.aqar.fm/webp/750x0/props/001369101_1769009389517.jpg | https://images.aqar.fm/webp/750x0/props/001369109_1769009389539.jpg | https://images.aqar.fm/webp/750x0/props/001369108_1769009389539.jpg | https://images.aqar.fm/webp/750x0/props/001369103_1769009389673.jpg | https://images.aqar.fm/webp/750x0/props/001369108_1769009389676.jpg,17,بدر الهويدي,شركة افتار العقارية شركة شخص واحد,1,2025-11-16,2025-11-16,2026-08-23,11284,2026-08-23,True,"2,980,000",False,فيلا
6578654,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الوادي/شارع-مغيرة-حي-الوادي-مدينة-الرياض-منطقة-الرياض-6578654,"فيلا للبيع في شارع مغيرة, حي الوادي, مدينة الرياض, منطقة الرياض",3000000,315,,0,0,10,حي الوادي,الرياض,شمال الرياض,"� فرصة استثمارية مميزة – فيلا دوبلكس أدوار للبيع | حي الوادي – الرياض

فيلا دوبلكس (دور + دور + شقة) بمساحة 315م²، موقع استراتيجي قريب من أهم المشاريع المستقبلية في الرياض، مع عائد استثماري قوي وفرصة نمو عالية بالقيمة.

✨ أبرز المميزات:

	•	على شارعين متظاهرين ▫️ شارع 12م غربي ▫️ شارع 10م شرقي
	•	إطلالة مباشرة على مسجد (إمكانية الاستفادة من المواقف)
	•	أقل من 2 كم عن محطة مترو طريق عثمان بن عفان
	•	100م جنوب المسار الرياضي
	•	350م عن طريق أبو بكر الصديق
	•	مدخلين مستقلين (الأرضي بمدخل غربي مستقل)


💰 عائد استثماري قوي:

	•	دخل إيجاري سنوي: 190,000 ريال
	•	عائد تقريبي: 6%
	•	فرصة ارتفاع القيمة حتى 30% بعد اكتمال مشروع المسار الرياضي خلال سنتين (تقديري)


🏗 مواصفات البناء:

	•	إجمالي مسطح البناء: 493م²
	•	كل دور يتكون من: مجلس/صالون – صالة – مقلط – مطبخ + مستودع 3 غرف نوم (واحدة ماستر) – 3 دورات مياه
	•	مكيفات اسبلت لجميع الغرف
	•	مطابخ ألمنيوم + رخام صناعي
	•	غرفة سائق للدور الأرضي
	•	عمر العقار: قرابة 10 سنوات
	•	تم تجديد الحوش والدهان الخارجي
	•	دخول ذكي + كاميرات مراقبة (للدور الأرضي)


📍 الموقع:
الرياض – حي الوادي
قريب من طريق الأمير محمد بن سلمان
قريب من طريق أبو بكر الصديق
قريب من المسار الرياضي

💵 السعر المطلوب:
3,250,000 ريال
(تقريبًا 10,000 ريال للمتر)

📞 للتواصل:
((رقم المعلن يظهر عند التواصل))",24.793475,46.682612,https://images.aqar.fm/webp/750x0/props/038981753_1770391175981.jpg | https://images.aqar.fm/webp/750x0/props/038981758_1770391192038.jpg | https://images.aqar.fm/webp/750x0/props/038981750_1770391192065.jpg | https://images.aqar.fm/webp/750x0/props/038981754_1770391192059.jpg | https://images.aqar.fm/webp/750x0/props/038981754_1770391192046.jpg | https://images.aqar.fm/webp/750x0/props/038981754_1770391192089.jpg | https://images.aqar.fm/webp/750x0/props/038981755_1770391192101.jpg | https://images.aqar.fm/webp/750x0/props/038981756_1770391192062.jpg | https://images.aqar.fm/webp/750x0/props/038981754_1770391192051.jpg,9,نوره عائض معيض الشهري,مكتب القواعد الماسية للعقارات,1,2026-02-06,2026-07-01,2026-08-11,2942,2026-08-23,True,"3,000,000",False,فيلا
6352172,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الوادي/شارع-المساور-حي-الوادي-مدينة-الرياض-منطقة-الرياض-6352172,"فيلا للبيع في شارع المساور, حي الوادي, مدينة الرياض, منطقة الرياض",5000000,650,7,,,11,حي الوادي,الرياض,شمال الرياض,"*للبـيع فله بقيمة أرض * 

*الموقع* :حي الوادي بالقرب من محطة القطار بالقرب من جميع الخدمات والطرق الرئيسية .
*المساحة:* 650م2. *الواجهة:* غربيه.
*عرض الشارع:* 12م2.
*عمر العقار:* 30 سنة.
*الاطوال:* 25م2 عرض*
26م2 عمق .

-*الفلة مكونة من :*
-دور وثلاث شقق :
*الدور الأرضي مكون من: -عدد 3 غرف.
-صاله.
-مجلس.
-مقلط. 
-مطبخ.
-عدد 2 دوراةمياه.
-مجلس خارجي رجالي.
-مقلط ومطبخ خارجي .
-مجلس خارجي نسائي .
-حديقه في الحوش.

*الدور الثاني مكون من:
_عدد شقتين كل شقه مكونه من: 
-عدد 2غرف. 
-صاله.
 -دورة مياه.
-مطبخ.

*الدور الثالث مكون من:
_شقه واحده مكونه من:
-عدد3 غرف.
-صاله.
-عدد2 دوراة مياه.
 -مطبخ .

*-ملاحظة:*
الفله حره ماعليها بنك ومحدثه وصالحة للسكن او للمستثمرين قابلة للتجزئة .

- نستقبل عروضكم وطلباتكم - 
- نتشرف بخدمتكم وتعاملكم - 
* بصمة المنفذون للعقارات * 
تخصصنا: (إدارة أملاك _تسويق عقاري) . 

ج  / ((رقم المعلن يظهر عند التواصل))
ج  / ((رقم المعلن يظهر عند التواصل))
....................................................................",24.792518,46.691644,https://images.aqar.fm/webp/750x0/props/023714693_1756227390988.jpg | https://images.aqar.fm/webp/750x0/props/023714699_1756227390957.jpg | https://images.aqar.fm/webp/750x0/props/023714694_1756227390986.jpg | https://images.aqar.fm/webp/750x0/props/023714698_1756227390974.jpg | https://images.aqar.fm/webp/750x0/props/023714697_1756227390991.jpg | https://images.aqar.fm/webp/750x0/props/023714695_1756227390980.jpg | https://images.aqar.fm/webp/750x0/props/023714697_1756227390990.jpg | https://images.aqar.fm/webp/750x0/props/023714691_1756227390983.jpg | https://images.aqar.fm/webp/750x0/props/023714699_1756227401550.jpg | https://images.aqar.fm/webp/750x0/props/023714693_1756227401500.jpg | https://images.aqar.fm/webp/750x0/props/023714697_1756227401500.jpg,11,عبدالعزيز صالح بن علي المنهالي,مؤسسة مكتب بصمة المنفذون للعقارات,1,2025-08-26,2026-05-24,2026-08-18,2396,2026-08-23,True,"5,000,000",False,فيلا
6816763,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الوادي/شارع-سيبويه-حي-الوادي-مدينة-الرياض-منطقة-الرياض-6816763,"فيلا للبيع في شارع سيبويه, حي الوادي, مدينة الرياض, منطقة الرياض",4500000,500,,5,3,11,حي الوادي,الرياض,شمال الرياض,"✅️ فيلا بحي الوادي مساحة 500 م٢
* موقع متميز جدا حيث تقع بالقرب من طريق الامير محمد بن سلمان وبالقرب من طريق ابي بكر الصديق 
* قريب من المولات والمناطق الحيوية والترفيهية 
* 3 عدادات كهرباء 
* الوجهة شمالي على شارع 12 م

* تتكون الفيلا من 3 أدوار مفصولة كالتالي :-

👈الدور الأرضي // 2 مدخل سيارة وحوش كبير + 2 مجلس + 2 صاله كبيرة + مطبخ كبير + 3 غرفة نوم منها غرفة ماستر + 3 دورة مياه
👈الدور الاول // 2 شقة ، كل شقة تتكون من 3 غرف+ صالة + مطبخ كبير + 2  دورة مياه
👈الدور الأخير // 2 غرف نوم + مطبخ كبير + 2 صالة + 2 دورة مياه",24.794902,46.685258,https://images.aqar.fm/webp/750x0/props/015670551_1786462179558.jpg | https://images.aqar.fm/webp/750x0/props/015670554_1786462227796.jpg | https://images.aqar.fm/webp/750x0/props/015670552_1786462227816.jpg | https://images.aqar.fm/webp/750x0/props/015670556_1786462227989.jpg | https://images.aqar.fm/webp/750x0/props/015670552_1786462227986.jpg | https://images.aqar.fm/webp/750x0/props/015670552_1786462227820.jpg | https://images.aqar.fm/webp/750x0/props/015670552_1786462227817.jpg | https://images.aqar.fm/webp/750x0/props/015670558_1786462227993.jpg | https://images.aqar.fm/webp/750x0/props/015670555_1786462242801.jpg | https://images.aqar.fm/webp/750x0/props/015670555_1786462242764.jpg | https://images.aqar.fm/webp/750x0/props/015670552_1786462242785.jpg | https://images.aqar.fm/webp/750x0/props/015670557_1786462242788.jpg | https://images.aqar.fm/webp/750x0/props/015670555_1786462242880.jpg | https://images.aqar.fm/webp/750x0/props/015670554_1786462242779.jpg | https://images.aqar.fm/webp/750x0/props/015670556_1786462242949.jpg,15,عيد محمد,مكتب دارالشويبي للعقارات,1,2026-08-11,2026-08-11,2026-08-18,318,2026-08-23,True,"4,500,000",False,فيلا
6810294,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الوادي/شارع-ابن-الحلي-حي-الوادي-الرياض-منطقة-الرياض-6810294,فيلا للبيع في شارع ابن الحلي ، حي الوادي ، الرياض ، منطقة الرياض,1850000,180,6,5,2,10,حي الوادي,الرياض,شمال الرياض,"للبيع دبلكس سكني بموقع استثنائي في حي حيوي

* مساحة الأرض: 180 م²
* واجهة: شمالية
* شارع: 15 متر
* حوش مع مدخل سيارة (كراج)

تفاصيل المنزل:

الدور الأرضي:

* مجلس
* مقلط
* صالة
* مطبخ راكب
* حمامان

الدور الأول:

* 4 غرف نوم، منها غرفة ماستر
* صالة
* حمامان 

الدور الثاني:

* غرفة خادمة مع حمام
* سطح واسع

مميزات العقار

* عمر العقار أكثر من 10 سنوات، وقد خضع لأعمال تجديد.
* جميع التكييفات راكبة.
* المطبخ راكب.
* يتميز بموقع استراتيجي قريب من مختلف الخدمات والمرافق.
* أمام مسجد مباشرة.
* بالقرب من عدة مدارس وحدائق.
* يمتاز الحي بالهدوء، ويحيط بالعقار جوارٌ طيب ورقيّ التعامل.
* يبعد دقيقتين بالسيارة عن محطة مترو عثمان بن عفان.
* يبعد 4 دقائق بالسيارة عن جامعة الإمام محمد بن سعود الإسلامية.
* يبعد 5 دقائق مشياً على الأقدام عن حديقة صفاء الوادي.
* سهولة الوصول إلى الطرق الرئيسية:
    * طريق الأمير محمد بن سلمان: 3 دقائق بالسيارة.
    * طريق عثمان بن عفان: 3 دقائق بالسيارة.
    * طريق أبو بكر الصديق: 4 دقائق بالسيارة.

عقار يجمع بين الموقع المتميز، وسهولة الوصول، وجودة السكن، ليكون خيارًا مثاليًا للعائلات الباحثة عن الراحة والاستقرار.",24.795053,46.693699,https://images.aqar.fm/webp/750x0/props/012156981_1786111889922.jpg | https://images.aqar.fm/webp/750x0/props/012156988_1786111896280.jpg | https://images.aqar.fm/webp/750x0/props/012156984_1786111905939.jpg | https://images.aqar.fm/webp/750x0/props/012156986_1786111905934.jpg | https://images.aqar.fm/webp/750x0/props/012156982_1786111914540.jpg,5,أحمد بن عبدالله بن عبدالعزيز الحربي,,,2026-08-07,,2026-08-07,160,2026-08-23,False,طلب تسويق,False,فيلا
6711633,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الوادي/شارع-المسراب-حي-الوادي-مدينة-الرياض-منطقة-الرياض-6711633,"فيلا للبيع في شارع المسراب, حي الوادي, مدينة الرياض, منطقة الرياض",2400000,325,5,0,0,11,حي الوادي,الرياض,شمال الرياض,"الدور الأرضي:
صالة جلسة يومية بتصميم مفتوح مع إضاءة طبيعية من الأعلى، مجلس رجال، صالة طعام، مجلس نساء، مطبخ، وحمامين.

الدور الأول:
٥ غرف نوم، منها غرفتان بحمام مشترك، و٣ غرف ماستر لكل غرفة حمام مستقل.

الدور الثاني:
غرفة مستقلة بحمام خاص مع حوش واسع.",24.792595,46.691938,https://images.aqar.fm/webp/750x0/props/026075836_1779884444812.jpg | https://images.aqar.fm/webp/750x0/props/026075831_1779884444790.jpg | https://images.aqar.fm/webp/750x0/props/026075836_1779884444788.jpg | https://images.aqar.fm/webp/750x0/props/026075837_1779884444788.jpg | https://images.aqar.fm/webp/750x0/props/026075834_1779884444794.jpg | https://images.aqar.fm/webp/750x0/props/026075835_1779884444786.jpg | https://images.aqar.fm/webp/750x0/props/026075831_1779884474216.jpg,7,سلطان بن سالم بن حمد ال معجبه,شركة رسن نجد القابضة,1,2026-05-27,2026-07-24,2026-08-11,4157,2026-08-23,True,"2,400,000",False,فيلا
6832586,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الوادي/شارع-المشيرفة-حي-الوادي-مدينة-الرياض-منطقة-الرياض-6832586,"فيلا للبيع في شارع المشيرفة, حي الوادي, مدينة الرياض, منطقة الرياض",4999000,362,4,7,5,0,حي الوادي,الرياض,شمال الرياض,"مشروع فلل ألين (31) بحي الوادي
شمال مدينة الرياض .

—————————

فيلا 5

مساحة الأرض : 363م2
الدرج الداخلي : 12.5 × 29

الدور الارضي
2 صالة + صالة طعام + مجلس + مطبخ + 2 دورات مياه + مستودع + غرفة حارس + فناء خارجي 130م2
المساحة : 198م2

الدور الأول
صالة + 4 غرف نوم ماستر + 4 دورات مياه
المساحة : 217م2

الدور الملحق
صالة + غرفة خادمة + دورة مياه + فناء خارجي بمساحة 121م2
المساحة : 88م2

المساحة الإجمالية : 503م2
السعر : 4,999,000

—————————

المميزات:
جميع الفلل مكيفة بالكامل
فلل ذكية بالكامل
ضمانات تصل إلى 10 سنوات
مصعد

—————————

نرحب بالكاش وعملاء والبنوك والمرشحين للدعم من برنامج سكني
يمكنكم التواصل معنا عبر الواتساب أو الإتصال:
920004989",24.797519,46.692602,https://images.aqar.fm/webp/750x0/props/007758746_1787223402166.jpg | https://images.aqar.fm/webp/750x0/props/007758749_1787223402168.jpg | https://images.aqar.fm/webp/750x0/props/007758748_1787223402173.jpg | https://images.aqar.fm/webp/750x0/props/007758743_1787223402180.jpg | https://images.aqar.fm/webp/750x0/props/007758743_1787223402184.jpg | https://images.aqar.fm/webp/750x0/props/007758748_1787223402189.jpg | https://images.aqar.fm/webp/750x0/props/007758748_1787223402195.jpg | https://images.aqar.fm/webp/750x0/props/007758748_1787223402201.jpg,8,شركة مسكن الين العقارية ,شركة مسكن الين العقارية شركة مساهمة سعودية غير مدرجة,1,2026-08-20,2026-08-20,2026-08-20,117,2026-08-23,True,"4,999,000",False,فيلا
6516716,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الوادي/حي-الوادي-مدينة-الرياض-منطقة-الرياض-6516716,"فيلا للبيع في حي الوادي, مدينة الرياض, منطقة الرياض",2775000,336,5,5,2,11,حي الوادي,الرياض,شمال الرياض,"🟧 فيلا للبيع – حي الوادي – شمال الرياض

المساحة: 336 م²
العمر: 22 سنة
شارع: 12 شرقي
نوع العقار: فيلا دورين كاملة
ميزة إضافية: إمكانية الفصل إلى وحدتين مستقلتين أو شقة علوية مستقلة

✨ مميزات العقار
	•	إمكانية فصل الفيلا بسهولة للدخل أو السكن المستقل
	•	درج مستقل للدور الثاني
	•	شارع هادئ وخدمات متوفرة بالحي
	•	توزيع ممتاز ومساحات واسعة
	•	مجلس رجال ونساء منفصلين
	•	وجود مستودعين + غرفة خادمة
⸻
🏡 الدور الأرضي
	•	حوش أمامي مع مدخل سيارة
	•	ملحق خارجي مع دورة مياه
	•	مجلس رجال مع مغاسل ودورة مياه
	•	مقلط
	•	صالة واسعة مع درج داخلي + دورة مياه
	•	مطبخ
	•	خلف المطبخ: غرفة صغيرة للملابس
	•	مستودع/مخزن في الارتداد
	•	غرفة خادمة بدورة مياه خاصة
	•	مجلس نساء مستقل
⸻
🛏 الدور الأول
	•	غرفتان ماستر بدورات مياه خاصة
	•	صالة معيشة
	•	غرفتان نوم إضافيتان
	•	دورة مياه
⸻
🏠 الدور الثاني
	•	غرفتان نوم
	•	دورة مياه
	•	سطح واسع
	•	درج مستقل (مناسب للاستقلالية أو التأجير)
⸻
💰 السعر
2,500,000 ريال
التواصل 
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))",24.788291,46.693106,https://images.aqar.fm/webp/750x0/props/006313078_1782558807119.jpg,1,عاصم عبدالله,مكتب سواعد الامتياز للعقارات,1,2025-12-22,2026-06-03,2026-08-22,3553,2026-08-23,True,"2,775,000",False,فيلا
