listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6815243,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الورود/شارع-أبي-الفضل-حي-الورود-مدينة-الرياض-منطقة-الرياض-6815243,"فيلا للبيع في شارع أبي الفضل, حي الورود, مدينة الرياض, منطقة الرياض",2550000,330,7,1,0,11,حي الورود,الرياض,شمال الرياض,"فيلا للبيع بحي الورود ٣٣٠م - عمرها ٦٠ سنة غير قابلة للترميم
قديمة جداً بقيمة الارض 
مؤجرة بعقد سنوي بقيمة ١٤٥ الف 
شارع ١٠ شرقي 
ظهير التجاري 
الأطوال 15 في 22
على السوم",24.723761,46.675935,https://images.aqar.fm/webp/750x0/props/000703218_1786451947894.jpg | https://images.aqar.fm/webp/750x0/props/000703212_1786451947947.jpg | https://images.aqar.fm/webp/750x0/props/000703214_1786451947736.jpg,3,ربيع بن محمد بن راشد النتيفي,مكتب ربيع رفال للعقارات,1,2026-08-10,2026-08-10,2026-08-22,756,2026-08-23,True,"2,550,000",False,فيلا
6768322,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الورود/شارع-جمال-الدين-الصفراوي-حي-الورود-مدينة-الرياض-منطقة-الرياض-6768322,"فيلا للبيع في شارع جمال الدين الصفراوي, حي الورود, مدينة الرياض, منطقة الرياض",2700000,390,5,5,2,11,حي الورود,الرياض,شمال الرياض,"فيلا  قديمة على أرض 390 متر مربع 
بحي الورود

- تقع ضمن مناطق السماح لتملك الأجانب (مواقع التطوير الموجه للنقل العام) المعتمدة من الهيئة الملكية لمدينة الرياض
- تقع ضمن نطاق نصف قطر 700 متر من محطة قطار الرياض (الورود) وعلى مسافة مشي 12 دقيقة (900 متر)
- أقرب حديقة (حديقة الضحى) 400 متر فقط (مشي 5 دقائق)
- أقرب حضانة أطفال (ليتل هاندز) 230 متر فقط (مشي 3 دقائق)
- أقرب مدرسة (متوسطة الإمام السوسي لتحفيظ القران الكريم) 270 متر فقط (مشي 4 دقائق) ومدرسة (الشيخ عبدالعزيز بن باز الثانوية) 350 متر فقط (مشي 5 دقائق)
- شارع 12 متر لكن بكثافة سكانية قليلة (غير مكتظ بالسيارات)
- مؤجرة بعقد إيجار موثق ينتهي في 31/7/2027 غير قابل للتجديد بإيجار سنوي 80 ألف ريال سعودي",24.727155,46.67589,https://images.aqar.fm/webp/750x0/props/002557453_1783721632792.jpg | https://images.aqar.fm/webp/750x0/props/002557454_1783721628624.jpg | https://images.aqar.fm/webp/750x0/props/002557452_1783721637262.jpg | https://images.aqar.fm/webp/750x0/props/002557454_1783721644653.jpg | https://images.aqar.fm/webp/750x0/props/002557452_1783721654722.jpg | https://images.aqar.fm/webp/750x0/props/002557456_1783721660868.jpg,6,عبدالعزيز بن ناصر بن فوزان الزامل,شركة فارد العقارية,1,2026-07-10,2026-08-09,2026-08-09,2895,2026-08-23,True,"2,700,000",False,فيلا
6821160,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الورود/شارع-العمار-حي-الورود-مدينة-الرياض-منطقة-الرياض-6821160,"فيلا للبيع في شارع العمار, حي الورود, مدينة الرياض, منطقة الرياض",6000000,631,6,6,5,11,حي الورود,الرياض,شمال الرياض,$5d,24.717894,46.682082,https://images.aqar.fm/webp/750x0/props/046479044_1787431055258.jpg,1,محمد ابراهيم,شركة علامة الارض العقارية,1,2026-08-13,2026-08-13,2026-08-23,143,2026-08-23,True,"6,000,000",False,فيلا
6667307,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الورود/شارع-عبدالله-النديم-حي-الورود-مدينة-الرياض-منطقة-الرياض-6667307,"فيلا للبيع في شارع عبدالله النديم, حي الورود, مدينة الرياض, منطقة الرياض",5500000,625,6,1,0,11,حي الورود,الرياض,شمال الرياض,"للــــبــــــيـــع فيلا حي  الورود
 
ابو القاسم 🔻 ((الرقم يظهر عند الضغط على اتصال))

المساحة 625م٢
الأطوال 25 × 25
الشارع 15م شمالي 
الفيلا تصلح لساكن ( فله مرممه )

البيع بقيمة أرض 

سوم 7000 

لدينا عروض آخره في الاحياء المجاوره",24.731064,46.675065,,,عبدالله سعد محمد الشاهين,مكتب عبدالله سعد الشاهين للعقارات,1,2026-04-23,2026-08-17,2026-08-20,482,2026-08-23,True,"5,500,000",False,فيلا
6710843,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الورود/شارع-الشارخية-حي-الورود-مدينة-الرياض-منطقة-الرياض-6710843,"فيلا للبيع في شارع الشارخية, حي الورود, مدينة الرياض, منطقة الرياض",8200000,399,5,0,0,0,حي الورود,الرياض,شمال الرياض,"للبيع فيلا بحي الورود مودرن ومميزة 

المساحة ٣٩٩ متر مربع 
شارع ١٥ شمالي 
عمر العقار: جديد 
المميزات: مصعد ، مسبح ، غرفة سائق ، كراج واسع .. حدائق وجلسات خارجية 

الدور الأرضي : مجلس رجال ، صالة ، مجلس نساء ، صالة طعام ، مطبخ واسع رئيسي ، مطبخ ثانوي ، مخزن ، دورات مياة  ، غرفة خادمة

الدور الاول : جناح رئيسي مع غرفة ملابس بدورة مياه ، غرفتين بدورات مياه ، غرفتين بحمام مشترك ويوجد فيها بلكونات 

السطح : صالة رئيسية ، غرفة نوم رئيسية بدورة مياه ، غرفة كوي ، غرفة غسيل ، جلستين خارجية في السطح ، دورات مياه ، منشر غسيل ، غرفة معدات ميكانيكية

البيع 8.200.000 ريال 

العرض حصري لدى الشركة 

للتواصل  :  wa.me/966541431657 

https://maps.app.goo.gl/wdGR6TwoTi3XZiyF9?g_st=ic",24.734069,46.684954,https://images.aqar.fm/webp/750x0/props/037747527_1779729138536.jpg | https://images.aqar.fm/webp/750x0/props/037747524_1779729150402.jpg | https://images.aqar.fm/webp/750x0/props/037747522_1779729150426.jpg | https://images.aqar.fm/webp/750x0/props/037747521_1779729150409.jpg | https://images.aqar.fm/webp/750x0/props/037747528_1779729150405.jpg | https://images.aqar.fm/webp/750x0/props/037747523_1779729150462.jpg | https://images.aqar.fm/webp/750x0/props/037747523_1779729150438.jpg | https://images.aqar.fm/webp/750x0/props/037747520_1779729150409.jpg | https://images.aqar.fm/webp/750x0/props/037747521_1779729169045.jpg | https://images.aqar.fm/webp/750x0/props/037747524_1779729169087.jpg | https://images.aqar.fm/webp/750x0/props/037747520_1779729169074.jpg | https://images.aqar.fm/webp/750x0/props/037747524_1779729169071.jpg | https://images.aqar.fm/webp/750x0/props/037747524_1779729169054.jpg | https://images.aqar.fm/webp/750x0/props/037747525_1779729169079.jpg | https://images.aqar.fm/webp/750x0/props/037747525_1779729169083.jpg | https://images.aqar.fm/webp/750x0/props/037747529_1779729169056.jpg | https://images.aqar.fm/webp/750x0/props/037747520_1779729183769.jpg | https://images.aqar.fm/webp/750x0/props/037747521_1779729183653.jpg | https://images.aqar.fm/webp/750x0/props/037747526_1779729183752.jpg | https://images.aqar.fm/webp/750x0/props/037747529_1779729183657.jpg | https://images.aqar.fm/webp/750x0/props/037747524_1779729183796.jpg | https://images.aqar.fm/webp/750x0/props/037747521_1779729183760.jpg | https://images.aqar.fm/webp/750x0/props/037747520_1779729183804.jpg | https://images.aqar.fm/webp/750x0/props/037747522_1779729183803.jpg | https://images.aqar.fm/webp/750x0/props/037747521_1779729196053.jpg | https://images.aqar.fm/webp/750x0/props/037747521_1779729195971.jpg | https://images.aqar.fm/webp/750x0/props/037747522_1779729196056.jpg | https://images.aqar.fm/webp/750x0/props/037747525_1779729196101.jpg | https://images.aqar.fm/webp/750x0/props/037747523_1779729196059.jpg | https://images.aqar.fm/webp/750x0/props/037747529_1779729196058.jpg,30,عبدالله عبدالعزيز,شركة الطخيم العالمية,1,2026-05-25,2026-08-21,2026-08-21,2258,2026-08-23,True,"8,200,000",False,فيلا
6555167,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الورود/شارع-ابن-مطير-الحكمي-حي-الورود-مدينة-الرياض-منطقة-الرياض-6555167,"فيلا للبيع في شارع ابن مطير الحكمي, حي الورود, مدينة الرياض, منطقة الرياض",7500000,760,6,,,11,حي الورود,الرياض,شمال الرياض,"للبيع فيلا مميزة على شارعين في حي الورود
فيلا على زاوية شارعين (جنوبية غربية) وبالقرب من محطة المترو — سكنية واستثمارية .

📐 التفاصيل والمساحة:
◯ المساحة: ٧٦٠.٢٨ م²
◯ عمر العقار: ٣٢ سنة
◯ واجهتان: جنوبية وغربية
◯ الجنوب: شارع عرض ١٢م بطول ٣٠.١٧م
◯ الغرب: شارع عرض ١٢م بطول ٢٥.٢٠م

🏠 مواصفات الفيلا:
◯ ٦ غرف نوم (٣ منها ماستر بحمامات خاصة)
◯ إجمالي ٥ حمامات في المنزل
◯ صالة استقبال بالدور العلوي مع أوفيس مستقل
◯ ٥ مناطق استقبال بالدور الأرضي
◯ مطبخ واسع + مخزن بالدور الأرضي
◯ ملحقين مستقلين (كل ملحق بحمام)
◯ غرفتين سائق (كل غرفة بحمام خاص)
◯ غرفة عاملة منزلية بحمام
◯ غرفة شنكو (مخزن إضافي)",24.726496,46.678469,https://images.aqar.fm/webp/750x0/props/042495004_1768933936411.jpg | https://images.aqar.fm/webp/750x0/props/042495007_1768933936408.jpg | https://images.aqar.fm/webp/750x0/props/042495001_1768933936409.jpg | https://images.aqar.fm/webp/750x0/props/042495000_1768933936422.jpg | https://images.aqar.fm/webp/750x0/props/042495005_1768933936684.jpg | https://images.aqar.fm/webp/750x0/props/042495009_1768933936415.jpg | https://images.aqar.fm/webp/750x0/props/042495002_1768933936409.jpg,7,ثامر آل عتيق,,,2026-01-20,2026-07-24,2026-08-19,3660,2026-08-23,True,"7,500,000",False,فيلا
6697872,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الورود/شارع-عبدالله-النديم-حي-الورود-مدينة-الرياض-منطقة-الرياض-6697872,"فيلا للبيع في شارع عبدالله النديم, حي الورود, مدينة الرياض, منطقة الرياض",5300000,625,7,1,0,11,حي الورود,الرياض,شمال الرياض,"https://maps.app.goo.gl/rrhqL5sAWAFpEMvZ7?g_st=ic




للبيع فيلا في حي الورود بقيمه ارض
العمر اكثر من ٣٠ سنه 
مجدد اخر مرة قبل ١٢ سنه غرفة 
المساحه 625 م
حارس 
و مجلس
 خارجي صغير 
و مسبح 
، الطابق الارضي
 مطبخ و 
حمامات
 ضيوف
 و وسفرة 
و صالون
 و صاله
 مع غرفتين نوم
 و حمام ، الطابق 
الاول غرفه ماستر
 كبيرة فيها 
حمام و غرفه ملابس 
و في جمبها غرفه نوم مع حمام ، مطبخ صغير
 او ( غرفه غسيل )
 و غرفتين نوم مع حمام و في صاله
البيع 5و900الف 
مباشر مع المالك",24.731064,46.675065,https://images.aqar.fm/webp/750x0/props/046984996_1778793357935.jpg | https://images.aqar.fm/webp/750x0/props/046984998_1778793357917.jpg | https://images.aqar.fm/webp/750x0/props/046984998_1778793357910.jpg | https://images.aqar.fm/webp/750x0/props/046984994_1778793358102.jpg,4,عبدالله بن عبدالرحمن بن علي الهمش,مكتب عبدالله عبدالرحمن علي الهمش للعقارات,1,2026-05-14,2026-05-14,2026-08-17,610,2026-08-23,True,"5,300,000",False,فيلا
6798785,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الورود/شارع-عبدالرحمن-بن-حسن-آل-عمران-حي-الورود-مدينة-الرياض-منطقة-الرياض-6798785,"فيلا للبيع في شارع عبدالرحمن بن حسن آل عمران, حي الورود, مدينة الرياض, منطقة الرياض",20000000,2416,7,5,5,10,حي الورود,الرياض,شمال الرياض,"للبيع 
قصر راس بلك في حي الورود  موقع مميز 

حي الورود 

٢٤١٦م
٤٥×٥٣

شوارع ١٢م
لكن الجهه الشماليه تفتح على ساحه مسجد عالطبيعه وسيع

مواصفات الفيلا:

الأرضي 
مسبح خارجي - ملاحق خارجيه دار مادار الفله - مطبخ خارجي كبير -مطبخ داخلي - مجلس رجال - مجلس حريم - مكتب - مقلط - غرفة  طعام - مصعد - اربعه كراجات خلفيه
بوابه اماميه مع مدخل سياره 

الدور الاول 
ثلاث غرف نوم ماستر مع دوره مياه وغرفة ملابس - صاله - مطبخ - جلسه خارجيه 

الدور الثاني 
غرفتين نوم ودورة مياه




عمر الفيلا ١١ سنه
والبيع بقيمة ارض 
 
تنفع استثمار او سكن 

الفيلا نظيفة جدا وقابله للسكن


(العرض حصري لجزف العقارية )",24.727153,46.67065,https://images.aqar.fm/webp/750x0/props/020299313_1785496551411.jpg | https://images.aqar.fm/webp/750x0/props/020299315_1785496551484.jpg | https://images.aqar.fm/webp/750x0/props/020299310_1785496551394.jpg | https://images.aqar.fm/webp/750x0/props/020299317_1785496551472.jpg | https://images.aqar.fm/webp/750x0/props/020299318_1785496551408.jpg | https://images.aqar.fm/webp/750x0/props/020299318_1785496551479.jpg | https://images.aqar.fm/webp/750x0/props/020299310_1785496551501.jpg,7,سلطان عبدالرحمن رشيد الرشيد,مؤسسة جزف العقارية,1,2026-07-31,2026-07-31,2026-08-20,571,2026-08-23,True,"20,000,000",False,فيلا
6814094,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الورود/شارع-عبدالملك-بن-رزين-حي-الورود-مدينة-الرياض-منطقة-الرياض-6814094,"فيلا للبيع في شارع عبدالملك بن رزين, حي الورود, مدينة الرياض, منطقة الرياض",6000000,910,5,0,0,11,حي الورود,الرياض,شمال الرياض,"فلة. عبارة. عن. قصر. مصغر.  بحي. الورد.  مجالس. ومسبح. خارجي.  و5غرف نوم.  ما ستر.    ونادي. رياضي.  للتواصل. بنا. 
((الرقم يظهر عند الضغط على اتصال))",24.719791,46.686506,https://images.aqar.fm/webp/750x0/props/000113908_1786351381417.jpg | https://images.aqar.fm/webp/750x0/props/000113907_1786351381429.jpg | https://images.aqar.fm/webp/750x0/props/000113903_1786351381428.jpg | https://images.aqar.fm/webp/750x0/props/000113905_1786351381421.jpg | https://images.aqar.fm/webp/750x0/props/000113905_1786351381425.jpg | https://images.aqar.fm/webp/750x0/props/000113909_1786351381422.jpg | https://images.aqar.fm/webp/750x0/props/000113906_1786351381437.jpg | https://images.aqar.fm/webp/750x0/props/000113902_1786351381438.jpg,8,ناصر عبدالرحمن ناصر الذييب,مكتب ناصر عبدالرحمن الذييب للعقارات,1,2026-08-10,2026-08-10,2026-08-20,551,2026-08-23,True,"6,000,000",False,فيلا
6791221,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الورود/شارع-شكري-العسلي-حي-الورود-مدينة-الرياض-منطقة-الرياض-6791221,"فيلا للبيع في شارع شكري العسلي, حي الورود, مدينة الرياض, منطقة الرياض",2200000,351,7,5,0,11,حي الورود,الرياض,شمال الرياض,"- دبلكس متصل دورين منفصلين في حي الورود قرب شارع الملك عبدالله وشارع العليا العام
-موقع مميز قريب جدا من محطة مترو stc وسهل الوصول للمحطة مشياً على الاقدام
-قريب من المسجد
-يوجد ساحة مواقف بجانب البيت
-حي متكامل غني عن التعريف 

محتويات الدوري الأرضي :
‏مجلس كبير
‏صالة كبيرة
‏عدد غرفتين نوم 
‏ ملحق خارجي 
‏جناح مستقل للخادمة 
‏عدد أربع حمامات
‏مطبخ
منطقة غسيل ملابس مع مكان للتخزين
‏مدخل مستقل
اضافات:
مطبخ راكب
مكيفات اسبليت راكبه
مؤثث بطقمين كنب وسرير نفرين
يوجد ثلاجة وفريزر

غرفة سائق بالشارع

- محتويات الدور الثاني
‏مجلس
‏صالة كبيرة
‏مطبخ
‏غرفتين نوم
‏ثلاث حمامات
‏غرفة في السطح مع حمام
منطقة مخصصة للغسيل
‏حوش كبير
‏مدخل سيارة
‏مدخل مستقل

البيت مؤجر على عائلتين بمبلغ 150 ألف ريال في السنه

العمر فوق 40 سنه
مرمم ترميم كامل",24.728497,46.670022,https://images.aqar.fm/webp/750x0/props/008464196_1785076550870.jpg,1,صالح خالد بن صالح المديهيم,مكتب صالح خالد بن صالح المديهيم للعقارات,1,2026-07-26,2026-07-26,2026-08-18,685,2026-08-23,True,"2,200,000",False,فيلا
