listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6799085,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-رقم-102-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6799085,"فيلا للبيع في شارع رقم 102, حي الياسمين, مدينة الرياض, منطقة الرياض",3500000,366,5,0,0,7,حي الياسمين,الرياض,شمال الرياض,$5c,24.825044,46.654001,https://images.aqar.fm/webp/750x0/props/000895296_1785513251773.jpg | https://images.aqar.fm/webp/750x0/props/000895292_1785513264835.jpg | https://images.aqar.fm/webp/750x0/props/000895290_1785513264838.jpg | https://images.aqar.fm/webp/750x0/props/000895290_1785513264867.jpg | https://images.aqar.fm/webp/750x0/props/000895293_1785513264883.jpg | https://images.aqar.fm/webp/750x0/props/000895293_1785513264896.jpg | https://images.aqar.fm/webp/750x0/props/000895294_1785513264896.jpg | https://images.aqar.fm/webp/750x0/props/000895297_1785513264837.jpg | https://images.aqar.fm/webp/750x0/props/000895299_1785513264854.jpg,9,عبدالرحمن عبدالعزيز بن ناصر العمر,مؤسسة آرتس العقارية,1,2026-07-31,2026-07-31,2026-08-23,408,2026-08-23,True,"3,500,000",False,فيلا
6734997,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-رقم-128-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6734997,"فيلا للبيع في شارع رقم 128, حي الياسمين, مدينة الرياض, منطقة الرياض",3900000,201,5,0,0,0,حي الياسمين,الرياض,شمال الرياض,"فيلا مودرن ومسطحات  المساحه ٤٠٠ متر 

 فيلا مستقله وبناء بجوده عاليه وشخصي 
تفاصيل الداخليه للفيلا  
اربع غرف ماستر  + مجلسين + صاله + مصعد + قسم غسيل وتخزين 
مطبخ كبير 
غرفة خادمه 
غرفة حارس 
مواقف سيارات داخليه وخارجيه 
١- جميع تأسيسات السباكه الداخليه من شركة القبلان  
٢- جميع تأسيسات الكهرب الداخليه من شركة الفنار   
٣- البورسلان الداخلي بورسلان ايطالي 
٤- الدهان الداخلي جوتن 
٥- الدهان الخارجي بروفايل عسيب 
٦-الالمنيوم من أفضل المواصفات وأفضل الشركات 
٦- جميع أدوات  الكهرب الخارجيه باناسونيك 
٧- جميع أدوات السباكه الخارجيه قروهي 
٨ ثلاث أدوار تكييف مخفي راكب من أفضل الشركات 
٩- أصنصير راكب من أفضل الشركات 
١٠- عزل الاسقف طبقتين ( طبقه رغوي مع عزل حراري وطبقه فوم عزل مائي ٥ سم )
١١-تأمين تعاونيه على الفله شامل

يسعدني خدمتكم واستقبال استفسارتكم وتلبيت طلباتكم وعروضكم العقاريه 
يتوفر لدي فلل للبيع وقصور 
يتوفر لدي اراضي للبيع 
((الرقم يظهر عند الضغط على اتصال))",24.828993,46.659006,https://images.aqar.fm/webp/750x0/props/003302067_1781614273263.jpg | https://images.aqar.fm/webp/750x0/props/003302061_1781614273285.jpg | https://images.aqar.fm/webp/750x0/props/003302062_1781614273279.jpg | https://images.aqar.fm/webp/750x0/props/003302065_1781614273286.jpg | https://images.aqar.fm/webp/750x0/props/003302067_1781614273288.jpg | https://images.aqar.fm/webp/750x0/props/003302061_1781614273287.jpg | https://images.aqar.fm/webp/750x0/props/003302062_1781614273288.jpg | https://images.aqar.fm/webp/750x0/props/003302067_1781614273286.jpg,8,علي الزهراني,,,2026-06-16,2026-08-13,2026-08-21,906,2026-08-23,True,"3,900,000",False,فيلا
6713987,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-رقم-231-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6713987,"فيلا للبيع في شارع رقم 231, حي الياسمين, مدينة الرياض, منطقة الرياض",5000000,360,5,1,0,0,حي الياسمين,الرياض,شمال الرياض,"للبيــــــــع فيلا كلاسيك جديدة حي الياسمين مربع 5

مساحة 450 متر
شارع 15 شمالي 

مكونا من
دور راضي استقبال بالكامل
مجلس رجال
مجلس نساء 
صالة كبيرة
مطبخ
غرفة سايق
غرفة غسيل
غرفة خادمة
حوش كبير
مدخل سيارة

دور اول مكونا من
اربع غرف نوم منها اثنين ماستر

سطح
غرفة نوم ماستر 
صالة كبيرة مع دورة مياه
البيع 5مليون",24.836045,46.650074,https://images.aqar.fm/webp/750x0/props/046301807_1781502286058.jpg | https://images.aqar.fm/webp/750x0/props/046301804_1781502349259.jpg | https://images.aqar.fm/webp/750x0/props/046301807_1781502286288.jpg | https://images.aqar.fm/webp/750x0/props/046301800_1781502286012.jpg | https://images.aqar.fm/webp/750x0/props/046301809_1781502286011.jpg | https://images.aqar.fm/webp/750x0/props/046301807_1781502286018.jpg | https://images.aqar.fm/webp/750x0/props/046301803_1781502286037.jpg | https://images.aqar.fm/webp/750x0/props/046301802_1781502286199.jpg | https://images.aqar.fm/webp/750x0/props/046301806_1781502286226.jpg | https://images.aqar.fm/webp/750x0/props/046301809_1781502286241.jpg | https://images.aqar.fm/webp/750x0/props/046301805_1781502286261.jpg | https://images.aqar.fm/webp/750x0/props/046301807_1781502286370.jpg | https://images.aqar.fm/webp/750x0/props/046301809_1781502286488.jpg,13,بدر المطيري,شركة رموز المساكن للتطوير العقاري,1,2026-05-31,2026-07-29,2026-08-23,159,2026-08-23,True,"5,000,000",False,فيلا
6674309,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-رقم-155-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6674309,"فيلا للبيع في شارع رقم 155, حي الياسمين, مدينة الرياض, منطقة الرياض",3500000,375,,5,4,11,حي الياسمين,الرياض,شمال الرياض,"فيلا للبيع – حي الياسمين 

* المساحة: 375 م²
* العمر: 12 سنة
* تتكون الفيلا من: دور أرضي مجدد + دور أول مستقل + شقة بالدور الثاني

الدور الأرضي:

* غرفتين نوم + ماستر
* مجلس + مقلط + صالة
* مطبخ
* ملحق
* 3 دورات مياه
* غرفة سائق + غرفة خادمة

الدور الأول:

* غرفة ماستر + غرفة نوم
* مجلس + مقلط + صالة
* مطبخ
* دورتين مياه

الدور الثاني (شقة):

* 3 غرف
* مطبخ أمريكي
* دورتين مياه
* سطح

مناسب سكن أو استثمار (إمكانية تأجير الشقة والدور).

للتواصل:",24.834133,46.640766,https://images.aqar.fm/webp/750x0/props/013621256_1777420336699.jpg | https://images.aqar.fm/webp/750x0/props/013621257_1777420336717.jpg | https://images.aqar.fm/webp/750x0/props/013621256_1777420336724.jpg | https://images.aqar.fm/webp/750x0/props/013621255_1777420336709.jpg | https://images.aqar.fm/webp/750x0/props/013621257_1777420336716.jpg | https://images.aqar.fm/webp/750x0/props/013621258_1777420336719.jpg | https://images.aqar.fm/webp/750x0/props/013621258_1777420336707.jpg | https://images.aqar.fm/webp/750x0/props/013621252_1777420336699.jpg,8,صالح عبدالرحمن,مؤسسة ارث الريادة للخدمات العقارية,1,2026-04-28,2026-04-28,2026-07-28,1912,2026-08-23,True,"3,500,000",False,فيلا
6702772,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-بيدة-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6702772,"فيلا للبيع في شارع بيدة, حي الياسمين, مدينة الرياض, منطقة الرياض",6500000,650,7,5,5,9,حي الياسمين,الرياض,شمال الرياض,"للبيع فيلا
الموقع : الرياض حي الياسمين  المربع الذهبي ١٥ أفضل مربع سكني بحي الياسمين 📍
——
- يمتاز بموقعه القريب من طريق الثمامه 
- وطريق الملك عبدالعزيز 
مساحات الفلل المجاوره كبيره وبدون شقق
- كامل الخدمات قريبه مساجد ، مدارس ، أسواق  الفيلا عباره عن فيلا بدرج داخلي 
——-
مساحة الارض : ٦٥٠ متر 
أطوالها : ٢٥ في ٢٦
وجهه شرقيه  مدخلين خارجيه للفيلا مع مدخل بايكه سياره مظلل من الداخل بمساحه كبيره 
——
-غرفه سائق كبيره مع دوره مياه خاصه تفتح ع الخارج 
-حوش واسع ب مسطحات خضرا موزعه بالخارج 
-ملحق جانبي مستقل عن الفيلا عباره عن مشب بتصميم تراثي يشمل دوره مياه خاصه به الدور الأرضي : ثلاث مداخل للفيلا   
——-
مجلس واسع مقابل له مجلس اضافي 
دوره مياه مع مغاسل يدين 
غرفه طعام 
صاله واسعه 
دوره مياه 
مجلسين نساء داخليه 
مطبخ  
———
الدور الاول علوي : 
غرفه الماستر 
صاله وجلسه مقابل لها تفتح على شباك مطل على الحوش 
اربع غرف نوم كل غرفه لها دوره مياه خاصه  
——-
الدور الثاني 
سطح 
غرفتين نوم مع دوره مياه
غرفه غسيل 
سطح جانبي كبير
——
السعر : ٦.٥٠٠.٠٠٠✅",24.806519,46.653852,https://images.aqar.fm/webp/750x0/props/051413443_1779193069930.jpg | https://images.aqar.fm/webp/750x0/props/051413447_1779193077001.jpg | https://images.aqar.fm/webp/750x0/props/051413446_1779193081689.jpg | https://images.aqar.fm/webp/750x0/props/051413449_1779193087759.jpg | https://images.aqar.fm/webp/750x0/props/051413440_1779193087763.jpg | https://images.aqar.fm/webp/750x0/props/051413440_1779193087766.jpg | https://images.aqar.fm/webp/750x0/props/051413449_1779193087769.jpg | https://images.aqar.fm/webp/750x0/props/051413443_1779193087763.jpg | https://images.aqar.fm/webp/750x0/props/051413442_1779193762027.jpg,9,عبدالله بن سعد بن محمد مزهر,مكتب بوصلة الاستثمار للعقارات,1,2026-05-18,2026-08-15,2026-08-15,1138,2026-08-23,True,"6,500,000",False,فيلا
6762879,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-رقم-24-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6762879,"فيلا للبيع في شارع رقم 24, حي الياسمين, مدينة الرياض, منطقة الرياض",3200000,325,2,0,0,8,حي الياسمين,الرياض,شمال الرياض,العقار قائم عبارة عن وحدتين متشابهة ، وحده على الشارع والاخرى بالخلف مع وجود مدخل خاص لكل وحده على الشارع .,24.819227,46.662747,https://images.aqar.fm/webp/750x0/props/002278495_1785025770336.jpg,1,محمد العبيدان,,,2026-07-06,2026-08-05,2026-08-23,419,2026-08-23,True,"3,200,000",False,فيلا
6498159,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-الزهرة-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6498159,"فيلا للبيع في شارع الزهرة, حي الياسمين, مدينة الرياض, منطقة الرياض",2900000,318,5,5,2,11,حي الياسمين,الرياض,شمال الرياض,"البيع 
للبيع فيلا بحي الياسمين
الفيلا فاضيه
المساحه ٣١٨م
الواجهه جنوبيه شارع ١٨م
العمر ٦ سنوات
الفيلا تتكون من
الدور الأرضي :
مجلس وصالة طعام وصالة ودورتين مياه
الدور العلوي:
 ٤ غرف نوم وتم الغاء غرفة وجعلها صالة وإضافة مطبخ خدمة 
السطح غرفه غسيل مع غرفه خادمه سطحين 
البيع 2مليون 900
تقبل بنك",24.820659,46.633423,https://images.aqar.fm/webp/750x0/props/046744757_1784996764117.jpg,1,عبدالرحمن بن ابراهيم بن سعد بن مصيليخ,مؤسسة تلال العاذرية,1,2025-12-08,2026-08-13,2026-08-22,2092,2026-08-23,True,"2,900,000",False,فيلا
6526298,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-رقم-139-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6526298,"فيلا للبيع في شارع رقم 139, حي الياسمين, مدينة الرياض, منطقة الرياض",3250000,312,7,4,2,5,حي الياسمين,الرياض,شمال الرياض,"للبيع فيلا بحي الياسمين مربع 24
المساحة 366 متر
العمر 10 سنوات
 عليها شهادة إتمام بناء

الدور الأرضي :                                         
غرفه سايق كراج مدخل رجال ومدخل جانبي مجلس غرفتين ضيوف صاله مطبخ دورتين مياه 

الدور العلوي اول :
صاله واسعه 
وعدد 4 غرف نوم ماستر 

الدور العلوي (سطح):
غرفه خادمة غرفه غسيل دورة مياه 

***مكيفات : ارضي مركزي
علوي سبليت لجميع الغرف 
***المطبخ راكب ومجهّز
***الفيلا مؤثث فيها الدور الأرضي كامل
حد البيع 3 مليون 400 الف 
*الموقع:-*
https://maps.app.goo.gl/n2uKg2cnDhCmRzHG7",24.819747,46.648776,https://images.aqar.fm/webp/750x0/props/036652201_1786037211964.jpg | https://images.aqar.fm/webp/750x0/props/036652202_1786037212085.jpg | https://images.aqar.fm/webp/750x0/props/036652202_1786037212091.jpg | https://images.aqar.fm/webp/750x0/props/036652208_1786037212213.jpg | https://images.aqar.fm/webp/750x0/props/036652203_1786037212325.jpg | https://images.aqar.fm/webp/750x0/props/036652200_1786037212391.jpg | https://images.aqar.fm/webp/750x0/props/036652203_1786037212515.jpg,7,بدر المطيري,شركة رموز المساكن للتطوير العقاري,1,2025-12-29,2026-08-06,2026-08-17,2812,2026-08-23,True,"3,250,000",False,فيلا
6703782,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-رقم-298-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6703782,"فيلا للبيع في شارع رقم 298, حي الياسمين, مدينة الرياض, منطقة الرياض",5900000,387,6,5,1,0,حي الياسمين,الرياض,شمال الرياض,"💥فيلا فاخرة جداً للبيع – حي الياسمين
✨

📍في أحد أفضل مربعات حي الياسمين
📐 المساحة: ٣٨٧.٥م
🛣️ شارع ٢٠م – واجهة جنوبية
💰 السعر: ٥,٩٠٠,٠٠٠ ريال

▫️تصميم معماري فاخر يجمع بين الأناقة والخصوصية
▫️تشطيبات عالية الجودة ومساحات مدروسة بعناية
▫️إطلالات مميزة وأجواء راقية في جميع تفاصيل الفيلا

▪️الدور الأرضي:
مشب خارجي فاخر مع دورة مياه
حوش واسع بتصميم أنيق
مجلس استقبال واسع
صالة فخمة بمساحات مفتوحة
مسبح خلفي بإطلالة مميزة
مطبخ مطل مباشرة على المسبح
غرفة خادمة
غرفة غسيل

▪️الدور الأول:
صالة علوية بإطلالة رائعة على الحوش
جناح رئيسي متكامل بتصميم فاخر
غرفتين نوم ماستر
غرفة نوم إضافية

▪️الدور العلوي:
صالة
غرفة نوم
غرفة ماستر
سطح واسع جداً مناسب للجلسات الراقية

✨ فيلا استثنائية بتفاصيل فخمة وموقع مميز لعشاق السكن الراقي

📞 للتواصل 0542621936",24.833787,46.642176,https://images.aqar.fm/webp/750x0/props/052426757_1779188465129.jpg,1,عمر خالد سعد العتيبي,مؤسسة خالد سعد العتيبي,1,2026-05-19,2026-08-15,2026-08-15,495,2026-08-23,True,"5,900,000",False,فيلا
6449061,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الياسمين/حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6449061,"فيلا للبيع في حي الياسمين, مدينة الرياض, منطقة الرياض",2200000,206,4,1,1,11,حي الياسمين,الرياض,شمال الرياض,"البيع فيلا سكنيه  كل فيلا بصك 
حي الياسمين دبكس 
الواجهه غربيه الشارع ١٥م 
المساحة ٢٠٦م فيلا ٨ واحدت 
عمر العقار ١٣ سنه 
موجر بالكامل ١١٠ الف دفعتين 
 باقي ٣ سنوات  بالعقود
علي السوم 
البيع ٢ مليونو٥٠٠ الف علي 
عليها مديونيه بنك السعودي 
الفرنسي ٤٨٠  الف",24.826338,46.624478,,,عبدالملك ابراهيم محمد الجمعان,شركة بنايات نجد للتسويق شخص واحد,1,2025-11-01,2025-11-01,2026-08-23,4175,2026-08-23,True,"2,200,000",False,فيلا
6665730,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-رقم-295-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6665730,"فيلا للبيع في شارع رقم 295, حي الياسمين, مدينة الرياض, منطقة الرياض",4000000,336,7,6,2,10,حي الياسمين,الرياض,شمال الرياض,"🏡 فيلا فاخرة للبيع في حي الياسمين

فرصة مميزة لعشاق الراحة والمساحات الواسعة ✨

📐 المساحة: 336 م²
🏗️ العمر: 10 سنوات – بحالة ممتازة

🔹 4 غرف نوم (2 ماستر)
🔹 صالة واسعة مفتوحة على السفرة
🔹 مجلس استقبال كبير بتصميم أنيق
🔹 مطبخ عملي + مستودع + مستودع إضافي في السطح
🔹 غرفة خادمة + غرفة غسيل
🔹 غرفة سائق بحمام مستقل
🔹 6 دورات مياه
🔹 مسبح خارجي خاص 🏊‍♂️
🔹 موقف سيارة خاص
🔹 مكيفات مخفية مستقلة لكل غرفة

📍 الموقع: حي الياسمين – موقع هادئ وقريب من الخدمات

💼 مناسبة للسكن العائلي أو استثمار مربح

💰 الحد: 4.5 مليون

📲 للتواصل واتساب / اتصال:  ",24.818329,46.664337,https://images.aqar.fm/webp/750x0/props/018811674_1776867032706.jpg | https://images.aqar.fm/webp/750x0/props/018811679_1776867032710.jpg | https://images.aqar.fm/webp/750x0/props/018811673_1776867032708.jpg | https://images.aqar.fm/webp/750x0/props/018811674_1776867032710.jpg | https://images.aqar.fm/webp/750x0/props/018811670_1776867032710.jpg | https://images.aqar.fm/webp/750x0/props/018811675_1776867032739.jpg | https://images.aqar.fm/webp/750x0/props/018811679_1776867032723.jpg,7,فهد فيصل,,,2026-04-22,2026-08-16,2026-08-16,1677,2026-08-23,True,"4,000,000",False,فيلا
6380371,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-رقم-122-حي-الياسمين-الرياض-منطقة-الرياض-6380371,"فيلا للبيع في شارع شارع رقم 122, حي الياسمين, مدينة الرياض, منطقة الرياض",6000000,520,7,5,3,11,حي الياسمين,الرياض,شمال الرياض,"فيلا في الياسمين فيها شقتين
مساحه : ٦٣٠ متر وليس ٥٢٠ 
شاورعها : جنوبي 15 متر  غربي : 18 متر
الدور الارضي :
مجلسین، مقلط ، غرفة كبار سن ، مطبخ ، صاله واسعه
الدور الاول :
4 غرف نوم و٢ منهن ماستر
الدور الثاني :
غرفة بحمامها 
الشقة بالدور الأول  :
3 غرف نوم وصالة
الشقه بالدور الثاني :
4 غرف نوم وصالة
السوم 6.3 مليون
البيع 6.5 مليون
أحمد العليان للعقارات واتساب  ((الرقم يظهر عند الضغط على اتصال))
تقع في موقع مميز وحيوي وقريبه من جميع الخدمات
تبعد عن جامعة الاميرة نورة 14د
تبعد عن جامعة الامام 17د
تبعد عن مركز الملك عبدالله 19د
تبعد جامعة الملك سعود 18د
تبعد عن المطار 16
يوجد عقارات اخرى",24.821457,46.643799,https://images.aqar.fm/webp/750x0/props/002056174_1757785255736.jpg | https://images.aqar.fm/webp/750x0/props/002056178_1757785255739.jpg | https://images.aqar.fm/webp/750x0/props/002056174_1757785255737.jpg | https://images.aqar.fm/webp/750x0/props/002056175_1757785255744.jpg | https://images.aqar.fm/webp/750x0/props/002056174_1757785255767.jpg | https://images.aqar.fm/webp/750x0/props/002056173_1757785255738.jpg,6,احمد عبدالله جارالله الجارالله,,,2025-09-13,2025-09-14,2026-08-18,7073,2026-08-23,True,"6,000,000",False,فيلا
6653568,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-رقم-139-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6653568,"فيلا للبيع في شارع رقم 139, حي الياسمين, مدينة الرياض, منطقة الرياض",4500000,348,4,0,0,10,حي الياسمين,الرياض,شمال الرياض,"للبيع فيلا في حي الياسمين

العمر تقريبا ١٠ سنوات

المساحة ٣٤٨ متر
 
الشارع ٢٠

البيع مع الاثاث

لتفاصيل اكثر او للمعاينة ارجوا التواصل وتساب",24.815496,46.651005,https://images.aqar.fm/webp/750x0/props/002484572_1776098634711.jpg | https://images.aqar.fm/webp/750x0/props/002484576_1776098633473.jpg | https://images.aqar.fm/webp/750x0/props/002484574_1776098637611.jpg | https://images.aqar.fm/webp/750x0/props/002484571_1776098636791.jpg | https://images.aqar.fm/webp/750x0/props/002484575_1776098637671.jpg | https://images.aqar.fm/webp/750x0/props/002484570_1776098638828.jpg | https://images.aqar.fm/webp/750x0/props/002484570_1776098639900.jpg | https://images.aqar.fm/webp/750x0/props/002484573_1776098637002.jpg,8,شايع فهاد عبدالهادى السبيعى,,,2026-04-13,2026-08-08,2026-08-18,639,2026-08-23,True,"4,500,000",False,فيلا
