listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6805653,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-الحيازين-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6805653,"فيلا للبيع في شارع الحيازين, حي اليرموك, مدينة الرياض, منطقة الرياض",3000000,500,,5,3,11,حي اليرموك,الرياض,شرق الرياض,"فيلا مكونه من دور وثلاث شقق بالقرب من جميع الخدمات 
العمر 16 سنة 
الواجهة شرقيه شارع 15 متر
التفاصيل :
الدور الرضي
4غرف  +   غرفه ماستر +وصاله + مطبخ راكب +3 دورات مياة
+ مجلس خارجي  مع دورة مياة
+ ملحق مع غرفةغسيل ملابس

الدور الاول
*شقتين
كل شقه  3 غرف وصاله ومطبخ وعدد٢ دورة مياة
وكل شقه لها مدخلين
الدور الثاني
  4 غرف وصاله ومطبخ راكب وعدد 2 دورة مياة ، بالاضافه الى غرفة السطح لها  مطل زجاج .",24.814527,46.791605,https://images.aqar.fm/webp/750x0/props/003746171_1785850517509.jpg | https://images.aqar.fm/webp/750x0/props/003746179_1785850517471.jpg | https://images.aqar.fm/webp/750x0/props/003746173_1785850517476.jpg,3,وليد المالكي,,,2026-08-04,2026-08-04,2026-08-20,262,2026-08-23,True,"3,000,000",False,فيلا
6831753,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-الجوانية-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6831753,"فيلا للبيع في شارع الجوانية, حي اليرموك, مدينة الرياض, منطقة الرياض",875000,177,3,1,0,9,حي اليرموك,الرياض,شرق الرياض,"فرصة أكبر مساحة وأقل سعر بالسوق . دور علوي تمليك مضاف حديثا في الفيلا عبارة عن : مجلس صالة مقلط غرفتين نوم ماستر ومطبخ

مستقل و 3 دورات مياه

بدون مصعد ( قابل للتقسيم الشقتين ) مدخلين مدخل للمجلس ومدخل للصالة كبير جدا و فاخر شرق الرياض جوار حديقة اليرموك

شارع شمالي عرض 20

جميع الغرف كبيرة جدا جدا يوجد بعض الضمانات ( اغلا انواع الابواب الدهان

الحي مخدوم بكل المدارس الحكومية والمرافق والمساجد قريبة من طريق الدمام وشارع الشيخ جابر

والارضيات والادوات الصحية) يوجد شهادة اشغال / اتمام بناء ومخططات كاملة ومحضر فرز وصك مستقل وعداد مستقل
875000 البيع

لاصق في حديقة اليرموك
شارع عرض ٢٠

الدور تم بناءه حديثا في الفيلا
عمر الفيلا ١٤ سنة

عمر الدور / جديد

* لم يسكن لم يؤجر نهائيا
* يوجد بعض الضمانات
* اغلا انواع التشطيبات والدهانات والارضيات",24.81295,46.803211,https://images.aqar.fm/webp/750x0/props/048209519_1787165805177.jpg | https://images.aqar.fm/webp/750x0/props/048209513_1787165805366.jpg | https://images.aqar.fm/webp/750x0/props/048209516_1787165805500.jpg | https://images.aqar.fm/webp/750x0/props/048209510_1787165805588.jpg | https://images.aqar.fm/webp/750x0/props/048209514_1787165805678.jpg | https://images.aqar.fm/webp/750x0/props/048209515_1787165805857.jpg | https://images.aqar.fm/webp/750x0/props/048209511_1787165805982.jpg | https://images.aqar.fm/webp/750x0/props/048209511_1787165806074.jpg | https://images.aqar.fm/webp/750x0/props/048209512_1787165806202.jpg | https://images.aqar.fm/webp/750x0/props/048209518_1787165806373.jpg | https://images.aqar.fm/webp/750x0/props/048209517_1787165806506.jpg | https://images.aqar.fm/webp/750x0/props/048209512_1787165806605.jpg,12,عبدالرحمن بن ابراهيم بن سعد بن مصيليخ,مؤسسة تلال العاذرية,1,2026-08-19,2026-08-19,2026-08-23,351,2026-08-23,True,"875,000",False,فيلا
6767220,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-الجلة-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6767220,"فيلا للبيع في شارع الجلة, حي اليرموك, مدينة الرياض, منطقة الرياض",2400000,750,5,0,0,0,حي اليرموك,الرياض,شرق الرياض,"عرض مشروع فلل – RUFA GOLD

مواصفات المشروع

يقدم مشروع RUFA GOLD فللاً سكنية بتصميم عصري يجمع بين الفخامة، والخصوصية، والاستغلال الأمثل للمساحات، لتوفير بيئة سكنية مريحة تناسب احتياجات الأسرة.

تفاصيل الفيلا

* المساحة: 250 م²
* مدخل رئيسي مستقل.
* مدخل عائلي خاص يوفر أعلى درجات الخصوصية.
* مجلس رجال واسع.
* حمام خاص للمجلس.
* مقلط مستقل.
* صالة عائلية رحبة.
* حمام يخدم الصالة والضيوف.
* مطبخ عملي بتصميم حديث.
* أربع غرف نوم ماستر، لكل غرفة حمام خاص.
* غرفة نوم إضافية.
* غرفة خادمة مستقلة.

مميزات المشروع

* تصميم معماري حديث وعصري.
* توزيع داخلي عملي يلائم احتياجات الأسرة.
* خصوصية عالية بفضل المدخل العائلي المستقل.
* استغلال مثالي للمساحات الداخلية.
* تشطيبات عالية الجودة وفق أعلى معايير التنفيذ.

المساحة: 250 م²
نوع المشروع: فلل سكنية",24.813761,46.80017,https://images.aqar.fm/webp/750x0/props/041604996_1783617916517.jpg | https://images.aqar.fm/webp/750x0/props/041604991_1783617951383.jpg | https://images.aqar.fm/webp/750x0/props/041604992_1783617951382.jpg | https://images.aqar.fm/webp/750x0/props/041604995_1783617951384.jpg | https://images.aqar.fm/webp/750x0/props/041604994_1783617951385.jpg | https://images.aqar.fm/webp/750x0/props/041604997_1783617951391.jpg | https://images.aqar.fm/webp/750x0/props/041604994_1783617951385.jpg | https://images.aqar.fm/webp/750x0/props/041604998_1783617951490.jpg | https://images.aqar.fm/webp/750x0/props/041604994_1783617958443.jpg | https://images.aqar.fm/webp/750x0/props/041604995_1783617958324.jpg,10,وافي راجح,شركة روفا جولدن العقارية,1,2026-07-09,2026-07-09,2026-08-22,587,2026-08-23,True,"2,400,000",False,فيلا
6495466,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-الملد-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6495466,"فيلا للبيع في شارع الملد, حي اليرموك, مدينة الرياض, منطقة الرياض",2300000,375,3,,,10,حي اليرموك,الرياض,شرق الرياض,"للباحثين عن الشغل الشخصي والاستثمار 

للبيــــــــع فيلا  بحي اليرموك  خلف الامبراطوره على طريق الشيخ جابر  شارع الملد  رقم البيت  (( ٣ أ  )) مساحه ٣٧٥  جنوبي شارع ١٥   حديده زاويه  
دور + دور + شقه  
عمر العقار ١٢ سنه
عليه سوم  ( مليونين ٣٠٠ الف ريال )  
مؤجره بالكامل دخلها السنوي ( 154000 الف )ريال  وقابله للزياده
 
مرهون لدى بنك الراجحي ٢٥٠ الف 
وعليه صندوق التنميه ٤٠٠ الف
الفيلا فيها الدور الارضي   مدخلين   وخمس غرف  وصاله جانبيه غرفه النوم الرئيسية ماستر ويوجد ثلاث دورات مياه  ومطبخ كبير 
ومشب خارجي 
الدور الثاني
 خمس غرف وغرفة نوم ماستر وصاله جانبيه وثلاث حمامات ومطبخ 
الدور الثالث   
ثلاث غرف  وصاله جانبيه  وحمامين  ومطبخ   وسطح

عالشور ٢ مليون ٣٥٠ الف

الرجال سمح وبياع",24.819092,46.798588,https://images.aqar.fm/webp/750x0/props/031301832_1765042554280.jpg | https://images.aqar.fm/webp/750x0/props/031301838_1765042523558.jpg | https://images.aqar.fm/webp/750x0/props/031301832_1765042523695.jpg | https://images.aqar.fm/webp/750x0/props/031301839_1765042523559.jpg | https://images.aqar.fm/webp/750x0/props/031301835_1765042523718.jpg | https://images.aqar.fm/webp/750x0/props/031301834_1765042523873.jpg | https://images.aqar.fm/webp/750x0/props/031301838_1765042524115.jpg | https://images.aqar.fm/webp/750x0/props/031301837_1765042524244.jpg | https://images.aqar.fm/webp/750x0/props/031301834_1765042524473.jpg | https://images.aqar.fm/webp/750x0/props/031301838_1765042524689.jpg | https://images.aqar.fm/webp/750x0/props/031301837_1765042524929.jpg | https://images.aqar.fm/webp/750x0/props/031301836_1765042525157.jpg | https://images.aqar.fm/webp/750x0/props/031301838_1765042525391.jpg | https://images.aqar.fm/webp/750x0/props/031301831_1765042525625.jpg | https://images.aqar.fm/webp/750x0/props/031301834_1765042525853.jpg,15,عبدالرحمن بن ابراهيم بن سعد بن مصيليخ,مؤسسة تلال العاذرية,1,2025-12-06,2026-07-29,2026-08-22,1610,2026-08-23,True,"2,300,000",False,فيلا
6758821,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-بللسمر-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6758821,"فيلا للبيع في شارع بللسمر, حي اليرموك, مدينة الرياض, منطقة الرياض",3500000,500,,0,0,11,حي اليرموك,الرياض,شرق الرياض,"فلة بحي اليرموك 
تتكون من دور ارضي (5 غرف وصالة ومطبخ وحوش وملحق )
و3 شقق  كل شقة4 وصالة
مؤجرة 
المعاينة والاستفسار ((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.80734,46.76403,https://images.aqar.fm/webp/750x0/props/001395313_1783151649409.jpg | https://images.aqar.fm/webp/750x0/props/001395313_1783151649411.jpg,2,صالح المرشد,مكتب صالح محمد المرشد للعقارات,1,2026-07-04,2026-08-02,2026-08-23,368,2026-08-23,True,"3,500,000",False,فيلا
6678963,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-مسور-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6678963,"فيلا للبيع في شارع مسور, حي اليرموك, مدينة الرياض, منطقة الرياض",3700000,418,,7,5,5,حي اليرموك,الرياض,شرق الرياض,$5e,24.811978,46.785908,https://images.aqar.fm/webp/750x0/props/045764409_1777759180668.png | https://images.aqar.fm/webp/750x0/props/045764409_1777759180667.png | https://images.aqar.fm/webp/750x0/props/045764400_1777759180669.png | https://images.aqar.fm/webp/750x0/props/045764407_1777759180751.png | https://images.aqar.fm/webp/750x0/props/045764401_1777759180684.png | https://images.aqar.fm/webp/750x0/props/045764402_1777759192747.png | https://images.aqar.fm/webp/750x0/props/045764406_1777759192749.png | https://images.aqar.fm/webp/750x0/props/045764402_1777759192749.png | https://images.aqar.fm/webp/750x0/props/045764403_1777759222324.png | https://images.aqar.fm/webp/750x0/props/045764407_1777759222296.png | https://images.aqar.fm/webp/750x0/props/045764402_1777759222305.png | https://images.aqar.fm/webp/750x0/props/045764400_1777759222313.png | https://images.aqar.fm/webp/750x0/props/045764401_1777759222310.png | https://images.aqar.fm/webp/750x0/props/045764407_1777759222339.png | https://images.aqar.fm/webp/750x0/props/045764408_1777759222367.png | https://images.aqar.fm/webp/750x0/props/045764400_1777759222326.png | https://images.aqar.fm/webp/750x0/props/045764408_1777759222325.png | https://images.aqar.fm/webp/750x0/props/045764403_1777759222340.png | https://images.aqar.fm/webp/750x0/props/045764408_1777759222339.jpg | https://images.aqar.fm/webp/750x0/props/045764409_1777759222399.jpg | https://images.aqar.fm/webp/750x0/props/045764406_1777759227051.png,21,فيصل الجبل,مؤسسة أفاق الجبل للعقارات,1,2026-05-02,2026-07-29,2026-08-21,910,2026-08-23,True,"3,700,000",False,فيلا
6809815,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-نقعه-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6809815,"فيلا للبيع في شارع نقعه, حي اليرموك, مدينة الرياض, منطقة الرياض",1700000,300,3,1,1,0,حي اليرموك,الرياض,شرق الرياض,"للبيع تاون هاوس زاوية في حي اليرموك الشرقي مساحة ٣٠٠م

الدور الأرضي مدخل سيارة ومجلس رجال ومقلط وصالة عائلية ومطبخ وغرفة نوم ودورتين مياه

الدور العلوي ٣ غرف نوم ودورتين مياه

عرض الشارع ١٥ شمالي ١٠ شرقي

 *السعر مليون ٧٥٠ الف*",24.818322,46.7881,https://images.aqar.fm/webp/750x0/props/043967256_1786051147813.jpg | https://images.aqar.fm/webp/750x0/props/043967256_1786051146543.jpg | https://images.aqar.fm/webp/750x0/props/043967253_1786051147712.jpg | https://images.aqar.fm/webp/750x0/props/043967251_1786051146525.jpg | https://images.aqar.fm/webp/750x0/props/043967258_1786051146717.jpg | https://images.aqar.fm/webp/750x0/props/043967250_1786051146722.jpg | https://images.aqar.fm/webp/750x0/props/043967254_1786051147115.jpg | https://images.aqar.fm/webp/750x0/props/043967257_1786051147209.jpg | https://images.aqar.fm/webp/750x0/props/043967250_1786051147278.jpg | https://images.aqar.fm/webp/750x0/props/043967251_1786051147312.jpg | https://images.aqar.fm/webp/750x0/props/043967259_1786051147399.jpg | https://images.aqar.fm/webp/750x0/props/043967252_1786051147522.jpg | https://images.aqar.fm/webp/750x0/props/043967259_1786051147595.jpg | https://images.aqar.fm/webp/750x0/props/043967258_1786051147611.jpg | https://images.aqar.fm/webp/750x0/props/043967251_1786051147645.jpg | https://images.aqar.fm/webp/750x0/props/043967256_1786051147813.jpg | https://images.aqar.fm/webp/750x0/props/043967256_1786051146543.jpg | https://images.aqar.fm/webp/750x0/props/043967253_1786051147712.jpg | https://images.aqar.fm/webp/750x0/props/043967251_1786051146525.jpg | https://images.aqar.fm/webp/750x0/props/043967258_1786051146717.jpg | https://images.aqar.fm/webp/750x0/props/043967250_1786051146722.jpg | https://images.aqar.fm/webp/750x0/props/043967254_1786051147115.jpg | https://images.aqar.fm/webp/750x0/props/043967257_1786051147209.jpg | https://images.aqar.fm/webp/750x0/props/043967250_1786051147278.jpg | https://images.aqar.fm/webp/750x0/props/043967251_1786051147312.jpg | https://images.aqar.fm/webp/750x0/props/043967259_1786051147399.jpg | https://images.aqar.fm/webp/750x0/props/043967252_1786051147522.jpg | https://images.aqar.fm/webp/750x0/props/043967259_1786051147595.jpg | https://images.aqar.fm/webp/750x0/props/043967258_1786051147611.jpg | https://images.aqar.fm/webp/750x0/props/043967251_1786051147645.jpg,30,بشرى عبدالكريم,مؤسسة بيت الحكمة للخدمات العقارية,1,2026-08-06,2026-08-06,2026-08-23,664,2026-08-23,True,"1,700,000",False,فيلا
6741853,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-الشعلة-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6741853,"فيلا للبيع في شارع الشعلة, حي اليرموك, مدينة الرياض, منطقة الرياض",3500000,378,5,5,2,10,حي اليرموك,الرياض,شرق الرياض,"الفله للبيع زاوية بموقع مميز 
الحي / اليرموك الغربي خلف اطياف مول 🏩 
• المساحه 378 م
• ⁠ على شارعين 20 شمالي غربي
• ⁠مكونة من فيلا درج داخلي مستقلة 
• ⁠ملحق خارجي مع مشب 
• ⁠الدور الارضي مجلسين رجال متقابله ومطبخ ومخزن 2 دورة مياه  مجلس نساء مفتوح على صاله كبيره ومدخل نساء  

• ⁠والدور الاول ثلاث اجنحه كل واحد له دورة مياه +غرفتين ودورة مياه بينهما المجموع 5 والدور الثاني غرفة خادمه كبيره بحمام
يتوفر ايضا غرفة للسايق مع دورة مياه 
البيع على السوم

🗺️ الموقع 🗺️ 
https://maps.google.com/?q=24.797937,46.769516
برعاية 
مؤسسة نجمة الشرق العقارية 
سناب / Aqar.star
((الرقم يظهر عند الضغط على اتصال))",24.797977,46.769633,https://images.aqar.fm/webp/750x0/props/009129500_1782050459331.jpg | https://images.aqar.fm/webp/750x0/props/009129507_1782050547865.jpg | https://images.aqar.fm/webp/750x0/props/009129502_1782050547863.jpg | https://images.aqar.fm/webp/750x0/props/009129506_1782050547865.jpg | https://images.aqar.fm/webp/750x0/props/009129502_1782050547877.jpg | https://images.aqar.fm/webp/750x0/props/009129501_1782050547865.jpg | https://images.aqar.fm/webp/750x0/props/009129507_1782050547863.jpg | https://images.aqar.fm/webp/750x0/props/009129507_1784388527559.jpg | https://images.aqar.fm/webp/750x0/props/009129504_1784388527601.jpg | https://images.aqar.fm/webp/750x0/props/009129509_1784388527597.jpg | https://images.aqar.fm/webp/750x0/props/009129505_1784388527607.jpg | https://images.aqar.fm/webp/750x0/props/009129500_1784388527595.jpg | https://images.aqar.fm/webp/750x0/props/009129507_1784388527601.jpg | https://images.aqar.fm/webp/750x0/props/009129508_1784388527602.jpg | https://images.aqar.fm/webp/750x0/props/009129505_1784388527605.jpg | https://images.aqar.fm/webp/750x0/props/009129502_1784388639095.jpg | https://images.aqar.fm/webp/750x0/props/009129508_1784388639086.jpg | https://images.aqar.fm/webp/750x0/props/009129503_1784388639096.jpg | https://images.aqar.fm/webp/750x0/props/009129509_1784388639076.jpg | https://images.aqar.fm/webp/750x0/props/009129504_1784388639097.jpg | https://images.aqar.fm/webp/750x0/props/009129504_1784388639109.jpg | https://images.aqar.fm/webp/750x0/props/009129506_1784388639110.jpg | https://images.aqar.fm/webp/750x0/props/009129504_1784388639128.jpg,23,فؤاد ابراهيم,مؤسسة نجمة الشرق للخدمات العقارية,1,2026-06-21,2026-06-21,2026-07-18,504,2026-08-23,True,"3,500,000",False,فيلا
6581064,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-مران-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6581064,"فيلا للبيع في شارع مران, حي اليرموك, مدينة الرياض, منطقة الرياض",2800000,405,3,5,5,10,حي اليرموك,الرياض,شرق الرياض,"https://maps.app.goo.gl/DxZuaNNWrqK4yunH7?g_st=aw
(((بسم الله الرحمن الرحيم )))
تعلن لحضرتكم شركة كيان الاوائل للتطوير والتسويق العقاري 

للبيــــــــع 
فيلا درج صاله 
مع ٣شقق
الدور الارضي 
استقبال بالكامل 
مجلس رجال 
ومجلس نساء 
ومقلط وصالة ومطبخ 
الدور الاول
 ٣غرف نوم فيهم غرفة ماستر 
الشقق
شقتين كل شقه تتكون من غرفتين نوم ومجلس وصاله ومطبخ
الشقه الثالثة تتكون من غرفتين نوم ومطبخ وصالة استقبال 
العمر ١١ سنه تقريبا 
البيــــــــع ٢مليون ٨٠٠الف 
عليهآ صندوق عقاري 
بقيمة 90.000الف
البيــــــــع غير شامل رهنيه",24.817657,46.797991,https://images.aqar.fm/webp/750x0/props/028933709_1770559481563.jpg,1,ابراهيم حسن,شركة كيان الاوائل للتطوير العقاري,1,2026-02-08,2026-08-02,2026-08-23,2420,2026-08-23,True,"2,800,000",False,فيلا
6599737,https://sa.aqar.fm/فلل-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-المشهد-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6599737,"فيلا للبيع في شارع المشهد, حي اليرموك, مدينة الرياض, منطقة الرياض",3000000,262,7,0,0,0,حي اليرموك,الرياض,شرق الرياض,"للبيع فلتين حي اليرموك الذهبي
مساحة 262م 
فيلا دبلكس شارع ١٥ حرف تي 
 مقابل مرفق حكومي حديقه ومسجد 

الدور الارضي ملحق خارجي ومجلس وصالة طعام مفتوحه على الصاله..
 وصاله ومستودع ومطبخ ودورتين مياه 

الدور الاول غرفتين ماستر وغرفتين بدورة مياه خارجيه 
ومطبخ وصاله 

السطح غرفتين وصاله كبيره دورة مياه داخلها غرفة غسيل وسطح خارجي كبير مع جلسه خارجيه 

الضمانات للسباكه والكهرباء ٢٥ سنه  الفنار 
 كلها يوجد مصاعد راكبه
وعلى المبنى يوجد تأمين سنه 

فيلا رقم ١ مؤثثه  السعر ٣٠٠٠٠٠٠",24.803135,46.790115,https://images.aqar.fm/webp/750x0/props/033089305_1771702294802.jpg | https://images.aqar.fm/webp/750x0/props/033089309_1771702294829.jpg | https://images.aqar.fm/webp/750x0/props/033089305_1771702294842.jpg | https://images.aqar.fm/webp/750x0/props/033089309_1771702294980.jpg | https://images.aqar.fm/webp/750x0/props/033089300_1771702294988.jpg | https://images.aqar.fm/webp/750x0/props/033089305_1771702295027.jpg | https://images.aqar.fm/webp/750x0/props/033089302_1771702295055.jpg | https://images.aqar.fm/webp/750x0/props/033089300_1771702295068.jpg,8,حسام العطاالله,مؤسسة تسهيل الاركان العقارية,1,2026-02-21,2026-08-15,2026-08-22,110,2026-08-23,True,"3,000,000",False,فيلا
