listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6576042,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ام-الحمام-الغربي/شارع-ابن-معتوق-حي-أم-الحمام-الغربي-مدينة-الرياض-منطقة-الرياض-6576042,"فيلا للبيع في شارع ابن معتوق, حي أم الحمام الغربي, مدينة الرياض, منطقة الرياض",4000000,490,7,,,10,حي ام الحمام الغربي,الرياض,غرب الرياض,"فيلا مساحتها 490م شارع 10 اتجاه جنوبي العمق 24,39م وطول 20,3م
الدور الأرضي يتكون من مجلس وملقط ومطبخ 
وصاله مساحه كبيره وغرفه نساء 
وعدد ٢دور مياه 
والدور الثاني يتكون من جناح غرفه مع صاله وغرفه ملابس ودور مياه 
وعدد ٣ غرف وصاله ودورتين مياه 
وشقه بالسطح عدد ٣ غرف ودور مياه 
وملحق خارجي مع غرفه خدم …",24.685199,46.643824,https://images.aqar.fm/webp/750x0/props/004473635_1770214374915.jpg | https://images.aqar.fm/webp/750x0/props/004473630_1770214374938.jpg | https://images.aqar.fm/webp/750x0/props/004473639_1770214374919.jpg,3,سليمان محمد ابن شائع القحطاني,شركة البيت الأفضل العقارية شركة شخص واحد,1,2026-02-04,2026-07-28,2026-07-31,4259,2026-08-23,True,"4,000,000",False,فيلا
6822782,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ام-الحمام-الغربي/شارع-سليمان-الطبراني-حي-أم-الحمام-الغربي-مدينة-الرياض-منطقة-الرياض-6822782,"فيلا للبيع في شارع سليمان الطبراني, حي أم الحمام الغربي, مدينة الرياض, منطقة الرياض",3800000,375,,5,5,11,حي ام الحمام الغربي,الرياض,غرب الرياض,"عماره للبيع
حي أم الحمام الغربي
 (خلف ليسن فالي وبالقرب من حي السفارات وجامعة الملك سعود)
مجددة بالكامل 
وحدتين دوبلكس 
عدد الشقق 14
عدد الغرف 38

تتكون من 12 شقة مكونة من 3 غرف
مطبخ مستقبل، وصاله، دوره مياه..
و 2 استديو ارضي: غرفه ومطبخ بالصاله ودوره مياه

تتكون من 6 عدادات كهرباء و2 عدادات مياه
شارع سكني 10 م",24.693694,46.647352,https://images.aqar.fm/webp/750x0/props/002449039_1786737956487.jpg | https://images.aqar.fm/webp/750x0/props/002449037_1786737956499.jpg | https://images.aqar.fm/webp/750x0/props/002449038_1786737956495.jpg | https://images.aqar.fm/webp/750x0/props/002449039_1786737956487.jpg | https://images.aqar.fm/webp/750x0/props/002449038_1786738004014.jpg | https://images.aqar.fm/webp/750x0/props/002449031_1786738004009.jpg | https://images.aqar.fm/webp/750x0/props/002449035_1786738004005.jpg | https://images.aqar.fm/webp/750x0/props/002449038_1786738004011.jpg | https://images.aqar.fm/webp/750x0/props/002449034_1786738044493.jpg,9,سعد خالد بن نايف المطيري,مكتب الرحاله العقاري,1,2026-08-14,2026-08-14,2026-08-22,158,2026-08-23,True,"3,800,000",False,فيلا
6784413,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ام-الحمام-الغربي/شارع-ابي-الفرج-الكاتب-حي-ام-الحمام-الغربي-الرياض-منطقة-الرياض-6784413,فيلا للبيع في شارع ابي الفرج الكاتب ، حي ام الحمام الغربي ، الرياض ، منطقة الرياض,3000000,500,7,5,5,36,حي ام الحمام الغربي,الرياض,غرب الرياض,,24.696503,46.642212,,,بداح بن ناصر بن مثقال الدوسري,,,2026-07-21,,2026-07-21,138,2026-08-23,False,طلب تسويق,False,فيلا
6733755,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ام-الحمام-الغربي/شارع-رأس-السد-حي-أم-الحمام-الغربي-مدينة-الرياض-منطقة-الرياض-6733755,"فيلا للبيع في شارع رأس السد, حي أم الحمام الغربي, مدينة الرياض, منطقة الرياض",2000000,420,4,0,0,11,حي ام الحمام الغربي,الرياض,غرب الرياض,"للبيع عقار في الرياض مساحة ٤٢٠ شارع ١٥ م شرقي حي ام الحمام الغربي
الدور الارضي :
٢ ملاحق خارجية مع دورة مياه ومغاسل
مجلس 
صالة
٤ غرف نوم
٢ دورات مياه 
الدور العلوي
٤ غرف نوم
صالة 
٢ دورات مياه 
للمزيد من الاستفسارات يسعدنا تواصلكم عبر الارقام التالية 
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.693542,46.647844,https://images.aqar.fm/webp/750x0/props/030769238_1781525098311.jpg | https://images.aqar.fm/webp/750x0/props/030769239_1781525098311.jpg | https://images.aqar.fm/webp/750x0/props/030769235_1781525728944.jpg | https://images.aqar.fm/webp/750x0/props/030769237_1781525728960.jpg,4,عبدالله عبدالرحمن عبدالله بن بريك,مؤسسة مكتب عبدالله عبدالرحمن عبدالله بن بريك للخدمات العقارية,1,2026-06-15,2026-08-12,2026-08-23,3003,2026-08-23,True,"2,000,000",False,فيلا
6817182,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ام-الحمام-الغربي/شارع-وادي-خفية-حي-أم-الحمام-الغربي-مدينة-الرياض-منطقة-الرياض-6817182,"فيلا للبيع في شارع وادي خفية, حي أم الحمام الغربي, مدينة الرياض, منطقة الرياض",1650000,383,,5,3,11,حي ام الحمام الغربي,الرياض,غرب الرياض,"يوجد فيلا للبيع ام الحمام الغربي 
موقع ممتاز جدا وقريب من اليسن فالي 
وطريق الملك خالد وحي السفارات 
شارع 10متر الواجهه غربي 
يوجد بها 2 عداد كهرباء 
تتكون من 
دور ارضي يتكون من 4 غرف وصاله وحمامين 
ومطبخ وحوش صغير ومدخل سياره 
ومجلس خارجي مع دورة مياه ومغسلة 
دور علوي من 4 غرف وصاله وحمامين ومطبخ 
دور ثاني  من  4 غرف وصاله وحمامين ومطبخ 
السعر  : 1.650.000 مليون وستمائة وخمسون الف 
للتواصل  : ((الرقم يظهر عند الضغط على اتصال))",24.689357,46.640641,https://images.aqar.fm/webp/750x0/props/041864245_1786472644754.jpg | https://images.aqar.fm/webp/750x0/props/041864244_1786472644759.jpg | https://images.aqar.fm/webp/750x0/props/041864241_1786472644885.jpg | https://images.aqar.fm/webp/750x0/props/041864246_1786472644972.jpg | https://images.aqar.fm/webp/750x0/props/041864248_1786472644796.jpg,5,سعود ماطر,مؤسسة عنوان الخبرة للخدمات العقارية,1,2026-08-11,2026-08-11,2026-08-19,1259,2026-08-23,True,"1,650,000",False,فيلا
6791297,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ام-الحمام-الغربي/شارع-وادي-مبايض-حي-أم-الحمام-الغربي-مدينة-الرياض-منطقة-الرياض-6791297,"فيلا للبيع في شارع وادي مبايض, حي أم الحمام الغربي, مدينة الرياض, منطقة الرياض",3300000,550,,0,0,11,حي ام الحمام الغربي,الرياض,غرب الرياض,"� فيلا للبيع في أم الحمام – موقع مميز

📍 قريبة من جميع الخدمات
📐 المساحة: 550م²
📏 الأطوال: 22م × 25م
🛣️ شارع 20م شمالي
🏠 العمر: حوالي 30 سنة
🏢 مكونة من 3 أدوار
💰 مؤجرة

فرصة استثمارية في موقع مميز",24.697187,46.643618,https://images.aqar.fm/webp/750x0/props/000898682_1785078849560.jpg,1,سلمان صالح عثمان العتيبي,,,2026-07-26,2026-07-26,2026-08-13,771,2026-08-23,True,"3,300,000",False,فيلا
6831522,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ام-الحمام-الغربي/شارع-عين-ريم-حي-أم-الحمام-الغربي-مدينة-الرياض-منطقة-الرياض-6831522,"فيلا للبيع في شارع عين ريم, حي أم الحمام الغربي, مدينة الرياض, منطقة الرياض",3950000,568,,0,0,10,حي ام الحمام الغربي,الرياض,غرب الرياض,"حي ام الحمام الغربي فيلا للبيع مكونة من طابقين ونصف:
الطابق الأرضي: يحتوي على 5 غرف نوم، 4 دورات مياه، مجلس رجال، موقف سيارات مظلل يتسع لـ 4–5 سيارات، حديقة، وغرفة سائق.
الطابق الأول: يحتوي على 4 غرف نوم، 3 دورات مياه، مطبخ، وصالة.
الطابق العلوي: يحتوي على غرفتي نوم، صالة، مطبخ، وسطح مفتوح.
المساحة حوالي 600 متر مربع.
تقع بالقرب من شارع لازن فالي، بعرض 15 متر، وموقع مميز مناسب لموظفي جامعة الملك سعود وموظفي السفارات.
البيع 3, مليون و950",24.68992,46.637439,https://images.aqar.fm/webp/750x0/props/043310244_1787159768587.jpg | https://images.aqar.fm/webp/750x0/props/043310244_1787159768588.jpg | https://images.aqar.fm/webp/750x0/props/043310247_1787159768585.jpg,3,فهد بن عبدالله بن فهد الفريح,مؤسسة علي الناصية للمقاولات العامة,1,2026-08-19,2026-08-19,2026-08-20,183,2026-08-23,True,"3,950,000",False,فيلا
6830729,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ام-الحمام-الغربي/شارع-النابغة-التغلبي-حي-أم-الحمام-الغربي-مدينة-الرياض-منطقة-الرياض-6830729,"فيلا للبيع في شارع النابغة التغلبي, حي أم الحمام الغربي, مدينة الرياض, منطقة الرياض",5400000,500,3,0,0,0,حي ام الحمام الغربي,الرياض,غرب الرياض,"للبيع | 6 وحدات سكنية جديدة ومفرزة – أم الحمام الغربي، الرياض

فرصة مميزة للسكن أو الاستثمار في حي أم الحمام الغربي، عبارة عن 6 وحدات سكنية دوبلكس بأدوار منفصلة، بناء جديد.

تفاصيل العقار:

* 📍 الموقع: حي أم الحمام الغربي – الرياض
* مساحة الأرض: 500 م²
* الواجهة: شمالية
* عدد الوحدات: 6 وحدات
* مفروزة، ولكل وحدة صك مستقل
* عداد كهرباء مستقل لكل وحدة
* عداد مياه مستقل لكل وحدة
* بناء جديد
* إمكانية بيع كل وحدة بشكل مستقل

📌 موقع العقار على الخريطة:
https://maps.app.goo.gl/47NyVfffmzm66nu68?g_st=ic

عقار مناسب لمن يبحث عن السكن أو الاستثمار، مع استقلالية كل وحدة من حيث الصك والخدمات.

للتواصل والاستفسار عن الأسعار والتفاصيل:
((الرقم يظهر عند الضغط على اتصال))

ترخيص اعلان رقم : 7100311797
رخصة فال رقم: 1100174979",24.688833,46.644622,https://images.aqar.fm/webp/750x0/props/021911489_1787134979135.jpg | https://images.aqar.fm/webp/750x0/props/021911486_1787134979198.jpg | https://images.aqar.fm/webp/750x0/props/021911481_1787134979270.jpg | https://images.aqar.fm/webp/750x0/props/021911484_1787134979294.jpg | https://images.aqar.fm/webp/750x0/props/021911483_1787134979132.jpg,5,محمد عبدالملك عبدالله العقيل,,,2026-08-19,2026-08-19,2026-08-19,191,2026-08-23,True,"5,400,000",False,فيلا
6712988,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ام-الحمام-الغربي/شارع-عين-ريم-حي-ام-الحمام-الغربي-الرياض-منطقة-الرياض-6712988,فيلا للبيع في شارع عين ريم ، حي ام الحمام الغربي ، الرياض ، منطقة الرياض,4200000,570,7,7,5,10,حي ام الحمام الغربي,الرياض,غرب الرياض,"فيلا للبيع مكونة من طابقين ونصف:

* الطابق الأرضي: يحتوي على 5 غرف نوم، 4 دورات مياه، مجلس رجال، موقف سيارات مظلل يتسع لـ 4–5 سيارات، حديقة، وغرفة سائق.
* الطابق الأول: يحتوي على 4 غرف نوم، 3 دورات مياه، مطبخ، وصالة.
* الطابق العلوي: يحتوي على غرفتي نوم، صالة، مطبخ، وسطح مفتوح.

المساحة حوالي 600 متر مربع.
تقع بالقرب من شارع لازن فالي، بعرض 15 متر، وموقع مميز مناسب لموظفي جامعة الملك سعود وموظفي السفارات.

للجادين فقط، يرجى التواصل على الرقم:  ",24.690242,46.638852,https://images.aqar.fm/webp/750x0/props/036670117_1780154235278.jpg,1,مو نوشاد بن شميم بن أحمد مونوشاد,,,2026-05-30,,2026-05-30,269,2026-08-23,False,طلب تسويق,False,فيلا
6725376,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ام-الحمام-الغربي/شارع-عين-ريم-حي-أم-الحمام-الغربي-مدينة-الرياض-منطقة-الرياض-6725376,"فيلا للبيع في شارع عين ريم, حي أم الحمام الغربي, مدينة الرياض, منطقة الرياض",4200000,568,5,5,0,11,حي ام الحمام الغربي,الرياض,غرب الرياض,"فيلا للبيع بموقع مميز ام الحمام الغربي بالقرب من لسن فالي وطريق الملك خالد و بالقرب من طريق العروبة و جامعة الملك سعود , السفارات, مستشفى الملك خالد للعيون 
شارع ١٥ م شمالي و مقابلها ارض فضاء

المساحة/  569 م

 مكونة من طابقين ونصف:
الطابق الأرضي: يحتوي على 5 غرف نوم، 4 دورات مياه، مجلس رجال، موقف سيارات مظلل يتسع لـ 4–5 سيارات، حديقة، وغرفة سائق.
الطابق الأول: يحتوي على 4 غرف نوم، 3 دورات مياه، مطبخ، وصالة.
الطابق العلوي: يحتوي على غرفتي نوم، صالة، مطبخ، وسطح مفتوح.
.",24.690241,46.638961,https://images.aqar.fm/webp/750x0/props/052620409_1780999803656.jpg | https://images.aqar.fm/webp/750x0/props/052620404_1780999808773.jpg | https://images.aqar.fm/webp/750x0/props/052620403_1780999817077.jpg,3,صهيب العقيلي,مؤسسة رس الاسس العقارية,1,2026-06-09,2026-08-06,2026-08-21,2126,2026-08-23,True,"4,200,000",False,فيلا
