listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6512241,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-رقم-23-حي-بدر-مدينة-الرياض-منطقة-الرياض-6512241,"فيلا للبيع في شارع رقم 23, حي بدر, مدينة الرياض, منطقة الرياض",750000,249,5,,,0,حي بدر,الرياض,جنوب الرياض,"فيلا تاون هاوس ٧٥٠ الف

يوجد لدينا سداد المديونية مجانا وتوفير الدفعة المقدمة مجانا وتسهيلات بنكية لجميع البنوك",24.542445,46.736064,https://images.aqar.fm/webp/750x0/props/028314682_1766074709100.jpg | https://images.aqar.fm/webp/750x0/props/028314689_1766074709066.jpg | https://images.aqar.fm/webp/750x0/props/028314684_1766074709327.jpg | https://images.aqar.fm/webp/750x0/props/028314684_1766074709685.jpg | https://images.aqar.fm/webp/750x0/props/028314685_1766074708329.jpg | https://images.aqar.fm/webp/750x0/props/028314688_1766074708583.jpg | https://images.aqar.fm/webp/750x0/props/028314687_1766074708692.jpg | https://images.aqar.fm/webp/750x0/props/028314688_1766074708819.jpg | https://images.aqar.fm/webp/750x0/props/028314682_1766074708921.jpg | https://images.aqar.fm/webp/750x0/props/028314680_1766074708961.jpg | https://images.aqar.fm/webp/750x0/props/028314682_1766074709418.jpg | https://images.aqar.fm/webp/750x0/props/028314682_1766074709445.jpg | https://images.aqar.fm/webp/750x0/props/028314681_1766074709578.jpg | https://images.aqar.fm/webp/750x0/props/028314685_1766074709591.jpg,14,تماني بنت عقيل بن فارس العنزي,مكتب مساكن المهلهل,1,2025-12-18,2025-12-18,2026-08-18,1010,2026-08-23,True,"750,000",False,فيلا
6689881,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-وادي-فتح-حي-بدر-مدينة-الرياض-منطقة-الرياض-6689881,"فيلا للبيع في شارع وادي فتح, حي بدر, مدينة الرياض, منطقة الرياض",950000,220,5,1,0,0,حي بدر,الرياض,جنوب الرياض,"السلام عليكم ورحمة الله وبركاته 
نعلن عن فيلا دوبلكس  [ 5 ] ابوسالم 
السعر قابل للتفاوض 
تتكون من مدخل سياره مجلس رجالي بلمغاسل ومقلط وصاله كبيره ومطبخ
الدور الأول صاله و٣ غرف نوم 
الدور الثاني غرفة نوم  بمغاسل وسطح 
كم يوجد لدينا جميع العروض 
نتعامل معا جميع البنوك والشركات العقارية ولدينا تسهيلات بنكيه ونوفر لك الدفعه الاولي مجانا",24.560508,46.720144,https://images.aqar.fm/webp/750x0/props/045841402_1778384883230.jpg | https://images.aqar.fm/webp/750x0/props/045841401_1778384883003.jpg | https://images.aqar.fm/webp/750x0/props/045841407_1778384883160.jpg | https://images.aqar.fm/webp/750x0/props/045841407_1778384883316.jpg | https://images.aqar.fm/webp/750x0/props/045841400_1778384883398.jpg | https://images.aqar.fm/webp/750x0/props/045841402_1778384883463.jpg | https://images.aqar.fm/webp/750x0/props/045841404_1778384883520.jpg | https://images.aqar.fm/webp/750x0/props/045841401_1778384883615.jpg | https://images.aqar.fm/webp/750x0/props/045841402_1778384883685.jpg | https://images.aqar.fm/webp/750x0/props/045841408_1778384883781.jpg | https://images.aqar.fm/webp/750x0/props/045841408_1778384883862.jpg | https://images.aqar.fm/webp/750x0/props/045841409_1778384883939.jpg | https://images.aqar.fm/webp/750x0/props/045841406_1778384884016.jpg | https://images.aqar.fm/webp/750x0/props/045841407_1778384884111.jpg | https://images.aqar.fm/webp/750x0/props/045841408_1778384884190.jpg,15,علي فايز مصلح الزبيدي,مؤسسة علي فايز مصلح الزبيدي لخدمات الأعمال,1,2026-05-10,2026-08-05,2026-08-23,939,2026-08-23,True,"950,000",False,فيلا
6356053,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-ابي-عبدالله-النحوي-حي-بدر-مدينة-الرياض-منطقة-الرياض-6356053,"فيلا للبيع في شارع ابي عبدالله النحوي, حي بدر, مدينة الرياض, منطقة الرياض",1370000,343,6,5,2,0,حي بدر,الرياض,جنوب الرياض,"‏- أسعد الله أوقاتكم بكل خير 

للبيع : فيلا درج صاله وشقه حي بدر
المساحه : 345 متر
السعر : مليون 370الف

- نوفر لكم الدفعة الأولى المقدمة للبنك مجاناً بدون فوائد .
- نوفر لكم سداد جميع المديونيات والالتزامات .
- لدينا جميع الحلول التمويلية الميسرة .

- للتواصل // ((رقم المعلن يظهر عند التواصل))",24.515421,46.725389,https://images.aqar.fm/webp/750x0/props/027870743_1765986319604.jpg | https://images.aqar.fm/webp/750x0/props/027870746_1756405287798.jpg | https://images.aqar.fm/webp/750x0/props/027870747_1756405287213.jpg,3,مشاعل دعيرم بن جربوع العتيبي,مؤسسة مكتب بداية جديدة للخدمات العقارية,1,2025-08-28,2025-08-28,2026-06-28,2781,2026-08-23,True,"1,370,000",False,فيلا
6665391,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-الريحانية-حي-بدر-مدينة-الرياض-منطقة-الرياض-6665391,"فيلا للبيع في شارع الريحانية, حي بدر, مدينة الرياض, منطقة الرياض",980000,235,5,4,1,0,حي بدر,الرياض,جنوب الرياض,"فيلا زاوية للبيع بحي بدر – واجهة حجر وتصميم درج داخلي
فرصة مميزة لامتلاك فيلا بتصميم عملي وموقع زاوية يمنحك خصوصية ومساحة أفضل

المساحة: 235 م²
الواجهة: حجر أنيق
مدخل سيارة + ملحق خارجي

تفاصيل الدور الأرضي:

* مجلس رجال
* صالة عائلية
* مطبخ
* 2 دورة مياه

تفاصيل الدور العلوي:

* 2 غرفة نوم
* غرفة ماستر
* 2 دورة مياه

السطح:

* غرفة
* دورة مياه
* سطح واسع

مناسبة للعائلات الباحثة عن الراحة وتوزيع عملي للمساحات

السعر: 980,000 ريال",24.555065,46.722387,https://images.aqar.fm/webp/750x0/props/051063802_1776850128765.jpg | https://images.aqar.fm/webp/750x0/props/051063809_1776850128771.jpg | https://images.aqar.fm/webp/750x0/props/051063809_1776853466079.jpg | https://images.aqar.fm/webp/750x0/props/051063802_1776853466078.jpg | https://images.aqar.fm/webp/750x0/props/051063805_1776853466082.jpg | https://images.aqar.fm/webp/750x0/props/051063800_1776853466088.jpg | https://images.aqar.fm/webp/750x0/props/051063800_1776853466089.jpg | https://images.aqar.fm/webp/750x0/props/051063806_1776853466085.jpg | https://images.aqar.fm/webp/750x0/props/051063803_1776853476357.jpg | https://images.aqar.fm/webp/750x0/props/051063808_1776853476345.jpg | https://images.aqar.fm/webp/750x0/props/051063801_1776853476354.jpg | https://images.aqar.fm/webp/750x0/props/051063801_1776853476347.jpg | https://images.aqar.fm/webp/750x0/props/051063802_1776853476345.jpg,13,مسعود بن مسفر بن شعف العتيبي,شركة ويانا,1,2026-04-22,2026-08-16,2026-08-23,377,2026-08-23,True,"980,000",False,فيلا
6681304,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-مالك-بن-الحارث-حي-بدر-مدينة-الرياض-منطقة-الرياض-6681304,"فيلا للبيع في شارع مالك بن الحارث, حي بدر, مدينة الرياض, منطقة الرياض",1350000,300,4,0,0,5,حي بدر,الرياض,جنوب الرياض,"�دوبلكس للبيع – تصميم عملي وموقع مميز

فرصة مميزة لامتلاك دوبلكس بمساحة 300 م²، بتصميم مرتب يلبي احتياج العائلة ويوفر راحة في توزيع المساحات.

🔹 الدور الأرضي:
	•	مجلس رجال مستقل
	•	صالة واسعة
	•	مقلط
	•	مطبخ عملي
	•	دورتين مياه
🔹 الدور الأول:
	•	صالة عائلية
	•	غرفة نوم ماستر بدورة مياه خاصة
	•	غرفتين نوم بدورة مياه مشتركة
🔹 الدور الثاني:
	•	غرفة خادمة
	•	دورة مياه
	•	غرفة غسيل
السعر: 1,350,000 ريال (كاش)

✨ مميزات العقار:
	•	توزيع مريح ومناسب للعائلات
	•	استثمار جاهز بعائد إيجاري
	•	إمكانية الاستفادة للسكن أو الاستثمار

للتفاصيل أو المعاينة، تواصل معنا
 ",24.533167,46.730587,https://images.aqar.fm/webp/750x0/props/024315552_1777895158872.jpg | https://images.aqar.fm/webp/750x0/props/024315557_1777895158866.jpg | https://images.aqar.fm/webp/750x0/props/024315555_1777895158884.jpg | https://images.aqar.fm/webp/750x0/props/024315552_1777895158881.jpg | https://images.aqar.fm/webp/750x0/props/024315558_1777895158881.jpg | https://images.aqar.fm/webp/750x0/props/024315554_1777895158883.jpg | https://images.aqar.fm/webp/750x0/props/024315552_1777895158890.jpg | https://images.aqar.fm/webp/750x0/props/024315559_1777895158899.jpg,8,مي ظافر,,,2026-05-04,2026-07-30,2026-07-30,657,2026-08-23,True,"1,350,000",False,فيلا
6510444,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-ال-ريس-حي-بدر-مدينة-الرياض-منطقة-الرياض-6510444,"فيلا للبيع في شارع ال ريس , حي بدر, مدينة الرياض, منطقة الرياض",1200000,250,5,1,1,0,حي بدر,الرياض,جنوب الرياض,"السلام عليكم ورحمة الله 
دور دور وشقه 
مدخل سياره 
مشب
مجلس رجال مع دور مياة 
ومقلط 
وصاله 
مطبخ 
ثلاث غرف نوم مع دور مياة 
👌👌👌👌👌
الدور الاول علوي 
مجلس رجال مع دور مياة 
مجلس نساء مع دور مياة 
مطبخ 
وصاله 
ثلاث غرف نوم مع دور مياة 
👌👌👌👌👌
الدور الثاني 
شقه 
مطبخ 
ثلاث غرف نوم مع دور مياة 
وسطح
للتواصل واتس اب 
((رقم المعلن يظهر عند التواصل))",24.514393,46.733208,https://images.aqar.fm/webp/750x0/props/020143646_1765976612364.jpg | https://images.aqar.fm/webp/750x0/props/020143642_1765976612255.jpg,2,عبدالعزيز سعد الحميدي السبيعي,مؤسسة مكتب عبدالعزيز سعد الحميدي السبيعي للعقارات,1,2025-12-17,2025-12-17,2026-08-21,859,2026-08-23,True,"1,200,000",False,فيلا
6811151,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-إبراهيم-بن-حويطب-حي-بدر-مدينة-الرياض-منطقة-الرياض-6811151,"فيلا للبيع في شارع إبراهيم بن حويطب, حي بدر, مدينة الرياض, منطقة الرياض",750000,179,7,5,2,0,حي بدر,الرياض,جنوب الرياض,"دور علوي مع شقة للبيع، في حي بدر القديم قريب من كل الخدمات 

يتكون من:

* 3 غرف نوم
* مجلس
* مقلط
* 3 دورات مياه
* مدخل سيارة

الملحق:

* غرفتين
* صالة
* دورتين مياه

مناسب للسكن العائلي، والملحق يعطيك مساحة إضافية ممتازة للاستخدام أو للضيوف.

📍 حي بدر – الرياض موقع متكامل بكافة الخدمات
📞 للتواصل والاستفسار: ((الرقم يظهر عند الضغط على اتصال))",24.553633,46.71624,https://images.aqar.fm/webp/750x0/props/004245332_1786199910383.jpg | https://images.aqar.fm/webp/750x0/props/004245338_1786199910396.jpg | https://images.aqar.fm/webp/750x0/props/004245334_1786199910403.jpg | https://images.aqar.fm/webp/750x0/props/004245334_1786199910506.jpg | https://images.aqar.fm/webp/750x0/props/004245333_1786199910555.jpg | https://images.aqar.fm/webp/750x0/props/004245334_1786199910386.jpg | https://images.aqar.fm/webp/750x0/props/004245339_1786199937808.jpg,7,خالد صالح رافع المطيري,مؤسسة حواجز للعقار,1,2026-08-08,2026-08-08,2026-08-23,312,2026-08-23,True,"750,000",False,فيلا
6499025,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-أبي-لبيد-البجلي-حي-بدر-مدينة-الرياض-منطقة-الرياض-6499025,"فيلا للبيع في شارع أبي لبيد البجلي, حي بدر, مدينة الرياض, منطقة الرياض",675000,325,5,3,2,0,حي بدر,الرياض,جنوب الرياض,"للبيع  حي بدر  325م 
شغل ممتاز
دور دور شقه كل شي صاك لحاله 
سعر الأرضي 660
سعر العلوي 550
سعر الشقه 490

ولدينا سداد المديونيات وحلول الدفعه تمويليه ميسره ونتعامل معا جميع الشركات الخاصه البنوك",24.557073,46.710292,https://images.aqar.fm/webp/750x0/props/040820581_1778871378427.jpg | https://images.aqar.fm/webp/750x0/props/040820589_1778871376655.jpg | https://images.aqar.fm/webp/750x0/props/040820589_1778871377110.jpg | https://images.aqar.fm/webp/750x0/props/040820584_1778871377474.jpg | https://images.aqar.fm/webp/750x0/props/040820589_1778871377948.jpg | https://images.aqar.fm/webp/750x0/props/040820587_1778871378856.jpg | https://images.aqar.fm/webp/750x0/props/040820586_1778871379258.jpg | https://images.aqar.fm/webp/750x0/props/040820584_1778871379618.jpg | https://images.aqar.fm/webp/750x0/props/040820584_1778871380034.jpg | https://images.aqar.fm/webp/750x0/props/040820587_1778871380418.jpg | https://images.aqar.fm/webp/750x0/props/040820589_1778871380918.jpg | https://images.aqar.fm/webp/750x0/props/040820585_1778871381296.jpg | https://images.aqar.fm/webp/750x0/props/040820581_1778871381713.jpg | https://images.aqar.fm/webp/750x0/props/040820588_1778871382177.jpg,14,فايز مصلح,مؤسسة فايز مصلح المطيري,1,2025-12-08,2025-12-08,2026-08-20,3653,2026-08-23,True,"675,000",False,فيلا
6471381,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-الامام-مسلم-حي-بدر-مدينة-الرياض-منطقة-الرياض-6471381,"فيلا للبيع في شارع الامام مسلم, حي بدر, مدينة الرياض, منطقة الرياض",595000,147,5,1,2,0,حي بدر,الرياض,جنوب الرياض,"السلام عليكم 
يوجد لدينا فلل نظام تاون هاوس  
 بحي بدر
 السعر 595.000 الف
عالكود السعودي الجديد 
متوفر عليها جميع الضمانات 

✅️لدينا عروض مختلفه تناسب جميع العملاء 
✅️نوفر لك العقار المناسب لتمويلك بجنوب وغرب الرياض 
✅️نوفر الحلول التمويليه المناسبه لجميع العملاء 

نسعد بتواصلكم وتلقي استفساراتكم
((رقم المعلن يظهر عند التواصل))",24.514316,46.738121,https://images.aqar.fm/webp/750x0/props/002969484_1763411048109.jpg | https://images.aqar.fm/webp/750x0/props/002969480_1763411596805.jpg | https://images.aqar.fm/webp/750x0/props/002969487_1763411597344.jpg | https://images.aqar.fm/webp/750x0/props/002969480_1763411597688.jpg | https://images.aqar.fm/webp/750x0/props/002969483_1763411597987.jpg | https://images.aqar.fm/webp/750x0/props/002969485_1763411598183.jpg | https://images.aqar.fm/webp/750x0/props/002969485_1763411598428.jpg | https://images.aqar.fm/webp/750x0/props/002969480_1763411598606.jpg | https://images.aqar.fm/webp/750x0/props/002969480_1763411598773.jpg | https://images.aqar.fm/webp/750x0/props/002969486_1763411598997.jpg | https://images.aqar.fm/webp/750x0/props/002969486_1763411599258.jpg | https://images.aqar.fm/webp/750x0/props/002969481_1763411599467.jpg | https://images.aqar.fm/webp/750x0/props/002969486_1763411599585.jpg | https://images.aqar.fm/webp/750x0/props/002969487_1763411599672.jpg | https://images.aqar.fm/webp/750x0/props/002969480_1763411599802.jpg | https://images.aqar.fm/webp/750x0/props/002969481_1763411599893.jpg | https://images.aqar.fm/webp/750x0/props/002969488_1763411600043.jpg | https://images.aqar.fm/webp/750x0/props/002969488_1763411600064.jpg | https://images.aqar.fm/webp/750x0/props/002969488_1763411600150.jpg | https://images.aqar.fm/webp/750x0/props/002969480_1763411600249.jpg | https://images.aqar.fm/webp/750x0/props/002969482_1763411600428.jpg | https://images.aqar.fm/webp/750x0/props/002969488_1763411600586.jpg | https://images.aqar.fm/webp/750x0/props/002969488_1763411600667.jpg | https://images.aqar.fm/webp/750x0/props/002969482_1763411600752.jpg | https://images.aqar.fm/webp/750x0/props/002969489_1763411600881.jpg | https://images.aqar.fm/webp/750x0/props/002969488_1763411600980.jpg,26,عبدالعزيز عمر,شركة سكاي لاين فيو العقارية,1,2025-11-17,2025-11-17,2026-08-10,338,2026-08-23,True,"595,000",False,فيلا
6774698,https://sa.aqar.fm/فلل-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-عمر-بن-عبدالكريم-المكي-حي-بدر-مدينة-الرياض-منطقة-الرياض-6774698,"فيلا للبيع في شارع عمر بن عبدالكريم المكي, حي بدر, مدينة الرياض, منطقة الرياض",1600000,420,7,,,6,حي بدر,الرياض,جنوب الرياض,$5e,24.502354,46.723662,https://images.aqar.fm/webp/750x0/props/048745603_1784105231127.jpg | https://images.aqar.fm/webp/750x0/props/048745604_1784105231177.jpg | https://images.aqar.fm/webp/750x0/props/048745606_1784105231214.jpg | https://images.aqar.fm/webp/750x0/props/048745605_1784105231139.jpg | https://images.aqar.fm/webp/750x0/props/048745602_1784105231161.jpg | https://images.aqar.fm/webp/750x0/props/048745600_1784105231141.jpg | https://images.aqar.fm/webp/750x0/props/048745608_1784105231202.jpg | https://images.aqar.fm/webp/750x0/props/048745600_1784105231140.jpg | https://images.aqar.fm/webp/750x0/props/048745600_1784105231162.jpg | https://images.aqar.fm/webp/750x0/props/048745606_1784105231241.jpg | https://images.aqar.fm/webp/750x0/props/048745609_1784105231161.jpg | https://images.aqar.fm/webp/750x0/props/048745600_1784105231176.jpg | https://images.aqar.fm/webp/750x0/props/048745604_1784105231223.jpg | https://images.aqar.fm/webp/750x0/props/048745607_1784105231226.jpg | https://images.aqar.fm/webp/750x0/props/048745604_1784105231223.jpg | https://images.aqar.fm/webp/750x0/props/048745603_1784105231223.jpg | https://images.aqar.fm/webp/750x0/props/048745603_1784105231223.jpg | https://images.aqar.fm/webp/750x0/props/048745605_1784105231309.jpg | https://images.aqar.fm/webp/750x0/props/048745609_1784105231249.jpg | https://images.aqar.fm/webp/750x0/props/048745602_1784105231250.jpg | https://images.aqar.fm/webp/750x0/props/048745606_1784105231252.jpg | https://images.aqar.fm/webp/750x0/props/048745607_1784105231298.jpg | https://images.aqar.fm/webp/750x0/props/048745605_1784105231249.jpg | https://images.aqar.fm/webp/750x0/props/048745603_1784105231250.jpg,24,فارس حمود,شركة أضواء الروابي المحدودة,1,2026-07-15,2026-08-13,2026-08-20,51,2026-08-23,True,"1,600,000",False,فيلا
