listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6823420,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-بنبان/حي-الخير-مدينة-الرياض-منطقة-الرياض-6823420,"فيلا للبيع في حي الخير, مدينة الرياض, منطقة الرياض",2750000,500,,7,4,0,حي بنبان,الرياض,شمال الرياض,"... فرصة ذهبية للاستثمار والسكن ...
للبيع فلة مميزه جديده مخطط الخير شمال الرياض قبل الشعيب
دور ارضي مع ثلاث شقق علوية مخطط رقم 3312/ب قطعه رقم
1/3239 مساحه 500 م شارع 20 شرقي طبيعه يتميز موقع الفلة وسط
المخطط وكثرة السكان والمباني حولها بالقرب من طريق الملك خالد
طريق صلبوخ تقبل من البنوك شهادة اتمام بناء موجودة شهادة اطلاق
التيار الكهربائي موجودة جميع الضمانات على مواد السبكة والمواد الكهربائية
والمواد الصحية والعزل للفلة والاسطح ودورات المياه والمطابخ والدهانات 
والبروفايل وارخام ترفنترو ايطالي واللامنيوم الراجحي درجه اولى شغل شخصي
... مواصفات الدور الارضي ...
مجلس خارجي غرفة سائق مدخل خاص
مجلس رجال مع مدخل استقبال مع دورة مياه مقلط طعام صالة عائلية 
مطبخ مع مستودع مجلس نساء مع دورة مياه غرفة عاملة غرفة نوم ماستر
غرفتين نوم مع دورة مياه مشتركة 
... مواصفات الشقق ...
عدد ثلاث شقق مدخل مستقل 
كل شقه مجلس رجال مع دورة مياه مطبخ صالة عائلية غرفة نوم ماستر 
غرفة نوم حمام خارجي
البيع على السوم التواصل على الارقام التالية 
ابو مازن 2 2 5 8 0 0 6 0 5 0
ابو بدر 0 0 6 4 0 6 9 0 5 0",25.043535,46.426257,https://images.aqar.fm/webp/750x0/props/023624667_1786796160586.jpg | https://images.aqar.fm/webp/750x0/props/023624662_1786796204103.jpg | https://images.aqar.fm/webp/750x0/props/023624668_1786796256628.jpg | https://images.aqar.fm/webp/750x0/props/023624664_1786796276523.jpg | https://images.aqar.fm/webp/750x0/props/023624660_1786796375818.jpg | https://images.aqar.fm/webp/750x0/props/023624669_1786796399735.jpg | https://images.aqar.fm/webp/750x0/props/023624663_1786796451729.jpg | https://images.aqar.fm/webp/750x0/props/023624664_1786796465278.jpg,8,بدر راشد نافع المطيري ,,,2026-08-15,2026-08-15,2026-08-18,122,2026-08-23,True,"2,750,000",False,فيلا
6684988,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-بنبان/شارع-عقرباء-168-حي-عقرباء-مدينة-الجبيلة-منطقة-الرياض-6684988,"فيلا للبيع في شارع عقرباء 168, حي عقرباء, مدينة الجبيلة, منطقة الرياض",2750000,500,5,0,0,2,حي بنبان,الرياض,شمال الرياض,"🏷️فيلا للبيع – الجبيله

-المساحة: 500 م²
-شارع 20 م – شرقي

مواصفات الفيلا:
• درج صالة
• مجلس خارجي
• صالة كبيرة
• مطبخ
• دورتين مياه
• غرفة خادمة 
• حديقة خاصة تابعة للفيلا

الدور الأول:
• 4 غرف نوم
• 2 أجنحة ماستر
• 2 غرف نوم

فيلا مناسبة للسكن العائلي بموقع هادئ ومميز.

السعر 3,000,000


https://maps.app.goo.gl/KnEHLGNd9JpVT3jx5?g_st=iw",24.920183,46.434666,https://images.aqar.fm/webp/750x0/props/050606607_1778072875464.jpg | https://images.aqar.fm/webp/750x0/props/050606609_1778072980787.jpg | https://images.aqar.fm/webp/750x0/props/050606609_1778072980799.jpg | https://images.aqar.fm/webp/750x0/props/050606608_1778072980834.jpg | https://images.aqar.fm/webp/750x0/props/050606602_1778072980839.jpg | https://images.aqar.fm/webp/750x0/props/050606609_1778072981277.jpg | https://images.aqar.fm/webp/750x0/props/050606607_1778072980789.jpg | https://images.aqar.fm/webp/750x0/props/050606601_1778072980786.jpg | https://images.aqar.fm/webp/750x0/props/050606602_1778072980805.jpg,9,فيصل السلمان,مؤسسة فيصل عبدالملك سلمان السلمان للعقارات,1,2026-05-06,2026-08-01,2026-08-22,1114,2026-08-23,True,"2,750,000",False,فيلا
6783313,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-بنبان/شارع-عقرباء-14-حي-عقرباء-العيينة-الدرعية-6783313,فيلا للبيع في شارع عقرباء 14 ، حي عقرباء ، العيينة ، الدرعية,2300000,500,2,2,1,1,حي بنبان,الرياض,شمال الرياض,"فيلا دور أرضي في حي عقرباء الجبيلة بناء شخصي مساحة الأرض 500م شارع 15 أطوال الفيلا 20في25 
تتكون من مجلس رئيسي واسع مع دورة مياه للضيوف
ومطبخ متكامل راكب مع الأجهزة 
وصالة واسعه +غرفتين بينهم دوره مياه 
وحوش واسع مع حديقه 
وغرفه سائق خارجيه",24.920688,46.456733,https://images.aqar.fm/webp/750x0/props/001146263_1784599434770.jpg | https://images.aqar.fm/webp/750x0/props/001146269_1784599434786.jpg | https://images.aqar.fm/webp/750x0/props/001146262_1784599434785.jpg | https://images.aqar.fm/webp/750x0/props/001146267_1784599434779.jpg | https://images.aqar.fm/webp/750x0/props/001146267_1784599434787.jpg | https://images.aqar.fm/webp/750x0/props/001146267_1784599434785.jpg | https://images.aqar.fm/webp/750x0/props/001146263_1784599434796.jpg,7,نجلاء الطويل,,,2026-07-21,,2026-07-21,78,2026-08-23,False,طلب تسويق,False,فيلا
6606894,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-بنبان/شارع-عقرباء-228-حي-عقرباء-مدينة-الجبيلة-منطقة-الرياض-6606894,"فيلا للبيع في شارع عقرباء 228, حي عقرباء, مدينة الجبيلة, منطقة الرياض",3000000,512,,,,0,حي بنبان,الرياض,شمال الرياض,"فله للبيع في الجبيله مساحة 512.5 م
3000000 مليون ريال قابله للتفاوض",24.916312,46.425374,https://images.aqar.fm/webp/750x0/props/010365186_1772135451169.jpg,1,بشير عوضه بن صالح الزهراني,مؤسسة منصة إعمار للعقارات,1,2026-02-26,2026-08-20,2026-08-20,570,2026-08-23,True,"3,000,000",False,فيلا
6773956,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-بنبان/شارع-000-حي-عقرباء-مدينة-الجبيلة-منطقة-الرياض-6773956,"فيلا للبيع في شارع 000, حي عقرباء, مدينة الجبيلة, منطقة الرياض",2800000,500,4,5,1,0,حي بنبان,الرياض,شمال الرياض,"‏🔹عرض مميز  ..

‏♦️للبيع فلة تشطيب مميزة ، المساحة 500م ، شارع 20 شرقي ، مخطط  273   ، عقرباء - الجبيلة .

‏الفله جديدة ، حديقة جانبيه ، بناء شخصي وتحت أشراف هندسي جميع الضمانات متوفرة ، رخصة بناء ، أتمام بناء  . 

‏🔹سعر البيع 
‏2 مليون و 800 الف ريال صافي 

‏🥇الترخيص
7201042192

------

‏الدور الأرضي 
‏فله درج داخلي ، مجلس رجال ، مقلط ، صاله كبيرة مطله على الحديقة ، مطبخ ، غرفة خادمه مع حمامها ، 2 دورة مياة ، مشب خارجي ، حديقة جانبية مساحة 250 م مع جلسات خارجية مشجرة ، مدخل سيارتين .

‏الدور الثاني 
‏2 غرف نوم ماستر ، غرفتين بحمام مشترك ، 
ركن تحضير قهوة .",24.920183,46.434666,https://images.aqar.fm/webp/750x0/props/020996119_1784050041902.jpg | https://images.aqar.fm/webp/750x0/props/020996110_1784050824150.jpg | https://images.aqar.fm/webp/750x0/props/020996115_1784050824212.jpg | https://images.aqar.fm/webp/750x0/props/020996112_1784050824308.jpg | https://images.aqar.fm/webp/750x0/props/020996115_1784050824309.jpg | https://images.aqar.fm/webp/750x0/props/020996115_1784050824131.jpg,6,فهد المطيري,مكتب منصة الجبيلة للخدمات العقارية,1,2026-07-14,2026-08-13,2026-08-22,496,2026-08-23,True,"2,800,000",False,فيلا
6570635,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-بنبان/شارع-شجاع-بن-مفرج-حي-الخير-مدينة-الرياض-منطقة-الرياض-6570635,"فيلا للبيع في شارع شجاع بن مفرج, حي الخير, مدينة الرياض, منطقة الرياض",3900000,1550,5,5,2,5,حي بنبان,الرياض,شمال الرياض,"3 فيللا في صك واحد  للبيع في حي الخير تجمع بين الهدوى و الفخامه و الراحه
تتكون من 3 فيللا منفصلين كل فيها فيها  غرف و مطبخ و حمامات و مطبخ",25.141314,46.416958,https://images.aqar.fm/webp/750x0/props/029410225_1769938251016.jpg | https://images.aqar.fm/webp/750x0/props/029410229_1769938251019.jpg | https://images.aqar.fm/webp/750x0/props/029410220_1769938251012.jpg | https://images.aqar.fm/webp/750x0/props/029410223_1769938251018.jpg | https://images.aqar.fm/webp/750x0/props/029410223_1769938251019.jpg | https://images.aqar.fm/webp/750x0/props/029410220_1769938251049.jpg | https://images.aqar.fm/webp/750x0/props/029410228_1769938251026.jpg | https://images.aqar.fm/webp/750x0/props/029410222_1769938251042.jpg,8,صالحه بركه,مؤسسة اليعسوب للتطوير والاستثمار العقاري,1,2026-02-01,2026-07-25,2026-08-22,1671,2026-08-23,True,"3,900,000",False,فيلا
6587813,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-بنبان/شارع-عقرباء-226-حي-عقرباء-مدينة-الجبيلة-منطقة-الرياض-6587813,"فيلا للبيع في شارع عقرباء 226, حي عقرباء, مدينة الجبيلة, منطقة الرياض",2400000,499,5,5,2,5,حي بنبان,الرياض,شمال الرياض,"فرصة 
فرصة 
لا تعوض 
للبيع فيلا سكنية
حي الجبيلة 
زاوية  جنوبي شرقي 
المساحة ٥٠٠م
دور++ و٣شقق
التفاصيل ///
الدور الأرضي ملحق مجلس رجال+ مقلط+
3 ثلاث غرف نوم وحده منها ماستر  +صاله حريم+4 اربع حمامات+ حوش غرفه سواق وغرفه خادمه
الثانى/// شقتين
ا  شقه رقم واحد///
 فيها ٣ غرف نوم وصاله وحمامين ومطبخ ومجلس رجال 
شقه رقم اثنين///
 غرفتين نوم وصاله ومطبخ ومجلس رجال وحوش فوق الملحق الأرضي
العلوى ///
شقة سطح 
٣غرف نوم +غرفة مستر ٤حمامات  صالة كبيرة مطلة ع السطح 
اعدادات كهرباء كل شقة عداد مستقل والفيلا 
العمر ٥سنوات
البيع 
2مليون 400لسرعة البيع",24.91653,46.426026,https://images.aqar.fm/webp/750x0/props/013668650_1771095343699.jpg | https://images.aqar.fm/webp/750x0/props/013668651_1771095344032.jpg | https://images.aqar.fm/webp/750x0/props/013668656_1771095343878.jpg | https://images.aqar.fm/webp/750x0/props/013668659_1771095343946.jpg | https://images.aqar.fm/webp/750x0/props/013668659_1771095344213.jpg | https://images.aqar.fm/webp/750x0/props/013668654_1771095344280.jpg | https://images.aqar.fm/webp/750x0/props/013668651_1771095344401.jpg,7,بشرى عبدالكريم,مؤسسة بيت الحكمة للخدمات العقارية,1,2026-02-12,2026-06-14,2026-08-23,1828,2026-08-23,True,"2,400,000",False,فيلا
6748299,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-بنبان/شارع-عقرباء-214-حي-عقرباء-مدينة-الجبيلة-منطقة-الرياض-6748299,"فيلا للبيع في شارع عقرباء 214, حي عقرباء, مدينة الجبيلة, منطقة الرياض",1800000,250,6,5,3,0,حي بنبان,الرياض,شمال الرياض,"‏🔹عرض مميز  ..

‏♦️للبيع فلة دبلكس  تشطيب مميز المساحة 250 م ، شارع  15 غربي وممر 6 متر جنوبي ، مخطط 273 ، الجبيلة ، مدينة الرياض .

‏الفلة تحت تشطيب شخصي مميز ، جودة بالمواد ، 
صك اكتروني ، لفت راكب  ، اتمام البناء .

‏🔹سعر البيع صافي
‏مليون و 800 ألف

‏🔹تفاصيل العقار

‏الدور الارضي :
مشب خارجي ، ‏مجلس رجال مع دورة مياة ، مقلط ، صاله واسعة ، دورة مياة  ، مطبخ واسع + غرفة غسيل + غرفة خادمة بدورة مياة ، مدخلين رجال ونساء ،  غرفه سايق خارجيه ، حوش ، مدخل سيارة ، مستودع تحت الدرج باب مخفي .

‏الدور الاول : 
‏4 غرف منها غرفتين ماستر  ، والغرفة الرئيسية مع اطلالة ، 
دورة مياه ، صالة .

‏الدور الثاني : 
‏صاله مع اطلالة سطح ، 2 غرفه نوم بينهم دورة مياة .

‏🥇الترخيص
‏7201019118",24.917557,46.428519,https://images.aqar.fm/webp/750x0/props/020996119_1782421783445.jpg | https://images.aqar.fm/webp/750x0/props/020996112_1782422030598.jpg | https://images.aqar.fm/webp/750x0/props/020996112_1782422030601.jpg | https://images.aqar.fm/webp/750x0/props/020996115_1782422030614.jpg | https://images.aqar.fm/webp/750x0/props/020996112_1782422030628.jpg | https://images.aqar.fm/webp/750x0/props/020996115_1782422030799.jpg | https://images.aqar.fm/webp/750x0/props/020996110_1782422030655.jpg | https://images.aqar.fm/webp/750x0/props/020996116_1782422030660.jpg | https://images.aqar.fm/webp/750x0/props/020996114_1782422030639.jpg | https://images.aqar.fm/webp/750x0/props/020996110_1782422064548.jpg | https://images.aqar.fm/webp/750x0/props/020996119_1782422064571.jpg | https://images.aqar.fm/webp/750x0/props/020996110_1782422064557.jpg | https://images.aqar.fm/webp/750x0/props/020996113_1782422064549.jpg | https://images.aqar.fm/webp/750x0/props/020996111_1782422064570.jpg | https://images.aqar.fm/webp/750x0/props/020996119_1782422064576.jpg | https://images.aqar.fm/webp/750x0/props/020996118_1782422064573.jpg | https://images.aqar.fm/webp/750x0/props/020996119_1782422064589.jpg | https://images.aqar.fm/webp/750x0/props/020996116_1782422095385.jpg | https://images.aqar.fm/webp/750x0/props/020996114_1782422095442.jpg | https://images.aqar.fm/webp/750x0/props/020996110_1782422095492.jpg | https://images.aqar.fm/webp/750x0/props/020996114_1782422095519.jpg | https://images.aqar.fm/webp/750x0/props/020996112_1782422095555.jpg | https://images.aqar.fm/webp/750x0/props/020996116_1782422095549.jpg | https://images.aqar.fm/webp/750x0/props/020996110_1782422095600.jpg | https://images.aqar.fm/webp/750x0/props/020996117_1782422095618.jpg | https://images.aqar.fm/webp/750x0/props/020996116_1782422124651.jpg | https://images.aqar.fm/webp/750x0/props/020996119_1782422124653.jpg | https://images.aqar.fm/webp/750x0/props/020996111_1782422124658.jpg | https://images.aqar.fm/webp/750x0/props/020996117_1782422124660.jpg | https://images.aqar.fm/webp/750x0/props/020996110_1782422124658.jpg,30,فهد المطيري,مكتب منصة الجبيلة للخدمات العقارية,1,2026-06-25,2026-07-25,2026-08-22,1344,2026-08-23,True,"1,800,000",False,فيلا
6450704,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-بنبان/شارع-شجاع-بن-مفرج-حي-الخير-مدينة-الرياض-منطقة-الرياض-6450704,"فيلا للبيع في شارع شجاع بن مفرج, حي الخير, مدينة الرياض, منطقة الرياض",3500000,1550,,,,0,حي بنبان,الرياض,شمال الرياض,"🏡 للبيع 3 شاليهات – حي الخير (الرياض)
ثلاث فلل صك واحد 
📏 المساحة الإجمالية: 1,550 م²
📍 رقم القطعة: 934
📄 رقم المخطط: 3312/ب
الواجهة: جنوبية
الشارع: 20 متر


💰 الحد: 3,500,000 ريال

📞 للتواصل: ((رقم المعلن يظهر عند التواصل))",25.04481,46.445266,https://images.aqar.fm/webp/750x0/props/027825713_1762101139744.jpg | https://images.aqar.fm/webp/750x0/props/027825711_1762101139731.jpg | https://images.aqar.fm/webp/750x0/props/027825715_1762101139880.jpg | https://images.aqar.fm/webp/750x0/props/027825712_1762101139764.jpg | https://images.aqar.fm/webp/750x0/props/027825713_1762101139734.jpg | https://images.aqar.fm/webp/750x0/props/027825710_1762101139744.jpg | https://images.aqar.fm/webp/750x0/props/027825716_1762101139735.jpg | https://images.aqar.fm/webp/750x0/props/027825711_1762101139762.jpg | https://images.aqar.fm/webp/750x0/props/027825715_1762101140012.jpg | https://images.aqar.fm/webp/750x0/props/027825718_1762101139735.jpg | https://images.aqar.fm/webp/750x0/props/027825711_1762101139731.jpg | https://images.aqar.fm/webp/750x0/props/027825717_1762101140115.jpg | https://images.aqar.fm/webp/750x0/props/027825715_1762101140201.jpg | https://images.aqar.fm/webp/750x0/props/027825710_1762101140289.jpg | https://images.aqar.fm/webp/750x0/props/027825716_1762101140254.jpg | https://images.aqar.fm/webp/750x0/props/027825712_1762101140361.jpg | https://images.aqar.fm/webp/750x0/props/027825716_1762101140347.jpg | https://images.aqar.fm/webp/750x0/props/027825719_1762101140389.jpg | https://images.aqar.fm/webp/750x0/props/027825711_1762101140329.jpg,19,عبدالكريم ابراهيم بن رسلان العنزي,شركة ابداع العالمية للتطوير والاستثمار العقاري ,1,2025-11-02,2026-07-28,2026-08-19,1431,2026-08-23,True,"3,500,000",False,فيلا
6778236,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-بنبان/حي-عقرباء-مدينة-الجبيلة-منطقة-الرياض-6778236,"فيلا للبيع في حي عقرباء, مدينة الجبيلة, منطقة الرياض",2500000,500,7,0,0,0,حي بنبان,الرياض,شمال الرياض,"فله للبيع في الجبيلة 

المساحه ٥٠٠ الشارع ٢٨ ويوجد ممر٧

الفله عباره عن بناء شخصي درج صاله تتكون من ٧ غرف 
وملحق خارجي 
يوجد غرفه خادمه وغسيل 
مااسس مصعد 
الصاله دبل هاي 
يوجد كهرباء
يوجد ٩ دورات مياه 
باقي بعض من التشطيبات",24.921164,46.428792,https://images.aqar.fm/webp/750x0/props/000211829_1784298511858.jpg | https://images.aqar.fm/webp/750x0/props/000211824_1784298511861.jpg | https://images.aqar.fm/webp/750x0/props/000211823_1784298511875.jpg | https://images.aqar.fm/webp/750x0/props/000211824_1784298511880.jpg | https://images.aqar.fm/webp/750x0/props/000211822_1784298511875.jpg | https://images.aqar.fm/webp/750x0/props/000211828_1784298511883.jpg | https://images.aqar.fm/webp/750x0/props/000211829_1784298511879.jpg | https://images.aqar.fm/webp/750x0/props/000211825_1784298511890.jpg,8,رامي عبدالله صالح القميع,,,2026-07-17,2026-08-15,2026-08-15,391,2026-08-23,True,"2,500,000",False,فيلا
