listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6719253,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-جرير/شارع-الياسمين-حي-جرير-مدينة-الرياض-منطقة-الرياض-6719253,"فيلا للبيع في شارع الياسمين, حي جرير, مدينة الرياض, منطقة الرياض",2100000,416,5,,,11,حي جرير,الرياض,وسط الرياض,"كود العقار 10005
فيلا للبيع البيع كارض 
المساحة 416.25
حي الملز
واجهة الفيلا  غرب 20 م
رقم القطعة 183
رقم المخطط 368 
*******
لمزيد من التفاصيل والعروض نرجو زيارة موقعنا الالكتروني نفوذ التطوير nufouth.com (يتم تحديثه يومياً)
الرقم الموحد: 920010213",24.672629,46.748397,https://images.aqar.fm/webp/750x0/props/000259884_1748413006120.jpg | https://images.aqar.fm/webp/750x0/props/000259887_1748413006122.jpg | https://images.aqar.fm/webp/750x0/props/000259882_1748413006136.jpg,3,ياسر بن سليمان,شركة نفوذ التطوير للتجارة,1,2026-06-04,2026-08-02,2026-08-22,1167,2026-08-23,True,"2,100,000",False,فيلا
6763643,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-جرير/شارع-أم-يونس-حي-جرير-مدينة-الرياض-منطقة-الرياض-6763643,"فيلا للبيع في شارع أم يونس, حي جرير, مدينة الرياض, منطقة الرياض",2500000,297,,5,3,11,حي جرير,الرياض,وسط الرياض,"فيلا للبيع بحي الملز 
المساحة 297.13 م
العمر 13 سنة 
الواجهة جنوبية 
مؤجرة بالكامل 
_*الدور الارضي *_
مجلس ومقلط
وغرفتين نوم
صالة - مجلس - مطبخ راكب
دورات المياه ٢
والارتداد فيه مستودع +غرفة غسيل 
غرفة سائق / كراج
*~_الدور الثاني _*
مقسوم بارتشن مؤقت قابل للازاله (القسم الاول)
(صالة - مطبخ راكب
غرفتين 
دورة مياه )
القسم الثاني 
غرفتين واحدة منهم ماستر  + مطبخ تحضيري صغير 
الشقة الدور الثالث
غرفتين وصالة 
مطبخ راكب دورة مياه+ السطح
المكيفات راكبة
الكهرباء ٣ عدادات مستقلة

عليها بنك 970.000

السعر / 2,500,000



للتواصل / ((الرقم يظهر عند الضغط على اتصال))",24.670763,46.749302,https://images.aqar.fm/webp/750x0/props/011290593_1783425639937.jpg,1,محمد يسلم,شركة أصول الخبرة العقارية,1,2026-07-07,2026-08-05,2026-08-23,372,2026-08-23,True,"2,500,000",False,فيلا
6809457,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-جرير/شارع-ابن-الخطيب-حي-جرير-مدينة-الرياض-منطقة-الرياض-6809457,"فيلا للبيع في شارع ابن الخطيب, حي جرير, مدينة الرياض, منطقة الرياض",6000000,1140,,0,0,11,حي جرير,الرياض,وسط الرياض,"قصر مصغر على ثلاث شوارع مساحة 1140  الربوه شارع جرير قريب من طريق النهضة 
مجدد بالكامل يوجد مسبح وملحق وشقه علوية 
في الدور العلوي يوجد ست غرف نوم الدور السفلي مطبخ وصاله وغرفة طعام ومجلس رجال ومقلط ومجلس حريم",24.680608,46.75489,https://images.aqar.fm/webp/750x0/props/044465415_1786035067023.jpg | https://images.aqar.fm/webp/750x0/props/044465414_1786035067010.jpg | https://images.aqar.fm/webp/750x0/props/044465411_1786035066952.jpg | https://images.aqar.fm/webp/750x0/props/044465411_1786035067033.jpg | https://images.aqar.fm/webp/750x0/props/044465416_1786035066963.jpg,5,سناء بنت عقيل بن سليمان الانصاري,,,2026-08-06,2026-08-06,2026-08-06,271,2026-08-23,True,"6,000,000",False,فيلا
6588636,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-جرير/شارع-البشارية-حي-جرير-مدينة-الرياض-منطقة-الرياض-6588636,"فيلا للبيع في شارع البشارية, حي جرير, مدينة الرياض, منطقة الرياض",2600000,500,,0,0,11,حي جرير,الرياض,وسط الرياض,فلة زاوية على مساحة 500 م²، مكوّنة من دور أرضي وشقتين علوية، بموقع استراتيجي ومميز في حي جرير، مناسبة للسكن أو الاستثمار، ويزيد عمر العقار عن 30 عامًا,24.680416,46.747097,https://images.aqar.fm/webp/750x0/props/021875078_1770991040379.jpg,1,طلال عبدالرحمن سليمان الحناكي,,,2026-02-13,2026-02-13,2026-08-08,766,2026-08-23,True,"2,600,000",False,فيلا
6447575,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-جرير/شارع-ابن-المبارك-حي-جرير-مدينة-الرياض-منطقة-الرياض-6447575,"فيلا للبيع في شارع ابن المبارك, حي جرير, مدينة الرياض, منطقة الرياض",2500000,457,,5,3,11,حي جرير,الرياض,وسط الرياض,"🛑السعي بذمة الي يوصل الموقع 🛑
الموقع غير دقيق

للبيع فيلا حي جرير مساحة 457
 مرممة موقع مميز خلف محطة سهل
دورين درج داخلي
الدور الاول ✅
٤ غرف وصالة ومطبخ وحمامين
الدور الثاني:✅
٤ غرف نوم (منهم ٢ ماستر) وصالة وحمامين
ملحق بالسطح:
غرفتين ومطبخ وحمام وصالة
ملحق ا بالحوش:
مطبخ وحمام وغرفتين وصالة
ملحق ٢ بالحوش:
غرفة وحمام
السعي والضريبة على المشتري 
السعر مليونين و500 الف 
التواصل ((رقم المعلن يظهر عند التواصل))",24.680162,46.743433,https://images.aqar.fm/webp/750x0/props/014701547_1761865139341.jpg | https://images.aqar.fm/webp/750x0/props/014701545_1761865139332.jpg | https://images.aqar.fm/webp/750x0/props/014701540_1761865139328.jpg | https://images.aqar.fm/webp/750x0/props/014701543_1761865139340.jpg,4,فارس عبدالرحمن,,,2025-10-30,2025-10-30,2026-08-18,921,2026-08-23,True,"2,500,000",False,فيلا
6654306,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-جرير/شارع-ابن-الفرات-حي-جرير-مدينة-الرياض-منطقة-الرياض-6654306,"فيلا للبيع في شارع ابن الفرات, حي جرير, مدينة الرياض, منطقة الرياض",2000000,500,7,,,11,حي جرير,الرياض,وسط الرياض,"للبيع فيلا في حي جرير – الملز

📍 الموقع: حي جرير – الملز
📐 المساحة: 500 م²
🛣 الواجهة: على شارعين  : جنوب - شرق
مميزات الموقع:
	•	تبعد تقريباً 200 متر عن طريق صلاح الدين الأيوبي
	•	تبعد تقريباً 200 متر عن شارع جرير


تفاصيل العقار:
	•	مرممة وجاهزة للسكن
	•	مناسبة للسكن أو للاستثمار وإعادة التطوير
     • ٧ غرف نوم / مجالس كبيره 
مصعد /غرف خدم وسائق

- السوم : ٢،٠٠٠،٠٠٠ مليون ريال 
- فرق السوم بياع 
- 
مباشر من وكيل الافراغ",24.673369,46.755004,,,عبدالملك ابراهيم محمد الجمعان,شركة بنايات نجد للتسويق شخص واحد,1,2026-04-14,2026-08-08,2026-08-17,712,2026-08-23,True,"2,000,000",False,فيلا
6457863,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-جرير/شارع-ابن-علان-الصديقي-حي-جرير-مدينة-الرياض-منطقة-الرياض-6457863,"فيلا للبيع في شارع ابن علان الصديقي, حي جرير, مدينة الرياض, منطقة الرياض",2200000,457,7,5,4,11,حي جرير,الرياض,وسط الرياض,"للبيع فيلا حي جرير

(الرجاء التواصل من المشتري مباشره نعتذر التعامل مع الوسطاء العقاريين)

المساحه ٤٥٧
العمر اكبر من ١٠ سنوات
مرممه
درج صاله
مكونه من دورين
الدور الاول
٤ غرف وصاله ومطبخ وحمامين
الدور الثاني
٤ غرف نوم منهم ٢ ماستر و صاله وحمامين
ملحق بالسطح
غرفتين ومطبخ وحمام وصاله
ملحق ا بالحوش:
مطبخ وحمام وغرفتين وصاله
ملحق ٢ بالحوش:
غرفة و حمام
للتواصل ابو فهد واتس ((رقم المعلن يظهر عند التواصل))",24.677129,46.755007,https://images.aqar.fm/webp/750x0/props/036541052_1762541628624.jpg | https://images.aqar.fm/webp/750x0/props/036541058_1762541628779.jpg | https://images.aqar.fm/webp/750x0/props/036541059_1762541628598.jpg | https://images.aqar.fm/webp/750x0/props/036541053_1762541628654.jpg | https://images.aqar.fm/webp/750x0/props/036541056_1762541628647.jpg | https://images.aqar.fm/webp/750x0/props/036541050_1762541628619.jpg | https://images.aqar.fm/webp/750x0/props/036541054_1762541628632.jpg | https://images.aqar.fm/webp/750x0/props/036541051_1762541628647.jpg,8,احمد فهد,,,2025-11-07,2026-02-08,2026-08-15,1632,2026-08-23,True,"2,200,000",False,فيلا
6548033,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-جرير/شارع-ابن-الكيال-المغربي-حي-جرير-مدينة-الرياض-منطقة-الرياض-6548033,"فيلا للبيع في شارع ابن الكيال المغربي, حي جرير, مدينة الرياض, منطقة الرياض",2000000,400,,5,2,11,حي جرير,الرياض,وسط الرياض,"بسم الله الرحمن الرحيم 

للبيع فله قديمه كامبنى او أرض

عبارة عن دورين درج مفصول وملاحق
 شارع ٢٠ جنوبي ٢٠م في ٢٠ م صالحة للسكن تحتاج ترميم  آخر ترميم قبل ٥سنوات تقريباً في حي جرير 

الفوائد والمييزات :

موقع إستراتيجي في العاصمة الرياض في القلب النابض 
فهو يتسنى بالقرب من: 

_المساجد 
_الطرق الرئيسية ظهير لطريق صلاح الدين الايوبي 
_ميترو الرياض محطة جرير يبعد ٥دقائق مشي على الاقدام 
_الوزرات والمراكز الحكومية 
_المستشفيات والمدارس والجامعات 
_المشاريع التنموية 
_المراكز التجارية بالمدينة 
_المنتزهات ومشاريع الترفيه  مشروع الترفيه وملعب الملز



ويسعدني خدمتكم في  ادارة الأملاك والعروض أو طلبات أو تسويق عقارات
محمد",24.671859,46.754357,https://images.aqar.fm/webp/750x0/props/013780411_1776770480854.jpg,1,محمد حمود محمد الذييب,,,2026-01-15,2026-07-31,2026-07-31,1862,2026-08-23,True,"2,000,000",False,فيلا
6721785,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-جرير/شارع-أبي-الروح-الشافعي-حي-جرير-مدينة-الرياض-منطقة-الرياض-6721785,"فيلا للبيع في شارع أبي الروح الشافعي, حي جرير, مدينة الرياض, منطقة الرياض",2000000,500,,5,2,11,حي جرير,الرياض,وسط الرياض,"فيلا حي جرير بالرياض
التفاصيل : دورين منفصله 
المساحه : 500 م 
العمر : 40 سنه 

الدور الارضي : مجلس - صاله - 4 غرف نوم - مطبخ - 3 دورات مياه 
الدور الاول : مجلس - صاله - 4 غرف نوم - مطبخ - 3 دورات مياه

الموقع : 4916 ممر أبي الروح الشافعي - حي جرير
https://maps.google.com/?q=24.674095,46.755238",24.674134,46.755241,https://images.aqar.fm/webp/750x0/props/010045779_1737399819507.jpg,1,عبدالعزيز عبدالرحمن حمد الغفيص,شركة رواسه المحدودة,1,2026-06-06,2026-06-06,2026-08-21,996,2026-08-23,True,"2,000,000",False,فيلا
6520608,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-جرير/شارع-ابن-علان-الصديقي-حي-جرير-مدينة-الرياض-منطقة-الرياض-6520608,"فيلا للبيع في شارع ابن علان الصديقي, حي جرير, مدينة الرياض, منطقة الرياض",2960000,740,,,,11,حي جرير,الرياض,وسط الرياض,"للبيع فلتين  بصك واحد حي جرير 
مساحة الارض 740م 
عرض الشارع 12م غربي
كل فيلا مكونه من دور ارضي + دور علوي + محلقين 
الدخل 170 ريال تقريباً  و الايجارات قديمه و ضعيفه
على السوم 
سعر المتر ٤٠٠٠ قابل للتفاوض 
للتواصل واتساب او اتصال ( 8 2 2 9 9 8 6 0 5 0 )",24.676602,46.755165,https://images.aqar.fm/webp/750x0/props/009363145_1766647350326.jpg | https://images.aqar.fm/webp/750x0/props/009363140_1766647350327.jpg | https://images.aqar.fm/webp/750x0/props/009363145_1766647350324.jpg,3,تركي عبدالله حسن آل صمغان,مكتب ركن الافق للعقارات,1,2025-12-25,2026-01-07,2026-08-05,1424,2026-08-23,True,"2,960,000",False,فيلا
