listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6763867,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-سهيل-حي-حطين-مدينة-الرياض-منطقة-الرياض-6763867,"فيلا للبيع في شارع سهيل, حي حطين, مدينة الرياض, منطقة الرياض",8550000,480,,5,5,11,حي حطين,الرياض,شمال الرياض,"للبيع فيلا عظم 
حي حطين 

المساحه ٤٨٠ شارعين
جنوبي غربي
شوارع 20م 
شمال حديقه حطين
شمال جامع الرحمه
فله  فيه قبو بنا شخصي
عدادين كهربا 
درج داخلي 
ودرج جانبي 
عظم 
البيع علي السوم 
مباشر وحصري",24.774738,46.617733,https://images.aqar.fm/webp/750x0/props/030708512_1783433062876.jpg,1,جواهر ال سعيد,مكتب ريحانة نجد للعقارات,1,2026-07-07,2026-07-07,2026-08-22,488,2026-08-23,True,"8,550,000",False,فيلا
6742326,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-ظافر-الغساني-حي-حطين-مدينة-الرياض-منطقة-الرياض-6742326,"فيلا للبيع في شارع ظافر الغساني, حي حطين, مدينة الرياض, منطقة الرياض",18000000,875,5,5,0,0,حي حطين,الرياض,شمال الرياض,$5e,24.765295,46.615763,https://images.aqar.fm/webp/750x0/props/004465229_1782070337429.jpg | https://images.aqar.fm/webp/750x0/props/004465223_1782070337424.jpg | https://images.aqar.fm/webp/750x0/props/004465227_1782070337424.jpg | https://images.aqar.fm/webp/750x0/props/004465229_1782070354019.jpg | https://images.aqar.fm/webp/750x0/props/004465229_1782070354028.jpg | https://images.aqar.fm/webp/750x0/props/004465225_1782070354027.jpg | https://images.aqar.fm/webp/750x0/props/004465221_1782070374673.jpg | https://images.aqar.fm/webp/750x0/props/004465228_1782070374683.jpg | https://images.aqar.fm/webp/750x0/props/004465229_1782070374675.jpg | https://images.aqar.fm/webp/750x0/props/004465221_1782070374678.jpg | https://images.aqar.fm/webp/750x0/props/004465222_1785257621095.jpg | https://images.aqar.fm/webp/750x0/props/004465228_1785257621003.jpg | https://images.aqar.fm/webp/750x0/props/004465221_1785257645178.jpg | https://images.aqar.fm/webp/750x0/props/004465222_1785257708620.jpg,14,ياسر محمد,,,2026-06-21,2026-08-19,2026-08-22,2943,2026-08-23,True,"18,000,000",False,فيلا
6497110,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-عفار-حي-حطين-مدينة-الرياض-منطقة-الرياض-6497110,"فيلا للبيع في شارع عفار, حي حطين, مدينة الرياض, منطقة الرياض",10000000,900,5,,,7,حي حطين,الرياض,شمال الرياض,"للبيــــــــع فلة بحطين
- المساحة: ٩٠٠ م
- عمر الفيلا: ٧ سنوات
- مسطح البناء: تقريبا ٨٠٠م
- الدور الارضي استقبال مجلس ومقلط وصالةومجلس نساءومطبخ و٢حمام.
 الدور الاول خمسة اجنحة. وصالة
الدور الثاني غرفتين وصالة
 وجناح للخدم والغسيل
- الدور الارضي تكييف مخفي 
. والاول مخفي وسبليت والثاني 
سبليت كلها فوجي ياباني.
مع وجود مصعد  
- شارع ٢٠شرقي 
_سعر السوم ٩.٥٠٠.٠٠٠مليون 
- سعر البيع  ١٠.٠٠٠.٠٠٠ مليون",24.774942,46.60947,https://images.aqar.fm/webp/750x0/props/010006576_1765136567907.jpg | https://images.aqar.fm/webp/750x0/props/010006574_1765136562812.jpg | https://images.aqar.fm/webp/750x0/props/010006576_1765136562819.jpg | https://images.aqar.fm/webp/750x0/props/010006571_1765136562853.jpg | https://images.aqar.fm/webp/750x0/props/010006571_1765136562937.jpg | https://images.aqar.fm/webp/750x0/props/010006573_1765136563008.jpg | https://images.aqar.fm/webp/750x0/props/010006572_1765136563027.jpg,7,عبدالمحسن محمد عبدالله النافع,,0,2025-12-07,2026-08-03,2026-08-03,1389,2026-08-23,True,"10,000,000",False,فيلا
6783440,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-اسعد-بن-نصر-حي-حطين-مدينة-الرياض-منطقة-الرياض-6783440,"فيلا للبيع في شارع اسعد بن نصر, حي حطين, مدينة الرياض, منطقة الرياض",10000000,600,5,5,2,11,حي حطين,الرياض,شمال الرياض,"📌للبيع فيلا حي حطين مساحه 600 متر شارع 15 جنوبي بناء شخصي 100% قريبه من البوليفارد والمسار الرياضي 
 📌الدور الارضي استقبال صاله كبيره ومجالس ومطبخ داخلي ومستودع  وصاله طعام ودورتين مياه اللواح رخام
📌الدور الثاني اربع غرف مع دوره المياه وحده ماستر بورسلان
لايوجد مصعد
📌ملحق علوي غرفة مع دورة مياه مع غرفة عاملة وغسيل
📌سخانات مركزية
📌ملحق ارضي مع دورة مياه وافيس ومستودع وغرفة سائق 
📌السعر على السوم 
📌العمر أكثر من 10سنوات
📌الرجاء التنسيق للمعاينة
📌فضلا لا امرا يمتنع الوسطاء",24.769252,46.584097,https://images.aqar.fm/webp/750x0/props/004440917_1765737726852.jpg | https://images.aqar.fm/webp/750x0/props/004440912_1765737727014.jpg | https://images.aqar.fm/webp/750x0/props/004440913_1765737723219.jpg | https://images.aqar.fm/webp/750x0/props/004440915_1765737723571.jpg | https://images.aqar.fm/webp/750x0/props/004440914_1765737724009.jpg | https://images.aqar.fm/webp/750x0/props/004440916_1765737724470.jpg | https://images.aqar.fm/webp/750x0/props/004440915_1765737724787.jpg | https://images.aqar.fm/webp/750x0/props/004440914_1765737725094.jpg | https://images.aqar.fm/webp/750x0/props/004440919_1765737725237.jpg | https://images.aqar.fm/webp/750x0/props/004440910_1765737725238.jpg | https://images.aqar.fm/webp/750x0/props/004440915_1765737725370.jpg | https://images.aqar.fm/webp/750x0/props/004440919_1765737725485.jpg | https://images.aqar.fm/webp/750x0/props/004440916_1765737725644.jpg | https://images.aqar.fm/webp/750x0/props/004440915_1765737725758.jpg | https://images.aqar.fm/webp/750x0/props/004440919_1765737725783.jpg | https://images.aqar.fm/webp/750x0/props/004440914_1765737725885.jpg | https://images.aqar.fm/webp/750x0/props/004440910_1765737725992.jpg | https://images.aqar.fm/webp/750x0/props/004440910_1765737726126.jpg | https://images.aqar.fm/webp/750x0/props/004440910_1765737726274.jpg | https://images.aqar.fm/webp/750x0/props/004440912_1765737726395.jpg | https://images.aqar.fm/webp/750x0/props/004440915_1765737726525.jpg | https://images.aqar.fm/webp/750x0/props/004440913_1765737726531.jpg | https://images.aqar.fm/webp/750x0/props/004440918_1765737726742.jpg | https://images.aqar.fm/webp/750x0/props/004440910_1765737726746.jpg | https://images.aqar.fm/webp/750x0/props/004440918_1765737727153.jpg | https://images.aqar.fm/webp/750x0/props/004440913_1765737727152.jpg | https://images.aqar.fm/webp/750x0/props/004440913_1765737727285.jpg | https://images.aqar.fm/webp/750x0/props/004440917_1765737727413.jpg | https://images.aqar.fm/webp/750x0/props/004440911_1765737727567.jpg | https://images.aqar.fm/webp/750x0/props/004440910_1766514237715.jpg,30,رياض محمد عبدالله السليمي ,,,2026-07-21,2026-08-19,2026-08-19,1567,2026-08-23,True,"10,000,000",False,فيلا
6716445,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-وادي-الزيما-حي-حطين-مدينة-الرياض-منطقة-الرياض-6716445,"فيلا للبيع في شارع وادي الزيما, حي حطين, مدينة الرياض, منطقة الرياض",5000000,437,7,4,2,11,حي حطين,الرياض,شمال الرياض,"(ملوحظه الموقع غير دقيق☑️)
 الموقع الدقيق👇
https://maps.app.goo.gl/RmL2DSTdb9NVFj3N6?g_st=ac
للبيع فيله في حي حطين الموسي
موقع مميز جداً قريب من طريق الامير محمد بن سلمان 
عباره  عن. درج صاله  
المساحه  ٤٣٧م 
مستخدمه ١١ سنه  
الشارع ٢٠م غربي 
مواصفات الفيله
الدور الارضي مدخل سياره و غرفه سائق وملحق خارجي و مجلس و صاله طعام و مجلس نساء مفتوح على الصاله و مطبخ و مسبح ومؤسس مصعد
 الدور العلوي ٥ غرف نوم و صاله

 السطح ٣ غرف 
الفيله فاضيه يلزم موعد  متوفر صور
السوم وصل ٥مليون و٣٠٠الف 
البيع ٥ مليون  و٤٠٠الف عشور
مباشر من الوكيل",24.761978,46.609413,https://images.aqar.fm/webp/750x0/props/047744081_1784052021257.jpg,1,صالح بن عبيد بن عايش العنزي,مكتب ابداع الصحافة للخدمات العقارية,1,2026-06-02,2026-08-13,2026-08-19,1925,2026-08-23,True,"5,000,000",False,فيلا
6621914,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-عذبة-حي-حطين-مدينة-الرياض-منطقة-الرياض-6621914,"فيلا للبيع في شارع عذبة, حي حطين, مدينة الرياض, منطقة الرياض",4500000,300,4,5,3,0,حي حطين,الرياض,شمال الرياض,"الموقع دقيق 

‏للبيع فيلا مودرن بحي حطين ( اخر فيلا بالمشروع)
المساحة:  300م 
شارع 20م شمالي 
عدد الغرف : 4 

التفاصيل : 
الارضي: موقفين سيارات - مجلس - صالة طعام - صالة عائلية واسعه - مطبخ ومستودع وركن الغسيل وغرفة خادمة - فناء خلفي للصالة - مؤسس مصعد وراكب تكييف مخفي - غرفة سائق

الاول: صالة - 3 غرف نوم 

الثاني : غرفة نوم - سطح ومؤسس لانشاء مباني اضافية",24.772936,46.613037,https://images.aqar.fm/webp/750x0/props/002902001_1773204159041.jpg | https://images.aqar.fm/webp/750x0/props/002902000_1773204218256.jpg | https://images.aqar.fm/webp/750x0/props/002902000_1773204218273.jpg | https://images.aqar.fm/webp/750x0/props/002902007_1773204245435.jpg | https://images.aqar.fm/webp/750x0/props/002902001_1773204245418.jpg | https://images.aqar.fm/webp/750x0/props/002902001_1773204245409.jpg | https://images.aqar.fm/webp/750x0/props/002902008_1773204245432.jpg | https://images.aqar.fm/webp/750x0/props/002902001_1773204245427.jpg | https://images.aqar.fm/webp/750x0/props/002902004_1773204245417.jpg,9,محمد هذال,شركة أثرى المتحدة العقارية,1,2026-03-11,2026-08-03,2026-08-21,15577,2026-08-23,True,"4,500,000",False,فيلا
6807844,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-القويعية-حي-حطين-مدينة-الرياض-منطقة-الرياض-6807844,"فيلا للبيع في شارع القويعية, حي حطين, مدينة الرياض, منطقة الرياض",17500000,600,6,0,0,0,حي حطين,الرياض,شمال الرياض,"فلل مودرن فاخرة للبيع – بمواقع مميزه حي حطين ملقا 
تصاميم عصرية | جودة بناء عالية | خصوصية تام مساحات متنوعه 
وهنا فيلا رقم 1
موقع مميز • تصاميم عصرية • جودة بناء وتشطيبات عالية •الجوده وضمانات وتراعي الخصوصية تامة

القبو
سينما • صاله كبيره متعدده الاستخدام  • صاله مطله على مسبح • حديقة • قسم خادمات متكامل • قسم سائقين مستقل. جلسات خارجي وحديقه 
⛲️الدور الأرضي
مجالس ضيافة • صالة استقبال • مطبخ رئيسي ومطبخ تحضيري • موقفان داخليان • حديقة. ثلاث مداخل 

الدور الأول
4 أجنحة نوم ماستر، منها جناح رئيسي مستقل 
🏡الدور الثاني
صالة عائلية • جناحان ماستر • أوفيس.
السطح مجهز يكون
جلسة خارجيه  • منطقة شواء. حديقه علويه 
المميزات
✔ موقع مميز وشارع ٣٠ .
✔ تصميم مودرن فاخر
✔ جودة بناء وتشطيبات بمعايير عالية.
✔ خصوصية تامة وتوزيع مريح .
✔ مسطحات شرحه وكبيره 

  🗄️يتوفر لدينا فلل مساحات متنوعه اسعار مختلفه 
يتوفر لدينا قصور 
اراضي 🗃️
يسعدنا خدمتكم وتلبيت طلباتكم للاستفسار عن العقار او فلل اخرى 
يشرفنا باي وقت واتساب او رقم 📳((الرقم يظهر عند الضغط على اتصال))",24.754206,46.60141,https://images.aqar.fm/webp/750x0/props/003302067_1787227140261.jpg,1,علي الزهراني,,,2026-08-05,2026-08-05,2026-08-21,1062,2026-08-23,True,"17,500,000",False,فيلا
6781972,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-بير-سلمان-حي-حطين-مدينة-الرياض-منطقة-الرياض-6781972,"فيلا للبيع في شارع بير سلمان, حي حطين, مدينة الرياض, منطقة الرياض",6500000,507,,,,11,حي حطين,الرياض,شمال الرياض,"للبيع فيلا – حي حطين 🏡
📐 المساحة: 507 م²
🧭 الواجهة: جنوبية
🛣️ شارع 15 متر
🏠 عمر العقار: 13 سنة – حالة ممتازة

تفاصيل الأدوار:
الدور الأرضي: مجلس بدورة مياه ومغاسل – مقلط مفتوح – صالة كبيرة بدورة مياه ومغاسل – مطبخ – ملحق بدورة مياه
الدور الأول: جناح ماستر – غرفة نوم مع غرفة ملابس ودورة مياه – 4 غرف نوم (غرفتان بدورة مياه مستقلة + غرفتان بدورة مياه مشتركة) – أوفيس
الدور الثاني: غرفة غسيل كبيرة بدورة مياه – غرفة خادمة بدورة مياه – مستودع

⏳ الإخلاء خلال شهر 
📸 لا يوجد زيارات معاينة – موجود الصور
💰 حد البيع: 6,500,000 ريال
قابل للتفاوض 

📞 للتواصل: ((رقم المعلن يظهر عند التواصل))",24.76127,46.615762,https://images.aqar.fm/webp/750x0/props/027825718_1784540749942.jpg | https://images.aqar.fm/webp/750x0/props/027825719_1784540749933.jpg | https://images.aqar.fm/webp/750x0/props/027825712_1784540749942.jpg | https://images.aqar.fm/webp/750x0/props/027825711_1784540749945.jpg | https://images.aqar.fm/webp/750x0/props/027825710_1784540749950.jpg | https://images.aqar.fm/webp/750x0/props/027825710_1784540749948.jpg | https://images.aqar.fm/webp/750x0/props/027825718_1784540749943.jpg | https://images.aqar.fm/webp/750x0/props/027825714_1784540749955.jpg | https://images.aqar.fm/webp/750x0/props/027825713_1784540749964.jpg | https://images.aqar.fm/webp/750x0/props/027825711_1784540749955.jpg | https://images.aqar.fm/webp/750x0/props/027825711_1784540749964.jpg | https://images.aqar.fm/webp/750x0/props/027825718_1784540749971.jpg | https://images.aqar.fm/webp/750x0/props/027825719_1784540750144.jpg | https://images.aqar.fm/webp/750x0/props/027825715_1784540750142.jpg | https://images.aqar.fm/webp/750x0/props/027825714_1784540750159.jpg | https://images.aqar.fm/webp/750x0/props/027825719_1784540750155.jpg | https://images.aqar.fm/webp/750x0/props/027825715_1784540750190.jpg | https://images.aqar.fm/webp/750x0/props/027825713_1784540766939.jpg | https://images.aqar.fm/webp/750x0/props/027825718_1784540766946.jpg | https://images.aqar.fm/webp/750x0/props/027825715_1784540766955.jpg | https://images.aqar.fm/webp/750x0/props/027825719_1784540766945.jpg | https://images.aqar.fm/webp/750x0/props/027825713_1784540766954.jpg | https://images.aqar.fm/webp/750x0/props/027825714_1784540766962.jpg | https://images.aqar.fm/webp/750x0/props/027825714_1784540766959.jpg | https://images.aqar.fm/webp/750x0/props/027825713_1784540766962.jpg | https://images.aqar.fm/webp/750x0/props/027825717_1784540766968.jpg | https://images.aqar.fm/webp/750x0/props/027825715_1784540766973.jpg | https://images.aqar.fm/webp/750x0/props/027825710_1784540766968.jpg | https://images.aqar.fm/webp/750x0/props/027825710_1784540766976.jpg,29,عبدالكريم ابراهيم بن رسلان العنزي,شركة ابداع العالمية للتطوير والاستثمار العقاري ,1,2026-07-20,2026-08-18,2026-08-20,2044,2026-08-23,True,"6,500,000",False,فيلا
6753905,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-كدا-حي-حطين-مدينة-الرياض-منطقة-الرياض-6753905,"فيلا للبيع في شارع كدا, حي حطين, مدينة الرياض, منطقة الرياض",6700000,10500,4,7,3,1,حي حطين,الرياض,شمال الرياض,"حيث تُصاغ الرفاهية بتفاصيلها في قلب حطين
بيوتنا في حطين ليست مجرد جدران، بل هي تجسيد لنمط حياة يدمج بين الخصوصية المطلقة والرقي المعماري في أرقى أحياء العاصمة.
مساحات الأراضي: تبدأ من 300م² وتصل إلى 476م².
مسطحات البناء: رحابة تصل إلى 613م².
الحصرية: مجتمع سكني محدود يضم 18 فيلا فقط.
الأسعار: تتفاوت بحسب المساحة والنموذج المختار.",24.753266,46.605354,https://images.aqar.fm/webp/750x0/props/043675298_1782826866595.jpg | https://images.aqar.fm/webp/750x0/props/043675291_1782826866594.jpg | https://images.aqar.fm/webp/750x0/props/043675292_1782826900452.jpg | https://images.aqar.fm/webp/750x0/props/043675297_1782826900448.jpg | https://images.aqar.fm/webp/750x0/props/043675299_1782826900452.jpg | https://images.aqar.fm/webp/750x0/props/043675297_1782826900450.jpg | https://images.aqar.fm/webp/750x0/props/043675296_1782826900449.jpg | https://images.aqar.fm/webp/750x0/props/043675291_1782826900451.jpg | https://images.aqar.fm/webp/750x0/props/043675291_1782826900530.jpg | https://images.aqar.fm/webp/750x0/props/043675299_1782826900532.jpg | https://images.aqar.fm/webp/750x0/props/043675299_1782826900533.jpg | https://images.aqar.fm/webp/750x0/props/043675294_1782826900533.jpg | https://images.aqar.fm/webp/750x0/props/043675290_1782826900533.jpg,13,عبد الله محمد عبد الله العزيري,,,2026-06-30,2026-07-29,2026-08-21,4037,2026-08-23,True,"6,700,000",False,فيلا
6761931,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-الابلق-حي-حطين-مدينة-الرياض-منطقة-الرياض-6761931,"فيلا للبيع في شارع الابلق, حي حطين, مدينة الرياض, منطقة الرياض",8500000,600,,5,2,9,حي حطين,الرياض,شمال الرياض,"للبيع فيلا راقية درج صالة بحي حطين شغل فاخر 
مساحة الأرض 600 متر 
— 
على شارع 20
يوجد مسبح
يوجد تكييف مركزي راكب
يوجد سخان مركزي راكب
كراج مدخل سيارتين 
غرفتين منفصلين للسائقين
— 
الدور الارضي
مجلس رجال ومقلط وصالة كبيرة ومطبخ 
— 
الدور الاول 
جناح ماستر كبير 
واربعة أجنحة نوم 
وصالة كبيرة 
— 
الدور الثاني سطح
غرفتين نوم وصالة كبيرة وسطح
وغرفه شغاله وغرفة غسيل وكوية",24.74372,46.590688,https://images.aqar.fm/webp/750x0/props/035232706_1741807261218.jpg | https://images.aqar.fm/webp/750x0/props/035232705_1741807331703.jpg | https://images.aqar.fm/webp/750x0/props/035232702_1741807332124.jpg | https://images.aqar.fm/webp/750x0/props/035232708_1741807332137.jpg | https://images.aqar.fm/webp/750x0/props/035232707_1741807332223.jpg | https://images.aqar.fm/webp/750x0/props/035232709_1741807332292.jpg | https://images.aqar.fm/webp/750x0/props/035232702_1741807332430.jpg | https://images.aqar.fm/webp/750x0/props/035232703_1741807332485.jpg | https://images.aqar.fm/webp/750x0/props/035232700_1741807332812.jpg | https://images.aqar.fm/webp/750x0/props/035232705_1741807410131.jpg | https://images.aqar.fm/webp/750x0/props/035232707_1741807410195.jpg | https://images.aqar.fm/webp/750x0/props/035232706_1741807410922.jpg | https://images.aqar.fm/webp/750x0/props/035232709_1741807410422.jpg | https://images.aqar.fm/webp/750x0/props/035232709_1741807410546.jpg | https://images.aqar.fm/webp/750x0/props/035232707_1741807410573.jpg | https://images.aqar.fm/webp/750x0/props/035232709_1741807410619.jpg | https://images.aqar.fm/webp/750x0/props/035232702_1741807410615.jpg | https://images.aqar.fm/webp/750x0/props/035232705_1741810934618.jpg | https://images.aqar.fm/webp/750x0/props/035232708_1741810934629.jpg | https://images.aqar.fm/webp/750x0/props/035232700_1741810934653.jpg | https://images.aqar.fm/webp/750x0/props/035232702_1741810934755.jpg | https://images.aqar.fm/webp/750x0/props/035232700_1741810934807.jpg | https://images.aqar.fm/webp/750x0/props/035232703_1741810934860.jpg | https://images.aqar.fm/webp/750x0/props/035232701_1741810934872.jpg,24,معاذ فهد,مؤسسة ميثاق المستقبل العقارية,1,2026-07-06,2026-08-04,2026-08-22,2763,2026-08-23,True,"8,500,000",False,فيلا
