listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6410707,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ديراب/شارع-الامير-سعود-ابن-محمد-ابن-مقرن-حي-ديراب-مدينة-الرياض-منطقة-الرياض-6410707,"فيلا للبيع في شارع الامير سعود ابن محمد ابن مقرن, حي ديراب, مدينة الرياض, منطقة الرياض",920000,365,5,5,2,0,حي ديراب,الرياض,غرب الرياض,"للبيع فيلا دوبلكس بحي المها على طريق ديراب مساحه 312 متر 
بسعر 920 الف
فيها غرفه كبار سن 
ولدينا سداد المديونيات وحلول الدفعه تمويليه ميسره ونتعامل معا جميع الشركات الخاصه البنوك ولدينا  10",24.493736,46.620985,https://images.aqar.fm/webp/750x0/props/040820585_1785517142285.jpg | https://images.aqar.fm/webp/750x0/props/040820589_1785517141949.jpg | https://images.aqar.fm/webp/750x0/props/040820580_1785517141844.jpg | https://images.aqar.fm/webp/750x0/props/040820583_1785517141535.jpg | https://images.aqar.fm/webp/750x0/props/040820587_1785517141278.jpg | https://images.aqar.fm/webp/750x0/props/040820580_1785517141329.jpg | https://images.aqar.fm/webp/750x0/props/040820581_1785517141350.jpg | https://images.aqar.fm/webp/750x0/props/040820589_1785517141384.jpg | https://images.aqar.fm/webp/750x0/props/040820589_1785517141422.jpg | https://images.aqar.fm/webp/750x0/props/040820582_1785517141494.jpg | https://images.aqar.fm/webp/750x0/props/040820584_1785517141504.jpg | https://images.aqar.fm/webp/750x0/props/040820586_1785517141580.jpg | https://images.aqar.fm/webp/750x0/props/040820587_1785517141652.jpg | https://images.aqar.fm/webp/750x0/props/040820581_1785517141679.jpg | https://images.aqar.fm/webp/750x0/props/040820584_1785517141745.jpg | https://images.aqar.fm/webp/750x0/props/040820586_1785517141745.jpg | https://images.aqar.fm/webp/750x0/props/040820581_1785517141940.jpg | https://images.aqar.fm/webp/750x0/props/040820587_1785517141871.jpg | https://images.aqar.fm/webp/750x0/props/040820588_1785517142025.jpg | https://images.aqar.fm/webp/750x0/props/040820584_1785517142026.jpg | https://images.aqar.fm/webp/750x0/props/040820580_1785517142101.jpg | https://images.aqar.fm/webp/750x0/props/040820586_1785517142101.jpg | https://images.aqar.fm/webp/750x0/props/040820582_1785517142206.jpg | https://images.aqar.fm/webp/750x0/props/040820580_1785517142286.jpg,24,فايز مصلح,مؤسسة فايز مصلح المطيري,1,2025-10-04,2025-10-04,2026-08-20,1807,2026-08-23,True,"920,000",False,فيلا
6709399,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ديراب/شارع-الحويطة-حي-ديراب-مدينة-الرياض-منطقة-الرياض-6709399,"فيلا للبيع في شارع الحويطة, حي ديراب, مدينة الرياض, منطقة الرياض",1200000,750,5,0,0,11,حي ديراب,الرياض,غرب الرياض,"🏡 فرصة ذهبية لامتلاك أرض سكنية مميزة في حي ديراب – الرياض
ا
📍 الموقع: حي ديراب – الرياض
📐 المساحة: 750 م²
🏘️ العقار عباره عن دور قديم
🔢 رقم القطعة: 294
📋 رقم المخطط: 2116

✨ مميزة على شارعين عرض 15م
✨ خلف طريق ديراب الرئيسي مباشرة
✨ موقع حيوي قريب من الخدمات والطرق الرئيسية
✨ مناسبة للسكن الراقي أو الاستثمار العقاري

💥 فرصة ممتازة لبناء فيلا الأحلام أو استثمار مضمون

📞 للتواصل والاستفسار:
مكتب بصمة الاتقان للخدمات العقارية",24.490473,46.623545,https://images.aqar.fm/webp/750x0/props/008066105_1779621897046.jpg | https://images.aqar.fm/webp/750x0/props/008066101_1779621897034.jpg | https://images.aqar.fm/webp/750x0/props/008066102_1779621897053.jpg | https://images.aqar.fm/webp/750x0/props/008066106_1779621897049.jpg | https://images.aqar.fm/webp/750x0/props/008066107_1779621897036.jpg | https://images.aqar.fm/webp/750x0/props/008066100_1779621897035.jpg | https://images.aqar.fm/webp/750x0/props/008066103_1779621897050.jpg,7,عبدالرحمن محمد,مؤسسة مكتب بصمة الاتقان للخدمات العقارية,1,2026-05-24,2026-08-19,2026-08-20,983,2026-08-23,True,"1,200,000",False,فيلا
6456019,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ديراب/شارع-ضرية-حي-ديراب-مدينة-الرياض-منطقة-الرياض-6456019,"فيلا للبيع في شارع ضرية, حي ديراب, مدينة الرياض, منطقة الرياض",770000,182,4,,,0,حي ديراب,الرياض,غرب الرياض,"تاون هاوس ارضى وعلوى
مساحه 250 متر
 يوجد لدينا أدوار وفلل دوبلكسات وشقق جميع المساحات وافضل الأسعار 
للتواصل 
أبو أنس
((رقم المعلن يظهر عند التواصل))",24.504181,46.633392,https://images.aqar.fm/webp/750x0/props/004670693_1762413715467.jpg | https://images.aqar.fm/webp/750x0/props/004670692_1762413714707.jpg | https://images.aqar.fm/webp/750x0/props/004670690_1762413714850.jpg | https://images.aqar.fm/webp/750x0/props/004670696_1762413715010.jpg | https://images.aqar.fm/webp/750x0/props/004670699_1762413715198.jpg | https://images.aqar.fm/webp/750x0/props/004670690_1762413715311.jpg | https://images.aqar.fm/webp/750x0/props/004670690_1762413715548.jpg | https://images.aqar.fm/webp/750x0/props/004670694_1762413715589.jpg | https://images.aqar.fm/webp/750x0/props/004670691_1762413715735.jpg | https://images.aqar.fm/webp/750x0/props/004670699_1762413715735.jpg | https://images.aqar.fm/webp/750x0/props/004670697_1762413715871.jpg,11,جابر ال فهاد,شركة ركائز الروعة,1,2025-11-06,2025-11-06,2026-08-23,1921,2026-08-23,True,"770,000",False,فيلا
6464941,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ديراب/شارع-الحبا-حي-ديراب-مدينة-الرياض-منطقة-الرياض-6464941,"فيلا للبيع في شارع الحبا, حي ديراب, مدينة الرياض, منطقة الرياض",750000,217,4,4,1,0,حي ديراب,الرياض,غرب الرياض,"تاون هاوس ارضي مساحة 250 يتكون من مجلس وصالة ومطبخ وغرفة كبار سن
الدرج يوجد ثلاث غرف غرفة ماستر
يوجد أربع دورات مياة
((رقم المعلن يظهر عند التواصل))
ابوعدي",24.502702,46.631807,https://images.aqar.fm/webp/750x0/props/004670699_1762965369910.jpg | https://images.aqar.fm/webp/750x0/props/004670699_1762965369630.jpg | https://images.aqar.fm/webp/750x0/props/004670691_1762965369748.jpg | https://images.aqar.fm/webp/750x0/props/004670691_1762965370031.jpg | https://images.aqar.fm/webp/750x0/props/004670692_1762965370128.jpg | https://images.aqar.fm/webp/750x0/props/004670699_1762965370126.jpg | https://images.aqar.fm/webp/750x0/props/004670697_1762965370256.jpg | https://images.aqar.fm/webp/750x0/props/004670694_1762965370483.jpg | https://images.aqar.fm/webp/750x0/props/004670697_1762965370635.jpg | https://images.aqar.fm/webp/750x0/props/004670696_1762965370749.jpg | https://images.aqar.fm/webp/750x0/props/004670696_1762965370888.jpg,11,جابر ال فهاد,شركة ركائز الروعة,1,2025-11-12,2025-11-12,2026-08-23,1457,2026-08-23,True,"750,000",False,فيلا
6823056,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ديراب/شارع-وادي-الرشا-حي-ديراب-الرياض-منطقة-الرياض-6823056,فيلا للبيع في شارع وادي الرشا ، حي ديراب ، الرياض ، منطقة الرياض,1400000,300,7,5,3,3,حي ديراب,الرياض,غرب الرياض,,24.500778,46.629139,,,وليد مسفر,,,2026-08-15,,2026-08-15,7,2026-08-23,False,طلب تسويق,False,فيلا
6471311,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ديراب/حي-ديراب-مدينة-الرياض-منطقة-الرياض-6471311,"فيلا للبيع في حي ديراب, مدينة الرياض, منطقة الرياض",960000,346,6,4,2,0,حي ديراب,الرياض,غرب الرياض,"فله مودرن للبيع شغل شخصي فاخر تتكون من مدخل سياره وملحق خارجي ومجلس ومقلط وصاله واسعه ومطبخ  وحوش خلفي 
والدور الاول غرفتين ماستر وغرفتين مشتركه وصاله 
والملحق غرفه نوم  بدوره مياه وصاله وسطح واسع 
عليها جميع الضمانات 
تامين شامل 
عليها جميع الضمانات 
تامين شامل",24.499568,46.618752,https://images.aqar.fm/webp/750x0/props/035610804_1784648268320.jpg | https://images.aqar.fm/webp/750x0/props/035610809_1784648268290.jpg | https://images.aqar.fm/webp/750x0/props/035610805_1784648310021.jpg | https://images.aqar.fm/webp/750x0/props/035610807_1784648309955.jpg | https://images.aqar.fm/webp/750x0/props/035610804_1784648310059.jpg | https://images.aqar.fm/webp/750x0/props/035610808_1784648309967.jpg | https://images.aqar.fm/webp/750x0/props/035610809_1784648309989.jpg | https://images.aqar.fm/webp/750x0/props/035610807_1784648310130.jpg | https://images.aqar.fm/webp/750x0/props/035610809_1784648310113.jpg | https://images.aqar.fm/webp/750x0/props/035610805_1784648310201.jpg | https://images.aqar.fm/webp/750x0/props/035610805_1784648332140.jpg | https://images.aqar.fm/webp/750x0/props/035610803_1784648332142.jpg | https://images.aqar.fm/webp/750x0/props/035610809_1784648332186.jpg | https://images.aqar.fm/webp/750x0/props/035610805_1784648332196.jpg | https://images.aqar.fm/webp/750x0/props/035610804_1784648332142.jpg | https://images.aqar.fm/webp/750x0/props/035610800_1784648332254.jpg | https://images.aqar.fm/webp/750x0/props/035610809_1784648332302.jpg | https://images.aqar.fm/webp/750x0/props/035610802_1784648332197.jpg,18,عبير مشلوي امحمد مبروك,,,2025-11-17,2025-11-17,2026-08-23,879,2026-08-23,True,"960,000",False,فيلا
6420835,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ديراب/شارع-علي-بن-محمد-التنوخي-حي-ديراب-مدينة-الرياض-منطقة-الرياض-6420835,"فيلا للبيع في شارع علي بن محمد التنوخي, حي ديراب, مدينة الرياض, منطقة الرياض",1050000,346,6,,,0,حي ديراب,الرياض,غرب الرياض,"التفاصيل:
السلام عليكم ورحمه الله وبركاته اسعد الله اوقاتكم بكل خير  شركه أوائل نمار العقارية 
 يسعدنا أن نقدم لكم 
فيلا دوبلكس 
 بمخطط المها 
 شارع٢٠متر 
 واجهة شماليه 
 عليها   مليون ٥٠
 عليها كافة الضمانات  المطلوبة على العوازل والخزنات والبايكه والكهرباء والسباكه  ونتعامل مع جميع البنوك والشركات وتحويل من بنك لاخر  ونسعى فى توفير الدفعه الاولى مجانا وسداد المديونية وتخليص  أمور البنك 
الكووووووود 18",24.488725,46.623024,https://images.aqar.fm/webp/750x0/props/020124845_1760289469059.jpg | https://images.aqar.fm/webp/750x0/props/020124847_1760289470811.jpg | https://images.aqar.fm/webp/750x0/props/020124844_1760289469336.jpg | https://images.aqar.fm/webp/750x0/props/020124842_1760289469132.jpg | https://images.aqar.fm/webp/750x0/props/020124844_1760289469276.jpg | https://images.aqar.fm/webp/750x0/props/020124842_1760289468253.jpg | https://images.aqar.fm/webp/750x0/props/020124849_1760289468410.jpg | https://images.aqar.fm/webp/750x0/props/020124843_1760289468493.jpg | https://images.aqar.fm/webp/750x0/props/020124847_1760289468614.jpg | https://images.aqar.fm/webp/750x0/props/020124842_1760289468654.jpg | https://images.aqar.fm/webp/750x0/props/020124843_1760289468786.jpg | https://images.aqar.fm/webp/750x0/props/020124843_1760289469495.jpg | https://images.aqar.fm/webp/750x0/props/020124840_1760289469615.jpg | https://images.aqar.fm/webp/750x0/props/020124843_1760289469772.jpg | https://images.aqar.fm/webp/750x0/props/020124840_1760289469894.jpg | https://images.aqar.fm/webp/750x0/props/020124844_1760289470012.jpg | https://images.aqar.fm/webp/750x0/props/020124843_1760289470151.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1760289470275.jpg | https://images.aqar.fm/webp/750x0/props/020124846_1760289470386.jpg | https://images.aqar.fm/webp/750x0/props/020124843_1760289470527.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1760289470653.jpg | https://images.aqar.fm/webp/750x0/props/020124842_1760289470938.jpg,22,جبر لافي عوض العتيبي,مؤسسة اوائل نمار العقارية,1,2025-10-12,2025-10-12,2026-08-20,1319,2026-08-23,True,"1,050,000",False,فيلا
6741961,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ديراب/شارع-وادي-الزرقاء-حي-ديراب-مدينة-الرياض-منطقة-الرياض-6741961,"فيلا للبيع في شارع وادي الزرقاء, حي ديراب, مدينة الرياض, منطقة الرياض",1500000,750,7,0,0,11,حي ديراب,الرياض,غرب الرياض,"فرة استثمارية مميزة- عمارة سكنية تجارية للبيع 

📍 موقع استراتيجي على شارع 36
📐 المساحه 750م2

عمارة قائمة مكونة من دور واحد تقع في منطقة حيوية تشهد نمواً عمرانيا ً
متسارعاً وتعد فرصة للمستثمرين الراغبين في التطوير أو زيادة العائد 
الاستثماري من خلال تحويلها إلى عمارة شقق سكنية او فندقية 


مميزات الموقع 
✅تبعد 600متر الحرس الوطني ديراب 
✅تبعد حوالي 500متر عن كلية التقنية في حي أحد 
✅بالقرب من مسار الباصات والخدمات العامة 
✅قريبة من المحلات التجارية والخدمات اليومية 
✅قريبه من محطة وقود 
✅بالقرب من مشروع القديه والملعب 
✅المنطقه مخدومه ومأهوله بالسكان وتحيط به عماير وشقق سكنية",24.487141,46.61602,,,راشد حبيب كثيران العنزي,,,2026-06-21,2026-08-18,2026-08-18,314,2026-08-23,True,"1,500,000",False,فيلا
6717036,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ديراب/شارع-سيار-بن-وردان-حي-ديراب-مدينة-الرياض-منطقة-الرياض-6717036,"فيلا للبيع في شارع سيار بن وردان, حي ديراب, مدينة الرياض, منطقة الرياض",1250000,300,5,0,0,5,حي ديراب,الرياض,غرب الرياض,"فلة للبيع عمرها 5 سنوات بحي ديراب
مواصفات الفلة
مساحة 300 متر صالتين مفتوحة
مطبخ
4 غرف نوم
مقلط ومجلس
7 دورات مياه
غرفة خادمة
مستقلد
مشب خارجي بدورة
مياة
حد البيع : 1,250,000 ريال",24.511993,46.635807,https://images.aqar.fm/webp/750x0/props/046734679_1780471355793.jpg,1,عبدالعزيز سعد بن ناصر الموسى,شركة عبدالعزيز سعد الموسى للتطوير والاستثمار العقاري,1,2026-06-03,2026-07-27,2026-08-19,310,2026-08-23,True,"1,250,000",False,فيلا
6803682,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ديراب/شارع-الحكمان-حي-ديراب-مدينة-الرياض-منطقة-الرياض-6803682,"فيلا للبيع في شارع الحكمان, حي ديراب, مدينة الرياض, منطقة الرياض",1200000,650,,0,0,5,حي ديراب,الرياض,غرب الرياض,فيلا للبيع حي الفواز قريبه من جميع الخدمات فيها 9 غرف و6 دورات مياه وملحق خارجي مع حوش ومساحة الفله 720 وشارع 20,24.500114,46.621571,https://images.aqar.fm/webp/750x0/props/044313705_1785764638536.jpg,1,خالد جزاء خلف ال ظفر,مؤسسة خالد جزاء خلف ال ظفر للعقارات,1,2026-08-03,2026-08-03,2026-08-23,330,2026-08-23,True,"1,200,000",False,فيلا
