listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6661538,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-سلطانة/شارع-أغادير-حي-سلطانة-مدينة-الرياض-منطقة-الرياض-6661538,"فيلا للبيع في شارع أغادير, حي سلطانة, مدينة الرياض, منطقة الرياض",1200000,625,7,5,3,0,حي سلطانة,الرياض,غرب الرياض,"فيلا للبيع في السويدي 
625 متر
شارع 15 جنوبي 
25*25
دورين و ملحق 
٥ غرف وصالتين كل دور غير الملاحق
الي تحت مجدد
والي فوق لا
كانو عائلتين
حي سلطانه خلف ماكدونالدز السويدي 
الفيلا حره
عمرها فوق 
30 سنه 
السوم مليون 200 رفض المالك 
مطلوب مليون 500.الف غير قبل للتفاوض
التواصل 
((الرقم يظهر عند الضغط على اتصال))",24.605802,46.686459,https://images.aqar.fm/webp/750x0/props/044490117_1778400109084.jpg,1,مبارك الدوسري,شركة وسم الطموح العقارية,1,2026-04-19,2026-08-15,2026-08-15,1480,2026-08-23,True,"1,200,000",False,فيلا
6636487,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-سلطانة/شارع-محمد-بن-سليمان-الحمدان-حي-سلطانة-مدينة-الرياض-منطقة-الرياض-6636487,"فيلا للبيع في شارع محمد بن سليمان الحمدان, حي سلطانة, مدينة الرياض, منطقة الرياض",1450000,672,,5,4,11,حي سلطانة,الرياض,غرب الرياض,"نوع العقار :فلة  

العمر :فوق ٣٠ سنة 

مساحة العقار:672 م

عرض الشارع  :15 م شمالي 

اطوال الفله ٢١ على ٣٢

تفاصيل الفلة  : تتكون من ٩ وحدات 

الدور الارضي:فاضي 

الدور الارضي 5 غرف وصاله ومطبخ وحمامين 

شقة ارضية تتكون من غرفتين ومطبخ وحمام 

ملحق ارضي يتكون من غرفه وحمام 

ملحق ارضي يتكون من غرفتين وصالة ومطبخ وحمام

شقة ارضية غرفتين وصالة ومطبخ وحمام 

شقة ارضية غرفة ومطبخ وحمام 

شقة علوية ٣ غرف وصاله ومطبخ وحمامين 

شقة علوية ٤ غرف وصالة ومطبخ وحمامين 

ملحق علوي غرفتين وحمام 

عدادت الكهرباء :٣ عدادات 

الدخل :128 الف بدون الدور الارضي

الحد :مليون و 450  الف صافي 

الموقع :الرياض -حي سلطانة",24.605184,46.691631,https://images.aqar.fm/webp/750x0/props/005695655_1774966996662.jpg,1,صالح الجاسر,شركة مساكن اضداد العقارية,1,2026-03-31,2026-07-25,2026-08-21,1668,2026-08-23,True,"1,450,000",False,فيلا
6762712,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-سلطانة/شارع-ال-عبدالقادر-حي-سلطانة-مدينة-الرياض-منطقة-الرياض-6762712,"فيلا للبيع في شارع ال عبدالقادر, حي سلطانة, مدينة الرياض, منطقة الرياض",1650000,294,,6,2,11,حي سلطانة,الرياض,غرب الرياض,"للبيع فيلا دوبلكس

العمر 18 سنة 
تشطيب راقي 

مشب خارجي + 8 غرف + 2 صالة + 2 مطبخ + 6 حمامات + درج داخلي + مدخل سيارة

يمكن بيعها بالاثاث 
مطبخين راكب تكييفات راكب

الموقع
https://maps.app.goo.gl/NgVvGg78tpfGwhS36

للتواصل / ((الرقم يظهر عند الضغط على اتصال)) - ((الرقم يظهر عند الضغط على اتصال))",24.602877,46.689337,https://images.aqar.fm/webp/750x0/props/000681826_1783361705195.jpg,1,فهد عبدالله قضيب بن قضيب,مؤسسة مكتب الفكرة التسويقية للعقارات,1,2026-07-06,2026-08-05,2026-08-19,363,2026-08-23,True,"1,650,000",False,فيلا
6410287,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-سلطانة/شارع-شيخ-التاج-حي-سلطانة-الرياض-منطقة-الرياض-6410287,"فيلا للبيع في شارع عبدالسلام المخزومي, حي سلطانة, مدينة الرياض, منطقة الرياض",1500000,500,5,4,2,11,حي سلطانة,الرياض,غرب الرياض,"للبيع فيلا سكنية بحي سلطانة بالرياض – مناسبة للمطورين

للراغبين بالاستثمار أو التطوير، تتوفر فيلا سكنية بقيمة أرض في موقع مميز بحي سلطانة بمدينة الرياض.
	•	المساحة: 500 متر
	•	الواجهة: شرقية
	•	عرض الشارع: 21 متر
	•	أطوال الأرض: 20 متر على الشارع × 25 متر عمق
	•	الحالة: مناسبة للهدم أو السكن، ولا توجد عليها عقود تأجيرية.

يوجد شقة ودرج منفصل 

مواصفات الفلة:
	•	درج صالة
	•	الحوش: خيمة + ملحق + مطبخ خارجي
	•	الدور الأرضي: مجلس رجال – مقلط – صالة – غرفة – مجلس نساء
	•	الدور الثاني: 6 غرف
	•	السطح: غرفتان

فرصة ممتازة للمطورين والباحثين عن موقع مميز لبناء مشروع أو سكن.",24.603548,46.681889,https://images.aqar.fm/webp/750x0/props/006567061_1764941457321.jpg | https://images.aqar.fm/webp/750x0/props/006567064_1764941457294.jpg | https://images.aqar.fm/webp/750x0/props/006567068_1764941457315.jpg | https://images.aqar.fm/webp/750x0/props/006567067_1764941457322.jpg | https://images.aqar.fm/webp/750x0/props/006567069_1764941457319.jpg | https://images.aqar.fm/webp/750x0/props/006567069_1764941457310.jpg | https://images.aqar.fm/webp/750x0/props/006567065_1764941457335.jpg | https://images.aqar.fm/webp/750x0/props/006567060_1764941457343.jpg,8,وليد عبدالله بن محمد التميمي,,,2025-10-04,2026-07-10,2026-07-27,3736,2026-08-23,True,"1,500,000",False,فيلا
6561593,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-سلطانة/شارع-اغادير-حي-سلطانة-مدينة-الرياض-منطقة-الرياض-6561593,"فيلا للبيع في شارع اغادير, حي سلطانة, مدينة الرياض, منطقة الرياض",1800000,888,,6,2,11,حي سلطانة,الرياض,غرب الرياض,"للبيع فلة زاويه شارعين مناسبة جدا للمطور العقاري 
و فرصة استثمارية كذلك موقع مميز بنسبة لحي سلطانة",24.600942,46.688883,https://images.aqar.fm/webp/750x0/props/003465093_1769354541927.jpg | https://images.aqar.fm/webp/750x0/props/003465095_1769354541913.jpg,2,راشد التميمي,مؤسسة مكتب مدار التميز للعقارات,1,2026-01-25,2026-08-17,2026-08-17,1624,2026-08-23,True,"1,800,000",False,فيلا
6723128,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-سلطانة/شارع-مسلم-بن-الحجاج-حي-سلطانة-مدينة-الرياض-منطقة-الرياض-6723128,"فيلا للبيع في شارع مسلم بن الحجاج, حي سلطانة, مدينة الرياض, منطقة الرياض",700000,161,,4,3,7,حي سلطانة,الرياض,غرب الرياض,"فرصه عقاريه 
فله للبيع  تتكون من 8 غرف و3دورات مياه ومطبخين وسطح  وحوش وغرفه خارجيه  ضاهر  على  شارع تجاري",24.604159,46.687968,https://images.aqar.fm/webp/750x0/props/029501536_1780857202236.jpg,1,عبدالعزيز عبيد صالح بن صالح,مكتب عبيد صالح عبدالله بن صالح للعقارات,1,2026-06-07,2026-08-05,2026-08-05,1167,2026-08-23,True,"700,000",False,فيلا
6509134,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-سلطانة/شارع-يزيد-بن-مزيد-حي-سلطانة-مدينة-الرياض-منطقة-الرياض-6509134,"فيلا للبيع في شارع يزيد بن مزيد, حي سلطانة, مدينة الرياض, منطقة الرياض",1400000,560,,,,11,حي سلطانة,الرياض,غرب الرياض,"للبيع فله درج صاله زاويه شارعين 
موقع مميز و مناسب للسكن او التطوير",24.600793,46.69141,https://images.aqar.fm/webp/750x0/props/003465094_1765895053312.jpg | https://images.aqar.fm/webp/750x0/props/003465091_1765984663590.jpg | https://images.aqar.fm/webp/750x0/props/003465095_1765984663598.jpg | https://images.aqar.fm/webp/750x0/props/003465099_1765984663573.jpg | https://images.aqar.fm/webp/750x0/props/003465095_1765984663617.jpg | https://images.aqar.fm/webp/750x0/props/003465095_1765984663618.jpg | https://images.aqar.fm/webp/750x0/props/003465091_1765984663616.jpg | https://images.aqar.fm/webp/750x0/props/003465092_1765984663619.jpg,8,راشد التميمي,مؤسسة مكتب مدار التميز للعقارات,1,2025-12-16,2026-08-19,2026-08-19,2377,2026-08-23,True,"1,400,000",False,فيلا
6489127,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-سلطانة/شارع-غمرة-حي-سلطانة-مدينة-الرياض-منطقة-الرياض-6489127,"فيلا للبيع في شارع غمرة, حي سلطانة, مدينة الرياض, منطقة الرياض",1100000,575,,,,11,حي سلطانة,الرياض,غرب الرياض,"*للبيع فلة بحي سلطانة – الرياض*  

*المساحة:* 575 م²  
*الشارع:* 12 متر  
*عمر العقار:* 40 سنة – *مجددة بالكامل*  
*التصميم:* درج صالة – 3 أدوار  

*تفاصيل الفلة:*  

*الدور الأرضي:*  
- مجلس  
- مقلط  
- صالة واسعة  
- غرفة نوم  
- دورتين  مياه  
- ملاحق خارجية: مجلس خارجي + دورة مياه + جلسة خارجية  
- مطبخ  
- حوش واسع ومدخل سيارات  

*الدور الأول:*  
- 5 غرف نوم (إحداها ماستر)  
- 3 دورات مياه  
- ⁠صالة

*الدور الثاني:*  
- غرفة + دورة مياه + سطح  

فلة مجددة بالكامل – جاهزة للسكن  
*موقع مميز وهادئ في حي سلطانة*  
البيع على شور مع المالك 
مليون و 100 الف",24.599579,46.683309,,,راشد التميمي,مؤسسة مكتب مدار التميز للعقارات,1,2025-12-01,2026-08-19,2026-08-19,2560,2026-08-23,True,"1,100,000",False,فيلا
6624944,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-سلطانة/شارع-عبدالجبار-بن-خورشيد-حي-سلطانة-مدينة-الرياض-منطقة-الرياض-6624944,"فيلا للبيع في شارع عبدالجبار بن خورشيد, حي سلطانة, مدينة الرياض, منطقة الرياض",1150000,380,,5,4,8,حي سلطانة,الرياض,غرب الرياض,"فيلا للبيع
مكون من
9 غرف
2 مطبخ
5 دورة مياه
حوش+مدخل سياره
دخل سنوي 80000 عقد الكتروني 

التواصل 0501528000",24.599183,46.685522,https://images.aqar.fm/webp/750x0/props/004564411_1773516206840.jpg | https://images.aqar.fm/webp/750x0/props/004564413_1773516206882.jpg | https://images.aqar.fm/webp/750x0/props/004564414_1773516206850.jpg | https://images.aqar.fm/webp/750x0/props/004564417_1773516206888.jpg | https://images.aqar.fm/webp/750x0/props/004564419_1773516206903.jpg | https://images.aqar.fm/webp/750x0/props/004564411_1773516206860.jpg | https://images.aqar.fm/webp/750x0/props/004564412_1773516206899.jpg | https://images.aqar.fm/webp/750x0/props/004564417_1773516206922.jpg | https://images.aqar.fm/webp/750x0/props/004564417_1773516340034.jpg | https://images.aqar.fm/webp/750x0/props/004564411_1773516340049.jpg | https://images.aqar.fm/webp/750x0/props/004564414_1773516340087.jpg | https://images.aqar.fm/webp/750x0/props/004564410_1773516339943.jpg | https://images.aqar.fm/webp/750x0/props/004564412_1773516340066.jpg | https://images.aqar.fm/webp/750x0/props/004564411_1773516340051.jpg | https://images.aqar.fm/webp/750x0/props/004564419_1773516340044.jpg | https://images.aqar.fm/webp/750x0/props/004564410_1773516340038.jpg,16,عبدالعزيز محمد,مكتب بحر قزوين للعقارات,1,2026-03-14,2026-08-07,2026-08-07,2011,2026-08-23,True,"1,150,000",False,فيلا
6566210,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-سلطانة/شارع-أراك-حي-سلطانة-مدينة-الرياض-منطقة-الرياض-6566210,"فيلا للبيع في شارع أراك, حي سلطانة, مدينة الرياض, منطقة الرياض",1500000,465,,,,11,حي سلطانة,الرياض,غرب الرياض,"فلة بحي سلطانة في الرياض واجهة شمالية
دورين وشقة علوية مع درجة الصالة ويوجد درج خارجي مستقل
 يوجد ملحق خارجي ومستودع خلفي وبيت شعر واحواش واسعه
الدور الارضي : مقلطين وصالة ومجلس وحمامين وحمام خلفي بالحوش وغرفة جلوس وغرفة طعام

الدور الثاني ثلاث غرف نوم ماستر فيها دورة مياه خاصة وصالة ومطبخ وحمام 

الملحق او الشقة العلوية
يوجد مجلس وصالة وغرفة نوم ومطبخ 

عمر العقار ١٨ سنة
مساحته 467 
باب الفله امام باب المسجد مباشرة 
شارع ١٢ واسع
وموقع قريب من جميع الخدمات📞 للتواصل:
بصمة ثري للتطوير والاستثمار العقاري
📱   ((رقم المعلن يظهر عند التواصل))
📱   ((رقم المعلن يظهر عند التواصل))
📱  ((رقم المعلن يظهر عند التواصل))
📱   ((رقم المعلن يظهر عند التواصل))
   
☎️ 0114972632
✉️ sales@basmathara.com
🌐 www.basmathara.com",24.603773,46.689977,https://images.aqar.fm/webp/750x0/props/050724234_1769611703808.jpg | https://images.aqar.fm/webp/750x0/props/050724232_1769611703925.jpg | https://images.aqar.fm/webp/750x0/props/050724234_1769611704047.jpg | https://images.aqar.fm/webp/750x0/props/050724237_1769611703608.jpg | https://images.aqar.fm/webp/750x0/props/050724230_1769611703721.jpg | https://images.aqar.fm/webp/750x0/props/050724232_1769611703714.jpg | https://images.aqar.fm/webp/750x0/props/050724238_1769611703794.jpg | https://images.aqar.fm/webp/750x0/props/050724234_1769611704011.jpg | https://images.aqar.fm/webp/750x0/props/050724238_1769611704025.jpg | https://images.aqar.fm/webp/750x0/props/050724236_1769611704048.jpg,10,عبدالعزيز عبدالكريم عبدالرحمن المنيعي,مكتب بصمة ثري للتطوير والاستثمار العقاري,1,2026-01-28,2026-08-20,2026-08-20,1646,2026-08-23,True,"1,500,000",False,فيلا
