listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6659053,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-شبرا/شارع-مجاهد-حي-شبرا-مدينة-الرياض-منطقة-الرياض-6659053,"فيلا للبيع في شارع مجاهد, حي شبرا, مدينة الرياض, منطقة الرياض",1400000,389,6,5,2,0,حي شبرا,الرياض,غرب الرياض,"السلام عليكم ورحمه الله وبركاته 
أسعد الله أوقاتكم بكل خير عملائنا الكرام تقدم لكم شركه زوايه الابداع كل ماهوجديد في عالم العقار فيله..دوبلكس

كود3

مساحه 264 متر
وجه شرقيات
شارع 15 متر
السعر مليون 500 قابل للتفاوض 
...ارضي مدخل سياره ملحق خارجي بدوره مياه داخلية مجلس صاله مطبخ كله فاتح ع بعضه 
التاني
أربع غرف نوم منهم اتنين ماستر وصاله 
التالت 
غرفتين وصاله وسطح

تشطيب ممتاز عليها كافه الضمانات من جميع التشطيبات العنوان حي...الزهره 
شغل راقي جدآ عليها اشراف هندسي دقيق ضمان من المالك مباشرة ضمنات سباكه كهرباء عوازل اساسات دهنات لمبات ابواب اقفال خزانات 
ويوجد عروض اخري بمساحات مختلفه واسعار متفاوته يوجد لدينا جميع الحلول التمويليه من البدايه حتي النهايه نسعي دائما لتوفير العقار المناسب 
توفير الدفعه الأولى مجانا 
سداد جميع المديونيات نتعامل مع جميع البنوك والشركات
للتواصل ابو محمد 
0553730651",24.577404,46.67731,https://images.aqar.fm/webp/750x0/props/046058852_1776461178658.jpg | https://images.aqar.fm/webp/750x0/props/046058857_1776461178103.jpg | https://images.aqar.fm/webp/750x0/props/046058853_1776461177834.jpg | https://images.aqar.fm/webp/750x0/props/046058855_1776461177090.jpg | https://images.aqar.fm/webp/750x0/props/046058859_1776461178931.jpg | https://images.aqar.fm/webp/750x0/props/046058851_1776461177086.jpg | https://images.aqar.fm/webp/750x0/props/046058851_1776461177276.jpg | https://images.aqar.fm/webp/750x0/props/046058855_1776461177086.jpg | https://images.aqar.fm/webp/750x0/props/046058851_1776461177260.jpg | https://images.aqar.fm/webp/750x0/props/046058853_1776461177478.jpg | https://images.aqar.fm/webp/750x0/props/046058856_1776461177483.jpg | https://images.aqar.fm/webp/750x0/props/046058854_1776461177646.jpg | https://images.aqar.fm/webp/750x0/props/046058855_1776461177649.jpg | https://images.aqar.fm/webp/750x0/props/046058859_1776461177819.jpg | https://images.aqar.fm/webp/750x0/props/046058855_1776461178002.jpg | https://images.aqar.fm/webp/750x0/props/046058854_1776461178001.jpg | https://images.aqar.fm/webp/750x0/props/046058850_1776461178180.jpg | https://images.aqar.fm/webp/750x0/props/046058850_1776461178360.jpg | https://images.aqar.fm/webp/750x0/props/046058854_1776461178525.jpg | https://images.aqar.fm/webp/750x0/props/046058854_1776461178520.jpg | https://images.aqar.fm/webp/750x0/props/046058859_1776461178658.jpg | https://images.aqar.fm/webp/750x0/props/046058852_1776461178747.jpg,22,وضحى ناشي عفار العتيبي,مؤسسة زوايا الإبداع للتطوير العقاري,1,2026-04-17,2026-07-14,2026-08-23,1817,2026-08-23,True,"1,400,000",False,فيلا
6714070,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-شبرا/شارع-ابن-عبدالله-حي-شبرا-مدينة-الرياض-منطقة-الرياض-6714070,"فيلا للبيع في شارع ابن عبدالله, حي شبرا, مدينة الرياض, منطقة الرياض",2400000,500,,5,2,11,حي شبرا,الرياض,غرب الرياض,"للبيع فيلا 
دور  ارضي مع دور مسروق + شقة  مدخل مستقل
على شارعين شمالي - شرقي
المساحة : 500م
العمر : 24 سنه

الدور الارضي :
مجلسين رجال + مقلط + مجلس نساء + صالة + مطبخين + صالة طعام + غرفة خادمه + 4 دورات مياه + ملحقين خارجيه + مستودع خارجي

الدور الاول :
3 غرف + دورتين مياه + سطح وغرفة خادمه بدورة مياه

دور المستأجر :  
غرفتين + صالة + مجلس + مطبخ + دورتين مياه 

سطح المستأجر : 
غرفة + دورة مياه + سطح صغير

الموقع : مخرج 25 خلف مكتبة جرير

بناء شخصي مالك واحد والفيلا مرممة سابقاً



السوم : مليونين و 250 ألف 

التواصل : 0569671117",24.57262,46.65569,https://images.aqar.fm/webp/750x0/props/004533809_1780253138831.jpg | https://images.aqar.fm/webp/750x0/props/004533803_1780253138833.jpg | https://images.aqar.fm/webp/750x0/props/004533807_1780253138849.jpg | https://images.aqar.fm/webp/750x0/props/004533805_1780253201648.jpg | https://images.aqar.fm/webp/750x0/props/004533808_1780253201648.jpg | https://images.aqar.fm/webp/750x0/props/004533807_1780253201647.jpg | https://images.aqar.fm/webp/750x0/props/004533804_1780253305323.jpg | https://images.aqar.fm/webp/750x0/props/004533807_1780253305254.jpg | https://images.aqar.fm/webp/750x0/props/004533807_1780253305319.jpg | https://images.aqar.fm/webp/750x0/props/004533804_1780253305332.jpg | https://images.aqar.fm/webp/750x0/props/004533801_1780253305320.jpg | https://images.aqar.fm/webp/750x0/props/004533808_1780253305320.jpg | https://images.aqar.fm/webp/750x0/props/004533806_1780253305319.jpg | https://images.aqar.fm/webp/750x0/props/004533804_1780253305330.jpg,14,عبدالعزيز محمد علي الهزاني,,,2026-05-31,2026-07-29,2026-08-21,1836,2026-08-23,True,"2,400,000",False,فيلا
6798043,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-شبرا/شارع-جبل-كويكب-حي-شبرا-مدينة-الرياض-منطقة-الرياض-6798043,"فيلا للبيع في شارع جبل كويكب, حي شبرا, مدينة الرياض, منطقة الرياض",1300000,325,,5,2,11,حي شبرا,الرياض,غرب الرياض,"فيلا حي الزهره 
المساحه 325
على شارعين شماليه 15  غربيه 14
مفصوله 
مؤجره 
الدور الارضي 40 الف 
الدور العلوي 30 الف 

الحد مليون و 300

ارقام التواصل 
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.57378,46.659811,https://images.aqar.fm/webp/750x0/props/017078233_1785439738417.jpg,1,ناصر عبدالله,مكتب راية الوضوح للعقارات,1,2026-07-30,2026-07-30,2026-08-19,918,2026-08-23,True,"1,300,000",False,فيلا
6811576,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-شبرا/شارع-تميم-الدارى-حي-شبرا-مدينة-الرياض-منطقة-الرياض-6811576,"فيلا للبيع في شارع تميم الدارى, حي شبرا, مدينة الرياض, منطقة الرياض",1700000,625,,5,2,11,حي شبرا,الرياض,غرب الرياض,"🏠 فيلا للبيع | حي شبرا – الرياض


📍 تفاصيل العقار

* الموقع: الرياض – حي شبرا
* المساحة: 625 م²
* عرض الشارع: 15 متر
* عمر العقار: 30 سنة
* عدد دورات المياه: 5
* الحالة: فيلا مستخدمة

🏠 تفاصيل الفيلا

الدور الأرضي

* مجلس رجال
* مجلس نساء
* صالتا معيشة
* مطبخ

الدور الأول

* 4 غرف نوم
* صالة واسعة
* مطبخ

الدور الثاني

* جناح خادمة

المرافق

* غرفة سائق

✨ أبرز المميزات

✔️ مساحة كبيرة تناسب العائلات
✔️ توزيع داخلي عملي يوفر الراحة والخصوصية
✔️ صالتان ومطبخان لتلبية احتياجات الأسرة
✔️ موقع مميز في حي شبرا بالرياض
✔️ خيار مناسب للسكن أو الاستثمار

⸻

خدماتنا:

* 🏡 بيع العقارات
* 🔑 تأجير العقارات
* 🏢 إدارة الأملاك
* 🤝 عقود الوساطة العقارية

⸻

📞 للتواصل

(((الرقم يظهر عند الضغط على اتصال)))
(((الرقم يظهر عند الضغط على اتصال)))

🏢  مؤسسة واجهة المستقبل العقارية

واجهة المستقبل العقارية شريكك في الخدمات العقارية، نسعى إلى تقديم حلول احترافية تجمع بين المصداقية والشفافية وجودة الخدمة، لنساعد عملاءنا على اتخاذ قرارات عقارية بثقة لأن العقار الناجح يبدأ مع شريك يضع الثقة والاحترافية في المقدم",24.575317,46.664963,https://images.aqar.fm/webp/750x0/props/013856583_1786212682912.jpg | https://images.aqar.fm/webp/750x0/props/013856589_1786212682926.jpg | https://images.aqar.fm/webp/750x0/props/013856588_1786212682915.jpg | https://images.aqar.fm/webp/750x0/props/013856585_1786212683086.jpg | https://images.aqar.fm/webp/750x0/props/013856582_1786212682928.jpg | https://images.aqar.fm/webp/750x0/props/013856589_1786212682924.jpg | https://images.aqar.fm/webp/750x0/props/013856584_1786212682915.jpg | https://images.aqar.fm/webp/750x0/props/013856580_1786212683055.jpg | https://images.aqar.fm/webp/750x0/props/013856583_1786212705105.jpg | https://images.aqar.fm/webp/750x0/props/013856589_1786212716556.jpg | https://images.aqar.fm/webp/750x0/props/013856580_1786212716422.jpg,11,سعد سعيد محمد الهاجرى,مؤسسة واجهة المستقبل للعقارات,1,2026-08-08,2026-08-08,2026-08-12,624,2026-08-23,True,"1,700,000",False,فيلا
6794542,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-شبرا/شارع-جبل-طويق-حي-شبرا-مدينة-الرياض-منطقة-الرياض-6794542,"فيلا للبيع في شارع جبل طويق, حي شبرا, مدينة الرياض, منطقة الرياض",1800000,500,,,,11,حي شبرا,الرياض,غرب الرياض,"للبيع فيلا دورين مفصولين - فرصة استثمارية وسكنية مميزة بحي شبرا
نقدم لكم هذه الفيلا المميزة بمساحة واسعة وتصميم عملي يمنحك خصوصية تامة.
تفاصيل العقار:
المساحة: 500 متر مربع.
الموقع: حي شبرا .
شارع: عرض 20 متر
عمر العقار: 22 سنة تقريباً.
المميزات الإضافية: عدادين كهرباء مستقلين (استقلالية كاملة لكل دور).
مواصفات (الأراضي ):
مدخل سيارة خاص.
حوش .
مجلس .
مقلط.
صالة .
مطبخ.
3غرف نوم.
3 دورات مياه.
مواصفات (العلوي):
مدخل سيارة خاص.
حوش .
مجلس .
مقلط.
صالة .
مطبخ.
4 غرف نوم.
3 دورات مياه.


كل دور مصمم بشكل مستقل تماماً ليناسب العوائل أو للاستثمار (تأجير الأدوار):

تتميز الفيلا بوقوعها في قلب الخدمات، مما يجعل حياتك أسهل:
القرب من الطرق الرئيسية: سهولة الوصول المباشر للطريق الدائري.
الخدمات التعليمية: قريبة جداً من المدارس.
التسوق : محاطة بجميع الأسواق والمحلات التجارية والخدمات الأساسية.
قريبة من المسجد.",24.582596,46.683339,https://images.aqar.fm/webp/750x0/props/003465092_1785256234463.jpg | https://images.aqar.fm/webp/750x0/props/003465093_1785256234460.jpg | https://images.aqar.fm/webp/750x0/props/003465093_1785256234466.jpg | https://images.aqar.fm/webp/750x0/props/003465098_1785256234469.jpg | https://images.aqar.fm/webp/750x0/props/003465092_1785256234601.jpg | https://images.aqar.fm/webp/750x0/props/003465091_1785256234477.jpg | https://images.aqar.fm/webp/750x0/props/003465096_1785256279076.jpg | https://images.aqar.fm/webp/750x0/props/003465092_1785256278886.jpg,8,راشد التميمي,مؤسسة مكتب مدار التميز للعقارات,1,2026-07-28,2026-07-28,2026-07-28,601,2026-08-23,True,"1,800,000",False,فيلا
6673464,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-شبرا/شارع-فتيان-بن-أحمد-حي-شبرا-مدينة-الرياض-منطقة-الرياض-6673464,"فيلا للبيع في شارع فتيان بن أحمد, حي شبرا, مدينة الرياض, منطقة الرياض",2500000,500,,5,2,11,حي شبرا,الرياض,غرب الرياض,"فيلا للبيع حي شبرا 
مخرج 26
المساحة 500م 
واجهة غربي جنوبي 15م

مكون من:
* الأرضي 
حوش 
غرفه خارجيه
دورة مياه
مجلسين
ومقلط
صاله
مطبخ
دورتين مياه 
مستودع

* الدور الاول 
3غرف نوم منها غرفه ماستر
ودوره مياه 

* الدور الثاني 
غرفتين نوم ودورتين مياه 
وصاله
وسطح


السعر حد  2.500.000ريال

للتواصل مع مكتب العجيب للعقارات 
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.566316,46.64478,https://images.aqar.fm/webp/750x0/props/000129104_1777386480351.jpg | https://images.aqar.fm/webp/750x0/props/000129101_1777386478585.jpg | https://images.aqar.fm/webp/750x0/props/000129109_1777386478627.jpg | https://images.aqar.fm/webp/750x0/props/000129102_1777386478786.jpg | https://images.aqar.fm/webp/750x0/props/000129107_1777386478840.jpg | https://images.aqar.fm/webp/750x0/props/000129106_1777386478991.jpg | https://images.aqar.fm/webp/750x0/props/000129107_1777386479044.jpg | https://images.aqar.fm/webp/750x0/props/000129106_1777386479167.jpg | https://images.aqar.fm/webp/750x0/props/000129102_1777386479180.jpg | https://images.aqar.fm/webp/750x0/props/000129109_1777386479212.jpg | https://images.aqar.fm/webp/750x0/props/000129101_1777386479325.jpg | https://images.aqar.fm/webp/750x0/props/000129105_1777386479333.jpg | https://images.aqar.fm/webp/750x0/props/000129109_1777386479355.jpg | https://images.aqar.fm/webp/750x0/props/000129102_1777386479445.jpg | https://images.aqar.fm/webp/750x0/props/000129106_1777386479625.jpg | https://images.aqar.fm/webp/750x0/props/000129105_1777386479641.jpg | https://images.aqar.fm/webp/750x0/props/000129106_1777386479638.jpg | https://images.aqar.fm/webp/750x0/props/000129102_1777386479687.jpg | https://images.aqar.fm/webp/750x0/props/000129106_1777386479687.jpg | https://images.aqar.fm/webp/750x0/props/000129104_1777386479930.jpg | https://images.aqar.fm/webp/750x0/props/000129104_1777386479911.jpg | https://images.aqar.fm/webp/750x0/props/000129100_1777386479910.jpg | https://images.aqar.fm/webp/750x0/props/000129106_1777386479932.jpg | https://images.aqar.fm/webp/750x0/props/000129106_1777386479947.jpg | https://images.aqar.fm/webp/750x0/props/000129104_1777386480351.jpg | https://images.aqar.fm/webp/750x0/props/000129107_1777386480486.jpg | https://images.aqar.fm/webp/750x0/props/000129103_1777386480485.jpg | https://images.aqar.fm/webp/750x0/props/000129102_1777386480352.jpg | https://images.aqar.fm/webp/750x0/props/000129109_1777386480591.jpg | https://images.aqar.fm/webp/750x0/props/000129106_1777386480732.jpg,30,ناصر عبدالله ناصر العجيب,مؤسسة مكتب ناصر عبدالله العجيب للعقارات,1,2026-04-28,2026-08-22,2026-08-23,2999,2026-08-23,True,"2,500,000",False,فيلا
6579936,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-شبرا/شارع-السهي-حي-شبرا-مدينة-الرياض-منطقة-الرياض-6579936,"فيلا للبيع في شارع السهي, حي شبرا, مدينة الرياض, منطقة الرياض",2950000,625,5,5,2,11,حي شبرا,الرياض,غرب الرياض,"للتميز عنوان 
وعرضنا اليوم ممييز 

* فيلا للبيع 
* المساحة : 625 م 
* الواجهة جنوبية 
تفاصيل الدور الأرضي :
غرفة سائق
  ملحق بدورة مياة
مطبخ خارجي 
غرفة مستودع 
غرفة خادمه بدورة مياة
مجلسين رجال 
المجلس الاول رجال مساحة 5*7
المجلس الثاني رجال مساحة 4*5
مقلط مساحة 7*4
صالة مساحة 9*6
مجلسين نساء 
المجلس الاول نساء مساحة 4*5
المجلس الثاني نساء مساحة 4*4
دورة مياة
غرفة كبار سن مساحة  بدورة مياة 4*5
الدرج على الصالة

* الدور الثاني 
جناح غرفة نوم بمساحة 
غرفة نوم مساحة 
دورة مياة 
الدور الثالث السطح 
غرفة بدورة مياة مساحة 
———
الشقة بدرج مستقل وباب مستقل
مجلس مساحة 
دورة مياة مستقلة 
صالة مفتوحة
غرفتين نوم 
دوره مياة
مطبخ 
الدور الثالث سطح جانبي مستقل
غرفه بدورة مياة

 

لتواصل مع مكتب العجيب للعقارات 
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))",24.569376,46.651311,https://images.aqar.fm/webp/750x0/props/000129101_1783463271695.jpg | https://images.aqar.fm/webp/750x0/props/000129103_1770487733740.jpg | https://images.aqar.fm/webp/750x0/props/000129105_1770487732577.jpg | https://images.aqar.fm/webp/750x0/props/000129102_1770487732932.jpg | https://images.aqar.fm/webp/750x0/props/000129101_1770487733088.jpg | https://images.aqar.fm/webp/750x0/props/000129103_1770487733237.jpg | https://images.aqar.fm/webp/750x0/props/000129102_1770487733412.jpg | https://images.aqar.fm/webp/750x0/props/000129109_1770487733626.jpg | https://images.aqar.fm/webp/750x0/props/000129101_1770487733928.jpg | https://images.aqar.fm/webp/750x0/props/000129101_1770487733938.jpg | https://images.aqar.fm/webp/750x0/props/000129109_1770487734092.jpg | https://images.aqar.fm/webp/750x0/props/000129108_1770487734202.jpg | https://images.aqar.fm/webp/750x0/props/000129106_1770487734363.jpg | https://images.aqar.fm/webp/750x0/props/000129101_1770487734605.jpg | https://images.aqar.fm/webp/750x0/props/000129106_1770487734806.jpg | https://images.aqar.fm/webp/750x0/props/000129100_1770487734945.jpg | https://images.aqar.fm/webp/750x0/props/000129101_1770487735354.jpg | https://images.aqar.fm/webp/750x0/props/000129105_1770487735666.jpg | https://images.aqar.fm/webp/750x0/props/000129100_1770487735774.jpg | https://images.aqar.fm/webp/750x0/props/000129109_1770487735871.jpg | https://images.aqar.fm/webp/750x0/props/000129103_1770487736161.jpg | https://images.aqar.fm/webp/750x0/props/000129107_1770487736428.jpg,22,ناصر عبدالله ناصر العجيب,مؤسسة مكتب ناصر عبدالله العجيب للعقارات,1,2026-02-07,2026-08-01,2026-08-23,3367,2026-08-23,True,"2,950,000",False,فيلا
6771040,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-شبرا/شارع-عمرو-بن-شيبان-حي-شبرا-مدينة-الرياض-منطقة-الرياض-6771040,"فيلا للبيع في شارع عمرو بن شيبان, حي شبرا, مدينة الرياض, منطقة الرياض",1020000,220,5,5,1,0,حي شبرا,الرياض,غرب الرياض,"🏡 **تاون هاوس للبيع | حي شبرا | موقع مميز**

📍 **الموقع:** من أفضل مربعات حي شبرا السكنية، ويبعد حوالي **3 دقائق فقط عن الطريق الدائري**، مع قربه من جميع الخدمات والمرافق الحيوية.

**مواصفات العقار:**

* 📐 تصميم عملي يوفر خصوصية تامة.
* 🚗 مدخل سيارة.
* 🛋️ مجلس رجال.
* 🛋️ صالة واسعة.
* 🍽️ مطبخ.
* 🛏️ غرفة نوم بالدور الأرضي.
* 🌿 ارتداد خلفي مع غرفة غسيل.
* 🪜 درج داخلي.
* 🛏️ الدور الأول: صالة و3 غرف نوم، منها غرفة ماستر.

**مميزات البناء:**
✅ البناء وفق الكود السعودي الجديد.
✅ جميع الضمانات متوفرة.
✅ خزانات مياه مستقلة.
✅ عدادات كهرباء مستقلة.
✅ توزيع احترافي للإضاءة والأفياش الكهربائية.
✅ مساحات مخصصة للغسيل والتخزين.
✅ ارتدادات خارجية تمنح تهوية وإضاءة أفضل.
✅ دورات مياه واسعة مع كراسي مرحاض معلقة.

✨ عقار يجمع بين **الموقع المميز، جودة البناء، وحسن توزيع المساحات**، مما يجعله خيارًا مثاليًا للسكن والاستثمار.

📞 **للتواصل والاستفسار:** أبو فيصل",24.5743,46.65942,https://images.aqar.fm/webp/750x0/props/042529641_1785686453051.jpg | https://images.aqar.fm/webp/750x0/props/042529640_1785686451814.jpg | https://images.aqar.fm/webp/750x0/props/042529645_1785686451952.jpg | https://images.aqar.fm/webp/750x0/props/042529641_1785686452195.jpg | https://images.aqar.fm/webp/750x0/props/042529647_1785686452346.jpg | https://images.aqar.fm/webp/750x0/props/042529640_1785686452497.jpg | https://images.aqar.fm/webp/750x0/props/042529644_1785686452629.jpg | https://images.aqar.fm/webp/750x0/props/042529649_1785686452775.jpg | https://images.aqar.fm/webp/750x0/props/042529641_1785686452915.jpg | https://images.aqar.fm/webp/750x0/props/042529644_1785686453223.jpg | https://images.aqar.fm/webp/750x0/props/042529644_1785686453373.jpg | https://images.aqar.fm/webp/750x0/props/042529640_1785686453513.jpg | https://images.aqar.fm/webp/750x0/props/042529641_1785686453656.jpg | https://images.aqar.fm/webp/750x0/props/042529646_1785686453811.jpg | https://images.aqar.fm/webp/750x0/props/042529642_1785686472694.jpg | https://images.aqar.fm/webp/750x0/props/042529642_1785686472748.jpg | https://images.aqar.fm/webp/750x0/props/042529643_1785686472913.jpg,17,مشاعل دعيرم بن جربوع العتيبي,مؤسسة مكتب بداية جديدة للخدمات العقارية,1,2026-07-12,2026-08-11,2026-08-23,2302,2026-08-23,True,"1,020,000",False,فيلا
6802368,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-شبرا/شارع-يثرب-حي-شبرا-مدينة-الرياض-منطقة-الرياض-6802368,"فيلا للبيع في شارع يثرب, حي شبرا, مدينة الرياض, منطقة الرياض",1390000,389,5,,,0,حي شبرا,الرياض,غرب الرياض,"� فرصة ذهبية لامتلاك عقار يلبي طموحاتك، سواء للسكن أو للاستثمار!
نوفر لك خيارات متعددة بعناية واحترافية:

المساحه: ٢٦٤،٥
الدور الارضي : 
مجلس خارجي
صاله ومجلس ومقلط مفتوحه على بعض 
مطبخ 
حوش امامي يتسع لعدد سيارتين 
حوش خلفي 
الدور الاول :
عدد ٢ غرف نوم ماستر
عدد ٢ غرف نوم بحمام مشترك
صاله
السطح: 
عدد ٢ غرف نوم بحمام مشترك
صاله 
بوفيه
السوم : مليون وخمسميه الف 
الحد : لايوجد


تقديم جميع التسهيلات العقاريه 
امكانية التضامن لزيادة مبلغ التمويل 
سرعة في انجاز المعاملات
⚡️أصول الأملاك طريقك نحو التملك⚡️",24.582358,46.671789,https://images.aqar.fm/webp/750x0/props/005366068_1768230116754.jpg | https://images.aqar.fm/webp/750x0/props/005366067_1768230129755.jpg | https://images.aqar.fm/webp/750x0/props/005366061_1768230596756.jpg | https://images.aqar.fm/webp/750x0/props/005366067_1768230597383.jpg | https://images.aqar.fm/webp/750x0/props/005366061_1768230596672.jpg | https://images.aqar.fm/webp/750x0/props/005366060_1768230596784.jpg | https://images.aqar.fm/webp/750x0/props/005366067_1768230596783.jpg | https://images.aqar.fm/webp/750x0/props/005366060_1768230596764.jpg | https://images.aqar.fm/webp/750x0/props/005366063_1768230596811.jpg | https://images.aqar.fm/webp/750x0/props/005366064_1768230596789.jpg,10,ريم القحطاني,مكتب أصول الاملاك للعقارات,1,2026-08-02,2026-08-02,2026-08-22,233,2026-08-23,True,"1,390,000",False,فيلا
6655308,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-شبرا/شارع-لينة-حي-شبرا-مدينة-الرياض-منطقة-الرياض-6655308,"فيلا للبيع في شارع لينة, حي شبرا, مدينة الرياض, منطقة الرياض",1450000,389,6,5,3,0,حي شبرا,الرياض,غرب الرياض,"بسم ألله الرحمن الرحيم

كوووووود 19

 اسعد الله اوقاتكم بكل خير

 فيلا دوبلكس 

شارع ١٥متر تفتح علي حرف T


تتكون من مدخل سياره وملحق خارجي ومجلس رجال بالمغاسل وصاله كبيره ومطبخ مفتوح علي الصاله وحوش خلفي 
الدور الأول صاله و٤غرف نوم منهم غرفتين ماستر 
الدور الثاني صاله وغرفتين نوم وحمام وسطح كبير

 حي  شبرا

 السعر      ويوجد تسديد جميع  المديونيات داخل البنك وخارجه
   توفير الدفعه بدون فوائد ويوجد جميع الضمانات اللازمة للعقار كل من السباكه والكهرباء والعوازل وخزنات المياه والبايكه ونتعامل مع جميع البنوك داخل المملكه ولدينا جميع الحلول التمويليه اللازمه
 
كوووووود 19",24.576363,46.67563,https://images.aqar.fm/webp/750x0/props/020124842_1776191918558.jpg | https://images.aqar.fm/webp/750x0/props/020124840_1776191918295.jpg | https://images.aqar.fm/webp/750x0/props/020124843_1776191918405.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1776191918439.jpg | https://images.aqar.fm/webp/750x0/props/020124841_1776191918440.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1776191918606.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1776191918710.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1776191918691.jpg | https://images.aqar.fm/webp/750x0/props/020124840_1776191918758.jpg | https://images.aqar.fm/webp/750x0/props/020124845_1776191918852.jpg | https://images.aqar.fm/webp/750x0/props/020124842_1776191918930.jpg | https://images.aqar.fm/webp/750x0/props/020124846_1776191918939.jpg | https://images.aqar.fm/webp/750x0/props/020124847_1776191918999.jpg | https://images.aqar.fm/webp/750x0/props/020124846_1776191919098.jpg,14,جبر لافي عوض العتيبي,مؤسسة اوائل نمار العقارية,1,2026-04-14,2026-08-09,2026-08-20,2554,2026-08-23,True,"1,450,000",False,فيلا
