listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6681660,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-صلاح-الدين/شارع-البرود-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6681660,"فيلا للبيع في شارع البرود, حي الملك سلمان, مدينة الرياض, منطقة الرياض",2812500,375,,1,0,5,حي صلاح الدين,الرياض,شمال الرياض,"فرصة عقارية مميزة – فلتين متجاورتين للبيع (حي الملك سلمان – الرياض)

فلتين متجاورتين بموقع استراتيجي في مخطط 1689
مرتبطة إنشائياً مما يجعلها خيار مثالي للبيع كمجموعة واحدة

🔹 تفاصيل كل فيلا:

المساحة: 375 م²
الأبعاد:
الواجهة: 12.5 متر
العمق: 30 متر
شارع: عرض 12 متر
السعر للفله الواحده : ٢٨١٢٥٠٠

💡 إجمالي المساحة: *750* م²

✨ مميزات العقار:
قريبة جدا من مشروع حديقة الملك سلمان
فلتين متلاصقة ومترابطة إنشائياً (مناسبة لسكن عائلي كبير أو استثمار)
إمكانية استخدامها كوحدة واحدة واسعة
موقع مميز في حي حديث وقريب من الخدمات
فرصة استثمارية لبناء مشروع سكني أو تطوير عقاري

⚠️ مهم:

يفضل البيع للفلتين معاً نظراً لارتباطهما الإنشائي
مع إمكانية النظر في البيع بشكل منفصل حسب الاتفاق
الرجاء التواصل مع المالك مباشرة على الرقم
((الرقم يظهر عند الضغط على اتصال))",24.729374,46.692486,https://images.aqar.fm/webp/750x0/props/026923668_1777904854435.jpg | https://images.aqar.fm/webp/750x0/props/026923662_1777904872373.jpg,2,احمد عثمان محمد زكري,,,2026-05-04,2026-05-04,2026-08-21,505,2026-08-23,True,"2,812,500",False,فيلا
6533329,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-صلاح-الدين/شارع-الشقيق-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6533329,"فيلا للبيع في شارع الشقيق, حي الملك سلمان, مدينة الرياض, منطقة الرياض",5000000,294,5,,,0,حي صلاح الدين,الرياض,شمال الرياض,"| فيلا فخمة جديدة – حي الملك سلمان (حي صلاح الدين سابقاً) 🏡✨
تصميم مودرن • موقع مميز • جاهزة للسكن

📐 مساحة الأرض: 294 م²
🏗️ مساحة البناء: 515 م²
🏢 3 أدوار + روف
🛏️ 5 غرف نوم واسعة (كل غرفة بحمام خاص)

✅ مميزات إضافية:
• مسبح خاص
• مصعد راكب بالكامل
• تكييف مخفي بكامل الفيلا
• تشطيبات عالية الجودة وتصميم داخلي فاخر

📍 قريبة من حديقة الملك سلمان وجامعة الأمير سلطان وجميع الخدمات.

💰 السعر: 5,000,000 ريال



📞 للتواصل:

((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))",24.731199,46.694756,https://images.aqar.fm/webp/750x0/props/011001620_1767540833667.jpg | https://images.aqar.fm/webp/750x0/props/011001628_1767540833631.jpg | https://images.aqar.fm/webp/750x0/props/011001625_1767540833645.jpg | https://images.aqar.fm/webp/750x0/props/011001624_1767540833642.jpg | https://images.aqar.fm/webp/750x0/props/011001624_1767540833629.jpg | https://images.aqar.fm/webp/750x0/props/011001626_1767540833656.jpg | https://images.aqar.fm/webp/750x0/props/011001625_1767540833667.jpg | https://images.aqar.fm/webp/750x0/props/011001629_1767540833635.jpg,8,فاطمه القحطاني,مؤسسة مكتب رؤيتك للعقارات,1,2026-01-04,2026-01-04,2026-08-04,1990,2026-08-23,True,"5,000,000",False,فيلا
6705214,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-صلاح-الدين/شارع-الشقيق-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6705214,"فيلا للبيع في شارع الشقيق, حي الملك سلمان, مدينة الرياض, منطقة الرياض",6000000,588,4,5,5,11,حي صلاح الدين,الرياض,شمال الرياض,"فيلا عمرها 25 سنة 
ممتازة جداً وتحتاج الى صيانة 
المساحة 588م شارع 12 غربي 
قبو صغير عبارة عن مجلس بمدخلين
الدور الأرضي استقبال واسع 
الدور الاول غرفة ماستر كبيرة بها غرفة وصالة 
غرفتين بحمام 
غرفة ماستر 
المجموع 4 غرف نوم
صالة علوية واسعة ومطبخ صغير 
السطح غرفة شغالة بحمام وغرفة غسيل 
مسبح خارجي وحديقة 
غرفة سائق 
التصميم والتشطيب ممتاز
لايوجد مصعد ويوجد مكان مناسب لمن يرغب تركيب المصعد",24.731574,46.694536,https://images.aqar.fm/webp/750x0/props/000513879_1781956031081.jpg | https://images.aqar.fm/webp/750x0/props/000513878_1781956031047.jpg | https://images.aqar.fm/webp/750x0/props/000513872_1781956031035.jpg | https://images.aqar.fm/webp/750x0/props/000513879_1781956031031.jpg | https://images.aqar.fm/webp/750x0/props/000513870_1781956031042.jpg | https://images.aqar.fm/webp/750x0/props/000513874_1781956030890.jpg | https://images.aqar.fm/webp/750x0/props/000513873_1781956031037.jpg | https://images.aqar.fm/webp/750x0/props/000513876_1781956030907.jpg | https://images.aqar.fm/webp/750x0/props/000513874_1781956142129.jpg | https://images.aqar.fm/webp/750x0/props/000513872_1781956141990.jpg | https://images.aqar.fm/webp/750x0/props/000513876_1781956142121.jpg | https://images.aqar.fm/webp/750x0/props/000513873_1781956142127.jpg | https://images.aqar.fm/webp/750x0/props/000513871_1781956142014.jpg | https://images.aqar.fm/webp/750x0/props/000513875_1781956141983.jpg | https://images.aqar.fm/webp/750x0/props/000513875_1781956142117.jpg | https://images.aqar.fm/webp/750x0/props/000513872_1781956141985.jpg | https://images.aqar.fm/webp/750x0/props/000513874_1781956189505.jpg | https://images.aqar.fm/webp/750x0/props/000513870_1781956189508.jpg | https://images.aqar.fm/webp/750x0/props/000513879_1781956189567.jpg | https://images.aqar.fm/webp/750x0/props/000513879_1781956189508.jpg | https://images.aqar.fm/webp/750x0/props/000513879_1781956189507.jpg | https://images.aqar.fm/webp/750x0/props/000513871_1781956189622.jpg,22,رياض بن محمد بن راشد النتيفي,,,2026-05-20,2026-08-15,2026-08-15,685,2026-08-23,True,"6,000,000",False,فيلا
6575431,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-صلاح-الدين/شارع-السدار-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6575431,"فيلا للبيع في شارع السدار, حي الملك سلمان, مدينة الرياض, منطقة الرياض",5400000,540,,,,11,حي صلاح الدين,الرياض,شمال الرياض,$5d,24.737446,46.691932,https://images.aqar.fm/webp/750x0/props/036618311_1770190919277.jpg | https://images.aqar.fm/webp/750x0/props/036618319_1770190919270.jpg | https://images.aqar.fm/webp/750x0/props/036618316_1770190919269.jpg | https://images.aqar.fm/webp/750x0/props/036618312_1770190919261.jpg | https://images.aqar.fm/webp/750x0/props/036618318_1770190919265.jpg | https://images.aqar.fm/webp/750x0/props/036618310_1770190919273.jpg | https://images.aqar.fm/webp/750x0/props/036618315_1770190919271.jpg | https://images.aqar.fm/webp/750x0/props/036618318_1770190919273.jpg,8,نوره محمد,مؤسسة نفيس الأصل العقارية,1,2026-02-04,2026-07-28,2026-08-22,582,2026-08-23,True,"5,400,000",False,فيلا
6586368,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-صلاح-الدين/شارع-الشقيق-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6586368,"فيلا للبيع في شارع الشقيق, حي الملك سلمان, مدينة الرياض, منطقة الرياض",5000000,294,5,,,0,حي صلاح الدين,الرياض,شمال الرياض,"| فيلا فخمة جديدة – حي الملك سلمان (حي صلاح الدين سابقاً) 🏡✨
تصميم مودرن • موقع مميز • جاهزة للسكن

📐 
🏗️ مساحة البناء: 515 م²
🏢 3 أدوار + روف
🛏️ 5 غرف نوم واسعة (كل غرفة بحمام خاص)

✅ مميزات إضافية:
• مسبح خاص
• مصعد راكب بالكامل
• تكييف مخفي بكامل الفيلا
• تشطيبات عالية الجودة وتصميم داخلي فاخر

📍 قريبة من حديقة الملك سلمان وجامعة الأمير سلطان وجميع الخدمات.

💰 السعر: 5,000,000 ريال
..للاستفسار شركة رؤيتك العقاريه (((رقم المعلن يظهر عند التواصل)))",24.731199,46.694756,https://images.aqar.fm/webp/750x0/props/034308212_1770824439492.jpg | https://images.aqar.fm/webp/750x0/props/034308212_1770824439476.jpg | https://images.aqar.fm/webp/750x0/props/034308211_1770824439474.jpg | https://images.aqar.fm/webp/750x0/props/034308218_1770824439476.jpg | https://images.aqar.fm/webp/750x0/props/034308213_1770824439471.jpg | https://images.aqar.fm/webp/750x0/props/034308216_1770824439477.jpg | https://images.aqar.fm/webp/750x0/props/034308210_1770824439476.jpg | https://images.aqar.fm/webp/750x0/props/034308214_1770824439601.jpg,8,فاطمه القحطاني,مؤسسة مكتب رؤيتك للعقارات,1,2026-02-11,2026-08-05,2026-08-22,1145,2026-08-23,True,"5,000,000",False,فيلا
6799488,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-صلاح-الدين/شارع-الأمير-عبدالله-بن-فيصل-بن-عبدالعزيز-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6799488,"فيلا للبيع في شارع الأمير عبدالله بن فيصل بن عبدالعزيز, حي الملك سلمان, مدينة الرياض, منطقة الرياض",4000000,500,6,1,0,11,حي صلاح الدين,الرياض,شمال الرياض,"يوجد عروض اخري لدينا التواصل يوصلك كل العروض 

للبيــــــــع فيلا دور دور شقه مرممه بالكامل  150 أجار قديم
حي صلاح الدين 

المساحه ٥٠٠ عمرها ٢٥ سنه
اطوالها ٢٠ في ٢٥ عمق 

الواجهه 
شرقيه",24.736356,46.690801,https://images.aqar.fm/webp/750x0/props/042569409_1785532843345.jpg,1,فهد بن عبدالله بن فهد الفريح,مؤسسة علي الناصية للمقاولات العامة,1,2026-07-31,2026-07-31,2026-08-23,543,2026-08-23,True,"4,000,000",False,فيلا
6538480,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-صلاح-الدين/شارع-الشقيق-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6538480,"فيلا للبيع في شارع الشقيق, حي الملك سلمان, مدينة الرياض, منطقة الرياض",5000000,294,5,,,0,حي صلاح الدين,الرياض,شمال الرياض,"| Brand-New Luxury Villa – King Salman District (formerly Salah Al-Din) 🏡✨
Modern design • Prime location • Move-in ready

📐 Land area: 294 m²
🏗️ Built-up area: 515 m²
🏢 Layout: 3 floors + rooftop
🛏️ Bedrooms: 5 spacious bedrooms (each with a private bathroom)

✅ Additional features:
• Private swimming pool
• Fully installed passenger elevator
• Concealed A/C throughout the villa
• High-quality finishes and a luxurious interior design

📍 Close to King Salman Park, Prince Sultan University, and all services.

💰 Price: SAR 5,000,000:",24.731199,46.694756,https://images.aqar.fm/webp/750x0/props/011001624_1767857593138.jpg | https://images.aqar.fm/webp/750x0/props/011001629_1767857593127.jpg | https://images.aqar.fm/webp/750x0/props/011001622_1767857593139.jpg | https://images.aqar.fm/webp/750x0/props/011001620_1767857593137.jpg | https://images.aqar.fm/webp/750x0/props/011001625_1767857593129.jpg | https://images.aqar.fm/webp/750x0/props/011001627_1767857593130.jpg | https://images.aqar.fm/webp/750x0/props/011001627_1767857593132.jpg | https://images.aqar.fm/webp/750x0/props/011001629_1767857593132.jpg,8,فاطمه القحطاني,مؤسسة مكتب رؤيتك للعقارات,1,2026-01-08,2026-01-08,2026-08-04,1980,2026-08-23,True,"5,000,000",False,فيلا
6429821,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-صلاح-الدين/شارع-احمد-المرادي-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6429821,"فيلا للبيع في شارع احمد المرادي, حي الملك سلمان, مدينة الرياض, منطقة الرياض",4500000,660,5,5,4,11,حي صلاح الدين,الرياض,شمال الرياض,"للبيع فلة قديمة بقيمة أرض ( حي الملك سلمان )
-تتميز المنطقة بقربها من جميع الطرق الرئيسية
-تتميز كذلك بوجود جميع الخدمات
-منطقة واعدة وخاصة بقربها من حديقة الملك سلمان
-للمطورين ممكن بناء دبلكسين

مخطط رقم : 1689
قطعة : 825
المساحة : 660 م 
الاطوال : 22 م في عمق 30 م
الشارع : 12 غربي
السوم 4 مليون و500 الف 

( شركة الفآل الأمثل للخدمات العقارية)
للتواصل 
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))",24.734057,46.687858,https://images.aqar.fm/webp/750x0/props/001920231_1760841641094.jpg | https://images.aqar.fm/webp/750x0/props/001920233_1760842048612.jpg | https://images.aqar.fm/webp/750x0/props/001920235_1780928569671.jpg | https://images.aqar.fm/webp/750x0/props/001920234_1780928569723.jpg,4,سعيد القحطاني,شركة الفآل الأمثل للخدمات العقارية شخص واحد,1,2025-10-19,2025-10-19,2026-08-18,3983,2026-08-23,True,"4,500,000",False,فيلا
6653567,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-صلاح-الدين/شارع-السدار-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6653567,"فيلا للبيع في شارع السدار, حي الملك سلمان, مدينة الرياض, منطقة الرياض",5400000,540,7,,,11,حي صلاح الدين,الرياض,شمال الرياض,"🏡 فيلا فاخرة للبيع – حي الملك سلمان (صلاح الدين سابقاً)
📐 المساحة: 540 م²
💰 السعر: 5,400,000 ريال


---

✨ مواصفات الفيلا

▪ الدور الأرضي (بالترتيب المطلوب):

🏠 ملحق خارجي
🛋 مجلس كبير جداً
🍽 مقلط استقبال + مقلط إضافي
🛋 صالة كبيرة جداً
🍳 مطبخين (داخلي + خارجي) جاهزين + مطبخ صغير إضافي
🌳 الحوش والحديقة الخارجية
📦 ارتداد خلفي + مستودع
👨‍✈️ غرفة سايق
🚻 4 دورات مياه


---

▪ الدور الأول:

🛏 5 غرف نوم رئيسية واسعة
🛋 صالة مع خدمة مطبخ صغير
🚿 3 دورات مياه


---

▪ الدور الثاني:

🛏 غرفتان نوم
🧺 غرفة غسيل
🚿 دورتا مياه


---

▪ السطح:

🌤 سطح واسع
🪑 جلسة علوية


---

✨ مميزات إضافية:

🏗 الفيلا مجددة بالكامل بتشطيبات ممتازة
🧭 واجهة شرقية
🚗 شارع 12 متر
🚶‍♂️ تبعد دقيقتين مشياً عن طريق الملك عبدالله
🚘 قريبة من طريق الملك عبدالعزيز
🌳 قريبة جداً من حديقة الملك سلمان


---

💵 السعر النهائي للبيع: 5,400,000 ريال",24.737442,46.691961,https://images.aqar.fm/webp/750x0/props/001958267_1776879154394.jpg | https://images.aqar.fm/webp/750x0/props/001958265_1776879165279.jpg | https://images.aqar.fm/webp/750x0/props/001958266_1776879169676.jpg | https://images.aqar.fm/webp/750x0/props/001958265_1776879175797.jpg | https://images.aqar.fm/webp/750x0/props/001958264_1776879182165.jpg | https://images.aqar.fm/webp/750x0/props/001958268_1776879186741.jpg | https://images.aqar.fm/webp/750x0/props/001958262_1776879191016.jpg | https://images.aqar.fm/webp/750x0/props/001958262_1776879195862.jpg | https://images.aqar.fm/webp/750x0/props/001958269_1776879203799.jpg,9,مبارك محبوب مبارك المجادعه,مكتب واحة النفل للعقارات,1,2026-04-13,2026-08-08,2026-08-08,1239,2026-08-23,True,"5,400,000",False,فيلا
6538571,https://sa.aqar.fm/فلل-للبيع/الرياض/شمال-الرياض/حي-صلاح-الدين/شارع-الشقيق-حي-الملك-سلمان-مدينة-الرياض-منطقة-الرياض-6538571,"فيلا للبيع في شارع الشقيق, حي الملك سلمان, مدينة الرياض, منطقة الرياض",5000000,294,5,5,0,0,حي صلاح الدين,الرياض,شمال الرياض,"| فيلا فخمة جديدة – حي الملك سلمان (حي صلاح الدين سابقاً) 🏡✨
تصميم مودرن • موقع مميز • جاهزة للسكن

📐 
🏗️ مساحة البناء: 515 م²
🏢 3 أدوار + روف
🛏️ 5 غرف نوم واسعة (كل غرفة بحمام خاص)

✅ مميزات إضافية:
• مسبح خاص
• مصعد راكب بالكامل
• تكييف مخفي بكامل الفيلا
• تشطيبات عالية الجودة وتصميم داخلي فاخر

📍 قريبة من حديقة الملك سلمان وجامعة الأمير سلطان وجميع الخدمات.

💰 السعر: 5,000,000 ريال
..للاستفسار شركة رؤيتك العقاريه مكتب المونسيه ابو سالم ( ((رقم المعلن يظهر عند التواصل))).
📌 الموقع: https://maps.app.goo.gl/c6mgyB8uyUJ8EjMU9",24.731199,46.694756,https://images.aqar.fm/webp/750x0/props/035658913_1767864013470.jpg | https://images.aqar.fm/webp/750x0/props/035658912_1767864012073.jpg | https://images.aqar.fm/webp/750x0/props/035658917_1767864012239.jpg | https://images.aqar.fm/webp/750x0/props/035658919_1767864012302.jpg | https://images.aqar.fm/webp/750x0/props/035658913_1767864012370.jpg | https://images.aqar.fm/webp/750x0/props/035658916_1767864012424.jpg | https://images.aqar.fm/webp/750x0/props/035658918_1767864012470.jpg | https://images.aqar.fm/webp/750x0/props/035658917_1767864012540.jpg | https://images.aqar.fm/webp/750x0/props/035658915_1767864012557.jpg | https://images.aqar.fm/webp/750x0/props/035658917_1767864012682.jpg | https://images.aqar.fm/webp/750x0/props/035658913_1767864012741.jpg | https://images.aqar.fm/webp/750x0/props/035658915_1767864012769.jpg | https://images.aqar.fm/webp/750x0/props/035658917_1767864012854.jpg | https://images.aqar.fm/webp/750x0/props/035658910_1767864012942.jpg | https://images.aqar.fm/webp/750x0/props/035658912_1767864013004.jpg | https://images.aqar.fm/webp/750x0/props/035658917_1767864013022.jpg | https://images.aqar.fm/webp/750x0/props/035658912_1767864013105.jpg | https://images.aqar.fm/webp/750x0/props/035658911_1767864013200.jpg | https://images.aqar.fm/webp/750x0/props/035658911_1767864013215.jpg | https://images.aqar.fm/webp/750x0/props/035658918_1767864013279.jpg | https://images.aqar.fm/webp/750x0/props/035658910_1767864013376.jpg | https://images.aqar.fm/webp/750x0/props/035658914_1767864013498.jpg | https://images.aqar.fm/webp/750x0/props/035658919_1767864013584.jpg | https://images.aqar.fm/webp/750x0/props/035658916_1767864013680.jpg | https://images.aqar.fm/webp/750x0/props/035658917_1767864013717.jpg,25,فاطمه القحطاني,مؤسسة مكتب رؤيتك للعقارات,1,2026-01-08,2026-01-08,2026-08-22,1768,2026-08-23,True,"5,000,000",False,فيلا
