listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6781225,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ضاحية-نمار/حي-ضاحية-نمار-مدينة-الرياض-منطقة-الرياض-6781225,"فيلا للبيع في حي ضاحية نمار, مدينة الرياض, منطقة الرياض",1100000,375,,2,2,0,حي ضاحية نمار,الرياض,غرب الرياض,"للبيع دور ارضي مؤسس شقق 
مخطط 3020 لوحه 3
مساحه 375
شارع 15 جنوب 
واجهات حجر فاخر
موقع ممتاز جدا وقايم من السكان
يتكون الدور الارضي : 
مشب 
مجلس رجال
مقلط 
دوره مياه 
صاله 
مجلس نساء 
دوره مياه 
مطبخ مع مستودع 
غرفه نوم ماستر 
و غرفتين اطفال 
البناء و التشطيب عليه جميع الضمانات 
وتامين ضد العيوب الخفيه 
البيع مليون و 100 الف 


🔹يسرنا استقبال عروضكم وطلباتكم
🔹نستقبل العروض العقارية من الملاك مباشرة
🔹نستقبل الطلبات من العملاء الباحثين عن عقار
للتواصل عن طريق الرسائل الخاصه او عبر الواتس
رقم التواصل :
ابوفهد / ((الرقم يظهر عند الضغط على اتصال))",24.511274,46.533012,https://images.aqar.fm/webp/750x0/props/006164761_1784478918082.jpg | https://images.aqar.fm/webp/750x0/props/006164767_1784478918067.jpg | https://images.aqar.fm/webp/750x0/props/006164768_1784478918076.jpg,3,خالد العتيبي,مؤسسة أصول التطور,1,2026-07-19,2026-08-17,2026-08-17,1110,2026-08-23,True,"1,100,000",False,فيلا
6730475,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ضاحية-نمار/شارع-نمار-حي-ضاحية-نمار-مدينة-الرياض-منطقة-الرياض-6730475,"فيلا للبيع في شارع نمار, حي ضاحية نمار, مدينة الرياض, منطقة الرياض",1250000,486,6,0,0,0,حي ضاحية نمار,الرياض,غرب الرياض,"للبيع في نمار 3020/دال
فلة دور واحد مؤسس ثلاث شقق
مساحة : 486
شارع : 15 غربي
يتكون من مجلس رجال و مقلط و الداخلي صالة و مطبخ و 3 غرفة نوم
جميع الضمانات موجوده والأرضيات البلاط بورسلان
شغل شخصي
السوم مليون و 150 الف
البيع قريب
مباشر مع المالك
نسعد بخدمتكم في مخططات نمار 3020 بعرض بيع و ايجار عقاراتكم و استقبال طلبات الشراء للاراضي و الفلل و الاستراحات
تفضل بإرسال طلبك او الاتصال على الرقم الظاهر بالإعلان
التواصل : اتصال ، واتساب في اي وقت
ابو الجوهرة (((الرقم يظهر عند الضغط على اتصال)))
ترخيص رقم : 1100025110",24.478921,46.521507,https://images.aqar.fm/webp/750x0/props/035063853_1781304229486.jpg | https://images.aqar.fm/webp/750x0/props/035063856_1781304229481.jpg | https://images.aqar.fm/webp/750x0/props/035063858_1781304229482.jpg | https://images.aqar.fm/webp/750x0/props/035063857_1781304229396.jpg,4,سامي مشحن عامر المطيري,,,2026-06-12,2026-08-10,2026-08-22,705,2026-08-23,True,"1,250,000",False,فيلا
6831693,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ضاحية-نمار/حي-ضاحية-نمار-مدينة-الرياض-منطقة-الرياض-6831693,"فيلا للبيع في حي ضاحية نمار, مدينة الرياض, منطقة الرياض",400000,375,3,0,0,0,حي ضاحية نمار,الرياض,غرب الرياض,"فله للبيع .. 

نمار 2030 مخطط 3  
رقم الارض 11030
بالقرب من الدائري 
شارع 20 شرقي 
المساحة 375 

 
ومجزء ثلاث ادوار كل دور مستقل . 
*ملاحظة * ب الامكان دمجها في صك واحد 
يوجد جميع الضمانات من سباكة وكهرباء ويوجد مقاطع وصور لجميع مراحل الانشاء والتشطيب . 
الابواب جميعها WBC ضمان 15 سنوات 
النوافذ جميعها دبل 
سخانات المطابخ ودورات المياه جميعها مخفي 
المغاسل رخام طبيعي 
* يوجد شهادة عزل 
* ⁠يوجد شهادة اشراف مكتب هندسي 
* ⁠ يوجد شهادة اتمام بناء

3 - خزانات ماء ارضيه 
3- خزانات ماء علوية
3 - عدادات كهرباء

الدور الارضي : سعره 750000
الدور العلوي سعره : 700000
الشقة سعرها :400000",24.492426,46.524236,https://images.aqar.fm/webp/750x0/props/024643969_1787163647036.jpg | https://images.aqar.fm/webp/750x0/props/024643962_1787163646989.jpg | https://images.aqar.fm/webp/750x0/props/024643966_1787163647020.jpg | https://images.aqar.fm/webp/750x0/props/024643967_1787163647010.jpg | https://images.aqar.fm/webp/750x0/props/024643969_1787163646916.jpg | https://images.aqar.fm/webp/750x0/props/024643967_1787163646911.jpg | https://images.aqar.fm/webp/750x0/props/024643967_1787163646905.jpg,7,موضي سعد,,,2026-08-19,2026-08-19,2026-08-19,198,2026-08-23,True,"400,000",False,فيلا
6705775,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ضاحية-نمار/حي-ضاحية-نمار-مدينة-الرياض-منطقة-الرياض-6705775,"فيلا للبيع في حي ضاحية نمار, مدينة الرياض, منطقة الرياض",1300000,450,6,1,0,2,حي ضاحية نمار,الرياض,غرب الرياض,"🔴🔴 للبيع 
نمار ٣٠٢٠ مخطط  ل 
قريبة من الدايري الجديد 
شارع عشرين جنوبي ممهد

دور أرضي مؤسس دور ثاني وشقة
 مساحة ٤٥٠

تشطيب ديلوكس أسقف ارتفاع ٤ متر 

ملحق خارجي 
مدخل سيارة 
حوش 

مجلس رجال  و مقلط مع دورة مياه الرجال

صالة واسعة مع دورة مياة للنساء 
مطبخ ومستودع 
غرفتين نوم ماستر 
و غرفة نوم ثالثة

غرفة خادمة مع حمامها

غرفة غسيل 

 جميع الضمانات عليها
معه شهادة إتمام بناء
البيــــــــع مليون 300
كاش
من المالك مباشر",24.507011,46.463232,https://images.aqar.fm/webp/750x0/props/029796063_1779290528806.jpg | https://images.aqar.fm/webp/750x0/props/029796060_1779290528971.jpg | https://images.aqar.fm/webp/750x0/props/029796067_1779290528981.jpg,3,جواهر ال سعيد,مكتب ريحانة نجد للعقارات,1,2026-05-20,2026-06-18,2026-08-23,1516,2026-08-23,True,"1,300,000",False,فيلا
6783930,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ضاحية-نمار/شارع-عاقر-حي-ضاحية-نمار-مدينة-الرياض-منطقة-الرياض-6783930,"فيلا للبيع في شارع عاقر, حي ضاحية نمار, مدينة الرياض, منطقة الرياض",800,375,,5,1,0,حي ضاحية نمار,الرياض,غرب الرياض,"للبيع دورين وشقه مساحة 375 عليها ضمانات وشهادة اتمام بناء وتأمين وبناء شخصي وكل وحده بصك مستقل الدور الارضي٣غرف ماستر وصاله ومجلس ومقلط ومطبخ وملحق
الدور الاول 
غرفتين ماستر وغرفه ثالثه مجلس مقلط صاله مطبخ مع مستودع
الشقه
٣غرف وصاله ومطبخ مع سطح جهتين
الدور الاول 750
الدور الثاني 600
الشقه450
((الرقم يظهر عند الضغط على اتصال))",24.508033,46.531505,https://images.aqar.fm/webp/750x0/props/009854179_1784704905534.jpg | https://images.aqar.fm/webp/750x0/props/009854175_1784704905674.jpg | https://images.aqar.fm/webp/750x0/props/009854178_1784704905676.jpg | https://images.aqar.fm/webp/750x0/props/009854177_1784704905670.jpg | https://images.aqar.fm/webp/750x0/props/009854179_1784704905706.jpg | https://images.aqar.fm/webp/750x0/props/009854171_1784704905795.jpg | https://images.aqar.fm/webp/750x0/props/009854170_1784704905898.jpg | https://images.aqar.fm/webp/750x0/props/009854170_1784704905925.jpg | https://images.aqar.fm/webp/750x0/props/009854175_1784704905960.jpg | https://images.aqar.fm/webp/750x0/props/009854173_1784704906079.jpg | https://images.aqar.fm/webp/750x0/props/009854178_1784704906115.jpg | https://images.aqar.fm/webp/750x0/props/009854170_1784704906256.jpg | https://images.aqar.fm/webp/750x0/props/009854179_1784704906280.jpg | https://images.aqar.fm/webp/750x0/props/009854170_1784704906350.jpg | https://images.aqar.fm/webp/750x0/props/009854173_1784704906479.jpg | https://images.aqar.fm/webp/750x0/props/009854179_1784704906585.jpg | https://images.aqar.fm/webp/750x0/props/009854170_1784704906665.jpg | https://images.aqar.fm/webp/750x0/props/009854174_1784704906687.jpg | https://images.aqar.fm/webp/750x0/props/009854173_1784704906750.jpg | https://images.aqar.fm/webp/750x0/props/009854176_1784704906880.jpg | https://images.aqar.fm/webp/750x0/props/009854178_1784704906962.jpg,21,خالد بن دحيم بن نايم العتيبي ,,,2026-07-21,2026-08-19,2026-08-23,1086,2026-08-23,True,800,False,فيلا
6424749,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ضاحية-نمار/حي-ضاحية-نمار-مدينة-الرياض-منطقة-الرياض-6424749,"فيلا للبيع في حي ضاحية نمار, مدينة الرياض, منطقة الرياض",1150000,287,6,7,3,0,حي ضاحية نمار,الرياض,غرب الرياض,"فلل أوركيد 5 – غرب الرياض (حي المها)

مشروع سكني فاخر بتصاميم حديثة وجودة بناء عالية تحت إشراف هندسي متكامل، مع ضمانات معتمدة على الهيكل، السباكة، والكهرباء.
الفلل تتميز بـ تشطيبات فاخرة، مساحات واسعة، وتأسيس مصعد لكل وحدة، لتمنحك تجربة سكن تجمع بين الراحة والفخامة والخصوصية.
الموقع استراتيجي قريب من أهم الطرق والخدمات الحيوية، ما يجعله خيارًا مثاليًا للعائلات الباحثة عن بيت العمر في بيئة راقية وآمنة.

📞 للحجز والاستفسار:
  –   –   –   –",24.495478,46.615269,https://images.aqar.fm/webp/750x0/props/048467953_1760513536331.jpg | https://images.aqar.fm/webp/750x0/props/048467958_1760513442324.jpg | https://images.aqar.fm/webp/750x0/props/048467950_1760513442325.jpg | https://images.aqar.fm/webp/750x0/props/048467952_1760513651295.jpg | https://images.aqar.fm/webp/750x0/props/048467952_1760513536322.jpg | https://images.aqar.fm/webp/750x0/props/048467951_1760513861985.jpg | https://images.aqar.fm/webp/750x0/props/048467957_1760513861992.jpg | https://images.aqar.fm/webp/750x0/props/048467950_1760513861986.jpg | https://images.aqar.fm/webp/750x0/props/048467955_1760513861987.jpg | https://images.aqar.fm/webp/750x0/props/048467958_1760513861985.jpg | https://images.aqar.fm/webp/750x0/props/048467954_1760513861987.jpg | https://images.aqar.fm/webp/750x0/props/048467956_1760513861996.jpg | https://images.aqar.fm/webp/750x0/props/048467954_1760513861988.jpg | https://images.aqar.fm/webp/750x0/props/048467958_1760513861994.jpg | https://images.aqar.fm/webp/750x0/props/048467956_1760513861989.jpg | https://images.aqar.fm/webp/750x0/props/048467956_1760513862009.jpg | https://images.aqar.fm/webp/750x0/props/048467953_1760513862003.jpg | https://images.aqar.fm/webp/750x0/props/048467958_1760513861990.jpg | https://images.aqar.fm/webp/750x0/props/048467952_1760513861988.jpg | https://images.aqar.fm/webp/750x0/props/048467950_1760513862034.jpg | https://images.aqar.fm/webp/750x0/props/048467950_1760513862025.jpg | https://images.aqar.fm/webp/750x0/props/048467957_1760513862046.jpg | https://images.aqar.fm/webp/750x0/props/048467958_1760513862041.jpg | https://images.aqar.fm/webp/750x0/props/048467953_1760514043114.jpg | https://images.aqar.fm/webp/750x0/props/048467951_1760514043112.jpg | https://images.aqar.fm/webp/750x0/props/048467954_1760514043113.jpg | https://images.aqar.fm/webp/750x0/props/048467958_1760514043113.jpg | https://images.aqar.fm/webp/750x0/props/048467956_1760514043114.jpg | https://images.aqar.fm/webp/750x0/props/048467954_1760514043116.jpg | https://images.aqar.fm/webp/750x0/props/048467957_1760514043113.jpg | https://images.aqar.fm/webp/750x0/props/048467959_1760514043122.jpg | https://images.aqar.fm/webp/750x0/props/048467950_1760514043137.jpg | https://images.aqar.fm/webp/750x0/props/048467951_1760514043138.jpg | https://images.aqar.fm/webp/750x0/props/048467958_1760514043141.jpg | https://images.aqar.fm/webp/750x0/props/048467958_1760514043172.jpg | https://images.aqar.fm/webp/750x0/props/048467951_1760514043141.jpg | https://images.aqar.fm/webp/750x0/props/048467955_1760514043123.jpg | https://images.aqar.fm/webp/750x0/props/048467956_1760514043164.jpg | https://images.aqar.fm/webp/750x0/props/048467956_1760514043166.jpg | https://images.aqar.fm/webp/750x0/props/048467958_1760514043166.jpg | https://images.aqar.fm/webp/750x0/props/048467950_1760514043173.jpg | https://images.aqar.fm/webp/750x0/props/048467958_1760514043153.jpg | https://images.aqar.fm/webp/750x0/props/048467956_1760514043179.jpg | https://images.aqar.fm/webp/750x0/props/048467953_1760514043176.jpg | https://images.aqar.fm/webp/750x0/props/048467958_1760514043178.jpg | https://images.aqar.fm/webp/750x0/props/048467951_1760514043178.jpg | https://images.aqar.fm/webp/750x0/props/048467956_1760514043176.jpg | https://images.aqar.fm/webp/750x0/props/048467957_1760514043207.jpg | https://images.aqar.fm/webp/750x0/props/048467952_1760514043218.jpg,49,حسين بن علي,مكتب شموخ نجد للعقارات,1,2025-10-15,2025-10-15,2026-08-15,1078,2026-08-23,True,"1,150,000",False,فيلا
6699747,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ضاحية-نمار/شارع-أم-مدح-حي-ضاحية-نمار-مدينة-الرياض-منطقة-الرياض-6699747,"فيلا للبيع في شارع أم مدح, حي ضاحية نمار, مدينة الرياض, منطقة الرياض",820000,295,7,5,1,0,حي ضاحية نمار,الرياض,غرب الرياض,"للبيع تاون هاوس جديد بضاحيه نمار
يتكون من :
الدور الأرضي 
حوش بمدخل سياره + مشب+مجلس رجال بدوره مياه + مقلط+ صاله + مطبخ + مستودع+مجلس نساء+غرفتين  واحده فيهم ماستر+دورتين مياه
الدور العلوي
غرفتين نوم + غرفه غسيل + دورة مياه

دليل النهضة العقارية 

0533725888 - 0532242888 - 0504815888",24.510258,46.524558,https://images.aqar.fm/webp/750x0/props/048269423_1778950734467.jpg | https://images.aqar.fm/webp/750x0/props/048269422_1778950895937.jpg | https://images.aqar.fm/webp/750x0/props/048269423_1778950895887.jpg | https://images.aqar.fm/webp/750x0/props/043370003_1778952255180.jpg | https://images.aqar.fm/webp/750x0/props/043370004_1778952255121.jpg | https://images.aqar.fm/webp/750x0/props/043370007_1778952255126.jpg | https://images.aqar.fm/webp/750x0/props/043370006_1778952255182.jpg | https://images.aqar.fm/webp/750x0/props/043370002_1778952255192.jpg | https://images.aqar.fm/webp/750x0/props/043370000_1778952255110.jpg | https://images.aqar.fm/webp/750x0/props/043370007_1778952255177.jpg | https://images.aqar.fm/webp/750x0/props/043370008_1778952255141.jpg | https://images.aqar.fm/webp/750x0/props/043370007_1778952272268.jpg | https://images.aqar.fm/webp/750x0/props/043370001_1778952272292.jpg | https://images.aqar.fm/webp/750x0/props/043370006_1778952272276.jpg | https://images.aqar.fm/webp/750x0/props/043370007_1778952272204.jpg | https://images.aqar.fm/webp/750x0/props/043370007_1778952272277.jpg | https://images.aqar.fm/webp/750x0/props/043370007_1778952272270.jpg | https://images.aqar.fm/webp/750x0/props/043370000_1778952272269.jpg | https://images.aqar.fm/webp/750x0/props/043370000_1778952272214.jpg | https://images.aqar.fm/webp/750x0/props/043370009_1778952281871.jpg | https://images.aqar.fm/webp/750x0/props/043370004_1778952281868.jpg | https://images.aqar.fm/webp/750x0/props/043370004_1778952281775.jpg | https://images.aqar.fm/webp/750x0/props/043370000_1778952281857.jpg | https://images.aqar.fm/webp/750x0/props/043370002_1778952281866.jpg | https://images.aqar.fm/webp/750x0/props/043370002_1778952281859.jpg | https://images.aqar.fm/webp/750x0/props/043370004_1778952281862.jpg,26,غيث باوزير,شركة دليل النهضة العقارية,1,2026-05-16,2026-08-12,2026-08-23,1808,2026-08-23,True,"820,000",False,فيلا
6652929,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ضاحية-نمار/شارع-وادي-فاطمة-حي-ضاحية-نمار-مدينة-الرياض-منطقة-الرياض-6652929,"فيلا للبيع في شارع وادي فاطمة, حي ضاحية نمار, مدينة الرياض, منطقة الرياض",1250000,230,6,4,1,0,حي ضاحية نمار,الرياض,غرب الرياض,"فله للبيع في مخطط 3020 
المساحه 230 م 
شارعين 20 و 20 
مقابل مسجد لا يوجد عليها رهن 
اوراقها كامله وجاهزه 
الدور الارضي مشب ومقلط وصاله كبيره ومطبخ 
ودورتين مياه 
الدور الاول كامل غرف نوم 
غرفتين نوم ماستر 
وغرفتين نوم حمام مشترك 
والملحق الاخير غرفه نوم ودوره مياه 
مووقع ممتاز ومتوفر جميع الخدمات 
السعر 1250000",24.526636,46.534371,https://images.aqar.fm/webp/750x0/props/032501333_1776079288005.jpg | https://images.aqar.fm/webp/750x0/props/032501335_1776079323006.jpg | https://images.aqar.fm/webp/750x0/props/032501330_1776079323003.jpg | https://images.aqar.fm/webp/750x0/props/032501339_1776079323022.jpg | https://images.aqar.fm/webp/750x0/props/032501337_1776079323052.jpg | https://images.aqar.fm/webp/750x0/props/032501338_1776079323049.jpg | https://images.aqar.fm/webp/750x0/props/032501338_1776079323044.jpg | https://images.aqar.fm/webp/750x0/props/032501335_1776079323046.jpg | https://images.aqar.fm/webp/750x0/props/032501338_1776079323061.jpg | https://images.aqar.fm/webp/750x0/props/032501336_1776079347027.jpg | https://images.aqar.fm/webp/750x0/props/032501332_1776079347026.jpg | https://images.aqar.fm/webp/750x0/props/032501335_1776079347071.jpg | https://images.aqar.fm/webp/750x0/props/032501334_1776079347075.jpg | https://images.aqar.fm/webp/750x0/props/032501330_1776079347085.jpg | https://images.aqar.fm/webp/750x0/props/032501335_1776079347078.jpg | https://images.aqar.fm/webp/750x0/props/032501333_1776079347082.jpg | https://images.aqar.fm/webp/750x0/props/032501339_1776079347104.jpg | https://images.aqar.fm/webp/750x0/props/032501333_1776079371420.jpg | https://images.aqar.fm/webp/750x0/props/032501337_1776079371426.jpg | https://images.aqar.fm/webp/750x0/props/032501338_1776079371436.jpg | https://images.aqar.fm/webp/750x0/props/032501338_1776079371494.jpg | https://images.aqar.fm/webp/750x0/props/032501336_1776079371428.jpg | https://images.aqar.fm/webp/750x0/props/032501336_1776079371493.jpg,23,ريان سليمان بن عمر الخراشي,شركة همم الخليج العقارية شركة شخص واحد,1,2026-04-13,2026-08-07,2026-08-07,482,2026-08-23,True,"1,250,000",False,فيلا
6794176,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ضاحية-نمار/حي-ضاحية-نمار-مدينة-الرياض-منطقة-الرياض-6794176,"فيلا للبيع في حي ضاحية نمار, مدينة الرياض, منطقة الرياض",1250000,377,6,,,0,حي ضاحية نمار,الرياض,غرب الرياض,"دبلكس للبيع
الارضي مجلس مع حمام  مغاسل مقلط صاله…غرفة كبار سن مع حمام  مطبخ
 الدور  الاول غرفتين ماستر غرفتين نوم مع حمام صاله
 
الملحق غرفه شغاله...مع حمام غرفه غسيل صاله مؤسس مصعد

المساحه ٢٣٠
شارع ١٥
للتواصل ((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.490553,46.510899,https://images.aqar.fm/webp/750x0/props/013500391_1785235427650.jpg | https://images.aqar.fm/webp/750x0/props/013500391_1785235427542.jpg | https://images.aqar.fm/webp/750x0/props/013500390_1785235427573.jpg | https://images.aqar.fm/webp/750x0/props/013500399_1785235427601.jpg | https://images.aqar.fm/webp/750x0/props/013500392_1785235427650.jpg,5,فهد هديبان متعب الحربي,شركة أبراج القدية للخدمات العقارية,1,2026-07-28,2026-07-28,2026-08-17,352,2026-08-23,True,"1,250,000",False,فيلا
6707869,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ضاحية-نمار/شارع-عيد-بن-محمد-الانصاري-حي-ضاحية-نمار-مدينة-الرياض-منطقة-الرياض-6707869,"فيلا للبيع في شارع عيد بن محمد الانصاري, حي ضاحية نمار, مدينة الرياض, منطقة الرياض",1100000,312,4,5,2,2,حي ضاحية نمار,الرياض,غرب الرياض,"للبيع فيلا  دورين ونص نمار 3020 مخطط واو
 شارع 20 غربي يقع على مواقف ومرفق 
المساحه 216 متر 
الدور الأرضي مجلس ومقلط صاله مطبخ غرفه سايق مدخل سياره 
الدور الاول ثلاث غرف نوم صاله فيه غرفه ماستر بخدماتها 
الدور الثاني غرفه نوم بخدماتها 
الدور الثاني غرف نوم بخدماتها غرفه شغاله بحمام غرفه غسيل ملابس ثلاثه سطوح
 حد البيع مليون و ١٠٠",24.495457,46.480952,https://images.aqar.fm/webp/750x0/props/032314708_1780251118941.jpg,1,فايز الاحمري,شركة السهم الفضي للعقارات,1,2026-05-22,2026-08-18,2026-08-19,1201,2026-08-23,True,"1,100,000",False,فيلا
