listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6674034,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-رقم-249-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6674034,"فيلا للبيع في شارع رقم 249, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",2000000,300,7,5,2,5,حي ظهرة لبن,الرياض,غرب الرياض,"فيلا مساحة 300 م 
العمر 5 سنوات تقريباً 
على شارعين 

مكونه من دور درج داخلي + شقة جانبية 


البيع 2 مليون 


السالم للعقار 
0557202646",24.618813,46.510701,https://images.aqar.fm/webp/750x0/props/008962410_1777403581491.jpg | https://images.aqar.fm/webp/750x0/props/008962417_1777403581490.jpg | https://images.aqar.fm/webp/750x0/props/008962419_1777403609474.jpg | https://images.aqar.fm/webp/750x0/props/008962414_1777403609466.jpg | https://images.aqar.fm/webp/750x0/props/008962419_1777403609475.jpg | https://images.aqar.fm/webp/750x0/props/008962412_1777403609467.jpg,6,فيحاء معيبد,مكتب ركن السالم للعقار,1,2026-04-28,2026-07-25,2026-07-28,1028,2026-08-23,True,"2,000,000",False,فيلا
6535017,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-رقم-140-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6535017,"فيلا للبيع في شارع رقم 140, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",1800000,200,5,5,2,0,حي ظهرة لبن,الرياض,غرب الرياض,"*نـسق لبن للعقــار*

📍 الموقع: ظهرة لبن – موقع مميز قريب من جميع الخدمات
📐 المساحة: 200م
✨ المواصفات:
	•	واجهة أنيقة وتصميم حديث
	•	مجلس رجال مع دورة مياه
	•	صالة واسعة ومطبخ مؤسس مصعد 
	•	غرف نوم فسيحة مع دورات مياه خاصة
	•	سطح مع غرفة خادمة
	•	مدخل سيارة

📞 للتواصل:
*ابو نايف العصيمي | *نسق لبن للعقار* 
📲 [ ((رقم المعلن يظهر عند التواصل)) ]

🏠 نسق لبن للعقار — نرتقي بخدماتنا لتجد بيتك المثالي",24.610011,46.51857,https://images.aqar.fm/webp/750x0/props/049664582_1767632141571.jpg | https://images.aqar.fm/webp/750x0/props/049664587_1767632141561.jpg | https://images.aqar.fm/webp/750x0/props/049664586_1767632171408.jpg | https://images.aqar.fm/webp/750x0/props/049664589_1767632171438.jpg | https://images.aqar.fm/webp/750x0/props/049664587_1767632188415.jpg | https://images.aqar.fm/webp/750x0/props/049664585_1767632197157.jpg | https://images.aqar.fm/webp/750x0/props/049664584_1767632204992.jpg | https://images.aqar.fm/webp/750x0/props/049664585_1767632205004.jpg | https://images.aqar.fm/webp/750x0/props/049664580_1767632241185.jpg | https://images.aqar.fm/webp/750x0/props/049664584_1767632241169.jpg | https://images.aqar.fm/webp/750x0/props/049664583_1767632241165.jpg | https://images.aqar.fm/webp/750x0/props/049664584_1767632241181.jpg | https://images.aqar.fm/webp/750x0/props/049664588_1767632241183.jpg,13,امال العتيبي,مؤسسة نسق لبن للعقار,1,2026-01-05,2026-01-05,2026-07-29,746,2026-08-23,True,"1,800,000",False,فيلا
6559120,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-جبل-الحسي-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6559120,"فيلا للبيع في شارع جبل الحسي, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",4000000,600,5,,,3,حي ظهرة لبن,الرياض,غرب الرياض,"فيلا ""شبه جديدة"" بمساحة 600م - سكن واستثمار 

حالة العقار: مستخدمة لمدة سنتين فقط (بناء حديث، وتشطيبات عصرية ومضمونة من عيوب التأسيس).

نظام الفيلا: درج داخلي + يوجد شقتين (للاستثمار).
مساحة الفيلا 600م ومستعملة لمدة سنتين:

تفاصيل الفيلا:
يتكون من ملحق خارجي و مجلس وصالة طعام وصالة عائلية يضم الدور العلوي 5 غرف نوم 

و 7 دورات مياه 

الشقق الإضافية: يوجد شقتان بمدخل مستقل 

المساحة الخارجية: تشمل حوشاً يتسع لعدة سيارات، وملحق خارجي. 

مميزات الفيلا بناءً على عمرها:
الحالة: يُعتبر عمرها سنتين حديثاً نسبياً، مما يعني أن البناء والتشطيبات لا تزال في حالة جيدة.",24.613472,46.515318,https://images.aqar.fm/webp/750x0/props/027286036_1769189824162.jpg | https://images.aqar.fm/webp/750x0/props/027286032_1769189829873.jpg | https://images.aqar.fm/webp/750x0/props/027286033_1769189837999.jpg | https://images.aqar.fm/webp/750x0/props/027286030_1769189837981.jpg | https://images.aqar.fm/webp/750x0/props/027286037_1769189837989.jpg | https://images.aqar.fm/webp/750x0/props/027286032_1769189837996.jpg | https://images.aqar.fm/webp/750x0/props/027286032_1769189838031.jpg | https://images.aqar.fm/webp/750x0/props/027286035_1769189838080.jpg | https://images.aqar.fm/webp/750x0/props/027286036_1769189850084.jpg | https://images.aqar.fm/webp/750x0/props/027286031_1769189850085.jpg | https://images.aqar.fm/webp/750x0/props/027286037_1769189850088.jpg | https://images.aqar.fm/webp/750x0/props/027286032_1769189850074.jpg,12,يوسف جهز محمد العتيبي,شركة نوس العقارية شركة شخص واحد,1,2026-01-23,2026-01-23,2026-08-22,162,2026-08-23,True,"4,000,000",False,فيلا
6649286,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-رقم-339-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6649286,"فيلا للبيع في شارع رقم 339, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",3000000,450,7,,,0,حي ظهرة لبن,الرياض,غرب الرياض,"للبيع فيلا بحي ظهرة لبن 
شارع ،20غربي 
المساحه 450م
الدور الأرضي :
مسبح
غرفة سائق
مجلس خارجي 
مجلس داخلي
مقلط
غرفة كبار سن 
صالة 
مجلس نسائي
مطبخ مع مستودع
غرفة خادمة 
غرفة غسيل
راكب مطبخين 
الدور الارضي 
والاول 
الدور الأول:
غرفة ماستر مع غرفة ملابس
٣ غرفة نوم
صالة

الملحق:
صالة 
غرفتين
مستودع 
سطح


الفلة بناء شخصي
مطبخ مفصل مع مكيف كاست
غرف الاستقبال مكيف دكت
البيت دخول ذكي 
وانارة ذكية تم تأسيسها

البيع كاش
الحد ٣ مليون و٥٠٠
نعتذر الموقع غير دقيق 
الموقع قريب 
المالك ساكن في الفيلا 
والفيلات جديده",24.61266,46.516337,https://images.aqar.fm/webp/750x0/props/049921448_1775831316290.jpg,1,جواهر ال سعيد,مكتب ريحانة نجد للعقارات,1,2026-04-10,2026-07-06,2026-08-17,151,2026-08-23,True,"3,000,000",False,فيلا
6634405,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-النخل-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6634405,"فيلا للبيع في شارع النخل, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",2000000,250,,7,3,0,حي ظهرة لبن,الرياض,غرب الرياض,"فيلا دوبلكس للبيع + شقة بمدخل خاص | ظهرة لبن
فرصة مميزة لامتلاك فيلا دوبلكس بتصميم عصري + شقة مستقلة (مناسبة للاستثمار أو التأجير) 👌
🔹 المساحة: 250 م²
💰 السعر: 2,000,000 ريال
🔹 تفاصيل الفيلا:
الدور الأرضي:
مدخل سيارة
مجلس رجال + مغاسل + دورة مياه
مقلط
صالة واسعة
مجلس نساء + مغاسل + دورة مياه
مطبخ
غرفة غسيل
درج داخلي
الدور الأول:
صالة + مغاسل + دورة مياه
غرفتين نوم ماستر
غرفتين نوم عادية
🔹 تفاصيل الشقة (مدخل خاص):
مدخل مستقل
مجلس رجال + مغاسل + دورة مياه
صالة
غرفة نوم
مطبخ
سطح خاص
🔹 المميزات:
تصميم عملي يناسب العائلات
شقة مستقلة بعائد استثماري ممتاز
توزيع ذكي للمساحات
موقع مميز وقريب من الخدمات
📞 للتواصل: (0550530425)",24.622602,46.541469,https://images.aqar.fm/webp/750x0/props/049967841_1774784341962.jpg | https://images.aqar.fm/webp/750x0/props/049967842_1774784341949.jpg | https://images.aqar.fm/webp/750x0/props/049967848_1774784341957.jpg | https://images.aqar.fm/webp/750x0/props/049967840_1774784341958.jpg | https://images.aqar.fm/webp/750x0/props/049967849_1774784341956.jpg | https://images.aqar.fm/webp/750x0/props/049967842_1774784341957.jpg | https://images.aqar.fm/webp/750x0/props/049967845_1774784341957.jpg | https://images.aqar.fm/webp/750x0/props/049967840_1774784341965.jpg | https://images.aqar.fm/webp/750x0/props/049967840_1774784341974.jpg | https://images.aqar.fm/webp/750x0/props/049967843_1774784342047.jpg | https://images.aqar.fm/webp/750x0/props/049967845_1774784342075.jpg | https://images.aqar.fm/webp/750x0/props/049967843_1774784341998.jpg | https://images.aqar.fm/webp/750x0/props/049967841_1774784342075.jpg | https://images.aqar.fm/webp/750x0/props/049967848_1774784342055.jpg | https://images.aqar.fm/webp/750x0/props/049967844_1774784342088.jpg | https://images.aqar.fm/webp/750x0/props/049967842_1774784342010.jpg | https://images.aqar.fm/webp/750x0/props/049967842_1774784342086.jpg | https://images.aqar.fm/webp/750x0/props/049967840_1774784342010.jpg,18,عرفه بنت غازي بن حسن الصمداني,مؤسسة فرحة سكن للتطوير العقاري,1,2026-03-29,2026-08-21,2026-08-23,242,2026-08-23,True,"2,000,000",False,فيلا
6748453,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-المرصاد-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6748453,"فيلا للبيع في شارع المرصاد, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",3600000,390,,5,4,0,حي ظهرة لبن,الرياض,غرب الرياض,"للبيع فيلا حي ظهرة لبن 
 مساحة 390 م
الواجهة غرب
 بموقع ممتاز قريب لمخرج ومدخل طريق الدائري الغربي  عبارة عن
 دور أرضي ومسروق يوجد بها بالدور الارضي صالتين ومطبخ ومجلس وغرفتين ومستودع وملحق و غرفة سائق

وبالدور الاول غرفة ماستر وغرفتين نوم وبالسطح غرفة

للعاملة مع دورة مياة
وعدد جميع دورات المياه 1

كما يوجد شقتين مؤجرة بالدور الاول وبالدور الثاني

للبيع 3 مليون 600 الف 
السعر قابل للتفاوض للجادين
مباشر مع المالك 
شارع المرصاد
حي ظهرة لبن",24.646887,46.554709,https://images.aqar.fm/webp/750x0/props/042674362_1782434724928.jpg,1,جواهر ال سعيد,مكتب ريحانة نجد للعقارات,1,2026-06-26,2026-06-26,2026-08-23,111,2026-08-23,True,"3,600,000",False,فيلا
6751894,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-المرصاد-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6751894,"فيلا للبيع في شارع المرصاد, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",3000000,390,5,1,0,10,حي ظهرة لبن,الرياض,غرب الرياض,"https://maps.app.goo.gl/E1F8XXGgmSoz4xM87


فيلا للبيع بمساحة 390 متر مربع تقع بالقرب من مخرج ومدخل طريق الدائري الغربي في زهرة لبن
 .تتكون الفيلا من دور أرضي مسروق، صالتين، مطبخ، مجلس، غرفتين نوم، مستودع، ملحق، وغرفة سائق.يحتوي الدور الأول على غرفة نوم رئيسية (ماستر)، غرفتين نوم، ومطبخ، بالإضافة إلى غرفة عاملة مع دورة مياه على السطح.تتميز الفيلا بوجود 6 دورات مياه، وشقتين مؤجرتين في الدورين الأول والثاني

.المواصفات: 
تتضمن 5 غرف نوم، شقتين، وصالتين.تفاصيل إضافية: الواجهة غربية، عرض الشارع 15 متر، وعمر العقار أكثر من 10 سنوات.
البيــــــــع 3مليون 100

قابل للتفاوض للجادين 
مباشر مع المالك",24.646887,46.554709,https://images.aqar.fm/webp/750x0/props/051518963_1782685629103.jpg | https://images.aqar.fm/webp/750x0/props/051518967_1782685629237.jpg | https://images.aqar.fm/webp/750x0/props/051518969_1782685629105.jpg | https://images.aqar.fm/webp/750x0/props/051518960_1782685629113.jpg | https://images.aqar.fm/webp/750x0/props/051518968_1782685629477.jpg,5,نوال العتيبي,مؤسسة مسكن الياسمين,1,2026-06-28,2026-07-28,2026-08-23,119,2026-08-23,True,"3,000,000",False,فيلا
6682750,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-المضة-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6682750,"فيلا للبيع في شارع المضة, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",1850000,200,5,5,0,0,حي ظهرة لبن,الرياض,غرب الرياض,"*نـسق لبن للعقــار*

📍 الموقع: ظهرة لبن – موقع مميز قريب من جميع الخدمات
📐 المساحة: 200 متر
✨ المواصفات:
	•	واجهة أنيقة وتصميم حديث
	•	مجلس رجال مع دورة مياه
	•	صالة واسعة ومطبخ + تأسيس مصعد 
	•	غرف نوم فسيحة مع دورات مياه خاصة
	•	سطح مع غرفة خادمة
	•	مدخل سيارة

📞 للتواصل:
*حنين الشهري | *نسق لبن للعقار* 
📲 [ 0509408083 ]

🏠 نسق لبن للعقار — نرتقي بخدماتنا لتجد بيتك المثالي",24.617798,46.528589,https://images.aqar.fm/webp/750x0/props/011337830_1777968665757.jpg,1,امال العتيبي,مؤسسة نسق لبن للعقار,1,2026-05-05,2026-07-31,2026-08-12,155,2026-08-23,True,"1,850,000",False,فيلا
6598790,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-اللثامة-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6598790,"فيلا للبيع في شارع اللثامة, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",1900000,450,,4,2,11,حي ظهرة لبن,الرياض,غرب الرياض,"للبيع فله دور دور وملحق في ظهرة لبن
 مساحة 450 م     
 شارع 20 شمالي 
حره 
لايوجد شهادة اتمام بناء
نستقبل العروض والطلبات العقارية
((رقم المعلن يظهر عند التواصل))
البيع 2 مليون",24.61776,46.54085,https://images.aqar.fm/webp/750x0/props/050873776_1771625113766.jpg,1,عيسى عايض,مؤسسة دليل العنوان العقارية,1,2026-02-20,2026-02-20,2026-08-14,2645,2026-08-23,True,"1,900,000",False,فيلا
6753126,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-رقم-222-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6753126,"فيلا للبيع في شارع رقم 222, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",3000000,600,,6,1,10,حي ظهرة لبن,الرياض,غرب الرياض,"السلام عليكم ورحمة الله بوركاته :                                                  
فيلا شغل شخصي  مساحتها 600 متر  جنوبي   .
مكونات الفيلا 3 ادوار واسعة ب 3 عدادات مستقلة 
الدور الارضي :
 مشب ودورة مياة ومدخل سيارة .
1 مجلس رجال واسع .
1 مقلط رجال واسع .
دورات مياه رجال مع المغاسل .
1 مطبخ مع مستودع .
1 صالة واسعة .
دورة مياه نساء مع المغاسل .
1 غرفة نوم ماستر  مع دورة مياه .
1 غرفة نوم ماستر مع دورة مياه .
2 غرفة نوم مع دورة مياه .
1 غرفة خادمة مع دورة مياه .

الدور الاول :
1 مجلس رجال واسع .
1 مقلط رجال واسع .
دورات مياه رجال مع المغاسل .
غرفة مستودع تخزين
1 مطبخ + مستودع .
1 صالة واسعة .
دورة مياه نساء مع المغاسل .
1 غرفة نوم ماستر  مع دورة مياه .
1 غرفة نوم ماستر مع دورة مياه .
2 غرفة نوم مع دورة مياه .
الدور الثاني :
1 مجلس رجال واسع .
دورات مياه رجال مع المغاسل .
1 مطبخ  .
1 صالة واسعة .
دورة مياه نساء مع المغاسل .
1 غرفة نوم خادمة , مع دورة مياه 
2 غرفة نوم ماستر مع دورة مياه .
2 غرفة نوم مع دورة مياه .",24.613429,46.520741,https://images.aqar.fm/webp/750x0/props/044285126_1782762464383.jpg | https://images.aqar.fm/webp/750x0/props/044285120_1782762467887.jpg | https://images.aqar.fm/webp/750x0/props/044285122_1782762471612.jpg | https://images.aqar.fm/webp/750x0/props/044285124_1782762478795.jpg | https://images.aqar.fm/webp/750x0/props/044285122_1782762482931.jpg | https://images.aqar.fm/webp/750x0/props/044285122_1782762738173.jpg | https://images.aqar.fm/webp/750x0/props/044285129_1782762868989.jpg | https://images.aqar.fm/webp/750x0/props/044285128_1782762899951.jpg | https://images.aqar.fm/webp/750x0/props/044285122_1782763066296.jpg | https://images.aqar.fm/webp/750x0/props/044285128_1785265392871.jpg | https://images.aqar.fm/webp/750x0/props/044285129_1785265397966.jpg | https://images.aqar.fm/webp/750x0/props/044285128_1785265412023.jpg | https://images.aqar.fm/webp/750x0/props/044285122_1785265445595.jpg | https://images.aqar.fm/webp/750x0/props/044285128_1785265447847.jpg,14,حسايف علي,مؤسسة رموز لبن للتطوير والاستثمار العقاري,1,2026-06-29,2026-06-29,2026-08-18,677,2026-08-23,True,"3,000,000",False,فيلا
