listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type
6576911,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-حميدة-الإبراهيمي-حي-العوالي-مدينة-الرياض-منطقة-الرياض-6576911,"فيلا للبيع في شارع حميدة الإبراهيمي, حي العوالي, مدينة الرياض, منطقة الرياض",2000000,300,6,4,2,0,حي ظهرة نمار,الرياض,غرب الرياض,"السلام عليكم ورحمة الله وبركاته 
للبيع نقدا او بالتقسيط 
فيلا  :درج صاله وشقه مفصوله
حي العوالي 
واجهه شرقيه شارع ٢٠م
عباره عن 
مجلس رجال ومقلط وصاله ومطبخ وغرفة كبار السن
فوق ٣غرف نوم وصاله
ومعها سطح
الشقه غرفتين وصاله ومطبخ ومجلس 
شغل عليه كافة الضمانات 
لدينا جميع العروض التي تناسب الجميع 
لدينا حلول تمويليه ميسره 
نتعامل مع جميع البنوك والشركات الخاصه 
للتواصل واتس اب 
((رقم المعلن يظهر عند التواصل))",24.563398,46.589021,https://images.aqar.fm/webp/750x0/props/020143641_1770244800043.jpg | https://images.aqar.fm/webp/750x0/props/020143643_1770244799203.jpg,2,عبدالعزيز سعد الحميدي السبيعي,مؤسسة مكتب عبدالعزيز سعد الحميدي السبيعي للعقارات,1,2026-02-04,2026-07-29,2026-08-22,1387,2026-08-23,True,"2,000,000",False,فيلا
6518925,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-حميدة-الإبراهيمي-حي-العوالي-مدينة-الرياض-منطقة-الرياض-6518925,"فيلا للبيع في شارع حميدة الإبراهيمي, حي العوالي, مدينة الرياض, منطقة الرياض",2000000,300,5,3,2,0,حي ظهرة نمار,الرياض,غرب الرياض,"السلام عليكم ورحمة الله وبركاته فيلا
درج صاله وشقه
المساحه 300متر
حي العوالي",24.563579,46.589016,https://images.aqar.fm/webp/750x0/props/048003833_1766522265371.jpg | https://images.aqar.fm/webp/750x0/props/048003833_1766522265513.jpg | https://images.aqar.fm/webp/750x0/props/048003830_1766522265636.jpg | https://images.aqar.fm/webp/750x0/props/048003832_1766522264637.jpg | https://images.aqar.fm/webp/750x0/props/048003830_1766522264652.jpg | https://images.aqar.fm/webp/750x0/props/048003834_1766522264684.jpg | https://images.aqar.fm/webp/750x0/props/048003836_1766522264840.jpg | https://images.aqar.fm/webp/750x0/props/048003837_1766522264704.jpg | https://images.aqar.fm/webp/750x0/props/048003831_1766522264875.jpg | https://images.aqar.fm/webp/750x0/props/048003835_1766522264917.jpg | https://images.aqar.fm/webp/750x0/props/048003837_1766522264987.jpg | https://images.aqar.fm/webp/750x0/props/048003837_1766522265091.jpg | https://images.aqar.fm/webp/750x0/props/048003839_1766522265118.jpg | https://images.aqar.fm/webp/750x0/props/048003832_1766522265221.jpg | https://images.aqar.fm/webp/750x0/props/048003833_1766522265357.jpg | https://images.aqar.fm/webp/750x0/props/048003838_1766522265738.jpg,16,سباء صالح,مكتب اصدار الغربية للعقارات,1,2025-12-23,2025-12-23,2026-03-28,51,2026-08-23,True,"2,000,000",False,فيلا
6670111,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-القاسم-بن-يوسف-السبتي-حي-العوالي-مدينة-الرياض-منطقة-الرياض-6670111,"فيلا للبيع في شارع القاسم بن يوسف السبتي, حي العوالي, مدينة الرياض, منطقة الرياض",2000000,300,,5,2,0,حي ظهرة نمار,الرياض,غرب الرياض,"للبيع فيلا جديدة
في حي العوالي
درج داخلي ثلاث إدوار 
مساحة 300 م
شارع 15 شرقي
مكونة من :
الدور الأرضي :
مدخل سيارة حوش واسع  ملحق خارجي
مدخلين : رجال ونساء
مجلس رجال ومقلط
صالة واسعة كبيرة + غرفة كبار سن
مطبخ وثلاث دورات مياة
الدور الأول :
4 غرف نوم ماستر
صالة + مطل من غرفة النوم الرئيسية 
الدور الثاني :
غرفة نوم وصالة
غرفة شغالة وغرفة غسيل وثلاث دورات مياة وسطح كبير",24.553524,46.593223,https://images.aqar.fm/webp/750x0/props/007689704_1777197364399.jpg | https://images.aqar.fm/webp/750x0/props/007689705_1777196561442.jpg | https://images.aqar.fm/webp/750x0/props/007689708_1777196561441.jpg | https://images.aqar.fm/webp/750x0/props/007689703_1777196561439.jpg | https://images.aqar.fm/webp/750x0/props/007689700_1777196561562.jpg | https://images.aqar.fm/webp/750x0/props/007689707_1777196561642.jpg | https://images.aqar.fm/webp/750x0/props/007689709_1777196561656.jpg | https://images.aqar.fm/webp/750x0/props/007689702_1777196561670.jpg | https://images.aqar.fm/webp/750x0/props/007689704_1777196561666.jpg | https://images.aqar.fm/webp/750x0/props/007689706_1777196561764.jpg | https://images.aqar.fm/webp/750x0/props/007689700_1777196561851.jpg | https://images.aqar.fm/webp/750x0/props/007689702_1777196561881.jpg | https://images.aqar.fm/webp/750x0/props/007689702_1777196561899.jpg | https://images.aqar.fm/webp/750x0/props/007689703_1777196561981.jpg | https://images.aqar.fm/webp/750x0/props/007689709_1777196562069.jpg | https://images.aqar.fm/webp/750x0/props/007689706_1777196562086.jpg | https://images.aqar.fm/webp/750x0/props/007689705_1777196562120.jpg | https://images.aqar.fm/webp/750x0/props/007689701_1777196562122.jpg | https://images.aqar.fm/webp/750x0/props/007689708_1777196562183.jpg | https://images.aqar.fm/webp/750x0/props/007689707_1777196562284.jpg | https://images.aqar.fm/webp/750x0/props/007689701_1777196562304.jpg | https://images.aqar.fm/webp/750x0/props/007689701_1777196562322.jpg | https://images.aqar.fm/webp/750x0/props/007689708_1777196562320.jpg | https://images.aqar.fm/webp/750x0/props/007689704_1777196562396.jpg | https://images.aqar.fm/webp/750x0/props/007689706_1777196562483.jpg | https://images.aqar.fm/webp/750x0/props/007689700_1777196562512.jpg | https://images.aqar.fm/webp/750x0/props/007689709_1777196562518.jpg | https://images.aqar.fm/webp/750x0/props/007689709_1777196562555.jpg | https://images.aqar.fm/webp/750x0/props/007689709_1777196562631.jpg,29,عبدالله حمد عواد العنزي,مؤسسة مكتب درة الراية للعقارات,1,2026-04-26,2026-08-20,2026-08-23,436,2026-08-23,True,"2,000,000",False,فيلا
6396857,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-أحمد-بن-ناصر-الكناني-حي-العوالي-مدينة-الرياض-منطقة-الرياض-6396857,"فيلا للبيع في شارع أحمد بن ناصر الكناني, حي العوالي, مدينة الرياض, منطقة الرياض",1900000,300,6,5,3,0,حي ظهرة نمار,الرياض,غرب الرياض,"🏡 مؤسسة مسكن الصفوة للعقارات ✨
تعلن عن عرض فاخر في حي العوالي بالقرب من شارع نجم الدين 👇

📏 المساحة: 300 م²
🚪 الواجهة: شرقية – شارع 15م
💰 الأسعار:

1900000 ريال (فيلا متلاصقه, (فيلا مفصولة)2000000
📌 الأسعار قابلة للتفاوض

🔹 مواصفات الفيلا (دوبلكس):     ى

مدخل سيارة 🚗 + غرفة سائق 👤                   
              ز.      
ملحق بالحوش 🌿                                          

مجلس رجال + مقلط + صالة كبيرة 🍴

مطبخ بسيب خلفي

غرفة كبار سن ماستر 🛏️

الدور الثاني:

4 غرف نوم ماستر + صالة 🛋️

الدور الثالث:

غرفة نوم + صالة + غرفة غسيل + غرفة خادمة + سطح 🌆

📜 شهادة إتمام بناء + كافة الضمانات

🌟 مميزات إضافية:
✔️ نوفر مقدم التعاقد بدون فوائد ✅
✔️ سداد المديونية 💳
✔️ التعامل مع جميع البنوك والشركات 🏦
✔️ عروض أخرى بمساحات وأسعار مختلفة

📞 للتواصل والاستفسار:
ريان العتيبي – ((رقم المعلن يظهر عند التواصل))
🔑 كود العرض: 1",24.553264,46.597257,https://images.aqar.fm/webp/750x0/props/034941927_1758749585187.jpg | https://images.aqar.fm/webp/750x0/props/034941920_1758749583907.jpg | https://images.aqar.fm/webp/750x0/props/034941922_1758749583611.jpg | https://images.aqar.fm/webp/750x0/props/034941924_1758749583785.jpg | https://images.aqar.fm/webp/750x0/props/034941921_1758749584091.jpg | https://images.aqar.fm/webp/750x0/props/034941923_1758749584306.jpg | https://images.aqar.fm/webp/750x0/props/034941928_1758749584476.jpg | https://images.aqar.fm/webp/750x0/props/034941924_1758749584751.jpg | https://images.aqar.fm/webp/750x0/props/034941928_1758749584969.jpg | https://images.aqar.fm/webp/750x0/props/034941928_1758749585420.jpg | https://images.aqar.fm/webp/750x0/props/034941928_1758749585655.jpg | https://images.aqar.fm/webp/750x0/props/034941920_1758749585877.jpg | https://images.aqar.fm/webp/750x0/props/034941929_1758749586077.jpg | https://images.aqar.fm/webp/750x0/props/034941928_1758749586343.jpg | https://images.aqar.fm/webp/750x0/props/034941926_1758749586577.jpg | https://images.aqar.fm/webp/750x0/props/034941923_1758749586926.jpg | https://images.aqar.fm/webp/750x0/props/034941926_1758749587271.jpg | https://images.aqar.fm/webp/750x0/props/034941923_1758749587518.jpg | https://images.aqar.fm/webp/750x0/props/034941926_1758749587723.jpg | https://images.aqar.fm/webp/750x0/props/034941927_1758749587935.jpg | https://images.aqar.fm/webp/750x0/props/034941922_1758749588212.jpg | https://images.aqar.fm/webp/750x0/props/034941923_1758749588445.jpg | https://images.aqar.fm/webp/750x0/props/034941924_1758749588665.jpg,23,ريان عبدالله محمد العتيبي,مؤسسة مسكن الصفوة للعقارات,1,2025-09-24,2025-09-24,2026-08-23,721,2026-08-23,True,"1,900,000",False,فيلا
6542097,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-زينب-الثقفية-حي-العوالي-مدينة-الرياض-منطقة-الرياض-6542097,"فيلا للبيع في شارع زينب الثقفية, حي العوالي, مدينة الرياض, منطقة الرياض",1150000,260,4,4,1,0,حي ظهرة نمار,الرياض,غرب الرياض,"🏢تاون هاوس للبيع بحى العوالى 
📏مساحة ٢٦٠ م 
💵الاسعار تبدأ من مليون ٧٥ الف  حتى مليون ١٥٠ الف
🏢 يتكون التاون هاوس من حوش و مجلس ومقلط وصالة ومطبخ وغرفة كبار سن بالدور الارضى و٣ غرف نوم منهم غرفة ماستر و  بالدور العلوى و٤ دورات مياه. 
- 🚨متوفر لدينا عروض لشقق وفلل وادوار بصك وتاون هاوس ودوبلكسات فى مختلف المناطق والمخططات 
- 🏦نتعامل مع جميع البنوك والشركات التمويلية فى جميع انحاء المملكة 
-   ولدينا افضل الحلول التمويلية وسداد المديونيات وتوفير الدفعة المقدمة",24.568324,46.601427,https://images.aqar.fm/webp/750x0/props/043198546_1768142604598.jpg | https://images.aqar.fm/webp/750x0/props/043198543_1768142604574.jpg | https://images.aqar.fm/webp/750x0/props/043198545_1768142604584.jpg | https://images.aqar.fm/webp/750x0/props/043198545_1768142604581.jpg | https://images.aqar.fm/webp/750x0/props/043198547_1768142604579.jpg | https://images.aqar.fm/webp/750x0/props/043198547_1768142604570.jpg | https://images.aqar.fm/webp/750x0/props/043198549_1768142604573.jpg | https://images.aqar.fm/webp/750x0/props/043198547_1768142604572.jpg | https://images.aqar.fm/webp/750x0/props/043198540_1768142634080.jpg | https://images.aqar.fm/webp/750x0/props/043198548_1768142634084.jpg | https://images.aqar.fm/webp/750x0/props/043198546_1768142634088.jpg | https://images.aqar.fm/webp/750x0/props/043198541_1768142634073.jpg | https://images.aqar.fm/webp/750x0/props/043198545_1768142634065.jpg | https://images.aqar.fm/webp/750x0/props/043198544_1768142634090.jpg | https://images.aqar.fm/webp/750x0/props/043198549_1768142634082.jpg | https://images.aqar.fm/webp/750x0/props/043198545_1768142634085.jpg | https://images.aqar.fm/webp/750x0/props/043198545_1768142660810.jpg | https://images.aqar.fm/webp/750x0/props/043198542_1768142660796.jpg,18,ورده علي احمد الناشري,مؤسسة الهرم الرابع للعقارات,1,2026-01-11,2026-01-11,2026-07-29,2414,2026-08-23,True,"1,150,000",False,فيلا
6721234,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-ابن-جرير-التنوخي-حي-العوالي-مدينة-الرياض-منطقة-الرياض-6721234,"فيلا للبيع في شارع ابن جرير التنوخي, حي العوالي, مدينة الرياض, منطقة الرياض",1650000,388,5,0,0,0,حي ظهرة نمار,الرياض,غرب الرياض,"فرصة لا تُعوّض للسكن أو الاستثمار في حي العوالي 📍

فيلا للبيع في حي العوالي بتصميم عصري وتشطيبات أنيقة
فيلا دوبلكس للبيع 
م 207 
مسطح البناء اكبر 
مجلس رجال 
مقلط 
صالة 
مطبخ 
الدور الاول اربع غرف نوم ماستر 
الدور الثاني 
غرفتين نوم وحده منهم ماستر 
بوفية صغير 
سطح 

موقع حيوي قريب من الخدمات والمدارس والمساجد.
✨ واجهات حديثة ومواقف خاصة",24.562629,46.584048,https://images.aqar.fm/webp/750x0/props/006976430_1780756102001.jpg | https://images.aqar.fm/webp/750x0/props/006976430_1780756102030.jpg | https://images.aqar.fm/webp/750x0/props/006976431_1780756102024.jpg | https://images.aqar.fm/webp/750x0/props/006976435_1780756102011.jpg | https://images.aqar.fm/webp/750x0/props/006976434_1780756102100.jpg | https://images.aqar.fm/webp/750x0/props/006976437_1780756102004.jpg | https://images.aqar.fm/webp/750x0/props/006976435_1780756101999.jpg | https://images.aqar.fm/webp/750x0/props/006976437_1780756102055.jpg | https://images.aqar.fm/webp/750x0/props/006976439_1780756127722.jpg | https://images.aqar.fm/webp/750x0/props/006976434_1780756127765.jpg | https://images.aqar.fm/webp/750x0/props/006976438_1780756127760.jpg,11,ريم القحطاني,مكتب أصول الاملاك للعقارات,1,2026-06-06,2026-08-03,2026-08-21,925,2026-08-23,True,"1,650,000",False,فيلا
6742082,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-محمود-الحمصي-حي-العوالي-مدينة-الرياض-منطقة-الرياض-6742082,"فيلا للبيع في شارع محمود الحمصي, حي العوالي, مدينة الرياض, منطقة الرياض",1900000,360,,5,2,1,حي ظهرة نمار,الرياض,غرب الرياض,"🏡 فيلا للبيع مع شقة مستقلة

📍 المواصفات العامة

* المساحة: 360 م²
* الواجهة: شرقية
* عرض الشارع: 15 متر
عمرها 10 سنوات

🔹 مكونات الفيلا

الدور الأرضي:

* مجلس
* مقلط
* صالة
* مطبخ
* غرفة كبار سن
* ملحق خارجي
* غرفة سائق

الدور الأول:

* غرفة نوم ماستر
* غرفتا نوم
* دورة مياه

الدور الثاني:

* غرفة نوم
* دورة مياه
* غرفة غسيل
* سطح

🔹 الشقة المستقلة

الدور الأول:

* مجلس
* صالة
* غرفتا نوم

الدور الثاني:

* غرفة نوم
* دورة مياه
* سطح خاص

✅ تصميم عملي ومناسب للسكن والاستثمار.
✅ وجود شقة مستقلة توفر فرصة دخل إضافي أو سكن مستقل للعائلة.
✅ غرفة سائق مستقلة.
✅ واجهة شرقية على شارع 15 متر.

💰 السعر: 1,900,000 ريال
قابل للتفاوض",24.562192,46.603207,https://images.aqar.fm/webp/750x0/props/013114304_1782058704481.jpg | https://images.aqar.fm/webp/750x0/props/013114303_1782058704464.jpg | https://images.aqar.fm/webp/750x0/props/013114309_1782058704492.jpg | https://images.aqar.fm/webp/750x0/props/013114308_1782058704483.jpg | https://images.aqar.fm/webp/750x0/props/013114300_1782058704486.jpg | https://images.aqar.fm/webp/750x0/props/013114308_1782058704474.jpg | https://images.aqar.fm/webp/750x0/props/013114300_1782058704426.jpg | https://images.aqar.fm/webp/750x0/props/013114308_1782058704476.jpg,8,ساره عبدالله بن محمد الراشد,مؤسسة مكتب أعمار راك للعقارات,1,2026-06-21,2026-08-18,2026-08-18,832,2026-08-23,True,"1,900,000",False,فيلا
6612511,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-حميدة-الإبراهيمي-حي-العوالي-مدينة-الرياض-منطقة-الرياض-6612511,"فيلا للبيع في شارع حميدة الإبراهيمي, حي العوالي, مدينة الرياض, منطقة الرياض",1950000,300,6,5,3,0,حي ظهرة نمار,الرياض,غرب الرياض,"فيلا ٣٠٠ متر 
الدور الاول : مجلس + مقلط + صالة + غرفة كبار السن + ٣ دورات مياه 
الدور الثاني : ٣ غرفة نوم + ٣ دورات مياه + غرفة ماستر بالحمام ودولاب الملابس 
الدور الثالث : شقة منفصلة 
مجلس + صالة + غرفتين نوم + ٢ دورة مياه 
السعر : يوجد فيلتين متلاصقتين سعر الفيلا : ١٩٥٠٠٠٠ 
فيلا منفصلة : سعرها ٢٠٠٠٠٠٠

للتواصل والاستفسار 
0546552314",24.563398,46.589021,https://images.aqar.fm/webp/750x0/props/044777355_1772535105337.jpg | https://images.aqar.fm/webp/750x0/props/044777352_1772535104894.jpg | https://images.aqar.fm/webp/750x0/props/044777352_1772535104460.jpg | https://images.aqar.fm/webp/750x0/props/044777354_1772535105632.jpg | https://images.aqar.fm/webp/750x0/props/044777359_1772535104474.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1772535104455.jpg | https://images.aqar.fm/webp/750x0/props/044777354_1772535104672.jpg | https://images.aqar.fm/webp/750x0/props/044777356_1772535104651.jpg | https://images.aqar.fm/webp/750x0/props/044777357_1772535104686.jpg | https://images.aqar.fm/webp/750x0/props/044777353_1772535104691.jpg | https://images.aqar.fm/webp/750x0/props/044777354_1772535104820.jpg | https://images.aqar.fm/webp/750x0/props/044777355_1772535104865.jpg | https://images.aqar.fm/webp/750x0/props/044777357_1772535104925.jpg | https://images.aqar.fm/webp/750x0/props/044777355_1772535105016.jpg | https://images.aqar.fm/webp/750x0/props/044777352_1772535105130.jpg | https://images.aqar.fm/webp/750x0/props/044777358_1772535105140.jpg | https://images.aqar.fm/webp/750x0/props/044777351_1772535105130.jpg | https://images.aqar.fm/webp/750x0/props/044777359_1772535105142.jpg | https://images.aqar.fm/webp/750x0/props/044777353_1772535105376.jpg | https://images.aqar.fm/webp/750x0/props/044777353_1772535105367.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1772535105409.jpg | https://images.aqar.fm/webp/750x0/props/044777351_1772535105363.jpg | https://images.aqar.fm/webp/750x0/props/044777351_1772535105560.jpg | https://images.aqar.fm/webp/750x0/props/044777352_1772535105649.jpg | https://images.aqar.fm/webp/750x0/props/044777354_1772535105672.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1772535105729.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1772535105758.jpg | https://images.aqar.fm/webp/750x0/props/044777358_1772535105952.jpg | https://images.aqar.fm/webp/750x0/props/044777358_1772535105971.jpg | https://images.aqar.fm/webp/750x0/props/044777359_1772535105956.jpg,30,تماني بنت عقيل بن فارس العنزي,مكتب مساكن المهلهل,1,2026-03-03,2026-07-26,2026-08-16,181,2026-08-23,True,"1,950,000",False,فيلا
6581233,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-العوالي-حي-العوالي-مدينة-الرياض-منطقة-الرياض-6581233,"فيلا للبيع في شارع العوالي, حي العوالي, مدينة الرياض, منطقة الرياض",1100000,191,5,5,2,0,حي ظهرة نمار,الرياض,غرب الرياض,"للبيع دور علوى مع شقة 
بحى العوالى 
تشطيب فاخر موقع ممتاز   بجوار كل الحدمات 
المساحه 330 متر 
السعر مليون و100 
كما يوجد لدينا فلل وشقق وادوار 
مساحات مختلفه واسعار مناسبه 
لتواصل 
ابو تركي ((رقم المعلن يظهر عند التواصل))",24.55328,46.627869,https://images.aqar.fm/webp/750x0/props/050269009_1770562891920.jpg,1,جابر ال فهاد,شركة ركائز الروعة,1,2026-02-08,2026-08-02,2026-08-23,3765,2026-08-23,True,"1,100,000",False,فيلا
6733281,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-عبدالغني-مشرف-حي-العوالي-مدينة-الرياض-منطقة-الرياض-6733281,"فيلا للبيع في شارع عبدالغني مشرف, حي العوالي, مدينة الرياض, منطقة الرياض",1650000,215,7,0,0,0,حي ظهرة نمار,الرياض,غرب الرياض,فله دبلكس جديده زاويه حي العوالي شارعين ٢٠في ٢٠ واجهيتها شماليه عليها جميع الضمانات,24.565682,46.597821,https://images.aqar.fm/webp/750x0/props/052945596_1781483013446.jpg,1,عبدالهادي بن محمد بن ذعار القحطاني,,,2026-06-15,2026-08-12,2026-08-13,304,2026-08-23,True,"1,650,000",False,فيلا
